,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_ADSK_ILMN_beta_win,params_ADSK_ILMN_stop_loss,params_ADSK_ILMN_trade_freq,params_ADSK_ILMN_z_entry,params_ADSK_ILMN_z_exit,params_ADSK_ILMN_z_stop_scaler,params_ADSK_ILMN_z_win,params_AMGN_ILMN_beta_win,params_AMGN_ILMN_stop_loss,params_AMGN_ILMN_trade_freq,params_AMGN_ILMN_z_entry,params_AMGN_ILMN_z_exit,params_AMGN_ILMN_z_stop_scaler,params_AMGN_ILMN_z_win,params_ATVI_INTU_beta_win,params_ATVI_INTU_stop_loss,params_ATVI_INTU_trade_freq,params_ATVI_INTU_z_entry,params_ATVI_INTU_z_exit,params_ATVI_INTU_z_stop_scaler,params_ATVI_INTU_z_win,params_CHTR_DLTR_beta_win,params_CHTR_DLTR_stop_loss,params_CHTR_DLTR_trade_freq,params_CHTR_DLTR_z_entry,params_CHTR_DLTR_z_exit,params_CHTR_DLTR_z_stop_scaler,params_CHTR_DLTR_z_win,params_DDOG_ILMN_beta_win,params_DDOG_ILMN_stop_loss,params_DDOG_ILMN_trade_freq,params_DDOG_ILMN_z_entry,params_DDOG_ILMN_z_exit,params_DDOG_ILMN_z_stop_scaler,params_DDOG_ILMN_z_win,params_DLTR_ILMN_beta_win,params_DLTR_ILMN_stop_loss,params_DLTR_ILMN_trade_freq,params_DLTR_ILMN_z_entry,params_DLTR_ILMN_z_exit,params_DLTR_ILMN_z_stop_scaler,params_DLTR_ILMN_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_FANG_ILMN_beta_win,params_FANG_ILMN_stop_loss,params_FANG_ILMN_trade_freq,params_FANG_ILMN_z_entry,params_FANG_ILMN_z_exit,params_FANG_ILMN_z_stop_scaler,params_FANG_ILMN_z_win,params_GFS_ILMN_beta_win,params_GFS_ILMN_stop_loss,params_GFS_ILMN_trade_freq,params_GFS_ILMN_z_entry,params_GFS_ILMN_z_exit,params_GFS_ILMN_z_stop_scaler,params_GFS_ILMN_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-29.66962817875886,2025-06-16 00:21:58.561488,2025-06-16 00:22:04.323196,0 days 00:00:05.761708,920.0,0.025,4m,1.1,1.0,1.6,736.0,240.0,0.025,10m,0.9,0.6,1.4000000000000001,864.0,824.0,0.025,8m,1.2000000000000002,1.0,1.5,912.0,400.0,0.025,1m,0.5,1.2000000000000002,1.4000000000000001,840.0,408.0,0.05,9m,1.2000000000000002,1.0,1.8000000000000003,848.0,,,,,,,,,,,,,,,256.0,0.025,7m,1.5,0.9,1.8000000000000003,672.0,808,0.025,4m,0.9,0.5,1.4000000000000001,1024,880.0,0.025,1m,0.9,1.4,1.6,152.0,0.45,8,COMPLETE
21,21,-0.509105818835624,2025-06-16 00:22:04.397630,2025-06-16 00:22:06.857429,0 days 00:00:02.459799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.0,0.025,10m,1.5,0.9,1.6,256.0,360,0.05,5m,1.3,0.9,1.1,656,232.0,0.05,6m,1.5,0.6,1.2000000000000002,304.0,0.2,3,COMPLETE
22,22,-0.7681170292904403,2025-06-16 00:22:06.915144,2025-06-16 00:22:09.512544,0 days 00:00:02.597400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.025,10m,1.4,1.0,1.3,248.0,328,0.05,5m,1.2000000000000002,0.9,1.2000000000000002,440,344.0,0.05,6m,1.4,0.7,1.1,296.0,0.2,3,COMPLETE
23,23,-1.8845855063239367,2025-06-16 00:22:09.581333,2025-06-16 00:22:18.690462,0 days 00:00:09.109129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,0.05,1m,1.3,1.1,1.1,856,,,,,,,,0.15000000000000002,1,COMPLETE
24,24,-1.5419703711990516,2025-06-16 00:22:18.743960,2025-06-16 00:22:22.289398,0 days 00:00:03.545438,680.0,0.05,10m,1.5,1.3,1.1,496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.0,0.025,8m,1.4,0.8,1.7000000000000002,144.0,480,0.05,9m,1.2000000000000002,0.7,1.2000000000000002,600,160.0,0.05,5m,1.3,0.6,1.3,656.0,0.3,4,COMPLETE
25,25,-1.082618313797274,2025-06-16 00:22:22.346446,2025-06-16 00:22:24.150712,0 days 00:00:01.804266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.0,0.025,1m,1.2000000000000002,0.7,1.9000000000000001,432.0,360,0.05,3m,1.4,0.9,1.3,144,,,,,,,,0.25,2,COMPLETE
26,26,-8.28284424634025,2025-06-16 00:22:24.210466,2025-06-16 00:22:28.470233,0 days 00:00:04.259767,512.0,0.05,3m,0.7,1.2000000000000002,1.8000000000000003,184.0,,,,,,,,,,,,,,,,,,,,,,168.0,0.05,10m,0.9,0.5,1.5,616.0,,,,,,,,,,,,,,,344.0,0.025,9m,1.5,1.1,1.5,304.0,144,0.05,5m,1.1,1.1,1.7000000000000002,280,328.0,0.05,8m,1.3,0.9,1.3,24.0,0.15000000000000002,5,COMPLETE
27,27,-2.145531431007086,2025-06-16 00:22:28.535331,2025-06-16 00:22:30.334964,0 days 00:00:01.799633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0,0.025,6m,1.3,0.6,1.6,64.0,32,0.05,10m,1.4,0.7,1.5,432,,,,,,,,0.35000000000000003,2,COMPLETE
28,28,-3.1435562592071893,2025-06-16 00:22:30.389977,2025-06-16 00:22:33.861101,0 days 00:00:03.471124,224.0,0.025,9m,0.9,0.9,1.4000000000000001,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008.0,0.05,10m,1.4,1.2000000000000002,1.3,192.0,528,0.025,7m,1.0,0.6,1.2000000000000002,304,448.0,0.025,9m,1.4,0.6,1.5,360.0,0.3,4,COMPLETE
29,29,-10.177626248164438,2025-06-16 00:22:33.956797,2025-06-16 00:22:41.311063,0 days 00:00:07.354266,848.0,0.025,5m,1.1,1.4,1.5,720.0,160.0,0.05,7m,0.7,0.9,1.9000000000000001,576.0,688.0,0.05,3m,0.5,0.5,1.8000000000000003,296.0,1024.0,0.05,5m,0.9,1.3,1.8000000000000003,408.0,1016.0,0.025,6m,0.7,1.3,1.2000000000000002,448.0,24.0,0.025,1m,0.5,1.1,1.6,1008.0,,,,,,,,440.0,0.025,5m,0.9,1.0,1.9000000000000001,224.0,952,0.05,6m,1.2000000000000002,1.3,1.7000000000000002,592,592.0,0.05,7m,1.1,0.7,1.9000000000000001,488.0,0.45,9,COMPLETE
