,number,value,datetime_start,datetime_complete,duration,params_ADSK_ZM_beta_win,params_ADSK_ZM_stop_loss,params_ADSK_ZM_trade_freq,params_ADSK_ZM_z_entry,params_ADSK_ZM_z_exit,params_ADSK_ZM_z_stop_scaler,params_ADSK_ZM_z_win,params_AVGO_ILMN_beta_win,params_AVGO_ILMN_stop_loss,params_AVGO_ILMN_trade_freq,params_AVGO_ILMN_z_entry,params_AVGO_ILMN_z_exit,params_AVGO_ILMN_z_stop_scaler,params_AVGO_ILMN_z_win,params_DDOG_ILMN_beta_win,params_DDOG_ILMN_stop_loss,params_DDOG_ILMN_trade_freq,params_DDOG_ILMN_z_entry,params_DDOG_ILMN_z_exit,params_DDOG_ILMN_z_stop_scaler,params_DDOG_ILMN_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_KDP_ZM_beta_win,params_KDP_ZM_stop_loss,params_KDP_ZM_trade_freq,params_KDP_ZM_z_entry,params_KDP_ZM_z_exit,params_KDP_ZM_z_stop_scaler,params_KDP_ZM_z_win,params_LCID_ZM_beta_win,params_LCID_ZM_stop_loss,params_LCID_ZM_trade_freq,params_LCID_ZM_z_entry,params_LCID_ZM_z_exit,params_LCID_ZM_z_stop_scaler,params_LCID_ZM_z_win,params_LULU_VRTX_beta_win,params_LULU_VRTX_stop_loss,params_LULU_VRTX_trade_freq,params_LULU_VRTX_z_entry,params_LULU_VRTX_z_exit,params_LULU_VRTX_z_stop_scaler,params_LULU_VRTX_z_win,params_PAYX_ZM_beta_win,params_PAYX_ZM_stop_loss,params_PAYX_ZM_trade_freq,params_PAYX_ZM_z_entry,params_PAYX_ZM_z_exit,params_PAYX_ZM_z_stop_scaler,params_PAYX_ZM_z_win,params_PYPL_ZM_beta_win,params_PYPL_ZM_stop_loss,params_PYPL_ZM_trade_freq,params_PYPL_ZM_z_entry,params_PYPL_ZM_z_exit,params_PYPL_ZM_z_stop_scaler,params_PYPL_ZM_z_win,params_QCOM_ZM_beta_win,params_QCOM_ZM_stop_loss,params_QCOM_ZM_trade_freq,params_QCOM_ZM_z_entry,params_QCOM_ZM_z_exit,params_QCOM_ZM_z_stop_scaler,params_QCOM_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-3.608829006604185,2025-06-16 00:21:50.067898,2025-06-16 00:21:54.357632,0 days 00:00:04.289734,432.0,0.05,2m,1.1,0.7,1.3,856.0,,,,,,,,656.0,0.025,8m,0.5,1.2000000000000002,1.1,320.0,216.0,0.05,10m,1.2000000000000002,1.1,1.7000000000000002,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,0.025,3m,1.1,0.6,1.9000000000000001,664,32.0,0.025,6m,0.9,0.9,1.3,664.0,0.1,5,COMPLETE
21,21,1.2422241415377036,2025-06-16 00:21:54.432218,2025-06-16 00:21:57.641979,0 days 00:00:03.209761,848.0,0.025,6m,0.9,1.5,1.4000000000000001,624.0,,,,,,,,,,,,,,,608.0,0.05,10m,0.8,1.3,1.5,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,0.05,10m,1.5,0.5,1.4000000000000001,736,160.0,0.05,4m,0.5,0.5,1.5,432.0,0.05,4,COMPLETE
22,22,0.5984457930861029,2025-06-16 00:21:57.679609,2025-06-16 00:21:59.989085,0 days 00:00:02.309476,888.0,0.025,6m,0.9,1.4,1.4000000000000001,592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,0.05,10m,1.3,0.5,1.4000000000000001,872,176.0,0.05,4m,0.6,0.5,1.7000000000000002,472.0,0.05,3,COMPLETE
23,23,0.7219018710623517,2025-06-16 00:22:00.056583,2025-06-16 00:22:01.640389,0 days 00:00:01.583806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,0.05,6m,0.9,0.6,1.4000000000000001,784,344.0,0.05,4m,0.5,0.8,1.4000000000000001,352.0,0.1,2,COMPLETE
24,24,-4.086375141030146,2025-06-16 00:22:01.699869,2025-06-16 00:22:06.613647,0 days 00:00:04.913778,640.0,0.05,8m,1.0,1.1,1.6,936.0,,,,,,,,576.0,0.025,1m,1.2000000000000002,1.3,2.0,400.0,760.0,0.05,10m,0.7,1.4,1.5,128.0,,,,,,,,,,,,,,,,,,,,,,744.0,0.025,7m,0.8,1.3,1.8000000000000003,520.0,448,0.05,9m,1.2000000000000002,0.8,1.5,936,96.0,0.05,2m,0.7,1.1,1.7000000000000002,424.0,0.05,6,COMPLETE
25,25,-3.7220405160606687,2025-06-16 00:22:06.665068,2025-06-16 00:22:11.045743,0 days 00:00:04.380675,1024.0,0.025,3m,0.8,1.5,1.4000000000000001,184.0,,,,,,,,840.0,0.05,5m,0.7,1.5,1.6,160.0,472.0,0.05,10m,0.8,1.3,1.4000000000000001,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,0.05,4m,0.7,0.7,1.3,648,208.0,0.025,7m,0.6,0.5,1.6,560.0,0.15000000000000002,5,COMPLETE
26,26,0.17836583019967955,2025-06-16 00:22:11.109314,2025-06-16 00:22:11.944678,0 days 00:00:00.835364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,0.05,2m,1.4,0.5,1.2000000000000002,808,,,,,,,,0.25,1,COMPLETE
27,27,-6.152526264380471,2025-06-16 00:22:11.981765,2025-06-16 00:22:15.201835,0 days 00:00:03.220070,832.0,0.025,4m,1.3,1.0,1.7000000000000002,448.0,,,,,,,,,,,,,,,360.0,0.05,3m,0.9,1.1,1.6,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,0.05,1m,0.8,0.6,1.7000000000000002,728,16.0,0.05,5m,0.8,1.4,1.5,720.0,0.1,4,COMPLETE
28,28,1.4705955970173468,2025-06-16 00:22:15.258674,2025-06-16 00:22:21.375921,0 days 00:00:06.117247,960.0,0.05,7m,1.1,1.2000000000000002,1.3,800.0,,,,,,,,48.0,0.025,2m,1.4,0.9,1.3,664.0,568.0,0.05,7m,0.5,1.5,1.7000000000000002,272.0,720.0,0.025,4m,1.0,0.5,1.4000000000000001,24.0,,,,,,,,,,,,,,,80.0,0.05,6m,1.5,0.5,1.4000000000000001,1024.0,488,0.05,10m,1.2000000000000002,0.9,1.5,944,672.0,0.025,8m,0.9,1.0,1.9000000000000001,32.0,0.05,7,COMPLETE
29,29,0.461734260697815,2025-06-16 00:22:21.488302,2025-06-16 00:22:27.674385,0 days 00:00:06.186083,16.0,0.025,7m,1.1,1.2000000000000002,1.3,768.0,,,,,,,,88.0,0.025,10m,1.1,0.8,1.3,704.0,760.0,0.05,7m,0.5,1.4,1.8000000000000003,280.0,712.0,0.025,4m,1.0,0.5,1.4000000000000001,16.0,,,,,,,,,,,,,,,24.0,0.05,6m,1.5,0.5,1.4000000000000001,976.0,648,0.05,10m,1.4,1.3,1.5,928,696.0,0.05,8m,1.1,0.8,1.9000000000000001,16.0,0.25,7,COMPLETE
