,number,value,datetime_start,datetime_complete,duration,params_AAPL_ATVI_beta_win,params_AAPL_ATVI_stop_loss,params_AAPL_ATVI_trade_freq,params_AAPL_ATVI_z_entry,params_AAPL_ATVI_z_exit,params_AAPL_ATVI_z_stop_scaler,params_AAPL_ATVI_z_win,params_ABNB_ATVI_beta_win,params_ABNB_ATVI_stop_loss,params_ABNB_ATVI_trade_freq,params_ABNB_ATVI_z_entry,params_ABNB_ATVI_z_exit,params_ABNB_ATVI_z_stop_scaler,params_ABNB_ATVI_z_win,params_ADBE_ATVI_beta_win,params_ADBE_ATVI_stop_loss,params_ADBE_ATVI_trade_freq,params_ADBE_ATVI_z_entry,params_ADBE_ATVI_z_exit,params_ADBE_ATVI_z_stop_scaler,params_ADBE_ATVI_z_win,params_ALGN_ATVI_beta_win,params_ALGN_ATVI_stop_loss,params_ALGN_ATVI_trade_freq,params_ALGN_ATVI_z_entry,params_ALGN_ATVI_z_exit,params_ALGN_ATVI_z_stop_scaler,params_ALGN_ATVI_z_win,params_AMAT_ATVI_beta_win,params_AMAT_ATVI_stop_loss,params_AMAT_ATVI_trade_freq,params_AMAT_ATVI_z_entry,params_AMAT_ATVI_z_exit,params_AMAT_ATVI_z_stop_scaler,params_AMAT_ATVI_z_win,params_AMD_ATVI_beta_win,params_AMD_ATVI_stop_loss,params_AMD_ATVI_trade_freq,params_AMD_ATVI_z_entry,params_AMD_ATVI_z_exit,params_AMD_ATVI_z_stop_scaler,params_AMD_ATVI_z_win,params_AMZN_ATVI_beta_win,params_AMZN_ATVI_stop_loss,params_AMZN_ATVI_trade_freq,params_AMZN_ATVI_z_entry,params_AMZN_ATVI_z_exit,params_AMZN_ATVI_z_stop_scaler,params_AMZN_ATVI_z_win,params_ATVI_ANSS_beta_win,params_ATVI_ANSS_stop_loss,params_ATVI_ANSS_trade_freq,params_ATVI_ANSS_z_entry,params_ATVI_ANSS_z_exit,params_ATVI_ANSS_z_stop_scaler,params_ATVI_ANSS_z_win,params_ATVI_MSFT_beta_win,params_ATVI_MSFT_stop_loss,params_ATVI_MSFT_trade_freq,params_ATVI_MSFT_z_entry,params_ATVI_MSFT_z_exit,params_ATVI_MSFT_z_stop_scaler,params_ATVI_MSFT_z_win,params_ATVI_PYPL_beta_win,params_ATVI_PYPL_stop_loss,params_ATVI_PYPL_trade_freq,params_ATVI_PYPL_z_entry,params_ATVI_PYPL_z_exit,params_ATVI_PYPL_z_stop_scaler,params_ATVI_PYPL_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-0.9465708417927629,2025-06-15 23:39:30.084648,2025-06-15 23:39:37.984506,0 days 00:00:07.899858,1000.0,0.025,9m,1.2000000000000002,0.8,1.8000000000000003,312.0,424.0,0.025,6m,1.1,0.6,1.5,72.0,736,0.05,1m,1.1,0.8,2.0,168,752.0,0.05,3m,0.8,1.3,1.8000000000000003,976.0,,,,,,,,56.0,0.025,10m,1.3,1.1,1.9000000000000001,696.0,152.0,0.05,5m,1.4,0.7,1.8000000000000003,584.0,920.0,0.05,3m,0.5,1.3,1.8000000000000003,216.0,,,,,,,,,,,,,,,0.25,7,COMPLETE
21,21,-0.4286842905801041,2025-06-15 23:39:38.085875,2025-06-15 23:39:41.719302,0 days 00:00:03.633427,,,,,,,,,,,,,,,128,0.05,3m,0.8,1.3,1.8000000000000003,880,,,,,,,,,,,,,,,576.0,0.025,7m,1.2000000000000002,1.1,1.8000000000000003,336.0,424.0,0.05,5m,1.3,0.9,1.4000000000000001,32.0,,,,,,,,,,,,,,,,,,,,,,0.4,3,COMPLETE
22,22,-0.4504518182404387,2025-06-15 23:39:41.816345,2025-06-15 23:39:44.452495,0 days 00:00:02.636150,,,,,,,,,,,,,,,168,0.05,3m,0.9,1.1,1.8000000000000003,384,,,,,,,,,,,,,,,688.0,0.025,7m,1.3,1.3,1.9000000000000001,384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
23,23,-0.6024160439882881,2025-06-15 23:39:44.552559,2025-06-15 23:39:48.052661,0 days 00:00:03.500102,,,,,,,,,,,,,,,272,0.05,3m,1.1,1.3,1.7000000000000002,864,,,,,,,,,,,,,,,488.0,0.025,7m,1.2000000000000002,0.8,1.8000000000000003,256.0,384.0,0.05,5m,1.3,0.9,1.3,184.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
24,24,0.08682640836462449,2025-06-15 23:39:48.147660,2025-06-15 23:39:50.597855,0 days 00:00:02.450195,,,,,,,,,,,,,,,472,0.05,9m,0.9,1.1,1.5,624,,,,,,,,,,,,,,,304.0,0.025,10m,1.5,1.1,1.6,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
25,25,-0.29006578459143634,2025-06-15 23:39:50.705473,2025-06-15 23:39:53.308960,0 days 00:00:02.603487,,,,,,,,,,,,,,,480,0.05,9m,1.3,0.9,1.5,624,,,,,,,,,,,,,,,280.0,0.025,10m,1.5,1.1,1.6,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
26,26,-0.11799906266875398,2025-06-15 23:39:53.399069,2025-06-15 23:39:54.820801,0 days 00:00:01.421732,,,,,,,,,,,,,,,416,0.025,9m,0.7,1.1,1.2000000000000002,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
27,27,0.08504496321208292,2025-06-15 23:39:54.903012,2025-06-15 23:40:00.518266,0 days 00:00:05.615254,64.0,0.025,10m,1.4,0.5,1.5,752.0,,,,,,,,640,0.05,6m,1.4,0.9,1.5,744,88.0,0.025,7m,1.5,1.0,2.0,664.0,,,,,,,,184.0,0.025,10m,1.4,0.8,1.4000000000000001,232.0,216.0,0.05,7m,1.1,0.6,1.6,840.0,,,,,,,,,,,,,,,,,,,,,,0.5,5,COMPLETE
28,28,-0.6537947788085956,2025-06-15 23:40:00.624535,2025-06-15 23:40:10.099904,0 days 00:00:09.475369,16.0,0.025,10m,1.4,0.5,1.4000000000000001,736.0,496.0,0.05,6m,1.1,1.5,1.7000000000000002,56.0,616,0.025,6m,1.4,1.2000000000000002,1.5,752,80.0,0.025,7m,1.5,1.0,2.0,696.0,,,,,,,,168.0,0.025,10m,1.4,0.8,1.3,88.0,200.0,0.05,7m,0.9,0.6,1.6,904.0,728.0,0.05,6m,1.2000000000000002,0.8,2.0,584.0,960.0,0.05,2m,0.5,1.5,2.0,1008.0,,,,,,,,0.5,8,COMPLETE
29,29,-0.33687999527997176,2025-06-15 23:40:10.192048,2025-06-15 23:40:16.449795,0 days 00:00:06.257747,184.0,0.025,8m,1.3,0.6,1.5,848.0,,,,,,,,848,0.05,6m,1.0,1.0,1.5,640,520.0,0.025,7m,1.2000000000000002,1.1,1.8000000000000003,832.0,,,,,,,,48.0,0.025,1m,0.9,0.5,1.4000000000000001,512.0,32.0,0.05,7m,1.1,0.8,1.8000000000000003,880.0,,,,,,,,,,,,,,,,,,,,,,0.45,5,COMPLETE
