,number,value,datetime_start,datetime_complete,duration,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_CDW_PCAR_beta_win,params_CDW_PCAR_stop_loss,params_CDW_PCAR_trade_freq,params_CDW_PCAR_z_entry,params_CDW_PCAR_z_exit,params_CDW_PCAR_z_stop_scaler,params_CDW_PCAR_z_win,params_DASH_GEHC_beta_win,params_DASH_GEHC_stop_loss,params_DASH_GEHC_trade_freq,params_DASH_GEHC_z_entry,params_DASH_GEHC_z_exit,params_DASH_GEHC_z_stop_scaler,params_DASH_GEHC_z_win,params_FANG_WBD_beta_win,params_FANG_WBD_stop_loss,params_FANG_WBD_trade_freq,params_FANG_WBD_z_entry,params_FANG_WBD_z_exit,params_FANG_WBD_z_stop_scaler,params_FANG_WBD_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_HON_ROP_beta_win,params_HON_ROP_stop_loss,params_HON_ROP_trade_freq,params_HON_ROP_z_entry,params_HON_ROP_z_exit,params_HON_ROP_z_stop_scaler,params_HON_ROP_z_win,params_MAR_MRVL_beta_win,params_MAR_MRVL_stop_loss,params_MAR_MRVL_trade_freq,params_MAR_MRVL_z_entry,params_MAR_MRVL_z_exit,params_MAR_MRVL_z_stop_scaler,params_MAR_MRVL_z_win,params_NVDA_WBD_beta_win,params_NVDA_WBD_stop_loss,params_NVDA_WBD_trade_freq,params_NVDA_WBD_z_entry,params_NVDA_WBD_z_exit,params_NVDA_WBD_z_stop_scaler,params_NVDA_WBD_z_win,params_PAYX_PYPL_beta_win,params_PAYX_PYPL_stop_loss,params_PAYX_PYPL_trade_freq,params_PAYX_PYPL_z_entry,params_PAYX_PYPL_z_exit,params_PAYX_PYPL_z_stop_scaler,params_PAYX_PYPL_z_win,params_ROP_ROST_beta_win,params_ROP_ROST_stop_loss,params_ROP_ROST_trade_freq,params_ROP_ROST_z_entry,params_ROP_ROST_z_exit,params_ROP_ROST_z_stop_scaler,params_ROP_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-1.4554291479727393,2025-06-16 00:47:53.293418,2025-06-16 00:48:00.915776,0 days 00:00:07.622358,888.0,0.05,7m,0.5,0.8,1.7000000000000002,496.0,504.0,0.05,7m,1.5,0.5,1.6,408.0,208.0,0.025,4m,0.8,0.7,2.0,864.0,64.0,0.05,1m,1.2000000000000002,1.2000000000000002,1.7000000000000002,48.0,1000.0,0.025,6m,1.5,0.5,2.0,992.0,528.0,0.025,7m,1.2000000000000002,1.1,1.1,16.0,744.0,0.05,10m,1.1,1.5,1.2000000000000002,24.0,488.0,0.025,2m,1.2000000000000002,1.5,1.4000000000000001,648.0,72.0,0.05,8m,0.5,1.5,1.1,920.0,296,0.025,1m,0.8,1.3,1.3,672,0.15000000000000002,10,COMPLETE
21,21,-0.16813656090862567,2025-06-16 00:48:00.987159,2025-06-16 00:48:03.399855,0 days 00:00:02.412696,336.0,0.05,6m,1.4,0.5,1.1,216.0,304.0,0.025,10m,1.5,0.9,1.6,840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,0.05,5m,1.4,0.9,1.1,456,0.1,3,COMPLETE
22,22,-0.004934722613429737,2025-06-16 00:48:03.464648,2025-06-16 00:48:05.055487,0 days 00:00:01.590839,,,,,,,,208.0,0.025,10m,1.3,0.8,1.7000000000000002,616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,0.05,5m,1.3,0.7,1.2000000000000002,600,0.25,2,COMPLETE
23,23,-0.12534749390938588,2025-06-16 00:48:05.127066,2025-06-16 00:48:06.712448,0 days 00:00:01.585382,,,,,,,,408.0,0.025,9m,1.3,0.8,1.8000000000000003,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.05,3m,1.4,0.6,1.2000000000000002,616,0.35000000000000003,2,COMPLETE
24,24,0.1009945147491537,2025-06-16 00:48:06.763016,2025-06-16 00:48:08.380226,0 days 00:00:01.617210,,,,,,,,136.0,0.025,6m,1.2000000000000002,0.6,1.4000000000000001,464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,0.05,4m,1.2000000000000002,0.7,1.2000000000000002,840,0.25,2,COMPLETE
25,25,-9.096551960540344,2025-06-16 00:48:08.466417,2025-06-16 00:48:12.163901,0 days 00:00:03.697484,672.0,0.025,1m,1.0,1.2000000000000002,1.2000000000000002,616.0,592.0,0.05,6m,1.2000000000000002,0.6,1.4000000000000001,472.0,,,,,,,,976.0,0.025,8m,0.5,0.5,1.3,744.0,,,,,,,,200.0,0.05,10m,0.5,0.5,1.5,872.0,,,,,,,,,,,,,,,,,,,,,,72,0.05,4m,1.2000000000000002,0.5,1.7000000000000002,1016,0.35000000000000003,5,COMPLETE
26,26,-0.37781889700866234,2025-06-16 00:48:12.242626,2025-06-16 00:48:15.481204,0 days 00:00:03.238578,792.0,0.025,2m,0.8,1.4,1.3,896.0,136.0,0.025,6m,1.1,0.6,1.3,888.0,,,,,,,,,,,,,,,,,,,,,,472.0,0.025,2m,0.9,0.9,1.8000000000000003,592.0,,,,,,,,,,,,,,,,,,,,,,880,0.05,4m,1.1,0.7,1.5,888,0.45,4,COMPLETE
27,27,-0.2761406772180898,2025-06-16 00:48:15.537856,2025-06-16 00:48:17.072109,0 days 00:00:01.534253,,,,,,,,792.0,0.05,5m,1.2000000000000002,0.7,1.2000000000000002,544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,0.05,9m,1.5,0.8,1.3,800,0.1,2,COMPLETE
28,28,-0.07391604039274453,2025-06-16 00:48:17.136064,2025-06-16 00:48:18.102489,0 days 00:00:00.966425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,0.05,2m,1.4,0.6,1.4000000000000001,952,0.15000000000000002,1,COMPLETE
29,29,0.11400004193769792,2025-06-16 00:48:18.202512,2025-06-16 00:48:20.556256,0 days 00:00:02.353744,16.0,0.025,8m,1.1,1.4,1.4000000000000001,776.0,176.0,0.025,8m,1.0,0.5,1.5,712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,0.05,10m,1.3,1.0,1.1,800,0.25,3,COMPLETE
