,number,value,datetime_start,datetime_complete,duration,params_ADI_ILMN_beta_win,params_ADI_ILMN_stop_loss,params_ADI_ILMN_trade_freq,params_ADI_ILMN_z_entry,params_ADI_ILMN_z_exit,params_ADI_ILMN_z_stop_scaler,params_ADI_ILMN_z_win,params_ADSK_ILMN_beta_win,params_ADSK_ILMN_stop_loss,params_ADSK_ILMN_trade_freq,params_ADSK_ILMN_z_entry,params_ADSK_ILMN_z_exit,params_ADSK_ILMN_z_stop_scaler,params_ADSK_ILMN_z_win,params_AMGN_ILMN_beta_win,params_AMGN_ILMN_stop_loss,params_AMGN_ILMN_trade_freq,params_AMGN_ILMN_z_entry,params_AMGN_ILMN_z_exit,params_AMGN_ILMN_z_stop_scaler,params_AMGN_ILMN_z_win,params_EA_ILMN_beta_win,params_EA_ILMN_stop_loss,params_EA_ILMN_trade_freq,params_EA_ILMN_z_entry,params_EA_ILMN_z_exit,params_EA_ILMN_z_stop_scaler,params_EA_ILMN_z_win,params_FANG_ILMN_beta_win,params_FANG_ILMN_stop_loss,params_FANG_ILMN_trade_freq,params_FANG_ILMN_z_entry,params_FANG_ILMN_z_exit,params_FANG_ILMN_z_stop_scaler,params_FANG_ILMN_z_win,params_GFS_ILMN_beta_win,params_GFS_ILMN_stop_loss,params_GFS_ILMN_trade_freq,params_GFS_ILMN_z_entry,params_GFS_ILMN_z_exit,params_GFS_ILMN_z_stop_scaler,params_GFS_ILMN_z_win,params_HON_ILMN_beta_win,params_HON_ILMN_stop_loss,params_HON_ILMN_trade_freq,params_HON_ILMN_z_entry,params_HON_ILMN_z_exit,params_HON_ILMN_z_stop_scaler,params_HON_ILMN_z_win,params_IDXX_ODFL_beta_win,params_IDXX_ODFL_stop_loss,params_IDXX_ODFL_trade_freq,params_IDXX_ODFL_z_entry,params_IDXX_ODFL_z_exit,params_IDXX_ODFL_z_stop_scaler,params_IDXX_ODFL_z_win,params_NFLX_PCAR_beta_win,params_NFLX_PCAR_stop_loss,params_NFLX_PCAR_trade_freq,params_NFLX_PCAR_z_entry,params_NFLX_PCAR_z_exit,params_NFLX_PCAR_z_stop_scaler,params_NFLX_PCAR_z_win,params_NFLX_SBUX_beta_win,params_NFLX_SBUX_stop_loss,params_NFLX_SBUX_trade_freq,params_NFLX_SBUX_z_entry,params_NFLX_SBUX_z_exit,params_NFLX_SBUX_z_stop_scaler,params_NFLX_SBUX_z_win,params_buffer_capital,params_pairs_to_trade,state
22,22,-2.695213564497643,2025-06-16 00:21:57.611190,2025-06-16 00:22:01.380870,0 days 00:00:03.769680,,,,,,,,792.0,0.05,8m,1.2000000000000002,1.1,1.3,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,0.05,2m,1.1,1.3,1.3,176.0,616.0,0.05,7m,1.1,1.4,1.7000000000000002,768.0,504.0,0.025,8m,0.9,1.1,1.7000000000000002,176.0,344,0.05,8m,1.1,1.0,2.0,312,0.15000000000000002,5,COMPLETE
23,23,1.0521161776372159,2025-06-16 00:22:01.437271,2025-06-16 00:22:04.656444,0 days 00:00:03.219173,,,,,,,,600.0,0.025,5m,1.1,1.0,1.2000000000000002,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872.0,0.05,7m,1.3,1.2000000000000002,1.4000000000000001,920.0,376.0,0.025,7m,1.1,1.0,1.5,448.0,528,0.05,8m,1.2000000000000002,1.2000000000000002,1.5,24,0.05,4,COMPLETE
24,24,-0.7578694837340775,2025-06-16 00:22:04.708687,2025-06-16 00:22:09.821638,0 days 00:00:05.112951,,,,,,,,720.0,0.025,4m,0.8,0.9,1.4000000000000001,752.0,,,,,,,,720.0,0.025,2m,0.7,1.3,1.1,344.0,,,,,,,,,,,,,,,576.0,0.025,9m,0.7,1.5,1.6,424.0,728.0,0.05,4m,1.1,1.4,1.7000000000000002,600.0,720.0,0.025,9m,1.3,1.3,1.3,672.0,664,0.025,2m,1.0,0.9,1.8000000000000003,104,0.15000000000000002,6,COMPLETE
25,25,-2.283034320037712,2025-06-16 00:22:09.886485,2025-06-16 00:22:11.578421,0 days 00:00:01.691936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,0.025,6m,0.9,1.0,1.6,192.0,416,0.05,1m,1.2000000000000002,1.3,1.5,264,0.35000000000000003,2,COMPLETE
26,26,-3.733487563599704,2025-06-16 00:22:11.628259,2025-06-16 00:22:16.887635,0 days 00:00:05.259376,,,,,,,,896.0,0.05,7m,0.5,1.4,1.2000000000000002,984.0,,,,,,,,16.0,0.05,10m,1.0,0.5,1.4000000000000001,96.0,,,,,,,,456.0,0.025,6m,1.1,0.8,1.4000000000000001,712.0,144.0,0.05,5m,1.3,0.8,1.8000000000000003,656.0,424.0,0.05,1m,1.4,1.1,1.4000000000000001,752.0,336.0,0.025,2m,1.3,1.2000000000000002,1.3,360.0,488,0.025,3m,0.9,0.8,1.2000000000000002,160,0.25,7,COMPLETE
27,27,-0.12241864862966456,2025-06-16 00:22:16.943559,2025-06-16 00:22:18.675015,0 days 00:00:01.731456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.0,0.025,1m,1.1,0.8,1.8000000000000003,912.0,296,0.05,7m,1.3,1.1,1.9000000000000001,384,0.1,2,COMPLETE
28,28,1.877410625345966,2025-06-16 00:22:18.743960,2025-06-16 00:22:23.343674,0 days 00:00:04.599714,,,,,,,,1024.0,0.025,9m,1.3,1.1,1.1,656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.0,0.05,10m,1.0,0.5,1.5,168.0,664.0,0.05,3m,1.2000000000000002,0.9,1.8000000000000003,480.0,592.0,0.025,5m,1.5,1.3,1.4000000000000001,528.0,848,0.025,8m,0.8,1.4,1.1,200,0.3,5,COMPLETE
29,29,0.6461408316226328,2025-06-16 00:22:23.431319,2025-06-16 00:22:26.193879,0 days 00:00:02.762560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912.0,0.025,3m,1.0,0.8,2.0,464.0,600.0,0.025,5m,1.4,1.5,1.4000000000000001,704.0,1024,0.05,5m,0.6,1.4,1.1,416,0.3,3,COMPLETE
30,30,-1.0335322990960667,2025-06-16 00:22:26.252552,2025-06-16 00:22:29.846197,0 days 00:00:03.593645,,,,,,,,1024.0,0.025,9m,0.9,1.3,1.6,376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.0,0.05,3m,1.4,0.9,1.8000000000000003,552.0,792.0,0.025,5m,1.5,1.3,1.2000000000000002,872.0,912,0.05,8m,0.7,1.4,1.1,272,0.45,4,COMPLETE
31,31,0.7503618208029667,2025-06-16 00:22:29.982891,2025-06-16 00:22:34.333247,0 days 00:00:04.350356,,,,,,,,888.0,0.025,9m,1.3,1.1,1.1,656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928.0,0.05,10m,1.0,0.5,1.5,80.0,560.0,0.05,8m,1.2000000000000002,1.0,1.5,408.0,528.0,0.025,7m,1.5,1.4,1.5,552.0,368,0.025,8m,0.8,1.2000000000000002,1.2000000000000002,192,0.2,5,COMPLETE
