,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_AEP_XEL_beta_win,params_AEP_XEL_stop_loss,params_AEP_XEL_trade_freq,params_AEP_XEL_z_entry,params_AEP_XEL_z_exit,params_AEP_XEL_z_stop_scaler,params_AEP_XEL_z_win,params_COST_INTU_beta_win,params_COST_INTU_stop_loss,params_COST_INTU_trade_freq,params_COST_INTU_z_entry,params_COST_INTU_z_exit,params_COST_INTU_z_stop_scaler,params_COST_INTU_z_win,params_CTSH_MU_beta_win,params_CTSH_MU_stop_loss,params_CTSH_MU_trade_freq,params_CTSH_MU_z_entry,params_CTSH_MU_z_exit,params_CTSH_MU_z_stop_scaler,params_CTSH_MU_z_win,params_EBAY_MU_beta_win,params_EBAY_MU_stop_loss,params_EBAY_MU_trade_freq,params_EBAY_MU_z_entry,params_EBAY_MU_z_exit,params_EBAY_MU_z_stop_scaler,params_EBAY_MU_z_win,params_FAST_MU_beta_win,params_FAST_MU_stop_loss,params_FAST_MU_trade_freq,params_FAST_MU_z_entry,params_FAST_MU_z_exit,params_FAST_MU_z_stop_scaler,params_FAST_MU_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_MNST_ZS_beta_win,params_MNST_ZS_stop_loss,params_MNST_ZS_trade_freq,params_MNST_ZS_z_entry,params_MNST_ZS_z_exit,params_MNST_ZS_z_stop_scaler,params_MNST_ZS_z_win,params_TMUS_VRTX_beta_win,params_TMUS_VRTX_stop_loss,params_TMUS_VRTX_trade_freq,params_TMUS_VRTX_z_entry,params_TMUS_VRTX_z_exit,params_TMUS_VRTX_z_stop_scaler,params_TMUS_VRTX_z_win,params_buffer_capital,params_pairs_to_trade,state
95,95,-1.2862036794569645,2025-06-15 23:45:09.523630,2025-06-15 23:45:12.147799,0 days 00:00:02.624169,,,,,,,,136.0,0.05,6m,0.5,1.3,1.6,632.0,160.0,0.05,10m,1.4,0.6,1.5,416.0,,,,,,,,,,,,,,,736,0.05,10m,0.6,0.9,2.0,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
96,96,-2.3088258001489055,2025-06-15 23:45:12.229805,2025-06-15 23:45:20.368009,0 days 00:00:08.138204,872.0,0.025,2m,1.5,1.5,1.1,960.0,272.0,0.05,7m,0.6,1.5,1.5,712.0,48.0,0.05,4m,1.4,0.7,1.6,144.0,176.0,0.05,6m,1.0,0.6,1.3,624.0,24.0,0.025,8m,1.5,0.5,2.0,992.0,496,0.05,8m,0.5,1.1,1.8000000000000003,1000,760.0,0.05,6m,0.5,0.8,2.0,760.0,560.0,0.025,9m,1.3,0.8,1.9000000000000001,280.0,400.0,0.025,5m,1.2000000000000002,0.8,1.4000000000000001,1008.0,112.0,0.05,2m,1.1,1.1,1.5,896.0,0.2,10,COMPLETE
97,97,-1.7284773980977943,2025-06-15 23:45:20.432985,2025-06-15 23:45:22.134352,0 days 00:00:01.701367,,,,,,,,,,,,,,,112.0,0.05,3m,1.3,0.6,1.4000000000000001,448.0,,,,,,,,,,,,,,,360,0.05,4m,0.6,0.7,1.9000000000000001,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
98,98,1.6740424269138199,2025-06-15 23:45:22.190291,2025-06-15 23:45:23.047001,0 days 00:00:00.856710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,0.05,10m,0.5,0.8,1.3,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
99,99,1.7065905165996382,2025-06-15 23:45:23.119060,2025-06-15 23:45:24.066877,0 days 00:00:00.947817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,0.05,10m,0.5,0.8,1.3,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
100,100,1.5580347147201086,2025-06-15 23:45:24.153321,2025-06-15 23:45:25.167992,0 days 00:00:01.014671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,0.05,10m,0.5,0.8,1.2000000000000002,816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
101,101,2.0009829474302663,2025-06-15 23:45:25.247958,2025-06-15 23:45:26.253760,0 days 00:00:01.005802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,0.05,10m,0.5,0.8,1.2000000000000002,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
102,102,1.6740424269138199,2025-06-15 23:45:26.332786,2025-06-15 23:45:27.294191,0 days 00:00:00.961405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,0.05,10m,0.5,0.8,1.2000000000000002,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
103,103,1.557842312844208,2025-06-15 23:45:27.361197,2025-06-15 23:45:28.259294,0 days 00:00:00.898097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,0.05,10m,0.5,0.8,1.2000000000000002,816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
104,104,1.706411702723037,2025-06-15 23:45:28.327315,2025-06-15 23:45:29.265406,0 days 00:00:00.938091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,0.05,10m,0.5,0.8,1.2000000000000002,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
105,105,1.706411702723037,2025-06-15 23:45:29.320237,2025-06-15 23:45:30.248517,0 days 00:00:00.928280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,0.05,10m,0.5,0.8,1.2000000000000002,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
106,106,0.7477752998914412,2025-06-15 23:45:30.293642,2025-06-15 23:45:31.284009,0 days 00:00:00.990367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,0.05,10m,0.5,0.8,1.2000000000000002,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
107,107,1.7304271223733296,2025-06-15 23:45:31.340466,2025-06-15 23:45:32.241333,0 days 00:00:00.900867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,0.05,10m,0.5,0.8,1.2000000000000002,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
108,108,1.7013022208189754,2025-06-15 23:45:32.299486,2025-06-15 23:45:33.222426,0 days 00:00:00.922940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,0.05,10m,0.5,0.8,1.2000000000000002,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
109,109,1.5901479341958111,2025-06-15 23:45:33.289739,2025-06-15 23:45:34.276022,0 days 00:00:00.986283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,0.05,10m,0.5,0.8,1.2000000000000002,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
110,110,0.8688155383203318,2025-06-15 23:45:34.346534,2025-06-15 23:45:35.356506,0 days 00:00:01.009972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,0.05,10m,0.5,0.8,1.3,736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
111,111,1.5901479341958111,2025-06-15 23:45:35.421593,2025-06-15 23:45:36.389804,0 days 00:00:00.968211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,0.05,10m,0.5,0.8,1.2000000000000002,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
112,112,1.7324289071452101,2025-06-15 23:45:36.431101,2025-06-15 23:45:37.299599,0 days 00:00:00.868498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,0.05,10m,0.5,0.8,1.1,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
113,113,0.8553025898476406,2025-06-15 23:45:37.352476,2025-06-15 23:45:38.196828,0 days 00:00:00.844352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,0.05,10m,0.5,0.8,1.1,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
114,114,1.5716432587406082,2025-06-15 23:45:38.275604,2025-06-15 23:45:39.306505,0 days 00:00:01.030901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,0.05,10m,0.5,0.8,1.3,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
115,115,1.9305857480272173,2025-06-15 23:45:39.356174,2025-06-15 23:45:40.341877,0 days 00:00:00.985703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,0.05,10m,0.5,0.8,1.3,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
116,116,-2.1906015833889967,2025-06-15 23:45:40.398483,2025-06-15 23:45:41.429955,0 days 00:00:01.031472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0.05,2m,0.5,0.8,1.2000000000000002,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
117,117,0.5607764719678465,2025-06-15 23:45:41.481067,2025-06-15 23:45:42.379642,0 days 00:00:00.898575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,0.05,10m,0.5,0.8,1.4000000000000001,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
118,118,0.6806387435426684,2025-06-15 23:45:42.436938,2025-06-15 23:45:43.367226,0 days 00:00:00.930288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,0.05,10m,0.5,0.8,1.1,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
119,119,0.45667110259989124,2025-06-15 23:45:43.418266,2025-06-15 23:45:44.385632,0 days 00:00:00.967366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,0.025,10m,0.5,0.8,1.3,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
120,120,0.34794846615307334,2025-06-15 23:45:44.436632,2025-06-15 23:45:45.324165,0 days 00:00:00.887533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488,0.05,5m,1.2000000000000002,0.8,1.2000000000000002,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
121,121,1.5716432587406082,2025-06-15 23:45:45.376674,2025-06-15 23:45:46.257457,0 days 00:00:00.880783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,0.05,10m,0.5,0.8,1.3,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
122,122,1.6875061432809433,2025-06-15 23:45:46.300751,2025-06-15 23:45:47.227193,0 days 00:00:00.926442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,0.05,10m,0.5,0.8,1.3,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
123,123,1.134477144085232,2025-06-15 23:45:47.296882,2025-06-15 23:45:48.288524,0 days 00:00:00.991642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,0.05,10m,0.5,0.7,1.1,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
124,124,0.8959126416500234,2025-06-15 23:45:48.426699,2025-06-15 23:45:49.638327,0 days 00:00:01.211628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,0.05,10m,0.5,0.8,1.2000000000000002,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
125,125,1.6954946340349542,2025-06-15 23:45:49.701839,2025-06-15 23:45:50.770423,0 days 00:00:01.068584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,0.05,10m,0.5,0.7,1.3,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
126,126,0.4419134369533337,2025-06-15 23:45:50.841421,2025-06-15 23:45:51.944460,0 days 00:00:01.103039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,0.05,9m,0.5,0.7,1.4000000000000001,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
127,127,1.1875701441437962,2025-06-15 23:45:52.027645,2025-06-15 23:45:52.946963,0 days 00:00:00.919318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,0.05,10m,0.5,0.7,1.3,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
128,128,-0.0013883521690039845,2025-06-15 23:45:53.004017,2025-06-15 23:45:53.904275,0 days 00:00:00.900258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,0.05,3m,1.5,0.8,1.3,736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
129,129,-79.20487400166523,2025-06-15 23:45:53.954857,2025-06-15 23:45:55.009544,0 days 00:00:01.054687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,0.05,1m,0.5,0.7,1.1,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
130,130,-0.6805219019585106,2025-06-15 23:45:55.052624,2025-06-15 23:46:02.352947,0 days 00:00:07.300323,40.0,0.025,10m,0.5,1.1,1.6,16.0,512.0,0.025,3m,1.5,0.5,1.1,936.0,1024.0,0.025,2m,0.5,1.5,1.1,928.0,864.0,0.025,5m,1.5,1.1,1.8000000000000003,448.0,,,,,,,,424,0.05,10m,0.5,0.8,1.2000000000000002,848,336.0,0.025,1m,1.3,0.7,1.7000000000000002,312.0,904.0,0.025,5m,1.4,0.6,1.3,408.0,840.0,0.05,4m,0.7,1.2000000000000002,1.9000000000000001,608.0,744.0,0.025,10m,1.0,1.1,1.6,360.0,0.15000000000000002,9,COMPLETE
131,131,1.857414131205891,2025-06-15 23:46:02.422089,2025-06-15 23:46:03.550821,0 days 00:00:01.128732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,0.05,10m,0.5,0.8,1.2000000000000002,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
132,132,1.807920769370579,2025-06-15 23:46:03.640809,2025-06-15 23:46:04.668529,0 days 00:00:01.027720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,0.05,10m,0.5,0.8,1.2000000000000002,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
133,133,1.808180218380927,2025-06-15 23:46:04.757180,2025-06-15 23:46:05.856203,0 days 00:00:01.099023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,0.05,10m,0.5,0.8,1.3,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
134,134,0.6833033352186542,2025-06-15 23:46:05.973329,2025-06-15 23:46:07.052035,0 days 00:00:01.078706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552,0.05,7m,0.5,0.8,1.4000000000000001,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
135,135,1.7009901843211082,2025-06-15 23:46:07.138430,2025-06-15 23:46:08.099115,0 days 00:00:00.960685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,0.05,10m,0.5,0.7,1.3,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
136,136,1.0813122210972683,2025-06-15 23:46:08.154116,2025-06-15 23:46:09.127316,0 days 00:00:00.973200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,0.05,10m,0.5,0.7,1.3,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
137,137,1.7075781761297089,2025-06-15 23:46:09.181857,2025-06-15 23:46:10.309563,0 days 00:00:01.127706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,0.05,10m,0.5,0.7,1.3,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
138,138,0.8324480746138861,2025-06-15 23:46:10.362568,2025-06-15 23:46:11.452286,0 days 00:00:01.089718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544,0.05,10m,0.5,0.7,1.2000000000000002,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
139,139,1.1743207323979061,2025-06-15 23:46:11.499797,2025-06-15 23:46:12.478719,0 days 00:00:00.978922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0.05,10m,0.5,0.7,1.1,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
140,140,-1.062027024874566,2025-06-15 23:46:12.550559,2025-06-15 23:46:14.462166,0 days 00:00:01.911607,,,,,,,,,,,,,,,808.0,0.025,8m,0.7,1.4,1.2000000000000002,728.0,,,,,,,,,,,,,,,504,0.05,4m,0.6,0.7,1.3,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
141,141,1.055489150153131,2025-06-15 23:46:14.509321,2025-06-15 23:46:15.561100,0 days 00:00:01.051779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,0.05,10m,0.5,0.8,1.3,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
142,142,1.2560769043411597,2025-06-15 23:46:15.624316,2025-06-15 23:46:16.577155,0 days 00:00:00.952839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,0.05,10m,0.5,0.7,1.3,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
143,143,1.3909077150404954,2025-06-15 23:46:16.623035,2025-06-15 23:46:17.598838,0 days 00:00:00.975803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,0.05,10m,0.5,0.8,1.4000000000000001,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
144,144,0.40465143853221663,2025-06-15 23:46:17.644838,2025-06-15 23:46:18.686353,0 days 00:00:01.041515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.05,8m,0.5,0.7,1.2000000000000002,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
145,145,2.1912233739729388,2025-06-15 23:46:18.751351,2025-06-15 23:46:20.587266,0 days 00:00:01.835915,,,,,,,,,,,,,,,952.0,0.025,7m,0.5,1.3,1.2000000000000002,992.0,,,,,,,,,,,,,,,464,0.05,10m,0.5,0.8,1.2000000000000002,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
146,146,1.1853775969859477,2025-06-15 23:46:20.650265,2025-06-15 23:46:22.591760,0 days 00:00:01.941495,,,,,,,,,,,,,,,968.0,0.025,5m,0.5,1.3,1.2000000000000002,848.0,,,,,,,,,,,,,,,496,0.05,10m,0.6,0.9,1.2000000000000002,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
147,147,-1.56909818647575,2025-06-15 23:46:22.640760,2025-06-15 23:46:24.561364,0 days 00:00:01.920604,,,,,,,,,,,,,,,880.0,0.025,7m,0.6,1.5,1.1,976.0,,,,,,,,,,,,,,,464,0.05,2m,0.5,0.8,1.2000000000000002,904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
148,148,0.8248479591124618,2025-06-15 23:46:24.620877,2025-06-15 23:46:25.607070,0 days 00:00:00.986193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528,0.05,10m,0.6,0.7,1.1,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
149,149,0.8426786509665509,2025-06-15 23:46:25.658070,2025-06-15 23:46:26.720764,0 days 00:00:01.062694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560,0.05,10m,0.5,0.8,1.2000000000000002,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
