,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_AEP_XEL_beta_win,params_AEP_XEL_stop_loss,params_AEP_XEL_trade_freq,params_AEP_XEL_z_entry,params_AEP_XEL_z_exit,params_AEP_XEL_z_stop_scaler,params_AEP_XEL_z_win,params_COST_INTU_beta_win,params_COST_INTU_stop_loss,params_COST_INTU_trade_freq,params_COST_INTU_z_entry,params_COST_INTU_z_exit,params_COST_INTU_z_stop_scaler,params_COST_INTU_z_win,params_CTSH_MU_beta_win,params_CTSH_MU_stop_loss,params_CTSH_MU_trade_freq,params_CTSH_MU_z_entry,params_CTSH_MU_z_exit,params_CTSH_MU_z_stop_scaler,params_CTSH_MU_z_win,params_EBAY_MU_beta_win,params_EBAY_MU_stop_loss,params_EBAY_MU_trade_freq,params_EBAY_MU_z_entry,params_EBAY_MU_z_exit,params_EBAY_MU_z_stop_scaler,params_EBAY_MU_z_win,params_FAST_MU_beta_win,params_FAST_MU_stop_loss,params_FAST_MU_trade_freq,params_FAST_MU_z_entry,params_FAST_MU_z_exit,params_FAST_MU_z_stop_scaler,params_FAST_MU_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_MNST_ZS_beta_win,params_MNST_ZS_stop_loss,params_MNST_ZS_trade_freq,params_MNST_ZS_z_entry,params_MNST_ZS_z_exit,params_MNST_ZS_z_stop_scaler,params_MNST_ZS_z_win,params_TMUS_VRTX_beta_win,params_TMUS_VRTX_stop_loss,params_TMUS_VRTX_trade_freq,params_TMUS_VRTX_z_entry,params_TMUS_VRTX_z_exit,params_TMUS_VRTX_z_stop_scaler,params_TMUS_VRTX_z_win,params_buffer_capital,params_pairs_to_trade,state
23,23,0.4806094316771042,2025-06-15 23:41:49.759928,2025-06-15 23:41:50.953391,0 days 00:00:01.193463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864,0.05,6m,0.7,0.6,2.0,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
24,24,0.15877755753125347,2025-06-15 23:41:51.009395,2025-06-15 23:41:52.131803,0 days 00:00:01.122408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664,0.05,6m,0.8,0.5,2.0,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
25,25,-0.32439454618558267,2025-06-15 23:41:52.202309,2025-06-15 23:41:55.015818,0 days 00:00:02.813509,,,,,,,,800.0,0.05,9m,0.5,1.5,1.4000000000000001,584.0,584.0,0.025,8m,0.6,0.5,2.0,672.0,,,,,,,,,,,,,,,848,0.05,6m,0.7,0.7,1.9000000000000001,1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
26,26,-24.837263544305095,2025-06-15 23:41:55.063327,2025-06-15 23:42:03.269501,0 days 00:00:08.206174,1024.0,0.025,5m,1.5,0.5,2.0,904.0,480.0,0.025,7m,0.9,0.8,2.0,840.0,232.0,0.025,2m,0.5,0.8,1.8000000000000003,424.0,680.0,0.05,8m,1.2000000000000002,1.2000000000000002,1.6,296.0,1016.0,0.05,1m,0.9,1.2000000000000002,1.3,176.0,488,0.05,6m,0.9,0.6,2.0,936,512.0,0.025,3m,1.4,0.5,1.1,32.0,816.0,0.025,4m,0.8,1.1,2.0,664.0,680.0,0.05,2m,0.5,0.5,1.7000000000000002,344.0,104.0,0.05,3m,0.5,1.5,1.1,1000.0,0.35000000000000003,10,COMPLETE
27,27,-1.0297949307640881,2025-06-15 23:42:03.317502,2025-06-15 23:42:05.223399,0 days 00:00:01.905897,,,,,,,,,,,,,,,408.0,0.05,6m,0.9,1.4,1.9000000000000001,896.0,,,,,,,,,,,,,,,912,0.05,8m,0.6,0.7,1.7000000000000002,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
28,28,-2.551949721703773,2025-06-15 23:42:05.287912,2025-06-15 23:42:09.880924,0 days 00:00:04.593012,,,,,,,,160.0,0.05,3m,1.1,1.2000000000000002,1.7000000000000002,512.0,32.0,0.025,7m,1.1,1.1,1.3,752.0,40.0,0.025,5m,1.2000000000000002,1.2000000000000002,1.8000000000000003,96.0,,,,,,,,1024,0.05,2m,0.9,0.5,1.7000000000000002,616,,,,,,,,424.0,0.05,1m,1.2000000000000002,1.5,1.4000000000000001,1016.0,,,,,,,,,,,,,,,0.4,5,COMPLETE
29,29,-17.330002061835962,2025-06-15 23:42:09.961280,2025-06-15 23:42:11.996102,0 days 00:00:02.034822,,,,,,,,,,,,,,,776.0,0.05,1m,0.8,0.5,1.7000000000000002,664.0,,,,,,,,,,,,,,,496,0.05,3m,0.7,0.6,1.9000000000000001,952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
30,30,0.14955437004599523,2025-06-15 23:42:12.055776,2025-06-15 23:42:13.166821,0 days 00:00:01.111045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664,0.05,9m,0.8,0.7,2.0,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
31,31,0.26185100942672285,2025-06-15 23:42:13.216821,2025-06-15 23:42:14.292526,0 days 00:00:01.075705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872,0.05,6m,0.6,0.6,1.8000000000000003,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
32,32,0.2403896321249768,2025-06-15 23:42:14.372045,2025-06-15 23:42:15.378218,0 days 00:00:01.006173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,0.05,6m,0.6,0.6,1.9000000000000001,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
