,number,value,datetime_start,datetime_complete,duration,params_ADI_ZM_beta_win,params_ADI_ZM_stop_loss,params_ADI_ZM_trade_freq,params_ADI_ZM_z_entry,params_ADI_ZM_z_exit,params_ADI_ZM_z_stop_scaler,params_ADI_ZM_z_win,params_ANSS_ZM_beta_win,params_ANSS_ZM_stop_loss,params_ANSS_ZM_trade_freq,params_ANSS_ZM_z_entry,params_ANSS_ZM_z_exit,params_ANSS_ZM_z_stop_scaler,params_ANSS_ZM_z_win,params_ASML_ZM_beta_win,params_ASML_ZM_stop_loss,params_ASML_ZM_trade_freq,params_ASML_ZM_z_entry,params_ASML_ZM_z_exit,params_ASML_ZM_z_stop_scaler,params_ASML_ZM_z_win,params_AZN_ZM_beta_win,params_AZN_ZM_stop_loss,params_AZN_ZM_trade_freq,params_AZN_ZM_z_entry,params_AZN_ZM_z_exit,params_AZN_ZM_z_stop_scaler,params_AZN_ZM_z_win,params_CDNS_ZM_beta_win,params_CDNS_ZM_stop_loss,params_CDNS_ZM_trade_freq,params_CDNS_ZM_z_entry,params_CDNS_ZM_z_exit,params_CDNS_ZM_z_stop_scaler,params_CDNS_ZM_z_win,params_CPRT_ZM_beta_win,params_CPRT_ZM_stop_loss,params_CPRT_ZM_trade_freq,params_CPRT_ZM_z_entry,params_CPRT_ZM_z_exit,params_CPRT_ZM_z_stop_scaler,params_CPRT_ZM_z_win,params_MDLZ_ZM_beta_win,params_MDLZ_ZM_stop_loss,params_MDLZ_ZM_trade_freq,params_MDLZ_ZM_z_entry,params_MDLZ_ZM_z_exit,params_MDLZ_ZM_z_stop_scaler,params_MDLZ_ZM_z_win,params_MNST_ZM_beta_win,params_MNST_ZM_stop_loss,params_MNST_ZM_trade_freq,params_MNST_ZM_z_entry,params_MNST_ZM_z_exit,params_MNST_ZM_z_stop_scaler,params_MNST_ZM_z_win,params_MSFT_ZM_beta_win,params_MSFT_ZM_stop_loss,params_MSFT_ZM_trade_freq,params_MSFT_ZM_z_entry,params_MSFT_ZM_z_exit,params_MSFT_ZM_z_stop_scaler,params_MSFT_ZM_z_win,params_SGEN_ZM_beta_win,params_SGEN_ZM_stop_loss,params_SGEN_ZM_trade_freq,params_SGEN_ZM_z_entry,params_SGEN_ZM_z_exit,params_SGEN_ZM_z_stop_scaler,params_SGEN_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-1.8311158488879138,2025-06-16 00:21:54.359634,2025-06-16 00:21:56.898495,0 days 00:00:02.538861,,,,,,,,,,,,,,,,,,,,,,224.0,0.025,7m,1.2000000000000002,1.2000000000000002,1.7000000000000002,720.0,,,,,,,,,,,,,,,24,0.025,6m,0.7,1.4,1.8000000000000003,144,856.0,0.025,2m,1.1,0.8,1.4000000000000001,840.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
21,21,0.3045988258901495,2025-06-16 00:21:56.973552,2025-06-16 00:21:59.262735,0 days 00:00:02.289183,,,,,,,,,,,,,,,,,,,,,,256.0,0.025,10m,1.5,1.0,1.6,216.0,,,,,,,,,,,,,,,344,0.05,5m,1.1,0.9,1.1,680,232.0,0.05,6m,1.4,0.6,1.1,360.0,,,,,,,,,,,,,,,0.2,3,COMPLETE
22,22,-1.1800104945226915,2025-06-16 00:21:59.322228,2025-06-16 00:22:01.060735,0 days 00:00:01.738507,,,,,,,,,,,,,,,,,,,,,,440.0,0.025,10m,1.3,0.8,1.6,64.0,,,,,,,,,,,,,,,280,0.05,5m,0.9,1.0,1.2000000000000002,928,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
23,23,0.641303420032666,2025-06-16 00:22:01.115791,2025-06-16 00:22:04.977343,0 days 00:00:03.861552,392.0,0.025,8m,0.8,1.3,1.3,352.0,848.0,0.025,9m,1.3,1.2000000000000002,2.0,184.0,,,,,,,,624.0,0.025,10m,1.3,0.6,1.8000000000000003,304.0,,,,,,,,,,,,,,,488,0.05,5m,1.2000000000000002,0.8,1.1,848,144.0,0.05,6m,1.3,0.7,1.2000000000000002,280.0,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
24,24,-10.381927510230685,2025-06-16 00:22:05.028756,2025-06-16 00:22:09.551182,0 days 00:00:04.522426,384.0,0.025,8m,0.8,1.3,1.3,344.0,824.0,0.025,9m,1.3,1.2000000000000002,2.0,152.0,,,,,,,,664.0,0.025,8m,1.3,0.6,1.8000000000000003,328.0,,,,,,,,,,,,,,,496,0.05,1m,1.1,0.8,1.2000000000000002,832,72.0,0.05,1m,1.2000000000000002,0.7,1.3,56.0,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
25,25,1.0631552794231491,2025-06-16 00:22:09.630343,2025-06-16 00:22:14.300750,0 days 00:00:04.670407,136.0,0.025,8m,0.7,1.4,1.1,520.0,608.0,0.025,8m,1.5,1.4,1.8000000000000003,432.0,,,,,,,,592.0,0.025,2m,1.3,0.5,1.8000000000000003,464.0,,,,,,,,,,,,,,,680,0.05,3m,0.6,0.7,1.1,800,168.0,0.05,4m,1.3,0.9,1.2000000000000002,552.0,,,,,,,,16.0,0.025,7m,0.8,0.5,1.6,544.0,0.05,6,COMPLETE
26,26,-0.9124947704210215,2025-06-16 00:22:14.356512,2025-06-16 00:22:20.222264,0 days 00:00:05.865752,80.0,0.025,8m,0.7,1.4,1.1,528.0,584.0,0.025,8m,1.5,1.5,1.8000000000000003,432.0,,,,,,,,784.0,0.025,2m,1.0,0.5,2.0,472.0,,,,,,,,304.0,0.025,6m,1.0,0.5,1.4000000000000001,752.0,784,0.05,3m,0.6,0.7,1.3,392,16.0,0.05,4m,1.1,1.0,1.4000000000000001,552.0,,,,,,,,16.0,0.025,7m,0.8,0.5,1.6,528.0,0.05,7,COMPLETE
27,27,1.0830895192064631,2025-06-16 00:22:20.300775,2025-06-16 00:22:25.805227,0 days 00:00:05.504452,152.0,0.025,10m,1.2000000000000002,1.0,1.1,152.0,528.0,0.025,8m,1.4,1.4,1.7000000000000002,704.0,,,,,,,,464.0,0.025,2m,1.1,0.7,1.9000000000000001,576.0,,,,,,,,,,,,,,,944,0.05,3m,0.8,0.5,1.5,24,208.0,0.05,4m,1.3,0.9,1.2000000000000002,472.0,,,,,,,,320.0,0.025,6m,0.7,0.7,1.4000000000000001,504.0,0.1,6,COMPLETE
28,28,-2.3979290893376786,2025-06-16 00:22:25.863614,2025-06-16 00:22:31.110128,0 days 00:00:05.246514,144.0,0.025,10m,1.5,1.0,1.1,168.0,528.0,0.025,8m,1.4,1.4,1.7000000000000002,696.0,,,,,,,,472.0,0.025,2m,1.1,0.7,1.9000000000000001,936.0,,,,,,,,,,,,,,,1024,0.05,3m,0.8,0.5,1.5,24,216.0,0.05,4m,1.5,0.9,1.3,472.0,,,,,,,,312.0,0.025,6m,0.7,0.7,1.4000000000000001,528.0,0.1,6,COMPLETE
29,29,-4.2842749993261275,2025-06-16 00:22:31.175830,2025-06-16 00:22:38.336960,0 days 00:00:07.161130,160.0,0.025,10m,0.6,0.9,1.3,112.0,688.0,0.025,8m,1.4,1.4,1.8000000000000003,768.0,,,,,,,,576.0,0.025,2m,0.9,0.8,1.9000000000000001,616.0,1016.0,0.025,1m,1.0,0.5,2.0,16.0,744.0,0.05,3m,0.5,0.8,2.0,304.0,920,0.05,3m,0.8,0.6,1.5,264,152.0,0.05,4m,1.3,0.9,1.6,592.0,,,,,,,,216.0,0.025,6m,0.9,0.8,1.7000000000000002,336.0,0.05,8,COMPLETE
