,number,value,datetime_start,datetime_complete,duration,params_AAPL_BIDU_beta_win,params_AAPL_BIDU_stop_loss,params_AAPL_BIDU_trade_freq,params_AAPL_BIDU_z_entry,params_AAPL_BIDU_z_exit,params_AAPL_BIDU_z_stop_scaler,params_AAPL_BIDU_z_win,params_ALGN_KDP_beta_win,params_ALGN_KDP_stop_loss,params_ALGN_KDP_trade_freq,params_ALGN_KDP_z_entry,params_ALGN_KDP_z_exit,params_ALGN_KDP_z_stop_scaler,params_ALGN_KDP_z_win,params_AMD_ATVI_beta_win,params_AMD_ATVI_stop_loss,params_AMD_ATVI_trade_freq,params_AMD_ATVI_z_entry,params_AMD_ATVI_z_exit,params_AMD_ATVI_z_stop_scaler,params_AMD_ATVI_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_EBAY_TXN_beta_win,params_EBAY_TXN_stop_loss,params_EBAY_TXN_trade_freq,params_EBAY_TXN_z_entry,params_EBAY_TXN_z_exit,params_EBAY_TXN_z_stop_scaler,params_EBAY_TXN_z_win,params_FISV_INTC_beta_win,params_FISV_INTC_stop_loss,params_FISV_INTC_trade_freq,params_FISV_INTC_z_entry,params_FISV_INTC_z_exit,params_FISV_INTC_z_stop_scaler,params_FISV_INTC_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_SBUX_KDP_beta_win,params_SBUX_KDP_stop_loss,params_SBUX_KDP_trade_freq,params_SBUX_KDP_z_entry,params_SBUX_KDP_z_exit,params_SBUX_KDP_z_stop_scaler,params_SBUX_KDP_z_win,params_ZS_ADI_beta_win,params_ZS_ADI_stop_loss,params_ZS_ADI_trade_freq,params_ZS_ADI_z_entry,params_ZS_ADI_z_exit,params_ZS_ADI_z_stop_scaler,params_ZS_ADI_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-17.19853015692754,2025-06-15 23:14:26.117331,2025-06-15 23:14:29.057880,0 days 00:00:02.940549,,,,,,,,,,,,,,,,,,,,,,800.0,0.05,3m,1.1,1.1,1.4000000000000001,648.0,,,,,,,,,,,,,,,920,0.025,1m,0.7,1.1,1.8000000000000003,696,776.0,0.05,1m,1.2000000000000002,1.5,1.8000000000000003,216.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
21,21,-1.1607654148532383,2025-06-15 23:14:29.126966,2025-06-15 23:14:32.942034,0 days 00:00:03.815068,,,,,,,,,,,,,,,728.0,0.025,8m,1.2000000000000002,1.2000000000000002,1.3,584.0,272.0,0.025,5m,1.3,0.5,1.5,160.0,,,,,,,,,,,,,,,424,0.05,7m,0.6,1.4,1.1,144,1024.0,0.025,2m,1.2000000000000002,1.3,1.4000000000000001,832.0,,,,,,,,,,,,,,,0.3,4,COMPLETE
22,22,-0.6109019735890746,2025-06-15 23:14:33.020719,2025-06-15 23:14:38.078712,0 days 00:00:05.057993,712.0,0.05,8m,0.5,1.2000000000000002,1.7000000000000002,768.0,,,,,,,,464.0,0.025,4m,0.8,1.5,1.6,624.0,232.0,0.025,5m,1.3,1.1,1.7000000000000002,408.0,,,,,,,,,,,,,,,696,0.05,7m,0.6,1.0,1.2000000000000002,168,856.0,0.025,2m,1.3,0.9,1.3,480.0,,,,,,,,,,,,,,,0.2,5,COMPLETE
23,23,-3.021656598313266,2025-06-15 23:14:38.165372,2025-06-15 23:14:41.104574,0 days 00:00:02.939202,,,,,,,,,,,,,,,,,,,,,,368.0,0.025,9m,1.2000000000000002,1.3,1.7000000000000002,152.0,,,,,,,,,,,,,,,472,0.05,4m,0.8,1.1,1.2000000000000002,360,656.0,0.025,7m,0.9,1.2000000000000002,1.3,664.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
24,24,1.659510803908445,2025-06-15 23:14:41.195242,2025-06-15 23:14:43.419241,0 days 00:00:02.223999,,,,,,,,,,,,,,,,,,,,,,32.0,0.025,7m,1.4,0.9,1.5,16.0,,,,,,,,,,,,,,,624,0.05,6m,0.6,0.9,1.1,16,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
25,25,3.1840775623737287,2025-06-15 23:14:43.495252,2025-06-15 23:14:45.521971,0 days 00:00:02.026719,,,,,,,,,,,,,,,,,,,,,,24.0,0.025,7m,1.4,0.9,1.3,48.0,,,,,,,,,,,,,,,632,0.05,6m,1.1,0.9,1.5,24,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
26,26,0.4181426637669679,2025-06-15 23:14:45.599625,2025-06-15 23:14:46.788292,0 days 00:00:01.188667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856,0.05,6m,1.1,0.7,1.5,248,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
27,27,0.45936926983921444,2025-06-15 23:14:46.873738,2025-06-15 23:14:48.914031,0 days 00:00:02.040293,,,,,,,,,,,,,,,,,,,,,,24.0,0.025,7m,1.5,1.0,1.3,88.0,,,,,,,,,,,,,,,656,0.05,3m,1.1,0.8,1.5,168,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
28,28,-8.499046953717,2025-06-15 23:14:48.992221,2025-06-15 23:14:52.010701,0 days 00:00:03.018480,,,,,,,,,,,,,,,,,,,,,,584.0,0.05,1m,1.1,1.4,1.3,352.0,,,,,,,,,,,,,,,744,0.05,2m,0.9,0.9,1.7000000000000002,1008,424.0,0.05,1m,1.5,0.7,2.0,136.0,,,,,,,,,,,,,,,0.5,3,COMPLETE
29,29,-2.609337056389554,2025-06-15 23:14:52.094206,2025-06-15 23:15:01.170615,0 days 00:00:09.076409,24.0,0.025,2m,1.2000000000000002,1.2000000000000002,1.4000000000000001,368.0,984.0,0.025,2m,1.4,0.5,2.0,1008.0,16.0,0.05,4m,0.8,0.8,1.8000000000000003,48.0,408.0,0.025,6m,0.9,0.8,1.1,928.0,664.0,0.05,6m,1.0,0.5,1.7000000000000002,392.0,80.0,0.05,8m,0.5,1.5,1.2000000000000002,936.0,544,0.05,5m,1.2000000000000002,0.9,1.3,296,192.0,0.05,4m,1.0,0.5,1.7000000000000002,864.0,632.0,0.025,2m,0.5,0.7,1.8000000000000003,960.0,520.0,0.025,2m,1.4,0.5,1.1,24.0,0.4,10,COMPLETE
