,number,value,datetime_start,datetime_complete,duration,params_AEP_AMGN_beta_win,params_AEP_AMGN_stop_loss,params_AEP_AMGN_trade_freq,params_AEP_AMGN_z_entry,params_AEP_AMGN_z_exit,params_AEP_AMGN_z_stop_scaler,params_AEP_AMGN_z_win,params_AMD_NTES_beta_win,params_AMD_NTES_stop_loss,params_AMD_NTES_trade_freq,params_AMD_NTES_z_entry,params_AMD_NTES_z_exit,params_AMD_NTES_z_stop_scaler,params_AMD_NTES_z_win,params_AMGN_JD_beta_win,params_AMGN_JD_stop_loss,params_AMGN_JD_trade_freq,params_AMGN_JD_z_entry,params_AMGN_JD_z_exit,params_AMGN_JD_z_stop_scaler,params_AMGN_JD_z_win,params_AMZN_GOOGL_beta_win,params_AMZN_GOOGL_stop_loss,params_AMZN_GOOGL_trade_freq,params_AMZN_GOOGL_z_entry,params_AMZN_GOOGL_z_exit,params_AMZN_GOOGL_z_stop_scaler,params_AMZN_GOOGL_z_win,params_AMZN_GOOG_beta_win,params_AMZN_GOOG_stop_loss,params_AMZN_GOOG_trade_freq,params_AMZN_GOOG_z_entry,params_AMZN_GOOG_z_exit,params_AMZN_GOOG_z_stop_scaler,params_AMZN_GOOG_z_win,params_ATVI_NTES_beta_win,params_ATVI_NTES_stop_loss,params_ATVI_NTES_trade_freq,params_ATVI_NTES_z_entry,params_ATVI_NTES_z_exit,params_ATVI_NTES_z_stop_scaler,params_ATVI_NTES_z_win,params_GOOGL_WDAY_beta_win,params_GOOGL_WDAY_stop_loss,params_GOOGL_WDAY_trade_freq,params_GOOGL_WDAY_z_entry,params_GOOGL_WDAY_z_exit,params_GOOGL_WDAY_z_stop_scaler,params_GOOGL_WDAY_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_ORLY_SIRI_beta_win,params_ORLY_SIRI_stop_loss,params_ORLY_SIRI_trade_freq,params_ORLY_SIRI_z_entry,params_ORLY_SIRI_z_exit,params_ORLY_SIRI_z_stop_scaler,params_ORLY_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-6.771057405135817,2025-06-15 23:24:23.303236,2025-06-15 23:24:32.875324,0 days 00:00:09.572088,264.0,0.025,3m,0.5,0.8,1.4000000000000001,248.0,600.0,0.05,5m,1.0,0.5,1.7000000000000002,344.0,136.0,0.05,1m,0.9,0.5,1.7000000000000002,144.0,640.0,0.025,1m,1.2000000000000002,1.2000000000000002,1.4000000000000001,24.0,,,,,,,,864.0,0.05,6m,0.9,1.0,2.0,560.0,,,,,,,,312,0.025,6m,1.0,0.9,1.5,920,,,,,,,,528.0,0.025,2m,1.4,0.5,1.1,40.0,0.05,7,COMPLETE
21,21,-0.09401920548493459,2025-06-15 23:24:33.007188,2025-06-15 23:24:35.924435,0 days 00:00:02.917247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,0.05,3m,1.4,0.5,1.4000000000000001,648,,,,,,,,,,,,,,,0.05,1,COMPLETE
22,22,-0.1086190090988746,2025-06-15 23:24:36.070270,2025-06-15 23:24:41.497434,0 days 00:00:05.427164,,,,,,,,,,,,,,,480.0,0.025,9m,1.5,1.4,1.8000000000000003,808.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,0.05,3m,1.3,0.5,1.2000000000000002,616,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
23,23,-0.22714314058234786,2025-06-15 23:24:41.623739,2025-06-15 23:24:44.572959,0 days 00:00:02.949220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,0.05,3m,1.4,0.6,1.4000000000000001,768,,,,,,,,,,,,,,,0.05,1,COMPLETE
24,24,-1.6165905073277334,2025-06-15 23:24:44.713767,2025-06-15 23:24:50.152507,0 days 00:00:05.438740,,,,,,,,,,,,,,,296.0,0.025,7m,1.2000000000000002,1.1,1.5,472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,0.05,1m,1.5,0.7,1.2000000000000002,416,,,,,,,,,,,,,,,0.1,2,COMPLETE
25,25,-1.4716284747306612,2025-06-15 23:24:50.277197,2025-06-15 23:24:55.787133,0 days 00:00:05.509936,,,,,,,,,,,,,,,648.0,0.05,5m,0.8,0.7,1.3,1008.0,,,,,,,,,,,,,,,640.0,0.025,4m,1.5,1.2000000000000002,1.3,168.0,,,,,,,,216,0.05,9m,1.1,0.5,1.5,696,,,,,,,,,,,,,,,0.25,3,COMPLETE
26,26,-1.362723780497912,2025-06-15 23:24:55.877408,2025-06-15 23:25:00.092289,0 days 00:00:04.214881,568.0,0.05,7m,1.2000000000000002,1.3,1.6,672.0,,,,,,,,160.0,0.025,6m,1.0,0.9,1.6,616.0,,,,,,,,,,,,,,,424.0,0.05,2m,1.1,0.9,1.2000000000000002,440.0,,,,,,,,672,0.05,5m,1.3,0.8,1.7000000000000002,584,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
27,27,-0.25095307829887564,2025-06-15 23:25:00.139265,2025-06-15 23:25:01.015972,0 days 00:00:00.876707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,0.05,10m,1.4,0.6,1.1,848,,,,,,,,,,,,,,,0.1,1,COMPLETE
28,28,-25.384767433919023,2025-06-15 23:25:01.076111,2025-06-15 23:25:05.857731,0 days 00:00:04.781620,88.0,0.05,10m,1.5,1.1,1.5,120.0,,,,,,,,568.0,0.05,8m,0.6,0.7,1.8000000000000003,296.0,1016.0,0.05,10m,1.2000000000000002,1.2000000000000002,1.7000000000000002,352.0,,,,,,,,904.0,0.025,1m,0.5,1.4,1.4000000000000001,640.0,,,,,,,,96,0.05,3m,0.8,1.1,1.4000000000000001,280,,,,,,,,,,,,,,,0.05,5,COMPLETE
29,29,-1.4146574684067241,2025-06-15 23:25:05.918894,2025-06-15 23:25:14.942931,0 days 00:00:09.024037,432.0,0.025,2m,0.7,1.4,1.8000000000000003,320.0,800.0,0.05,2m,1.0,1.5,1.1,24.0,408.0,0.025,4m,1.2000000000000002,1.1,1.9000000000000001,160.0,120.0,0.025,8m,0.7,0.5,1.2000000000000002,752.0,984.0,0.025,5m,1.5,0.5,2.0,1000.0,208.0,0.025,5m,1.3,0.5,1.4000000000000001,296.0,776.0,0.05,4m,1.2000000000000002,1.1,1.1,888.0,856,0.025,6m,1.1,1.3,1.8000000000000003,592,24.0,0.05,8m,0.5,1.5,1.1,1008.0,496.0,0.025,1m,1.1,1.5,1.4000000000000001,680.0,0.5,10,COMPLETE
