,number,value,datetime_start,datetime_complete,duration,params_AEP_MCHP_beta_win,params_AEP_MCHP_stop_loss,params_AEP_MCHP_trade_freq,params_AEP_MCHP_z_entry,params_AEP_MCHP_z_exit,params_AEP_MCHP_z_stop_scaler,params_AEP_MCHP_z_win,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_AMZN_NFLX_beta_win,params_AMZN_NFLX_stop_loss,params_AMZN_NFLX_trade_freq,params_AMZN_NFLX_z_entry,params_AMZN_NFLX_z_exit,params_AMZN_NFLX_z_stop_scaler,params_AMZN_NFLX_z_win,params_ASML_NFLX_beta_win,params_ASML_NFLX_stop_loss,params_ASML_NFLX_trade_freq,params_ASML_NFLX_z_entry,params_ASML_NFLX_z_exit,params_ASML_NFLX_z_stop_scaler,params_ASML_NFLX_z_win,params_AVGO_COST_beta_win,params_AVGO_COST_stop_loss,params_AVGO_COST_trade_freq,params_AVGO_COST_z_entry,params_AVGO_COST_z_exit,params_AVGO_COST_z_stop_scaler,params_AVGO_COST_z_win,params_CCEP_MRVL_beta_win,params_CCEP_MRVL_stop_loss,params_CCEP_MRVL_trade_freq,params_CCEP_MRVL_z_entry,params_CCEP_MRVL_z_exit,params_CCEP_MRVL_z_stop_scaler,params_CCEP_MRVL_z_win,params_COST_KLAC_beta_win,params_COST_KLAC_stop_loss,params_COST_KLAC_trade_freq,params_COST_KLAC_z_entry,params_COST_KLAC_z_exit,params_COST_KLAC_z_stop_scaler,params_COST_KLAC_z_win,params_ISRG_MRVL_beta_win,params_ISRG_MRVL_stop_loss,params_ISRG_MRVL_trade_freq,params_ISRG_MRVL_z_entry,params_ISRG_MRVL_z_exit,params_ISRG_MRVL_z_stop_scaler,params_ISRG_MRVL_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_LULU_TTD_beta_win,params_LULU_TTD_stop_loss,params_LULU_TTD_trade_freq,params_LULU_TTD_z_entry,params_LULU_TTD_z_exit,params_LULU_TTD_z_stop_scaler,params_LULU_TTD_z_win,params_ROP_ROST_beta_win,params_ROP_ROST_stop_loss,params_ROP_ROST_trade_freq,params_ROP_ROST_z_entry,params_ROP_ROST_z_exit,params_ROP_ROST_z_stop_scaler,params_ROP_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-5.178003020667663,2025-06-16 00:41:29.738943,2025-06-16 00:41:33.688421,0 days 00:00:03.949478,,,,,,,,,,,,,,,,,,,,,,584.0,0.025,2m,1.3,1.3,1.5,256.0,1024.0,0.05,8m,1.2000000000000002,0.9,2.0,24.0,,,,,,,,,,,,,,,,,,,,,,928,0.025,8m,0.8,1.3,1.3,904,648,0.025,9m,1.0,1.0,2.0,96,416.0,0.05,7m,1.0,0.8,1.9000000000000001,640.0,0.25,4,COMPLETE
21,21,1.0797879713910852,2025-06-16 00:41:33.764659,2025-06-16 00:41:35.379820,0 days 00:00:01.615161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976,0.025,10m,1.4,0.5,1.5,400,968,0.05,3m,1.1,0.9,2.0,24,,,,,,,,0.5,1,COMPLETE
22,22,0.47426798406492743,2025-06-16 00:41:35.477302,2025-06-16 00:41:37.145450,0 days 00:00:01.668148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.025,10m,1.4,0.6,1.5,304,800,0.05,3m,1.1,0.9,1.9000000000000001,24,,,,,,,,0.5,1,COMPLETE
23,23,-15.249166319950707,2025-06-16 00:41:37.209534,2025-06-16 00:41:39.670678,0 days 00:00:02.461144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,0.025,10m,1.5,0.5,1.7000000000000002,304,1024,0.05,3m,1.2000000000000002,0.7,2.0,120,648.0,0.025,1m,0.5,1.4,1.5,872.0,0.45,2,COMPLETE
24,24,-0.55863168075207,2025-06-16 00:41:39.739999,2025-06-16 00:41:41.375309,0 days 00:00:01.635310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,0.025,9m,1.4,0.8,1.6,472,928,0.05,1m,0.9,1.1,1.7000000000000002,272,,,,,,,,0.5,1,COMPLETE
25,25,0.020176918362053375,2025-06-16 00:41:41.420029,2025-06-16 00:41:45.062625,0 days 00:00:03.642596,,,,,,,,,,,,,,,,,,,,,,496.0,0.05,10m,0.5,0.7,1.7000000000000002,848.0,16.0,0.025,9m,1.2000000000000002,0.5,1.4000000000000001,848.0,,,,,,,,,,,,,,,,,,,,,,592,0.025,7m,1.2000000000000002,0.6,1.4000000000000001,624,816,0.05,7m,1.3,0.9,1.9000000000000001,248,424.0,0.05,6m,1.3,1.0,1.4000000000000001,376.0,0.4,4,COMPLETE
26,26,-3.0269884749382037,2025-06-16 00:41:45.135699,2025-06-16 00:41:48.163438,0 days 00:00:03.027739,,,,,,,,,,,,,,,,,,,,,,776.0,0.025,4m,0.9,1.0,2.0,624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,0.025,2m,1.5,0.8,1.3,304,952,0.05,5m,1.1,0.7,1.8000000000000003,440,904.0,0.025,3m,0.9,0.7,1.7000000000000002,568.0,0.35000000000000003,3,COMPLETE
27,27,-0.9435249721735541,2025-06-16 00:41:48.236190,2025-06-16 00:41:50.447000,0 days 00:00:02.210810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784,0.025,1m,1.3,0.5,1.5,512,832,0.05,2m,1.0,1.0,1.7000000000000002,112,168.0,0.05,4m,1.1,1.0,1.2000000000000002,120.0,0.45,2,COMPLETE
28,28,0.7029649499673436,2025-06-16 00:41:50.524970,2025-06-16 00:41:52.141023,0 days 00:00:01.616053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976,0.025,10m,1.4,0.7,1.8000000000000003,352,264,0.05,6m,0.9,0.8,2.0,16,,,,,,,,0.5,1,COMPLETE
29,29,1.526291651312069,2025-06-16 00:41:52.192367,2025-06-16 00:41:55.098806,0 days 00:00:02.906439,,,,,,,,,,,,,,,,,,,,,,168.0,0.05,2m,0.7,1.4,1.3,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,0.025,5m,1.3,0.6,1.6,472,960,0.05,8m,1.4,1.2000000000000002,1.9000000000000001,168,664.0,0.025,2m,0.7,1.4,1.9000000000000001,736.0,0.1,3,COMPLETE
30,30,0.25884869912584985,2025-06-16 00:41:55.169217,2025-06-16 00:41:57.434079,0 days 00:00:02.264862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616,0.025,4m,1.1,0.9,1.4000000000000001,208,608,0.05,3m,1.2000000000000002,1.2000000000000002,1.7000000000000002,664,144.0,0.05,5m,1.4,0.9,1.4000000000000001,320.0,0.45,2,COMPLETE
31,31,1.474319105838858,2025-06-16 00:41:57.490852,2025-06-16 00:41:59.982231,0 days 00:00:02.491379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848,0.025,10m,1.3,0.6,1.4000000000000001,16,136,0.05,3m,1.1,1.1,1.8000000000000003,544,856.0,0.05,4m,0.8,1.2000000000000002,1.7000000000000002,32.0,0.25,2,COMPLETE
