,number,value,datetime_start,datetime_complete,duration,params_ADBE_SIRI_beta_win,params_ADBE_SIRI_stop_loss,params_ADBE_SIRI_trade_freq,params_ADBE_SIRI_z_entry,params_ADBE_SIRI_z_exit,params_ADBE_SIRI_z_stop_scaler,params_ADBE_SIRI_z_win,params_AMAT_SIRI_beta_win,params_AMAT_SIRI_stop_loss,params_AMAT_SIRI_trade_freq,params_AMAT_SIRI_z_entry,params_AMAT_SIRI_z_exit,params_AMAT_SIRI_z_stop_scaler,params_AMAT_SIRI_z_win,params_BIDU_SIRI_beta_win,params_BIDU_SIRI_stop_loss,params_BIDU_SIRI_trade_freq,params_BIDU_SIRI_z_entry,params_BIDU_SIRI_z_exit,params_BIDU_SIRI_z_stop_scaler,params_BIDU_SIRI_z_win,params_DDOG_ZS_beta_win,params_DDOG_ZS_stop_loss,params_DDOG_ZS_trade_freq,params_DDOG_ZS_z_entry,params_DDOG_ZS_z_exit,params_DDOG_ZS_z_stop_scaler,params_DDOG_ZS_z_win,params_FB_SIRI_beta_win,params_FB_SIRI_stop_loss,params_FB_SIRI_trade_freq,params_FB_SIRI_z_entry,params_FB_SIRI_z_exit,params_FB_SIRI_z_stop_scaler,params_FB_SIRI_z_win,params_JD_SIRI_beta_win,params_JD_SIRI_stop_loss,params_JD_SIRI_trade_freq,params_JD_SIRI_z_entry,params_JD_SIRI_z_exit,params_JD_SIRI_z_stop_scaler,params_JD_SIRI_z_win,params_NTES_PCAR_beta_win,params_NTES_PCAR_stop_loss,params_NTES_PCAR_trade_freq,params_NTES_PCAR_z_entry,params_NTES_PCAR_z_exit,params_NTES_PCAR_z_stop_scaler,params_NTES_PCAR_z_win,params_NVDA_SIRI_beta_win,params_NVDA_SIRI_stop_loss,params_NVDA_SIRI_trade_freq,params_NVDA_SIRI_z_entry,params_NVDA_SIRI_z_exit,params_NVDA_SIRI_z_stop_scaler,params_NVDA_SIRI_z_win,params_PDD_ORLY_beta_win,params_PDD_ORLY_stop_loss,params_PDD_ORLY_trade_freq,params_PDD_ORLY_z_entry,params_PDD_ORLY_z_exit,params_PDD_ORLY_z_stop_scaler,params_PDD_ORLY_z_win,params_PDD_SIRI_beta_win,params_PDD_SIRI_stop_loss,params_PDD_SIRI_trade_freq,params_PDD_SIRI_z_entry,params_PDD_SIRI_z_exit,params_PDD_SIRI_z_stop_scaler,params_PDD_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-0.773821038444091,2025-06-15 23:04:27.699489,2025-06-15 23:04:35.284743,0 days 00:00:07.585254,,,,,,,,624.0,0.025,5m,1.2000000000000002,1.2000000000000002,1.7000000000000002,240.0,768.0,0.05,2m,0.5,1.3,2.0,280.0,152,0.025,1m,0.9,1.4,1.4000000000000001,736,440.0,0.05,5m,1.5,0.9,1.8000000000000003,496.0,16.0,0.025,4m,0.8,1.5,1.7000000000000002,1016.0,504.0,0.025,6m,1.1,1.5,1.4000000000000001,632.0,,,,,,,,792.0,0.025,7m,0.5,1.2000000000000002,1.8000000000000003,48.0,,,,,,,,0.45,7,COMPLETE
21,21,2.3431056625124635,2025-06-15 23:04:35.381614,2025-06-15 23:04:41.869672,0 days 00:00:06.488058,,,,,,,,872.0,0.025,2m,1.3,1.3,1.9000000000000001,48.0,1008.0,0.05,3m,0.5,1.5,2.0,136.0,120,0.05,5m,0.7,1.4,1.4000000000000001,928,688.0,0.05,9m,1.0,0.7,2.0,128.0,408.0,0.025,4m,0.7,1.5,2.0,808.0,,,,,,,,,,,,,,,624.0,0.025,6m,1.0,1.3,1.7000000000000002,832.0,,,,,,,,0.45,6,COMPLETE
22,22,-0.49008632584497697,2025-06-15 23:04:41.946742,2025-06-15 23:04:47.244378,0 days 00:00:05.297636,,,,,,,,792.0,0.025,2m,1.2000000000000002,1.2000000000000002,1.8000000000000003,144.0,,,,,,,,96,0.05,5m,0.7,1.5,1.4000000000000001,1024,704.0,0.05,9m,0.9,0.5,1.8000000000000003,176.0,192.0,0.025,4m,0.7,1.3,1.8000000000000003,864.0,,,,,,,,,,,,,,,608.0,0.025,6m,0.9,1.4,1.7000000000000002,720.0,,,,,,,,0.45,5,COMPLETE
23,23,0.28311903169681274,2025-06-15 23:04:47.341894,2025-06-15 23:04:55.917841,0 days 00:00:08.575947,,,,,,,,792.0,0.025,2m,1.3,1.3,1.5,16.0,1024.0,0.05,3m,0.7,1.5,1.8000000000000003,208.0,200,0.05,5m,0.7,1.4,1.3,872,688.0,0.05,1m,1.3,0.7,1.9000000000000001,144.0,128.0,0.025,4m,0.8,1.4,1.9000000000000001,640.0,752.0,0.025,1m,1.1,0.5,1.5,760.0,,,,,,,,440.0,0.025,6m,1.1,1.1,1.8000000000000003,896.0,88.0,0.05,8m,0.5,1.5,1.1,952.0,0.45,8,COMPLETE
24,24,1.9936137383556032,2025-06-15 23:04:56.017704,2025-06-15 23:05:06.759545,0 days 00:00:10.741841,176.0,0.05,2m,1.2000000000000002,0.6,1.2000000000000002,168.0,584.0,0.025,8m,1.3,1.3,1.8000000000000003,408.0,816.0,0.05,3m,0.5,1.3,2.0,24.0,120,0.05,9m,0.9,1.3,1.5,656,424.0,0.05,9m,1.0,0.9,1.5,448.0,496.0,0.025,3m,1.2000000000000002,1.1,1.6,920.0,280.0,0.05,3m,0.5,0.8,1.9000000000000001,304.0,928.0,0.025,2m,1.5,0.6,2.0,1000.0,744.0,0.025,6m,0.9,1.2000000000000002,2.0,576.0,928.0,0.025,2m,1.0,0.5,2.0,104.0,0.35000000000000003,10,COMPLETE
25,25,0.19308040398631146,2025-06-15 23:05:06.830753,2025-06-15 23:05:13.041920,0 days 00:00:06.211167,,,,,,,,840.0,0.025,10m,1.3,1.3,1.6,144.0,872.0,0.05,6m,1.0,1.3,1.8000000000000003,184.0,280,0.05,4m,0.6,1.5,1.2000000000000002,864,824.0,0.05,9m,1.2000000000000002,0.7,1.7000000000000002,296.0,192.0,0.025,4m,0.7,1.4,1.9000000000000001,720.0,,,,,,,,,,,,,,,608.0,0.025,6m,1.1,1.4,1.9000000000000001,736.0,,,,,,,,0.45,6,COMPLETE
26,26,-2.641546648828351,2025-06-15 23:05:13.109047,2025-06-15 23:05:18.218610,0 days 00:00:05.109563,,,,,,,,64.0,0.025,9m,1.1,1.1,1.9000000000000001,712.0,,,,,,,,80,0.05,2m,1.1,1.4,1.5,792,584.0,0.05,9m,0.9,1.0,1.9000000000000001,120.0,296.0,0.025,4m,0.9,1.4,1.8000000000000003,944.0,,,,,,,,,,,,,,,856.0,0.025,6m,0.8,1.1,1.7000000000000002,896.0,,,,,,,,0.35000000000000003,5,COMPLETE
27,27,0.587054943610882,2025-06-15 23:05:18.291086,2025-06-15 23:05:25.299099,0 days 00:00:07.008013,,,,,,,,712.0,0.025,2m,1.4,1.4,1.6,144.0,608.0,0.05,10m,0.7,1.5,1.6,472.0,176,0.05,6m,0.8,1.2000000000000002,1.2000000000000002,928,816.0,0.05,3m,1.3,0.5,1.8000000000000003,344.0,16.0,0.025,4m,0.7,1.5,2.0,680.0,296.0,0.025,5m,1.3,0.7,1.7000000000000002,80.0,,,,,,,,432.0,0.025,5m,1.2000000000000002,1.4,1.6,440.0,,,,,,,,0.4,7,COMPLETE
28,28,-1.5069863397055083,2025-06-15 23:05:25.378414,2025-06-15 23:05:33.945938,0 days 00:00:08.567524,,,,,,,,912.0,0.05,2m,1.1,0.5,1.8000000000000003,368.0,1016.0,0.05,7m,0.6,1.2000000000000002,1.9000000000000001,152.0,296,0.05,3m,0.7,1.5,1.5,648,504.0,0.05,4m,1.1,0.7,2.0,208.0,816.0,0.025,3m,0.9,1.2000000000000002,1.7000000000000002,928.0,1016.0,0.05,4m,0.9,1.5,1.3,816.0,,,,,,,,696.0,0.025,7m,0.8,1.0,1.8000000000000003,672.0,24.0,0.05,1m,1.0,1.1,1.5,1008.0,0.5,8,COMPLETE
29,29,-0.40239674222934757,2025-06-15 23:05:34.040117,2025-06-15 23:05:40.474045,0 days 00:00:06.433928,,,,,,,,536.0,0.025,2m,1.4,1.0,1.9000000000000001,120.0,688.0,0.05,4m,0.9,1.4,1.9000000000000001,344.0,368,0.05,5m,1.0,1.3,1.4000000000000001,1000,376.0,0.05,1m,1.4,0.9,1.6,112.0,464.0,0.05,1m,1.2000000000000002,0.8,1.6,768.0,,,,,,,,,,,,,,,592.0,0.025,1m,1.0,1.3,1.7000000000000002,880.0,,,,,,,,0.45,6,COMPLETE
