,number,value,datetime_start,datetime_complete,duration,params_ALGN_ZS_beta_win,params_ALGN_ZS_stop_loss,params_ALGN_ZS_trade_freq,params_ALGN_ZS_z_entry,params_ALGN_ZS_z_exit,params_ALGN_ZS_z_stop_scaler,params_ALGN_ZS_z_win,params_ANSS_PYPL_beta_win,params_ANSS_PYPL_stop_loss,params_ANSS_PYPL_trade_freq,params_ANSS_PYPL_z_entry,params_ANSS_PYPL_z_exit,params_ANSS_PYPL_z_stop_scaler,params_ANSS_PYPL_z_win,params_ASML_EBAY_beta_win,params_ASML_EBAY_stop_loss,params_ASML_EBAY_trade_freq,params_ASML_EBAY_z_entry,params_ASML_EBAY_z_exit,params_ASML_EBAY_z_stop_scaler,params_ASML_EBAY_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_INTU_PYPL_beta_win,params_INTU_PYPL_stop_loss,params_INTU_PYPL_trade_freq,params_INTU_PYPL_z_entry,params_INTU_PYPL_z_exit,params_INTU_PYPL_z_stop_scaler,params_INTU_PYPL_z_win,params_KLAC_PYPL_beta_win,params_KLAC_PYPL_stop_loss,params_KLAC_PYPL_trade_freq,params_KLAC_PYPL_z_entry,params_KLAC_PYPL_z_exit,params_KLAC_PYPL_z_stop_scaler,params_KLAC_PYPL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_NVDA_PYPL_beta_win,params_NVDA_PYPL_stop_loss,params_NVDA_PYPL_trade_freq,params_NVDA_PYPL_z_entry,params_NVDA_PYPL_z_exit,params_NVDA_PYPL_z_stop_scaler,params_NVDA_PYPL_z_win,params_NXPI_PYPL_beta_win,params_NXPI_PYPL_stop_loss,params_NXPI_PYPL_trade_freq,params_NXPI_PYPL_z_entry,params_NXPI_PYPL_z_exit,params_NXPI_PYPL_z_stop_scaler,params_NXPI_PYPL_z_win,params_OKTA_SWKS_beta_win,params_OKTA_SWKS_stop_loss,params_OKTA_SWKS_trade_freq,params_OKTA_SWKS_z_entry,params_OKTA_SWKS_z_exit,params_OKTA_SWKS_z_stop_scaler,params_OKTA_SWKS_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,0.10380094965191959,2025-06-16 21:17:52.379589,2025-06-16 21:17:56.365649,0 days 00:00:03.986060,,,,,,,,888.0,0.025,2m,0.5,0.5,1.2000000000000002,704.0,792.0,0.025,6m,0.8,1.4,1.9000000000000001,848.0,,,,,,,,944,0.05,3m,0.7,1.5,1.5,24,248.0,0.025,7m,1.5,1.1,2.0,1000.0,,,,,,,,272.0,0.05,1m,0.9,1.0,1.4000000000000001,232.0,288.0,0.05,3m,0.5,0.7,1.3,24.0,528.0,0.025,3m,1.0,1.5,1.4000000000000001,784.0,0.05,7,COMPLETE
21,21,-1.2496472284441826,2025-06-16 21:17:56.398783,2025-06-16 21:18:01.749019,0 days 00:00:05.350236,40.0,0.05,2m,1.1,0.5,1.7000000000000002,816.0,720.0,0.05,5m,1.4,1.3,1.6,160.0,552.0,0.025,7m,1.1,1.4,2.0,568.0,1016.0,0.025,6m,1.0,1.1,1.4000000000000001,968.0,808,0.025,9m,1.0,0.7,1.5,904,920.0,0.05,5m,1.5,0.8,1.6,608.0,984.0,0.05,8m,1.5,1.5,2.0,16.0,416.0,0.05,9m,1.4,0.8,1.8000000000000003,592.0,648.0,0.05,4m,1.0,0.5,1.7000000000000002,200.0,320.0,0.05,8m,0.8,0.5,1.3,856.0,0.25,10,COMPLETE
22,22,-5.005509128173679,2025-06-16 21:18:01.771561,2025-06-16 21:18:06.195486,0 days 00:00:04.423925,64.0,0.05,10m,1.0,1.1,1.3,352.0,904.0,0.05,1m,1.3,1.1,1.3,408.0,408.0,0.025,9m,0.9,1.5,1.9000000000000001,368.0,464.0,0.025,1m,1.3,1.1,1.4000000000000001,824.0,480,0.025,9m,0.9,0.6,1.8000000000000003,352,712.0,0.05,5m,1.4,1.0,1.1,704.0,,,,,,,,648.0,0.05,1m,1.3,0.9,1.9000000000000001,600.0,312.0,0.05,7m,1.0,0.7,1.5,152.0,296.0,0.05,8m,0.5,0.7,1.7000000000000002,720.0,0.15000000000000002,9,COMPLETE
23,23,-1.6175741433870654,2025-06-16 21:18:06.231826,2025-06-16 21:18:10.094636,0 days 00:00:03.862810,272.0,0.05,6m,0.9,1.0,1.8000000000000003,816.0,648.0,0.05,8m,1.4,1.4,1.5,168.0,568.0,0.025,9m,0.5,1.4,1.7000000000000002,16.0,,,,,,,,704,0.025,4m,1.1,0.8,1.3,680,552.0,0.05,10m,1.3,0.8,1.4000000000000001,864.0,,,,,,,,16.0,0.05,1m,1.1,1.2000000000000002,2.0,352.0,144.0,0.05,6m,0.9,1.3,1.7000000000000002,336.0,696.0,0.05,2m,0.9,1.2000000000000002,1.3,384.0,0.4,8,COMPLETE
24,24,-1.8534674788893968,2025-06-16 21:18:10.127721,2025-06-16 21:18:14.920223,0 days 00:00:04.792502,680.0,0.05,8m,1.1,0.7,1.8000000000000003,832.0,872.0,0.05,9m,1.4,1.4,1.8000000000000003,432.0,736.0,0.025,2m,0.6,1.2000000000000002,1.9000000000000001,664.0,224.0,0.025,6m,0.8,1.2000000000000002,2.0,624.0,1024,0.025,6m,0.9,0.6,1.2000000000000002,872,760.0,0.05,2m,1.5,1.0,1.8000000000000003,528.0,,,,,,,,424.0,0.05,5m,1.5,0.9,1.9000000000000001,488.0,368.0,0.05,10m,0.7,0.9,1.7000000000000002,504.0,232.0,0.05,5m,1.2000000000000002,0.7,1.2000000000000002,704.0,0.45,9,COMPLETE
25,25,0.5444816890336437,2025-06-16 21:18:14.942244,2025-06-16 21:18:20.272001,0 days 00:00:05.329757,640.0,0.025,2m,0.7,1.0,1.4000000000000001,408.0,976.0,0.025,10m,1.2000000000000002,1.1,1.3,72.0,320.0,0.025,5m,0.7,1.1,1.8000000000000003,464.0,688.0,0.025,8m,0.7,0.5,1.2000000000000002,280.0,912,0.025,1m,0.7,0.9,1.5,128,464.0,0.05,4m,1.4,0.8,1.5,368.0,1008.0,0.05,5m,1.2000000000000002,1.3,2.0,272.0,800.0,0.05,4m,1.4,0.7,1.7000000000000002,744.0,792.0,0.05,2m,1.1,0.6,1.4000000000000001,120.0,448.0,0.05,4m,1.2000000000000002,1.3,1.5,424.0,0.1,10,COMPLETE
26,26,-2.7321391571088354,2025-06-16 21:18:20.298487,2025-06-16 21:18:24.636355,0 days 00:00:04.337868,240.0,0.05,4m,1.2000000000000002,0.7,1.9000000000000001,744.0,808.0,0.05,10m,1.5,1.4,1.6,216.0,1024.0,0.025,7m,0.9,1.4,2.0,120.0,,,,,,,,176,0.025,3m,1.1,0.7,1.7000000000000002,416,360.0,0.05,6m,1.2000000000000002,1.4,1.3,168.0,,,,,,,,144.0,0.05,9m,1.0,1.2000000000000002,1.9000000000000001,824.0,544.0,0.05,5m,0.9,1.5,1.6,120.0,688.0,0.05,8m,0.6,1.1,1.4000000000000001,128.0,0.25,8,COMPLETE
27,27,-3.0512210230458683,2025-06-16 21:18:24.669979,2025-06-16 21:18:27.512608,0 days 00:00:02.842629,,,,,,,,664.0,0.025,6m,1.2000000000000002,1.2000000000000002,1.3,112.0,224.0,0.025,1m,0.6,1.1,1.9000000000000001,616.0,,,,,,,,648,0.025,2m,0.9,0.5,1.4000000000000001,256,952.0,0.05,3m,1.5,1.1,1.7000000000000002,688.0,,,,,,,,416.0,0.05,2m,1.3,0.5,2.0,616.0,,,,,,,,,,,,,,,0.35000000000000003,5,COMPLETE
28,28,-0.3343289678384606,2025-06-16 21:18:27.534737,2025-06-16 21:18:28.129177,0 days 00:00:00.594440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.025,9m,0.6,0.8,1.2000000000000002,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
29,29,-7.271548233887053,2025-06-16 21:18:28.150320,2025-06-16 21:18:32.324402,0 days 00:00:04.174082,216.0,0.025,1m,0.6,1.2000000000000002,1.6,936.0,944.0,0.05,7m,1.4,1.0,1.1,736.0,480.0,0.025,6m,1.1,1.3,1.7000000000000002,320.0,416.0,0.025,4m,1.2000000000000002,1.3,1.6,656.0,336,0.05,5m,1.1,0.9,1.7000000000000002,600,840.0,0.05,9m,1.3,0.7,1.9000000000000001,496.0,,,,,,,,600.0,0.05,8m,1.1,1.0,1.7000000000000002,456.0,200.0,0.05,3m,1.2000000000000002,0.6,1.4000000000000001,288.0,200.0,0.025,8m,0.8,0.8,1.8000000000000003,632.0,0.15000000000000002,9,COMPLETE
30,30,-0.5965700196344824,2025-06-16 21:18:32.355431,2025-06-16 21:18:33.843431,0 days 00:00:01.488000,,,,,,,,,,,,,,,600.0,0.025,9m,0.9,1.5,1.8000000000000003,920.0,,,,,,,,816,0.025,9m,0.8,0.6,1.9000000000000001,832,,,,,,,,,,,,,,,1016.0,0.05,3m,0.5,1.0,1.8000000000000003,304.0,,,,,,,,,,,,,,,0.45,3,COMPLETE
31,31,-3.667593155155006,2025-06-16 21:18:33.876101,2025-06-16 21:18:38.434815,0 days 00:00:04.558714,864.0,0.025,3m,0.7,0.7,2.0,648.0,432.0,0.05,3m,1.0,1.5,1.4000000000000001,288.0,376.0,0.05,8m,0.7,0.9,1.9000000000000001,416.0,392.0,0.05,7m,0.6,1.4,1.3,368.0,536,0.025,8m,1.2000000000000002,0.6,1.5,368,888.0,0.05,5m,1.4,1.0,1.2000000000000002,448.0,624.0,0.05,8m,1.5,1.0,1.1,16.0,496.0,0.05,7m,1.5,1.1,1.4000000000000001,680.0,416.0,0.05,9m,1.5,1.0,1.5,408.0,120.0,0.05,9m,0.7,1.0,1.1,488.0,0.15000000000000002,10,COMPLETE
32,32,-2.722273856864342,2025-06-16 21:18:38.468978,2025-06-16 21:18:43.325368,0 days 00:00:04.856390,816.0,0.025,9m,0.8,0.6,1.9000000000000001,608.0,432.0,0.05,3m,1.0,1.4,1.5,272.0,32.0,0.05,8m,0.5,1.0,1.6,200.0,608.0,0.05,2m,0.7,1.3,1.3,216.0,768,0.025,8m,1.4,0.7,1.3,408,768.0,0.05,5m,1.4,0.9,1.1,312.0,,,,,,,,472.0,0.05,7m,1.5,1.1,1.7000000000000002,536.0,312.0,0.05,9m,1.3,1.2000000000000002,1.5,576.0,24.0,0.05,6m,0.6,1.4,1.2000000000000002,640.0,0.2,9,COMPLETE
