,number,value,datetime_start,datetime_complete,duration,params_ABNB_NXPI_beta_win,params_ABNB_NXPI_stop_loss,params_ABNB_NXPI_trade_freq,params_ABNB_NXPI_z_entry,params_ABNB_NXPI_z_exit,params_ABNB_NXPI_z_stop_scaler,params_ABNB_NXPI_z_win,params_CTSH_MAR_beta_win,params_CTSH_MAR_stop_loss,params_CTSH_MAR_trade_freq,params_CTSH_MAR_z_entry,params_CTSH_MAR_z_exit,params_CTSH_MAR_z_stop_scaler,params_CTSH_MAR_z_win,params_DASH_KLAC_beta_win,params_DASH_KLAC_stop_loss,params_DASH_KLAC_trade_freq,params_DASH_KLAC_z_entry,params_DASH_KLAC_z_exit,params_DASH_KLAC_z_stop_scaler,params_DASH_KLAC_z_win,params_DASH_LRCX_beta_win,params_DASH_LRCX_stop_loss,params_DASH_LRCX_trade_freq,params_DASH_LRCX_z_entry,params_DASH_LRCX_z_exit,params_DASH_LRCX_z_stop_scaler,params_DASH_LRCX_z_win,params_DXCM_HON_beta_win,params_DXCM_HON_stop_loss,params_DXCM_HON_trade_freq,params_DXCM_HON_z_entry,params_DXCM_HON_z_exit,params_DXCM_HON_z_stop_scaler,params_DXCM_HON_z_win,params_GOOGL_VRSK_beta_win,params_GOOGL_VRSK_stop_loss,params_GOOGL_VRSK_trade_freq,params_GOOGL_VRSK_z_entry,params_GOOGL_VRSK_z_exit,params_GOOGL_VRSK_z_stop_scaler,params_GOOGL_VRSK_z_win,params_GOOG_VRSK_beta_win,params_GOOG_VRSK_stop_loss,params_GOOG_VRSK_trade_freq,params_GOOG_VRSK_z_entry,params_GOOG_VRSK_z_exit,params_GOOG_VRSK_z_stop_scaler,params_GOOG_VRSK_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_MU_CTAS_beta_win,params_MU_CTAS_stop_loss,params_MU_CTAS_trade_freq,params_MU_CTAS_z_entry,params_MU_CTAS_z_exit,params_MU_CTAS_z_stop_scaler,params_MU_CTAS_z_win,params_PYPL_GFS_beta_win,params_PYPL_GFS_stop_loss,params_PYPL_GFS_trade_freq,params_PYPL_GFS_z_entry,params_PYPL_GFS_z_exit,params_PYPL_GFS_z_stop_scaler,params_PYPL_GFS_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-1.474612280620632,2025-06-16 00:38:58.421619,2025-06-16 00:39:03.829944,0 days 00:00:05.408325,664.0,0.025,2m,1.0,1.2000000000000002,1.8000000000000003,336.0,704.0,0.025,7m,1.2000000000000002,1.3,1.7000000000000002,840.0,856,0.05,10m,1.1,1.0,1.9000000000000001,232,264.0,0.025,5m,0.6,1.2000000000000002,1.9000000000000001,416.0,176.0,0.025,10m,0.7,1.3,1.3,856.0,352.0,0.05,3m,0.8,1.2000000000000002,1.6,72.0,,,,,,,,,,,,,,,,,,,,,,656.0,0.05,2m,0.9,1.1,1.8000000000000003,464.0,0.4,7,COMPLETE
21,21,-2.505743967129772,2025-06-16 00:39:03.902993,2025-06-16 00:39:10.616533,0 days 00:00:06.713540,256.0,0.05,4m,0.8,1.0,1.3,432.0,560.0,0.025,8m,0.6,1.1,1.9000000000000001,648.0,664,0.025,3m,1.3,0.6,1.7000000000000002,416,424.0,0.05,7m,1.5,1.1,1.6,160.0,432.0,0.025,3m,1.1,1.1,1.5,600.0,904.0,0.05,5m,0.7,0.9,1.1,416.0,184.0,0.025,10m,0.9,1.1,1.4000000000000001,816.0,736.0,0.025,8m,0.8,0.8,1.4000000000000001,824.0,,,,,,,,400.0,0.05,2m,1.1,1.4,1.5,224.0,0.5,9,COMPLETE
22,22,-1.9072213089829035,2025-06-16 00:39:10.662783,2025-06-16 00:39:23.188568,0 days 00:00:12.525785,184.0,0.025,5m,0.8,1.0,1.6,72.0,840.0,0.05,8m,0.6,1.0,1.9000000000000001,480.0,352,0.025,2m,1.3,0.7,1.7000000000000002,160,128.0,0.05,7m,1.4,1.5,1.7000000000000002,288.0,456.0,0.05,3m,1.3,1.0,1.3,856.0,688.0,0.05,5m,0.9,1.1,1.3,176.0,,,,,,,,736.0,0.05,1m,1.3,1.1,1.8000000000000003,32.0,,,,,,,,392.0,0.05,3m,1.0,1.2000000000000002,1.6,376.0,0.25,8,COMPLETE
23,23,-47.582326056256704,2025-06-16 00:39:23.326306,2025-06-16 00:39:36.246798,0 days 00:00:12.920492,16.0,0.05,3m,0.9,1.1,1.9000000000000001,816.0,728.0,0.05,8m,0.8,1.1,2.0,176.0,528,0.025,4m,1.4,0.5,1.7000000000000002,376,624.0,0.05,7m,1.4,1.0,1.4000000000000001,648.0,320.0,0.025,7m,1.5,0.8,1.4000000000000001,456.0,888.0,0.05,5m,0.6,1.4,1.2000000000000002,704.0,856.0,0.05,5m,1.3,1.2000000000000002,1.5,144.0,296.0,0.025,6m,0.9,0.7,1.3,344.0,984.0,0.025,1m,0.7,1.0,2.0,56.0,216.0,0.05,4m,1.2000000000000002,1.5,1.9000000000000001,144.0,0.45,10,COMPLETE
24,24,0.6881105331227442,2025-06-16 00:39:36.316214,2025-06-16 00:39:41.492505,0 days 00:00:05.176291,416.0,0.025,9m,0.5,0.8,1.7000000000000002,504.0,496.0,0.025,5m,0.5,0.8,1.8000000000000003,592.0,680,0.025,6m,1.1,0.7,1.5,640,264.0,0.05,8m,1.3,1.2000000000000002,1.7000000000000002,456.0,640.0,0.025,8m,1.0,1.1,1.2000000000000002,680.0,552.0,0.05,9m,1.5,0.8,1.3,312.0,,,,,,,,,,,,,,,,,,,,,,864.0,0.05,10m,0.9,1.0,1.4000000000000001,272.0,0.35000000000000003,7,COMPLETE
25,25,1.543316326370702,2025-06-16 00:39:41.562753,2025-06-16 00:39:46.305502,0 days 00:00:04.742749,,,,,,,,488.0,0.025,5m,0.5,0.8,1.8000000000000003,632.0,872,0.025,6m,1.1,0.9,1.5,888,296.0,0.05,8m,1.3,1.4,1.9000000000000001,448.0,664.0,0.025,8m,0.9,1.2000000000000002,1.2000000000000002,736.0,544.0,0.05,9m,0.8,0.7,1.5,312.0,,,,,,,,,,,,,,,,,,,,,,856.0,0.05,10m,0.7,0.9,1.9000000000000001,40.0,0.35000000000000003,6,COMPLETE
26,26,-2.8655047598380765,2025-06-16 00:39:46.371277,2025-06-16 00:39:50.143388,0 days 00:00:03.772111,,,,,,,,880.0,0.025,5m,0.9,0.5,1.6,680.0,880,0.025,6m,0.9,0.9,1.9000000000000001,912,104.0,0.05,8m,1.1,1.4,1.9000000000000001,272.0,,,,,,,,496.0,0.05,9m,0.8,1.4,1.5,16.0,,,,,,,,,,,,,,,,,,,,,,928.0,0.05,10m,0.7,0.8,1.9000000000000001,24.0,0.35000000000000003,5,COMPLETE
27,27,-4.277515608817612,2025-06-16 00:39:50.204991,2025-06-16 00:39:54.923348,0 days 00:00:04.718357,,,,,,,,1000.0,0.025,9m,0.5,0.8,2.0,872.0,1016,0.025,9m,1.0,1.1,1.4000000000000001,856,280.0,0.025,2m,1.3,1.4,2.0,104.0,800.0,0.025,8m,0.8,1.3,1.2000000000000002,936.0,696.0,0.05,10m,0.6,1.2000000000000002,1.8000000000000003,304.0,,,,,,,,,,,,,,,,,,,,,,640.0,0.025,8m,0.6,0.9,1.8000000000000003,808.0,0.45,6,COMPLETE
28,28,-2.0011534169031426,2025-06-16 00:39:55.002294,2025-06-16 00:40:04.184379,0 days 00:00:09.182085,,,,,,,,,,,,,,,760,0.025,1m,1.2000000000000002,0.8,1.5,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
29,29,-26.458364059161354,2025-06-16 00:40:04.243886,2025-06-16 00:40:08.276578,0 days 00:00:04.032692,,,,,,,,568.0,0.025,5m,0.8,0.7,1.1,728.0,840,0.05,5m,1.1,0.9,1.8000000000000003,752,208.0,0.05,9m,0.8,0.9,1.9000000000000001,248.0,,,,,,,,552.0,0.025,1m,0.9,0.7,1.5,168.0,,,,,,,,,,,,,,,,,,,,,,1008.0,0.05,1m,0.8,1.0,2.0,112.0,0.25,5,COMPLETE
