,number,value,datetime_start,datetime_complete,duration,params_AMZN_CTAS_beta_win,params_AMZN_CTAS_stop_loss,params_AMZN_CTAS_trade_freq,params_AMZN_CTAS_z_entry,params_AMZN_CTAS_z_exit,params_AMZN_CTAS_z_stop_scaler,params_AMZN_CTAS_z_win,params_ANSS_PYPL_beta_win,params_ANSS_PYPL_stop_loss,params_ANSS_PYPL_trade_freq,params_ANSS_PYPL_z_entry,params_ANSS_PYPL_z_exit,params_ANSS_PYPL_z_stop_scaler,params_ANSS_PYPL_z_win,params_CSGP_PYPL_beta_win,params_CSGP_PYPL_stop_loss,params_CSGP_PYPL_trade_freq,params_CSGP_PYPL_z_entry,params_CSGP_PYPL_z_exit,params_CSGP_PYPL_z_stop_scaler,params_CSGP_PYPL_z_win,params_DASH_LIN_beta_win,params_DASH_LIN_stop_loss,params_DASH_LIN_trade_freq,params_DASH_LIN_z_entry,params_DASH_LIN_z_exit,params_DASH_LIN_z_stop_scaler,params_DASH_LIN_z_win,params_DASH_PCAR_beta_win,params_DASH_PCAR_stop_loss,params_DASH_PCAR_trade_freq,params_DASH_PCAR_z_entry,params_DASH_PCAR_z_exit,params_DASH_PCAR_z_stop_scaler,params_DASH_PCAR_z_win,params_DXCM_PYPL_beta_win,params_DXCM_PYPL_stop_loss,params_DXCM_PYPL_trade_freq,params_DXCM_PYPL_z_entry,params_DXCM_PYPL_z_exit,params_DXCM_PYPL_z_stop_scaler,params_DXCM_PYPL_z_win,params_ISRG_MRVL_beta_win,params_ISRG_MRVL_stop_loss,params_ISRG_MRVL_trade_freq,params_ISRG_MRVL_z_entry,params_ISRG_MRVL_z_exit,params_ISRG_MRVL_z_stop_scaler,params_ISRG_MRVL_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_MCHP_PYPL_beta_win,params_MCHP_PYPL_stop_loss,params_MCHP_PYPL_trade_freq,params_MCHP_PYPL_z_entry,params_MCHP_PYPL_z_exit,params_MCHP_PYPL_z_stop_scaler,params_MCHP_PYPL_z_win,params_ROP_ROST_beta_win,params_ROP_ROST_stop_loss,params_ROP_ROST_trade_freq,params_ROP_ROST_z_entry,params_ROP_ROST_z_exit,params_ROP_ROST_z_stop_scaler,params_ROP_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-0.527742766424739,2025-06-16 00:39:39.728061,2025-06-16 00:39:43.589794,0 days 00:00:03.861733,,,,,,,,800.0,0.025,3m,0.8,1.1,1.7000000000000002,664.0,608.0,0.05,6m,1.3,1.4,1.6,944.0,712.0,0.05,1m,1.2000000000000002,1.2000000000000002,1.7000000000000002,768.0,520,0.025,4m,1.1,1.1,1.5,368,,,,,,,,,,,,,,,,,,,,,,24.0,0.05,4m,0.5,0.5,1.8000000000000003,80.0,,,,,,,,0.25,5,COMPLETE
21,21,0.6460781114446418,2025-06-16 00:39:43.667079,2025-06-16 00:39:46.928618,0 days 00:00:03.261539,,,,,,,,240.0,0.025,2m,1.2000000000000002,0.8,1.3,1016.0,704.0,0.05,4m,1.4,1.1,1.2000000000000002,768.0,,,,,,,,632,0.05,2m,1.4,1.5,1.3,400,,,,,,,,,,,,,,,,,,,,,,712.0,0.025,4m,0.9,1.5,1.3,848.0,,,,,,,,0.4,4,COMPLETE
22,22,0.04892732543732955,2025-06-16 00:39:46.987271,2025-06-16 00:39:49.404657,0 days 00:00:02.417386,,,,,,,,,,,,,,,776.0,0.05,4m,1.4,1.1,1.1,912.0,,,,,,,,816,0.05,2m,1.3,1.4,1.3,312,,,,,,,,,,,,,,,,,,,,,,688.0,0.05,4m,0.9,1.4,1.3,848.0,,,,,,,,0.4,3,COMPLETE
23,23,-1.9167443318442319,2025-06-16 00:39:49.461669,2025-06-16 00:39:50.380239,0 days 00:00:00.918570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,0.05,3m,1.1,1.5,1.2000000000000002,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
24,24,-1.4501489985612506,2025-06-16 00:39:50.446003,2025-06-16 00:39:53.820636,0 days 00:00:03.374633,,,,,,,,432.0,0.025,2m,1.2000000000000002,0.8,1.4000000000000001,1008.0,952.0,0.05,1m,1.3,1.1,1.2000000000000002,712.0,,,,,,,,496,0.05,8m,0.9,1.4,1.5,432,,,,,,,,,,,,,,,,,,,,,,872.0,0.025,4m,1.3,1.2000000000000002,1.4000000000000001,1016.0,,,,,,,,0.3,4,COMPLETE
25,25,-6.315388331248501,2025-06-16 00:39:53.895006,2025-06-16 00:39:55.636414,0 days 00:00:01.741408,,,,,,,,,,,,,,,464.0,0.05,8m,1.1,1.4,1.4000000000000001,784.0,,,,,,,,720,0.05,1m,1.4,1.3,1.2000000000000002,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
26,26,-0.1514356425533356,2025-06-16 00:39:55.698601,2025-06-16 00:39:59.471213,0 days 00:00:03.772612,,,,,,,,208.0,0.025,2m,1.2000000000000002,1.0,1.4000000000000001,648.0,632.0,0.05,7m,1.5,1.4,1.2000000000000002,960.0,16.0,0.025,9m,1.2000000000000002,1.2000000000000002,1.6,312.0,1000,0.05,2m,1.2000000000000002,0.8,1.8000000000000003,672,,,,,,,,,,,,,,,,,,,,,,424.0,0.05,5m,1.0,1.4,1.3,888.0,,,,,,,,0.35000000000000003,5,COMPLETE
27,27,-0.908555869726659,2025-06-16 00:39:59.533881,2025-06-16 00:40:06.940331,0 days 00:00:07.406450,16.0,0.05,10m,0.5,1.5,1.1,976.0,488.0,0.025,9m,1.3,0.7,2.0,840.0,896.0,0.05,2m,1.1,1.1,1.3,856.0,640.0,0.05,8m,0.7,1.2000000000000002,1.3,312.0,904,0.05,9m,0.7,1.2000000000000002,1.4000000000000001,848,656.0,0.05,5m,0.5,0.5,1.7000000000000002,344.0,608.0,0.025,2m,1.4,0.5,1.1,120.0,888.0,0.025,4m,1.0,1.3,1.2000000000000002,280.0,656.0,0.025,1m,0.8,1.2000000000000002,1.6,536.0,1024.0,0.025,3m,1.5,0.5,1.9000000000000001,1024.0,0.45,10,COMPLETE
28,28,0.8949371150305476,2025-06-16 00:40:07.022345,2025-06-16 00:40:09.475639,0 days 00:00:02.453294,,,,,,,,,,,,,,,752.0,0.05,5m,1.4,1.2000000000000002,1.1,664.0,,,,,,,,616,0.05,7m,0.9,0.9,1.7000000000000002,400,,,,,,,,,,,,,,,,,,,,,,800.0,0.025,9m,1.1,0.8,1.4000000000000001,912.0,,,,,,,,0.3,3,COMPLETE
29,29,-0.3964773412313402,2025-06-16 00:40:09.550940,2025-06-16 00:40:11.357538,0 days 00:00:01.806598,,,,,,,,,,,,,,,752.0,0.025,5m,1.3,1.2000000000000002,1.1,496.0,,,,,,,,384,0.05,7m,0.9,0.9,1.9000000000000001,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
