,number,value,datetime_start,datetime_complete,duration,params_AMAT_TXN_beta_win,params_AMAT_TXN_stop_loss,params_AMAT_TXN_trade_freq,params_AMAT_TXN_z_entry,params_AMAT_TXN_z_exit,params_AMAT_TXN_z_stop_scaler,params_AMAT_TXN_z_win,params_AMZN_SIRI_beta_win,params_AMZN_SIRI_stop_loss,params_AMZN_SIRI_trade_freq,params_AMZN_SIRI_z_entry,params_AMZN_SIRI_z_exit,params_AMZN_SIRI_z_stop_scaler,params_AMZN_SIRI_z_win,params_BKNG_ZM_beta_win,params_BKNG_ZM_stop_loss,params_BKNG_ZM_trade_freq,params_BKNG_ZM_z_entry,params_BKNG_ZM_z_exit,params_BKNG_ZM_z_stop_scaler,params_BKNG_ZM_z_win,params_COST_PCAR_beta_win,params_COST_PCAR_stop_loss,params_COST_PCAR_trade_freq,params_COST_PCAR_z_entry,params_COST_PCAR_z_exit,params_COST_PCAR_z_stop_scaler,params_COST_PCAR_z_win,params_CSCO_TXN_beta_win,params_CSCO_TXN_stop_loss,params_CSCO_TXN_trade_freq,params_CSCO_TXN_z_entry,params_CSCO_TXN_z_exit,params_CSCO_TXN_z_stop_scaler,params_CSCO_TXN_z_win,params_CTAS_PCAR_beta_win,params_CTAS_PCAR_stop_loss,params_CTAS_PCAR_trade_freq,params_CTAS_PCAR_z_entry,params_CTAS_PCAR_z_exit,params_CTAS_PCAR_z_stop_scaler,params_CTAS_PCAR_z_win,params_JD_SIRI_beta_win,params_JD_SIRI_stop_loss,params_JD_SIRI_trade_freq,params_JD_SIRI_z_entry,params_JD_SIRI_z_exit,params_JD_SIRI_z_stop_scaler,params_JD_SIRI_z_win,params_LULU_PCAR_beta_win,params_LULU_PCAR_stop_loss,params_LULU_PCAR_trade_freq,params_LULU_PCAR_z_entry,params_LULU_PCAR_z_exit,params_LULU_PCAR_z_stop_scaler,params_LULU_PCAR_z_win,params_MDLZ_SIRI_beta_win,params_MDLZ_SIRI_stop_loss,params_MDLZ_SIRI_trade_freq,params_MDLZ_SIRI_z_entry,params_MDLZ_SIRI_z_exit,params_MDLZ_SIRI_z_stop_scaler,params_MDLZ_SIRI_z_win,params_SGEN_SIRI_beta_win,params_SGEN_SIRI_stop_loss,params_SGEN_SIRI_trade_freq,params_SGEN_SIRI_z_entry,params_SGEN_SIRI_z_exit,params_SGEN_SIRI_z_stop_scaler,params_SGEN_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-1.5332935037679152,2025-06-15 23:04:30.900841,2025-06-15 23:04:38.387171,0 days 00:00:07.486330,,,,,,,,,,,,,,,472.0,0.025,3m,1.3,1.1,1.7000000000000002,704.0,536.0,0.025,5m,1.5,1.1,1.3,880.0,584.0,0.05,5m,0.5,1.3,1.8000000000000003,400.0,,,,,,,,432.0,0.05,7m,1.0,1.3,1.8000000000000003,208.0,688,0.025,6m,0.9,1.0,1.5,336,616.0,0.05,2m,0.9,1.1,1.8000000000000003,128.0,600.0,0.025,2m,1.1,0.5,1.4000000000000001,776.0,0.1,7,COMPLETE
21,21,-2.1567025816691485,2025-06-15 23:04:38.485846,2025-06-15 23:04:44.971371,0 days 00:00:06.485525,,,,,,,,,,,,,,,632.0,0.025,8m,1.1,1.4,1.5,544.0,480.0,0.025,5m,1.3,0.8,1.4000000000000001,120.0,768.0,0.05,8m,0.7,1.4,2.0,400.0,,,,,,,,296.0,0.05,4m,1.2000000000000002,1.3,1.9000000000000001,264.0,264,0.05,7m,1.1,1.1,1.4000000000000001,136,680.0,0.05,2m,1.1,1.2000000000000002,1.6,416.0,,,,,,,,0.15000000000000002,6,COMPLETE
22,22,-2.191005126793168,2025-06-15 23:04:45.059010,2025-06-15 23:04:53.574225,0 days 00:00:08.515215,,,,,,,,,,,,,,,736.0,0.025,8m,1.1,1.3,1.6,728.0,248.0,0.025,5m,1.3,0.8,1.5,352.0,472.0,0.05,5m,0.5,1.0,1.8000000000000003,152.0,968.0,0.025,1m,1.0,0.5,1.9000000000000001,16.0,592.0,0.05,7m,1.1,1.5,1.5,496.0,424,0.05,7m,0.7,1.2000000000000002,1.2000000000000002,304,840.0,0.05,2m,0.5,0.9,1.7000000000000002,200.0,376.0,0.025,2m,1.0,0.7,1.3,384.0,0.25,8,COMPLETE
23,23,-0.09672263913572902,2025-06-15 23:04:53.661213,2025-06-15 23:04:58.807370,0 days 00:00:05.146157,,,,,,,,,,,,,,,536.0,0.025,8m,1.3,1.1,1.4000000000000001,616.0,392.0,0.025,5m,1.5,0.6,1.7000000000000002,184.0,800.0,0.05,10m,0.8,1.3,1.6,384.0,,,,,,,,,,,,,,,152,0.05,7m,0.9,1.1,1.5,152,432.0,0.05,2m,1.0,1.2000000000000002,1.5,448.0,,,,,,,,0.15000000000000002,5,COMPLETE
24,24,-3.1395894912993287,2025-06-15 23:04:58.884284,2025-06-15 23:05:07.486420,0 days 00:00:08.602136,,,,,,,,,,,,,,,856.0,0.025,6m,1.1,1.3,1.8000000000000003,384.0,312.0,0.025,8m,1.4,0.7,1.4000000000000001,112.0,504.0,0.05,5m,0.7,1.1,1.5,504.0,64.0,0.05,4m,1.0,1.1,1.5,1016.0,784.0,0.05,3m,0.9,1.2000000000000002,1.8000000000000003,40.0,320,0.05,8m,1.2000000000000002,1.4,1.2000000000000002,24,880.0,0.025,9m,1.4,1.4,1.2000000000000002,624.0,752.0,0.05,1m,1.3,0.8,1.7000000000000002,808.0,0.3,8,COMPLETE
25,25,-0.35219046054240827,2025-06-15 23:05:07.573029,2025-06-15 23:05:14.773481,0 days 00:00:07.200452,,,,,,,,,,,,,,,680.0,0.025,7m,1.3,0.8,2.0,832.0,752.0,0.025,7m,1.3,1.0,1.2000000000000002,224.0,128.0,0.025,1m,1.1,0.9,1.8000000000000003,640.0,,,,,,,,472.0,0.05,10m,1.5,1.3,1.7000000000000002,184.0,488,0.05,4m,0.6,1.4,1.1,408,544.0,0.025,5m,1.1,1.0,1.8000000000000003,312.0,296.0,0.025,4m,0.5,0.7,1.3,712.0,0.05,7,COMPLETE
26,26,-20.57313171712894,2025-06-15 23:05:14.856251,2025-06-15 23:05:18.098356,0 days 00:00:03.242105,,,,,,,,,,,,,,,,,,,,,,192.0,0.025,6m,1.1,0.5,1.6,328.0,,,,,,,,,,,,,,,,,,,,,,648,0.05,9m,0.9,1.0,1.5,208,664.0,0.05,1m,0.8,1.2000000000000002,1.4000000000000001,872.0,,,,,,,,0.35000000000000003,3,COMPLETE
27,27,-3.4628744483973497,2025-06-15 23:05:18.211090,2025-06-15 23:05:24.272171,0 days 00:00:06.061081,,,,,,,,,,,,,,,464.0,0.05,9m,0.8,1.1,1.4000000000000001,496.0,576.0,0.025,9m,1.5,0.8,1.3,672.0,672.0,0.05,7m,0.6,1.4,1.9000000000000001,160.0,,,,,,,,904.0,0.05,2m,0.5,1.4,1.9000000000000001,528.0,352,0.05,1m,0.7,0.9,1.4000000000000001,288,392.0,0.025,8m,1.1,0.5,1.7000000000000002,584.0,,,,,,,,0.2,6,COMPLETE
28,28,-1.8459756972753794,2025-06-15 23:05:24.387413,2025-06-15 23:05:29.883581,0 days 00:00:05.496168,,,,,,,,,,,,,,,960.0,0.025,1m,1.1,1.4,1.5,616.0,472.0,0.025,1m,1.4,0.6,1.5,520.0,880.0,0.05,2m,0.9,1.1,1.7000000000000002,728.0,,,,,,,,,,,,,,,512,0.05,3m,1.1,1.2000000000000002,1.7000000000000002,112,232.0,0.05,7m,1.3,0.8,1.2000000000000002,704.0,,,,,,,,0.1,5,COMPLETE
29,29,-0.11652354880788254,2025-06-15 23:05:29.952479,2025-06-15 23:05:34.292480,0 days 00:00:04.340001,,,,,,,,,,,,,,,576.0,0.025,10m,1.5,1.0,1.3,736.0,344.0,0.025,2m,1.1,0.9,1.7000000000000002,432.0,,,,,,,,,,,,,,,,,,,,,,384,0.05,5m,1.3,1.3,1.1,416,776.0,0.025,3m,1.5,1.4,1.1,64.0,,,,,,,,0.25,4,COMPLETE
30,30,-100.0,2025-06-15 23:05:34.376714,2025-06-15 23:05:36.476267,0 days 00:00:02.099553,,,,,,,,,,,,,,,,,,,,,,16.0,0.025,10m,1.5,0.8,1.4000000000000001,272.0,,,,,,,,,,,,,,,,,,,,,,304,0.05,7m,1.2000000000000002,0.9,1.2000000000000002,648,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
31,31,-0.31353875961989636,2025-06-15 23:05:36.582137,2025-06-15 23:05:41.057766,0 days 00:00:04.475629,,,,,,,,,,,,,,,256.0,0.025,2m,1.0,0.5,1.2000000000000002,864.0,720.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,,,,,,,,,,,,,,,,,,,,,,640,0.05,2m,1.4,1.5,1.3,440,680.0,0.025,4m,0.5,1.4,1.2000000000000002,808.0,,,,,,,,0.4,4,COMPLETE
32,32,0.2714205111499643,2025-06-15 23:05:41.174847,2025-06-15 23:05:44.329738,0 days 00:00:03.154891,,,,,,,,,,,,,,,,,,,,,,664.0,0.05,4m,1.4,0.6,1.2000000000000002,896.0,,,,,,,,,,,,,,,,,,,,,,632,0.05,2m,1.4,1.4,1.3,184,744.0,0.025,4m,0.6,1.4,1.3,864.0,,,,,,,,0.5,3,COMPLETE
33,33,-0.11554487855058222,2025-06-15 23:05:44.404246,2025-06-15 23:05:46.587920,0 days 00:00:02.183674,,,,,,,,,,,,,,,,,,,,,,648.0,0.05,5m,1.5,0.7,1.3,920.0,,,,,,,,,,,,,,,,,,,,,,560,0.05,6m,1.4,1.4,1.4000000000000001,216,,,,,,,,,,,,,,,0.5,2,COMPLETE
34,34,0.8491021144244237,2025-06-15 23:05:46.682146,2025-06-15 23:05:49.901671,0 days 00:00:03.219525,,,,,,,,,,,,,,,,,,,,,,440.0,0.05,3m,1.2000000000000002,0.5,1.1,856.0,,,,,,,,,,,,,,,,,,,,,,736,0.05,7m,0.6,1.2000000000000002,1.5,80,960.0,0.025,6m,0.6,1.3,1.3,1024.0,,,,,,,,0.45,3,COMPLETE
35,35,-0.053995885142570754,2025-06-15 23:05:49.984888,2025-06-15 23:05:51.178775,0 days 00:00:01.193887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912,0.025,8m,1.2000000000000002,1.1,1.5,176,,,,,,,,,,,,,,,0.5,1,COMPLETE
