,number,value,datetime_start,datetime_complete,duration,params_AVGO_MRNA_beta_win,params_AVGO_MRNA_stop_loss,params_AVGO_MRNA_trade_freq,params_AVGO_MRNA_z_entry,params_AVGO_MRNA_z_exit,params_AVGO_MRNA_z_stop_scaler,params_AVGO_MRNA_z_win,params_CPRT_MRNA_beta_win,params_CPRT_MRNA_stop_loss,params_CPRT_MRNA_trade_freq,params_CPRT_MRNA_z_entry,params_CPRT_MRNA_z_exit,params_CPRT_MRNA_z_stop_scaler,params_CPRT_MRNA_z_win,params_FISV_MRNA_beta_win,params_FISV_MRNA_stop_loss,params_FISV_MRNA_trade_freq,params_FISV_MRNA_z_entry,params_FISV_MRNA_z_exit,params_FISV_MRNA_z_stop_scaler,params_FISV_MRNA_z_win,params_ISRG_MRNA_beta_win,params_ISRG_MRNA_stop_loss,params_ISRG_MRNA_trade_freq,params_ISRG_MRNA_z_entry,params_ISRG_MRNA_z_exit,params_ISRG_MRNA_z_stop_scaler,params_ISRG_MRNA_z_win,params_KLAC_MRNA_beta_win,params_KLAC_MRNA_stop_loss,params_KLAC_MRNA_trade_freq,params_KLAC_MRNA_z_entry,params_KLAC_MRNA_z_exit,params_KLAC_MRNA_z_stop_scaler,params_KLAC_MRNA_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_MCHP_MRNA_beta_win,params_MCHP_MRNA_stop_loss,params_MCHP_MRNA_trade_freq,params_MCHP_MRNA_z_entry,params_MCHP_MRNA_z_exit,params_MCHP_MRNA_z_stop_scaler,params_MCHP_MRNA_z_win,params_MDLZ_MRNA_beta_win,params_MDLZ_MRNA_stop_loss,params_MDLZ_MRNA_trade_freq,params_MDLZ_MRNA_z_entry,params_MDLZ_MRNA_z_exit,params_MDLZ_MRNA_z_stop_scaler,params_MDLZ_MRNA_z_win,params_MNST_MRNA_beta_win,params_MNST_MRNA_stop_loss,params_MNST_MRNA_trade_freq,params_MNST_MRNA_z_entry,params_MNST_MRNA_z_exit,params_MNST_MRNA_z_stop_scaler,params_MNST_MRNA_z_win,params_SBUX_MRNA_beta_win,params_SBUX_MRNA_stop_loss,params_SBUX_MRNA_trade_freq,params_SBUX_MRNA_z_entry,params_SBUX_MRNA_z_exit,params_SBUX_MRNA_z_stop_scaler,params_SBUX_MRNA_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-6.009343461385136,2025-06-15 23:39:17.434419,2025-06-15 23:39:25.368265,0 days 00:00:07.933846,208.0,0.025,7m,1.1,0.5,1.9000000000000001,376.0,904,0.025,1m,1.1,1.3,1.3,928,736.0,0.05,9m,1.0,1.3,1.3,712.0,,,,,,,,,,,,,,,24.0,0.05,2m,0.5,0.9,1.4000000000000001,312.0,16.0,0.05,9m,0.8,1.5,1.6,976.0,240.0,0.05,9m,0.9,1.2000000000000002,1.3,896.0,664.0,0.05,2m,0.5,1.1,1.2000000000000002,312.0,,,,,,,,0.1,7,COMPLETE
21,21,-2.1574597376983236,2025-06-15 23:39:25.453635,2025-06-15 23:39:26.752934,0 days 00:00:01.299299,,,,,,,,304,0.05,8m,0.8,1.0,1.8000000000000003,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
22,22,-6.865548832086131,2025-06-15 23:39:26.839809,2025-06-15 23:39:29.429329,0 days 00:00:02.589520,544.0,0.05,9m,0.7,1.3,1.6,136.0,432,0.05,8m,0.9,0.9,1.7000000000000002,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
23,23,-0.0560481631981128,2025-06-15 23:39:29.505998,2025-06-15 23:39:30.694430,0 days 00:00:01.188432,,,,,,,,184,0.05,8m,1.1,1.1,1.8000000000000003,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
24,24,-2.6046094551204715,2025-06-15 23:39:30.779381,2025-06-15 23:39:34.394721,0 days 00:00:03.615340,776.0,0.05,5m,0.9,1.1,2.0,880.0,184,0.05,4m,1.3,1.2000000000000002,2.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.0,0.05,4m,1.3,0.8,1.7000000000000002,456.0,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
25,25,-2.5417361713391324,2025-06-15 23:39:34.494761,2025-06-15 23:39:37.990536,0 days 00:00:03.495775,576.0,0.025,2m,0.6,1.5,1.4000000000000001,592.0,24,0.05,2m,1.1,1.1,1.7000000000000002,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928.0,0.05,3m,0.5,1.0,2.0,640.0,,,,,,,,,,,,,,,0.2,3,COMPLETE
26,26,-1.943650694684775,2025-06-15 23:39:38.073056,2025-06-15 23:39:44.034596,0 days 00:00:05.961540,24.0,0.05,6m,0.8,1.0,1.9000000000000001,696.0,120,0.05,6m,1.4,0.8,1.9000000000000001,160,400.0,0.025,8m,1.1,1.4,1.5,200.0,,,,,,,,,,,,,,,,,,,,,,1024.0,0.025,7m,1.2000000000000002,0.7,1.3,728.0,800.0,0.05,2m,1.0,1.4,1.4000000000000001,216.0,,,,,,,,,,,,,,,0.1,5,COMPLETE
27,27,-1.071436515617983,2025-06-15 23:39:44.117158,2025-06-15 23:39:46.693354,0 days 00:00:02.576196,408.0,0.025,8m,1.1,1.3,1.3,448.0,520,0.05,3m,1.2000000000000002,1.1,1.5,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
28,28,-1.915381517138684,2025-06-15 23:39:46.800230,2025-06-15 23:39:57.104033,0 days 00:00:10.303803,288.0,0.05,8m,0.6,0.8,1.7000000000000002,320.0,648,0.025,8m,1.1,1.3,1.2000000000000002,264,168.0,0.05,3m,0.7,1.1,1.6,432.0,520.0,0.05,6m,0.5,1.0,2.0,352.0,,,,,,,,320.0,0.05,3m,1.3,0.6,1.8000000000000003,608.0,752.0,0.05,6m,1.4,1.1,1.5,504.0,440.0,0.05,1m,1.1,1.1,1.7000000000000002,928.0,24.0,0.025,4m,0.8,0.7,1.3,768.0,776.0,0.05,6m,0.5,1.1,1.2000000000000002,296.0,0.15000000000000002,9,COMPLETE
29,29,-0.037249059249326845,2025-06-15 23:39:57.196252,2025-06-15 23:39:58.596965,0 days 00:00:01.400713,,,,,,,,368,0.05,5m,1.3,0.9,1.1,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
30,30,-4.406996561751972,2025-06-15 23:39:58.686516,2025-06-15 23:40:02.250493,0 days 00:00:03.563977,1024.0,0.05,3m,1.0,1.2000000000000002,1.6,144.0,368,0.05,3m,1.3,0.6,1.1,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0,0.025,5m,1.4,0.7,1.6,776.0,,,,,,,,,,,,,,,0.2,3,COMPLETE
31,31,0.17628253748104117,2025-06-15 23:40:02.359853,2025-06-15 23:40:04.012223,0 days 00:00:01.652370,,,,,,,,264,0.05,5m,1.4,0.9,1.2000000000000002,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
32,32,0.6504799825439016,2025-06-15 23:40:04.100119,2025-06-15 23:40:05.455251,0 days 00:00:01.355132,,,,,,,,264,0.05,5m,1.4,0.9,1.2000000000000002,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
33,33,1.2484237419564246,2025-06-15 23:40:05.536499,2025-06-15 23:40:08.166184,0 days 00:00:02.629685,168.0,0.025,2m,0.8,0.5,1.9000000000000001,808.0,240,0.05,5m,1.5,0.8,1.2000000000000002,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
34,34,0.5897996527369221,2025-06-15 23:40:08.231876,2025-06-15 23:40:10.747456,0 days 00:00:02.515580,152.0,0.025,2m,0.8,0.5,1.9000000000000001,888.0,280,0.05,5m,1.5,0.8,1.2000000000000002,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
35,35,0.11914427845322426,2025-06-15 23:40:10.817780,2025-06-15 23:40:13.587638,0 days 00:00:02.769858,160.0,0.025,2m,0.8,0.5,1.9000000000000001,904.0,256,0.05,5m,1.5,0.8,1.2000000000000002,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
36,36,-0.8479425369660147,2025-06-15 23:40:13.660736,2025-06-15 23:40:17.311629,0 days 00:00:03.650893,224.0,0.025,2m,0.8,0.5,1.8000000000000003,800.0,96,0.05,5m,1.5,0.5,1.6,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632.0,0.05,8m,0.9,0.9,1.8000000000000003,392.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
37,37,-2.388362111685062,2025-06-15 23:40:17.401786,2025-06-15 23:40:22.576853,0 days 00:00:05.175067,320.0,0.025,2m,0.7,0.7,2.0,1024.0,496,0.025,5m,1.5,0.7,1.1,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.0,0.025,10m,0.5,0.9,1.3,240.0,520.0,0.025,7m,1.3,1.2000000000000002,1.4000000000000001,640.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
38,38,-0.26529015792590316,2025-06-15 23:40:22.645787,2025-06-15 23:40:27.756231,0 days 00:00:05.110444,96.0,0.025,10m,0.9,0.8,1.7000000000000002,880.0,232,0.05,10m,1.5,0.6,1.2000000000000002,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,0.05,2m,1.1,1.3,1.7000000000000002,904.0,32.0,0.05,7m,1.1,1.4,1.9000000000000001,200.0,,,,,,,,,,,,,,,0.3,4,COMPLETE
39,39,-0.5225393236723436,2025-06-15 23:40:27.822644,2025-06-15 23:40:30.400373,0 days 00:00:02.577729,224.0,0.025,2m,1.0,0.6,1.9000000000000001,712.0,304,0.05,5m,1.5,0.7,1.4000000000000001,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
40,40,0.3454938880732702,2025-06-15 23:40:30.502651,2025-06-15 23:40:36.911691,0 days 00:00:06.409040,112.0,0.025,2m,0.5,0.7,1.8000000000000003,624.0,992,0.025,5m,1.4,1.0,1.3,192,448.0,0.05,10m,1.0,0.9,1.2000000000000002,656.0,,,,,,,,,,,,,,,,,,,,,,896.0,0.05,1m,1.4,0.7,1.1,368.0,744.0,0.05,8m,1.5,1.0,1.3,872.0,,,,,,,,,,,,,,,0.3,5,COMPLETE
41,41,-3.330345002168177,2025-06-15 23:40:36.975435,2025-06-15 23:40:43.514147,0 days 00:00:06.538712,96.0,0.025,2m,0.5,0.5,1.8000000000000003,760.0,1016,0.025,5m,1.4,1.0,1.3,200,472.0,0.05,10m,1.0,0.8,1.2000000000000002,664.0,,,,,,,,,,,,,,,,,,,,,,904.0,0.05,1m,1.4,0.7,1.1,344.0,736.0,0.05,8m,1.5,1.0,1.3,880.0,,,,,,,,,,,,,,,0.3,5,COMPLETE
