,number,value,datetime_start,datetime_complete,duration,params_ADP_XEL_beta_win,params_ADP_XEL_stop_loss,params_ADP_XEL_trade_freq,params_ADP_XEL_z_entry,params_ADP_XEL_z_exit,params_ADP_XEL_z_stop_scaler,params_ADP_XEL_z_win,params_AEP_MELI_beta_win,params_AEP_MELI_stop_loss,params_AEP_MELI_trade_freq,params_AEP_MELI_z_entry,params_AEP_MELI_z_exit,params_AEP_MELI_z_stop_scaler,params_AEP_MELI_z_win,params_AXON_MSTR_beta_win,params_AXON_MSTR_stop_loss,params_AXON_MSTR_trade_freq,params_AXON_MSTR_z_entry,params_AXON_MSTR_z_exit,params_AXON_MSTR_z_stop_scaler,params_AXON_MSTR_z_win,params_BIIB_MCHP_beta_win,params_BIIB_MCHP_stop_loss,params_BIIB_MCHP_trade_freq,params_BIIB_MCHP_z_entry,params_BIIB_MCHP_z_exit,params_BIIB_MCHP_z_stop_scaler,params_BIIB_MCHP_z_win,params_CDW_IDXX_beta_win,params_CDW_IDXX_stop_loss,params_CDW_IDXX_trade_freq,params_CDW_IDXX_z_entry,params_CDW_IDXX_z_exit,params_CDW_IDXX_z_stop_scaler,params_CDW_IDXX_z_win,params_CMCSA_INTU_beta_win,params_CMCSA_INTU_stop_loss,params_CMCSA_INTU_trade_freq,params_CMCSA_INTU_z_entry,params_CMCSA_INTU_z_exit,params_CMCSA_INTU_z_stop_scaler,params_CMCSA_INTU_z_win,params_CSCO_DASH_beta_win,params_CSCO_DASH_stop_loss,params_CSCO_DASH_trade_freq,params_CSCO_DASH_z_entry,params_CSCO_DASH_z_exit,params_CSCO_DASH_z_stop_scaler,params_CSCO_DASH_z_win,params_DASH_FTNT_beta_win,params_DASH_FTNT_stop_loss,params_DASH_FTNT_trade_freq,params_DASH_FTNT_z_entry,params_DASH_FTNT_z_exit,params_DASH_FTNT_z_stop_scaler,params_DASH_FTNT_z_win,params_NFLX_PLTR_beta_win,params_NFLX_PLTR_stop_loss,params_NFLX_PLTR_trade_freq,params_NFLX_PLTR_z_entry,params_NFLX_PLTR_z_exit,params_NFLX_PLTR_z_stop_scaler,params_NFLX_PLTR_z_win,params_PAYX_XEL_beta_win,params_PAYX_XEL_stop_loss,params_PAYX_XEL_trade_freq,params_PAYX_XEL_z_entry,params_PAYX_XEL_z_exit,params_PAYX_XEL_z_stop_scaler,params_PAYX_XEL_z_win,params_buffer_capital,params_pairs_to_trade,state
22,22,-0.675586502354645,2025-06-16 01:01:01.803062,2025-06-16 01:01:06.102035,0 days 00:00:04.298973,600.0,0.05,9m,1.3,1.2000000000000002,2.0,912.0,696,0.025,3m,1.0,0.7,1.3,184,728.0,0.05,9m,0.8,1.4,1.2000000000000002,416.0,,,,,,,,,,,,,,,664.0,0.05,10m,0.5,0.7,1.2000000000000002,200.0,,,,,,,,344.0,0.025,5m,1.3,1.1,1.6,728.0,576.0,0.025,6m,0.9,0.9,1.9000000000000001,592.0,,,,,,,,0.1,6,COMPLETE
23,23,2.13340348745048,2025-06-16 01:01:06.183267,2025-06-16 01:01:09.764147,0 days 00:00:03.580880,752.0,0.05,5m,1.0,1.5,1.7000000000000002,992.0,616,0.025,9m,0.9,0.5,1.5,80,472.0,0.025,6m,0.7,1.1,1.5,672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.0,0.025,5m,1.3,0.8,1.9000000000000001,944.0,248.0,0.05,7m,0.8,1.1,1.6,864.0,,,,,,,,0.1,5,COMPLETE
24,24,-1.0117735609683622,2025-06-16 01:01:09.839959,2025-06-16 01:01:12.139717,0 days 00:00:02.299758,896.0,0.05,5m,1.0,1.5,1.8000000000000003,1024.0,416,0.025,9m,0.9,0.5,1.5,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.05,7m,0.6,1.2000000000000002,1.4000000000000001,888.0,,,,,,,,0.1,3,COMPLETE
25,25,-2.859127518835262,2025-06-16 01:01:12.198526,2025-06-16 01:01:15.618479,0 days 00:00:03.419953,784.0,0.05,5m,0.8,0.7,1.9000000000000001,808.0,856,0.025,9m,0.9,0.7,1.5,112,896.0,0.025,6m,0.5,1.1,1.5,752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.0,0.025,10m,1.1,0.8,1.9000000000000001,920.0,232.0,0.025,7m,0.8,1.1,1.6,824.0,,,,,,,,0.15000000000000002,5,COMPLETE
26,26,-1.9119966975916591,2025-06-16 01:01:15.689300,2025-06-16 01:01:21.483962,0 days 00:00:05.794662,256.0,0.05,5m,0.5,0.5,1.7000000000000002,400.0,104,0.025,9m,0.7,0.5,1.7000000000000002,208,392.0,0.025,6m,0.9,1.1,1.8000000000000003,864.0,,,,,,,,360.0,0.05,5m,0.9,1.2000000000000002,1.8000000000000003,776.0,832.0,0.05,2m,1.4,1.2000000000000002,1.5,568.0,96.0,0.05,2m,1.1,1.3,1.1,24.0,272.0,0.025,9m,1.3,0.7,2.0,1008.0,448.0,0.05,7m,0.8,1.2000000000000002,1.9000000000000001,984.0,,,,,,,,0.25,8,COMPLETE
27,27,-3.3384716324633756,2025-06-16 01:01:21.548183,2025-06-16 01:01:23.789477,0 days 00:00:02.241294,456.0,0.05,8m,1.1,1.4,1.4000000000000001,592.0,640,0.025,2m,0.6,0.9,1.3,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768.0,0.025,9m,0.6,1.3,1.5,448.0,,,,,,,,0.2,3,COMPLETE
28,28,-51.13087356217431,2025-06-16 01:01:23.866509,2025-06-16 01:01:27.572269,0 days 00:00:03.705760,752.0,0.05,3m,0.8,0.7,1.9000000000000001,208.0,544,0.025,1m,0.9,0.8,1.2000000000000002,80,224.0,0.025,1m,0.8,0.9,1.2000000000000002,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.0,0.025,2m,1.1,0.8,1.8000000000000003,800.0,568.0,0.05,2m,1.1,1.1,1.3,704.0,,,,,,,,0.1,5,COMPLETE
29,29,-4.9882971126726945,2025-06-16 01:01:27.647942,2025-06-16 01:01:30.633596,0 days 00:00:02.985654,920.0,0.05,2m,1.0,0.9,1.6,760.0,352,0.05,6m,1.1,0.9,1.1,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,0.025,3m,1.4,1.0,1.9000000000000001,936.0,320.0,0.025,1m,0.7,0.8,1.6,128.0,,,,,,,,0.2,4,COMPLETE
30,30,-1.99084978069532,2025-06-16 01:01:30.715906,2025-06-16 01:01:32.312279,0 days 00:00:01.596373,,,,,,,,456,0.025,5m,0.8,0.6,1.1,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.0,0.05,5m,1.0,1.0,1.6,816.0,,,,,,,,0.15000000000000002,2,COMPLETE
31,31,0.14610640246460624,2025-06-16 01:01:32.367585,2025-06-16 01:01:36.557725,0 days 00:00:04.190140,640.0,0.05,9m,1.2000000000000002,1.4,1.7000000000000002,928.0,632,0.025,4m,1.2000000000000002,0.6,1.4000000000000001,48,560.0,0.025,6m,0.7,1.4,1.6,192.0,,,,,,,,,,,,,,,392.0,0.05,3m,1.0,0.8,1.4000000000000001,136.0,,,,,,,,408.0,0.025,5m,1.5,1.0,1.8000000000000003,584.0,392.0,0.05,10m,0.8,0.9,1.7000000000000002,496.0,,,,,,,,0.05,6,COMPLETE
