,number,value,datetime_start,datetime_complete,duration,params_AAPL_XEL_beta_win,params_AAPL_XEL_stop_loss,params_AAPL_XEL_trade_freq,params_AAPL_XEL_z_entry,params_AAPL_XEL_z_exit,params_AAPL_XEL_z_stop_scaler,params_AAPL_XEL_z_win,params_ADI_AMZN_beta_win,params_ADI_AMZN_stop_loss,params_ADI_AMZN_trade_freq,params_ADI_AMZN_z_entry,params_ADI_AMZN_z_exit,params_ADI_AMZN_z_stop_scaler,params_ADI_AMZN_z_win,params_AMGN_JD_beta_win,params_AMGN_JD_stop_loss,params_AMGN_JD_trade_freq,params_AMGN_JD_z_entry,params_AMGN_JD_z_exit,params_AMGN_JD_z_stop_scaler,params_AMGN_JD_z_win,params_ANSS_GOOGL_beta_win,params_ANSS_GOOGL_stop_loss,params_ANSS_GOOGL_trade_freq,params_ANSS_GOOGL_z_entry,params_ANSS_GOOGL_z_exit,params_ANSS_GOOGL_z_stop_scaler,params_ANSS_GOOGL_z_win,params_ATVI_MCHP_beta_win,params_ATVI_MCHP_stop_loss,params_ATVI_MCHP_trade_freq,params_ATVI_MCHP_z_entry,params_ATVI_MCHP_z_exit,params_ATVI_MCHP_z_stop_scaler,params_ATVI_MCHP_z_win,params_BIIB_CMCSA_beta_win,params_BIIB_CMCSA_stop_loss,params_BIIB_CMCSA_trade_freq,params_BIIB_CMCSA_z_entry,params_BIIB_CMCSA_z_exit,params_BIIB_CMCSA_z_stop_scaler,params_BIIB_CMCSA_z_win,params_BIIB_MELI_beta_win,params_BIIB_MELI_stop_loss,params_BIIB_MELI_trade_freq,params_BIIB_MELI_z_entry,params_BIIB_MELI_z_exit,params_BIIB_MELI_z_stop_scaler,params_BIIB_MELI_z_win,params_BIIB_MTCH_beta_win,params_BIIB_MTCH_stop_loss,params_BIIB_MTCH_trade_freq,params_BIIB_MTCH_z_entry,params_BIIB_MTCH_z_exit,params_BIIB_MTCH_z_stop_scaler,params_BIIB_MTCH_z_win,params_CHTR_MTCH_beta_win,params_CHTR_MTCH_stop_loss,params_CHTR_MTCH_trade_freq,params_CHTR_MTCH_z_entry,params_CHTR_MTCH_z_exit,params_CHTR_MTCH_z_stop_scaler,params_CHTR_MTCH_z_win,params_COST_PANW_beta_win,params_COST_PANW_stop_loss,params_COST_PANW_trade_freq,params_COST_PANW_z_entry,params_COST_PANW_z_exit,params_COST_PANW_z_stop_scaler,params_COST_PANW_z_win,params_CPRT_WDAY_beta_win,params_CPRT_WDAY_stop_loss,params_CPRT_WDAY_trade_freq,params_CPRT_WDAY_z_entry,params_CPRT_WDAY_z_exit,params_CPRT_WDAY_z_stop_scaler,params_CPRT_WDAY_z_win,params_FISV_INTC_beta_win,params_FISV_INTC_stop_loss,params_FISV_INTC_trade_freq,params_FISV_INTC_z_entry,params_FISV_INTC_z_exit,params_FISV_INTC_z_stop_scaler,params_FISV_INTC_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_MCHP_NXPI_beta_win,params_MCHP_NXPI_stop_loss,params_MCHP_NXPI_trade_freq,params_MCHP_NXPI_z_entry,params_MCHP_NXPI_z_exit,params_MCHP_NXPI_z_stop_scaler,params_MCHP_NXPI_z_win,params_MSFT_ODFL_beta_win,params_MSFT_ODFL_stop_loss,params_MSFT_ODFL_trade_freq,params_MSFT_ODFL_z_entry,params_MSFT_ODFL_z_exit,params_MSFT_ODFL_z_stop_scaler,params_MSFT_ODFL_z_win,params_MTCH_OKTA_beta_win,params_MTCH_OKTA_stop_loss,params_MTCH_OKTA_trade_freq,params_MTCH_OKTA_z_entry,params_MTCH_OKTA_z_exit,params_MTCH_OKTA_z_stop_scaler,params_MTCH_OKTA_z_win,params_MTCH_SWKS_beta_win,params_MTCH_SWKS_stop_loss,params_MTCH_SWKS_trade_freq,params_MTCH_SWKS_z_entry,params_MTCH_SWKS_z_exit,params_MTCH_SWKS_z_stop_scaler,params_MTCH_SWKS_z_win,params_MTCH_ZM_beta_win,params_MTCH_ZM_stop_loss,params_MTCH_ZM_trade_freq,params_MTCH_ZM_z_entry,params_MTCH_ZM_z_exit,params_MTCH_ZM_z_stop_scaler,params_MTCH_ZM_z_win,params_PEP_XEL_beta_win,params_PEP_XEL_stop_loss,params_PEP_XEL_trade_freq,params_PEP_XEL_z_entry,params_PEP_XEL_z_exit,params_PEP_XEL_z_stop_scaler,params_PEP_XEL_z_win,params_buffer_capital,params_pairs_to_trade,state
34,34,-2.690661697768534,2025-06-21 19:07:33.633000,2025-06-21 19:07:39.748196,0 days 00:00:06.115196,1120.0,0.01,3m,1.0,0.8,0.5,880.0,,,,,,,,,,,,,,,,,,,,,,5136.0,0.02,2m,1.8,0.0,1.0,448.0,5728.0,0.01,1m,1.2,1.0,1.0,808.0,5632.0,0.01,5m,1.2,1.0,2.0,336.0,8096.0,0.015,1m,1.6,0.2,1.5,672.0,2400.0,0.02,2m,2.8,0.8,2.0,752.0,,,,,,,,6504.0,0.02,2m,1.0,0.0,1.5,272.0,,,,,,,,6264.0,0.02,4m,1.6,0.8,2.0,392.0,2752.0,0.015,1m,2.4000000000000004,1.0,0.5,840.0,7448.0,0.02,2m,1.2,0.2,1.0,264.0,2904.0,0.02,5m,2.8,0.6000000000000001,1.5,1000.0,,,,,,,,8176.0,0.015,4m,2.8,0.0,0.5,304.0,2208,0.01,1m,2.0,1.0,2.0,488,3416.0,0.01,1m,2.4000000000000004,0.2,2.0,896.0,0.3,14,COMPLETE
35,35,0.3494242664647063,2025-06-21 19:07:39.826618,2025-06-21 19:07:47.227639,0 days 00:00:07.401021,2584.0,0.01,5m,1.4,0.8,1.0,120.0,7944.0,0.01,1m,2.4000000000000004,0.6000000000000001,0.5,640.0,5384.0,0.015,3m,2.4000000000000004,0.0,1.0,664.0,,,,,,,,7296.0,0.02,2m,1.2,0.2,0.5,320.0,8112.0,0.01,1m,2.2,0.8,0.5,512.0,7528.0,0.015,5m,1.0,0.8,1.5,496.0,7408.0,0.015,2m,1.0,0.0,0.5,504.0,3368.0,0.015,2m,2.6,1.0,1.5,960.0,,,,,,,,5696.0,0.015,1m,1.2,0.2,1.0,408.0,,,,,,,,6264.0,0.02,4m,1.4,0.2,1.5,752.0,1024.0,0.01,1m,2.6,1.0,1.0,736.0,6600.0,0.015,3m,1.6,0.0,0.5,144.0,6288.0,0.02,1m,3.0,0.8,1.5,552.0,6152.0,0.01,1m,1.6,0.8,1.5,800.0,7592.0,0.015,4m,1.6,0.2,0.5,432.0,4568,0.01,1m,2.2,0.6000000000000001,2.0,376,2760.0,0.01,1m,2.0,0.0,2.0,928.0,0.45,17,COMPLETE
36,36,1.8090917655055705,2025-06-21 19:07:47.321677,2025-06-21 19:07:51.355298,0 days 00:00:04.033621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4144.0,0.015,2m,1.6,0.0,0.5,512.0,,,,,,,,,,,,,,,6384.0,0.015,1m,2.0,0.2,1.0,856.0,5096.0,0.02,2m,2.2,1.0,2.0,832.0,,,,,,,,7632.0,0.015,2m,1.4,0.4,1.5,144.0,,,,,,,,,,,,,,,1952.0,0.015,2m,2.2,0.8,0.5,928.0,8184.0,0.015,3m,2.0,0.4,1.0,488.0,4840.0,0.02,2m,2.6,0.8,1.5,928.0,,,,,,,,6936.0,0.015,4m,2.2,0.0,1.0,216.0,3944,0.015,1m,1.8,0.8,2.0,264,,,,,,,,0.35000000000000003,9,COMPLETE
37,37,-0.7875872396170975,2025-06-21 19:07:51.433816,2025-06-21 19:07:53.965051,0 days 00:00:02.531235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5088.0,0.02,2m,1.6,0.2,1.0,640.0,,,,,,,,,,,,,,,5848.0,0.01,2m,1.2,0.2,1.0,744.0,1664.0,0.02,2m,2.6,0.6000000000000001,2.0,920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3008.0,0.01,1m,2.8,0.6000000000000001,1.0,648.0,,,,,,,,3848.0,0.02,1m,2.2,0.6000000000000001,2.0,792.0,,,,,,,,,,,,,,,3008,0.015,4m,2.0,1.0,2.0,160,,,,,,,,0.4,6,COMPLETE
38,38,-1.1032862496930176,2025-06-21 19:07:54.052039,2025-06-21 19:07:58.894593,0 days 00:00:04.842554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6128.0,0.015,5m,1.0,0.0,0.5,416.0,,,,,,,,6456.0,0.01,1m,1.4,1.0,2.0,184.0,4896.0,0.02,1m,1.4,0.0,1.5,672.0,1032.0,0.02,4m,2.8,1.0,2.0,968.0,,,,,,,,6688.0,0.02,2m,1.0,0.2,2.0,248.0,,,,,,,,,,,,,,,2128.0,0.015,4m,2.4000000000000004,1.0,1.0,768.0,6592.0,0.02,3m,1.0,0.2,0.5,136.0,3144.0,0.02,5m,2.8,1.0,1.5,496.0,,,,,,,,6288.0,0.015,4m,3.0,0.2,1.0,304.0,2000,0.01,1m,2.4000000000000004,0.8,1.5,416,1904.0,0.01,1m,2.6,0.2,1.5,736.0,0.3,11,COMPLETE
39,39,-0.9817466583968293,2025-06-21 19:07:58.969279,2025-06-21 19:08:02.335986,0 days 00:00:03.366707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4456.0,0.02,1m,1.4,0.2,0.5,568.0,,,,,,,,,,,,,,,7144.0,0.015,5m,2.2,0.4,1.5,944.0,2048.0,0.015,2m,2.4000000000000004,0.8,1.5,776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1488.0,0.015,1m,2.6,0.4,0.5,576.0,6120.0,0.02,5m,1.4,0.6000000000000001,1.0,256.0,1792.0,0.02,1m,1.4,0.8,1.5,592.0,,,,,,,,7672.0,0.02,4m,2.8,0.4,0.5,160.0,3656,0.015,5m,2.2,0.6000000000000001,2.0,296,,,,,,,,0.5,8,COMPLETE
40,40,-1.2314665314299422,2025-06-21 19:08:02.420463,2025-06-21 19:08:10.367892,0 days 00:00:07.947429,4120.0,0.01,3m,2.6,1.0,0.5,1024.0,5296.0,0.01,5m,2.2,1.0,1.0,624.0,6568.0,0.015,2m,1.0,0.4,0.5,64.0,7872.0,0.02,1m,2.8,1.0,2.0,80.0,6624.0,0.02,2m,1.2,0.0,0.5,296.0,7072.0,0.01,1m,1.6,1.0,0.5,712.0,7432.0,0.015,5m,1.2,0.6000000000000001,1.5,368.0,5544.0,0.02,1m,1.6,0.2,1.0,840.0,2720.0,0.01,3m,3.0,0.4,2.0,680.0,6528.0,0.02,5m,2.6,0.4,2.0,80.0,7592.0,0.02,2m,1.2,0.0,1.5,344.0,,,,,,,,5128.0,0.015,5m,2.0,0.2,0.5,328.0,1832.0,0.01,1m,2.0,0.8,1.0,704.0,4824.0,0.015,3m,2.0,0.0,0.5,328.0,5312.0,0.02,2m,3.0,0.6000000000000001,1.5,696.0,5880.0,0.01,1m,1.6,0.8,2.0,824.0,7256.0,0.015,4m,2.0,0.0,0.5,272.0,4904,0.01,1m,1.6,0.0,2.0,568,3784.0,0.01,5m,2.2,0.0,2.0,608.0,0.35000000000000003,19,COMPLETE
41,41,2.7815548861765786,2025-06-21 19:08:10.463970,2025-06-21 19:08:17.996069,0 days 00:00:07.532099,6272.0,0.015,1m,1.4,0.8,1.0,768.0,,,,,,,,7816.0,0.01,5m,3.0,0.0,0.5,1024.0,,,,,,,,4304.0,0.02,2m,1.4,0.0,0.5,664.0,5912.0,0.015,1m,1.4,0.8,1.0,536.0,8192.0,0.015,5m,1.0,0.8,1.5,536.0,5216.0,0.015,1m,1.4,0.0,2.0,600.0,3864.0,0.02,2m,2.0,1.0,2.0,1016.0,,,,,,,,8168.0,0.015,2m,1.0,0.2,1.5,72.0,,,,,,,,8192.0,0.015,4m,1.6,0.0,0.5,384.0,2640.0,0.01,1m,1.8,1.0,1.5,632.0,5704.0,0.015,2m,1.4,0.2,0.5,64.0,2872.0,0.015,1m,3.0,1.0,1.0,656.0,2776.0,0.015,1m,2.2,1.0,1.5,648.0,7984.0,0.02,4m,2.0,0.4,0.5,224.0,5440,0.01,1m,1.6,1.0,2.0,680,2504.0,0.01,4m,2.2,0.0,2.0,864.0,0.25,16,COMPLETE
42,42,0.16093340013319601,2025-06-21 19:08:18.098931,2025-06-21 19:08:24.799739,0 days 00:00:06.700808,6984.0,0.015,3m,1.2,0.8,1.0,696.0,,,,,,,,8136.0,0.01,5m,2.6,0.0,1.0,856.0,,,,,,,,5368.0,0.02,2m,1.0,0.0,0.5,680.0,5920.0,0.015,1m,1.6,0.6000000000000001,1.0,512.0,7704.0,0.015,5m,1.0,0.8,2.0,560.0,6176.0,0.015,1m,1.2,0.0,2.0,600.0,4008.0,0.02,2m,2.0,1.0,2.0,936.0,,,,,,,,7848.0,0.015,1m,1.0,0.2,1.5,112.0,,,,,,,,7056.0,0.015,4m,1.8,0.2,0.5,312.0,1360.0,0.01,1m,1.8,1.0,1.5,632.0,5840.0,0.015,2m,1.2,0.2,0.5,120.0,3648.0,0.015,1m,2.8,1.0,1.5,760.0,2304.0,0.015,1m,2.0,0.8,1.5,648.0,7832.0,0.02,4m,1.8,0.4,0.5,120.0,4064,0.01,1m,1.8,1.0,2.0,472,1568.0,0.01,4m,2.2,0.0,2.0,952.0,0.25,16,COMPLETE
43,43,-0.509521038244314,2025-06-21 19:08:24.895099,2025-06-21 19:08:32.167088,0 days 00:00:07.271989,2360.0,0.01,1m,1.4,1.0,0.5,536.0,3800.0,0.015,3m,2.6,0.2,0.5,352.0,6832.0,0.015,5m,3.0,0.2,0.5,1008.0,,,,,,,,4384.0,0.02,5m,1.6,0.2,0.5,544.0,5488.0,0.01,1m,1.2,0.8,0.5,528.0,7008.0,0.015,5m,1.2,1.0,2.0,504.0,6712.0,0.015,1m,2.6,0.0,1.5,504.0,4872.0,0.02,2m,2.0,1.0,2.0,976.0,,,,,,,,7096.0,0.015,2m,1.2,0.2,1.5,224.0,,,,,,,,7240.0,0.015,4m,1.4,0.0,0.5,528.0,3736.0,0.01,1m,1.8,1.0,1.0,808.0,5368.0,0.015,2m,1.6,0.0,0.5,208.0,2736.0,0.015,1m,3.0,1.0,1.0,672.0,2672.0,0.015,1m,2.0,1.0,1.0,832.0,7224.0,0.015,2m,1.4,0.2,0.5,240.0,4784,0.01,1m,1.4,1.0,2.0,192,2296.0,0.01,4m,2.0,0.0,2.0,848.0,0.4,17,COMPLETE
44,44,0.08518248270025751,2025-06-21 19:08:32.251207,2025-06-21 19:08:37.525812,0 days 00:00:05.274605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4944.0,0.02,2m,1.4,0.0,0.5,488.0,4032.0,0.015,1m,1.0,1.0,1.0,672.0,5976.0,0.01,5m,1.0,0.8,1.5,280.0,4248.0,0.015,3m,1.0,0.2,1.5,776.0,3200.0,0.02,1m,1.8,0.8,2.0,1016.0,,,,,,,,7000.0,0.015,2m,1.0,0.4,1.0,128.0,,,,,,,,,,,,,,,2360.0,0.01,2m,2.2,1.0,1.5,872.0,7352.0,0.02,2m,1.0,0.2,1.5,208.0,3360.0,0.015,1m,2.8,1.0,0.5,832.0,,,,,,,,8144.0,0.02,4m,2.4000000000000004,0.0,1.0,128.0,5904,0.01,1m,2.0,1.0,2.0,256,2888.0,0.01,4m,1.8,0.2,2.0,840.0,0.3,12,COMPLETE
45,45,-0.35206495152145484,2025-06-21 19:08:37.579368,2025-06-21 19:08:43.976771,0 days 00:00:06.397403,4440.0,0.015,5m,1.2,0.6000000000000001,1.0,784.0,,,,,,,,,,,,,,,,,,,,,,5952.0,0.02,1m,1.2,0.0,0.5,704.0,6952.0,0.01,2m,1.4,0.8,0.5,832.0,7776.0,0.015,5m,1.6,1.0,2.0,392.0,5104.0,0.015,5m,1.4,0.0,2.0,680.0,2808.0,0.02,4m,2.4000000000000004,1.0,2.0,912.0,,,,,,,,1128.0,0.015,2m,1.4,0.0,1.5,64.0,,,,,,,,8184.0,0.02,1m,2.0,0.2,1.5,808.0,3072.0,0.01,1m,1.4,0.2,0.5,112.0,7776.0,0.01,5m,1.4,0.4,1.5,112.0,4048.0,0.02,5m,2.6,0.8,1.5,576.0,,,,,,,,6736.0,0.02,2m,2.2,0.2,0.5,200.0,6328,0.01,4m,1.4,0.8,0.5,576,1408.0,0.01,4m,2.4000000000000004,0.0,2.0,960.0,0.25,14,COMPLETE
46,46,0.9370856973557293,2025-06-21 19:08:44.082320,2025-06-21 19:08:48.472541,0 days 00:00:04.390221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3080.0,0.02,2m,1.0,0.2,1.0,400.0,,,,,,,,,,,,,,,7792.0,0.015,1m,1.6,0.2,1.0,512.0,3424.0,0.02,2m,2.6,0.8,1.5,832.0,,,,,,,,7744.0,0.015,5m,3.0,0.2,1.0,448.0,,,,,,,,,,,,,,,2000.0,0.01,4m,2.8,0.8,1.0,496.0,6280.0,0.015,2m,1.8,0.0,0.5,152.0,4696.0,0.015,3m,3.0,1.0,1.5,512.0,,,,,,,,7720.0,0.02,4m,1.8,0.4,0.5,808.0,5176,0.01,5m,1.6,1.0,1.5,328,1992.0,0.01,1m,1.6,0.2,2.0,352.0,0.35000000000000003,10,COMPLETE
47,47,0.9552442425801998,2025-06-21 19:08:48.547543,2025-06-21 19:08:56.528977,0 days 00:00:07.981434,3264.0,0.01,4m,1.8,0.8,0.5,904.0,6128.0,0.01,5m,1.8,0.8,1.5,792.0,4088.0,0.01,5m,2.2,0.2,1.5,768.0,4704.0,0.01,5m,1.0,0.0,1.0,984.0,6392.0,0.015,2m,1.8,0.0,1.5,760.0,6696.0,0.015,5m,2.0,0.6000000000000001,1.0,592.0,8040.0,0.01,5m,1.2,0.6000000000000001,2.0,536.0,4488.0,0.015,2m,1.2,0.0,1.5,608.0,3944.0,0.015,2m,1.8,1.0,2.0,944.0,,,,,,,,8192.0,0.015,2m,1.8,0.4,1.5,336.0,,,,,,,,6952.0,0.015,4m,1.4,0.6000000000000001,1.0,248.0,1536.0,0.015,1m,2.4000000000000004,0.6000000000000001,0.5,608.0,6752.0,0.02,3m,1.2,0.6000000000000001,1.0,240.0,5808.0,0.01,1m,2.4000000000000004,0.8,1.0,808.0,5464.0,0.01,4m,1.2,0.6000000000000001,2.0,544.0,7272.0,0.015,4m,1.4,0.0,0.5,104.0,5544,0.02,1m,2.2,1.0,1.5,728,2584.0,0.01,1m,2.0,0.0,1.5,752.0,0.2,18,COMPLETE
48,48,-0.13871752002936294,2025-06-21 19:08:56.624494,2025-06-21 19:09:03.713272,0 days 00:00:07.088778,6832.0,0.015,1m,1.0,1.0,1.0,552.0,,,,,,,,6008.0,0.01,3m,3.0,0.6000000000000001,0.5,608.0,,,,,,,,5512.0,0.02,5m,1.4,0.2,0.5,536.0,7496.0,0.01,1m,1.6,1.0,0.5,1000.0,7272.0,0.015,5m,2.2,0.8,1.5,304.0,1104.0,0.015,1m,3.0,0.6000000000000001,0.5,712.0,4600.0,0.02,1m,2.2,1.0,1.0,160.0,,,,,,,,7328.0,0.02,4m,2.6,0.0,1.0,224.0,,,,,,,,4680.0,0.02,4m,1.8,0.0,0.5,544.0,4240.0,0.01,1m,2.0,1.0,1.5,784.0,7000.0,0.02,3m,1.6,0.2,0.5,64.0,5176.0,0.02,1m,2.0,0.6000000000000001,1.5,416.0,8072.0,0.015,3m,1.8,0.8,1.5,888.0,5840.0,0.015,1m,2.0,0.2,0.5,360.0,4248,0.015,1m,2.8,0.4,2.0,408,3344.0,0.01,5m,3.0,0.0,2.0,552.0,0.45,16,COMPLETE
49,49,0.08040908069377749,2025-06-21 19:09:03.816746,2025-06-21 19:09:09.143750,0 days 00:00:05.327004,4808.0,0.01,3m,1.6,0.6000000000000001,0.5,664.0,,,,,,,,,,,,,,,,,,,,,,6976.0,0.02,2m,2.0,0.4,2.0,600.0,5320.0,0.01,1m,1.2,0.8,1.0,744.0,1032.0,0.015,2m,1.6,1.0,1.5,656.0,3096.0,0.01,3m,1.4,0.4,2.0,328.0,2360.0,0.02,2m,3.0,0.4,1.5,864.0,,,,,,,,6784.0,0.015,5m,1.2,0.2,1.5,144.0,,,,,,,,5680.0,0.015,4m,2.6,0.2,1.0,488.0,1056.0,0.01,4m,3.0,0.4,1.5,952.0,5192.0,0.01,4m,1.4,0.0,1.0,328.0,1768.0,0.015,1m,2.6,1.0,1.0,680.0,,,,,,,,7800.0,0.015,3m,3.0,0.4,1.0,312.0,3280,0.01,3m,2.0,0.2,2.0,120,1072.0,0.01,1m,2.8,0.2,1.5,888.0,0.4,14,COMPLETE
50,50,-4.064439247510412,2025-06-21 19:09:09.215624,2025-06-21 19:09:16.972952,0 days 00:00:07.757328,2008.0,0.015,3m,1.2,0.8,1.0,960.0,3752.0,0.015,1m,1.0,0.8,1.0,408.0,7480.0,0.015,2m,2.6,0.0,1.0,864.0,1272.0,0.02,4m,2.4000000000000004,0.6000000000000001,1.5,72.0,4776.0,0.015,4m,1.6,0.6000000000000001,1.0,456.0,5944.0,0.015,1m,1.8,0.6000000000000001,0.5,888.0,6056.0,0.015,1m,1.0,0.8,2.0,176.0,1672.0,0.02,1m,1.0,0.0,1.5,544.0,1976.0,0.015,4m,2.8,0.8,2.0,1024.0,1176.0,0.01,1m,1.0,1.0,0.5,1024.0,7864.0,0.015,1m,1.6,0.4,2.0,288.0,,,,,,,,7376.0,0.02,5m,1.2,1.0,0.5,616.0,1840.0,0.015,1m,1.8,0.8,0.5,560.0,4448.0,0.015,2m,1.2,0.4,0.5,168.0,3576.0,0.02,1m,2.8,0.8,2.0,744.0,3320.0,0.01,1m,2.4000000000000004,1.0,1.0,728.0,5160.0,0.02,2m,2.0,0.2,0.5,1024.0,1024,0.01,5m,1.8,0.8,1.5,632,1720.0,0.01,4m,2.2,0.8,2.0,456.0,0.35000000000000003,19,COMPLETE
51,51,2.053274926197563,2025-06-21 19:09:17.068441,2025-06-21 19:09:23.650023,0 days 00:00:06.581582,6160.0,0.015,1m,1.6,0.8,1.0,792.0,,,,,,,,8088.0,0.01,5m,3.0,0.0,0.5,936.0,,,,,,,,4032.0,0.02,2m,1.4,0.0,0.5,656.0,6064.0,0.02,1m,1.4,0.8,1.0,624.0,7816.0,0.015,5m,1.0,0.8,1.5,424.0,5184.0,0.015,1m,1.4,0.0,2.0,576.0,3720.0,0.02,2m,2.0,1.0,2.0,1000.0,,,,,,,,7992.0,0.015,2m,1.0,0.2,1.5,88.0,,,,,,,,8088.0,0.015,4m,1.6,0.0,0.5,432.0,2800.0,0.01,1m,2.0,1.0,1.5,688.0,5848.0,0.015,3m,1.4,0.2,0.5,96.0,2576.0,0.015,1m,3.0,1.0,1.0,600.0,2144.0,0.015,1m,2.4000000000000004,1.0,1.5,584.0,7944.0,0.01,4m,2.0,0.4,0.5,240.0,5264,0.01,1m,1.6,0.8,2.0,792,2480.0,0.01,1m,2.2,0.0,2.0,856.0,0.1,16,COMPLETE
52,52,-1.153122920101003,2025-06-21 19:09:23.773896,2025-06-21 19:09:30.168306,0 days 00:00:06.394410,5736.0,0.015,1m,1.6,1.0,1.0,832.0,,,,,,,,,,,,,,,,,,,,,,4080.0,0.02,2m,1.2,0.0,0.5,656.0,6448.0,0.02,1m,1.4,0.8,1.0,568.0,7664.0,0.015,5m,3.0,0.6000000000000001,1.5,480.0,5312.0,0.015,1m,1.6,0.0,2.0,648.0,4384.0,0.02,2m,2.0,1.0,2.0,984.0,,,,,,,,7320.0,0.015,2m,1.0,1.0,1.5,112.0,,,,,,,,8192.0,0.015,4m,1.6,0.0,0.5,432.0,3296.0,0.01,1m,2.0,1.0,1.5,728.0,6376.0,0.015,3m,1.4,0.2,0.5,112.0,2592.0,0.015,1m,3.0,1.0,1.0,656.0,1920.0,0.015,1m,2.6,1.0,1.5,536.0,7400.0,0.015,4m,2.2,0.4,0.5,256.0,6912,0.01,1m,1.2,0.8,2.0,808,2176.0,0.01,1m,2.4000000000000004,0.0,2.0,832.0,0.05,15,COMPLETE
53,53,0.24532350130096095,2025-06-21 19:09:30.257116,2025-06-21 19:09:36.919182,0 days 00:00:06.662066,7048.0,0.02,1m,1.8,0.8,1.5,856.0,,,,,,,,8112.0,0.01,5m,2.8,0.2,0.5,1024.0,,,,,,,,5840.0,0.02,2m,1.6,0.0,0.5,832.0,4384.0,0.02,1m,1.2,1.0,0.5,680.0,8176.0,0.02,5m,1.2,0.8,1.5,440.0,4864.0,0.015,1m,1.4,0.0,2.0,448.0,3248.0,0.01,2m,1.8,1.0,2.0,944.0,,,,,,,,7808.0,0.015,2m,1.2,0.2,1.5,184.0,,,,,,,,6808.0,0.015,4m,2.0,0.2,0.5,232.0,2648.0,0.01,3m,2.2,1.0,1.5,632.0,5776.0,0.015,3m,2.2,0.2,0.5,96.0,3160.0,0.015,1m,3.0,1.0,1.0,608.0,3640.0,0.015,1m,2.6,0.8,2.0,600.0,7904.0,0.01,4m,1.8,0.6000000000000001,0.5,64.0,5584,0.01,1m,1.4,1.0,2.0,736,3112.0,0.01,1m,2.2,0.0,2.0,960.0,0.4,16,COMPLETE
54,54,0.7186532395613563,2025-06-21 19:09:36.990355,2025-06-21 19:09:44.257526,0 days 00:00:07.267171,3896.0,0.015,1m,1.2,0.6000000000000001,1.0,792.0,6728.0,0.01,3m,3.0,0.4,1.5,832.0,7368.0,0.01,5m,2.8,0.0,0.5,904.0,,,,,,,,3304.0,0.02,1m,1.4,0.0,0.5,744.0,7672.0,0.015,4m,1.6,0.6000000000000001,1.5,456.0,6960.0,0.015,4m,1.0,1.0,2.0,296.0,5632.0,0.015,1m,1.2,0.2,2.0,552.0,4008.0,0.02,2m,2.2,1.0,2.0,992.0,,,,,,,,5240.0,0.015,2m,1.0,0.8,1.5,104.0,,,,,,,,7584.0,0.015,4m,1.6,0.0,1.0,456.0,5208.0,0.01,5m,2.4000000000000004,1.0,1.5,848.0,7896.0,0.015,3m,1.6,0.4,1.0,176.0,2008.0,0.015,4m,2.8,1.0,0.5,480.0,5176.0,0.015,1m,1.8,1.0,1.5,488.0,8192.0,0.015,5m,1.6,0.4,0.5,416.0,4568,0.01,1m,1.6,1.0,2.0,768,1392.0,0.01,1m,1.8,0.0,2.0,728.0,0.25,17,COMPLETE
55,55,-1.168570243093506,2025-06-21 19:09:44.344376,2025-06-21 19:09:49.590807,0 days 00:00:05.246431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4664.0,0.02,3m,1.2,0.0,0.5,560.0,6200.0,0.015,1m,1.4,0.8,1.0,832.0,7672.0,0.02,5m,1.2,0.8,1.0,384.0,6344.0,0.015,5m,1.8,0.0,2.0,592.0,3520.0,0.02,5m,2.4000000000000004,0.8,1.5,928.0,,,,,,,,6368.0,0.015,4m,1.2,0.2,1.5,160.0,,,,,,,,,,,,,,,1352.0,0.01,1m,2.0,0.8,1.0,792.0,6128.0,0.015,5m,1.8,0.2,1.5,288.0,2848.0,0.015,1m,3.0,1.0,1.0,536.0,,,,,,,,6504.0,0.01,1m,2.2,0.4,0.5,528.0,5136,0.01,1m,1.8,1.0,2.0,192,2472.0,0.01,1m,1.6,0.2,2.0,992.0,0.1,12,COMPLETE
