,number,value,datetime_start,datetime_complete,duration,params_ADP_PCAR_beta_win,params_ADP_PCAR_stop_loss,params_ADP_PCAR_trade_freq,params_ADP_PCAR_z_entry,params_ADP_PCAR_z_exit,params_ADP_PCAR_z_stop_scaler,params_ADP_PCAR_z_win,params_AMD_PCAR_beta_win,params_AMD_PCAR_stop_loss,params_AMD_PCAR_trade_freq,params_AMD_PCAR_z_entry,params_AMD_PCAR_z_exit,params_AMD_PCAR_z_stop_scaler,params_AMD_PCAR_z_win,params_CERN_TMUS_beta_win,params_CERN_TMUS_stop_loss,params_CERN_TMUS_trade_freq,params_CERN_TMUS_z_entry,params_CERN_TMUS_z_exit,params_CERN_TMUS_z_stop_scaler,params_CERN_TMUS_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_CMCSA_MU_beta_win,params_CMCSA_MU_stop_loss,params_CMCSA_MU_trade_freq,params_CMCSA_MU_z_entry,params_CMCSA_MU_z_exit,params_CMCSA_MU_z_stop_scaler,params_CMCSA_MU_z_win,params_CMCSA_PDD_beta_win,params_CMCSA_PDD_stop_loss,params_CMCSA_PDD_trade_freq,params_CMCSA_PDD_z_entry,params_CMCSA_PDD_z_exit,params_CMCSA_PDD_z_stop_scaler,params_CMCSA_PDD_z_win,params_CMCSA_PEP_beta_win,params_CMCSA_PEP_stop_loss,params_CMCSA_PEP_trade_freq,params_CMCSA_PEP_z_entry,params_CMCSA_PEP_z_exit,params_CMCSA_PEP_z_stop_scaler,params_CMCSA_PEP_z_win,params_COST_MAR_beta_win,params_COST_MAR_stop_loss,params_COST_MAR_trade_freq,params_COST_MAR_z_entry,params_COST_MAR_z_exit,params_COST_MAR_z_stop_scaler,params_COST_MAR_z_win,params_DXCM_XLNX_beta_win,params_DXCM_XLNX_stop_loss,params_DXCM_XLNX_trade_freq,params_DXCM_XLNX_z_entry,params_DXCM_XLNX_z_exit,params_DXCM_XLNX_z_stop_scaler,params_DXCM_XLNX_z_win,params_GILD_MAR_beta_win,params_GILD_MAR_stop_loss,params_GILD_MAR_trade_freq,params_GILD_MAR_z_entry,params_GILD_MAR_z_exit,params_GILD_MAR_z_stop_scaler,params_GILD_MAR_z_win,params_GILD_MU_beta_win,params_GILD_MU_stop_loss,params_GILD_MU_trade_freq,params_GILD_MU_z_entry,params_GILD_MU_z_exit,params_GILD_MU_z_stop_scaler,params_GILD_MU_z_win,params_LULU_PCAR_beta_win,params_LULU_PCAR_stop_loss,params_LULU_PCAR_trade_freq,params_LULU_PCAR_z_entry,params_LULU_PCAR_z_exit,params_LULU_PCAR_z_stop_scaler,params_LULU_PCAR_z_win,params_LULU_PDD_beta_win,params_LULU_PDD_stop_loss,params_LULU_PDD_trade_freq,params_LULU_PDD_z_entry,params_LULU_PDD_z_exit,params_LULU_PDD_z_stop_scaler,params_LULU_PDD_z_win,params_MAR_MU_beta_win,params_MAR_MU_stop_loss,params_MAR_MU_trade_freq,params_MAR_MU_z_entry,params_MAR_MU_z_exit,params_MAR_MU_z_stop_scaler,params_MAR_MU_z_win,params_MRNA_PDD_beta_win,params_MRNA_PDD_stop_loss,params_MRNA_PDD_trade_freq,params_MRNA_PDD_z_entry,params_MRNA_PDD_z_exit,params_MRNA_PDD_z_stop_scaler,params_MRNA_PDD_z_win,params_PAYX_PCAR_beta_win,params_PAYX_PCAR_stop_loss,params_PAYX_PCAR_trade_freq,params_PAYX_PCAR_z_entry,params_PAYX_PCAR_z_exit,params_PAYX_PCAR_z_stop_scaler,params_PAYX_PCAR_z_win,params_PDD_ADP_beta_win,params_PDD_ADP_stop_loss,params_PDD_ADP_trade_freq,params_PDD_ADP_z_entry,params_PDD_ADP_z_exit,params_PDD_ADP_z_stop_scaler,params_PDD_ADP_z_win,params_PDD_CHKP_beta_win,params_PDD_CHKP_stop_loss,params_PDD_CHKP_trade_freq,params_PDD_CHKP_z_entry,params_PDD_CHKP_z_exit,params_PDD_CHKP_z_stop_scaler,params_PDD_CHKP_z_win,params_TEAM_ASML_beta_win,params_TEAM_ASML_stop_loss,params_TEAM_ASML_trade_freq,params_TEAM_ASML_z_entry,params_TEAM_ASML_z_exit,params_TEAM_ASML_z_stop_scaler,params_TEAM_ASML_z_win,params_TSLA_ANSS_beta_win,params_TSLA_ANSS_stop_loss,params_TSLA_ANSS_trade_freq,params_TSLA_ANSS_z_entry,params_TSLA_ANSS_z_exit,params_TSLA_ANSS_z_stop_scaler,params_TSLA_ANSS_z_win,params_buffer_capital,params_pairs_to_trade,state
28,28,0.3164179363498887,2025-06-21 19:06:33.701205,2025-06-21 19:06:37.117895,0 days 00:00:03.416690,,,,,,,,,,,,,,,,,,,,,,7112.0,0.015,4m,1.8,0.6000000000000001,1.0,760.0,2680.0,0.015,1m,1.0,0.0,0.5,688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7448,0.02,3m,1.4,1.0,2.0,280,2224.0,0.01,4m,1.4,0.8,1.5,296.0,,,,,,,,,,,,,,,,,,,,,,6128.0,0.01,3m,1.6,0.2,1.0,928.0,,,,,,,,3456.0,0.015,5m,2.8,0.6000000000000001,2.0,1024.0,,,,,,,,,,,,,,,7008.0,0.02,4m,2.8,0.0,1.5,472.0,0.3,7,COMPLETE
29,29,-0.030346965927619807,2025-06-21 19:06:37.188646,2025-06-21 19:06:38.998561,0 days 00:00:01.809915,,,,,,,,,,,,,,,,,,,,,,4520.0,0.015,1m,1.6,0.4,0.5,568.0,6064.0,0.015,2m,1.4,0.2,1.0,816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3088,0.015,3m,3.0,0.8,0.5,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6912.0,0.015,3m,2.2,0.8,1.5,296.0,,,,,,,,1216.0,0.01,3m,3.0,1.0,1.0,464.0,,,,,,,,,,,,,,,,,,,,,,0.2,5,COMPLETE
30,30,-0.4970902868610301,2025-06-21 19:06:39.062303,2025-06-21 19:06:41.859263,0 days 00:00:02.796960,,,,,,,,,,,,,,,,,,,,,,5984.0,0.01,3m,2.6,0.0,1.5,944.0,6952.0,0.01,4m,2.2,0.4,1.5,448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3584,0.015,1m,2.0,1.0,1.5,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7728.0,0.01,2m,1.2,0.6000000000000001,1.0,704.0,,,,,,,,4304.0,0.015,2m,2.6,0.6000000000000001,1.5,864.0,,,,,,,,,,,,,,,4152.0,0.015,2m,2.2,0.2,2.0,304.0,0.45,6,COMPLETE
31,31,0.020954041925575696,2025-06-21 19:06:41.913803,2025-06-21 19:06:45.109469,0 days 00:00:03.195666,,,,,,,,4896.0,0.015,4m,1.0,0.2,2.0,880.0,,,,,,,,7432.0,0.015,4m,2.0,0.4,0.5,1016.0,5368.0,0.015,3m,1.8,0.0,1.5,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5456,0.02,3m,1.6,0.8,1.5,656,5440.0,0.02,3m,2.8,0.2,2.0,464.0,,,,,,,,,,,,,,,,,,,,,,4600.0,0.01,1m,2.6,0.8,1.0,888.0,,,,,,,,1888.0,0.02,5m,2.2,0.8,2.0,656.0,,,,,,,,,,,,,,,5536.0,0.02,4m,1.8,0.8,1.0,96.0,0.45,8,COMPLETE
32,32,-0.22865041740577816,2025-06-21 19:06:45.185821,2025-06-21 19:06:49.407631,0 days 00:00:04.221810,,,,,,,,5128.0,0.015,4m,1.4,0.4,1.0,584.0,,,,,,,,7752.0,0.015,4m,2.0,0.4,0.5,848.0,5488.0,0.015,3m,1.4,0.0,1.5,72.0,3024.0,0.01,5m,2.0,0.8,1.0,664.0,,,,,,,,,,,,,,,2672.0,0.01,1m,1.6,0.6000000000000001,0.5,680.0,5024,0.02,3m,1.6,0.6000000000000001,1.5,680,3864.0,0.02,3m,2.0,0.4,2.0,464.0,5816.0,0.02,2m,1.0,0.2,1.5,128.0,,,,,,,,,,,,,,,4232.0,0.01,1m,2.4000000000000004,0.8,1.0,928.0,,,,,,,,2128.0,0.02,5m,2.2,0.8,2.0,720.0,,,,,,,,,,,,,,,4944.0,0.02,4m,1.4,0.6000000000000001,1.0,88.0,0.5,11,COMPLETE
33,33,0.81453302051039,2025-06-21 19:06:49.493363,2025-06-21 19:06:53.346505,0 days 00:00:03.853142,,,,,,,,6888.0,0.01,4m,1.6,0.2,1.5,872.0,,,,,,,,8176.0,0.015,4m,1.8,0.6000000000000001,0.5,968.0,4072.0,0.015,3m,1.8,0.0,1.5,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5992,0.02,3m,2.0,0.8,1.0,792,4392.0,0.015,3m,2.2,0.2,1.5,656.0,7088.0,0.015,4m,2.8,0.6000000000000001,2.0,488.0,,,,,,,,,,,,,,,5008.0,0.01,1m,2.8,1.0,1.0,824.0,,,,,,,,2768.0,0.02,5m,2.8,1.0,2.0,600.0,,,,,,,,,,,,,,,6184.0,0.02,4m,1.2,1.0,0.5,184.0,0.4,9,COMPLETE
34,34,0.019252749577335613,2025-06-21 19:06:53.396727,2025-06-21 19:06:54.613224,0 days 00:00:01.216497,,,,,,,,,,,,,,,,,,,,,,7848.0,0.015,4m,1.8,0.6000000000000001,1.0,632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6088,0.02,2m,2.0,0.6000000000000001,1.0,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6696.0,0.01,1m,2.8,1.0,0.5,816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
35,35,-0.054165647767930654,2025-06-21 19:06:54.680745,2025-06-21 19:06:58.660045,0 days 00:00:03.979300,,,,,,,,7008.0,0.01,4m,1.8,0.0,1.5,928.0,,,,,,,,8184.0,0.015,2m,1.4,0.2,0.5,952.0,3848.0,0.02,3m,2.2,0.0,1.0,312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6616,0.02,3m,2.0,1.0,0.5,824,2736.0,0.015,3m,2.2,0.0,1.5,624.0,7112.0,0.015,4m,2.8,0.6000000000000001,2.0,488.0,,,,,,,,,,,,,,,5040.0,0.01,4m,3.0,1.0,1.5,712.0,,,,,,,,3184.0,0.015,5m,2.8,1.0,2.0,424.0,,,,,,,,,,,,,,,6352.0,0.02,4m,1.2,1.0,0.5,208.0,0.05,9,COMPLETE
36,36,-0.22938969500654105,2025-06-21 19:06:58.733847,2025-06-21 19:07:03.421358,0 days 00:00:04.687511,,,,,,,,6800.0,0.01,4m,2.2,0.4,1.0,424.0,,,,,,,,1832.0,0.01,4m,2.2,0.6000000000000001,0.5,800.0,3224.0,0.015,3m,1.8,0.2,1.5,192.0,7104.0,0.02,2m,1.4,0.0,1.5,944.0,,,,,,,,,,,,,,,5872.0,0.015,2m,2.6,0.2,1.5,1008.0,7232,0.015,3m,2.2,0.8,1.0,896,7192.0,0.015,1m,2.2,0.4,1.0,864.0,5704.0,0.015,4m,2.6,0.4,2.0,264.0,,,,,,,,,,,,,,,5984.0,0.01,1m,1.6,0.6000000000000001,1.0,528.0,,,,,,,,1624.0,0.02,5m,3.0,1.0,1.5,584.0,,,,,,,,,,,,,,,7152.0,0.015,3m,1.2,1.0,0.5,224.0,0.4,11,COMPLETE
37,37,1.1053218978601447,2025-06-21 19:07:03.519623,2025-06-21 19:07:06.495509,0 days 00:00:02.975886,,,,,,,,,,,,,,,,,,,,,,6672.0,0.02,2m,1.2,0.8,1.0,664.0,4200.0,0.015,5m,1.4,0.0,1.5,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,0.01,5m,1.8,0.6000000000000001,0.5,152,5280.0,0.015,2m,2.2,0.2,1.5,680.0,,,,,,,,,,,,,,,,,,,,,,3816.0,0.015,2m,2.0,1.0,0.5,968.0,,,,,,,,2720.0,0.015,5m,2.6,1.0,2.0,736.0,,,,,,,,,,,,,,,5912.0,0.02,1m,1.2,0.4,1.5,376.0,0.35000000000000003,7,COMPLETE
38,38,-0.10430822724668802,2025-06-21 19:07:06.567601,2025-06-21 19:07:09.142877,0 days 00:00:02.575276,,,,,,,,,,,,,,,,,,,,,,6936.0,0.02,2m,2.4000000000000004,0.8,0.5,856.0,2824.0,0.015,5m,1.4,0.0,2.0,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1528,0.01,5m,2.4000000000000004,0.6000000000000001,0.5,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3864.0,0.02,2m,2.0,1.0,0.5,952.0,,,,,,,,2688.0,0.01,2m,2.2,1.0,2.0,784.0,,,,,,,,,,,,,,,6296.0,0.015,1m,1.2,0.4,1.5,424.0,0.35000000000000003,6,COMPLETE
39,39,-1.0220187863847523,2025-06-21 19:07:09.203557,2025-06-21 19:07:12.133903,0 days 00:00:02.930346,,,,,,,,,,,,,,,,,,,,,,8136.0,0.02,2m,1.2,1.0,1.0,960.0,3504.0,0.015,5m,2.8,0.0,1.5,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4488,0.01,5m,1.8,0.4,0.5,952,5664.0,0.01,2m,1.8,0.4,1.0,680.0,,,,,,,,,,,,,,,,,,,,,,2768.0,0.015,2m,2.8,0.2,0.5,976.0,,,,,,,,2848.0,0.02,2m,2.6,0.6000000000000001,1.5,936.0,,,,,,,,,,,,,,,7528.0,0.02,1m,1.8,0.6000000000000001,1.5,616.0,0.4,7,COMPLETE
40,40,1.4314789140977806,2025-06-21 19:07:12.208588,2025-06-21 19:07:15.941617,0 days 00:00:03.733029,,,,,,,,7848.0,0.01,3m,2.6,1.0,2.0,72.0,,,,,,,,6408.0,0.02,2m,2.4000000000000004,0.8,1.0,392.0,4808.0,0.02,5m,1.0,0.0,1.5,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1272,0.01,5m,2.0,0.4,0.5,736,4032.0,0.015,2m,2.2,0.0,1.5,864.0,4328.0,0.01,2m,2.0,0.2,1.5,368.0,,,,,,,,,,,,,,,5384.0,0.02,2m,2.4000000000000004,1.0,0.5,160.0,,,,,,,,1392.0,0.015,3m,2.0,0.2,2.0,800.0,,,,,,,,,,,,,,,6560.0,0.01,1m,2.4000000000000004,0.6000000000000001,1.0,360.0,0.5,9,COMPLETE
41,41,1.9116997046273738,2025-06-21 19:07:15.997281,2025-06-21 19:07:19.810044,0 days 00:00:03.812763,,,,,,,,8032.0,0.01,3m,2.6,1.0,2.0,112.0,,,,,,,,6456.0,0.02,2m,2.4000000000000004,0.8,1.0,392.0,4640.0,0.02,5m,1.0,0.0,1.5,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152,0.01,5m,2.0,0.4,0.5,736,4240.0,0.015,2m,2.2,0.0,1.5,880.0,4216.0,0.01,2m,2.0,0.2,1.5,344.0,,,,,,,,,,,,,,,5072.0,0.02,2m,2.4000000000000004,1.0,0.5,136.0,,,,,,,,1408.0,0.015,3m,2.0,0.2,2.0,824.0,,,,,,,,,,,,,,,6712.0,0.01,1m,2.6,0.6000000000000001,0.5,352.0,0.5,9,COMPLETE
42,42,-0.22115501938737858,2025-06-21 19:07:19.898743,2025-06-21 19:07:23.112319,0 days 00:00:03.213576,,,,,,,,8160.0,0.01,3m,2.6,1.0,2.0,128.0,,,,,,,,6488.0,0.02,2m,2.4000000000000004,0.8,1.0,392.0,4584.0,0.02,5m,1.0,0.0,1.5,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104,0.01,5m,2.2,0.2,0.5,608,3272.0,0.015,2m,1.8,0.0,1.5,880.0,,,,,,,,,,,,,,,,,,,,,,5520.0,0.02,2m,2.4000000000000004,1.0,0.5,168.0,,,,,,,,1712.0,0.015,3m,2.0,0.2,2.0,808.0,,,,,,,,,,,,,,,6712.0,0.01,1m,2.6,0.6000000000000001,1.0,344.0,0.5,8,COMPLETE
43,43,-0.1780335206845209,2025-06-21 19:07:23.198842,2025-06-21 19:07:25.476578,0 days 00:00:02.277736,,,,,,,,,,,,,,,,,,,,,,5728.0,0.02,2m,2.8,0.8,1.0,240.0,7520.0,0.02,5m,1.2,0.0,2.0,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1832,0.01,5m,1.8,0.4,0.5,736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3736.0,0.02,2m,2.2,1.0,0.5,136.0,,,,,,,,1336.0,0.015,3m,1.8,0.2,2.0,752.0,,,,,,,,,,,,,,,,,,,,,,0.5,5,COMPLETE
44,44,-0.34516738783255974,2025-06-21 19:07:25.548231,2025-06-21 19:07:29.764164,0 days 00:00:04.215933,,,,,,,,7472.0,0.01,3m,2.8,0.8,2.0,184.0,,,,,,,,6704.0,0.02,2m,2.4000000000000004,1.0,1.0,80.0,4928.0,0.02,5m,1.0,0.2,1.5,136.0,5048.0,0.02,2m,3.0,0.2,0.5,864.0,,,,,,,,,,,,,,,,,,,,,,2024,0.01,5m,2.4000000000000004,0.2,0.5,832,4136.0,0.015,2m,2.2,0.0,1.5,864.0,3888.0,0.01,2m,2.0,0.2,1.5,320.0,,,,,,,,,,,,,,,5264.0,0.02,2m,2.4000000000000004,1.0,0.5,256.0,,,,,,,,1072.0,0.015,3m,1.8,0.2,2.0,864.0,,,,,,,,,,,,,,,7304.0,0.01,1m,2.8,0.4,1.5,504.0,0.5,10,COMPLETE
45,45,2.0675808036628434,2025-06-21 19:07:29.820567,2025-06-21 19:07:32.579151,0 days 00:00:02.758584,,,,,,,,,,,,,,,,,,,,,,6272.0,0.02,5m,2.2,1.0,1.5,312.0,6408.0,0.02,5m,1.2,0.0,1.5,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1064,0.01,5m,2.0,0.4,0.5,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5768.0,0.02,2m,2.0,0.8,0.5,136.0,,,,,,,,2144.0,0.015,3m,1.6,0.4,2.0,960.0,,,,,,,,,,,,,,,8136.0,0.01,1m,2.4000000000000004,0.6000000000000001,0.5,384.0,0.45,6,COMPLETE
46,46,1.1350226825931788,2025-06-21 19:07:32.642956,2025-06-21 19:07:35.351581,0 days 00:00:02.708625,,,,,,,,,,,,,,,,,,,,,,6216.0,0.02,5m,2.2,1.0,1.5,352.0,6624.0,0.02,5m,1.2,0.0,1.5,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1192,0.01,5m,2.2,0.4,0.5,488,3720.0,0.015,2m,2.6,0.0,1.0,792.0,,,,,,,,,,,,,,,,,,,,,,5768.0,0.02,2m,2.0,1.0,0.5,336.0,,,,,,,,2264.0,0.015,3m,1.4,0.4,1.0,960.0,,,,,,,,,,,,,,,8072.0,0.01,1m,2.4000000000000004,0.6000000000000001,0.5,376.0,0.45,7,COMPLETE
47,47,1.105791908820473,2025-06-21 19:07:35.421475,2025-06-21 19:07:38.703588,0 days 00:00:03.282113,,,,,,,,,,,,,,,,,,,,,,5552.0,0.02,5m,2.6,1.0,1.5,328.0,7160.0,0.02,5m,1.2,0.0,2.0,472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,0.01,5m,2.2,0.4,0.5,80,3512.0,0.015,2m,2.6,0.0,1.0,760.0,,,,,,,,,,,,,,,,,,,,,,5744.0,0.02,2m,2.0,1.0,0.5,328.0,,,,,,,,2216.0,0.015,3m,1.4,0.4,1.0,968.0,,,,,,,,,,,,,,,7600.0,0.01,1m,2.4000000000000004,0.6000000000000001,0.5,368.0,0.45,7,COMPLETE
48,48,0.7212474601929969,2025-06-21 19:07:38.779632,2025-06-21 19:07:42.477476,0 days 00:00:03.697844,,,,,,,,6448.0,0.01,3m,2.6,1.0,2.0,376.0,,,,,,,,5656.0,0.02,5m,2.8,1.0,1.5,352.0,6632.0,0.02,5m,1.2,0.2,2.0,472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424,0.01,5m,2.2,0.4,0.5,64,3656.0,0.015,2m,2.6,0.0,1.0,944.0,4696.0,0.01,2m,1.4,0.0,1.0,200.0,,,,,,,,,,,,,,,6184.0,0.02,2m,1.8,1.0,0.5,352.0,,,,,,,,2128.0,0.015,3m,1.4,0.4,1.0,968.0,,,,,,,,,,,,,,,8112.0,0.01,1m,2.4000000000000004,0.6000000000000001,0.5,296.0,0.45,9,COMPLETE
49,49,0.7428903563737057,2025-06-21 19:07:42.544592,2025-06-21 19:07:46.170559,0 days 00:00:03.625967,,,,,,,,7704.0,0.01,3m,2.8,0.8,2.0,64.0,,,,,,,,6224.0,0.02,5m,2.6,1.0,1.5,288.0,7216.0,0.02,5m,1.0,0.8,2.0,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2488,0.01,5m,2.6,0.4,0.5,424,2584.0,0.015,2m,2.8,0.0,0.5,776.0,,,,,,,,,,,,,,,,,,,,,,5720.0,0.02,2m,2.0,1.0,0.5,120.0,,,,,,,,1496.0,0.015,3m,1.4,0.4,1.0,928.0,,,,,,,,,,,,,,,7776.0,0.01,1m,2.4000000000000004,0.6000000000000001,0.5,400.0,0.5,8,COMPLETE
50,50,1.1371276822872065,2025-06-21 19:07:46.252601,2025-06-21 19:07:49.066375,0 days 00:00:02.813774,,,,,,,,,,,,,,,,,,,,,,5600.0,0.02,5m,2.6,1.0,2.0,440.0,7792.0,0.02,5m,1.2,1.0,2.0,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1392,0.01,5m,2.4000000000000004,0.2,0.5,368,3328.0,0.015,2m,2.6,0.0,1.0,816.0,,,,,,,,,,,,,,,,,,,,,,5800.0,0.02,2m,2.4000000000000004,0.8,0.5,224.0,,,,,,,,2136.0,0.015,3m,1.2,0.2,0.5,992.0,,,,,,,,,,,,,,,8120.0,0.01,1m,2.2,0.8,0.5,264.0,0.45,7,COMPLETE
51,51,0.9918808975445684,2025-06-21 19:07:49.136348,2025-06-21 19:07:52.178290,0 days 00:00:03.041942,,,,,,,,,,,,,,,,,,,,,,5600.0,0.02,5m,2.6,1.0,2.0,464.0,8032.0,0.02,5m,1.2,1.0,2.0,568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472,0.01,5m,2.4000000000000004,0.0,0.5,368,3248.0,0.015,2m,2.6,0.0,1.0,920.0,,,,,,,,,,,,,,,,,,,,,,5744.0,0.02,2m,2.4000000000000004,0.8,0.5,208.0,,,,,,,,1928.0,0.015,3m,1.2,0.2,0.5,1008.0,,,,,,,,,,,,,,,8160.0,0.01,1m,2.2,0.8,0.5,264.0,0.45,7,COMPLETE
52,52,-0.136862133871654,2025-06-21 19:07:52.254013,2025-06-21 19:07:54.662965,0 days 00:00:02.408952,,,,,,,,,,,,,,,,,,,,,,4896.0,0.02,5m,2.4000000000000004,1.0,2.0,352.0,7576.0,0.02,5m,1.2,0.6000000000000001,2.0,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880,0.01,5m,2.2,0.2,0.5,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5256.0,0.02,2m,2.2,1.0,0.5,320.0,,,,,,,,2456.0,0.015,3m,1.6,0.4,0.5,976.0,,,,,,,,,,,,,,,7352.0,0.01,1m,2.4000000000000004,0.8,0.5,336.0,0.5,6,COMPLETE
53,53,-1.2966480513696403,2025-06-21 19:07:54.735474,2025-06-21 19:07:58.868803,0 days 00:00:04.133329,,,,,,,,7776.0,0.01,3m,2.2,1.0,2.0,192.0,,,,,,,,6264.0,0.02,5m,2.8,1.0,1.5,256.0,7112.0,0.02,5m,1.0,1.0,2.0,208.0,2464.0,0.02,5m,2.4000000000000004,0.2,1.0,80.0,,,,,,,,,,,,,,,,,,,,,,1248,0.01,5m,2.6,0.4,0.5,536,4200.0,0.015,2m,2.6,0.0,1.0,800.0,2664.0,0.01,2m,1.8,0.2,1.5,392.0,,,,,,,,,,,,,,,6288.0,0.02,2m,2.6,0.8,0.5,440.0,,,,,,,,1416.0,0.015,3m,1.2,0.0,1.0,840.0,,,,,,,,,,,,,,,7864.0,0.01,1m,2.6,0.6000000000000001,0.5,496.0,0.45,10,COMPLETE
54,54,-0.8065344912529324,2025-06-21 19:07:58.941215,2025-06-21 19:08:01.196583,0 days 00:00:02.255368,,,,,,,,,,,,,,,,,,,,,,4512.0,0.02,5m,2.4000000000000004,1.0,1.5,408.0,6432.0,0.02,5m,1.2,0.0,2.0,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1664,0.01,5m,2.8,0.2,0.5,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5816.0,0.02,5m,2.2,1.0,0.5,208.0,,,,,,,,3176.0,0.015,3m,1.6,0.2,0.5,920.0,,,,,,,,,,,,,,,,,,,,,,0.5,5,COMPLETE
55,55,0.7090590703844619,2025-06-21 19:08:01.244901,2025-06-21 19:08:04.421007,0 days 00:00:03.176106,,,,,,,,6496.0,0.01,3m,2.6,0.6000000000000001,2.0,352.0,,,,,,,,5448.0,0.02,5m,2.6,1.0,2.0,344.0,6432.0,0.02,5m,1.0,0.6000000000000001,2.0,376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2056,0.01,5m,2.0,0.4,0.5,328,3680.0,0.015,2m,2.8,0.0,1.0,1000.0,,,,,,,,,,,,,,,,,,,,,,5504.0,0.02,2m,2.0,0.8,0.5,120.0,,,,,,,,1968.0,0.015,3m,1.2,0.4,1.0,968.0,,,,,,,,,,,,,,,8192.0,0.01,1m,2.2,0.6000000000000001,0.5,240.0,0.45,8,COMPLETE
56,56,1.7439337336471017,2025-06-21 19:08:04.464417,2025-06-21 19:08:08.317504,0 days 00:00:03.853087,,,,,,,,3904.0,0.01,5m,2.8,0.8,1.5,160.0,,,,,,,,5896.0,0.02,5m,2.2,0.8,1.5,504.0,7576.0,0.02,5m,1.4,0.8,1.5,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2856,0.01,4m,2.4000000000000004,0.2,0.5,240,2296.0,0.015,2m,2.4000000000000004,0.0,0.5,736.0,3672.0,0.01,2m,2.2,0.2,1.0,176.0,,,,,,,,,,,,,,,5080.0,0.02,4m,2.4000000000000004,0.8,0.5,248.0,,,,,,,,2336.0,0.015,4m,1.4,0.2,1.0,840.0,,,,,,,,,,,,,,,6664.0,0.01,1m,2.4000000000000004,0.8,0.5,368.0,0.4,9,COMPLETE
57,57,0.4784400662813905,2025-06-21 19:08:08.417080,2025-06-21 19:08:13.685354,0 days 00:00:05.268274,,,,,,,,4040.0,0.01,5m,2.8,0.8,1.5,160.0,7896.0,0.015,1m,2.2,1.0,2.0,112.0,5936.0,0.02,5m,2.2,0.8,1.5,496.0,7800.0,0.02,5m,1.4,0.8,1.5,96.0,3520.0,0.015,1m,1.6,0.0,0.5,632.0,,,,,,,,,,,,,,,8192.0,0.02,5m,1.4,1.0,2.0,408.0,2928,0.01,4m,2.4000000000000004,0.0,0.5,200,1696.0,0.015,2m,2.0,0.0,0.5,840.0,3648.0,0.01,2m,2.2,0.2,1.0,192.0,,,,,,,,,,,,,,,4984.0,0.02,4m,2.4000000000000004,0.8,0.5,264.0,1376.0,0.02,1m,2.4000000000000004,0.2,1.5,384.0,1576.0,0.015,4m,2.0,0.2,0.5,832.0,,,,,,,,,,,,,,,6736.0,0.01,1m,2.6,0.8,0.5,440.0,0.4,13,COMPLETE
