,number,value,datetime_start,datetime_complete,duration,params_AAPL_FAST_beta_win,params_AAPL_FAST_stop_loss,params_AAPL_FAST_trade_freq,params_AAPL_FAST_z_entry,params_AAPL_FAST_z_exit,params_AAPL_FAST_z_stop_scaler,params_AAPL_FAST_z_win,params_ABNB_AEP_beta_win,params_ABNB_AEP_stop_loss,params_ABNB_AEP_trade_freq,params_ABNB_AEP_z_entry,params_ABNB_AEP_z_exit,params_ABNB_AEP_z_stop_scaler,params_ABNB_AEP_z_win,params_ADI_HON_beta_win,params_ADI_HON_stop_loss,params_ADI_HON_trade_freq,params_ADI_HON_z_entry,params_ADI_HON_z_exit,params_ADI_HON_z_stop_scaler,params_ADI_HON_z_win,params_ADP_AVGO_beta_win,params_ADP_AVGO_stop_loss,params_ADP_AVGO_trade_freq,params_ADP_AVGO_z_entry,params_ADP_AVGO_z_exit,params_ADP_AVGO_z_stop_scaler,params_ADP_AVGO_z_win,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_AMZN_MU_beta_win,params_AMZN_MU_stop_loss,params_AMZN_MU_trade_freq,params_AMZN_MU_z_entry,params_AMZN_MU_z_exit,params_AMZN_MU_z_stop_scaler,params_AMZN_MU_z_win,params_ANSS_REGN_beta_win,params_ANSS_REGN_stop_loss,params_ANSS_REGN_trade_freq,params_ANSS_REGN_z_entry,params_ANSS_REGN_z_exit,params_ANSS_REGN_z_stop_scaler,params_ANSS_REGN_z_win,params_AVGO_HON_beta_win,params_AVGO_HON_stop_loss,params_AVGO_HON_trade_freq,params_AVGO_HON_z_entry,params_AVGO_HON_z_exit,params_AVGO_HON_z_stop_scaler,params_AVGO_HON_z_win,params_AVGO_PAYX_beta_win,params_AVGO_PAYX_stop_loss,params_AVGO_PAYX_trade_freq,params_AVGO_PAYX_z_entry,params_AVGO_PAYX_z_exit,params_AVGO_PAYX_z_stop_scaler,params_AVGO_PAYX_z_win,params_BKNG_INTU_beta_win,params_BKNG_INTU_stop_loss,params_BKNG_INTU_trade_freq,params_BKNG_INTU_z_entry,params_BKNG_INTU_z_exit,params_BKNG_INTU_z_stop_scaler,params_BKNG_INTU_z_win,params_CDNS_INTU_beta_win,params_CDNS_INTU_stop_loss,params_CDNS_INTU_trade_freq,params_CDNS_INTU_z_entry,params_CDNS_INTU_z_exit,params_CDNS_INTU_z_stop_scaler,params_CDNS_INTU_z_win,params_CPRT_INTU_beta_win,params_CPRT_INTU_stop_loss,params_CPRT_INTU_trade_freq,params_CPRT_INTU_z_entry,params_CPRT_INTU_z_exit,params_CPRT_INTU_z_stop_scaler,params_CPRT_INTU_z_win,params_CRWD_KLAC_beta_win,params_CRWD_KLAC_stop_loss,params_CRWD_KLAC_trade_freq,params_CRWD_KLAC_z_entry,params_CRWD_KLAC_z_exit,params_CRWD_KLAC_z_stop_scaler,params_CRWD_KLAC_z_win,params_CTSH_EBAY_beta_win,params_CTSH_EBAY_stop_loss,params_CTSH_EBAY_trade_freq,params_CTSH_EBAY_z_entry,params_CTSH_EBAY_z_exit,params_CTSH_EBAY_z_stop_scaler,params_CTSH_EBAY_z_win,params_DXCM_KLAC_beta_win,params_DXCM_KLAC_stop_loss,params_DXCM_KLAC_trade_freq,params_DXCM_KLAC_z_entry,params_DXCM_KLAC_z_exit,params_DXCM_KLAC_z_stop_scaler,params_DXCM_KLAC_z_win,params_GFS_KHC_beta_win,params_GFS_KHC_stop_loss,params_GFS_KHC_trade_freq,params_GFS_KHC_z_entry,params_GFS_KHC_z_exit,params_GFS_KHC_z_stop_scaler,params_GFS_KHC_z_win,params_HON_SNPS_beta_win,params_HON_SNPS_stop_loss,params_HON_SNPS_trade_freq,params_HON_SNPS_z_entry,params_HON_SNPS_z_exit,params_HON_SNPS_z_stop_scaler,params_HON_SNPS_z_win,params_INTU_REGN_beta_win,params_INTU_REGN_stop_loss,params_INTU_REGN_trade_freq,params_INTU_REGN_z_entry,params_INTU_REGN_z_exit,params_INTU_REGN_z_stop_scaler,params_INTU_REGN_z_win,params_MELI_SNPS_beta_win,params_MELI_SNPS_stop_loss,params_MELI_SNPS_trade_freq,params_MELI_SNPS_z_entry,params_MELI_SNPS_z_exit,params_MELI_SNPS_z_stop_scaler,params_MELI_SNPS_z_win,params_META_ROST_beta_win,params_META_ROST_stop_loss,params_META_ROST_trade_freq,params_META_ROST_z_entry,params_META_ROST_z_exit,params_META_ROST_z_stop_scaler,params_META_ROST_z_win,params_ODFL_TEAM_beta_win,params_ODFL_TEAM_stop_loss,params_ODFL_TEAM_trade_freq,params_ODFL_TEAM_z_entry,params_ODFL_TEAM_z_exit,params_ODFL_TEAM_z_stop_scaler,params_ODFL_TEAM_z_win,params_buffer_capital,params_pairs_to_trade,state
46,46,1.1885435731570277,2025-06-21 19:25:44.312348,2025-06-21 19:25:50.724296,0 days 00:00:06.411948,5480.0,0.015,5m,1.6,0.8,1.0,680.0,1608.0,0.02,2m,2.0,0.0,1.5,608.0,5040.0,0.015,5m,2.0,0.4,1.0,592.0,3584.0,0.02,2m,1.4,0.8,1.0,704.0,1840.0,0.015,5m,1.4,0.4,1.0,912.0,,,,,,,,,,,,,,,6464.0,0.01,4m,2.8,0.8,2.0,920.0,4000.0,0.015,4m,1.2,0.6000000000000001,0.5,608.0,,,,,,,,5120.0,0.015,2m,1.8,0.6000000000000001,1.5,720.0,3272.0,0.01,5m,3.0,1.0,1.5,840.0,,,,,,,,3112.0,0.015,5m,2.2,0.6000000000000001,2.0,600.0,,,,,,,,,,,,,,,6024.0,0.02,2m,2.6,0.6000000000000001,0.5,456.0,7008,0.02,4m,2.0,0.6000000000000001,2.0,984,,,,,,,,2504,0.01,4m,2.8,0.2,0.5,176,6720.0,0.015,1m,2.6,0.6000000000000001,1.5,480.0,0.45,13,COMPLETE
47,47,-0.06732545529370274,2025-06-21 19:25:50.807808,2025-06-21 19:25:57.810017,0 days 00:00:07.002209,5440.0,0.015,5m,1.6,0.8,1.0,664.0,1416.0,0.02,2m,2.0,0.0,1.5,608.0,5200.0,0.015,5m,2.0,0.4,1.0,576.0,3520.0,0.02,2m,1.2,1.0,1.0,800.0,1920.0,0.015,5m,1.2,0.4,1.0,960.0,,,,,,,,,,,,,,,6376.0,0.01,4m,2.8,0.8,2.0,960.0,4080.0,0.015,4m,1.0,0.6000000000000001,0.5,592.0,,,,,,,,5224.0,0.015,2m,1.8,0.6000000000000001,1.5,840.0,2768.0,0.015,5m,2.8,1.0,1.5,944.0,,,,,,,,2976.0,0.015,5m,2.2,0.6000000000000001,2.0,544.0,,,,,,,,4760.0,0.01,5m,2.4000000000000004,0.4,1.5,1016.0,5992.0,0.02,2m,2.6,0.6000000000000001,0.5,424.0,7160,0.015,4m,2.0,0.4,2.0,1008,,,,,,,,2672,0.01,4m,2.8,0.0,0.5,128,6664.0,0.02,1m,3.0,0.4,1.5,272.0,0.45,14,COMPLETE
48,48,0.33600371018162345,2025-06-21 19:25:57.908776,2025-06-21 19:26:07.515275,0 days 00:00:09.606499,4144.0,0.015,5m,1.6,1.0,1.0,488.0,3888.0,0.02,2m,2.4000000000000004,0.2,2.0,360.0,2352.0,0.015,5m,2.6,0.0,0.5,880.0,2536.0,0.02,2m,1.4,0.8,1.0,720.0,1648.0,0.015,5m,1.4,0.2,1.0,848.0,,,,,,,,,,,,,,,5896.0,0.01,4m,2.4000000000000004,0.8,2.0,976.0,5624.0,0.015,4m,1.2,0.6000000000000001,0.5,536.0,7352.0,0.02,3m,1.0,1.0,0.5,72.0,4912.0,0.02,2m,1.6,0.8,1.5,704.0,2128.0,0.01,5m,3.0,0.8,2.0,864.0,5480.0,0.015,2m,2.0,1.0,2.0,664.0,1952.0,0.015,1m,1.8,0.8,2.0,440.0,,,,,,,,1216.0,0.02,3m,1.6,1.0,1.0,600.0,7240.0,0.02,2m,3.0,0.8,0.5,584.0,7184,0.02,4m,1.6,0.6000000000000001,2.0,888,7480.0,0.01,5m,3.0,1.0,0.5,112.0,3480,0.01,4m,3.0,0.2,0.5,168,6344.0,0.015,1m,2.6,0.8,1.5,448.0,0.45,17,COMPLETE
49,49,0.26516906332284623,2025-06-21 19:26:07.594504,2025-06-21 19:26:14.096103,0 days 00:00:06.501599,6352.0,0.015,5m,1.8,0.8,1.5,912.0,2360.0,0.015,2m,1.8,0.4,1.0,784.0,5192.0,0.01,5m,2.2,0.4,1.0,664.0,3984.0,0.02,2m,1.4,0.8,1.5,936.0,2416.0,0.015,5m,1.8,0.4,1.0,928.0,,,,,,,,,,,,,,,7072.0,0.01,4m,3.0,0.6000000000000001,2.0,816.0,4544.0,0.015,4m,1.2,0.4,0.5,776.0,,,,,,,,6936.0,0.015,2m,1.8,0.6000000000000001,2.0,936.0,3912.0,0.01,5m,3.0,1.0,1.5,616.0,,,,,,,,3240.0,0.015,5m,2.4000000000000004,0.6000000000000001,2.0,696.0,,,,,,,,,,,,,,,4376.0,0.02,2m,2.4000000000000004,1.0,1.0,312.0,7824,0.02,4m,2.2,0.4,2.0,944,,,,,,,,2968,0.01,4m,2.8,0.0,0.5,328,7160.0,0.015,1m,2.6,0.6000000000000001,1.5,416.0,0.4,13,COMPLETE
50,50,-1.0860911648494858,2025-06-21 19:26:14.176875,2025-06-21 19:26:19.662362,0 days 00:00:05.485487,7440.0,0.015,5m,1.4,1.0,0.5,712.0,,,,,,,,,,,,,,,5456.0,0.015,2m,1.2,0.6000000000000001,1.0,632.0,1056.0,0.015,5m,1.2,0.6000000000000001,1.5,1008.0,,,,,,,,,,,,,,,5432.0,0.01,3m,2.8,0.8,2.0,616.0,3776.0,0.015,4m,1.4,0.6000000000000001,1.0,440.0,,,,,,,,6032.0,0.02,2m,2.2,0.4,1.5,1008.0,3120.0,0.01,5m,2.8,0.8,1.5,1024.0,,,,,,,,4120.0,0.015,5m,2.0,0.6000000000000001,2.0,352.0,,,,,,,,,,,,,,,4920.0,0.02,4m,2.6,0.6000000000000001,0.5,464.0,6832,0.015,1m,1.6,0.6000000000000001,2.0,856,,,,,,,,2312,0.01,4m,2.8,0.0,0.5,64,7144.0,0.02,4m,2.8,0.4,1.0,640.0,0.35000000000000003,11,COMPLETE
51,51,-1.7863746190109482,2025-06-21 19:26:19.750827,2025-06-21 19:26:26.680213,0 days 00:00:06.929386,5336.0,0.01,1m,1.8,0.6000000000000001,1.0,576.0,1904.0,0.02,2m,1.0,0.0,1.5,456.0,3328.0,0.015,5m,1.6,0.2,1.5,432.0,3472.0,0.01,2m,1.0,0.8,1.0,688.0,1720.0,0.01,1m,1.6,0.2,1.0,880.0,,,,,,,,,,,,,,,7784.0,0.01,4m,2.6,0.4,2.0,904.0,7088.0,0.015,5m,1.8,0.8,1.0,632.0,,,,,,,,3912.0,0.015,1m,1.4,0.2,1.0,768.0,3328.0,0.01,2m,3.0,1.0,1.5,808.0,,,,,,,,2728.0,0.015,3m,2.2,0.6000000000000001,2.0,624.0,,,,,,,,6384.0,0.015,4m,2.4000000000000004,0.2,0.5,416.0,6592.0,0.02,2m,2.2,0.6000000000000001,1.0,344.0,8160,0.02,4m,2.2,0.8,2.0,752,,,,,,,,1928,0.01,4m,2.4000000000000004,0.2,0.5,424,5560.0,0.015,1m,2.6,0.6000000000000001,1.5,888.0,0.4,14,COMPLETE
52,52,0.24006995154492675,2025-06-21 19:26:26.756234,2025-06-21 19:26:30.902515,0 days 00:00:04.146281,,,,,,,,,,,,,,,,,,,,,,4632.0,0.02,2m,1.2,1.0,1.0,752.0,,,,,,,,,,,,,,,,,,,,,,7120.0,0.01,4m,3.0,1.0,1.5,864.0,3264.0,0.015,4m,1.6,0.4,0.5,704.0,,,,,,,,,,,,,,,4864.0,0.01,5m,2.6,1.0,1.5,768.0,,,,,,,,3608.0,0.01,1m,2.6,0.4,2.0,64.0,,,,,,,,,,,,,,,7672.0,0.02,1m,2.8,0.8,1.0,720.0,7480,0.02,4m,2.0,0.6000000000000001,1.0,752,,,,,,,,4256,0.01,1m,2.6,0.2,0.5,304,5632.0,0.015,1m,2.4000000000000004,0.6000000000000001,1.5,504.0,0.1,8,COMPLETE
53,53,-0.264659007107213,2025-06-21 19:26:30.987253,2025-06-21 19:26:36.548613,0 days 00:00:05.561360,,,,,,,,,,,,,,,,,,,,,,2832.0,0.01,1m,1.4,0.8,2.0,896.0,2816.0,0.02,4m,1.4,0.4,1.5,928.0,,,,,,,,,,,,,,,7848.0,0.02,4m,2.8,0.4,2.0,928.0,3800.0,0.015,4m,1.6,0.4,1.0,560.0,,,,,,,,4744.0,0.015,4m,2.4000000000000004,0.6000000000000001,1.5,936.0,2776.0,0.01,5m,3.0,0.8,1.5,648.0,,,,,,,,4232.0,0.015,4m,2.4000000000000004,0.8,2.0,480.0,,,,,,,,,,,,,,,5992.0,0.02,5m,2.6,0.8,0.5,576.0,6336,0.02,4m,2.4000000000000004,0.2,1.5,616,,,,,,,,2256,0.01,4m,2.4000000000000004,0.2,0.5,368,4384.0,0.015,5m,1.8,0.8,1.5,736.0,0.45,10,COMPLETE
54,54,0.2976332359484733,2025-06-21 19:26:36.621469,2025-06-21 19:26:42.897637,0 days 00:00:06.276168,4384.0,0.02,5m,2.2,0.8,1.0,944.0,,,,,,,,6392.0,0.01,4m,2.8,0.8,1.5,488.0,4024.0,0.015,3m,1.6,0.6000000000000001,1.0,808.0,3400.0,0.02,3m,1.8,0.4,1.0,808.0,,,,,,,,,,,,,,,6584.0,0.01,2m,2.6,0.6000000000000001,1.5,744.0,4424.0,0.015,5m,2.0,0.6000000000000001,1.5,672.0,,,,,,,,3232.0,0.01,2m,1.6,0.8,2.0,648.0,4128.0,0.01,4m,2.8,1.0,2.0,904.0,,,,,,,,5624.0,0.015,5m,2.2,0.6000000000000001,2.0,576.0,,,,,,,,,,,,,,,5144.0,0.015,2m,3.0,0.6000000000000001,1.0,624.0,7736,0.02,1m,1.8,0.8,2.0,800,,,,,,,,1432,0.015,4m,2.6,0.0,0.5,184,7720.0,0.015,3m,1.0,0.6000000000000001,1.0,336.0,0.5,12,COMPLETE
55,55,-0.8166828020901584,2025-06-21 19:26:42.999501,2025-06-21 19:26:48.445538,0 days 00:00:05.446037,7448.0,0.015,3m,2.8,1.0,0.5,352.0,,,,,,,,,,,,,,,4424.0,0.01,5m,1.0,0.6000000000000001,1.0,616.0,1512.0,0.015,2m,2.2,0.0,2.0,712.0,,,,,,,,,,,,,,,7576.0,0.02,3m,3.0,0.4,2.0,64.0,2400.0,0.015,4m,1.4,0.6000000000000001,1.0,600.0,,,,,,,,7648.0,0.02,2m,2.0,0.4,1.0,832.0,3776.0,0.01,5m,2.4000000000000004,0.8,1.5,576.0,,,,,,,,3024.0,0.01,5m,3.0,0.6000000000000001,0.5,656.0,,,,,,,,,,,,,,,6688.0,0.02,2m,2.0,1.0,0.5,808.0,3080,0.02,4m,2.2,1.0,2.0,664,,,,,,,,3152,0.01,4m,3.0,0.2,0.5,264,6224.0,0.015,4m,2.8,0.6000000000000001,1.5,600.0,0.35000000000000003,11,COMPLETE
56,56,3.1952545151235756,2025-06-21 19:26:48.546567,2025-06-21 19:27:04.873319,0 days 00:00:16.326752,5808.0,0.015,2m,1.4,0.4,1.5,744.0,4352.0,0.015,1m,2.6,0.8,1.0,256.0,1936.0,0.015,2m,2.2,0.0,1.0,872.0,2320.0,0.01,2m,1.2,1.0,0.5,832.0,2168.0,0.02,5m,1.4,0.2,1.5,568.0,1152.0,0.01,1m,1.2,0.4,0.5,936.0,1344.0,0.01,4m,2.8,0.0,0.5,1016.0,7936.0,0.01,4m,2.8,0.8,1.5,1008.0,3448.0,0.015,2m,1.0,0.4,2.0,720.0,1136.0,0.01,2m,1.0,0.0,2.0,1024.0,5720.0,0.015,4m,2.8,0.6000000000000001,1.5,960.0,3352.0,0.01,5m,2.8,1.0,1.5,280.0,1032.0,0.01,5m,2.6,0.4,1.0,64.0,4368.0,0.015,5m,2.6,0.4,2.0,728.0,,,,,,,,3144.0,0.01,2m,1.4,0.6000000000000001,1.5,64.0,3144.0,0.02,5m,2.4000000000000004,0.6000000000000001,1.0,384.0,6960,0.02,4m,2.6,0.8,1.5,944,1512.0,0.015,1m,2.2,0.0,1.5,688.0,2640,0.01,4m,2.2,0.0,0.5,248,5712.0,0.015,1m,3.0,1.0,1.5,496.0,0.4,19,COMPLETE
57,57,0.010154319357359807,2025-06-21 19:27:04.973357,2025-06-21 19:27:14.242178,0 days 00:00:09.268821,5712.0,0.015,2m,1.4,0.4,1.5,712.0,4224.0,0.015,1m,2.6,0.8,1.0,232.0,1816.0,0.015,2m,2.2,0.0,1.0,872.0,2208.0,0.01,2m,1.2,1.0,1.0,832.0,2096.0,0.02,5m,1.4,0.2,1.5,488.0,1112.0,0.01,1m,1.0,0.4,0.5,984.0,1024.0,0.01,4m,3.0,0.0,0.5,984.0,2256.0,0.01,4m,2.8,1.0,2.0,1008.0,3424.0,0.015,2m,1.0,0.4,1.5,728.0,1520.0,0.01,2m,1.0,0.0,2.0,1024.0,5840.0,0.015,4m,2.8,0.6000000000000001,1.5,968.0,5640.0,0.01,5m,2.8,1.0,1.5,80.0,1272.0,0.01,5m,2.6,0.4,1.0,88.0,2528.0,0.015,5m,2.6,1.0,2.0,808.0,8056.0,0.01,2m,3.0,1.0,0.5,120.0,3408.0,0.01,2m,1.4,0.6000000000000001,1.5,136.0,3088.0,0.02,5m,2.4000000000000004,0.6000000000000001,1.0,440.0,6832,0.02,4m,2.6,0.6000000000000001,2.0,952,1184.0,0.015,1m,2.2,0.0,1.5,712.0,2576,0.01,4m,1.8,0.0,0.5,440,6896.0,0.02,1m,3.0,1.0,1.5,472.0,0.4,20,COMPLETE
58,58,-0.8669719467754616,2025-06-21 19:27:14.349963,2025-06-21 19:27:23.515126,0 days 00:00:09.165163,6392.0,0.015,2m,1.2,0.2,1.5,744.0,6416.0,0.015,1m,2.2,0.8,1.0,616.0,3384.0,0.015,2m,2.0,0.2,1.0,640.0,1968.0,0.015,2m,1.4,1.0,1.5,768.0,1424.0,0.02,5m,1.2,0.0,1.5,576.0,1112.0,0.01,3m,1.2,0.6000000000000001,0.5,1024.0,1152.0,0.01,4m,2.8,0.0,0.5,1008.0,7992.0,0.01,4m,2.6,0.8,0.5,672.0,4856.0,0.015,2m,1.2,0.4,0.5,784.0,3696.0,0.01,2m,1.8,0.4,2.0,952.0,6424.0,0.015,4m,2.8,0.6000000000000001,1.5,872.0,1152.0,0.01,5m,2.6,1.0,1.5,688.0,3280.0,0.01,5m,2.6,0.6000000000000001,1.5,360.0,1672.0,0.015,5m,1.6,0.8,2.0,728.0,,,,,,,,2640.0,0.01,2m,2.4000000000000004,0.8,2.0,320.0,1944.0,0.02,5m,2.2,0.4,1.0,376.0,7288,0.02,4m,2.6,0.8,2.0,1024,3240.0,0.015,1m,2.2,0.2,1.5,664.0,3488,0.01,4m,2.4000000000000004,0.0,0.5,128,5720.0,0.015,1m,3.0,1.0,1.5,528.0,0.5,19,COMPLETE
59,59,-0.5017198555703907,2025-06-21 19:27:23.621941,2025-06-21 19:27:32.083168,0 days 00:00:08.461227,4904.0,0.015,2m,1.6,0.6000000000000001,2.0,600.0,4808.0,0.01,1m,2.8,0.6000000000000001,1.5,248.0,1960.0,0.02,2m,2.2,0.0,0.5,800.0,2440.0,0.01,2m,1.0,0.8,1.0,72.0,2552.0,0.015,5m,1.6,0.2,1.5,256.0,,,,,,,,,,,,,,,8192.0,0.01,4m,3.0,0.8,2.0,992.0,4112.0,0.015,2m,1.0,1.0,2.0,528.0,1272.0,0.015,1m,1.6,0.0,1.5,248.0,5624.0,0.015,1m,3.0,0.4,1.5,968.0,6424.0,0.015,5m,3.0,0.8,1.5,296.0,3024.0,0.015,4m,3.0,0.2,1.0,320.0,3960.0,0.015,5m,1.0,0.6000000000000001,1.0,544.0,,,,,,,,4920.0,0.015,2m,1.0,0.2,1.0,544.0,3896.0,0.02,5m,1.6,0.6000000000000001,1.0,496.0,6360,0.02,4m,2.4000000000000004,0.8,2.0,864,3376.0,0.02,2m,1.8,0.4,1.0,520.0,3096,0.01,4m,1.2,0.0,0.5,376,8128.0,0.015,1m,3.0,0.8,1.5,264.0,0.4,17,COMPLETE
60,60,-2.2272457432355273,2025-06-21 19:27:32.197263,2025-06-21 19:27:40.929930,0 days 00:00:08.732667,3952.0,0.015,4m,1.2,0.4,1.5,864.0,3344.0,0.015,5m,2.2,0.4,1.0,488.0,4712.0,0.015,1m,1.8,0.4,1.0,936.0,1224.0,0.01,2m,1.2,1.0,0.5,896.0,3216.0,0.02,4m,1.0,0.6000000000000001,2.0,480.0,3912.0,0.01,1m,1.8,0.4,1.0,680.0,,,,,,,,4152.0,0.01,4m,2.4000000000000004,0.8,1.5,944.0,3704.0,0.015,1m,1.2,0.8,1.0,960.0,5768.0,0.015,2m,1.4,0.8,2.0,784.0,6760.0,0.015,4m,2.6,0.8,2.0,760.0,5320.0,0.01,5m,3.0,1.0,2.0,144.0,6456.0,0.01,1m,1.6,0.8,0.5,744.0,4512.0,0.01,3m,2.2,0.4,2.0,384.0,,,,,,,,2336.0,0.01,2m,1.6,0.8,1.5,840.0,5960.0,0.02,5m,2.6,0.6000000000000001,1.0,736.0,7016,0.01,4m,2.6,0.6000000000000001,1.5,920,5536.0,0.01,3m,2.6,0.2,1.5,800.0,2784,0.01,2m,2.0,0.0,1.0,296,4808.0,0.015,1m,1.6,1.0,1.5,208.0,0.45,18,COMPLETE
61,61,-1.0498377829474446,2025-06-21 19:27:41.013654,2025-06-21 19:27:45.292586,0 days 00:00:04.278932,,,,,,,,,,,,,,,,,,,,,,3408.0,0.01,3m,2.4000000000000004,0.4,0.5,696.0,,,,,,,,,,,,,,,,,,,,,,7576.0,0.01,5m,2.8,0.6000000000000001,1.5,896.0,3128.0,0.015,2m,2.0,0.4,2.0,624.0,,,,,,,,,,,,,,,3440.0,0.01,2m,1.6,0.4,1.0,272.0,,,,,,,,3296.0,0.02,4m,2.6,0.4,2.0,624.0,,,,,,,,,,,,,,,3128.0,0.02,1m,2.8,0.8,1.0,368.0,2512,0.02,4m,2.4000000000000004,1.0,1.5,984,,,,,,,,1680,0.01,4m,2.2,0.2,0.5,232,5248.0,0.015,1m,2.8,0.6000000000000001,0.5,392.0,0.4,8,COMPLETE
62,62,0.5653008909910328,2025-06-21 19:27:45.371153,2025-06-21 19:27:49.170471,0 days 00:00:03.799318,,,,,,,,,,,,,,,,,,,,,,2816.0,0.01,2m,1.2,0.6000000000000001,0.5,976.0,,,,,,,,,,,,,,,,,,,,,,7256.0,0.01,2m,3.0,0.2,1.5,840.0,1360.0,0.015,4m,1.4,0.2,2.0,736.0,,,,,,,,,,,,,,,2920.0,0.01,4m,2.8,0.2,1.5,328.0,,,,,,,,4304.0,0.02,5m,2.4000000000000004,0.2,1.0,696.0,,,,,,,,,,,,,,,,,,,,,,4224,0.02,1m,2.2,0.8,1.5,120,,,,,,,,2176,0.01,1m,2.2,0.2,0.5,192,5120.0,0.015,5m,2.8,0.4,2.0,848.0,0.35000000000000003,7,COMPLETE
63,63,-0.5175723843623228,2025-06-21 19:27:49.245695,2025-06-21 19:27:52.657824,0 days 00:00:03.412129,,,,,,,,,,,,,,,,,,,,,,2928.0,0.01,2m,1.2,0.6000000000000001,0.5,968.0,,,,,,,,,,,,,,,,,,,,,,6776.0,0.01,2m,3.0,0.8,1.0,840.0,,,,,,,,,,,,,,,,,,,,,,2512.0,0.01,4m,2.8,1.0,1.5,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4272,0.02,1m,2.0,0.8,1.0,120,,,,,,,,2120,0.01,1m,2.2,1.0,0.5,184,6272.0,0.015,5m,2.8,0.4,1.5,840.0,0.35000000000000003,5,COMPLETE
64,64,-0.6911391914519955,2025-06-21 19:27:52.761546,2025-06-21 19:27:59.276666,0 days 00:00:06.515120,2248.0,0.015,2m,1.8,0.8,1.0,496.0,6768.0,0.02,4m,1.8,0.8,1.5,720.0,4224.0,0.01,3m,2.6,0.0,1.5,720.0,3712.0,0.01,2m,1.6,0.6000000000000001,0.5,848.0,2000.0,0.01,2m,1.6,0.4,1.0,552.0,,,,,,,,,,,,,,,7960.0,0.01,2m,2.8,0.2,1.5,936.0,4032.0,0.015,4m,1.4,0.2,2.0,752.0,,,,,,,,4992.0,0.02,5m,1.8,1.0,1.5,560.0,2912.0,0.01,4m,2.8,0.8,1.5,240.0,,,,,,,,4344.0,0.015,5m,2.4000000000000004,0.2,1.0,704.0,,,,,,,,,,,,,,,6888.0,0.015,3m,1.0,0.6000000000000001,1.5,264.0,6624,0.02,1m,2.2,0.8,1.5,712,,,,,,,,8152,0.01,1m,2.4000000000000004,0.0,0.5,104,5024.0,0.015,5m,1.8,0.4,1.0,776.0,0.35000000000000003,13,COMPLETE
65,65,-1.1503630196732213,2025-06-21 19:27:59.396407,2025-06-21 19:28:06.999100,0 days 00:00:07.602693,4720.0,0.01,2m,3.0,1.0,2.0,784.0,1976.0,0.015,3m,2.6,1.0,0.5,360.0,2896.0,0.015,2m,1.8,0.2,1.0,1016.0,1536.0,0.01,2m,1.0,0.8,0.5,912.0,1416.0,0.015,5m,1.4,0.2,1.5,952.0,,,,,,,,,,,,,,,7320.0,0.01,2m,3.0,0.4,1.5,1024.0,1248.0,0.015,4m,3.0,0.2,2.0,808.0,,,,,,,,1352.0,0.015,4m,2.4000000000000004,0.6000000000000001,1.5,920.0,2264.0,0.01,4m,2.4000000000000004,1.0,1.5,416.0,2240.0,0.015,3m,2.4000000000000004,0.2,1.5,232.0,3960.0,0.02,5m,2.4000000000000004,0.0,1.0,672.0,,,,,,,,3720.0,0.015,5m,2.0,0.6000000000000001,1.0,80.0,4536.0,0.02,2m,2.4000000000000004,0.4,0.5,560.0,4120,0.02,1m,2.6,0.8,1.5,152,,,,,,,,2616,0.01,1m,2.0,0.2,0.5,568,4536.0,0.015,5m,2.8,0.8,1.5,728.0,0.45,15,COMPLETE
66,66,-1.3790440731402265,2025-06-21 19:28:07.093199,2025-06-21 19:28:12.110093,0 days 00:00:05.016894,,,,,,,,,,,,,,,,,,,,,,2656.0,0.02,1m,1.2,0.6000000000000001,1.0,776.0,3848.0,0.015,5m,1.6,0.6000000000000001,1.0,488.0,,,,,,,,,,,,,,,7208.0,0.01,4m,2.8,1.0,1.0,792.0,1352.0,0.015,4m,1.2,0.4,2.0,728.0,,,,,,,,,,,,,,,1520.0,0.01,4m,1.0,0.2,1.5,320.0,,,,,,,,3656.0,0.015,5m,2.6,0.2,0.5,808.0,,,,,,,,,,,,,,,7480.0,0.015,1m,3.0,0.8,1.0,112.0,7904,0.02,1m,2.2,0.6000000000000001,2.0,816,,,,,,,,2416,0.01,1m,2.6,0.0,0.5,152,5464.0,0.015,5m,3.0,1.0,2.0,896.0,0.4,9,COMPLETE
