,number,value,datetime_start,datetime_complete,duration,params_AAPL_CTAS_beta_win,params_AAPL_CTAS_stop_loss,params_AAPL_CTAS_trade_freq,params_AAPL_CTAS_z_entry,params_AAPL_CTAS_z_exit,params_AAPL_CTAS_z_stop_scaler,params_AAPL_CTAS_z_win,params_AAPL_META_beta_win,params_AAPL_META_stop_loss,params_AAPL_META_trade_freq,params_AAPL_META_z_entry,params_AAPL_META_z_exit,params_AAPL_META_z_stop_scaler,params_AAPL_META_z_win,params_ABNB_ADI_beta_win,params_ABNB_ADI_stop_loss,params_ABNB_ADI_trade_freq,params_ABNB_ADI_z_entry,params_ABNB_ADI_z_exit,params_ABNB_ADI_z_stop_scaler,params_ABNB_ADI_z_win,params_ADBE_DXCM_beta_win,params_ADBE_DXCM_stop_loss,params_ADBE_DXCM_trade_freq,params_ADBE_DXCM_z_entry,params_ADBE_DXCM_z_exit,params_ADBE_DXCM_z_stop_scaler,params_ADBE_DXCM_z_win,params_ADBE_WDAY_beta_win,params_ADBE_WDAY_stop_loss,params_ADBE_WDAY_trade_freq,params_ADBE_WDAY_z_entry,params_ADBE_WDAY_z_exit,params_ADBE_WDAY_z_stop_scaler,params_ADBE_WDAY_z_win,params_ADSK_MELI_beta_win,params_ADSK_MELI_stop_loss,params_ADSK_MELI_trade_freq,params_ADSK_MELI_z_entry,params_ADSK_MELI_z_exit,params_ADSK_MELI_z_stop_scaler,params_ADSK_MELI_z_win,params_AEP_TMUS_beta_win,params_AEP_TMUS_stop_loss,params_AEP_TMUS_trade_freq,params_AEP_TMUS_z_entry,params_AEP_TMUS_z_exit,params_AEP_TMUS_z_stop_scaler,params_AEP_TMUS_z_win,params_AMZN_CTAS_beta_win,params_AMZN_CTAS_stop_loss,params_AMZN_CTAS_trade_freq,params_AMZN_CTAS_z_entry,params_AMZN_CTAS_z_exit,params_AMZN_CTAS_z_stop_scaler,params_AMZN_CTAS_z_win,params_AMZN_DXCM_beta_win,params_AMZN_DXCM_stop_loss,params_AMZN_DXCM_trade_freq,params_AMZN_DXCM_z_entry,params_AMZN_DXCM_z_exit,params_AMZN_DXCM_z_stop_scaler,params_AMZN_DXCM_z_win,params_COST_DXCM_beta_win,params_COST_DXCM_stop_loss,params_COST_DXCM_trade_freq,params_COST_DXCM_z_entry,params_COST_DXCM_z_exit,params_COST_DXCM_z_stop_scaler,params_COST_DXCM_z_win,params_CSCO_ADI_beta_win,params_CSCO_ADI_stop_loss,params_CSCO_ADI_trade_freq,params_CSCO_ADI_z_entry,params_CSCO_ADI_z_exit,params_CSCO_ADI_z_stop_scaler,params_CSCO_ADI_z_win,params_CSGP_DXCM_beta_win,params_CSGP_DXCM_stop_loss,params_CSGP_DXCM_trade_freq,params_CSGP_DXCM_z_entry,params_CSGP_DXCM_z_exit,params_CSGP_DXCM_z_stop_scaler,params_CSGP_DXCM_z_win,params_CSX_DXCM_beta_win,params_CSX_DXCM_stop_loss,params_CSX_DXCM_trade_freq,params_CSX_DXCM_z_entry,params_CSX_DXCM_z_exit,params_CSX_DXCM_z_stop_scaler,params_CSX_DXCM_z_win,params_DXCM_FAST_beta_win,params_DXCM_FAST_stop_loss,params_DXCM_FAST_trade_freq,params_DXCM_FAST_z_entry,params_DXCM_FAST_z_exit,params_DXCM_FAST_z_stop_scaler,params_DXCM_FAST_z_win,params_DXCM_HON_beta_win,params_DXCM_HON_stop_loss,params_DXCM_HON_trade_freq,params_DXCM_HON_z_entry,params_DXCM_HON_z_exit,params_DXCM_HON_z_stop_scaler,params_DXCM_HON_z_win,params_GOOGL_MU_beta_win,params_GOOGL_MU_stop_loss,params_GOOGL_MU_trade_freq,params_GOOGL_MU_z_entry,params_GOOGL_MU_z_exit,params_GOOGL_MU_z_stop_scaler,params_GOOGL_MU_z_win,params_GOOG_MU_beta_win,params_GOOG_MU_stop_loss,params_GOOG_MU_trade_freq,params_GOOG_MU_z_entry,params_GOOG_MU_z_exit,params_GOOG_MU_z_stop_scaler,params_GOOG_MU_z_win,params_NFLX_DXCM_beta_win,params_NFLX_DXCM_stop_loss,params_NFLX_DXCM_trade_freq,params_NFLX_DXCM_z_entry,params_NFLX_DXCM_z_exit,params_NFLX_DXCM_z_stop_scaler,params_NFLX_DXCM_z_win,params_SIRI_ADI_beta_win,params_SIRI_ADI_stop_loss,params_SIRI_ADI_trade_freq,params_SIRI_ADI_z_entry,params_SIRI_ADI_z_exit,params_SIRI_ADI_z_stop_scaler,params_SIRI_ADI_z_win,params_TTD_CTAS_beta_win,params_TTD_CTAS_stop_loss,params_TTD_CTAS_trade_freq,params_TTD_CTAS_z_entry,params_TTD_CTAS_z_exit,params_TTD_CTAS_z_stop_scaler,params_TTD_CTAS_z_win,params_buffer_capital,params_pairs_to_trade,state
45,45,0.04210046992125859,2025-06-21 19:31:05.738474,2025-06-21 19:31:11.671678,0 days 00:00:05.933204,7584.0,0.02,3m,3.0,1.0,0.5,776.0,4600.0,0.015,4m,1.6,0.2,0.5,248.0,,,,,,,,7392.0,0.01,4m,2.6,0.4,0.5,840.0,4544.0,0.015,1m,1.8,1.0,0.5,792.0,3656.0,0.02,1m,1.0,0.4,1.5,144.0,5568.0,0.015,5m,2.8,0.2,1.5,616.0,,,,,,,,,,,,,,,4344.0,0.015,1m,2.8,0.6000000000000001,1.5,456.0,3656.0,0.01,5m,1.4,0.8,1.0,320.0,2176.0,0.02,2m,2.2,0.4,2.0,520.0,7304,0.015,2m,2.2,0.2,0.5,296,3672.0,0.02,4m,1.2,0.2,1.0,776.0,3424.0,0.015,3m,1.4,0.8,1.5,760.0,,,,,,,,,,,,,,,1864.0,0.02,5m,2.8,0.0,1.5,856.0,,,,,,,,1576.0,0.01,1m,2.4000000000000004,0.4,1.5,536.0,0.35000000000000003,14,COMPLETE
46,46,0.8854053702982551,2025-06-21 19:31:11.760597,2025-06-21 19:31:19.711758,0 days 00:00:07.951161,6992.0,0.02,4m,1.8,0.8,1.0,968.0,5752.0,0.015,4m,1.4,0.0,0.5,368.0,6728.0,0.02,2m,2.4000000000000004,0.4,0.5,968.0,5080.0,0.02,1m,1.2,0.6000000000000001,1.0,928.0,3320.0,0.015,4m,2.2,0.8,0.5,584.0,2640.0,0.02,5m,3.0,0.2,1.5,264.0,1264.0,0.01,4m,1.8,1.0,2.0,376.0,1400.0,0.02,1m,2.6,0.6000000000000001,2.0,232.0,3832.0,0.015,4m,2.6,0.0,1.0,800.0,1048.0,0.015,5m,1.8,0.2,2.0,160.0,5608.0,0.02,5m,2.0,0.6000000000000001,2.0,600.0,3104.0,0.02,2m,2.6,0.2,2.0,872.0,8176,0.02,5m,1.6,0.4,0.5,376,2008.0,0.015,1m,1.8,0.6000000000000001,1.5,336.0,2624.0,0.015,5m,1.0,0.6000000000000001,1.0,928.0,4800.0,0.015,1m,2.2,0.6000000000000001,1.0,552.0,,,,,,,,3840.0,0.02,5m,2.6,0.0,1.5,992.0,5736.0,0.015,5m,1.4,0.2,1.5,576.0,3896.0,0.02,3m,1.8,1.0,2.0,744.0,0.3,19,COMPLETE
47,47,-0.6654616380935113,2025-06-21 19:31:19.783597,2025-06-21 19:31:27.697209,0 days 00:00:07.913612,7248.0,0.02,4m,1.8,1.0,1.0,976.0,5736.0,0.01,4m,1.4,0.0,0.5,344.0,6992.0,0.02,2m,2.4000000000000004,0.4,0.5,1000.0,5152.0,0.02,1m,1.0,1.0,1.0,496.0,3104.0,0.015,4m,2.2,0.8,0.5,648.0,2616.0,0.02,5m,3.0,0.6000000000000001,1.5,280.0,1464.0,0.02,4m,1.8,1.0,1.5,368.0,1528.0,0.015,1m,2.0,0.8,2.0,1000.0,1112.0,0.02,3m,2.4000000000000004,0.0,2.0,744.0,1040.0,0.01,5m,1.6,0.2,2.0,128.0,6136.0,0.015,5m,2.0,0.2,2.0,832.0,2992.0,0.02,2m,2.4000000000000004,0.2,2.0,880.0,8144,0.02,5m,1.6,0.2,0.5,488,5160.0,0.02,1m,2.0,0.8,1.5,176.0,2624.0,0.015,5m,1.0,0.6000000000000001,1.5,928.0,5536.0,0.015,1m,2.2,0.6000000000000001,1.0,592.0,,,,,,,,4672.0,0.02,5m,2.2,0.8,1.5,976.0,5960.0,0.02,5m,2.0,0.2,1.5,512.0,3944.0,0.02,3m,1.8,1.0,2.0,720.0,0.3,19,COMPLETE
48,48,1.199107201614606,2025-06-21 19:31:27.782450,2025-06-21 19:31:31.657357,0 days 00:00:03.874907,6944.0,0.02,4m,2.8,0.8,0.5,608.0,6336.0,0.015,4m,1.2,0.0,1.0,432.0,,,,,,,,,,,,,,,3344.0,0.015,4m,1.6,1.0,0.5,568.0,1880.0,0.02,1m,3.0,0.2,1.5,240.0,,,,,,,,,,,,,,,,,,,,,,5640.0,0.02,5m,1.8,0.2,2.0,128.0,,,,,,,,2048.0,0.02,2m,2.6,0.2,2.0,944.0,7632,0.02,5m,1.6,0.6000000000000001,0.5,392,,,,,,,,3992.0,0.01,5m,1.2,0.8,1.0,816.0,,,,,,,,,,,,,,,4016.0,0.02,5m,2.6,0.0,1.5,1024.0,,,,,,,,,,,,,,,0.4,9,COMPLETE
49,49,0.8385446714667912,2025-06-21 19:31:31.735372,2025-06-21 19:31:34.588516,0 days 00:00:02.853144,7832.0,0.02,4m,1.6,0.8,1.0,480.0,6176.0,0.015,4m,1.0,0.0,1.0,432.0,,,,,,,,,,,,,,,2752.0,0.015,4m,1.6,1.0,0.5,512.0,1616.0,0.02,1m,3.0,0.2,1.5,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520.0,0.02,2m,2.2,0.0,2.0,992.0,8184,0.02,5m,1.6,0.6000000000000001,0.5,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3808.0,0.02,5m,2.4000000000000004,0.0,1.5,1024.0,,,,,,,,,,,,,,,0.45,7,COMPLETE
50,50,1.0277287026000992,2025-06-21 19:31:34.682881,2025-06-21 19:31:37.437685,0 days 00:00:02.754804,,,,,,,,6648.0,0.015,4m,1.2,0.0,1.0,160.0,,,,,,,,,,,,,,,2024.0,0.015,4m,1.8,1.0,0.5,568.0,1104.0,0.02,1m,2.8,0.0,1.5,232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344.0,0.02,2m,2.6,0.2,2.0,928.0,7744,0.02,5m,1.4,0.6000000000000001,0.5,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3184.0,0.02,4m,2.6,0.0,1.5,928.0,,,,,,,,,,,,,,,0.4,6,COMPLETE
51,51,0.8227255962778814,2025-06-21 19:31:37.549540,2025-06-21 19:31:40.091490,0 days 00:00:02.541950,,,,,,,,6784.0,0.015,4m,1.2,0.0,1.0,152.0,,,,,,,,,,,,,,,2136.0,0.015,4m,1.8,1.0,0.5,568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424.0,0.02,2m,2.6,0.2,2.0,928.0,7720,0.02,5m,1.2,0.6000000000000001,0.5,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3064.0,0.02,4m,2.6,0.0,1.5,912.0,,,,,,,,,,,,,,,0.4,5,COMPLETE
52,52,0.7325229151017371,2025-06-21 19:31:40.170334,2025-06-21 19:31:41.874611,0 days 00:00:01.704277,,,,,,,,7312.0,0.015,4m,1.4,0.0,1.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0,0.02,2m,2.6,0.0,2.0,832.0,7328,0.02,5m,1.2,0.6000000000000001,0.5,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400.0,0.02,4m,2.6,0.0,1.5,976.0,,,,,,,,,,,,,,,0.5,4,COMPLETE
53,53,0.17989949419001544,2025-06-21 19:31:41.965072,2025-06-21 19:31:44.974974,0 days 00:00:03.009902,6856.0,0.02,4m,1.8,0.8,0.5,608.0,6696.0,0.015,4m,1.0,0.2,1.0,352.0,,,,,,,,,,,,,,,1864.0,0.015,4m,1.6,1.0,0.5,648.0,1040.0,0.02,1m,2.8,0.0,1.5,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1304.0,0.02,2m,2.4000000000000004,0.2,2.0,952.0,7856,0.02,5m,1.4,0.6000000000000001,0.5,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800.0,0.02,4m,2.8,0.0,1.5,936.0,,,,,,,,,,,,,,,0.35000000000000003,7,COMPLETE
54,54,0.6808627030026314,2025-06-21 19:31:45.052856,2025-06-21 19:31:47.114279,0 days 00:00:02.061423,,,,,,,,5464.0,0.015,4m,1.2,0.0,1.0,264.0,,,,,,,,,,,,,,,1256.0,0.015,4m,1.8,0.8,0.5,488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1816.0,0.02,2m,2.4000000000000004,0.2,1.5,872.0,6576,0.02,5m,1.6,0.8,0.5,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4840.0,0.02,4m,2.6,0.0,1.5,992.0,,,,,,,,,,,,,,,0.4,5,COMPLETE
55,55,1.1746650744638072,2025-06-21 19:31:47.187246,2025-06-21 19:31:51.220475,0 days 00:00:04.033229,1112.0,0.02,4m,3.0,0.6000000000000001,1.0,368.0,6488.0,0.015,4m,1.4,0.0,0.5,184.0,,,,,,,,,,,,,,,3376.0,0.015,4m,1.6,1.0,0.5,576.0,1336.0,0.02,1m,3.0,0.2,1.5,296.0,,,,,,,,,,,,,,,,,,,,,,6184.0,0.02,5m,1.4,0.2,2.0,200.0,,,,,,,,3320.0,0.02,2m,2.8,0.2,2.0,824.0,7616,0.02,5m,1.4,0.6000000000000001,0.5,528,,,,,,,,4256.0,0.01,5m,1.2,0.6000000000000001,0.5,832.0,,,,,,,,,,,,,,,2568.0,0.02,3m,2.6,0.0,1.5,864.0,,,,,,,,,,,,,,,0.45,9,COMPLETE
56,56,-1.1134595454912204,2025-06-21 19:31:51.336428,2025-06-21 19:31:55.260863,0 days 00:00:03.924435,1080.0,0.02,4m,3.0,0.6000000000000001,1.5,336.0,7320.0,0.015,4m,1.6,0.0,1.0,176.0,,,,,,,,,,,,,,,2776.0,0.015,4m,1.6,1.0,0.5,688.0,1896.0,0.02,1m,2.6,0.0,1.5,416.0,,,,,,,,,,,,,,,,,,,,,,6752.0,0.02,5m,1.4,0.0,2.0,224.0,,,,,,,,3488.0,0.02,2m,2.8,0.0,2.0,824.0,7592,0.02,5m,1.4,0.8,0.5,528,,,,,,,,5192.0,0.01,5m,1.2,1.0,0.5,824.0,,,,,,,,,,,,,,,2568.0,0.02,3m,2.8,0.0,1.5,864.0,,,,,,,,,,,,,,,0.45,9,COMPLETE
57,57,-2.0986850091413363,2025-06-21 19:31:55.343998,2025-06-21 19:31:58.716939,0 days 00:00:03.372941,2544.0,0.02,4m,3.0,0.4,1.0,496.0,6144.0,0.015,4m,1.0,0.2,0.5,232.0,,,,,,,,,,,,,,,3824.0,0.015,4m,1.4,1.0,0.5,1008.0,1336.0,0.02,1m,2.8,0.2,1.0,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2232.0,0.02,1m,2.0,0.2,1.5,960.0,7192,0.02,5m,1.0,0.6000000000000001,0.5,576,,,,,,,,4952.0,0.01,5m,1.2,0.4,0.5,704.0,,,,,,,,,,,,,,,2112.0,0.02,3m,2.4000000000000004,0.0,1.5,952.0,,,,,,,,,,,,,,,0.45,8,COMPLETE
58,58,0.7744380441258242,2025-06-21 19:31:58.824566,2025-06-21 19:32:03.110772,0 days 00:00:04.286206,1624.0,0.02,1m,2.8,0.6000000000000001,0.5,384.0,6544.0,0.015,4m,1.4,0.0,1.0,64.0,,,,,,,,,,,,,,,3592.0,0.015,4m,1.4,1.0,0.5,736.0,1280.0,0.02,1m,3.0,0.0,1.5,312.0,2968.0,0.02,3m,2.6,0.0,0.5,856.0,,,,,,,,,,,,,,,5592.0,0.02,5m,1.2,0.2,2.0,352.0,,,,,,,,1920.0,0.02,2m,2.2,0.4,2.0,736.0,6984,0.02,1m,1.8,0.6000000000000001,1.0,672,,,,,,,,4200.0,0.01,5m,1.4,0.8,0.5,856.0,,,,,,,,,,,,,,,2888.0,0.02,3m,2.2,0.2,1.5,832.0,,,,,,,,,,,,,,,0.4,10,COMPLETE
59,59,-0.48486096846596205,2025-06-21 19:32:03.196242,2025-06-21 19:32:06.682877,0 days 00:00:03.486635,2424.0,0.015,4m,2.6,0.4,1.5,584.0,6400.0,0.015,4m,1.2,0.2,0.5,144.0,,,,,,,,,,,,,,,2488.0,0.015,4m,2.0,1.0,1.0,632.0,1984.0,0.02,1m,2.8,0.4,1.5,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4376.0,0.02,2m,3.0,0.2,1.5,904.0,7888,0.02,5m,1.2,0.6000000000000001,0.5,536,,,,,,,,6040.0,0.01,5m,1.2,0.2,0.5,800.0,,,,,,,,,,,,,,,1664.0,0.02,3m,3.0,0.8,1.5,872.0,,,,,,,,,,,,,,,0.5,8,COMPLETE
60,60,-1.8927228252079884,2025-06-21 19:32:06.752349,2025-06-21 19:32:10.598330,0 days 00:00:03.845981,2904.0,0.02,4m,3.0,0.6000000000000001,1.0,168.0,7912.0,0.01,3m,1.8,0.0,1.5,512.0,,,,,,,,,,,,,,,3232.0,0.015,5m,1.8,0.8,0.5,400.0,1472.0,0.02,1m,2.6,0.2,1.0,296.0,,,,,,,,,,,,,,,,,,,,,,6632.0,0.02,5m,1.8,0.0,2.0,64.0,,,,,,,,1064.0,0.02,2m,1.8,0.2,2.0,808.0,7368,0.02,2m,1.4,0.6000000000000001,1.0,320,,,,,,,,4216.0,0.01,1m,1.4,0.8,1.5,968.0,,,,,,,,,,,,,,,8040.0,0.02,1m,2.6,0.0,2.0,912.0,,,,,,,,,,,,,,,0.5,9,COMPLETE
61,61,1.639132756068971,2025-06-21 19:32:10.672664,2025-06-21 19:32:13.486076,0 days 00:00:02.813412,,,,,,,,5816.0,0.015,4m,1.2,0.0,0.5,440.0,,,,,,,,,,,,,,,3360.0,0.015,4m,2.2,0.8,0.5,576.0,2496.0,0.02,1m,3.0,0.2,1.5,232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2480.0,0.02,2m,2.6,0.2,2.0,984.0,7952,0.02,5m,1.6,0.4,0.5,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3232.0,0.02,5m,2.6,0.0,1.5,992.0,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
62,62,1.119665994951712,2025-06-21 19:32:13.565076,2025-06-21 19:32:16.242527,0 days 00:00:02.677451,,,,,,,,7080.0,0.015,4m,1.2,0.0,0.5,320.0,,,,,,,,,,,,,,,2936.0,0.015,4m,1.8,1.0,0.5,560.0,1912.0,0.02,1m,3.0,0.2,1.5,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2512.0,0.02,2m,2.6,0.2,2.0,1024.0,7888,0.02,5m,1.8,0.4,0.5,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3272.0,0.02,5m,2.8,0.0,1.5,1024.0,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
63,63,0.20266761149687346,2025-06-21 19:32:16.333439,2025-06-21 19:32:18.999289,0 days 00:00:02.665850,,,,,,,,7040.0,0.015,4m,1.2,0.0,0.5,416.0,,,,,,,,,,,,,,,2040.0,0.015,4m,1.6,1.0,0.5,552.0,1904.0,0.02,1m,3.0,0.2,1.5,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2392.0,0.02,2m,2.6,0.2,2.0,976.0,7912,0.02,5m,1.8,0.4,0.5,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2464.0,0.02,5m,2.4000000000000004,0.0,1.5,952.0,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
64,64,0.41687461387446295,2025-06-21 19:32:19.060910,2025-06-21 19:32:22.342022,0 days 00:00:03.281112,1632.0,0.02,2m,1.2,0.2,0.5,296.0,7080.0,0.015,4m,1.0,0.0,0.5,328.0,,,,,,,,,,,,,,,2888.0,0.015,4m,1.8,1.0,0.5,488.0,2352.0,0.02,1m,2.8,0.0,1.5,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2776.0,0.02,2m,2.4000000000000004,0.0,2.0,1024.0,7688,0.02,5m,1.6,0.4,0.5,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2728.0,0.02,5m,2.8,0.0,1.5,1016.0,,,,,,,,,,,,,,,0.35000000000000003,7,COMPLETE
65,65,0.6671881925514881,2025-06-21 19:32:22.417736,2025-06-21 19:32:24.125437,0 days 00:00:01.707701,,,,,,,,7792.0,0.015,4m,1.4,0.0,0.5,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568.0,0.02,2m,2.6,0.2,2.0,912.0,7128,0.02,5m,1.8,1.0,0.5,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3360.0,0.02,5m,2.6,0.0,1.5,928.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
66,66,0.9083905469890318,2025-06-21 19:32:24.192767,2025-06-21 19:32:25.202005,0 days 00:00:01.009238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7528,0.02,5m,1.4,0.4,0.5,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,0.02,5m,2.4000000000000004,0.2,1.5,800.0,,,,,,,,,,,,,,,0.4,2,COMPLETE
67,67,0.7934552440001345,2025-06-21 19:32:25.272995,2025-06-21 19:32:27.967665,0 days 00:00:02.694670,,,,,,,,7552.0,0.015,4m,1.2,0.0,0.5,272.0,,,,,,,,,,,,,,,1576.0,0.015,4m,1.6,1.0,0.5,664.0,3056.0,0.02,1m,3.0,0.2,1.5,232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2128.0,0.02,1m,2.8,0.2,2.0,256.0,7976,0.02,5m,1.6,0.4,0.5,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4136.0,0.015,4m,3.0,0.2,1.5,976.0,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
68,68,-0.8732859001385369,2025-06-21 19:32:28.046134,2025-06-21 19:32:30.195255,0 days 00:00:02.149121,,,,,,,,5984.0,0.015,4m,1.2,0.0,1.0,320.0,,,,,,,,,,,,,,,2488.0,0.015,4m,1.4,0.8,0.5,440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600.0,0.02,2m,2.4000000000000004,0.0,1.5,1000.0,6952,0.02,5m,1.6,0.2,0.5,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2264.0,0.02,5m,2.6,0.0,1.5,744.0,,,,,,,,,,,,,,,0.35000000000000003,5,COMPLETE
69,69,1.9512096296980999,2025-06-21 19:32:30.258898,2025-06-21 19:32:31.570390,0 days 00:00:01.311492,,,,,,,,6568.0,0.015,4m,1.6,0.2,0.5,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7408,0.02,5m,1.4,0.4,0.5,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3272.0,0.02,3m,2.8,0.0,2.0,888.0,,,,,,,,,,,,,,,0.4,3,COMPLETE
70,70,0.6331926119587498,2025-06-21 19:32:31.633790,2025-06-21 19:32:32.229541,0 days 00:00:00.595751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7232,0.02,5m,1.8,0.2,0.5,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
71,71,0.915041969962099,2025-06-21 19:32:32.284971,2025-06-21 19:32:33.702405,0 days 00:00:01.417434,,,,,,,,6456.0,0.015,4m,1.6,0.2,0.5,456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7728,0.02,5m,1.2,0.4,0.5,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600.0,0.02,3m,2.8,0.0,2.0,888.0,,,,,,,,,,,,,,,0.4,3,COMPLETE
72,72,0.518869324562813,2025-06-21 19:32:33.774981,2025-06-21 19:32:35.692697,0 days 00:00:01.917716,,,,,,,,6768.0,0.015,4m,1.4,0.0,0.5,392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3816.0,0.02,2m,2.2,0.2,2.0,984.0,7960,0.02,5m,1.4,0.4,0.5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3168.0,0.02,3m,2.8,0.0,2.0,960.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
73,73,0.6313195016925183,2025-06-21 19:32:35.760469,2025-06-21 19:32:38.576312,0 days 00:00:02.815843,1896.0,0.02,1m,2.6,0.0,0.5,688.0,6608.0,0.015,4m,1.4,0.0,0.5,184.0,,,,,,,,,,,,,,,3976.0,0.015,4m,1.2,1.0,0.5,512.0,2048.0,0.02,1m,3.0,0.0,1.5,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3280.0,0.02,2m,2.8,0.8,1.5,1024.0,7400,0.02,5m,1.4,0.4,0.5,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2976.0,0.02,3m,3.0,0.0,2.0,1024.0,,,,,,,,,,,,,,,0.35000000000000003,7,COMPLETE
74,74,-0.0069809081383117675,2025-06-21 19:32:38.648758,2025-06-21 19:32:39.663872,0 days 00:00:01.015114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7568,0.02,1m,1.6,0.4,0.5,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3256.0,0.02,3m,2.6,0.0,1.5,1000.0,,,,,,,,,,,,,,,0.45,2,COMPLETE
75,75,-0.9565444300220779,2025-06-21 19:32:39.734568,2025-06-21 19:32:43.685859,0 days 00:00:03.951291,4400.0,0.02,4m,2.8,0.0,0.5,360.0,7144.0,0.015,4m,1.2,0.2,0.5,144.0,,,,,,,,,,,,,,,4824.0,0.015,4m,1.8,1.0,0.5,608.0,1152.0,0.02,1m,2.8,0.2,1.5,184.0,,,,,,,,,,,,,,,,,,,,,,7264.0,0.02,3m,1.0,0.4,2.0,144.0,,,,,,,,1872.0,0.02,2m,2.6,0.0,2.0,400.0,6984,0.02,5m,1.6,0.6000000000000001,0.5,304,,,,,,,,4760.0,0.01,4m,2.2,1.0,0.5,528.0,,,,,,,,,,,,,,,2640.0,0.02,5m,1.0,0.0,1.5,928.0,,,,,,,,,,,,,,,0.3,9,COMPLETE
