,number,value,datetime_start,datetime_complete,duration,params_ADP_ZS_beta_win,params_ADP_ZS_stop_loss,params_ADP_ZS_trade_freq,params_ADP_ZS_z_entry,params_ADP_ZS_z_exit,params_ADP_ZS_z_stop_scaler,params_ADP_ZS_z_win,params_AMGN_PDD_beta_win,params_AMGN_PDD_stop_loss,params_AMGN_PDD_trade_freq,params_AMGN_PDD_z_entry,params_AMGN_PDD_z_exit,params_AMGN_PDD_z_stop_scaler,params_AMGN_PDD_z_win,params_AMZN_LULU_beta_win,params_AMZN_LULU_stop_loss,params_AMZN_LULU_trade_freq,params_AMZN_LULU_z_entry,params_AMZN_LULU_z_exit,params_AMZN_LULU_z_stop_scaler,params_AMZN_LULU_z_win,params_ANSS_GFS_beta_win,params_ANSS_GFS_stop_loss,params_ANSS_GFS_trade_freq,params_ANSS_GFS_z_entry,params_ANSS_GFS_z_exit,params_ANSS_GFS_z_stop_scaler,params_ANSS_GFS_z_win,params_CSCO_KLAC_beta_win,params_CSCO_KLAC_stop_loss,params_CSCO_KLAC_trade_freq,params_CSCO_KLAC_z_entry,params_CSCO_KLAC_z_exit,params_CSCO_KLAC_z_stop_scaler,params_CSCO_KLAC_z_win,params_CSX_MDB_beta_win,params_CSX_MDB_stop_loss,params_CSX_MDB_trade_freq,params_CSX_MDB_z_entry,params_CSX_MDB_z_exit,params_CSX_MDB_z_stop_scaler,params_CSX_MDB_z_win,params_CSX_SNPS_beta_win,params_CSX_SNPS_stop_loss,params_CSX_SNPS_trade_freq,params_CSX_SNPS_z_entry,params_CSX_SNPS_z_exit,params_CSX_SNPS_z_stop_scaler,params_CSX_SNPS_z_win,params_CTSH_IDXX_beta_win,params_CTSH_IDXX_stop_loss,params_CTSH_IDXX_trade_freq,params_CTSH_IDXX_z_entry,params_CTSH_IDXX_z_exit,params_CTSH_IDXX_z_stop_scaler,params_CTSH_IDXX_z_win,params_CTSH_LRCX_beta_win,params_CTSH_LRCX_stop_loss,params_CTSH_LRCX_trade_freq,params_CTSH_LRCX_z_entry,params_CTSH_LRCX_z_exit,params_CTSH_LRCX_z_stop_scaler,params_CTSH_LRCX_z_win,params_DXCM_ISRG_beta_win,params_DXCM_ISRG_stop_loss,params_DXCM_ISRG_trade_freq,params_DXCM_ISRG_z_entry,params_DXCM_ISRG_z_exit,params_DXCM_ISRG_z_stop_scaler,params_DXCM_ISRG_z_win,params_GEHC_IDXX_beta_win,params_GEHC_IDXX_stop_loss,params_GEHC_IDXX_trade_freq,params_GEHC_IDXX_z_entry,params_GEHC_IDXX_z_exit,params_GEHC_IDXX_z_stop_scaler,params_GEHC_IDXX_z_win,params_GEHC_LRCX_beta_win,params_GEHC_LRCX_stop_loss,params_GEHC_LRCX_trade_freq,params_GEHC_LRCX_z_entry,params_GEHC_LRCX_z_exit,params_GEHC_LRCX_z_stop_scaler,params_GEHC_LRCX_z_win,params_GEHC_QCOM_beta_win,params_GEHC_QCOM_stop_loss,params_GEHC_QCOM_trade_freq,params_GEHC_QCOM_z_entry,params_GEHC_QCOM_z_exit,params_GEHC_QCOM_z_stop_scaler,params_GEHC_QCOM_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_LIN_MELI_beta_win,params_LIN_MELI_stop_loss,params_LIN_MELI_trade_freq,params_LIN_MELI_z_entry,params_LIN_MELI_z_exit,params_LIN_MELI_z_stop_scaler,params_LIN_MELI_z_win,params_LIN_PDD_beta_win,params_LIN_PDD_stop_loss,params_LIN_PDD_trade_freq,params_LIN_PDD_z_entry,params_LIN_PDD_z_exit,params_LIN_PDD_z_stop_scaler,params_LIN_PDD_z_win,params_MAR_WDAY_beta_win,params_MAR_WDAY_stop_loss,params_MAR_WDAY_trade_freq,params_MAR_WDAY_z_entry,params_MAR_WDAY_z_exit,params_MAR_WDAY_z_stop_scaler,params_MAR_WDAY_z_win,params_MELI_PDD_beta_win,params_MELI_PDD_stop_loss,params_MELI_PDD_trade_freq,params_MELI_PDD_z_entry,params_MELI_PDD_z_exit,params_MELI_PDD_z_stop_scaler,params_MELI_PDD_z_win,params_MSFT_PYPL_beta_win,params_MSFT_PYPL_stop_loss,params_MSFT_PYPL_trade_freq,params_MSFT_PYPL_z_entry,params_MSFT_PYPL_z_exit,params_MSFT_PYPL_z_stop_scaler,params_MSFT_PYPL_z_win,params_VRSK_ZS_beta_win,params_VRSK_ZS_stop_loss,params_VRSK_ZS_trade_freq,params_VRSK_ZS_z_entry,params_VRSK_ZS_z_exit,params_VRSK_ZS_z_stop_scaler,params_VRSK_ZS_z_win,params_buffer_capital,params_pairs_to_trade,state
32,32,1.7050553526234127,2025-06-21 19:50:28.643776,2025-06-21 19:50:33.182137,0 days 00:00:04.538361,1024.0,0.015,3m,2.4000000000000004,0.0,0.5,672.0,4344.0,0.015,2m,2.8,0.6000000000000001,0.5,504.0,8192.0,0.015,4m,2.8,1.0,1.0,392.0,,,,,,,,6824.0,0.02,3m,1.2,0.4,0.5,504.0,,,,,,,,5728,0.02,1m,2.4000000000000004,1.0,2.0,752,,,,,,,,1584.0,0.02,3m,1.2,0.8,2.0,936.0,8192.0,0.015,2m,2.4000000000000004,0.0,1.0,952.0,2408.0,0.02,2m,2.6,1.0,1.5,472.0,,,,,,,,7792.0,0.01,2m,2.0,1.0,2.0,104.0,,,,,,,,3944.0,0.01,5m,1.8,0.6000000000000001,2.0,64.0,,,,,,,,,,,,,,,,,,,,,,1752.0,0.01,4m,2.2,0.0,0.5,64.0,7984.0,0.01,2m,3.0,0.0,0.5,64.0,0.5,12,COMPLETE
33,33,1.334133991515609,2025-06-21 19:50:33.229628,2025-06-21 19:50:37.649137,0 days 00:00:04.419509,3600.0,0.015,3m,2.6,0.0,0.5,768.0,3952.0,0.015,2m,2.6,0.6000000000000001,0.5,360.0,7736.0,0.015,4m,2.8,1.0,1.0,456.0,,,,,,,,7504.0,0.02,3m,1.2,0.2,0.5,520.0,,,,,,,,5936,0.02,1m,2.0,1.0,2.0,760,,,,,,,,1760.0,0.02,3m,1.2,0.6000000000000001,2.0,968.0,6984.0,0.015,2m,2.4000000000000004,0.0,1.0,960.0,2472.0,0.02,2m,2.6,1.0,1.5,472.0,,,,,,,,6432.0,0.01,2m,2.0,1.0,2.0,104.0,,,,,,,,5088.0,0.01,5m,1.4,0.6000000000000001,2.0,208.0,,,,,,,,,,,,,,,,,,,,,,1712.0,0.01,4m,2.2,0.0,0.5,120.0,7472.0,0.01,2m,2.8,0.0,0.5,152.0,0.5,12,COMPLETE
34,34,-0.18398609569572016,2025-06-21 19:50:37.715419,2025-06-21 19:50:39.348726,0 days 00:00:01.633307,,,,,,,,5768.0,0.015,2m,2.4000000000000004,0.6000000000000001,0.5,416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6384,0.02,1m,2.4000000000000004,1.0,2.0,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6896.0,0.01,2m,1.6,1.0,2.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2072.0,0.01,4m,2.4000000000000004,0.2,1.0,224.0,,,,,,,,0.5,4,COMPLETE
35,35,0.5358210425365011,2025-06-21 19:50:39.411646,2025-06-21 19:50:42.694304,0 days 00:00:03.282658,1216.0,0.015,5m,2.8,0.0,0.5,664.0,3256.0,0.015,2m,2.8,0.6000000000000001,0.5,544.0,8112.0,0.015,1m,2.8,0.8,1.5,584.0,,,,,,,,7040.0,0.02,1m,1.6,0.4,0.5,392.0,,,,,,,,1312,0.015,1m,2.2,1.0,2.0,736,,,,,,,,,,,,,,,,,,,,,,2040.0,0.02,1m,2.2,1.0,1.5,376.0,,,,,,,,7744.0,0.01,5m,1.8,1.0,2.0,192.0,,,,,,,,6112.0,0.01,5m,1.8,0.6000000000000001,2.0,136.0,,,,,,,,,,,,,,,,,,,,,,1280.0,0.015,5m,2.8,0.2,0.5,120.0,,,,,,,,0.5,9,COMPLETE
36,36,-0.8003170173568798,2025-06-21 19:50:42.757293,2025-06-21 19:50:48.733247,0 days 00:00:05.975954,1272.0,0.015,3m,2.0,0.0,1.0,544.0,4536.0,0.01,2m,2.4000000000000004,0.8,2.0,728.0,7008.0,0.015,4m,2.8,1.0,1.0,520.0,,,,,,,,6088.0,0.02,3m,1.2,0.6000000000000001,0.5,584.0,,,,,,,,4656,0.02,4m,2.0,1.0,2.0,952,,,,,,,,3512.0,0.02,3m,1.2,1.0,2.0,800.0,7544.0,0.015,1m,2.8,0.0,1.0,928.0,1336.0,0.02,2m,2.4000000000000004,1.0,2.0,304.0,1168.0,0.02,5m,2.8,0.2,0.5,800.0,6192.0,0.01,2m,2.0,0.8,1.5,120.0,4400.0,0.02,5m,1.0,0.8,1.0,248.0,4608.0,0.01,5m,2.0,0.8,2.0,376.0,,,,,,,,4256.0,0.02,1m,1.6,0.0,1.0,376.0,3136.0,0.015,1m,1.6,0.4,1.5,360.0,2072.0,0.01,4m,2.2,0.0,1.0,200.0,6768.0,0.01,2m,2.8,0.0,0.5,152.0,0.45,16,COMPLETE
37,37,-0.2286666410184361,2025-06-21 19:50:48.780559,2025-06-21 19:50:49.389913,0 days 00:00:00.609354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5664,0.015,5m,2.0,1.0,1.5,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
38,38,-0.7285576324608687,2025-06-21 19:50:49.446443,2025-06-21 19:50:52.497602,0 days 00:00:03.051159,7736.0,0.02,3m,2.8,0.0,0.5,848.0,5104.0,0.02,5m,2.0,0.4,1.0,856.0,7528.0,0.015,5m,3.0,0.6000000000000001,0.5,384.0,,,,,,,,,,,,,,,,,,,,,,3888,0.01,1m,2.4000000000000004,0.8,1.0,680,,,,,,,,,,,,,,,,,,,,,,2240.0,0.02,4m,1.0,0.6000000000000001,2.0,632.0,,,,,,,,7064.0,0.015,1m,1.4,0.6000000000000001,1.5,200.0,,,,,,,,5864.0,0.01,5m,1.6,0.6000000000000001,2.0,64.0,,,,,,,,,,,,,,,,,,,,,,1512.0,0.015,2m,2.8,0.2,0.5,120.0,,,,,,,,0.5,8,COMPLETE
39,39,-0.8427381329399598,2025-06-21 19:50:52.560368,2025-06-21 19:50:56.658844,0 days 00:00:04.098476,3336.0,0.015,2m,2.2,0.0,1.0,680.0,4328.0,0.015,1m,2.0,0.6000000000000001,0.5,608.0,8160.0,0.01,2m,1.4,0.6000000000000001,1.5,656.0,,,,,,,,1096.0,0.015,1m,2.2,0.4,1.0,768.0,,,,,,,,4992,0.02,4m,2.2,1.0,2.0,504,,,,,,,,2520.0,0.02,5m,1.0,0.8,1.5,928.0,8192.0,0.015,3m,2.6,0.2,1.5,840.0,3088.0,0.015,3m,2.6,0.2,1.5,424.0,,,,,,,,2752.0,0.015,4m,2.2,0.8,2.0,1024.0,,,,,,,,5320.0,0.01,3m,2.0,0.6000000000000001,2.0,224.0,,,,,,,,,,,,,,,,,,,,,,3032.0,0.01,4m,2.6,0.0,0.5,296.0,,,,,,,,0.05,11,COMPLETE
40,40,-2.003075110065806,2025-06-21 19:50:56.726482,2025-06-21 19:51:00.521420,0 days 00:00:03.794938,6968.0,0.015,3m,2.4000000000000004,0.2,0.5,536.0,6048.0,0.015,4m,2.2,0.8,1.0,512.0,7784.0,0.015,5m,2.6,0.8,2.0,216.0,,,,,,,,5360.0,0.02,3m,1.0,0.2,0.5,520.0,,,,,,,,1928,0.015,3m,1.8,0.6000000000000001,1.5,768,,,,,,,,,,,,,,,6416.0,0.015,2m,2.8,0.0,0.5,928.0,4552.0,0.01,2m,2.4000000000000004,0.8,1.0,224.0,,,,,,,,7648.0,0.01,5m,2.4000000000000004,0.6000000000000001,1.5,224.0,,,,,,,,4736.0,0.01,5m,1.4,1.0,1.5,168.0,,,,,,,,,,,,,,,,,,,,,,2344.0,0.015,3m,2.4000000000000004,0.4,1.0,496.0,,,,,,,,0.45,10,COMPLETE
41,41,1.435512137068057,2025-06-21 19:51:00.611286,2025-06-21 19:51:04.826102,0 days 00:00:04.214816,3856.0,0.015,3m,2.6,0.0,0.5,888.0,3968.0,0.015,2m,2.6,0.6000000000000001,0.5,344.0,7672.0,0.015,4m,2.8,1.0,1.0,456.0,,,,,,,,7704.0,0.02,3m,1.2,0.2,0.5,512.0,,,,,,,,6056,0.02,1m,2.0,1.0,2.0,752,,,,,,,,1728.0,0.02,3m,1.2,0.6000000000000001,2.0,984.0,6896.0,0.015,2m,2.4000000000000004,0.0,1.0,1024.0,2560.0,0.02,2m,2.6,1.0,1.5,480.0,,,,,,,,6416.0,0.01,2m,2.0,1.0,2.0,112.0,,,,,,,,5144.0,0.01,5m,1.4,0.6000000000000001,2.0,112.0,,,,,,,,,,,,,,,,,,,,,,1616.0,0.01,4m,2.2,0.0,0.5,120.0,7648.0,0.01,2m,3.0,0.0,0.5,144.0,0.5,12,COMPLETE
42,42,1.235645568729152,2025-06-21 19:51:04.888577,2025-06-21 19:51:09.209949,0 days 00:00:04.321372,2192.0,0.015,3m,2.6,0.0,0.5,856.0,3464.0,0.015,2m,2.8,0.6000000000000001,0.5,336.0,7104.0,0.015,4m,3.0,1.0,1.0,512.0,,,,,,,,7776.0,0.02,3m,1.2,0.0,0.5,272.0,,,,,,,,6144,0.02,1m,2.0,1.0,2.0,824,,,,,,,,1712.0,0.02,3m,1.4,0.6000000000000001,2.0,1024.0,7512.0,0.015,2m,2.4000000000000004,0.0,1.0,1000.0,2784.0,0.02,2m,2.6,1.0,1.5,480.0,,,,,,,,7720.0,0.01,2m,2.0,1.0,2.0,112.0,,,,,,,,4248.0,0.01,5m,1.6,0.6000000000000001,2.0,120.0,,,,,,,,,,,,,,,,,,,,,,1584.0,0.01,4m,2.2,0.0,0.5,112.0,7696.0,0.01,2m,3.0,0.0,0.5,64.0,0.5,12,COMPLETE
43,43,1.9149120311642989,2025-06-21 19:51:09.277254,2025-06-21 19:51:13.747072,0 days 00:00:04.469818,4080.0,0.02,2m,2.4000000000000004,1.0,0.5,896.0,4752.0,0.015,2m,2.6,0.4,0.5,392.0,7760.0,0.015,4m,2.8,0.0,1.0,376.0,,,,,,,,7016.0,0.02,5m,1.4,0.4,0.5,424.0,,,,,,,,6680,0.02,1m,1.4,0.8,2.0,656,,,,,,,,1064.0,0.02,3m,1.2,0.8,2.0,928.0,6760.0,0.015,2m,2.2,0.2,1.0,1024.0,1904.0,0.02,2m,2.4000000000000004,1.0,1.5,568.0,,,,,,,,5792.0,0.01,2m,2.2,1.0,2.0,176.0,,,,,,,,3736.0,0.01,5m,1.2,0.6000000000000001,2.0,248.0,,,,,,,,,,,,,,,5176.0,0.01,1m,1.2,0.6000000000000001,1.5,200.0,2088.0,0.01,4m,2.0,0.0,0.5,200.0,7576.0,0.01,2m,3.0,0.0,0.5,152.0,0.45,13,COMPLETE
44,44,-0.5578915787963742,2025-06-21 19:51:13.825547,2025-06-21 19:51:19.027460,0 days 00:00:05.201913,2776.0,0.02,2m,2.4000000000000004,1.0,0.5,1024.0,4552.0,0.015,2m,2.8,0.4,0.5,408.0,4256.0,0.015,4m,2.8,0.0,1.0,384.0,,,,,,,,6904.0,0.01,5m,2.8,0.4,1.0,408.0,,,,,,,,6776,0.02,5m,1.2,0.8,2.0,624,,,,,,,,1040.0,0.02,3m,1.0,0.8,2.0,776.0,7816.0,0.01,4m,2.2,0.2,1.0,936.0,1520.0,0.02,1m,1.2,1.0,1.5,560.0,3320.0,0.015,5m,2.4000000000000004,0.0,1.5,1016.0,4880.0,0.01,2m,2.2,1.0,2.0,368.0,,,,,,,,3544.0,0.01,2m,1.0,0.8,2.0,240.0,,,,,,,,,,,,,,,5104.0,0.01,1m,1.2,0.6000000000000001,1.5,200.0,2064.0,0.01,4m,2.0,0.0,0.5,224.0,6840.0,0.01,2m,2.6,0.0,0.5,760.0,0.45,14,COMPLETE
45,45,-1.6386165560319153,2025-06-21 19:51:19.090418,2025-06-21 19:51:24.691283,0 days 00:00:05.600865,1576.0,0.02,2m,2.2,0.8,0.5,936.0,4848.0,0.015,5m,3.0,0.2,0.5,448.0,8008.0,0.01,1m,2.6,0.2,1.0,552.0,,,,,,,,6160.0,0.02,5m,1.6,0.8,0.5,272.0,,,,,,,,7904,0.02,2m,1.4,0.8,0.5,552,,,,,,,,1480.0,0.02,4m,1.2,0.0,2.0,880.0,6552.0,0.015,2m,2.0,0.2,1.0,880.0,1896.0,0.02,4m,1.8,0.8,2.0,568.0,4480.0,0.02,1m,1.8,0.4,0.5,688.0,5728.0,0.01,3m,2.2,0.8,2.0,64.0,2456.0,0.015,3m,2.4000000000000004,0.2,2.0,592.0,3000.0,0.01,5m,1.2,0.6000000000000001,1.5,344.0,,,,,,,,6744.0,0.015,3m,2.4000000000000004,0.4,2.0,792.0,6128.0,0.01,1m,1.2,0.8,2.0,168.0,7272.0,0.01,1m,2.4000000000000004,0.2,0.5,648.0,8176.0,0.01,2m,2.8,0.2,0.5,288.0,0.45,16,COMPLETE
46,46,0.6022139971129662,2025-06-21 19:51:24.739089,2025-06-21 19:51:28.947833,0 days 00:00:04.208744,7840.0,0.02,2m,2.0,0.8,0.5,160.0,5296.0,0.015,3m,2.6,0.4,0.5,296.0,6736.0,0.015,3m,3.0,0.2,0.5,264.0,,,,,,,,6728.0,0.02,5m,1.4,0.4,0.5,656.0,,,,,,,,5536,0.02,1m,1.6,0.6000000000000001,2.0,704,,,,,,,,1032.0,0.015,1m,2.4000000000000004,1.0,1.5,824.0,7248.0,0.015,5m,2.2,0.0,1.5,368.0,3520.0,0.02,5m,2.2,1.0,1.5,344.0,,,,,,,,5344.0,0.015,2m,2.4000000000000004,1.0,2.0,184.0,,,,,,,,3784.0,0.01,4m,2.8,0.4,0.5,456.0,,,,,,,,,,,,,,,5672.0,0.01,1m,1.2,0.6000000000000001,1.0,304.0,2936.0,0.02,4m,1.8,0.0,0.5,80.0,7664.0,0.01,3m,3.0,0.0,1.0,128.0,0.4,13,COMPLETE
47,47,0.09304152386993612,2025-06-21 19:51:29.001616,2025-06-21 19:51:32.232140,0 days 00:00:03.230524,4320.0,0.02,2m,2.4000000000000004,0.6000000000000001,1.0,768.0,6920.0,0.02,2m,2.8,0.4,1.0,392.0,2704.0,0.015,4m,2.8,0.0,1.5,392.0,,,,,,,,7200.0,0.02,5m,1.4,0.6000000000000001,1.0,320.0,,,,,,,,7160,0.02,1m,2.4000000000000004,0.8,1.5,896,,,,,,,,,,,,,,,7736.0,0.02,2m,1.6,0.4,0.5,584.0,1040.0,0.02,2m,2.4000000000000004,1.0,1.5,664.0,,,,,,,,3776.0,0.01,2m,2.6,0.8,2.0,736.0,,,,,,,,1640.0,0.01,1m,2.2,0.8,1.5,96.0,,,,,,,,,,,,,,,,,,,,,,2248.0,0.01,5m,2.0,0.6000000000000001,1.0,184.0,,,,,,,,0.35000000000000003,10,COMPLETE
48,48,1.8367578004271727,2025-06-21 19:51:32.277583,2025-06-21 19:51:36.524343,0 days 00:00:04.246760,2616.0,0.015,4m,3.0,1.0,1.5,464.0,4800.0,0.015,2m,3.0,0.0,0.5,504.0,8184.0,0.015,5m,2.6,0.4,1.0,336.0,,,,,,,,5744.0,0.02,5m,1.0,0.4,0.5,136.0,,,,,,,,4440,0.02,3m,1.2,0.0,1.0,656,,,,,,,,2344.0,0.02,4m,1.4,0.8,2.0,368.0,4128.0,0.015,1m,2.6,0.0,2.0,448.0,2336.0,0.02,2m,2.0,0.8,1.0,600.0,2368.0,0.015,3m,1.2,0.8,1.0,864.0,7184.0,0.02,4m,1.8,1.0,2.0,544.0,,,,,,,,2680.0,0.01,5m,1.2,0.6000000000000001,2.0,896.0,,,,,,,,,,,,,,,1688.0,0.01,1m,1.4,0.8,2.0,152.0,1272.0,0.01,4m,2.4000000000000004,0.8,0.5,80.0,7088.0,0.01,4m,2.8,0.0,0.5,176.0,0.5,14,COMPLETE
49,49,-1.150890661631125,2025-06-21 19:51:36.584024,2025-06-21 19:51:42.012679,0 days 00:00:05.428655,2568.0,0.015,4m,2.8,1.0,1.5,472.0,4360.0,0.015,2m,3.0,0.0,0.5,208.0,8184.0,0.02,5m,2.6,0.4,1.0,224.0,,,,,,,,5736.0,0.015,5m,1.0,0.4,1.0,72.0,4416.0,0.01,4m,1.0,0.4,1.5,744.0,6584,0.02,3m,1.2,0.0,1.0,656,,,,,,,,2384.0,0.02,4m,1.4,0.8,1.0,352.0,4256.0,0.015,1m,1.2,0.0,2.0,480.0,4240.0,0.02,1m,1.8,0.8,1.0,600.0,2376.0,0.015,3m,1.2,0.8,1.0,856.0,7224.0,0.02,4m,1.4,1.0,1.5,544.0,7104.0,0.015,2m,1.8,0.2,1.0,832.0,2640.0,0.02,5m,1.0,0.4,2.0,968.0,4864.0,0.01,2m,2.2,0.0,1.0,120.0,1216.0,0.01,5m,1.4,0.6000000000000001,1.0,256.0,4096.0,0.01,4m,1.6,0.8,1.5,488.0,3392.0,0.015,4m,2.0,0.8,0.5,392.0,6240.0,0.015,4m,2.8,0.2,0.5,184.0,0.45,18,COMPLETE
50,50,1.6811995072967987,2025-06-21 19:51:42.071646,2025-06-21 19:51:46.638031,0 days 00:00:04.566385,1736.0,0.015,4m,3.0,1.0,2.0,408.0,5800.0,0.02,1m,1.8,0.0,1.0,456.0,6136.0,0.01,5m,2.4000000000000004,0.4,0.5,320.0,,,,,,,,6320.0,0.02,5m,1.0,0.4,2.0,328.0,,,,,,,,4256,0.015,3m,1.2,0.2,1.0,344,,,,,,,,1680.0,0.01,4m,2.2,1.0,1.5,352.0,3344.0,0.015,1m,2.8,0.2,2.0,400.0,2816.0,0.01,4m,2.0,0.4,1.0,712.0,2576.0,0.015,3m,1.8,0.8,1.0,896.0,5880.0,0.02,4m,1.8,1.0,0.5,832.0,5336.0,0.01,1m,2.4000000000000004,0.8,1.5,256.0,1672.0,0.01,5m,1.2,0.6000000000000001,2.0,896.0,,,,,,,,,,,,,,,7136.0,0.015,2m,1.4,1.0,2.0,256.0,1968.0,0.01,2m,1.4,0.8,1.0,256.0,6928.0,0.01,4m,1.4,0.0,2.0,272.0,0.2,15,COMPLETE
51,51,1.0819835649746792,2025-06-21 19:51:46.717124,2025-06-21 19:51:51.349500,0 days 00:00:04.632376,1696.0,0.015,4m,3.0,1.0,2.0,368.0,5880.0,0.02,1m,3.0,0.0,1.5,528.0,7392.0,0.01,5m,2.4000000000000004,0.4,0.5,312.0,,,,,,,,6272.0,0.02,5m,1.0,0.4,2.0,152.0,,,,,,,,4328,0.015,3m,1.2,0.2,1.0,248,,,,,,,,1568.0,0.01,4m,2.2,1.0,1.5,352.0,3656.0,0.015,1m,2.8,0.6000000000000001,2.0,400.0,2912.0,0.01,2m,2.0,0.4,1.0,832.0,2440.0,0.015,3m,1.8,0.8,1.0,912.0,5136.0,0.02,4m,1.8,1.0,0.5,848.0,5200.0,0.01,1m,2.4000000000000004,0.8,1.5,224.0,1680.0,0.01,5m,1.2,0.6000000000000001,2.0,872.0,,,,,,,,,,,,,,,7408.0,0.02,2m,1.4,1.0,2.0,232.0,1856.0,0.01,2m,1.0,0.8,1.0,248.0,6952.0,0.01,4m,1.4,0.0,2.0,192.0,0.2,15,COMPLETE
52,52,1.709634704126849,2025-06-21 19:51:51.396917,2025-06-21 19:51:55.804381,0 days 00:00:04.407464,1768.0,0.015,4m,3.0,1.0,2.0,296.0,6384.0,0.02,1m,1.8,0.0,1.0,440.0,6224.0,0.01,5m,2.4000000000000004,0.2,0.5,464.0,,,,,,,,6768.0,0.02,5m,1.0,0.4,2.0,176.0,,,,,,,,4112,0.015,3m,1.0,0.2,1.0,344,,,,,,,,1984.0,0.01,4m,2.2,1.0,2.0,304.0,2984.0,0.015,1m,3.0,0.2,2.0,320.0,2520.0,0.015,4m,1.8,0.2,1.0,688.0,1568.0,0.015,3m,1.6,0.6000000000000001,1.0,936.0,4144.0,0.02,4m,1.6,1.0,1.0,888.0,,,,,,,,1688.0,0.01,5m,1.2,0.6000000000000001,2.0,888.0,,,,,,,,,,,,,,,6656.0,0.015,2m,1.4,1.0,2.0,136.0,2680.0,0.01,2m,1.4,0.8,1.0,168.0,5648.0,0.01,4m,1.6,0.8,1.5,288.0,0.15000000000000002,14,COMPLETE
53,53,-1.9569138272493798,2025-06-21 19:51:55.867861,2025-06-21 19:52:01.277387,0 days 00:00:05.409526,1904.0,0.015,4m,3.0,1.0,2.0,264.0,6512.0,0.02,1m,1.8,0.0,1.0,440.0,5432.0,0.01,5m,2.2,0.2,0.5,360.0,,,,,,,,6856.0,0.02,5m,1.0,0.4,2.0,128.0,6344.0,0.02,3m,2.2,0.6000000000000001,1.0,304.0,2960,0.015,3m,1.0,0.2,1.0,344,,,,,,,,1984.0,0.01,4m,2.2,1.0,2.0,200.0,2776.0,0.015,1m,3.0,0.2,2.0,336.0,2376.0,0.01,4m,1.6,0.2,1.0,728.0,1576.0,0.015,3m,1.6,0.6000000000000001,1.0,888.0,4304.0,0.02,4m,1.6,1.0,1.0,912.0,3704.0,0.01,1m,2.4000000000000004,1.0,2.0,432.0,2056.0,0.01,5m,1.0,0.6000000000000001,2.0,888.0,,,,,,,,2952.0,0.02,5m,2.6,0.8,1.5,816.0,7104.0,0.015,2m,1.8,1.0,2.0,256.0,2736.0,0.01,2m,1.4,0.8,1.5,184.0,5304.0,0.01,4m,1.6,0.8,2.0,1008.0,0.1,17,COMPLETE
54,54,0.25240370439453474,2025-06-21 19:52:01.325107,2025-06-21 19:52:05.689522,0 days 00:00:04.364415,2336.0,0.015,4m,3.0,0.8,2.0,200.0,7368.0,0.02,1m,1.6,0.2,1.0,592.0,6120.0,0.01,5m,2.4000000000000004,0.0,0.5,288.0,,,,,,,,2808.0,0.02,5m,1.0,0.4,2.0,168.0,,,,,,,,3896,0.015,3m,1.4,0.0,1.0,384,,,,,,,,1464.0,0.01,4m,2.6,1.0,2.0,288.0,3320.0,0.015,1m,3.0,0.4,2.0,448.0,1656.0,0.01,4m,1.6,0.4,1.0,696.0,2424.0,0.015,3m,1.6,0.8,1.0,776.0,4032.0,0.02,4m,1.8,1.0,0.5,816.0,,,,,,,,1216.0,0.01,5m,1.2,0.6000000000000001,2.0,808.0,,,,,,,,,,,,,,,7088.0,0.015,2m,1.4,0.8,2.0,144.0,1392.0,0.01,2m,1.4,1.0,1.0,312.0,4848.0,0.015,4m,1.2,0.8,1.5,288.0,0.15000000000000002,14,COMPLETE
