,number,value,datetime_start,datetime_complete,duration,params_AAPL_CDW_beta_win,params_AAPL_CDW_stop_loss,params_AAPL_CDW_trade_freq,params_AAPL_CDW_z_entry,params_AAPL_CDW_z_exit,params_AAPL_CDW_z_stop_scaler,params_AAPL_CDW_z_win,params_AAPL_ROP_beta_win,params_AAPL_ROP_stop_loss,params_AAPL_ROP_trade_freq,params_AAPL_ROP_z_entry,params_AAPL_ROP_z_exit,params_AAPL_ROP_z_stop_scaler,params_AAPL_ROP_z_win,params_ADI_BKNG_beta_win,params_ADI_BKNG_stop_loss,params_ADI_BKNG_trade_freq,params_ADI_BKNG_z_entry,params_ADI_BKNG_z_exit,params_ADI_BKNG_z_stop_scaler,params_ADI_BKNG_z_win,params_ADI_CTSH_beta_win,params_ADI_CTSH_stop_loss,params_ADI_CTSH_trade_freq,params_ADI_CTSH_z_entry,params_ADI_CTSH_z_exit,params_ADI_CTSH_z_stop_scaler,params_ADI_CTSH_z_win,params_ADI_MCHP_beta_win,params_ADI_MCHP_stop_loss,params_ADI_MCHP_trade_freq,params_ADI_MCHP_z_entry,params_ADI_MCHP_z_exit,params_ADI_MCHP_z_stop_scaler,params_ADI_MCHP_z_win,params_AMAT_CDW_beta_win,params_AMAT_CDW_stop_loss,params_AMAT_CDW_trade_freq,params_AMAT_CDW_z_entry,params_AMAT_CDW_z_exit,params_AMAT_CDW_z_stop_scaler,params_AMAT_CDW_z_win,params_AMGN_VRTX_beta_win,params_AMGN_VRTX_stop_loss,params_AMGN_VRTX_trade_freq,params_AMGN_VRTX_z_entry,params_AMGN_VRTX_z_exit,params_AMGN_VRTX_z_stop_scaler,params_AMGN_VRTX_z_win,params_AMZN_MCHP_beta_win,params_AMZN_MCHP_stop_loss,params_AMZN_MCHP_trade_freq,params_AMZN_MCHP_z_entry,params_AMZN_MCHP_z_exit,params_AMZN_MCHP_z_stop_scaler,params_AMZN_MCHP_z_win,params_BKNG_CSX_beta_win,params_BKNG_CSX_stop_loss,params_BKNG_CSX_trade_freq,params_BKNG_CSX_z_entry,params_BKNG_CSX_z_exit,params_BKNG_CSX_z_stop_scaler,params_BKNG_CSX_z_win,params_BKNG_DLTR_beta_win,params_BKNG_DLTR_stop_loss,params_BKNG_DLTR_trade_freq,params_BKNG_DLTR_z_entry,params_BKNG_DLTR_z_exit,params_BKNG_DLTR_z_stop_scaler,params_BKNG_DLTR_z_win,params_BKNG_IDXX_beta_win,params_BKNG_IDXX_stop_loss,params_BKNG_IDXX_trade_freq,params_BKNG_IDXX_z_entry,params_BKNG_IDXX_z_exit,params_BKNG_IDXX_z_stop_scaler,params_BKNG_IDXX_z_win,params_BKNG_KHC_beta_win,params_BKNG_KHC_stop_loss,params_BKNG_KHC_trade_freq,params_BKNG_KHC_z_entry,params_BKNG_KHC_z_exit,params_BKNG_KHC_z_stop_scaler,params_BKNG_KHC_z_win,params_BKNG_MCHP_beta_win,params_BKNG_MCHP_stop_loss,params_BKNG_MCHP_trade_freq,params_BKNG_MCHP_z_entry,params_BKNG_MCHP_z_exit,params_BKNG_MCHP_z_stop_scaler,params_BKNG_MCHP_z_win,params_BKNG_NXPI_beta_win,params_BKNG_NXPI_stop_loss,params_BKNG_NXPI_trade_freq,params_BKNG_NXPI_z_entry,params_BKNG_NXPI_z_exit,params_BKNG_NXPI_z_stop_scaler,params_BKNG_NXPI_z_win,params_CDW_MCHP_beta_win,params_CDW_MCHP_stop_loss,params_CDW_MCHP_trade_freq,params_CDW_MCHP_z_entry,params_CDW_MCHP_z_exit,params_CDW_MCHP_z_stop_scaler,params_CDW_MCHP_z_win,params_COST_CSX_beta_win,params_COST_CSX_stop_loss,params_COST_CSX_trade_freq,params_COST_CSX_z_entry,params_COST_CSX_z_exit,params_COST_CSX_z_stop_scaler,params_COST_CSX_z_win,params_CTSH_MCHP_beta_win,params_CTSH_MCHP_stop_loss,params_CTSH_MCHP_trade_freq,params_CTSH_MCHP_z_entry,params_CTSH_MCHP_z_exit,params_CTSH_MCHP_z_stop_scaler,params_CTSH_MCHP_z_win,params_DASH_DDOG_beta_win,params_DASH_DDOG_stop_loss,params_DASH_DDOG_trade_freq,params_DASH_DDOG_z_entry,params_DASH_DDOG_z_exit,params_DASH_DDOG_z_stop_scaler,params_DASH_DDOG_z_win,params_DASH_MDB_beta_win,params_DASH_MDB_stop_loss,params_DASH_MDB_trade_freq,params_DASH_MDB_z_entry,params_DASH_MDB_z_exit,params_DASH_MDB_z_stop_scaler,params_DASH_MDB_z_win,params_INTU_MCHP_beta_win,params_INTU_MCHP_stop_loss,params_INTU_MCHP_trade_freq,params_INTU_MCHP_z_entry,params_INTU_MCHP_z_exit,params_INTU_MCHP_z_stop_scaler,params_INTU_MCHP_z_win,params_MAR_MCHP_beta_win,params_MAR_MCHP_stop_loss,params_MAR_MCHP_trade_freq,params_MAR_MCHP_z_entry,params_MAR_MCHP_z_exit,params_MAR_MCHP_z_stop_scaler,params_MAR_MCHP_z_win,params_ROP_TTWO_beta_win,params_ROP_TTWO_stop_loss,params_ROP_TTWO_trade_freq,params_ROP_TTWO_z_entry,params_ROP_TTWO_z_exit,params_ROP_TTWO_z_stop_scaler,params_ROP_TTWO_z_win,params_SPLK_WBD_beta_win,params_SPLK_WBD_stop_loss,params_SPLK_WBD_trade_freq,params_SPLK_WBD_z_entry,params_SPLK_WBD_z_exit,params_SPLK_WBD_z_stop_scaler,params_SPLK_WBD_z_win,params_buffer_capital,params_pairs_to_trade,state
36,36,-0.12844039485123887,2025-06-21 19:37:21.700215,2025-06-21 19:37:25.777785,0 days 00:00:04.077570,,,,,,,,,,,,,,,1896,0.015,3m,3.0,0.8,0.5,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2208.0,0.01,2m,2.2,0.0,2.0,880.0,7032.0,0.01,1m,2.6,0.6000000000000001,2.0,912.0,6600.0,0.01,4m,1.6,0.2,0.5,520.0,6712.0,0.02,5m,1.4,0.0,1.0,256.0,,,,,,,,5752,0.015,1m,2.8,0.8,1.0,504,8168.0,0.01,4m,2.8,0.6000000000000001,1.0,408.0,7128.0,0.02,5m,2.2,1.0,1.0,800.0,,,,,,,,,,,,,,,2040.0,0.01,2m,2.2,0.0,0.5,160.0,0.25,6,COMPLETE
37,37,-0.34563027219037384,2025-06-21 19:37:25.864791,2025-06-21 19:37:31.315836,0 days 00:00:05.451045,,,,,,,,,,,,,,,2536,0.01,3m,2.4000000000000004,0.6000000000000001,0.5,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2984.0,0.02,4m,2.6,0.6000000000000001,1.0,688.0,2496.0,0.015,5m,2.0,0.6000000000000001,2.0,248.0,,,,,,,,,,,,,,,4264.0,0.015,2m,2.6,0.6000000000000001,2.0,424.0,1480.0,0.015,2m,2.0,0.0,1.5,384.0,4952.0,0.01,1m,2.8,0.4,1.5,768.0,7040.0,0.015,4m,2.0,0.6000000000000001,0.5,640.0,5808.0,0.015,1m,1.8,0.0,1.0,120.0,1096.0,0.015,2m,1.8,0.2,1.0,288.0,6976,0.01,1m,3.0,0.8,0.5,264,2040.0,0.01,4m,2.6,0.8,0.5,288.0,2664.0,0.015,5m,1.2,0.8,0.5,472.0,,,,,,,,,,,,,,,3240.0,0.01,2m,2.4000000000000004,0.0,1.5,552.0,0.15000000000000002,10,COMPLETE
38,38,-2.7721331317717897,2025-06-21 19:37:31.403362,2025-06-21 19:37:35.342971,0 days 00:00:03.939609,,,,,,,,,,,,,,,1064,0.015,3m,2.8,0.6000000000000001,1.0,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5088.0,0.01,5m,2.8,0.8,1.5,904.0,,,,,,,,,,,,,,,,,,,,,,3032.0,0.01,5m,2.4000000000000004,0.0,0.5,296.0,5624.0,0.01,3m,2.2,0.2,2.0,656.0,7360.0,0.015,2m,1.2,0.2,0.5,304.0,7120.0,0.015,5m,1.6,0.4,1.5,408.0,,,,,,,,5192,0.015,1m,2.8,0.6000000000000001,1.5,336,7784.0,0.01,4m,3.0,0.6000000000000001,1.0,392.0,4088.0,0.015,4m,2.2,0.6000000000000001,1.0,600.0,,,,,,,,,,,,,,,1720.0,0.01,5m,2.2,0.0,0.5,360.0,0.3,7,COMPLETE
39,39,-0.19582018090958148,2025-06-21 19:37:35.419484,2025-06-21 19:37:39.851068,0 days 00:00:04.431584,,,,,,,,,,,,,,,3072,0.015,1m,3.0,0.8,0.5,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2952.0,0.02,4m,2.2,0.0,0.5,584.0,,,,,,,,,,,,,,,8088.0,0.02,1m,2.0,0.8,1.5,712.0,2344.0,0.01,2m,1.8,0.2,1.5,224.0,6280.0,0.01,1m,1.8,0.6000000000000001,1.5,872.0,6784.0,0.01,4m,1.4,0.4,0.5,552.0,5064.0,0.015,5m,1.2,0.0,1.0,232.0,,,,,,,,3936,0.01,4m,2.4000000000000004,0.8,1.0,536,7104.0,0.01,3m,3.0,1.0,2.0,256.0,5728.0,0.01,3m,1.4,0.6000000000000001,1.5,744.0,,,,,,,,,,,,,,,2000.0,0.01,2m,1.8,0.6000000000000001,1.0,496.0,0.2,8,COMPLETE
40,40,-2.3632625874954436,2025-06-21 19:37:39.919846,2025-06-21 19:37:42.998331,0 days 00:00:03.078485,,,,,,,,,,,,,,,1608,0.015,3m,1.0,0.4,0.5,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3712.0,0.015,4m,2.0,1.0,2.0,656.0,,,,,,,,5880.0,0.01,2m,1.4,0.8,0.5,952.0,7344.0,0.01,1m,2.6,0.6000000000000001,2.0,344.0,,,,,,,,6048,0.015,1m,1.8,1.0,0.5,448,7720.0,0.01,4m,2.8,0.8,0.5,480.0,,,,,,,,,,,,,,,,,,,,,,7736.0,0.01,4m,3.0,1.0,0.5,688.0,0.4,4,COMPLETE
41,41,0.1839153450798916,2025-06-21 19:37:43.073670,2025-06-21 19:37:46.657428,0 days 00:00:03.583758,,,,,,,,,,,,,,,8144,0.015,5m,2.6,0.2,0.5,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496.0,0.01,3m,1.6,0.2,1.5,80.0,1984.0,0.015,1m,2.4000000000000004,0.4,2.0,488.0,7808.0,0.01,5m,1.8,0.0,1.0,392.0,4016.0,0.01,5m,1.0,0.2,1.5,152.0,,,,,,,,7168,0.015,5m,2.6,0.8,1.0,232,7096.0,0.015,2m,2.6,0.8,1.5,584.0,8184.0,0.015,1m,1.6,0.8,1.0,920.0,,,,,,,,,,,,,,,2888.0,0.015,4m,2.4000000000000004,0.2,0.5,784.0,0.35000000000000003,6,COMPLETE
42,42,-0.17203927873817831,2025-06-21 19:37:46.737149,2025-06-21 19:37:50.204149,0 days 00:00:03.467000,,,,,,,,,,,,,,,4904,0.015,2m,2.8,0.6000000000000001,1.0,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4424.0,0.01,5m,1.4,0.2,1.5,168.0,,,,,,,,7200.0,0.01,4m,2.8,0.2,1.0,464.0,2480.0,0.01,3m,1.0,0.2,1.0,952.0,,,,,,,,4384,0.015,2m,2.8,0.4,1.0,392,6232.0,0.015,4m,2.4000000000000004,0.6000000000000001,1.0,144.0,7384.0,0.015,4m,1.6,1.0,1.0,840.0,,,,,,,,,,,,,,,2368.0,0.01,5m,2.6,0.2,0.5,584.0,0.45,5,COMPLETE
43,43,-0.09379866602846312,2025-06-21 19:37:50.268476,2025-06-21 19:37:52.230080,0 days 00:00:01.961604,,,,,,,,,,,,,,,4000,0.015,3m,2.6,0.4,0.5,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984.0,0.01,2m,1.8,0.4,1.0,232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3720,0.02,3m,2.6,0.6000000000000001,1.0,160,3680.0,0.01,3m,3.0,0.4,1.5,672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
44,44,-0.776206137407843,2025-06-21 19:37:52.294653,2025-06-21 19:37:55.888270,0 days 00:00:03.593617,,,,,,,,,,,,,,,2256,0.015,1m,2.4000000000000004,0.0,1.0,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5032.0,0.01,3m,1.6,0.0,1.5,320.0,7640.0,0.01,1m,2.8,0.8,2.0,760.0,3224.0,0.01,5m,1.6,0.0,1.0,352.0,4240.0,0.01,2m,1.2,0.8,1.0,728.0,,,,,,,,2816,0.015,3m,3.0,0.8,1.0,376,5544.0,0.015,4m,2.6,0.8,1.5,824.0,6728.0,0.015,2m,1.8,0.4,1.0,688.0,,,,,,,,,,,,,,,1528.0,0.015,2m,2.2,0.4,0.5,264.0,0.5,6,COMPLETE
45,45,0.2324300259403356,2025-06-21 19:37:55.986464,2025-06-21 19:38:01.082307,0 days 00:00:05.095843,,,,,,,,,,,,,,,5840,0.015,5m,3.0,0.2,0.5,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4168.0,0.015,1m,1.6,0.4,1.0,504.0,,,,,,,,,,,,,,,1896.0,0.015,3m,2.8,0.4,1.0,232.0,5936.0,0.01,1m,2.4000000000000004,0.2,1.5,72.0,4088.0,0.01,1m,1.8,0.2,1.5,632.0,7232.0,0.01,4m,2.0,0.2,0.5,616.0,1960.0,0.015,5m,1.4,1.0,1.5,504.0,,,,,,,,1440,0.015,1m,2.0,1.0,1.0,320,6592.0,0.01,5m,1.6,1.0,1.0,744.0,7584.0,0.015,5m,2.0,0.8,1.0,560.0,,,,,,,,,,,,,,,4408.0,0.01,1m,2.4000000000000004,0.2,0.5,192.0,0.4,8,COMPLETE
46,46,-1.7682501863857825,2025-06-21 19:38:01.162703,2025-06-21 19:38:07.514518,0 days 00:00:06.351815,,,,,,,,,,,,,,,5736,0.015,4m,3.0,0.2,0.5,960,,,,,,,,,,,,,,,,,,,,,,3160.0,0.015,1m,1.4,1.0,1.0,472.0,4824.0,0.01,5m,1.6,0.8,1.5,328.0,3792.0,0.015,1m,1.6,0.4,1.0,512.0,,,,,,,,,,,,,,,1816.0,0.015,3m,2.8,0.4,1.0,192.0,7792.0,0.01,1m,2.8,0.0,1.0,472.0,3880.0,0.01,1m,1.8,0.2,1.5,600.0,6232.0,0.02,4m,2.0,0.4,0.5,664.0,1536.0,0.015,5m,1.4,1.0,1.5,464.0,6992.0,0.015,2m,2.8,0.0,0.5,496.0,1472,0.015,1m,1.6,1.0,1.5,320,2736.0,0.01,5m,1.4,1.0,1.0,728.0,6008.0,0.02,5m,2.0,0.8,0.5,552.0,,,,,,,,1392.0,0.015,5m,1.0,1.0,1.0,776.0,5920.0,0.01,1m,2.0,0.0,1.0,168.0,0.4,12,COMPLETE
47,47,-0.16599426989314403,2025-06-21 19:38:07.629034,2025-06-21 19:38:12.413567,0 days 00:00:04.784533,,,,,,,,,,,,,,,3520,0.015,5m,3.0,0.8,0.5,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4840.0,0.015,1m,1.2,0.2,1.0,728.0,,,,,,,,,,,,,,,3168.0,0.015,3m,2.8,0.2,1.0,424.0,6032.0,0.02,1m,2.2,0.2,2.0,656.0,4840.0,0.01,4m,2.0,0.0,1.5,472.0,7192.0,0.01,4m,2.2,0.6000000000000001,0.5,616.0,1792.0,0.015,5m,2.0,1.0,2.0,296.0,,,,,,,,1176,0.015,1m,2.0,1.0,1.0,248,6848.0,0.01,5m,1.6,1.0,1.0,576.0,6792.0,0.015,5m,2.0,0.6000000000000001,1.5,360.0,,,,,,,,,,,,,,,5136.0,0.01,1m,2.4000000000000004,0.2,0.5,128.0,0.35000000000000003,8,COMPLETE
48,48,-4.886028934889582,2025-06-21 19:38:12.483567,2025-06-21 19:38:22.593209,0 days 00:00:10.109642,,,,,,,,,,,,,,,2752,0.015,2m,2.8,0.4,0.5,224,,,,,,,,1960.0,0.02,2m,1.0,0.0,0.5,80.0,8160.0,0.02,2m,2.6,0.8,2.0,64.0,5912.0,0.02,4m,2.6,0.4,1.5,800.0,6808.0,0.015,4m,2.0,0.2,0.5,568.0,1976.0,0.015,1m,1.8,0.4,1.5,320.0,8176.0,0.02,1m,1.0,1.0,2.0,1008.0,8184.0,0.02,1m,1.4,0.0,0.5,120.0,1672.0,0.015,3m,3.0,0.6000000000000001,1.5,192.0,3376.0,0.015,1m,2.6,0.4,1.5,64.0,3112.0,0.01,1m,1.4,0.2,1.5,656.0,1160.0,0.01,4m,2.0,0.2,0.5,552.0,2160.0,0.015,4m,1.4,0.6000000000000001,1.5,600.0,4312.0,0.01,4m,2.2,0.4,1.0,1008.0,7672,0.01,1m,2.2,1.0,1.0,288,1144.0,0.01,5m,1.2,1.0,0.5,424.0,5136.0,0.01,5m,2.2,0.6000000000000001,1.0,536.0,8096.0,0.02,1m,1.0,0.8,2.0,64.0,7648.0,0.01,3m,2.6,0.0,2.0,160.0,1360.0,0.01,1m,1.8,0.0,2.0,232.0,0.25,17,COMPLETE
49,49,-1.6823253273875265,2025-06-21 19:38:22.768697,2025-06-21 19:38:34.467502,0 days 00:00:11.698805,,,,,,,,,,,,,,,4992,0.02,3m,1.2,0.2,1.0,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2344.0,0.015,3m,1.4,0.2,1.0,896.0,3768.0,0.01,1m,1.8,0.6000000000000001,0.5,472.0,,,,,,,,,,,,,,,2848.0,0.015,3m,2.6,0.4,0.5,424.0,6768.0,0.01,1m,2.4000000000000004,0.8,1.0,488.0,4368.0,0.015,2m,2.2,0.0,1.0,224.0,7808.0,0.01,4m,1.8,0.4,2.0,784.0,6224.0,0.015,5m,1.6,0.8,1.5,120.0,5232.0,0.02,3m,2.8,0.2,1.5,664.0,1616,0.015,1m,1.8,0.8,1.5,488,7592.0,0.01,5m,1.6,1.0,1.0,504.0,7416.0,0.015,5m,2.8,0.8,0.5,616.0,,,,,,,,,,,,,,,6312.0,0.01,1m,2.2,0.2,0.5,80.0,0.3,10,COMPLETE
50,50,-5.178414817287432,2025-06-21 19:38:34.575955,2025-06-21 19:38:39.606118,0 days 00:00:05.030163,,,,,,,,,,,,,,,5888,0.01,5m,1.6,1.0,0.5,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2752.0,0.02,2m,1.4,0.2,1.5,72.0,,,,,,,,,,,,,,,5056.0,0.02,5m,2.4000000000000004,0.8,1.0,256.0,2480.0,0.01,2m,2.4000000000000004,0.6000000000000001,1.5,408.0,3928.0,0.01,1m,2.0,0.4,1.5,728.0,5056.0,0.01,3m,2.2,0.2,0.5,712.0,2120.0,0.02,5m,1.8,0.4,2.0,352.0,4144.0,0.015,1m,1.6,0.6000000000000001,2.0,80.0,2032,0.015,5m,2.0,1.0,1.5,424,7168.0,0.01,4m,2.8,0.2,1.0,744.0,1736.0,0.015,2m,2.4000000000000004,1.0,1.0,520.0,,,,,,,,,,,,,,,6720.0,0.01,4m,3.0,0.4,1.0,352.0,0.4,9,COMPLETE
51,51,-0.13318342760948768,2025-06-21 19:38:39.687823,2025-06-21 19:38:42.901671,0 days 00:00:03.213848,,,,,,,,,,,,,,,7440,0.015,5m,2.8,0.2,1.5,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5808.0,0.01,1m,1.8,0.2,1.5,128.0,,,,,,,,7912.0,0.01,1m,1.8,1.0,0.5,440.0,3456.0,0.01,3m,1.0,0.2,1.5,72.0,,,,,,,,2312,0.02,4m,2.4000000000000004,0.6000000000000001,1.0,376,6664.0,0.015,5m,2.0,0.8,1.5,944.0,,,,,,,,,,,,,,,,,,,,,,4696.0,0.02,3m,2.6,0.2,0.5,304.0,0.45,4,COMPLETE
52,52,-0.645144161173623,2025-06-21 19:38:42.969150,2025-06-21 19:38:47.373945,0 days 00:00:04.404795,,,,,,,,,,,,,,,6704,0.015,5m,2.6,0.0,0.5,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4584.0,0.015,3m,2.2,0.4,1.0,384.0,,,,,,,,,,,,,,,3888.0,0.01,3m,2.0,0.2,1.5,368.0,5048.0,0.01,3m,1.6,0.2,1.5,168.0,4616.0,0.01,1m,2.4000000000000004,0.2,1.0,816.0,7440.0,0.01,2m,2.8,0.0,1.5,496.0,3080.0,0.015,5m,1.2,0.0,1.5,968.0,,,,,,,,3056,0.02,5m,2.2,0.4,1.0,192,6008.0,0.01,1m,1.6,0.8,2.0,888.0,7704.0,0.015,3m,1.8,0.8,1.0,368.0,,,,,,,,,,,,,,,4272.0,0.01,2m,2.4000000000000004,0.2,0.5,208.0,0.35000000000000003,8,COMPLETE
53,53,-1.3168816488575723,2025-06-21 19:38:47.461934,2025-06-21 19:38:51.622733,0 days 00:00:04.160799,,,,,,,,,,,,,,,6392,0.015,5m,3.0,0.2,2.0,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1184.0,0.015,4m,1.0,0.6000000000000001,1.0,576.0,,,,,,,,,,,,,,,,,,,,,,4176.0,0.01,5m,2.0,0.2,1.5,568.0,1504.0,0.015,4m,1.4,0.4,1.5,968.0,6688.0,0.01,5m,1.6,0.2,1.0,280.0,4736.0,0.01,2m,1.4,0.0,0.5,800.0,,,,,,,,2656,0.02,2m,2.6,0.8,1.0,96,6336.0,0.015,3m,1.2,0.8,1.5,824.0,8072.0,0.015,5m,1.2,0.2,1.0,784.0,,,,,,,,,,,,,,,3640.0,0.015,4m,2.8,0.4,0.5,1016.0,0.4,7,COMPLETE
54,54,0.15629524738040923,2025-06-21 19:38:51.702548,2025-06-21 19:38:55.060401,0 days 00:00:03.357853,,,,,,,,,,,,,,,6048,0.015,5m,2.8,0.6000000000000001,0.5,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.0,0.01,4m,3.0,0.0,1.0,120.0,,,,,,,,7240.0,0.01,4m,2.0,0.0,1.0,584.0,3824.0,0.02,1m,1.0,0.4,1.0,456.0,,,,,,,,1744,0.015,3m,2.8,0.0,1.0,544,6752.0,0.015,2m,2.4000000000000004,1.0,1.0,688.0,7696.0,0.015,1m,2.0,0.0,1.0,664.0,,,,,,,,,,,,,,,5552.0,0.01,1m,2.6,0.2,0.5,888.0,0.45,5,COMPLETE
55,55,0.016806723691019567,2025-06-21 19:38:55.129212,2025-06-21 19:38:59.010320,0 days 00:00:03.881108,,,,,,,,,,,,,,,7176,0.015,5m,2.4000000000000004,0.0,2.0,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5632.0,0.01,3m,1.8,0.2,1.5,208.0,6336.0,0.01,2m,1.8,0.0,0.5,384.0,7976.0,0.01,1m,2.4000000000000004,0.2,0.5,384.0,1432.0,0.01,4m,1.2,0.2,1.5,720.0,,,,,,,,2456,0.02,1m,2.4000000000000004,0.2,1.0,120,7296.0,0.02,5m,2.2,0.8,1.5,632.0,7016.0,0.015,1m,1.4,0.8,1.0,880.0,,,,,,,,,,,,,,,3424.0,0.01,3m,2.4000000000000004,0.0,0.5,680.0,0.5,6,COMPLETE
56,56,0.37849252022442154,2025-06-21 19:38:59.079407,2025-06-21 19:39:01.911120,0 days 00:00:02.831713,,,,,,,,,,,,,,,1600,0.015,1m,2.6,0.2,1.5,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6416.0,0.01,1m,1.4,0.4,1.0,88.0,,,,,,,,6432.0,0.01,5m,1.4,0.0,0.5,504.0,,,,,,,,,,,,,,,3392,0.02,5m,2.8,0.4,1.5,328,5368.0,0.015,4m,1.8,0.6000000000000001,2.0,752.0,,,,,,,,,,,,,,,,,,,,,,4040.0,0.01,4m,2.6,0.0,0.5,752.0,0.3,3,COMPLETE
57,57,-0.47190849754661596,2025-06-21 19:39:01.996639,2025-06-21 19:39:04.734945,0 days 00:00:02.738306,,,,,,,,,,,,,,,1592,0.015,1m,1.4,0.2,1.5,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6504.0,0.01,1m,1.4,0.4,1.0,96.0,,,,,,,,6304.0,0.01,5m,1.2,0.2,0.5,528.0,,,,,,,,,,,,,,,3592,0.015,5m,1.8,0.4,1.5,312,4344.0,0.015,4m,1.8,0.4,2.0,752.0,,,,,,,,,,,,,,,,,,,,,,4608.0,0.01,4m,2.0,0.0,0.5,744.0,0.3,3,COMPLETE
58,58,-0.5164693261016218,2025-06-21 19:39:04.835489,2025-06-21 19:39:06.761239,0 days 00:00:01.925750,,,,,,,,,,,,,,,2120,0.015,1m,3.0,0.4,1.0,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7232.0,0.02,1m,2.8,0.4,1.0,640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3264,0.02,5m,1.4,0.4,2.0,400,5336.0,0.015,4m,3.0,0.6000000000000001,2.0,704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
59,59,0.11645036726122056,2025-06-21 19:39:06.832239,2025-06-21 19:39:10.082103,0 days 00:00:03.249864,,,,,,,,,,,,,,,1648,0.015,1m,2.2,0.2,1.0,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320.0,0.01,1m,1.4,0.6000000000000001,0.5,712.0,,,,,,,,6520.0,0.01,5m,1.4,0.0,0.5,488.0,5760.0,0.015,5m,2.2,0.8,2.0,288.0,,,,,,,,4096,0.02,5m,3.0,0.6000000000000001,1.5,360,5888.0,0.015,4m,1.4,0.6000000000000001,2.0,288.0,,,,,,,,,,,,,,,,,,,,,,1328.0,0.01,4m,2.8,0.0,1.5,624.0,0.2,4,COMPLETE
60,60,-0.6674120971658246,2025-06-21 19:39:10.162635,2025-06-21 19:39:16.471172,0 days 00:00:06.308537,,,,,,,,,,,,,,,2808,0.015,1m,2.6,0.4,1.5,488,,,,,,,,,,,,,,,,,,,,,,2528.0,0.01,3m,1.6,0.8,1.5,72.0,5544.0,0.02,1m,2.6,1.0,1.5,592.0,6584.0,0.01,1m,3.0,0.8,1.5,728.0,,,,,,,,,,,,,,,1680.0,0.015,5m,2.8,0.6000000000000001,0.5,144.0,1720.0,0.01,1m,2.2,0.0,1.0,552.0,3208.0,0.01,5m,2.4000000000000004,0.6000000000000001,2.0,848.0,5504.0,0.02,5m,1.2,0.2,0.5,624.0,8016.0,0.02,5m,1.4,0.0,1.0,552.0,2016.0,0.01,2m,2.2,0.8,0.5,832.0,5200,0.015,5m,2.8,0.4,1.5,280,4952.0,0.015,4m,1.8,0.4,2.0,856.0,6328.0,0.02,2m,2.0,0.6000000000000001,1.5,584.0,,,,,,,,,,,,,,,1920.0,0.01,4m,1.0,0.8,1.0,536.0,0.35000000000000003,11,COMPLETE
