,number,value,datetime_start,datetime_complete,duration,params_AAPL_DASH_beta_win,params_AAPL_DASH_stop_loss,params_AAPL_DASH_trade_freq,params_AAPL_DASH_z_entry,params_AAPL_DASH_z_exit,params_AAPL_DASH_z_stop_scaler,params_AAPL_DASH_z_win,params_ADBE_FANG_beta_win,params_ADBE_FANG_stop_loss,params_ADBE_FANG_trade_freq,params_ADBE_FANG_z_entry,params_ADBE_FANG_z_exit,params_ADBE_FANG_z_stop_scaler,params_ADBE_FANG_z_win,params_AVGO_MAR_beta_win,params_AVGO_MAR_stop_loss,params_AVGO_MAR_trade_freq,params_AVGO_MAR_z_entry,params_AVGO_MAR_z_exit,params_AVGO_MAR_z_stop_scaler,params_AVGO_MAR_z_win,params_CDW_KLAC_beta_win,params_CDW_KLAC_stop_loss,params_CDW_KLAC_trade_freq,params_CDW_KLAC_z_entry,params_CDW_KLAC_z_exit,params_CDW_KLAC_z_stop_scaler,params_CDW_KLAC_z_win,params_CDW_LRCX_beta_win,params_CDW_LRCX_stop_loss,params_CDW_LRCX_trade_freq,params_CDW_LRCX_z_entry,params_CDW_LRCX_z_exit,params_CDW_LRCX_z_stop_scaler,params_CDW_LRCX_z_win,params_CRWD_ISRG_beta_win,params_CRWD_ISRG_stop_loss,params_CRWD_ISRG_trade_freq,params_CRWD_ISRG_z_entry,params_CRWD_ISRG_z_exit,params_CRWD_ISRG_z_stop_scaler,params_CRWD_ISRG_z_win,params_CRWD_MAR_beta_win,params_CRWD_MAR_stop_loss,params_CRWD_MAR_trade_freq,params_CRWD_MAR_z_entry,params_CRWD_MAR_z_exit,params_CRWD_MAR_z_stop_scaler,params_CRWD_MAR_z_win,params_CSX_ROST_beta_win,params_CSX_ROST_stop_loss,params_CSX_ROST_trade_freq,params_CSX_ROST_z_entry,params_CSX_ROST_z_exit,params_CSX_ROST_z_stop_scaler,params_CSX_ROST_z_win,params_DASH_PCAR_beta_win,params_DASH_PCAR_stop_loss,params_DASH_PCAR_trade_freq,params_DASH_PCAR_z_entry,params_DASH_PCAR_z_exit,params_DASH_PCAR_z_stop_scaler,params_DASH_PCAR_z_win,params_DXCM_PYPL_beta_win,params_DXCM_PYPL_stop_loss,params_DXCM_PYPL_trade_freq,params_DXCM_PYPL_z_entry,params_DXCM_PYPL_z_exit,params_DXCM_PYPL_z_stop_scaler,params_DXCM_PYPL_z_win,params_EA_ON_beta_win,params_EA_ON_stop_loss,params_EA_ON_trade_freq,params_EA_ON_z_entry,params_EA_ON_z_exit,params_EA_ON_z_stop_scaler,params_EA_ON_z_win,params_GEHC_ODFL_beta_win,params_GEHC_ODFL_stop_loss,params_GEHC_ODFL_trade_freq,params_GEHC_ODFL_z_entry,params_GEHC_ODFL_z_exit,params_GEHC_ODFL_z_stop_scaler,params_GEHC_ODFL_z_win,params_HON_ON_beta_win,params_HON_ON_stop_loss,params_HON_ON_trade_freq,params_HON_ON_z_entry,params_HON_ON_z_exit,params_HON_ON_z_stop_scaler,params_HON_ON_z_win,params_IDXX_ON_beta_win,params_IDXX_ON_stop_loss,params_IDXX_ON_trade_freq,params_IDXX_ON_z_entry,params_IDXX_ON_z_exit,params_IDXX_ON_z_stop_scaler,params_IDXX_ON_z_win,params_INTC_ON_beta_win,params_INTC_ON_stop_loss,params_INTC_ON_trade_freq,params_INTC_ON_z_entry,params_INTC_ON_z_exit,params_INTC_ON_z_stop_scaler,params_INTC_ON_z_win,params_ISRG_MAR_beta_win,params_ISRG_MAR_stop_loss,params_ISRG_MAR_trade_freq,params_ISRG_MAR_z_entry,params_ISRG_MAR_z_exit,params_ISRG_MAR_z_stop_scaler,params_ISRG_MAR_z_win,params_NVDA_WBD_beta_win,params_NVDA_WBD_stop_loss,params_NVDA_WBD_trade_freq,params_NVDA_WBD_z_entry,params_NVDA_WBD_z_exit,params_NVDA_WBD_z_stop_scaler,params_NVDA_WBD_z_win,params_ON_WDAY_beta_win,params_ON_WDAY_stop_loss,params_ON_WDAY_trade_freq,params_ON_WDAY_z_entry,params_ON_WDAY_z_exit,params_ON_WDAY_z_stop_scaler,params_ON_WDAY_z_win,params_ORLY_WBD_beta_win,params_ORLY_WBD_stop_loss,params_ORLY_WBD_trade_freq,params_ORLY_WBD_z_entry,params_ORLY_WBD_z_exit,params_ORLY_WBD_z_stop_scaler,params_ORLY_WBD_z_win,params_SBUX_TMUS_beta_win,params_SBUX_TMUS_stop_loss,params_SBUX_TMUS_trade_freq,params_SBUX_TMUS_z_entry,params_SBUX_TMUS_z_exit,params_SBUX_TMUS_z_stop_scaler,params_SBUX_TMUS_z_win,params_buffer_capital,params_pairs_to_trade,state
48,48,-4.722644413017262,2025-06-21 19:40:07.772147,2025-06-21 19:40:13.842324,0 days 00:00:06.070177,,,,,,,,,,,,,,,,,,,,,,5224.0,0.015,1m,2.2,1.0,1.5,720.0,7184.0,0.02,1m,1.2,0.8,1.0,264.0,2304.0,0.01,5m,1.2,1.0,1.0,1024.0,,,,,,,,5456.0,0.01,2m,1.8,0.4,2.0,768.0,6488.0,0.01,1m,1.4,0.4,1.0,64.0,1792.0,0.015,3m,2.6,0.4,2.0,920.0,2480.0,0.015,1m,1.6,0.2,2.0,160.0,,,,,,,,4440.0,0.02,2m,1.8,0.2,0.5,256.0,6992,0.01,4m,1.2,0.0,1.5,760,2264.0,0.02,1m,2.8,0.2,2.0,584.0,4872.0,0.015,4m,1.0,0.6000000000000001,2.0,536.0,,,,,,,,,,,,,,,4080.0,0.02,3m,3.0,0.8,0.5,848.0,2560.0,0.015,2m,1.8,0.6000000000000001,0.5,800.0,0.1,13,COMPLETE
49,49,1.0109224616196184,2025-06-21 19:40:13.925161,2025-06-21 19:40:17.436869,0 days 00:00:03.511708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6920.0,0.01,3m,2.0,0.6000000000000001,1.5,536.0,7744.0,0.01,3m,1.6,0.2,1.5,344.0,2248.0,0.01,5m,2.8,0.0,2.0,976.0,1896.0,0.02,2m,2.8,0.2,2.0,224.0,,,,,,,,1912.0,0.015,5m,1.4,0.4,2.0,160.0,7392,0.01,5m,1.4,0.2,2.0,840,1488.0,0.02,3m,3.0,0.0,1.5,968.0,5768.0,0.02,5m,1.4,0.8,1.0,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,8,COMPLETE
50,50,-1.9055146235154308,2025-06-21 19:40:17.529265,2025-06-21 19:40:21.053708,0 days 00:00:03.524443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7624.0,0.01,3m,2.2,0.8,1.5,520.0,8192.0,0.01,3m,1.0,0.4,1.5,328.0,4376.0,0.015,5m,2.8,0.0,2.0,960.0,3072.0,0.02,2m,2.8,0.0,2.0,224.0,,,,,,,,1776.0,0.015,5m,1.4,0.4,2.0,160.0,8184,0.01,4m,1.2,0.0,2.0,824,1496.0,0.02,3m,3.0,0.0,1.5,672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,7,COMPLETE
51,51,0.337463204792802,2025-06-21 19:40:21.122273,2025-06-21 19:40:24.759095,0 days 00:00:03.636822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6944.0,0.01,3m,2.0,0.6000000000000001,1.5,584.0,7536.0,0.01,3m,1.6,0.2,1.5,256.0,2168.0,0.01,5m,2.8,0.2,2.0,1024.0,1888.0,0.02,2m,2.6,0.2,2.0,320.0,,,,,,,,2184.0,0.015,5m,2.0,0.4,2.0,64.0,7392,0.01,5m,1.0,0.2,2.0,848,2080.0,0.02,3m,2.6,0.0,1.5,984.0,5536.0,0.02,5m,1.4,0.8,1.0,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,8,COMPLETE
52,52,1.3429122587898839,2025-06-21 19:40:24.834040,2025-06-21 19:40:29.042723,0 days 00:00:04.208683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6648.0,0.01,3m,1.8,0.6000000000000001,1.5,624.0,7840.0,0.01,3m,1.4,0.2,1.5,400.0,2696.0,0.01,5m,3.0,0.2,2.0,952.0,1384.0,0.02,2m,2.8,0.4,2.0,128.0,,,,,,,,2736.0,0.015,5m,1.2,0.0,2.0,248.0,7856,0.01,5m,1.6,0.2,2.0,888,3168.0,0.02,3m,2.8,0.0,1.5,872.0,6952.0,0.02,5m,1.8,0.8,0.5,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,8,COMPLETE
53,53,1.7285402783547557,2025-06-21 19:40:29.126149,2025-06-21 19:40:32.828160,0 days 00:00:03.702011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6616.0,0.01,3m,1.8,0.4,1.5,616.0,7856.0,0.01,3m,1.4,0.2,1.5,344.0,2696.0,0.01,5m,3.0,0.0,2.0,880.0,1416.0,0.02,2m,2.8,0.2,2.0,112.0,,,,,,,,1520.0,0.015,5m,1.2,0.0,2.0,328.0,7952,0.01,5m,1.6,0.2,2.0,904,1512.0,0.02,3m,2.8,0.2,1.5,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,7,COMPLETE
54,54,-0.46359592715189657,2025-06-21 19:40:32.929604,2025-06-21 19:40:37.369646,0 days 00:00:04.440042,,,,,,,,,,,,,,,,,,,,,,6664.0,0.01,1m,2.8,0.8,2.0,544.0,,,,,,,,,,,,,,,,,,,,,,6528.0,0.01,3m,1.8,0.4,1.5,624.0,7968.0,0.01,3m,1.4,0.2,1.5,328.0,2952.0,0.01,5m,3.0,0.0,2.0,904.0,1464.0,0.02,2m,2.8,0.2,1.5,120.0,,,,,,,,1576.0,0.015,5m,1.2,0.0,2.0,328.0,7912,0.01,5m,1.4,0.2,2.0,888,1576.0,0.02,3m,2.8,0.4,1.5,848.0,7072.0,0.02,5m,1.8,1.0,1.0,72.0,,,,,,,,,,,,,,,1600.0,0.015,1m,2.2,0.2,0.5,752.0,,,,,,,,0.25,10,COMPLETE
55,55,0.8603816152734017,2025-06-21 19:40:37.443519,2025-06-21 19:40:41.281248,0 days 00:00:03.837729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7912.0,0.01,3m,1.4,0.4,1.5,432.0,7816.0,0.01,3m,1.2,0.2,1.5,544.0,2688.0,0.01,5m,3.0,0.0,2.0,968.0,2264.0,0.02,2m,3.0,0.2,2.0,200.0,,,,,,,,2032.0,0.015,5m,1.2,0.0,2.0,120.0,7864,0.01,5m,1.6,0.0,2.0,968,1040.0,0.02,3m,3.0,0.2,1.5,728.0,5824.0,0.02,5m,1.6,0.8,0.5,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,8,COMPLETE
56,56,-1.7899207258704912,2025-06-21 19:40:41.343324,2025-06-21 19:40:47.849248,0 days 00:00:06.505924,,,,,,,,,,,,,,,,,,,,,,8152.0,0.015,1m,2.2,1.0,1.5,528.0,5688.0,0.01,3m,1.6,0.4,0.5,248.0,1088.0,0.01,4m,2.0,0.8,0.5,728.0,,,,,,,,6648.0,0.01,3m,1.8,0.4,1.5,544.0,7376.0,0.01,3m,1.0,0.4,1.5,272.0,3248.0,0.01,5m,2.8,0.0,2.0,880.0,3328.0,0.02,2m,2.6,0.0,2.0,256.0,,,,,,,,2608.0,0.015,5m,1.4,0.0,2.0,176.0,7448,0.01,1m,1.8,0.2,2.0,832,1480.0,0.02,3m,3.0,0.4,2.0,824.0,5232.0,0.02,5m,1.4,0.6000000000000001,2.0,216.0,8104.0,0.02,4m,1.6,1.0,2.0,712.0,,,,,,,,2336.0,0.015,4m,3.0,0.8,0.5,408.0,3296.0,0.02,1m,2.8,0.4,1.0,392.0,0.3,14,COMPLETE
57,57,0.0376666356532331,2025-06-21 19:40:47.934169,2025-06-21 19:40:51.187704,0 days 00:00:03.253535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7528.0,0.01,3m,1.6,0.6000000000000001,1.5,680.0,7712.0,0.01,3m,1.2,0.2,1.0,216.0,3560.0,0.015,5m,3.0,0.0,2.0,944.0,2608.0,0.02,2m,2.8,0.4,1.5,104.0,,,,,,,,1504.0,0.015,5m,1.0,0.0,2.0,256.0,6976,0.01,4m,1.4,0.0,2.0,1008,1992.0,0.015,3m,2.6,0.2,1.0,888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,7,COMPLETE
58,58,-2.750432176058429,2025-06-21 19:40:51.264738,2025-06-21 19:40:57.116891,0 days 00:00:05.852153,,,,,,,,,,,,,,,,,,,,,,7512.0,0.015,1m,2.6,0.8,2.0,344.0,3632.0,0.015,2m,2.2,0.0,1.0,424.0,,,,,,,,,,,,,,,7072.0,0.01,3m,1.8,0.6000000000000001,2.0,472.0,6912.0,0.01,3m,1.4,0.6000000000000001,1.5,632.0,4152.0,0.015,5m,2.6,0.0,2.0,808.0,1376.0,0.02,2m,2.4000000000000004,0.2,2.0,192.0,,,,,,,,2872.0,0.015,5m,1.2,0.2,2.0,344.0,7088,0.01,5m,1.6,0.2,1.5,912,2560.0,0.02,3m,2.4000000000000004,0.2,1.5,760.0,4056.0,0.02,5m,1.8,0.8,1.0,112.0,,,,,,,,,,,,,,,1640.0,0.015,3m,2.4000000000000004,1.0,0.5,592.0,2280.0,0.02,3m,1.0,0.6000000000000001,0.5,152.0,0.25,12,COMPLETE
59,59,-1.575502562861259,2025-06-21 19:40:57.174209,2025-06-21 19:41:01.086637,0 days 00:00:03.912428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6128.0,0.01,3m,1.6,0.4,1.5,600.0,7896.0,0.01,3m,1.0,0.2,0.5,352.0,2336.0,0.01,5m,2.8,0.2,2.0,1008.0,1864.0,0.02,2m,2.8,0.4,2.0,328.0,,,,,,,,3440.0,0.015,5m,1.4,0.0,2.0,952.0,7496,0.01,4m,1.2,0.2,1.5,784,4304.0,0.02,3m,2.8,0.0,1.5,832.0,6344.0,0.02,3m,1.2,1.0,2.0,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,8,COMPLETE
60,60,-2.1033722980669447,2025-06-21 19:41:01.147573,2025-06-21 19:41:06.240724,0 days 00:00:05.093151,,,,,,,,,,,,,,,,,,,,,,6008.0,0.01,2m,2.0,0.6000000000000001,1.5,248.0,,,,,,,,,,,,,,,,,,,,,,6760.0,0.01,5m,2.2,0.8,1.5,640.0,7448.0,0.015,3m,1.4,0.4,2.0,424.0,2680.0,0.015,5m,3.0,0.0,2.0,936.0,5080.0,0.02,4m,3.0,0.2,2.0,256.0,,,,,,,,1056.0,0.015,5m,1.0,0.2,1.5,408.0,6216,0.01,5m,1.8,0.0,2.0,952,3472.0,0.02,3m,3.0,0.2,2.0,968.0,7560.0,0.02,5m,1.0,0.6000000000000001,1.5,144.0,,,,,,,,,,,,,,,2352.0,0.02,1m,2.6,0.4,1.0,136.0,7104.0,0.015,2m,2.0,0.8,1.5,720.0,0.15000000000000002,11,COMPLETE
61,61,2.015984684915525,2025-06-21 19:41:06.324233,2025-06-21 19:41:10.238538,0 days 00:00:03.914305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7880.0,0.01,3m,1.4,0.4,1.5,216.0,7800.0,0.01,3m,1.2,0.2,1.5,544.0,2688.0,0.01,5m,3.0,0.0,2.0,968.0,2152.0,0.02,2m,3.0,0.2,2.0,192.0,,,,,,,,2080.0,0.015,5m,1.2,0.0,2.0,112.0,7808,0.01,5m,1.4,0.0,2.0,984,1272.0,0.02,3m,3.0,0.2,1.5,704.0,5824.0,0.02,5m,1.6,0.8,0.5,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,8,COMPLETE
62,62,1.4536895417543776,2025-06-21 19:41:10.315996,2025-06-21 19:41:14.537263,0 days 00:00:04.221267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8136.0,0.01,3m,1.2,0.4,1.5,216.0,8168.0,0.01,3m,1.2,0.2,1.5,480.0,3080.0,0.01,5m,3.0,0.0,2.0,992.0,2128.0,0.02,2m,3.0,0.0,2.0,176.0,,,,,,,,2344.0,0.015,5m,1.2,0.0,2.0,96.0,7872,0.01,5m,1.4,0.0,2.0,984,1264.0,0.02,3m,2.8,0.4,1.5,704.0,5360.0,0.02,5m,1.6,0.8,0.5,72.0,,,,,,,,,,,,,,,3144.0,0.015,3m,2.2,0.8,1.0,968.0,,,,,,,,0.2,9,COMPLETE
63,63,-1.5680745643710499,2025-06-21 19:41:14.607412,2025-06-21 19:41:19.684007,0 days 00:00:05.076595,,,,,,,,,,,,,,,,,,,,,,6256.0,0.015,4m,3.0,0.6000000000000001,2.0,128.0,,,,,,,,,,,,,,,,,,,,,,8104.0,0.01,3m,1.0,0.4,1.5,144.0,7960.0,0.01,3m,1.0,0.2,1.5,480.0,3152.0,0.01,5m,3.0,0.0,2.0,1000.0,2072.0,0.02,2m,3.0,0.0,2.0,176.0,,,,,,,,2280.0,0.015,5m,1.2,0.0,2.0,88.0,7872,0.01,5m,1.4,0.0,2.0,1016,1320.0,0.02,3m,3.0,0.4,1.5,584.0,4656.0,0.02,5m,1.6,0.8,0.5,64.0,,,,,,,,,,,,,,,3096.0,0.015,3m,1.4,0.8,1.0,968.0,,,,,,,,0.3,10,COMPLETE
64,64,-0.9302490766925433,2025-06-21 19:41:19.756559,2025-06-21 19:41:23.546832,0 days 00:00:03.790273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7824.0,0.01,3m,1.2,0.2,1.5,272.0,8184.0,0.01,3m,1.4,0.2,1.5,576.0,3816.0,0.01,5m,3.0,0.2,2.0,872.0,1304.0,0.02,2m,2.6,0.0,2.0,224.0,,,,,,,,1616.0,0.015,5m,1.4,0.0,2.0,120.0,6744,0.01,5m,1.6,0.0,2.0,984,1680.0,0.02,3m,2.8,0.4,1.5,696.0,5488.0,0.02,5m,2.0,0.8,0.5,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,8,COMPLETE
65,65,-1.9425044555899724,2025-06-21 19:41:23.619686,2025-06-21 19:41:27.090133,0 days 00:00:03.470447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7360.0,0.01,3m,1.4,0.4,1.5,216.0,7120.0,0.01,3m,1.2,0.4,1.5,184.0,2976.0,0.01,5m,2.8,0.0,2.0,976.0,3728.0,0.02,2m,2.8,0.2,2.0,128.0,,,,,,,,2064.0,0.015,1m,1.2,0.0,2.0,216.0,8160,0.01,5m,1.4,0.0,2.0,912,1248.0,0.02,3m,2.6,0.2,1.0,624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,7,COMPLETE
66,66,-0.6181661915158227,2025-06-21 19:41:27.164926,2025-06-21 19:41:29.661446,0 days 00:00:02.496520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7432.0,0.01,3m,1.2,0.2,1.5,80.0,7608.0,0.01,3m,1.0,0.2,1.5,456.0,1944.0,0.01,5m,2.8,0.0,2.0,928.0,,,,,,,,,,,,,,,,,,,,,,7312,0.01,5m,1.2,0.0,2.0,928,2008.0,0.02,3m,3.0,0.0,1.5,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,5,COMPLETE
67,67,-0.07962829314917293,2025-06-21 19:41:29.742686,2025-06-21 19:41:33.789049,0 days 00:00:04.046363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2336.0,0.01,3m,1.2,0.4,1.5,256.0,7312.0,0.01,3m,1.2,0.2,1.5,288.0,3464.0,0.01,4m,3.0,0.2,2.0,952.0,2264.0,0.02,2m,2.8,0.0,2.0,288.0,,,,,,,,1376.0,0.015,5m,1.0,0.0,2.0,104.0,7728,0.01,5m,1.4,0.0,1.5,984,1080.0,0.02,3m,2.8,0.4,1.5,880.0,8176.0,0.02,5m,1.8,1.0,0.5,120.0,,,,,,,,,,,,,,,1408.0,0.015,2m,1.8,0.6000000000000001,2.0,232.0,,,,,,,,0.25,9,COMPLETE
68,68,1.1840821173424323,2025-06-21 19:41:33.872553,2025-06-21 19:41:38.915073,0 days 00:00:05.042520,,,,,,,,,,,,,,,,,,,,,,7256.0,0.01,5m,2.6,1.0,2.0,416.0,,,,,,,,,,,,,,,,,,,,,,7728.0,0.01,3m,1.4,0.4,2.0,144.0,7912.0,0.01,1m,1.6,0.2,1.5,344.0,2568.0,0.01,5m,2.6,0.2,2.0,832.0,2824.0,0.02,3m,3.0,0.2,1.5,376.0,,,,,,,,2688.0,0.02,5m,1.2,0.2,2.0,304.0,7624,0.01,5m,1.2,0.2,2.0,848,1720.0,0.015,3m,2.6,0.0,1.5,760.0,4752.0,0.02,5m,1.6,0.8,0.5,64.0,,,,,,,,,,,,,,,3048.0,0.015,4m,1.8,0.8,1.5,680.0,,,,,,,,0.2,10,COMPLETE
69,69,-2.2008525867763313,2025-06-21 19:41:38.989600,2025-06-21 19:41:44.991743,0 days 00:00:06.002143,,,,,,,,,,,,,,,,,,,,,,7296.0,0.01,5m,2.6,1.0,2.0,408.0,2264.0,0.015,4m,1.0,0.8,0.5,184.0,,,,,,,,,,,,,,,7728.0,0.01,3m,1.4,0.4,2.0,144.0,8184.0,0.015,1m,1.0,0.4,1.0,696.0,2608.0,0.01,1m,2.6,0.4,2.0,904.0,3080.0,0.02,3m,3.0,0.0,1.5,368.0,,,,,,,,2680.0,0.02,3m,1.2,0.2,2.0,304.0,7880,0.01,5m,1.0,0.2,2.0,1024,2336.0,0.015,2m,2.2,0.2,2.0,768.0,4704.0,0.02,5m,1.6,0.8,0.5,104.0,,,,,,,,,,,,,,,3792.0,0.015,4m,1.8,0.8,1.5,720.0,3976.0,0.02,2m,1.4,1.0,1.0,568.0,0.2,12,COMPLETE
70,70,-1.347261865566554,2025-06-21 19:41:45.072733,2025-06-21 19:41:49.725747,0 days 00:00:04.653014,,,,,,,,,,,,,,,,,,,,,,6624.0,0.01,5m,2.8,1.0,2.0,576.0,,,,,,,,,,,,,,,,,,,,,,7984.0,0.01,3m,1.4,0.2,2.0,128.0,1584.0,0.01,1m,1.2,0.2,1.5,416.0,2760.0,0.01,5m,3.0,0.2,2.0,840.0,2656.0,0.015,3m,3.0,0.2,1.5,496.0,,,,,,,,3304.0,0.02,5m,1.0,0.0,2.0,288.0,7600,0.01,1m,1.2,0.0,2.0,896,1752.0,0.01,1m,2.6,0.0,1.0,704.0,4104.0,0.02,3m,1.8,1.0,0.5,64.0,,,,,,,,,,,,,,,3160.0,0.015,4m,1.6,0.8,1.5,800.0,,,,,,,,0.2,10,COMPLETE
71,71,-0.027529254785745638,2025-06-21 19:41:49.800877,2025-06-21 19:41:54.960435,0 days 00:00:05.159558,,,,,,,,,,,,,,,,,,,,,,7704.0,0.01,5m,2.4000000000000004,0.8,1.5,504.0,,,,,,,,,,,,,,,,,,,,,,7264.0,0.01,3m,1.0,0.4,2.0,200.0,7896.0,0.01,1m,1.6,0.2,1.5,368.0,2488.0,0.01,5m,2.8,0.2,2.0,888.0,1944.0,0.02,3m,2.8,0.2,2.0,240.0,,,,,,,,2240.0,0.02,5m,1.2,0.0,2.0,232.0,6912,0.01,5m,1.6,0.2,2.0,824,1432.0,0.015,3m,3.0,0.0,1.5,728.0,5264.0,0.02,5m,1.4,0.8,0.5,248.0,,,,,,,,,,,,,,,1896.0,0.015,4m,1.4,0.6000000000000001,2.0,664.0,1072.0,0.01,5m,2.2,0.2,2.0,984.0,0.25,11,COMPLETE
72,72,-1.0518653253241663,2025-06-21 19:41:55.041069,2025-06-21 19:41:59.122027,0 days 00:00:04.080958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8168.0,0.01,3m,1.2,0.6000000000000001,2.0,328.0,7432.0,0.01,3m,1.6,0.2,1.5,328.0,3024.0,0.01,5m,2.6,0.2,2.0,984.0,1304.0,0.02,2m,3.0,0.2,2.0,192.0,,,,,,,,1768.0,0.02,5m,1.4,0.2,2.0,184.0,8016,0.01,5m,1.0,0.2,2.0,856,1704.0,0.015,3m,2.8,0.0,1.5,664.0,4336.0,0.02,5m,1.6,0.8,0.5,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,8,COMPLETE
73,73,-0.36015764867116634,2025-06-21 19:41:59.183611,2025-06-21 19:42:02.254961,0 days 00:00:03.071350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7088.0,0.01,3m,1.6,0.4,1.5,184.0,7864.0,0.01,1m,1.4,0.2,1.5,496.0,1976.0,0.01,5m,3.0,0.0,2.0,792.0,1784.0,0.02,2m,2.8,0.4,2.0,104.0,,,,,,,,,,,,,,,7528,0.01,5m,1.4,0.2,2.0,936,2064.0,0.015,3m,2.8,0.0,1.5,920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,6,COMPLETE
74,74,-1.2609926123972302,2025-06-21 19:42:02.337381,2025-06-21 19:42:06.730349,0 days 00:00:04.392968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7744.0,0.01,5m,1.4,0.4,1.5,272.0,7600.0,0.01,3m,1.6,0.2,1.5,352.0,2304.0,0.01,5m,2.8,0.0,2.0,1000.0,2152.0,0.02,3m,2.6,0.2,1.5,360.0,,,,,,,,2936.0,0.015,5m,1.4,0.0,2.0,96.0,7184,0.01,5m,1.2,0.0,2.0,776,1184.0,0.015,3m,2.4000000000000004,0.0,1.5,992.0,4976.0,0.02,5m,1.4,0.8,0.5,128.0,,,,,,,,,,,,,,,4808.0,0.015,4m,2.0,1.0,1.5,944.0,,,,,,,,0.15000000000000002,9,COMPLETE
75,75,1.2066698295751332,2025-06-21 19:42:06.804404,2025-06-21 19:42:10.296826,0 days 00:00:03.492422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6552.0,0.01,4m,1.6,0.6000000000000001,2.0,240.0,6696.0,0.01,3m,1.8,0.2,1.5,400.0,3344.0,0.01,5m,2.8,0.2,2.0,928.0,4280.0,0.02,2m,3.0,0.4,2.0,168.0,,,,,,,,2488.0,0.02,1m,1.2,0.2,2.0,208.0,7296,0.01,5m,1.4,0.2,2.0,720,2768.0,0.02,3m,3.0,0.2,1.5,856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,7,COMPLETE
76,76,-1.637170546970552,2025-06-21 19:42:10.375355,2025-06-21 19:42:13.613730,0 days 00:00:03.238375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136.0,0.01,4m,1.6,0.6000000000000001,2.0,240.0,6576.0,0.01,3m,1.8,0.4,1.5,464.0,3184.0,0.01,5m,2.6,0.4,2.0,864.0,2848.0,0.02,4m,3.0,0.4,2.0,168.0,,,,,,,,2464.0,0.02,1m,1.2,0.2,2.0,280.0,7752,0.01,2m,1.6,0.2,2.0,696,2808.0,0.02,3m,2.6,0.2,1.5,856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,7,COMPLETE
