,number,value,datetime_start,datetime_complete,duration,params_AAPL_COST_beta_win,params_AAPL_COST_stop_loss,params_AAPL_COST_trade_freq,params_AAPL_COST_z_entry,params_AAPL_COST_z_exit,params_AAPL_COST_z_stop_scaler,params_AAPL_COST_z_win,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_ALGN_ATVI_beta_win,params_ALGN_ATVI_stop_loss,params_ALGN_ATVI_trade_freq,params_ALGN_ATVI_z_entry,params_ALGN_ATVI_z_exit,params_ALGN_ATVI_z_stop_scaler,params_ALGN_ATVI_z_win,params_ATVI_DDOG_beta_win,params_ATVI_DDOG_stop_loss,params_ATVI_DDOG_trade_freq,params_ATVI_DDOG_z_entry,params_ATVI_DDOG_z_exit,params_ATVI_DDOG_z_stop_scaler,params_ATVI_DDOG_z_win,params_AZN_DLTR_beta_win,params_AZN_DLTR_stop_loss,params_AZN_DLTR_trade_freq,params_AZN_DLTR_z_entry,params_AZN_DLTR_z_exit,params_AZN_DLTR_z_stop_scaler,params_AZN_DLTR_z_win,params_BKNG_EA_beta_win,params_BKNG_EA_stop_loss,params_BKNG_EA_trade_freq,params_BKNG_EA_z_entry,params_BKNG_EA_z_exit,params_BKNG_EA_z_stop_scaler,params_BKNG_EA_z_win,params_CMCSA_INTC_beta_win,params_CMCSA_INTC_stop_loss,params_CMCSA_INTC_trade_freq,params_CMCSA_INTC_z_entry,params_CMCSA_INTC_z_exit,params_CMCSA_INTC_z_stop_scaler,params_CMCSA_INTC_z_win,params_CSX_PAYX_beta_win,params_CSX_PAYX_stop_loss,params_CSX_PAYX_trade_freq,params_CSX_PAYX_z_entry,params_CSX_PAYX_z_exit,params_CSX_PAYX_z_stop_scaler,params_CSX_PAYX_z_win,params_CTSH_DOCU_beta_win,params_CTSH_DOCU_stop_loss,params_CTSH_DOCU_trade_freq,params_CTSH_DOCU_z_entry,params_CTSH_DOCU_z_exit,params_CTSH_DOCU_z_stop_scaler,params_CTSH_DOCU_z_win,params_DLTR_KHC_beta_win,params_DLTR_KHC_stop_loss,params_DLTR_KHC_trade_freq,params_DLTR_KHC_z_entry,params_DLTR_KHC_z_exit,params_DLTR_KHC_z_stop_scaler,params_DLTR_KHC_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_EA_MU_beta_win,params_EA_MU_stop_loss,params_EA_MU_trade_freq,params_EA_MU_z_entry,params_EA_MU_z_exit,params_EA_MU_z_stop_scaler,params_EA_MU_z_win,params_FISV_INTU_beta_win,params_FISV_INTU_stop_loss,params_FISV_INTU_trade_freq,params_FISV_INTU_z_entry,params_FISV_INTU_z_exit,params_FISV_INTU_z_stop_scaler,params_FISV_INTU_z_win,params_FISV_WDAY_beta_win,params_FISV_WDAY_stop_loss,params_FISV_WDAY_trade_freq,params_FISV_WDAY_z_entry,params_FISV_WDAY_z_exit,params_FISV_WDAY_z_stop_scaler,params_FISV_WDAY_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_INTU_WDAY_beta_win,params_INTU_WDAY_stop_loss,params_INTU_WDAY_trade_freq,params_INTU_WDAY_z_entry,params_INTU_WDAY_z_exit,params_INTU_WDAY_z_stop_scaler,params_INTU_WDAY_z_win,params_NTES_VRTX_beta_win,params_NTES_VRTX_stop_loss,params_NTES_VRTX_trade_freq,params_NTES_VRTX_z_entry,params_NTES_VRTX_z_exit,params_NTES_VRTX_z_stop_scaler,params_NTES_VRTX_z_win,params_ORLY_VRTX_beta_win,params_ORLY_VRTX_stop_loss,params_ORLY_VRTX_trade_freq,params_ORLY_VRTX_z_entry,params_ORLY_VRTX_z_exit,params_ORLY_VRTX_z_stop_scaler,params_ORLY_VRTX_z_win,params_PYPL_WDAY_beta_win,params_PYPL_WDAY_stop_loss,params_PYPL_WDAY_trade_freq,params_PYPL_WDAY_z_entry,params_PYPL_WDAY_z_exit,params_PYPL_WDAY_z_stop_scaler,params_PYPL_WDAY_z_win,params_buffer_capital,params_pairs_to_trade,state
40,40,0.0711858506594915,2025-06-21 19:23:51.811011,2025-06-21 19:23:57.732363,0 days 00:00:05.921352,,,,,,,,3960.0,0.02,3m,2.0,0.2,1.0,632.0,6232.0,0.02,2m,1.4,1.0,2.0,176.0,,,,,,,,2688.0,0.02,5m,2.0,0.8,0.5,704.0,,,,,,,,6048.0,0.01,5m,1.0,0.2,1.0,392.0,3840.0,0.01,1m,2.0,1.0,1.0,88.0,,,,,,,,,,,,,,,2720.0,0.02,1m,2.6,0.6000000000000001,0.5,64.0,4304,0.015,2m,1.8,0.0,1.0,464,4984.0,0.015,3m,3.0,0.0,1.0,200.0,7152.0,0.01,5m,1.6,0.8,1.5,408.0,5712.0,0.01,5m,1.4,0.0,1.0,960.0,4064.0,0.015,1m,2.4000000000000004,1.0,1.5,152.0,6608.0,0.01,1m,2.2,0.2,2.0,536.0,6848.0,0.02,2m,1.2,0.6000000000000001,1.0,232.0,7904.0,0.015,1m,3.0,0.4,1.5,536.0,4320.0,0.015,4m,1.2,0.8,2.0,496.0,0.05,15,COMPLETE
41,41,3.7131899370581367,2025-06-21 19:23:57.828261,2025-06-21 19:24:04.074871,0 days 00:00:06.246610,,,,,,,,4800.0,0.02,4m,2.4000000000000004,0.0,1.5,360.0,5656.0,0.01,2m,2.2,1.0,1.5,304.0,4568.0,0.015,5m,2.2,0.0,2.0,728.0,2960.0,0.02,5m,1.8,0.8,0.5,520.0,,,,,,,,5624.0,0.015,5m,1.6,0.2,0.5,160.0,3832.0,0.01,2m,2.4000000000000004,0.8,1.0,416.0,,,,,,,,,,,,,,,2632.0,0.02,1m,2.6,0.8,0.5,192.0,4744,0.02,3m,1.8,0.0,1.0,360,5944.0,0.01,1m,2.6,0.2,1.0,128.0,6536.0,0.01,5m,2.2,0.6000000000000001,2.0,392.0,7552.0,0.01,5m,1.0,0.0,1.0,704.0,4552.0,0.01,1m,2.2,0.8,1.0,240.0,8096.0,0.01,1m,2.2,0.4,1.5,648.0,7080.0,0.02,4m,1.2,0.2,1.5,72.0,7056.0,0.015,1m,2.4000000000000004,0.8,1.5,328.0,5472.0,0.02,2m,2.0,0.6000000000000001,2.0,256.0,0.1,16,COMPLETE
42,42,3.318235801493297,2025-06-21 19:24:04.181043,2025-06-21 19:24:11.192235,0 days 00:00:07.011192,,,,,,,,4456.0,0.02,4m,2.4000000000000004,0.0,1.5,328.0,5616.0,0.01,2m,2.2,1.0,1.5,312.0,4592.0,0.015,5m,2.2,0.0,2.0,664.0,2728.0,0.02,5m,1.6,0.8,0.5,544.0,,,,,,,,6560.0,0.015,5m,1.6,0.2,0.5,200.0,3152.0,0.01,2m,2.4000000000000004,0.8,1.0,400.0,2104.0,0.02,5m,2.0,0.8,0.5,792.0,5784.0,0.015,4m,1.8,0.8,1.0,248.0,2016.0,0.02,1m,2.8,0.8,0.5,296.0,3992,0.02,3m,1.6,0.0,1.0,320,6584.0,0.01,1m,2.4000000000000004,0.2,1.0,120.0,7360.0,0.01,5m,2.0,0.6000000000000001,2.0,488.0,8184.0,0.01,5m,1.0,0.0,1.0,720.0,2936.0,0.01,1m,2.0,0.8,1.0,288.0,7968.0,0.01,1m,2.0,0.4,1.5,664.0,7192.0,0.02,4m,1.0,0.4,1.5,72.0,6472.0,0.015,1m,2.2,0.8,1.5,312.0,5392.0,0.02,2m,1.8,0.6000000000000001,2.0,160.0,0.15000000000000002,18,COMPLETE
43,43,-0.3646981696818622,2025-06-21 19:24:11.277252,2025-06-21 19:24:19.053060,0 days 00:00:07.775808,4472.0,0.02,3m,1.0,0.2,0.5,792.0,3192.0,0.02,4m,2.2,0.0,1.5,272.0,4800.0,0.01,2m,2.4000000000000004,1.0,1.5,328.0,4016.0,0.015,5m,1.8,0.0,2.0,600.0,1680.0,0.02,5m,1.6,1.0,0.5,600.0,1088.0,0.015,2m,1.2,0.4,1.0,944.0,6408.0,0.015,5m,1.4,0.4,0.5,136.0,2904.0,0.01,2m,2.2,0.6000000000000001,1.0,408.0,1952.0,0.02,5m,2.0,1.0,0.5,808.0,5784.0,0.015,4m,1.6,0.8,1.0,192.0,2000.0,0.02,1m,2.8,0.8,0.5,168.0,2864,0.02,3m,1.6,0.2,1.0,312,5904.0,0.01,1m,2.4000000000000004,0.2,1.0,136.0,6440.0,0.01,5m,2.0,0.6000000000000001,2.0,336.0,8040.0,0.01,5m,1.0,0.0,0.5,712.0,2736.0,0.01,1m,2.0,0.8,1.0,368.0,8072.0,0.01,1m,2.0,0.6000000000000001,1.5,776.0,7240.0,0.02,4m,1.2,0.2,1.5,144.0,7128.0,0.015,1m,2.4000000000000004,0.6000000000000001,1.5,272.0,5400.0,0.02,2m,1.8,0.6000000000000001,2.0,120.0,0.1,20,COMPLETE
44,44,-0.29386125039520083,2025-06-21 19:24:19.170433,2025-06-21 19:24:26.146927,0 days 00:00:06.976494,,,,,,,,4296.0,0.02,4m,2.4000000000000004,0.2,1.5,344.0,6144.0,0.01,1m,2.2,1.0,1.5,120.0,4544.0,0.015,1m,2.4000000000000004,0.2,2.0,424.0,2336.0,0.02,5m,1.4,0.6000000000000001,1.0,464.0,,,,,,,,6768.0,0.015,3m,3.0,0.0,0.5,280.0,1384.0,0.01,2m,2.6,0.8,0.5,360.0,3048.0,0.02,5m,2.4000000000000004,0.8,0.5,672.0,5528.0,0.015,4m,2.0,0.8,1.0,336.0,1720.0,0.02,1m,2.4000000000000004,0.6000000000000001,0.5,408.0,3920,0.02,1m,1.2,0.0,0.5,208,4992.0,0.01,4m,2.4000000000000004,0.4,1.0,296.0,7352.0,0.01,5m,1.8,0.8,2.0,424.0,8176.0,0.02,3m,1.0,0.0,1.0,624.0,3240.0,0.01,1m,1.8,0.8,1.0,160.0,7320.0,0.01,1m,2.8,0.2,1.5,696.0,7344.0,0.02,1m,1.4,0.4,2.0,64.0,6560.0,0.015,1m,2.2,0.8,1.0,208.0,4872.0,0.02,2m,1.6,0.4,2.0,192.0,0.2,18,COMPLETE
45,45,0.7292168130914333,2025-06-21 19:24:26.244855,2025-06-21 19:24:33.353892,0 days 00:00:07.109037,,,,,,,,5792.0,0.02,1m,2.4000000000000004,0.0,1.5,416.0,5592.0,0.015,3m,2.4000000000000004,1.0,1.0,224.0,2544.0,0.015,3m,1.8,0.0,1.5,888.0,7552.0,0.02,1m,1.8,0.8,0.5,560.0,6320.0,0.01,5m,2.4000000000000004,1.0,0.5,416.0,5552.0,0.015,5m,1.8,0.6000000000000001,0.5,64.0,3192.0,0.01,2m,2.4000000000000004,0.6000000000000001,1.5,216.0,3832.0,0.02,5m,2.0,0.8,1.0,840.0,7024.0,0.01,2m,1.0,0.8,0.5,816.0,3592.0,0.02,1m,3.0,1.0,0.5,280.0,4752,0.02,3m,2.2,0.2,1.0,120,6472.0,0.01,1m,2.6,0.0,0.5,216.0,8160.0,0.01,5m,2.0,0.6000000000000001,2.0,360.0,7000.0,0.01,5m,1.0,0.0,0.5,568.0,1952.0,0.01,5m,2.4000000000000004,0.6000000000000001,0.5,296.0,7936.0,0.01,1m,2.4000000000000004,0.4,1.5,528.0,5312.0,0.02,5m,1.0,0.2,1.5,312.0,7408.0,0.015,1m,2.8,0.6000000000000001,1.5,408.0,4432.0,0.02,2m,1.8,0.6000000000000001,1.5,376.0,0.15000000000000002,19,COMPLETE
46,46,3.3123110993465827,2025-06-21 19:24:33.451963,2025-06-21 19:24:40.094255,0 days 00:00:06.642292,,,,,,,,5176.0,0.02,5m,3.0,0.0,1.0,264.0,6720.0,0.01,2m,2.6,1.0,2.0,408.0,4472.0,0.015,2m,2.2,0.4,2.0,528.0,2664.0,0.015,2m,1.4,1.0,0.5,984.0,,,,,,,,6248.0,0.01,2m,1.4,0.2,0.5,152.0,3632.0,0.01,3m,2.2,0.6000000000000001,1.0,432.0,2080.0,0.015,1m,2.4000000000000004,0.8,0.5,528.0,,,,,,,,1072.0,0.015,2m,2.8,0.8,0.5,208.0,3544,0.015,3m,2.0,0.0,1.0,144,7384.0,0.015,4m,2.4000000000000004,0.2,1.0,120.0,6720.0,0.01,1m,2.6,0.4,2.0,528.0,7648.0,0.01,2m,2.8,0.0,1.0,696.0,5160.0,0.01,1m,2.6,1.0,1.0,400.0,6832.0,0.02,1m,2.0,0.6000000000000001,1.5,608.0,6072.0,0.01,4m,1.2,0.4,1.5,168.0,5728.0,0.015,1m,2.6,1.0,2.0,624.0,5384.0,0.02,2m,1.6,0.4,2.0,104.0,0.05,17,COMPLETE
47,47,0.32258423730332114,2025-06-21 19:24:40.202920,2025-06-21 19:24:46.156092,0 days 00:00:05.953172,,,,,,,,6432.0,0.02,5m,3.0,0.6000000000000001,1.0,256.0,8080.0,0.01,4m,2.8,1.0,2.0,424.0,,,,,,,,2608.0,0.015,2m,1.4,1.0,1.0,376.0,,,,,,,,6168.0,0.01,2m,1.0,0.0,0.5,136.0,2336.0,0.01,3m,2.2,0.6000000000000001,0.5,536.0,,,,,,,,,,,,,,,1072.0,0.015,2m,2.8,1.0,0.5,184.0,4056,0.015,3m,2.0,0.2,1.5,144,7632.0,0.015,4m,2.4000000000000004,0.0,1.0,104.0,6696.0,0.02,1m,2.6,0.4,2.0,512.0,7752.0,0.01,2m,2.8,0.0,1.0,528.0,5240.0,0.01,5m,2.8,1.0,1.5,408.0,6880.0,0.02,2m,1.8,0.8,1.0,624.0,7384.0,0.01,4m,1.6,0.6000000000000001,1.0,160.0,5440.0,0.02,2m,2.8,1.0,0.5,672.0,3920.0,0.015,2m,2.2,0.4,2.0,96.0,0.05,15,COMPLETE
48,48,-0.4467604561002705,2025-06-21 19:24:46.254553,2025-06-21 19:24:51.359128,0 days 00:00:05.104575,,,,,,,,4344.0,0.01,5m,3.0,0.0,0.5,120.0,6808.0,0.015,2m,2.8,0.8,2.0,400.0,,,,,,,,1416.0,0.015,2m,1.0,1.0,0.5,1000.0,,,,,,,,6448.0,0.01,2m,1.6,0.0,0.5,1008.0,3384.0,0.015,3m,2.0,0.8,1.0,344.0,,,,,,,,,,,,,,,1480.0,0.015,2m,2.8,0.6000000000000001,0.5,120.0,6104,0.015,2m,1.6,0.0,0.5,280,4168.0,0.015,4m,2.2,0.2,0.5,624.0,5720.0,0.015,1m,2.4000000000000004,0.0,0.5,664.0,7752.0,0.015,2m,2.4000000000000004,0.0,1.0,808.0,,,,,,,,6776.0,0.02,3m,1.6,0.6000000000000001,2.0,696.0,,,,,,,,6400.0,0.015,4m,2.4000000000000004,1.0,2.0,560.0,6272.0,0.02,2m,1.4,0.2,1.5,152.0,0.05,13,COMPLETE
49,49,-0.2869942318019966,2025-06-21 19:24:51.453335,2025-06-21 19:24:57.808971,0 days 00:00:06.355636,,,,,,,,5160.0,0.02,5m,3.0,0.2,1.0,168.0,7296.0,0.01,4m,2.6,1.0,2.0,320.0,4368.0,0.01,2m,2.2,0.6000000000000001,2.0,272.0,2248.0,0.015,2m,1.2,1.0,0.5,936.0,,,,,,,,5360.0,0.01,2m,1.2,0.2,0.5,176.0,3648.0,0.01,3m,2.2,0.6000000000000001,1.5,600.0,1024.0,0.015,5m,2.6,0.8,1.0,496.0,,,,,,,,2040.0,0.015,2m,2.0,0.8,0.5,488.0,3104,0.015,1m,2.0,0.2,1.0,64,5272.0,0.02,4m,2.4000000000000004,0.4,1.5,64.0,5000.0,0.01,1m,2.4000000000000004,0.2,2.0,208.0,8184.0,0.01,2m,2.8,0.0,1.5,696.0,5536.0,0.01,2m,2.0,1.0,1.0,512.0,6256.0,0.02,5m,2.0,0.8,1.5,824.0,4440.0,0.01,4m,1.2,0.2,1.5,400.0,8112.0,0.02,1m,2.2,1.0,1.5,648.0,5760.0,0.02,2m,1.8,0.4,2.0,64.0,0.1,17,COMPLETE
50,50,0.671242221585722,2025-06-21 19:24:57.917706,2025-06-21 19:25:03.764900,0 days 00:00:05.847194,,,,,,,,1648.0,0.02,5m,2.8,0.2,1.0,336.0,6520.0,0.02,5m,2.6,0.8,2.0,536.0,,,,,,,,2720.0,0.015,2m,1.6,0.4,1.0,456.0,,,,,,,,4752.0,0.01,2m,1.0,0.2,1.5,488.0,4272.0,0.015,3m,2.8,0.8,0.5,312.0,,,,,,,,,,,,,,,4752.0,0.015,4m,3.0,0.0,0.5,552.0,5008,0.015,3m,2.2,0.0,1.5,224,5920.0,0.015,4m,2.0,0.0,1.0,496.0,7824.0,0.015,1m,2.6,0.4,1.0,584.0,7264.0,0.02,2m,2.6,0.0,1.0,440.0,4680.0,0.01,3m,2.6,1.0,1.0,168.0,5336.0,0.015,1m,2.0,0.6000000000000001,1.0,568.0,,,,,,,,1776.0,0.01,2m,2.6,1.0,0.5,744.0,5584.0,0.02,2m,2.4000000000000004,0.2,2.0,200.0,0.1,14,COMPLETE
51,51,2.9062227627845965,2025-06-21 19:25:03.829611,2025-06-21 19:25:10.819788,0 days 00:00:06.990177,,,,,,,,4640.0,0.02,4m,2.6,0.0,1.5,240.0,5744.0,0.01,2m,2.4000000000000004,1.0,1.5,240.0,3352.0,0.015,2m,2.0,0.4,2.0,672.0,3392.0,0.02,4m,1.4,0.8,0.5,744.0,,,,,,,,6832.0,0.02,5m,1.4,0.4,0.5,232.0,5312.0,0.01,2m,2.4000000000000004,0.8,1.0,440.0,2144.0,0.015,1m,2.2,0.8,0.5,608.0,4840.0,0.015,1m,2.0,0.8,1.5,248.0,2368.0,0.02,5m,2.6,0.8,0.5,264.0,2512,0.02,3m,1.8,0.0,1.0,704,7200.0,0.015,1m,2.6,0.2,1.0,200.0,6888.0,0.01,2m,2.0,0.6000000000000001,2.0,512.0,6728.0,0.01,5m,1.8,0.2,1.0,744.0,2584.0,0.01,1m,2.6,0.8,1.0,352.0,7480.0,0.015,1m,2.2,0.4,1.5,416.0,5968.0,0.015,4m,1.2,0.4,1.5,144.0,6232.0,0.015,1m,2.6,0.8,2.0,432.0,5224.0,0.02,2m,1.6,0.6000000000000001,2.0,312.0,0.15000000000000002,18,COMPLETE
52,52,4.728690182850856,2025-06-21 19:25:10.917716,2025-06-21 19:25:17.791804,0 days 00:00:06.874088,,,,,,,,3560.0,0.02,2m,2.2,0.0,1.5,440.0,4984.0,0.01,2m,2.2,1.0,1.5,376.0,4440.0,0.015,2m,2.4000000000000004,0.0,2.0,544.0,2704.0,0.015,5m,1.8,0.8,0.5,816.0,,,,,,,,5880.0,0.02,4m,1.4,0.2,0.5,312.0,3168.0,0.01,3m,2.6,0.8,1.0,416.0,2488.0,0.015,1m,2.4000000000000004,0.6000000000000001,0.5,744.0,,,,,,,,3032.0,0.015,2m,2.8,0.8,0.5,200.0,3592,0.02,3m,2.0,0.8,1.0,320,6768.0,0.01,4m,2.6,0.2,1.0,136.0,6112.0,0.01,5m,2.4000000000000004,0.4,2.0,424.0,6432.0,0.01,4m,1.0,0.0,0.5,584.0,3168.0,0.01,1m,2.2,1.0,1.0,296.0,7824.0,0.01,1m,2.6,0.4,1.5,456.0,6560.0,0.02,4m,1.0,0.4,1.5,64.0,5784.0,0.015,1m,2.4000000000000004,0.6000000000000001,2.0,496.0,4840.0,0.02,4m,1.6,0.4,2.0,232.0,0.1,17,COMPLETE
53,53,4.023305604480089,2025-06-21 19:25:17.904336,2025-06-21 19:25:24.534928,0 days 00:00:06.630592,,,,,,,,2840.0,0.02,2m,2.2,0.0,1.5,288.0,6080.0,0.01,2m,2.4000000000000004,1.0,1.0,384.0,4784.0,0.015,2m,2.4000000000000004,0.2,2.0,528.0,2816.0,0.015,2m,1.8,1.0,0.5,1024.0,,,,,,,,5992.0,0.02,4m,1.6,0.2,0.5,120.0,3080.0,0.01,3m,2.6,0.8,1.0,400.0,1824.0,0.015,1m,2.6,0.6000000000000001,0.5,752.0,,,,,,,,3000.0,0.015,2m,2.8,1.0,0.5,216.0,3472,0.015,3m,2.0,0.8,1.0,248,6504.0,0.015,4m,2.4000000000000004,0.2,1.0,120.0,6032.0,0.01,3m,2.6,0.4,2.0,264.0,7776.0,0.01,4m,1.0,0.0,1.5,600.0,3616.0,0.01,1m,2.2,1.0,1.0,256.0,7896.0,0.01,1m,2.8,0.2,1.5,600.0,6624.0,0.01,4m,1.4,0.0,1.5,216.0,5504.0,0.015,1m,2.4000000000000004,0.6000000000000001,2.0,528.0,4824.0,0.02,4m,1.4,0.4,2.0,128.0,0.05,17,COMPLETE
54,54,4.274399511106064,2025-06-21 19:25:24.623708,2025-06-21 19:25:30.920090,0 days 00:00:06.296382,,,,,,,,2896.0,0.02,2m,2.2,0.0,1.5,424.0,4944.0,0.01,2m,2.2,1.0,1.0,368.0,5152.0,0.015,2m,2.6,0.2,2.0,400.0,1944.0,0.015,3m,1.8,0.8,0.5,840.0,,,,,,,,5760.0,0.02,4m,1.6,0.0,2.0,120.0,3200.0,0.01,3m,3.0,0.8,1.0,200.0,,,,,,,,,,,,,,,2976.0,0.015,2m,3.0,1.0,0.5,120.0,4136,0.02,3m,2.2,0.8,1.0,248,6584.0,0.01,4m,2.6,0.4,1.0,1024.0,6048.0,0.01,3m,2.4000000000000004,0.2,2.0,272.0,6344.0,0.01,4m,1.0,0.0,1.5,592.0,3512.0,0.01,1m,2.2,1.0,0.5,264.0,8176.0,0.01,1m,2.8,0.2,1.5,744.0,6696.0,0.02,4m,1.4,0.0,1.5,232.0,5664.0,0.015,3m,2.4000000000000004,0.6000000000000001,1.5,504.0,3560.0,0.02,4m,1.4,0.4,2.0,216.0,0.1,16,COMPLETE
55,55,0.11370492319278161,2025-06-21 19:25:31.009530,2025-06-21 19:25:36.978880,0 days 00:00:05.969350,,,,,,,,2944.0,0.02,2m,2.2,0.0,1.5,432.0,4920.0,0.015,4m,2.4000000000000004,1.0,1.0,448.0,5360.0,0.015,2m,2.6,0.2,1.5,408.0,1968.0,0.015,3m,1.8,0.6000000000000001,0.5,832.0,,,,,,,,5912.0,0.02,4m,1.8,0.0,2.0,104.0,2528.0,0.01,3m,3.0,0.8,1.0,104.0,,,,,,,,,,,,,,,3040.0,0.015,2m,3.0,1.0,0.5,120.0,1984,0.02,3m,2.2,0.8,1.5,256,6216.0,0.02,4m,2.6,0.6000000000000001,1.5,1024.0,6032.0,0.01,3m,2.4000000000000004,0.2,1.0,264.0,6336.0,0.01,4m,1.2,0.0,1.5,584.0,3648.0,0.02,5m,2.2,1.0,0.5,240.0,8176.0,0.01,1m,2.8,0.2,1.5,752.0,6496.0,0.015,2m,1.6,0.0,2.0,240.0,4648.0,0.01,3m,2.4000000000000004,0.6000000000000001,2.0,528.0,3568.0,0.02,4m,1.4,0.4,2.0,216.0,0.1,16,COMPLETE
56,56,0.3964032988899864,2025-06-21 19:25:37.081034,2025-06-21 19:25:42.532997,0 days 00:00:05.451963,,,,,,,,2576.0,0.02,2m,2.0,0.2,1.5,368.0,4520.0,0.01,1m,2.2,0.8,1.0,368.0,,,,,,,,6688.0,0.015,3m,2.0,0.8,0.5,952.0,,,,,,,,4056.0,0.02,4m,1.6,0.0,2.0,592.0,1808.0,0.01,3m,3.0,0.8,2.0,160.0,,,,,,,,,,,,,,,3952.0,0.015,2m,3.0,1.0,1.0,672.0,4256,0.015,3m,2.2,0.8,1.0,240,5616.0,0.015,4m,2.6,0.4,2.0,896.0,4944.0,0.015,3m,2.8,0.0,2.0,88.0,7144.0,0.01,4m,1.0,1.0,1.5,520.0,4280.0,0.01,1m,2.2,1.0,0.5,80.0,7728.0,0.01,2m,3.0,0.2,1.5,568.0,1160.0,0.02,4m,1.4,0.0,1.5,224.0,5104.0,0.015,3m,2.4000000000000004,0.4,1.0,512.0,4512.0,0.015,4m,1.2,0.2,1.5,576.0,0.05,15,COMPLETE
57,57,0.569051591075581,2025-06-21 19:25:42.661183,2025-06-21 19:25:48.017404,0 days 00:00:05.356221,,,,,,,,3456.0,0.015,2m,2.2,0.0,1.5,536.0,6008.0,0.015,3m,2.4000000000000004,0.6000000000000001,1.0,496.0,,,,,,,,1312.0,0.015,3m,1.8,0.4,2.0,872.0,,,,,,,,5352.0,0.02,4m,2.0,0.0,1.5,112.0,3000.0,0.02,3m,2.6,0.8,1.0,240.0,,,,,,,,,,,,,,,3344.0,0.015,2m,2.2,1.0,0.5,72.0,4464,0.02,4m,2.4000000000000004,0.6000000000000001,1.0,176,6664.0,0.01,4m,2.6,0.6000000000000001,1.0,784.0,4256.0,0.01,3m,2.4000000000000004,0.2,2.0,312.0,1672.0,0.01,4m,1.2,0.0,1.5,400.0,3448.0,0.01,2m,2.2,1.0,0.5,184.0,7136.0,0.01,5m,2.6,0.2,1.5,432.0,,,,,,,,5616.0,0.015,3m,2.2,0.6000000000000001,1.5,600.0,3520.0,0.02,4m,1.4,0.4,2.0,352.0,0.05,14,COMPLETE
58,58,1.1910772309520805,2025-06-21 19:25:48.116650,2025-06-21 19:25:54.441403,0 days 00:00:06.324753,,,,,,,,3688.0,0.02,2m,2.0,0.0,1.5,288.0,5024.0,0.01,4m,1.8,1.0,0.5,608.0,5016.0,0.015,2m,2.6,0.2,2.0,320.0,2328.0,0.01,3m,2.0,1.0,1.0,280.0,,,,,,,,4752.0,0.02,4m,2.2,0.6000000000000001,1.0,256.0,3560.0,0.01,3m,2.8,0.6000000000000001,0.5,840.0,4944.0,0.015,1m,2.6,0.6000000000000001,1.0,896.0,,,,,,,,5608.0,0.015,2m,2.4000000000000004,1.0,1.5,144.0,2968,0.02,3m,2.6,0.8,1.5,272,6112.0,0.015,4m,3.0,0.4,1.5,360.0,5456.0,0.015,3m,2.6,0.2,1.0,160.0,5608.0,0.01,4m,1.2,0.2,2.0,616.0,1848.0,0.02,5m,1.0,0.0,2.0,624.0,7880.0,0.01,1m,2.6,0.2,2.0,936.0,1968.0,0.01,5m,1.4,0.0,1.5,128.0,4832.0,0.015,3m,2.0,0.2,1.0,568.0,2632.0,0.015,4m,1.4,0.2,2.0,632.0,0.1,17,COMPLETE
59,59,1.4899788983832185,2025-06-21 19:25:54.563287,2025-06-21 19:25:59.090562,0 days 00:00:04.527275,,,,,,,,2912.0,0.015,2m,1.8,0.2,2.0,368.0,5392.0,0.015,2m,2.0,0.0,1.0,376.0,,,,,,,,1856.0,0.015,2m,1.8,0.6000000000000001,0.5,848.0,,,,,,,,5080.0,0.02,4m,1.8,0.0,2.0,792.0,2376.0,0.015,4m,2.8,0.8,1.0,656.0,,,,,,,,,,,,,,,3360.0,0.015,2m,3.0,0.2,1.0,848.0,2488,0.015,1m,2.0,1.0,1.0,328,6344.0,0.01,3m,2.0,0.2,0.5,616.0,6072.0,0.01,3m,2.8,0.0,2.0,224.0,6096.0,0.01,4m,1.4,0.0,1.5,320.0,,,,,,,,1256.0,0.01,3m,2.8,0.0,1.0,512.0,,,,,,,,,,,,,,,4888.0,0.02,4m,1.2,0.4,1.5,312.0,0.1,12,COMPLETE
