,number,value,datetime_start,datetime_complete,duration,params_AVGO_MRNA_beta_win,params_AVGO_MRNA_stop_loss,params_AVGO_MRNA_trade_freq,params_AVGO_MRNA_z_entry,params_AVGO_MRNA_z_exit,params_AVGO_MRNA_z_stop_scaler,params_AVGO_MRNA_z_win,params_CPRT_MRNA_beta_win,params_CPRT_MRNA_stop_loss,params_CPRT_MRNA_trade_freq,params_CPRT_MRNA_z_entry,params_CPRT_MRNA_z_exit,params_CPRT_MRNA_z_stop_scaler,params_CPRT_MRNA_z_win,params_FISV_MRNA_beta_win,params_FISV_MRNA_stop_loss,params_FISV_MRNA_trade_freq,params_FISV_MRNA_z_entry,params_FISV_MRNA_z_exit,params_FISV_MRNA_z_stop_scaler,params_FISV_MRNA_z_win,params_ISRG_MRNA_beta_win,params_ISRG_MRNA_stop_loss,params_ISRG_MRNA_trade_freq,params_ISRG_MRNA_z_entry,params_ISRG_MRNA_z_exit,params_ISRG_MRNA_z_stop_scaler,params_ISRG_MRNA_z_win,params_KLAC_MRNA_beta_win,params_KLAC_MRNA_stop_loss,params_KLAC_MRNA_trade_freq,params_KLAC_MRNA_z_entry,params_KLAC_MRNA_z_exit,params_KLAC_MRNA_z_stop_scaler,params_KLAC_MRNA_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_MCHP_MRNA_beta_win,params_MCHP_MRNA_stop_loss,params_MCHP_MRNA_trade_freq,params_MCHP_MRNA_z_entry,params_MCHP_MRNA_z_exit,params_MCHP_MRNA_z_stop_scaler,params_MCHP_MRNA_z_win,params_MDLZ_MRNA_beta_win,params_MDLZ_MRNA_stop_loss,params_MDLZ_MRNA_trade_freq,params_MDLZ_MRNA_z_entry,params_MDLZ_MRNA_z_exit,params_MDLZ_MRNA_z_stop_scaler,params_MDLZ_MRNA_z_win,params_MNST_MRNA_beta_win,params_MNST_MRNA_stop_loss,params_MNST_MRNA_trade_freq,params_MNST_MRNA_z_entry,params_MNST_MRNA_z_exit,params_MNST_MRNA_z_stop_scaler,params_MNST_MRNA_z_win,params_SBUX_MRNA_beta_win,params_SBUX_MRNA_stop_loss,params_SBUX_MRNA_trade_freq,params_SBUX_MRNA_z_entry,params_SBUX_MRNA_z_exit,params_SBUX_MRNA_z_stop_scaler,params_SBUX_MRNA_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-3.5469174899530795,2025-06-14 19:24:23.619886,2025-06-14 19:24:25.369641,0 days 00:00:01.749755,336.0,0.009000000000000001,2m,3.0,1.0,1.2000000000000002,180.0,708,0.003,1m,2.0,3.0,1.1,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
21,21,5.835206531518398,2025-06-14 19:24:25.447780,2025-06-14 19:24:27.330474,0 days 00:00:01.882694,346.0,0.009000000000000001,2m,4.0,2.0,1.4,60.0,878,0.002,1m,2.0,3.5,1.4,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
22,22,6.933120595144542,2025-06-14 19:24:27.406830,2025-06-14 19:24:29.345670,0 days 00:00:01.938840,338.0,0.009000000000000001,2m,4.0,1.5,1.4,134.0,888,0.002,1m,2.0,3.5,1.4,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
23,23,-1.0693467230971077,2025-06-14 19:24:29.411198,2025-06-14 19:24:30.328259,0 days 00:00:00.917061,,,,,,,,994,0.002,1m,1.5,4.0,1.7000000000000002,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
24,24,0.4339523488853572,2025-06-14 19:24:30.358710,2025-06-14 19:24:31.883923,0 days 00:00:01.525213,322.0,0.009000000000000001,2m,3.5,1.5,1.5,214.0,906,0.002,1m,2.0,3.5,1.4,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
25,25,-2.8429658287967126,2025-06-14 19:24:31.942258,2025-06-14 19:24:35.226353,0 days 00:00:03.284095,732.0,0.006,2m,4.0,1.5,1.4,336.0,728,0.005,1m,1.0,3.5,1.0,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750.0,0.003,3m,1.5,2.5,1.0,438.0,652.0,0.003,4m,1.0,2.5,1.7000000000000002,62.0,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
26,26,-1.590025233420138,2025-06-14 19:24:35.267764,2025-06-14 19:24:36.957876,0 days 00:00:01.690112,556.0,0.008,2m,3.5,2.5,1.1,122.0,886,0.003,1m,1.5,3.5,1.7000000000000002,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
27,27,-5.9134284072778325,2025-06-14 19:24:37.014668,2025-06-14 19:24:41.156243,0 days 00:00:04.141575,142.0,0.01,2m,4.0,1.0,1.5,302.0,752,0.002,3m,2.0,4.0,1.2000000000000002,600,658.0,0.001,1m,2.0,1.0,2.0,16.0,,,,,,,,,,,,,,,,,,,,,,754.0,0.002,4m,3.0,1.0,1.0,458.0,426.0,0.001,1m,3.5,4.0,1.8,652.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
28,28,-2.8353922374294562,2025-06-14 19:24:41.220873,2025-06-14 19:24:42.268748,0 days 00:00:01.047875,,,,,,,,632,0.006,4m,3.0,3.0,1.4,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
29,29,-1.9409917747932186,2025-06-14 19:24:42.360042,2025-06-14 19:24:44.914295,0 days 00:00:02.554253,268.0,0.009000000000000001,2m,3.5,2.0,1.0,138.0,1022,0.004,3m,2.5,2.0,1.3,904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.0,0.006,4m,1.5,1.0,1.4,150.0,,,,,,,,,,,,,,,0.5,3,COMPLETE
