,number,value,datetime_start,datetime_complete,duration,params_ADP_ASML_beta_win,params_ADP_ASML_stop_loss,params_ADP_ASML_trade_freq,params_ADP_ASML_z_entry,params_ADP_ASML_z_exit,params_ADP_ASML_z_stop_scaler,params_ADP_ASML_z_win,params_ADP_PAYX_beta_win,params_ADP_PAYX_stop_loss,params_ADP_PAYX_trade_freq,params_ADP_PAYX_z_entry,params_ADP_PAYX_z_exit,params_ADP_PAYX_z_stop_scaler,params_ADP_PAYX_z_win,params_ADP_XEL_beta_win,params_ADP_XEL_stop_loss,params_ADP_XEL_trade_freq,params_ADP_XEL_z_entry,params_ADP_XEL_z_exit,params_ADP_XEL_z_stop_scaler,params_ADP_XEL_z_win,params_AMGN_ANSS_beta_win,params_AMGN_ANSS_stop_loss,params_AMGN_ANSS_trade_freq,params_AMGN_ANSS_z_entry,params_AMGN_ANSS_z_exit,params_AMGN_ANSS_z_stop_scaler,params_AMGN_ANSS_z_win,params_AMZN_MRVL_beta_win,params_AMZN_MRVL_stop_loss,params_AMZN_MRVL_trade_freq,params_AMZN_MRVL_z_entry,params_AMZN_MRVL_z_exit,params_AMZN_MRVL_z_stop_scaler,params_AMZN_MRVL_z_win,params_AZN_ANSS_beta_win,params_AZN_ANSS_stop_loss,params_AZN_ANSS_trade_freq,params_AZN_ANSS_z_entry,params_AZN_ANSS_z_exit,params_AZN_ANSS_z_stop_scaler,params_AZN_ANSS_z_win,params_CSCO_DASH_beta_win,params_CSCO_DASH_stop_loss,params_CSCO_DASH_trade_freq,params_CSCO_DASH_z_entry,params_CSCO_DASH_z_exit,params_CSCO_DASH_z_stop_scaler,params_CSCO_DASH_z_win,params_CSCO_FTNT_beta_win,params_CSCO_FTNT_stop_loss,params_CSCO_FTNT_trade_freq,params_CSCO_FTNT_z_entry,params_CSCO_FTNT_z_exit,params_CSCO_FTNT_z_stop_scaler,params_CSCO_FTNT_z_win,params_CSCO_META_beta_win,params_CSCO_META_stop_loss,params_CSCO_META_trade_freq,params_CSCO_META_z_entry,params_CSCO_META_z_exit,params_CSCO_META_z_stop_scaler,params_CSCO_META_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_buffer_capital,params_pairs_to_trade,state
109,109,-11.445336544909038,2025-06-14 20:14:51.217292,2025-06-14 20:14:52.613809,0 days 00:00:01.396517,,,,,,,,366,0.005,1m,3.5,4.0,1.7000000000000002,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.0,0.002,4m,3.0,1.0,0.6,42.0,0.3,2,COMPLETE
110,110,-100.0,2025-06-14 20:14:52.688093,2025-06-14 20:14:53.526733,0 days 00:00:00.838640,,,,,,,,376,0.001,3m,4.0,3.5,0.8,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
111,111,-3.5881703843420487,2025-06-14 20:14:53.580969,2025-06-14 20:14:54.426223,0 days 00:00:00.845254,,,,,,,,448,0.001,1m,4.0,3.0,1.5,922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
112,112,3.203318340142175,2025-06-14 20:14:54.470194,2025-06-14 20:14:55.233881,0 days 00:00:00.763687,,,,,,,,524,0.001,1m,4.0,3.0,1.6,734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
113,113,3.438891223473512,2025-06-14 20:14:55.260009,2025-06-14 20:14:56.085805,0 days 00:00:00.825796,,,,,,,,536,0.001,1m,4.0,3.5,1.6,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
114,114,3.4803094529016234,2025-06-14 20:14:56.116140,2025-06-14 20:14:56.945329,0 days 00:00:00.829189,,,,,,,,538,0.001,1m,4.0,3.5,1.6,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
115,115,2.2336120670438246,2025-06-14 20:14:56.983040,2025-06-14 20:14:57.829366,0 days 00:00:00.846326,,,,,,,,550,0.001,1m,4.0,3.5,1.6,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
116,116,3.2092623737172916,2025-06-14 20:14:57.867239,2025-06-14 20:14:58.679391,0 days 00:00:00.812152,,,,,,,,536,0.001,1m,4.0,3.5,1.6,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
117,117,3.7073158696434136,2025-06-14 20:14:58.719761,2025-06-14 20:14:59.562577,0 days 00:00:00.842816,,,,,,,,526,0.001,1m,4.0,3.5,1.6,772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
118,118,-100.0,2025-06-14 20:14:59.585954,2025-06-14 20:15:00.411286,0 days 00:00:00.825332,,,,,,,,522,0.002,4m,4.0,3.5,1.6,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
119,119,0.015060664836209985,2025-06-14 20:15:00.436866,2025-06-14 20:15:01.235742,0 days 00:00:00.798876,,,,,,,,480,0.001,2m,4.0,3.5,1.5,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
120,120,3.3655760311845713,2025-06-14 20:15:01.289446,2025-06-14 20:15:02.061849,0 days 00:00:00.772403,,,,,,,,536,0.001,1m,4.0,3.5,1.6,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
121,121,2.703398882307232,2025-06-14 20:15:02.085545,2025-06-14 20:15:02.861398,0 days 00:00:00.775853,,,,,,,,536,0.001,1m,4.0,3.5,1.6,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
122,122,2.662142557623939,2025-06-14 20:15:02.901991,2025-06-14 20:15:03.717893,0 days 00:00:00.815902,,,,,,,,506,0.001,1m,4.0,3.5,1.5,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
123,123,-9.559377305314403,2025-06-14 20:15:03.776598,2025-06-14 20:15:04.602091,0 days 00:00:00.825493,,,,,,,,512,0.001,1m,1.0,3.5,1.6,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
124,124,1.875586604827688,2025-06-14 20:15:04.634373,2025-06-14 20:15:05.464125,0 days 00:00:00.829752,,,,,,,,590,0.001,1m,4.0,3.5,1.6,734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
125,125,3.491561374921714,2025-06-14 20:15:05.504796,2025-06-14 20:15:06.305066,0 days 00:00:00.800270,,,,,,,,540,0.001,1m,4.0,3.5,1.6,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
126,126,2.4648149027943207,2025-06-14 20:15:06.353528,2025-06-14 20:15:07.143089,0 days 00:00:00.789561,,,,,,,,550,0.001,1m,4.0,3.5,1.7000000000000002,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
127,127,-3.3942467462397543,2025-06-14 20:15:07.179675,2025-06-14 20:15:07.941737,0 days 00:00:00.762062,,,,,,,,460,0.001,1m,2.0,3.5,1.6,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
128,128,-24.284536722861667,2025-06-14 20:15:07.977046,2025-06-14 20:15:09.429667,0 days 00:00:01.452621,,,,,,,,532,0.001,1m,4.0,3.0,1.7000000000000002,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,0.01,4m,1.0,3.5,0.7,252.0,0.15000000000000002,2,COMPLETE
129,129,3.208121231024142,2025-06-14 20:15:09.472720,2025-06-14 20:15:10.255752,0 days 00:00:00.783032,,,,,,,,490,0.001,1m,4.0,3.5,1.6,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
130,130,3.2051644651911704,2025-06-14 20:15:10.317222,2025-06-14 20:15:11.110002,0 days 00:00:00.792780,,,,,,,,490,0.002,1m,4.0,3.5,1.5,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
131,131,1.3005658011819023,2025-06-14 20:15:11.137900,2025-06-14 20:15:11.867011,0 days 00:00:00.729111,,,,,,,,482,0.002,1m,4.0,3.5,1.5,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
132,132,3.2172102341076783,2025-06-14 20:15:11.902151,2025-06-14 20:15:12.729446,0 days 00:00:00.827295,,,,,,,,494,0.001,1m,4.0,3.5,1.6,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
133,133,1.3902173785123082,2025-06-14 20:15:12.770077,2025-06-14 20:15:13.578596,0 days 00:00:00.808519,,,,,,,,582,0.001,1m,4.0,3.5,1.6,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
134,134,1.927015260195342,2025-06-14 20:15:13.621433,2025-06-14 20:15:14.457317,0 days 00:00:00.835884,,,,,,,,442,0.001,1m,4.0,3.5,1.6,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
135,135,2.3674116830836645,2025-06-14 20:15:14.504866,2025-06-14 20:15:15.260531,0 days 00:00:00.755665,,,,,,,,556,0.001,1m,4.0,3.5,1.5,794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
136,136,2.662120966182587,2025-06-14 20:15:15.291813,2025-06-14 20:15:16.078864,0 days 00:00:00.787051,,,,,,,,514,0.001,1m,4.0,3.5,1.5,698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
137,137,3.072924590977403,2025-06-14 20:15:16.129280,2025-06-14 20:15:16.888828,0 days 00:00:00.759548,,,,,,,,464,0.001,1m,4.0,3.5,1.6,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
138,138,-14.273270777248378,2025-06-14 20:15:16.934906,2025-06-14 20:15:18.334693,0 days 00:00:01.399787,,,,,,,,494,0.002,1m,4.0,3.0,1.6,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.001,4m,1.5,4.0,0.8,88.0,0.2,2,COMPLETE
139,139,2.02316470512496,2025-06-14 20:15:18.372392,2025-06-14 20:15:19.174424,0 days 00:00:00.802032,,,,,,,,600,0.001,1m,4.0,3.5,1.4,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
140,140,-9.56910373963083,2025-06-14 20:15:19.226059,2025-06-14 20:15:20.603937,0 days 00:00:01.377878,,,,,,,,458,0.002,1m,1.5,3.5,1.7000000000000002,736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.002,4m,1.0,3.5,1.8,142.0,0.2,2,COMPLETE
141,141,0.9603082027064255,2025-06-14 20:15:20.656666,2025-06-14 20:15:21.445518,0 days 00:00:00.788852,,,,,,,,476,0.001,1m,4.0,3.5,1.6,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
142,142,3.2124440692121197,2025-06-14 20:15:21.479374,2025-06-14 20:15:22.275393,0 days 00:00:00.796019,,,,,,,,528,0.001,1m,4.0,3.5,1.6,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
143,143,3.6756642267735447,2025-06-14 20:15:22.313563,2025-06-14 20:15:23.110557,0 days 00:00:00.796994,,,,,,,,532,0.001,1m,4.0,3.5,1.6,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
144,144,2.2199758526841773,2025-06-14 20:15:23.166426,2025-06-14 20:15:23.948109,0 days 00:00:00.781683,,,,,,,,564,0.001,1m,4.0,3.5,1.5,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
145,145,3.2124685097864782,2025-06-14 20:15:23.978199,2025-06-14 20:15:24.727041,0 days 00:00:00.748842,,,,,,,,534,0.001,1m,4.0,3.5,1.6,732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
146,146,3.2125033498762368,2025-06-14 20:15:24.773137,2025-06-14 20:15:25.594978,0 days 00:00:00.821841,,,,,,,,536,0.001,1m,4.0,3.5,1.6,734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
147,147,2.6578741346651027,2025-06-14 20:15:25.618888,2025-06-14 20:15:26.355379,0 days 00:00:00.736491,,,,,,,,536,0.001,1m,4.0,3.5,1.6,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
148,148,0.6682685707556227,2025-06-14 20:15:26.433284,2025-06-14 20:15:27.272567,0 days 00:00:00.839283,,,,,,,,576,0.001,1m,4.0,3.5,1.5,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
149,149,0.13242949876767496,2025-06-14 20:15:27.316929,2025-06-14 20:15:28.114109,0 days 00:00:00.797180,,,,,,,,522,0.001,3m,4.0,3.5,1.6,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
