,number,value,datetime_start,datetime_complete,duration,params_ADP_ASML_beta_win,params_ADP_ASML_stop_loss,params_ADP_ASML_trade_freq,params_ADP_ASML_z_entry,params_ADP_ASML_z_exit,params_ADP_ASML_z_stop_scaler,params_ADP_ASML_z_win,params_ADP_PAYX_beta_win,params_ADP_PAYX_stop_loss,params_ADP_PAYX_trade_freq,params_ADP_PAYX_z_entry,params_ADP_PAYX_z_exit,params_ADP_PAYX_z_stop_scaler,params_ADP_PAYX_z_win,params_ADP_XEL_beta_win,params_ADP_XEL_stop_loss,params_ADP_XEL_trade_freq,params_ADP_XEL_z_entry,params_ADP_XEL_z_exit,params_ADP_XEL_z_stop_scaler,params_ADP_XEL_z_win,params_AMGN_ANSS_beta_win,params_AMGN_ANSS_stop_loss,params_AMGN_ANSS_trade_freq,params_AMGN_ANSS_z_entry,params_AMGN_ANSS_z_exit,params_AMGN_ANSS_z_stop_scaler,params_AMGN_ANSS_z_win,params_AMZN_MRVL_beta_win,params_AMZN_MRVL_stop_loss,params_AMZN_MRVL_trade_freq,params_AMZN_MRVL_z_entry,params_AMZN_MRVL_z_exit,params_AMZN_MRVL_z_stop_scaler,params_AMZN_MRVL_z_win,params_AZN_ANSS_beta_win,params_AZN_ANSS_stop_loss,params_AZN_ANSS_trade_freq,params_AZN_ANSS_z_entry,params_AZN_ANSS_z_exit,params_AZN_ANSS_z_stop_scaler,params_AZN_ANSS_z_win,params_CSCO_DASH_beta_win,params_CSCO_DASH_stop_loss,params_CSCO_DASH_trade_freq,params_CSCO_DASH_z_entry,params_CSCO_DASH_z_exit,params_CSCO_DASH_z_stop_scaler,params_CSCO_DASH_z_win,params_CSCO_FTNT_beta_win,params_CSCO_FTNT_stop_loss,params_CSCO_FTNT_trade_freq,params_CSCO_FTNT_z_entry,params_CSCO_FTNT_z_exit,params_CSCO_FTNT_z_stop_scaler,params_CSCO_FTNT_z_win,params_CSCO_META_beta_win,params_CSCO_META_stop_loss,params_CSCO_META_trade_freq,params_CSCO_META_z_entry,params_CSCO_META_z_exit,params_CSCO_META_z_stop_scaler,params_CSCO_META_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_buffer_capital,params_pairs_to_trade,state
22,22,1.4236819565627417,2025-06-14 20:12:07.056795,2025-06-14 20:12:08.093468,0 days 00:00:01.036673,,,,,,,,854,0.007,1m,3.0,1.5,1.8,924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
23,23,-10.98416310434678,2025-06-14 20:12:08.130039,2025-06-14 20:12:10.016186,0 days 00:00:01.886147,,,,,,,,886,0.007,1m,2.5,1.5,1.8,922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.0,0.006,1m,1.5,3.5,0.9,418.0,0.4,2,COMPLETE
24,24,-0.15250608827502907,2025-06-14 20:12:10.077551,2025-06-14 20:12:11.064433,0 days 00:00:00.986882,,,,,,,,730,0.003,1m,3.5,2.0,2.0,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
25,25,-7.226138588253544,2025-06-14 20:12:11.145432,2025-06-14 20:12:14.621660,0 days 00:00:03.476228,,,,,,,,894,0.005,1m,2.0,1.5,1.8,1022,,,,,,,,762.0,0.008,3m,2.0,2.5,1.0,28.0,,,,,,,,374.0,0.01,4m,1.0,1.0,0.5,1000.0,,,,,,,,,,,,,,,,,,,,,,500.0,0.003,4m,3.0,2.0,2.0,694.0,0.3,4,COMPLETE
26,26,-4.024671375392503,2025-06-14 20:12:14.687547,2025-06-14 20:12:17.262188,0 days 00:00:02.574641,,,,,,,,772,0.01,3m,3.0,1.5,1.7000000000000002,906,,,,,,,,,,,,,,,,,,,,,,732.0,0.004,3m,2.0,4.0,0.9,686.0,,,,,,,,,,,,,,,,,,,,,,316.0,0.008,3m,2.0,1.5,1.3,312.0,0.4,3,COMPLETE
27,27,-34.226226181562666,2025-06-14 20:12:17.322389,2025-06-14 20:12:19.240826,0 days 00:00:01.918437,,,,,,,,840,0.003,2m,2.5,3.0,1.4,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.0,0.004,2m,1.0,3.5,1.0,478.0,0.35000000000000003,2,COMPLETE
28,28,-3.9219711622675044,2025-06-14 20:12:19.296605,2025-06-14 20:12:20.310646,0 days 00:00:01.014041,,,,,,,,546,0.007,4m,3.5,1.0,1.1,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
29,29,-2.616041136385656,2025-06-14 20:12:20.356626,2025-06-14 20:12:22.948249,0 days 00:00:02.591623,,,,,,,,706,0.008,3m,2.5,2.0,1.3,778,,,,,,,,,,,,,,,,,,,,,,232.0,0.005,2m,3.0,2.5,1.5,208.0,,,,,,,,,,,,,,,,,,,,,,538.0,0.006,4m,4.0,1.0,0.6,124.0,0.5,3,COMPLETE
30,30,-1.5076341542986815,2025-06-14 20:12:23.016825,2025-06-14 20:12:24.847520,0 days 00:00:01.830695,,,,,,,,920,0.006,1m,3.0,2.0,1.5,924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.0,0.009000000000000001,3m,3.0,2.5,1.5,1024.0,0.45,2,COMPLETE
31,31,0.4318172173301263,2025-06-14 20:12:24.944777,2025-06-14 20:12:25.960958,0 days 00:00:01.016181,,,,,,,,620,0.006,1m,3.0,1.0,0.7,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
