,number,value,datetime_start,datetime_complete,duration,params_ABNB_NXPI_beta_win,params_ABNB_NXPI_stop_loss,params_ABNB_NXPI_trade_freq,params_ABNB_NXPI_z_entry,params_ABNB_NXPI_z_exit,params_ABNB_NXPI_z_stop_scaler,params_ABNB_NXPI_z_win,params_CTSH_MAR_beta_win,params_CTSH_MAR_stop_loss,params_CTSH_MAR_trade_freq,params_CTSH_MAR_z_entry,params_CTSH_MAR_z_exit,params_CTSH_MAR_z_stop_scaler,params_CTSH_MAR_z_win,params_DASH_KLAC_beta_win,params_DASH_KLAC_stop_loss,params_DASH_KLAC_trade_freq,params_DASH_KLAC_z_entry,params_DASH_KLAC_z_exit,params_DASH_KLAC_z_stop_scaler,params_DASH_KLAC_z_win,params_DASH_LRCX_beta_win,params_DASH_LRCX_stop_loss,params_DASH_LRCX_trade_freq,params_DASH_LRCX_z_entry,params_DASH_LRCX_z_exit,params_DASH_LRCX_z_stop_scaler,params_DASH_LRCX_z_win,params_DXCM_HON_beta_win,params_DXCM_HON_stop_loss,params_DXCM_HON_trade_freq,params_DXCM_HON_z_entry,params_DXCM_HON_z_exit,params_DXCM_HON_z_stop_scaler,params_DXCM_HON_z_win,params_GOOGL_VRSK_beta_win,params_GOOGL_VRSK_stop_loss,params_GOOGL_VRSK_trade_freq,params_GOOGL_VRSK_z_entry,params_GOOGL_VRSK_z_exit,params_GOOGL_VRSK_z_stop_scaler,params_GOOGL_VRSK_z_win,params_GOOG_VRSK_beta_win,params_GOOG_VRSK_stop_loss,params_GOOG_VRSK_trade_freq,params_GOOG_VRSK_z_entry,params_GOOG_VRSK_z_exit,params_GOOG_VRSK_z_stop_scaler,params_GOOG_VRSK_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_MU_CTAS_beta_win,params_MU_CTAS_stop_loss,params_MU_CTAS_trade_freq,params_MU_CTAS_z_entry,params_MU_CTAS_z_exit,params_MU_CTAS_z_stop_scaler,params_MU_CTAS_z_win,params_PYPL_GFS_beta_win,params_PYPL_GFS_stop_loss,params_PYPL_GFS_trade_freq,params_PYPL_GFS_z_entry,params_PYPL_GFS_z_exit,params_PYPL_GFS_z_stop_scaler,params_PYPL_GFS_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-2.9595844047546094,2025-06-14 19:46:25.709605,2025-06-14 19:46:29.140632,0 days 00:00:03.431027,,,,,,,,192.0,0.003,1m,3.0,3.5,2.0,434.0,704,0.008,2m,4.0,1.5,1.8,394,748.0,0.001,3m,1.5,2.5,2.0,1004.0,,,,,,,,330.0,0.003,4m,3.5,1.0,0.5,460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,4,COMPLETE
21,21,0.17409859623816215,2025-06-14 19:46:29.235991,2025-06-14 19:46:33.136009,0 days 00:00:03.900018,,,,,,,,602.0,0.008,2m,2.0,2.5,0.9,628.0,236,0.008,1m,4.0,1.0,0.5,782,366.0,0.006,3m,3.0,1.0,1.0,262.0,,,,,,,,308.0,0.008,2m,2.0,4.0,1.6,824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,4,COMPLETE
22,22,-2.6082309289154653,2025-06-14 19:46:33.222674,2025-06-14 19:46:35.962835,0 days 00:00:02.740161,,,,,,,,718.0,0.008,2m,2.0,2.0,1.0,688.0,168,0.007,1m,3.5,1.0,1.0,850,384.0,0.006,3m,3.0,1.0,0.9,284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
23,23,0.18388820137189202,2025-06-14 19:46:36.046604,2025-06-14 19:46:41.653526,0 days 00:00:05.606922,,,,,,,,670.0,0.009000000000000001,2m,2.0,2.5,0.5,856.0,328,0.01,1m,4.0,1.0,1.5,1000,220.0,0.005,3m,3.5,2.0,0.5,634.0,694.0,0.01,1m,4.0,2.0,0.6,22.0,346.0,0.008,2m,2.0,4.0,1.5,746.0,,,,,,,,,,,,,,,,,,,,,,652.0,0.01,2m,1.0,3.0,2.0,706.0,0.4,6,COMPLETE
24,24,-3.1775247751725852,2025-06-14 19:46:41.735086,2025-06-14 19:46:52.308352,0 days 00:00:10.573266,,,,,,,,700.0,0.009000000000000001,2m,1.0,3.0,0.5,858.0,380,0.01,1m,3.5,1.5,1.5,576,208.0,0.004,3m,3.5,2.0,0.5,634.0,694.0,0.009000000000000001,1m,4.0,2.0,0.5,24.0,726.0,0.007,2m,2.0,3.0,1.0,694.0,,,,,,,,,,,,,,,,,,,,,,674.0,0.01,2m,1.0,3.0,2.0,710.0,0.4,6,COMPLETE
25,25,-0.1511963978310735,2025-06-14 19:46:52.455573,2025-06-14 19:47:08.423165,0 days 00:00:15.967592,942.0,0.001,1m,4.0,4.0,0.5,990.0,484.0,0.006,2m,1.5,2.5,1.4,810.0,470,0.01,1m,4.0,1.0,1.7000000000000002,1018,646.0,0.005,4m,2.0,2.0,0.7,604.0,696.0,0.01,1m,3.0,2.5,0.9,272.0,340.0,0.008,2m,2.5,2.5,1.4,450.0,,,,,,,,,,,,,,,,,,,,,,352.0,0.008,2m,1.5,2.5,1.6,636.0,0.3,7,COMPLETE
26,26,-1.2252722254055664,2025-06-14 19:47:08.529208,2025-06-14 19:47:15.205525,0 days 00:00:06.676317,74.0,0.01,3m,3.5,4.0,2.0,72.0,324.0,0.009000000000000001,4m,2.0,1.5,0.6,940.0,314,0.009000000000000001,4m,3.5,1.5,1.8,252,856.0,0.01,3m,3.5,2.5,0.5,766.0,658.0,0.007,3m,2.0,2.0,0.9,690.0,438.0,0.003,3m,1.5,3.5,1.1,722.0,,,,,,,,,,,,,,,,,,,,,,730.0,0.01,2m,2.0,4.0,1.0,26.0,0.35000000000000003,7,COMPLETE
27,27,1.0643313698402097,2025-06-14 19:47:15.282082,2025-06-14 19:47:17.216006,0 days 00:00:01.933924,,,,,,,,110.0,0.006,3m,3.0,3.5,1.2000000000000002,244.0,146,0.003,2m,3.0,2.0,1.5,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
28,28,-3.593789685464828,2025-06-14 19:47:17.289475,2025-06-14 19:47:19.062509,0 days 00:00:01.773034,,,,,,,,82.0,0.006,3m,3.0,3.5,1.6,202.0,18,0.002,2m,2.0,2.0,1.9000000000000001,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
29,29,-3.164888126381526,2025-06-14 19:47:19.138858,2025-06-14 19:47:20.268783,0 days 00:00:01.129925,,,,,,,,,,,,,,,150,0.003,3m,3.0,2.5,1.4,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
