,number,value,datetime_start,datetime_complete,duration,params_AMAT_TXN_beta_win,params_AMAT_TXN_stop_loss,params_AMAT_TXN_trade_freq,params_AMAT_TXN_z_entry,params_AMAT_TXN_z_exit,params_AMAT_TXN_z_stop_scaler,params_AMAT_TXN_z_win,params_AMZN_SIRI_beta_win,params_AMZN_SIRI_stop_loss,params_AMZN_SIRI_trade_freq,params_AMZN_SIRI_z_entry,params_AMZN_SIRI_z_exit,params_AMZN_SIRI_z_stop_scaler,params_AMZN_SIRI_z_win,params_BKNG_ZM_beta_win,params_BKNG_ZM_stop_loss,params_BKNG_ZM_trade_freq,params_BKNG_ZM_z_entry,params_BKNG_ZM_z_exit,params_BKNG_ZM_z_stop_scaler,params_BKNG_ZM_z_win,params_COST_PCAR_beta_win,params_COST_PCAR_stop_loss,params_COST_PCAR_trade_freq,params_COST_PCAR_z_entry,params_COST_PCAR_z_exit,params_COST_PCAR_z_stop_scaler,params_COST_PCAR_z_win,params_CSCO_TXN_beta_win,params_CSCO_TXN_stop_loss,params_CSCO_TXN_trade_freq,params_CSCO_TXN_z_entry,params_CSCO_TXN_z_exit,params_CSCO_TXN_z_stop_scaler,params_CSCO_TXN_z_win,params_CTAS_PCAR_beta_win,params_CTAS_PCAR_stop_loss,params_CTAS_PCAR_trade_freq,params_CTAS_PCAR_z_entry,params_CTAS_PCAR_z_exit,params_CTAS_PCAR_z_stop_scaler,params_CTAS_PCAR_z_win,params_JD_SIRI_beta_win,params_JD_SIRI_stop_loss,params_JD_SIRI_trade_freq,params_JD_SIRI_z_entry,params_JD_SIRI_z_exit,params_JD_SIRI_z_stop_scaler,params_JD_SIRI_z_win,params_LULU_PCAR_beta_win,params_LULU_PCAR_stop_loss,params_LULU_PCAR_trade_freq,params_LULU_PCAR_z_entry,params_LULU_PCAR_z_exit,params_LULU_PCAR_z_stop_scaler,params_LULU_PCAR_z_win,params_MDLZ_SIRI_beta_win,params_MDLZ_SIRI_stop_loss,params_MDLZ_SIRI_trade_freq,params_MDLZ_SIRI_z_entry,params_MDLZ_SIRI_z_exit,params_MDLZ_SIRI_z_stop_scaler,params_MDLZ_SIRI_z_win,params_SGEN_SIRI_beta_win,params_SGEN_SIRI_stop_loss,params_SGEN_SIRI_trade_freq,params_SGEN_SIRI_z_entry,params_SGEN_SIRI_z_exit,params_SGEN_SIRI_z_stop_scaler,params_SGEN_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-2.9284636678565974,2025-06-14 19:00:00.835048,2025-06-14 19:00:06.157582,0 days 00:00:05.322534,,,,,,,,,,,,,,,16.0,0.008,3m,3.5,1.0,1.3,1008.0,338.0,0.009000000000000001,3m,1.5,2.5,1.0,840.0,574.0,0.004,4m,1.5,3.0,1.4,194.0,,,,,,,,162.0,0.007,1m,3.0,1.0,0.5,252.0,442,0.008,4m,2.5,3.0,1.4,370,438.0,0.007,3m,2.0,4.0,1.4,390.0,,,,,,,,0.4,6,COMPLETE
21,21,0.27527397244420765,2025-06-14 19:00:06.218433,2025-06-14 19:00:09.011675,0 days 00:00:02.793242,,,,,,,,,,,,,,,,,,,,,,818.0,0.01,3m,3.5,2.5,1.5,466.0,,,,,,,,,,,,,,,,,,,,,,900,0.003,3m,2.0,2.5,0.5,610,872.0,0.008,2m,3.5,3.0,1.6,746.0,,,,,,,,0.1,3,COMPLETE
22,22,1.927622641330074,2025-06-14 19:00:09.101949,2025-06-14 19:00:11.032663,0 days 00:00:01.930714,,,,,,,,,,,,,,,,,,,,,,760.0,0.009000000000000001,3m,4.0,2.0,1.6,318.0,,,,,,,,,,,,,,,,,,,,,,592,0.003,3m,1.0,2.5,0.7,712,,,,,,,,,,,,,,,0.1,2,COMPLETE
23,23,2.254222593929236,2025-06-14 19:00:11.111637,2025-06-14 19:00:13.039728,0 days 00:00:01.928091,,,,,,,,,,,,,,,,,,,,,,724.0,0.009000000000000001,3m,4.0,2.0,1.8,340.0,,,,,,,,,,,,,,,,,,,,,,612,0.004,3m,1.0,1.5,0.7,790,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
24,24,-6.039001639553864,2025-06-14 19:00:13.095341,2025-06-14 19:00:14.953198,0 days 00:00:01.857857,,,,,,,,,,,,,,,,,,,,,,508.0,0.006,1m,3.0,1.5,2.0,266.0,,,,,,,,,,,,,,,,,,,,,,344,0.005,3m,1.0,1.5,1.0,918,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
25,25,-3.2804693126039526,2025-06-14 19:00:15.046260,2025-06-14 19:00:18.799746,0 days 00:00:03.753486,,,,,,,,,,,,,,,326.0,0.005,4m,1.0,2.5,1.1,378.0,898.0,0.008,3m,4.0,1.5,1.8,118.0,,,,,,,,,,,,,,,,,,,,,,700,0.002,3m,1.5,2.0,0.6,792,646.0,0.001,4m,2.0,2.0,1.1,114.0,,,,,,,,0.25,4,COMPLETE
26,26,-6.204845955690932,2025-06-14 19:00:18.861532,2025-06-14 19:00:19.813070,0 days 00:00:00.951538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506,0.006,2m,1.0,1.5,0.5,526,,,,,,,,,,,,,,,0.2,1,COMPLETE
27,27,-5.424501561884684,2025-06-14 19:00:19.884409,2025-06-14 19:00:21.829380,0 days 00:00:01.944971,,,,,,,,,,,,,,,,,,,,,,536.0,0.009000000000000001,3m,3.0,3.0,1.8,656.0,,,,,,,,,,,,,,,,,,,,,,824,0.004,1m,1.5,1.0,0.9,182,,,,,,,,,,,,,,,0.3,2,COMPLETE
28,28,-3.381817032027527,2025-06-14 19:00:21.894086,2025-06-14 19:00:29.947022,0 days 00:00:08.052936,994.0,0.005,3m,2.0,2.0,1.2000000000000002,462.0,,,,,,,,776.0,0.006,2m,2.0,3.5,1.5,660.0,706.0,0.007,1m,2.0,2.0,2.0,370.0,156.0,0.008,2m,2.0,3.5,1.8,458.0,564.0,0.001,2m,3.0,4.0,1.1,200.0,834.0,0.003,3m,1.5,2.5,1.0,588.0,272,0.01,3m,4.0,2.0,0.7,464,204.0,0.01,3m,3.0,3.5,0.5,158.0,576.0,0.004,3m,2.0,2.0,0.9,442.0,0.15000000000000002,9,COMPLETE
29,29,-0.9545219490423288,2025-06-14 19:00:30.007755,2025-06-14 19:00:33.784008,0 days 00:00:03.776253,,,,,,,,,,,,,,,138.0,0.003,2m,3.5,4.0,0.8,386.0,918.0,0.009000000000000001,4m,4.0,1.0,1.7000000000000002,190.0,,,,,,,,,,,,,,,,,,,,,,356,0.008,4m,3.5,1.5,1.2000000000000002,546,478.0,0.004,3m,2.0,2.5,0.8,374.0,,,,,,,,0.25,4,COMPLETE
