,number,value,datetime_start,datetime_complete,duration,params_ALGN_ZS_beta_win,params_ALGN_ZS_stop_loss,params_ALGN_ZS_trade_freq,params_ALGN_ZS_z_entry,params_ALGN_ZS_z_exit,params_ALGN_ZS_z_stop_scaler,params_ALGN_ZS_z_win,params_ANSS_PYPL_beta_win,params_ANSS_PYPL_stop_loss,params_ANSS_PYPL_trade_freq,params_ANSS_PYPL_z_entry,params_ANSS_PYPL_z_exit,params_ANSS_PYPL_z_stop_scaler,params_ANSS_PYPL_z_win,params_ASML_EBAY_beta_win,params_ASML_EBAY_stop_loss,params_ASML_EBAY_trade_freq,params_ASML_EBAY_z_entry,params_ASML_EBAY_z_exit,params_ASML_EBAY_z_stop_scaler,params_ASML_EBAY_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_INTU_PYPL_beta_win,params_INTU_PYPL_stop_loss,params_INTU_PYPL_trade_freq,params_INTU_PYPL_z_entry,params_INTU_PYPL_z_exit,params_INTU_PYPL_z_stop_scaler,params_INTU_PYPL_z_win,params_KLAC_PYPL_beta_win,params_KLAC_PYPL_stop_loss,params_KLAC_PYPL_trade_freq,params_KLAC_PYPL_z_entry,params_KLAC_PYPL_z_exit,params_KLAC_PYPL_z_stop_scaler,params_KLAC_PYPL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_NVDA_PYPL_beta_win,params_NVDA_PYPL_stop_loss,params_NVDA_PYPL_trade_freq,params_NVDA_PYPL_z_entry,params_NVDA_PYPL_z_exit,params_NVDA_PYPL_z_stop_scaler,params_NVDA_PYPL_z_win,params_NXPI_PYPL_beta_win,params_NXPI_PYPL_stop_loss,params_NXPI_PYPL_trade_freq,params_NXPI_PYPL_z_entry,params_NXPI_PYPL_z_exit,params_NXPI_PYPL_z_stop_scaler,params_NXPI_PYPL_z_win,params_OKTA_SWKS_beta_win,params_OKTA_SWKS_stop_loss,params_OKTA_SWKS_trade_freq,params_OKTA_SWKS_z_entry,params_OKTA_SWKS_z_exit,params_OKTA_SWKS_z_stop_scaler,params_OKTA_SWKS_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-1.5137147777284914,2025-06-14 19:17:14.801501,2025-06-14 19:17:21.758430,0 days 00:00:06.956929,38.0,0.01,3m,4.0,4.0,1.9000000000000001,28.0,680.0,0.008,4m,2.0,1.5,1.6,646.0,526.0,0.002,1m,2.5,2.5,1.1,676.0,,,,,,,,112,0.005,3m,4.0,3.5,1.8,550,432.0,0.005,2m,3.5,3.0,1.5,416.0,,,,,,,,166.0,0.005,4m,2.0,3.0,0.8,480.0,634.0,0.002,3m,3.5,4.0,1.5,926.0,358.0,0.003,3m,2.5,3.0,1.3,736.0,0.35000000000000003,8,COMPLETE
21,21,1.2510810513983124,2025-06-14 19:17:21.837591,2025-06-14 19:17:23.628355,0 days 00:00:01.790764,,,,,,,,,,,,,,,438.0,0.008,2m,3.0,4.0,2.0,782.0,,,,,,,,256,0.001,1m,3.5,3.5,1.4,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
22,22,-3.8206456975346055,2025-06-14 19:17:23.685178,2025-06-14 19:17:25.501826,0 days 00:00:01.816648,,,,,,,,,,,,,,,300.0,0.009000000000000001,2m,3.0,4.0,2.0,862.0,,,,,,,,328,0.002,1m,3.5,3.0,1.0,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
23,23,-2.989210345201693,2025-06-14 19:17:25.558885,2025-06-14 19:17:27.424037,0 days 00:00:01.865152,,,,,,,,,,,,,,,474.0,0.008,2m,2.5,3.5,1.8,722.0,,,,,,,,168,0.003,1m,3.0,3.5,1.4,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
24,24,-3.2127248370000685,2025-06-14 19:17:27.481508,2025-06-14 19:17:30.943254,0 days 00:00:03.461746,,,,,,,,,,,,,,,610.0,0.006,2m,3.5,4.0,1.7000000000000002,952.0,,,,,,,,244,0.007,1m,4.0,4.0,1.8,106,158.0,0.008,4m,1.0,3.0,0.5,726.0,,,,,,,,658.0,0.003,2m,3.0,2.5,1.8,364.0,,,,,,,,,,,,,,,0.3,4,COMPLETE
25,25,-0.39168292541107785,2025-06-14 19:17:31.025651,2025-06-14 19:17:32.110460,0 days 00:00:01.084809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,0.002,1m,3.5,3.0,1.2000000000000002,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
26,26,3.1803520265225322,2025-06-14 19:17:32.211596,2025-06-14 19:17:36.850990,0 days 00:00:04.639394,,,,,,,,290.0,0.004,1m,2.5,3.0,0.9,32.0,152.0,0.009000000000000001,2m,3.0,3.0,1.9000000000000001,818.0,,,,,,,,24,0.005,2m,2.5,2.5,2.0,108,368.0,0.004,1m,2.0,2.0,1.4,384.0,,,,,,,,874.0,0.006,3m,2.0,2.0,1.4,1000.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
27,27,-0.29872707443698976,2025-06-14 19:17:36.911719,2025-06-14 19:17:39.569157,0 days 00:00:02.657438,,,,,,,,,,,,,,,270.0,0.009000000000000001,2m,2.5,3.5,1.5,646.0,,,,,,,,334,0.009000000000000001,4m,3.5,3.5,1.7000000000000002,580,,,,,,,,,,,,,,,374.0,0.003,2m,4.0,3.5,1.1,858.0,,,,,,,,,,,,,,,0.45,3,COMPLETE
28,28,-0.7508979923239869,2025-06-14 19:17:39.647855,2025-06-14 19:17:41.575622,0 days 00:00:01.927767,,,,,,,,,,,,,,,92.0,0.006,1m,3.0,2.0,1.9000000000000001,500.0,,,,,,,,194,0.008,1m,4.0,2.0,1.4,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
29,29,0.17404898371109234,2025-06-14 19:17:41.648983,2025-06-14 19:17:45.124525,0 days 00:00:03.475542,,,,,,,,,,,,,,,416.0,0.008,4m,2.0,4.0,0.5,1024.0,,,,,,,,344,0.01,3m,3.5,2.5,1.2000000000000002,488,766.0,0.006,1m,3.5,3.5,1.8,854.0,,,,,,,,654.0,0.01,3m,3.0,4.0,0.5,472.0,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
30,30,-2.457576954097005,2025-06-14 19:17:45.185611,2025-06-14 19:17:51.946425,0 days 00:00:06.760814,1024.0,0.006,2m,1.0,2.5,2.0,940.0,816.0,0.005,3m,1.5,1.5,1.3,626.0,256.0,0.004,3m,3.5,3.0,1.6,758.0,,,,,,,,98,0.003,2m,2.5,1.0,1.3,344,534.0,0.008,3m,2.5,2.0,0.9,22.0,,,,,,,,148.0,0.004,4m,1.5,3.0,1.5,16.0,756.0,0.009000000000000001,2m,2.0,3.0,0.9,314.0,864.0,0.008,2m,4.0,2.0,2.0,352.0,0.5,8,COMPLETE
31,31,2.784789996745797,2025-06-14 19:17:52.031098,2025-06-14 19:17:56.483278,0 days 00:00:04.452180,,,,,,,,306.0,0.004,1m,2.5,3.0,0.9,60.0,140.0,0.009000000000000001,2m,3.0,3.0,1.9000000000000001,826.0,,,,,,,,42,0.005,2m,2.5,2.5,2.0,80,364.0,0.004,1m,2.0,2.0,1.4,396.0,,,,,,,,878.0,0.006,3m,2.0,2.0,1.2000000000000002,984.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
32,32,0.4010449443363332,2025-06-14 19:17:56.558464,2025-06-14 19:18:01.928175,0 days 00:00:05.369711,,,,,,,,270.0,0.001,1m,3.0,3.0,0.8,272.0,152.0,0.009000000000000001,2m,2.5,3.0,2.0,954.0,,,,,,,,20,0.006,2m,3.0,3.0,1.9000000000000001,128,136.0,0.003,1m,1.5,2.5,1.2000000000000002,540.0,,,,,,,,862.0,0.006,3m,2.0,2.0,1.8,882.0,210.0,0.005,2m,3.0,2.0,0.6,752.0,,,,,,,,0.15000000000000002,6,COMPLETE
33,33,-0.5335006593953231,2025-06-14 19:18:02.627760,2025-06-14 19:18:05.299410,0 days 00:00:02.671650,,,,,,,,,,,,,,,108.0,0.009000000000000001,2m,3.0,3.0,1.8,816.0,,,,,,,,120,0.009000000000000001,2m,2.0,1.5,2.0,96,,,,,,,,,,,,,,,904.0,0.007,3m,1.0,2.5,1.4,680.0,,,,,,,,,,,,,,,0.1,3,COMPLETE
34,34,2.2766266203908705,2025-06-14 19:18:05.356657,2025-06-14 19:18:10.083858,0 days 00:00:04.727201,,,,,,,,544.0,0.004,1m,1.5,3.0,0.5,154.0,190.0,0.01,2m,3.0,3.5,1.7000000000000002,902.0,,,,,,,,206,0.002,4m,1.0,2.0,1.9000000000000001,224,336.0,0.004,1m,1.5,1.0,1.5,360.0,,,,,,,,660.0,0.005,3m,2.5,1.5,1.2000000000000002,562.0,,,,,,,,,,,,,,,0.2,5,COMPLETE
35,35,1.372466464264479,2025-06-14 19:18:10.137746,2025-06-14 19:18:18.064807,0 days 00:00:07.927061,986.0,0.01,3m,4.0,2.5,1.1,66.0,382.0,0.007,2m,2.5,2.0,1.1,112.0,384.0,0.007,3m,1.0,2.5,1.3,638.0,938.0,0.005,1m,1.0,1.0,1.5,990.0,302,0.007,2m,3.0,3.5,1.7000000000000002,36,438.0,0.001,1m,3.0,2.5,1.7000000000000002,700.0,,,,,,,,820.0,0.002,1m,2.0,2.5,1.4,276.0,480.0,0.007,3m,1.5,3.5,1.6,110.0,90.0,0.004,1m,1.0,4.0,1.0,456.0,0.05,9,COMPLETE
36,36,0.2752422252894975,2025-06-14 19:18:18.131901,2025-06-14 19:18:22.596469,0 days 00:00:04.464568,,,,,,,,578.0,0.002,1m,3.5,2.5,1.4,348.0,718.0,0.008,2m,2.5,4.0,1.9000000000000001,744.0,,,,,,,,72,0.008,4m,2.5,1.5,0.5,284,110.0,0.007,4m,2.5,2.0,1.4,550.0,,,,,,,,1016.0,0.006,3m,1.5,1.0,1.8,162.0,,,,,,,,,,,,,,,0.3,5,COMPLETE
37,37,3.281955691933275,2025-06-14 19:18:22.695281,2025-06-14 19:18:24.444244,0 days 00:00:01.748963,,,,,,,,,,,,,,,44.0,0.002,4m,3.5,4.0,1.9000000000000001,852.0,,,,,,,,588,0.009000000000000001,3m,2.0,3.5,1.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
