,number,value,datetime_start,datetime_complete,duration,params_AEP_HON_beta_win,params_AEP_HON_stop_loss,params_AEP_HON_trade_freq,params_AEP_HON_z_entry,params_AEP_HON_z_exit,params_AEP_HON_z_stop_scaler,params_AEP_HON_z_win,params_ATVI_ROST_beta_win,params_ATVI_ROST_stop_loss,params_ATVI_ROST_trade_freq,params_ATVI_ROST_z_entry,params_ATVI_ROST_z_exit,params_ATVI_ROST_z_stop_scaler,params_ATVI_ROST_z_win,params_BIDU_SIRI_beta_win,params_BIDU_SIRI_stop_loss,params_BIDU_SIRI_trade_freq,params_BIDU_SIRI_z_entry,params_BIDU_SIRI_z_exit,params_BIDU_SIRI_z_stop_scaler,params_BIDU_SIRI_z_win,params_FOXA_MAR_beta_win,params_FOXA_MAR_stop_loss,params_FOXA_MAR_trade_freq,params_FOXA_MAR_z_entry,params_FOXA_MAR_z_exit,params_FOXA_MAR_z_stop_scaler,params_FOXA_MAR_z_win,params_FOX_MAR_beta_win,params_FOX_MAR_stop_loss,params_FOX_MAR_trade_freq,params_FOX_MAR_z_entry,params_FOX_MAR_z_exit,params_FOX_MAR_z_stop_scaler,params_FOX_MAR_z_win,params_GOOGL_VRTX_beta_win,params_GOOGL_VRTX_stop_loss,params_GOOGL_VRTX_trade_freq,params_GOOGL_VRTX_z_entry,params_GOOGL_VRTX_z_exit,params_GOOGL_VRTX_z_stop_scaler,params_GOOGL_VRTX_z_win,params_GOOG_VRTX_beta_win,params_GOOG_VRTX_stop_loss,params_GOOG_VRTX_trade_freq,params_GOOG_VRTX_z_entry,params_GOOG_VRTX_z_exit,params_GOOG_VRTX_z_stop_scaler,params_GOOG_VRTX_z_win,params_HON_JD_beta_win,params_HON_JD_stop_loss,params_HON_JD_trade_freq,params_HON_JD_z_entry,params_HON_JD_z_exit,params_HON_JD_z_stop_scaler,params_HON_JD_z_win,params_JD_MDLZ_beta_win,params_JD_MDLZ_stop_loss,params_JD_MDLZ_trade_freq,params_JD_MDLZ_z_entry,params_JD_MDLZ_z_exit,params_JD_MDLZ_z_stop_scaler,params_JD_MDLZ_z_win,params_KHC_ROST_beta_win,params_KHC_ROST_stop_loss,params_KHC_ROST_trade_freq,params_KHC_ROST_z_entry,params_KHC_ROST_z_exit,params_KHC_ROST_z_stop_scaler,params_KHC_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
24,24,-1.0809369886361229,2025-06-14 19:00:19.394322,2025-06-14 19:00:23.705952,0 days 00:00:04.311630,296.0,0.004,2m,3.0,3.5,1.7000000000000002,662.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.0,0.008,4m,2.5,4.0,1.0,888.0,612.0,0.006,2m,3.5,1.5,0.5,598.0,164,0.008,3m,3.0,3.0,2.0,136,,,,,,,,282.0,0.005,4m,1.5,1.0,1.1,420.0,0.2,5,COMPLETE
25,25,-3.640255813676978,2025-06-14 19:00:23.791893,2025-06-14 19:00:30.955118,0 days 00:00:07.163225,124.0,0.004,3m,2.5,2.5,1.3,114.0,,,,,,,,,,,,,,,544.0,0.007,2m,3.0,3.5,1.6,786.0,56.0,0.01,3m,4.0,2.5,1.2000000000000002,66.0,140.0,0.007,1m,1.5,3.5,0.8,1010.0,270.0,0.01,3m,4.0,3.0,0.8,16.0,58,0.003,3m,2.5,2.5,1.4,252,860.0,0.004,2m,1.0,4.0,1.9000000000000001,444.0,780.0,0.009000000000000001,1m,3.0,3.0,0.9,602.0,0.05,8,COMPLETE
26,26,-0.1940083545493712,2025-06-14 19:00:31.045406,2025-06-14 19:00:34.923161,0 days 00:00:03.877755,280.0,0.001,4m,3.5,4.0,2.0,306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.0,0.004,3m,3.0,3.0,1.1,534.0,132.0,0.004,4m,3.0,2.0,1.4,676.0,258,0.007,4m,1.5,3.0,0.9,72,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
27,27,-6.768278511118098,2025-06-14 19:00:34.978750,2025-06-14 19:00:41.270278,0 days 00:00:06.291528,700.0,0.002,2m,2.0,3.5,1.4,470.0,,,,,,,,,,,,,,,782.0,0.006,2m,2.0,3.0,1.2000000000000002,496.0,,,,,,,,874.0,0.009000000000000001,1m,1.5,2.0,1.4,848.0,500.0,0.002,1m,2.0,2.5,1.8,860.0,894,0.01,2m,3.5,2.0,1.2000000000000002,18,484.0,0.001,3m,2.0,3.0,1.0,842.0,522.0,0.007,2m,2.0,1.5,1.5,206.0,0.1,7,COMPLETE
28,28,-3.814989505081501,2025-06-14 19:00:41.324540,2025-06-14 19:00:43.373142,0 days 00:00:02.048602,100.0,0.003,2m,1.5,1.0,1.8,846.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018,0.003,1m,3.0,3.5,1.7000000000000002,404,,,,,,,,,,,,,,,0.05,2,COMPLETE
29,29,-5.921895352012081,2025-06-14 19:00:43.430492,2025-06-14 19:00:51.462168,0 days 00:00:08.031676,28.0,0.001,2m,3.0,3.0,1.0,590.0,142.0,0.001,2m,1.0,4.0,0.6,960.0,,,,,,,,230.0,0.004,3m,3.5,4.0,1.9000000000000001,810.0,1006.0,0.003,2m,1.0,3.0,1.4,744.0,682.0,0.006,3m,3.5,4.0,0.5,668.0,724.0,0.003,2m,3.5,3.5,1.2000000000000002,502.0,370,0.008,3m,2.5,2.5,1.4,568,206.0,0.006,3m,3.0,2.0,0.5,1022.0,324.0,0.002,3m,2.5,2.0,1.3,556.0,0.25,9,COMPLETE
30,30,-3.617973568982023,2025-06-14 19:00:51.535598,2025-06-14 19:00:56.705318,0 days 00:00:05.169720,444.0,0.006,4m,4.0,1.5,1.6,942.0,,,,,,,,,,,,,,,466.0,0.008,4m,1.5,3.5,0.7,642.0,,,,,,,,504.0,0.009000000000000001,2m,2.5,2.0,1.8,404.0,444.0,0.005,2m,2.0,1.5,1.0,296.0,606,0.001,3m,2.0,4.0,1.3,118,,,,,,,,998.0,0.005,4m,1.5,3.0,1.7000000000000002,240.0,0.1,6,COMPLETE
31,31,-1.9320586282402228,2025-06-14 19:00:56.757639,2025-06-14 19:01:00.302321,0 days 00:00:03.544682,288.0,0.001,4m,3.5,4.0,2.0,316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.0,0.004,3m,3.0,2.5,1.1,544.0,150.0,0.004,4m,3.0,2.0,1.4,722.0,270,0.007,4m,1.0,3.0,0.9,202,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
32,32,0.4384659835722068,2025-06-14 19:01:00.362036,2025-06-14 19:01:02.359606,0 days 00:00:01.997570,250.0,0.002,4m,3.5,4.0,1.9000000000000001,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,0.009000000000000001,4m,1.5,3.0,1.0,88,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
33,33,-7.894309635211894,2025-06-14 19:01:02.411232,2025-06-14 19:01:04.440516,0 days 00:00:02.029284,158.0,0.003,4m,4.0,4.0,1.8,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,0.009000000000000001,4m,1.0,2.5,1.0,328,,,,,,,,,,,,,,,0.2,2,COMPLETE
34,34,-1.942550921766429,2025-06-14 19:01:04.492698,2025-06-14 19:01:05.393685,0 days 00:00:00.900987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,0.009000000000000001,4m,1.5,3.5,1.0,108,,,,,,,,,,,,,,,0.05,1,COMPLETE
35,35,-1.0008767004880426,2025-06-14 19:01:05.441280,2025-06-14 19:01:08.410562,0 days 00:00:02.969282,202.0,0.002,3m,3.5,3.5,1.9000000000000001,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.0,0.001,2m,4.0,3.0,0.7,632.0,228,0.01,4m,2.5,3.0,1.2000000000000002,244,,,,,,,,,,,,,,,0.1,3,COMPLETE
36,36,0.7837692233799554,2025-06-14 19:01:08.482302,2025-06-14 19:01:10.264055,0 days 00:00:01.781753,354.0,0.004,1m,3.0,3.0,1.7000000000000002,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,0.009000000000000001,2m,1.5,2.0,0.5,78,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
37,37,-1.1710480931512677,2025-06-14 19:01:10.362722,2025-06-14 19:01:13.184780,0 days 00:00:02.822058,340.0,0.004,1m,3.0,3.0,1.4,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,0.002,1m,3.5,2.5,0.5,944.0,468,0.008,2m,3.5,1.5,0.6,18,,,,,,,,,,,,,,,0.1,3,COMPLETE
38,38,-9.153304881050232,2025-06-14 19:01:13.259696,2025-06-14 19:01:17.580259,0 days 00:00:04.320563,78.0,0.005,1m,2.5,3.0,1.7000000000000002,356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,0.007,4m,2.0,3.5,1.5,728.0,826.0,0.003,3m,3.0,1.0,1.8,448.0,338,0.008,2m,1.0,2.0,0.5,342,,,,,,,,570.0,0.008,4m,2.5,2.5,0.9,402.0,0.05,5,COMPLETE
39,39,0.6360446549051681,2025-06-14 19:01:17.643706,2025-06-14 19:01:18.612692,0 days 00:00:00.968986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,0.009000000000000001,2m,2.0,1.0,0.7,162,,,,,,,,,,,,,,,0.2,1,COMPLETE
