,number,value,datetime_start,datetime_complete,duration,params_COST_MU_beta_win,params_COST_MU_stop_loss,params_COST_MU_trade_freq,params_COST_MU_z_entry,params_COST_MU_z_exit,params_COST_MU_z_stop_scaler,params_COST_MU_z_win,params_CRWD_EXC_beta_win,params_CRWD_EXC_stop_loss,params_CRWD_EXC_trade_freq,params_CRWD_EXC_z_entry,params_CRWD_EXC_z_exit,params_CRWD_EXC_z_stop_scaler,params_CRWD_EXC_z_win,params_EXC_TEAM_beta_win,params_EXC_TEAM_stop_loss,params_EXC_TEAM_trade_freq,params_EXC_TEAM_z_entry,params_EXC_TEAM_z_exit,params_EXC_TEAM_z_stop_scaler,params_EXC_TEAM_z_win,params_INTC_CTAS_beta_win,params_INTC_CTAS_stop_loss,params_INTC_CTAS_trade_freq,params_INTC_CTAS_z_entry,params_INTC_CTAS_z_exit,params_INTC_CTAS_z_stop_scaler,params_INTC_CTAS_z_win,params_INTC_MU_beta_win,params_INTC_MU_stop_loss,params_INTC_MU_trade_freq,params_INTC_MU_z_entry,params_INTC_MU_z_exit,params_INTC_MU_z_stop_scaler,params_INTC_MU_z_win,params_MSFT_TTWO_beta_win,params_MSFT_TTWO_stop_loss,params_MSFT_TTWO_trade_freq,params_MSFT_TTWO_z_entry,params_MSFT_TTWO_z_exit,params_MSFT_TTWO_z_stop_scaler,params_MSFT_TTWO_z_win,params_MU_CTAS_beta_win,params_MU_CTAS_stop_loss,params_MU_CTAS_trade_freq,params_MU_CTAS_z_entry,params_MU_CTAS_z_exit,params_MU_CTAS_z_stop_scaler,params_MU_CTAS_z_win,params_MU_EXC_beta_win,params_MU_EXC_stop_loss,params_MU_EXC_trade_freq,params_MU_EXC_z_entry,params_MU_EXC_z_exit,params_MU_EXC_z_stop_scaler,params_MU_EXC_z_win,params_WBA_WBD_beta_win,params_WBA_WBD_stop_loss,params_WBA_WBD_trade_freq,params_WBA_WBD_z_entry,params_WBA_WBD_z_exit,params_WBA_WBD_z_stop_scaler,params_WBA_WBD_z_win,params_ZS_EXC_beta_win,params_ZS_EXC_stop_loss,params_ZS_EXC_trade_freq,params_ZS_EXC_z_entry,params_ZS_EXC_z_exit,params_ZS_EXC_z_stop_scaler,params_ZS_EXC_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-5.785410263459841,2025-06-14 19:47:08.446747,2025-06-14 19:47:15.956655,0 days 00:00:07.509908,470.0,0.007,2m,2.0,2.0,2.0,378.0,944.0,0.001,3m,1.0,3.0,1.0,780.0,270.0,0.01,3m,1.0,4.0,0.5,546.0,150,0.01,2m,2.5,2.5,1.4,408,,,,,,,,912.0,0.01,4m,3.5,4.0,1.1,218.0,428.0,0.009000000000000001,1m,3.5,3.5,1.4,800.0,802.0,0.003,3m,3.0,3.5,1.1,314.0,670.0,0.005,2m,2.0,2.5,1.9000000000000001,824.0,,,,,,,,0.25,8,COMPLETE
21,21,2.2113702345073647,2025-06-14 19:47:16.074073,2025-06-14 19:47:17.120843,0 days 00:00:01.046770,,,,,,,,,,,,,,,,,,,,,,74,0.01,2m,3.0,3.0,1.3,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
22,22,-5.856054205044957,2025-06-14 19:47:17.175105,2025-06-14 19:47:18.906462,0 days 00:00:01.731357,,,,,,,,,,,,,,,,,,,,,,40,0.01,2m,3.5,3.0,1.3,278,,,,,,,,,,,,,,,600.0,0.006,4m,1.0,4.0,1.0,680.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
23,23,-1.5797251413711348,2025-06-14 19:47:18.975933,2025-06-14 19:47:20.861501,0 days 00:00:01.885568,,,,,,,,,,,,,,,,,,,,,,190,0.008,2m,3.0,3.5,1.7000000000000002,336,,,,,,,,,,,,,,,336.0,0.001,4m,1.5,2.0,0.5,202.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
24,24,-4.943865610276492,2025-06-14 19:47:20.948040,2025-06-14 19:47:28.843456,0 days 00:00:07.895416,848.0,0.002,1m,3.5,3.0,1.0,266.0,284.0,0.006,3m,3.0,2.5,1.4,334.0,528.0,0.008,2m,3.0,2.0,0.7,854.0,26,0.007,2m,2.5,3.0,1.2000000000000002,556,,,,,,,,444.0,0.006,4m,1.5,2.0,0.8,434.0,916.0,0.009000000000000001,3m,3.0,2.5,1.2000000000000002,516.0,786.0,0.009000000000000001,1m,3.5,2.0,2.0,900.0,188.0,0.007,4m,1.5,3.5,1.6,598.0,1004.0,0.006,4m,1.0,1.0,1.3,958.0,0.15000000000000002,9,COMPLETE
25,25,-1.6219304497422184,2025-06-14 19:47:28.910067,2025-06-14 19:47:32.720922,0 days 00:00:03.810855,,,,,,,,,,,,,,,,,,,,,,394,0.01,1m,3.5,4.0,1.5,210,,,,,,,,680.0,0.008,3m,2.5,1.0,1.2000000000000002,780.0,744.0,0.005,1m,4.0,3.5,0.9,372.0,,,,,,,,464.0,0.003,2m,3.0,3.5,1.3,272.0,,,,,,,,0.4,4,COMPLETE
26,26,-4.129185640497331,2025-06-14 19:47:32.803180,2025-06-14 19:47:39.103287,0 days 00:00:06.300107,314.0,0.009000000000000001,1m,2.5,1.5,1.5,20.0,,,,,,,,194.0,0.004,3m,1.5,3.0,1.4,572.0,134,0.005,4m,3.0,3.5,2.0,464,,,,,,,,862.0,0.001,2m,3.5,3.0,0.9,306.0,814.0,0.003,2m,2.0,1.0,2.0,1018.0,396.0,0.003,2m,3.0,1.5,1.6,308.0,58.0,0.007,2m,2.0,4.0,0.9,682.0,,,,,,,,0.25,7,COMPLETE
27,27,-0.7867659029941733,2025-06-14 19:47:39.190831,2025-06-14 19:47:41.252796,0 days 00:00:02.061965,,,,,,,,,,,,,,,,,,,,,,506,0.008,3m,2.0,2.5,1.4,96,,,,,,,,,,,,,,,598.0,0.008,4m,3.5,2.0,1.8,832.0,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
28,28,-4.092831355239628,2025-06-14 19:47:41.356462,2025-06-14 19:47:45.672397,0 days 00:00:04.315935,,,,,,,,,,,,,,,442.0,0.007,1m,1.5,2.0,0.9,626.0,252,0.006,2m,2.5,3.0,1.1,250,,,,,,,,682.0,0.005,4m,2.5,1.5,1.7000000000000002,150.0,358.0,0.01,4m,2.5,4.0,0.7,692.0,,,,,,,,368.0,0.006,4m,1.0,2.0,1.2000000000000002,940.0,,,,,,,,0.2,5,COMPLETE
29,29,-6.168768397621674,2025-06-14 19:47:45.755691,2025-06-14 19:47:54.802629,0 days 00:00:09.046938,770.0,0.005,2m,3.5,3.0,1.1,596.0,826.0,0.003,4m,1.5,4.0,2.0,670.0,648.0,0.006,4m,2.5,3.5,0.6,30.0,362,0.009000000000000001,3m,3.5,2.0,1.3,536,,,,,,,,382.0,0.007,4m,1.5,2.5,0.6,506.0,876.0,0.007,4m,2.5,3.5,1.6,892.0,172.0,0.004,2m,4.0,2.5,1.0,218.0,664.0,0.005,1m,3.0,3.5,1.7000000000000002,786.0,384.0,0.006,1m,3.0,3.0,1.5,28.0,0.4,9,COMPLETE
30,30,-4.903157959210543,2025-06-14 19:47:54.854110,2025-06-14 19:48:00.454407,0 days 00:00:05.600297,522.0,0.003,3m,4.0,2.5,1.8,762.0,,,,,,,,988.0,0.008,2m,3.5,2.5,1.0,876.0,536,0.009000000000000001,1m,3.0,4.0,1.6,134,,,,,,,,904.0,0.003,1m,3.5,3.0,1.3,530.0,658.0,0.009000000000000001,2m,1.5,1.5,1.2000000000000002,452.0,,,,,,,,262.0,0.01,2m,1.5,3.0,1.3,644.0,,,,,,,,0.45,6,COMPLETE
31,31,-1.2106160103775776,2025-06-14 19:48:00.538892,2025-06-14 19:48:02.457031,0 days 00:00:01.918139,,,,,,,,,,,,,,,,,,,,,,712,0.008,3m,2.0,2.5,1.4,26,,,,,,,,,,,,,,,566.0,0.008,4m,3.5,2.0,1.8,850.0,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
32,32,-2.1199840648263213,2025-06-14 19:48:02.523467,2025-06-14 19:48:03.632060,0 days 00:00:01.108593,,,,,,,,,,,,,,,,,,,,,,562,0.007,3m,1.5,2.5,1.2000000000000002,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
33,33,0.47430454638453917,2025-06-14 19:48:03.695227,2025-06-14 19:48:06.710504,0 days 00:00:03.015277,,,,,,,,,,,,,,,,,,,,,,856,0.008,3m,1.0,3.0,1.4,332,,,,,,,,,,,,,,,728.0,0.006,4m,3.5,1.5,1.8,784.0,,,,,,,,140.0,0.003,2m,2.0,2.5,1.5,724.0,,,,,,,,0.1,3,COMPLETE
34,34,0.09058163225678571,2025-06-14 19:48:06.779939,2025-06-14 19:48:09.776941,0 days 00:00:02.997002,,,,,,,,,,,,,,,,,,,,,,890,0.009000000000000001,3m,1.0,3.5,1.3,344,,,,,,,,,,,,,,,748.0,0.006,3m,3.0,1.5,1.9000000000000001,648.0,,,,,,,,156.0,0.003,2m,1.0,2.0,1.5,728.0,,,,,,,,0.05,3,COMPLETE
35,35,0.45087322230576093,2025-06-14 19:48:09.846326,2025-06-14 19:48:12.690856,0 days 00:00:02.844530,,,,,,,,,,,,,,,,,,,,,,882,0.01,3m,1.0,3.0,1.8,336,,,,,,,,,,,,,,,740.0,0.004,3m,3.0,1.5,1.4,932.0,,,,,,,,36.0,0.003,2m,2.0,2.0,1.5,730.0,,,,,,,,0.15000000000000002,3,COMPLETE
36,36,0.7185654056953092,2025-06-14 19:48:12.785365,2025-06-14 19:48:15.571421,0 days 00:00:02.786056,,,,,,,,,,,,,,,,,,,,,,884,0.01,3m,1.0,3.0,1.9000000000000001,328,,,,,,,,,,,,,,,668.0,0.004,3m,3.0,1.5,1.7000000000000002,926.0,,,,,,,,122.0,0.003,2m,2.0,2.0,1.8,520.0,,,,,,,,0.15000000000000002,3,COMPLETE
37,37,-4.452531623651953,2025-06-14 19:48:15.644112,2025-06-14 19:48:18.526024,0 days 00:00:02.881912,,,,,,,,,,,,,,,,,,,,,,1022,0.01,3m,1.0,3.0,1.9000000000000001,448,,,,,,,,,,,,,,,650.0,0.003,3m,3.0,1.0,1.4,928.0,,,,,,,,40.0,0.001,1m,2.0,1.5,2.0,474.0,,,,,,,,0.15000000000000002,3,COMPLETE
