,number,value,datetime_start,datetime_complete,duration,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_ADI_BKNG_beta_win,params_ADI_BKNG_stop_loss,params_ADI_BKNG_trade_freq,params_ADI_BKNG_z_entry,params_ADI_BKNG_z_exit,params_ADI_BKNG_z_stop_scaler,params_ADI_BKNG_z_win,params_AVGO_COST_beta_win,params_AVGO_COST_stop_loss,params_AVGO_COST_trade_freq,params_AVGO_COST_z_entry,params_AVGO_COST_z_exit,params_AVGO_COST_z_stop_scaler,params_AVGO_COST_z_win,params_CDW_PCAR_beta_win,params_CDW_PCAR_stop_loss,params_CDW_PCAR_trade_freq,params_CDW_PCAR_z_entry,params_CDW_PCAR_z_exit,params_CDW_PCAR_z_stop_scaler,params_CDW_PCAR_z_win,params_COST_KLAC_beta_win,params_COST_KLAC_stop_loss,params_COST_KLAC_trade_freq,params_COST_KLAC_z_entry,params_COST_KLAC_z_exit,params_COST_KLAC_z_stop_scaler,params_COST_KLAC_z_win,params_DDOG_INTU_beta_win,params_DDOG_INTU_stop_loss,params_DDOG_INTU_trade_freq,params_DDOG_INTU_z_entry,params_DDOG_INTU_z_exit,params_DDOG_INTU_z_stop_scaler,params_DDOG_INTU_z_win,params_DDOG_ROP_beta_win,params_DDOG_ROP_stop_loss,params_DDOG_ROP_trade_freq,params_DDOG_ROP_z_entry,params_DDOG_ROP_z_exit,params_DDOG_ROP_z_stop_scaler,params_DDOG_ROP_z_win,params_KLAC_NFLX_beta_win,params_KLAC_NFLX_stop_loss,params_KLAC_NFLX_trade_freq,params_KLAC_NFLX_z_entry,params_KLAC_NFLX_z_exit,params_KLAC_NFLX_z_stop_scaler,params_KLAC_NFLX_z_win,params_MAR_MRVL_beta_win,params_MAR_MRVL_stop_loss,params_MAR_MRVL_trade_freq,params_MAR_MRVL_z_entry,params_MAR_MRVL_z_exit,params_MAR_MRVL_z_stop_scaler,params_MAR_MRVL_z_win,params_ROP_ROST_beta_win,params_ROP_ROST_stop_loss,params_ROP_ROST_trade_freq,params_ROP_ROST_z_entry,params_ROP_ROST_z_exit,params_ROP_ROST_z_stop_scaler,params_ROP_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-1.8546366469932545,2025-06-14 20:00:05.208324,2025-06-14 20:00:12.742133,0 days 00:00:07.533809,462.0,0.006,4m,3.5,3.5,1.8,874.0,1002.0,0.001,1m,3.0,3.0,0.5,316.0,200.0,0.003,1m,3.5,1.0,0.9,662.0,640.0,0.004,4m,1.5,3.0,1.8,492.0,,,,,,,,38.0,0.008,3m,3.5,1.0,1.1,22.0,1010.0,0.004,3m,4.0,2.0,1.1,132.0,,,,,,,,774.0,0.002,1m,4.0,2.5,1.6,46.0,880,0.007,3m,2.5,4.0,0.7,402,0.2,8,COMPLETE
21,21,-0.7069553826519264,2025-06-14 20:00:12.831159,2025-06-14 20:00:20.994312,0 days 00:00:08.163153,624.0,0.008,4m,1.5,3.5,2.0,326.0,744.0,0.008,4m,3.0,2.0,0.8,414.0,992.0,0.002,3m,2.5,1.0,1.3,346.0,218.0,0.002,4m,1.0,4.0,1.6,168.0,,,,,,,,28.0,0.005,2m,3.0,3.5,0.7,236.0,678.0,0.002,4m,3.0,1.0,0.5,1024.0,32.0,0.001,3m,2.0,2.0,0.5,84.0,1006.0,0.007,3m,1.5,3.5,0.5,694.0,16,0.007,4m,1.0,1.0,0.5,122,0.2,9,COMPLETE
22,22,-2.7819740486423186,2025-06-14 20:00:21.059430,2025-06-14 20:00:28.882064,0 days 00:00:07.822634,518.0,0.009000000000000001,4m,2.0,3.0,1.8,160.0,778.0,0.004,4m,2.5,2.5,0.8,578.0,868.0,0.003,3m,2.5,1.5,1.5,458.0,204.0,0.004,4m,1.0,4.0,1.4,120.0,,,,,,,,190.0,0.005,2m,3.5,3.5,0.8,702.0,756.0,0.001,4m,3.0,1.5,0.5,786.0,288.0,0.003,3m,2.5,2.5,0.9,856.0,948.0,0.006,3m,2.0,1.5,0.7,634.0,430,0.004,4m,1.0,1.5,0.5,56,0.15000000000000002,9,COMPLETE
23,23,-1.446187567852033,2025-06-14 20:00:28.961013,2025-06-14 20:00:37.053783,0 days 00:00:08.092770,882.0,0.007,4m,2.0,4.0,2.0,352.0,802.0,0.008,4m,3.0,3.0,0.7,260.0,814.0,0.001,3m,2.0,1.5,1.1,162.0,388.0,0.002,4m,1.5,3.5,1.8,356.0,,,,,,,,362.0,0.007,2m,2.0,4.0,0.6,368.0,104.0,0.001,2m,3.5,2.0,0.9,780.0,1008.0,0.005,1m,1.5,1.5,1.1,430.0,798.0,0.008,3m,1.0,2.5,1.0,806.0,434,0.01,4m,1.5,2.0,0.7,20,0.05,9,COMPLETE
24,24,-1.1638708438939316,2025-06-14 20:00:37.119138,2025-06-14 20:00:45.593783,0 days 00:00:08.474645,312.0,0.004,4m,3.0,3.5,1.6,398.0,506.0,0.001,2m,2.0,3.5,1.2000000000000002,844.0,562.0,0.003,3m,3.0,2.5,1.1,354.0,146.0,0.004,4m,2.0,3.0,2.0,190.0,1020.0,0.001,3m,1.0,4.0,2.0,1010.0,120.0,0.003,2m,3.0,3.0,1.1,164.0,818.0,0.005,4m,1.0,3.5,1.4,772.0,278.0,0.004,2m,3.5,3.5,0.7,280.0,942.0,0.004,3m,2.0,3.5,1.5,1022.0,162,0.006,4m,1.0,1.5,0.9,194,0.2,10,COMPLETE
25,25,-0.012569241990126816,2025-06-14 20:00:45.667827,2025-06-14 20:00:52.857066,0 days 00:00:07.189239,676.0,0.009000000000000001,2m,1.0,3.0,1.8,606.0,892.0,0.004,3m,3.5,2.0,1.0,478.0,1002.0,0.006,3m,3.5,1.5,0.7,138.0,314.0,0.001,1m,1.0,2.0,1.7000000000000002,650.0,,,,,,,,18.0,0.004,4m,3.5,3.5,0.9,372.0,308.0,0.007,4m,3.0,1.5,0.8,880.0,,,,,,,,570.0,0.006,3m,1.5,2.0,1.1,462.0,702,0.008,4m,2.0,2.5,0.6,604,0.3,8,COMPLETE
26,26,2.5142353915055704,2025-06-14 20:00:52.939266,2025-06-14 20:00:59.205997,0 days 00:00:06.266731,544.0,0.008,4m,1.5,4.0,1.9000000000000001,160.0,604.0,0.009000000000000001,4m,2.0,2.5,1.4,242.0,832.0,0.004,3m,2.0,2.5,2.0,594.0,500.0,0.003,3m,1.5,4.0,1.4,22.0,,,,,,,,278.0,0.002,2m,2.5,4.0,1.5,1008.0,,,,,,,,,,,,,,,1020.0,0.01,3m,2.0,2.5,0.7,326.0,1018,0.005,1m,1.5,1.0,1.1,104,0.1,7,COMPLETE
27,27,0.33201272400183374,2025-06-14 20:00:59.267055,2025-06-14 20:01:05.457084,0 days 00:00:06.190029,224.0,0.01,4m,3.0,4.0,1.5,20.0,458.0,0.009000000000000001,4m,1.0,3.5,1.6,228.0,804.0,0.008,4m,1.5,3.0,1.9000000000000001,712.0,532.0,0.005,3m,1.5,3.5,1.3,960.0,,,,,,,,312.0,0.002,2m,1.5,4.0,1.5,764.0,,,,,,,,,,,,,,,884.0,0.01,3m,2.0,2.5,0.9,320.0,1024,0.005,1m,1.5,1.0,1.1,274,0.1,7,COMPLETE
28,28,-2.8141125071170765,2025-06-14 20:01:05.532793,2025-06-14 20:01:09.128132,0 days 00:00:03.595339,402.0,0.001,2m,2.0,2.0,1.8,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.0,0.001,1m,2.5,3.0,1.4,1016.0,,,,,,,,,,,,,,,774.0,0.009000000000000001,1m,3.0,1.5,0.6,312.0,822,0.003,1m,2.0,2.5,1.4,398,0.05,4,COMPLETE
29,29,-4.240435951340558,2025-06-14 20:01:09.191320,2025-06-14 20:01:11.043161,0 days 00:00:01.851841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010.0,0.01,2m,3.5,1.0,1.3,140.0,938,0.004,1m,3.0,2.0,1.1,134,0.1,2,COMPLETE
30,30,-1.0197552353429102,2025-06-14 20:01:11.096485,2025-06-14 20:01:16.643954,0 days 00:00:05.547469,532.0,0.007,3m,3.0,4.0,1.9000000000000001,92.0,,,,,,,,622.0,0.005,1m,2.0,2.5,2.0,998.0,724.0,0.002,3m,2.5,3.0,0.9,16.0,,,,,,,,170.0,0.002,4m,2.5,4.0,1.7000000000000002,974.0,,,,,,,,,,,,,,,902.0,0.008,4m,4.0,2.5,2.0,446.0,936,0.002,1m,2.5,2.0,1.0,942,0.15000000000000002,6,COMPLETE
31,31,-1.2982864513971253,2025-06-14 20:01:16.701188,2025-06-14 20:01:24.713074,0 days 00:00:08.011886,534.0,0.008,4m,1.5,3.5,2.0,232.0,652.0,0.01,4m,2.0,2.5,1.4,396.0,886.0,0.002,3m,2.5,1.0,1.6,618.0,464.0,0.003,3m,1.0,4.0,1.4,114.0,,,,,,,,98.0,0.004,2m,3.0,3.5,1.1,622.0,856.0,0.003,3m,4.0,2.5,1.8,658.0,272.0,0.008,3m,3.0,3.0,1.6,720.0,972.0,0.007,3m,2.0,2.0,0.7,564.0,354,0.008,3m,1.0,1.0,0.8,108,0.2,9,COMPLETE
