,number,value,datetime_start,datetime_complete,duration,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_ADI_BKNG_beta_win,params_ADI_BKNG_stop_loss,params_ADI_BKNG_trade_freq,params_ADI_BKNG_z_entry,params_ADI_BKNG_z_exit,params_ADI_BKNG_z_stop_scaler,params_ADI_BKNG_z_win,params_AVGO_COST_beta_win,params_AVGO_COST_stop_loss,params_AVGO_COST_trade_freq,params_AVGO_COST_z_entry,params_AVGO_COST_z_exit,params_AVGO_COST_z_stop_scaler,params_AVGO_COST_z_win,params_CDW_PCAR_beta_win,params_CDW_PCAR_stop_loss,params_CDW_PCAR_trade_freq,params_CDW_PCAR_z_entry,params_CDW_PCAR_z_exit,params_CDW_PCAR_z_stop_scaler,params_CDW_PCAR_z_win,params_COST_KLAC_beta_win,params_COST_KLAC_stop_loss,params_COST_KLAC_trade_freq,params_COST_KLAC_z_entry,params_COST_KLAC_z_exit,params_COST_KLAC_z_stop_scaler,params_COST_KLAC_z_win,params_DDOG_INTU_beta_win,params_DDOG_INTU_stop_loss,params_DDOG_INTU_trade_freq,params_DDOG_INTU_z_entry,params_DDOG_INTU_z_exit,params_DDOG_INTU_z_stop_scaler,params_DDOG_INTU_z_win,params_DDOG_ROP_beta_win,params_DDOG_ROP_stop_loss,params_DDOG_ROP_trade_freq,params_DDOG_ROP_z_entry,params_DDOG_ROP_z_exit,params_DDOG_ROP_z_stop_scaler,params_DDOG_ROP_z_win,params_KLAC_NFLX_beta_win,params_KLAC_NFLX_stop_loss,params_KLAC_NFLX_trade_freq,params_KLAC_NFLX_z_entry,params_KLAC_NFLX_z_exit,params_KLAC_NFLX_z_stop_scaler,params_KLAC_NFLX_z_win,params_MAR_MRVL_beta_win,params_MAR_MRVL_stop_loss,params_MAR_MRVL_trade_freq,params_MAR_MRVL_z_entry,params_MAR_MRVL_z_exit,params_MAR_MRVL_z_stop_scaler,params_MAR_MRVL_z_win,params_ROP_ROST_beta_win,params_ROP_ROST_stop_loss,params_ROP_ROST_trade_freq,params_ROP_ROST_z_entry,params_ROP_ROST_z_exit,params_ROP_ROST_z_stop_scaler,params_ROP_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
96,96,2.8721496393988653,2025-06-14 20:04:26.812974,2025-06-14 20:04:29.780915,0 days 00:00:02.967941,278.0,0.01,2m,3.5,2.5,0.7,536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874.0,0.007,3m,2.0,3.0,0.5,576.0,100,0.009000000000000001,4m,3.0,1.5,1.4,762,0.1,3,COMPLETE
97,97,-1.1917902939967253,2025-06-14 20:04:29.836326,2025-06-14 20:04:31.736249,0 days 00:00:01.899923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,0.009000000000000001,3m,2.0,3.5,0.7,544.0,136,0.008,4m,3.0,2.5,1.4,960,0.15000000000000002,2,COMPLETE
98,98,-100.0,2025-06-14 20:04:31.787817,2025-06-14 20:04:32.799923,0 days 00:00:01.012106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,0.009000000000000001,1m,3.5,2.0,1.5,872,0.15000000000000002,1,COMPLETE
99,99,-1.883537642073518,2025-06-14 20:04:32.887628,2025-06-14 20:04:34.722553,0 days 00:00:01.834925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914.0,0.008,4m,1.5,4.0,0.6,398.0,578,0.008,4m,4.0,2.0,1.4,790,0.1,2,COMPLETE
100,100,1.798220597234104,2025-06-14 20:04:34.783492,2025-06-14 20:04:39.499815,0 days 00:00:04.716323,594.0,0.005,4m,1.0,2.5,0.9,214.0,,,,,,,,,,,,,,,910.0,0.009000000000000001,2m,3.0,1.0,0.8,576.0,,,,,,,,556.0,0.006,4m,4.0,1.5,2.0,300.0,,,,,,,,,,,,,,,850.0,0.009000000000000001,3m,2.0,3.5,0.5,654.0,234,0.009000000000000001,4m,2.5,1.5,1.6,840,0.5,5,COMPLETE
101,101,5.294941548447026,2025-06-14 20:04:39.577873,2025-06-14 20:04:41.502792,0 days 00:00:01.924919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.0,0.007,3m,3.0,3.5,0.6,458.0,178,0.01,4m,3.0,2.0,1.3,854,0.45,2,COMPLETE
102,102,4.018448567148149,2025-06-14 20:04:41.572456,2025-06-14 20:04:43.427558,0 days 00:00:01.855102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834.0,0.007,3m,2.0,3.5,1.4,454.0,166,0.01,4m,3.0,2.0,1.2000000000000002,868,0.5,2,COMPLETE
103,103,3.386789899164916,2025-06-14 20:04:43.514403,2025-06-14 20:04:45.666264,0 days 00:00:02.151861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834.0,0.006,3m,2.0,3.5,0.7,422.0,164,0.01,4m,3.0,2.0,1.2000000000000002,898,0.5,2,COMPLETE
104,104,2.2852361091536966,2025-06-14 20:04:45.723331,2025-06-14 20:04:47.627284,0 days 00:00:01.903953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756.0,0.007,3m,2.0,3.5,0.5,506.0,138,0.01,4m,3.0,2.0,1.3,874,0.5,2,COMPLETE
105,105,4.125242605525233,2025-06-14 20:04:47.683702,2025-06-14 20:04:49.763236,0 days 00:00:02.079534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796.0,0.007,3m,2.0,3.5,0.6,460.0,82,0.01,4m,3.0,2.0,1.1,936,0.45,2,COMPLETE
106,106,0.9015810329065537,2025-06-14 20:04:49.816350,2025-06-14 20:04:52.498242,0 days 00:00:02.681892,350.0,0.001,3m,4.0,1.0,0.7,988.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800.0,0.007,2m,2.0,3.5,0.6,454.0,38,0.009000000000000001,4m,3.0,2.5,1.1,986,0.45,3,COMPLETE
107,107,4.311659829817303,2025-06-14 20:04:52.563031,2025-06-14 20:04:54.413914,0 days 00:00:01.850883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.0,0.006,3m,2.0,3.5,0.7,532.0,112,0.01,4m,3.0,2.0,0.9,932,0.45,2,COMPLETE
108,108,-2.077133403505164,2025-06-14 20:04:54.459679,2025-06-14 20:04:57.229222,0 days 00:00:02.769543,176.0,0.004,2m,3.0,1.5,0.9,726.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.0,0.007,3m,2.0,3.5,0.7,534.0,92,0.01,4m,3.0,2.0,1.0,1022,0.4,3,COMPLETE
109,109,-100.0,2025-06-14 20:04:57.278198,2025-06-14 20:04:58.379817,0 days 00:00:01.101619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,0.01,4m,3.0,2.5,0.9,936,0.45,1,COMPLETE
110,110,1.9310071017410264,2025-06-14 20:04:58.431552,2025-06-14 20:05:00.417793,0 days 00:00:01.986241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.0,0.006,3m,2.5,4.0,0.7,482.0,74,0.01,2m,2.5,2.0,0.9,960,0.45,2,COMPLETE
111,111,4.122413831069592,2025-06-14 20:05:00.473607,2025-06-14 20:05:02.441225,0 days 00:00:01.967618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.0,0.006,3m,2.0,3.5,0.6,492.0,110,0.01,4m,3.0,2.0,1.2000000000000002,934,0.45,2,COMPLETE
112,112,4.492186384752151,2025-06-14 20:05:02.512702,2025-06-14 20:05:04.336419,0 days 00:00:01.823717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810.0,0.006,3m,2.0,3.5,0.6,558.0,112,0.01,4m,3.0,2.0,1.2000000000000002,940,0.45,2,COMPLETE
113,113,3.611553336311803,2025-06-14 20:05:04.392011,2025-06-14 20:05:06.402599,0 days 00:00:02.010588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808.0,0.005,3m,2.0,3.5,0.6,614.0,22,0.01,4m,3.0,2.0,1.1,932,0.4,2,COMPLETE
114,114,1.7948890911566495,2025-06-14 20:05:06.471299,2025-06-14 20:05:08.435016,0 days 00:00:01.963717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734.0,0.006,3m,2.0,3.5,0.6,552.0,104,0.01,4m,3.0,2.0,0.8,972,0.45,2,COMPLETE
115,115,-100.0,2025-06-14 20:05:08.498157,2025-06-14 20:05:09.577659,0 days 00:00:01.079502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,0.009000000000000001,4m,3.5,2.0,1.1,944,0.45,1,COMPLETE
116,116,-1.677969485860408,2025-06-14 20:05:09.644565,2025-06-14 20:05:11.389705,0 days 00:00:01.745140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786.0,0.006,1m,2.5,3.5,0.7,510.0,118,0.01,4m,3.0,2.0,1.3,1000,0.4,2,COMPLETE
117,117,3.510751451586055,2025-06-14 20:05:11.460530,2025-06-14 20:05:14.479317,0 days 00:00:03.018787,46.0,0.002,1m,4.0,3.5,1.2000000000000002,640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868.0,0.005,3m,2.0,3.5,0.6,566.0,144,0.009000000000000001,1m,3.5,2.0,1.2000000000000002,460,0.45,3,COMPLETE
118,118,4.108681449961104,2025-06-14 20:05:14.532647,2025-06-14 20:05:16.538569,0 days 00:00:02.005922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820.0,0.006,3m,3.0,3.5,0.6,532.0,80,0.01,4m,3.0,2.5,1.2000000000000002,892,0.45,2,COMPLETE
119,119,-100.0,2025-06-14 20:05:16.573982,2025-06-14 20:05:17.680875,0 days 00:00:01.106893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,0.01,4m,2.5,2.5,1.1,890,0.45,1,COMPLETE
120,120,3.6075368351869015,2025-06-14 20:05:17.744616,2025-06-14 20:05:19.564207,0 days 00:00:01.819591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812.0,0.006,3m,3.0,4.0,0.5,526.0,110,0.01,3m,3.0,3.0,1.0,842,0.4,2,COMPLETE
121,121,4.921795904219291,2025-06-14 20:05:19.634031,2025-06-14 20:05:21.420927,0 days 00:00:01.786896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834.0,0.006,3m,3.0,3.5,0.6,492.0,50,0.01,4m,3.0,2.5,1.2000000000000002,908,0.45,2,COMPLETE
122,122,-1.0597936523762177,2025-06-14 20:05:21.479912,2025-06-14 20:05:23.474879,0 days 00:00:01.994967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884.0,0.006,3m,3.0,3.5,0.6,496.0,54,0.01,4m,3.0,2.5,1.2000000000000002,928,0.45,2,COMPLETE
123,123,2.4060859875444605,2025-06-14 20:05:23.526442,2025-06-14 20:05:25.479564,0 days 00:00:01.953122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.0,0.006,3m,3.0,3.5,0.7,582.0,18,0.01,4m,3.0,2.5,1.2000000000000002,852,0.45,2,COMPLETE
124,124,1.0210453798426,2025-06-14 20:05:25.546974,2025-06-14 20:05:27.452990,0 days 00:00:01.906016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.0,0.006,3m,3.0,3.5,0.8,526.0,76,0.01,4m,3.0,2.5,1.2000000000000002,948,0.45,2,COMPLETE
125,125,2.631255181963662,2025-06-14 20:05:27.508676,2025-06-14 20:05:30.121608,0 days 00:00:02.612932,342.0,0.009000000000000001,3m,3.5,3.5,1.1,822.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820.0,0.005,3m,3.0,3.5,0.7,462.0,128,0.01,4m,3.0,2.5,1.1,880,0.4,3,COMPLETE
126,126,4.192995592589285,2025-06-14 20:05:30.170671,2025-06-14 20:05:32.031558,0 days 00:00:01.860887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686.0,0.004,3m,3.5,3.5,0.5,376.0,144,0.01,4m,2.5,2.5,1.2000000000000002,820,0.45,2,COMPLETE
127,127,-1.1136285971771083,2025-06-14 20:05:32.120220,2025-06-14 20:05:34.974037,0 days 00:00:02.853817,96.0,0.002,2m,3.0,1.0,0.6,922.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702.0,0.004,3m,3.5,3.5,0.6,390.0,90,0.01,4m,2.5,2.5,1.2000000000000002,916,0.45,3,COMPLETE
128,128,-100.0,2025-06-14 20:05:35.049229,2025-06-14 20:05:37.048464,0 days 00:00:01.999235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760.0,0.003,3m,4.0,3.5,0.5,376.0,50,0.01,4m,2.5,2.5,1.1,974,0.45,2,COMPLETE
129,129,-3.759674710761877,2025-06-14 20:05:37.101777,2025-06-14 20:05:38.104620,0 days 00:00:01.002843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,0.01,4m,2.5,4.0,1.2000000000000002,828,0.45,1,COMPLETE
130,130,-100.0,2025-06-14 20:05:38.168203,2025-06-14 20:05:40.187174,0 days 00:00:02.018971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784.0,0.002,4m,3.5,3.5,0.8,408.0,110,0.01,4m,3.5,2.5,1.1,890,0.4,2,COMPLETE
131,131,4.892850584633924,2025-06-14 20:05:40.268065,2025-06-14 20:05:42.260708,0 days 00:00:01.992643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842.0,0.006,3m,3.0,3.5,0.5,472.0,156,0.01,4m,3.0,2.5,1.3,868,0.45,2,COMPLETE
132,132,2.2355707138474528,2025-06-14 20:05:42.310372,2025-06-14 20:05:44.207136,0 days 00:00:01.896764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676.0,0.006,3m,3.0,3.5,0.6,440.0,142,0.01,4m,3.0,3.0,1.3,904,0.45,2,COMPLETE
133,133,0.06955767132218743,2025-06-14 20:05:44.279758,2025-06-14 20:05:46.159125,0 days 00:00:01.879367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848.0,0.005,3m,3.5,3.5,0.5,472.0,84,0.01,4m,2.5,2.5,1.2000000000000002,868,0.45,2,COMPLETE
134,134,4.244790246353945,2025-06-14 20:05:46.268846,2025-06-14 20:05:48.084918,0 days 00:00:01.816072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810.0,0.006,3m,3.0,3.5,0.6,334.0,132,0.01,4m,3.0,2.5,1.3,930,0.45,2,COMPLETE
135,135,0.5969075698874329,2025-06-14 20:05:48.159632,2025-06-14 20:05:50.181051,0 days 00:00:02.021419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738.0,0.006,3m,3.0,3.5,0.5,334.0,174,0.01,4m,4.0,2.5,1.3,932,0.45,2,COMPLETE
136,136,-100.0,2025-06-14 20:05:50.253137,2025-06-14 20:05:51.204081,0 days 00:00:00.950944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,0.01,4m,3.0,3.0,1.3,1008,0.4,1,COMPLETE
137,137,3.1285700473058053,2025-06-14 20:05:51.255045,2025-06-14 20:05:53.327877,0 days 00:00:02.072832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902.0,0.006,2m,3.0,3.0,0.6,304.0,124,0.009000000000000001,2m,3.5,2.5,1.3,956,0.45,2,COMPLETE
138,138,1.7852252667068926,2025-06-14 20:05:53.389231,2025-06-14 20:05:56.114329,0 days 00:00:02.725098,242.0,0.01,1m,4.0,3.0,0.5,408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796.0,0.005,3m,3.0,3.5,0.7,276.0,192,0.01,4m,2.5,2.5,1.3,812,0.45,3,COMPLETE
139,139,-4.54271176161123,2025-06-14 20:05:56.173073,2025-06-14 20:05:57.957124,0 days 00:00:01.784051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.0,0.007,3m,3.5,3.5,0.5,342.0,674,0.002,4m,3.0,2.5,1.2000000000000002,918,0.45,2,COMPLETE
140,140,-100.0,2025-06-14 20:05:58.016275,2025-06-14 20:05:59.122314,0 days 00:00:01.106039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,0.009000000000000001,4m,3.5,1.0,1.3,858,0.4,1,COMPLETE
141,141,5.603679248577826,2025-06-14 20:05:59.180676,2025-06-14 20:06:01.068782,0 days 00:00:01.888106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818.0,0.006,3m,3.0,3.5,0.6,360.0,104,0.01,4m,3.0,2.5,1.2000000000000002,900,0.45,2,COMPLETE
142,142,-4.870646054635699,2025-06-14 20:06:01.136010,2025-06-14 20:06:03.181643,0 days 00:00:02.045633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866.0,0.006,3m,3.0,3.5,0.6,374.0,108,0.01,4m,3.0,2.5,1.2000000000000002,984,0.45,2,COMPLETE
143,143,-2.729367048181552,2025-06-14 20:06:03.236497,2025-06-14 20:06:04.935623,0 days 00:00:01.699126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.0,0.006,3m,3.0,3.5,0.6,412.0,136,0.01,4m,3.0,2.5,1.2000000000000002,942,0.45,2,COMPLETE
144,144,3.4016581093715033,2025-06-14 20:06:05.002652,2025-06-14 20:06:06.951827,0 days 00:00:01.949175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.0,0.006,3m,3.0,3.5,0.5,356.0,166,0.01,4m,3.0,2.5,1.1,904,0.5,2,COMPLETE
145,145,3.3504107358608097,2025-06-14 20:06:07.010918,2025-06-14 20:06:09.178472,0 days 00:00:02.167554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806.0,0.004,3m,3.0,3.5,0.6,432.0,102,0.01,4m,3.0,2.5,1.4,876,0.45,2,COMPLETE
146,146,3.9130031171866912,2025-06-14 20:06:09.240408,2025-06-14 20:06:11.280891,0 days 00:00:02.040483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850.0,0.007,3m,2.5,3.5,0.7,450.0,66,0.01,4m,3.0,2.0,1.2000000000000002,856,0.45,2,COMPLETE
147,147,0.6261716190159794,2025-06-14 20:06:11.365649,2025-06-14 20:06:14.085871,0 days 00:00:02.720222,206.0,0.006,2m,3.5,3.0,0.8,1008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.0,0.006,3m,3.0,3.5,0.7,484.0,126,0.009000000000000001,3m,2.5,2.5,0.8,968,0.5,3,COMPLETE
148,148,0.4014102341619125,2025-06-14 20:06:14.140691,2025-06-14 20:06:15.961497,0 days 00:00:01.820806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826.0,0.005,1m,3.0,3.5,0.5,510.0,40,0.01,4m,3.0,2.0,1.0,826,0.45,2,COMPLETE
149,149,3.4080503034312764,2025-06-14 20:06:16.066874,2025-06-14 20:06:18.112107,0 days 00:00:02.045233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768.0,0.007,3m,3.5,3.5,0.6,318.0,196,0.01,1m,3.0,3.0,0.7,926,0.4,2,COMPLETE
