,number,value,datetime_start,datetime_complete,duration,params_CHTR_SWKS_beta_win,params_CHTR_SWKS_stop_loss,params_CHTR_SWKS_trade_freq,params_CHTR_SWKS_z_entry,params_CHTR_SWKS_z_exit,params_CHTR_SWKS_z_stop_scaler,params_CHTR_SWKS_z_win,params_CMCSA_FISV_beta_win,params_CMCSA_FISV_stop_loss,params_CMCSA_FISV_trade_freq,params_CMCSA_FISV_z_entry,params_CMCSA_FISV_z_exit,params_CMCSA_FISV_z_stop_scaler,params_CMCSA_FISV_z_win,params_CMCSA_SWKS_beta_win,params_CMCSA_SWKS_stop_loss,params_CMCSA_SWKS_trade_freq,params_CMCSA_SWKS_z_entry,params_CMCSA_SWKS_z_exit,params_CMCSA_SWKS_z_stop_scaler,params_CMCSA_SWKS_z_win,params_DLTR_EA_beta_win,params_DLTR_EA_stop_loss,params_DLTR_EA_trade_freq,params_DLTR_EA_z_entry,params_DLTR_EA_z_exit,params_DLTR_EA_z_stop_scaler,params_DLTR_EA_z_win,params_EBAY_TXN_beta_win,params_EBAY_TXN_stop_loss,params_EBAY_TXN_trade_freq,params_EBAY_TXN_z_entry,params_EBAY_TXN_z_exit,params_EBAY_TXN_z_stop_scaler,params_EBAY_TXN_z_win,params_FISV_MAR_beta_win,params_FISV_MAR_stop_loss,params_FISV_MAR_trade_freq,params_FISV_MAR_z_entry,params_FISV_MAR_z_exit,params_FISV_MAR_z_stop_scaler,params_FISV_MAR_z_win,params_ILMN_SWKS_beta_win,params_ILMN_SWKS_stop_loss,params_ILMN_SWKS_trade_freq,params_ILMN_SWKS_z_entry,params_ILMN_SWKS_z_exit,params_ILMN_SWKS_z_stop_scaler,params_ILMN_SWKS_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_OKTA_SBUX_beta_win,params_OKTA_SBUX_stop_loss,params_OKTA_SBUX_trade_freq,params_OKTA_SBUX_z_entry,params_OKTA_SBUX_z_exit,params_OKTA_SBUX_z_stop_scaler,params_OKTA_SBUX_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,1.999724777264159,2025-06-14 19:10:22.766821,2025-06-14 19:10:27.621766,0 days 00:00:04.854945,754.0,0.008,3m,1.5,4.0,1.2000000000000002,754.0,248.0,0.003,4m,3.0,1.0,1.5,298.0,,,,,,,,416.0,0.003,2m,2.0,1.5,1.4,468.0,170,0.003,1m,2.0,3.0,1.4,20,,,,,,,,,,,,,,,796.0,0.004,1m,1.5,3.0,0.5,1024.0,16.0,0.008,1m,3.5,2.0,0.8,220.0,,,,,,,,0.4,6,COMPLETE
21,21,5.22574415575724,2025-06-14 19:10:27.691967,2025-06-14 19:10:30.928483,0 days 00:00:03.236516,284.0,0.009000000000000001,2m,2.0,3.5,1.5,904.0,520.0,0.009000000000000001,3m,3.0,1.5,1.2000000000000002,290.0,,,,,,,,604.0,0.006,2m,2.0,2.0,0.9,626.0,240,0.006,1m,3.5,2.0,0.6,722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,4,COMPLETE
22,22,4.398832192183965,2025-06-14 19:10:31.006741,2025-06-14 19:10:35.556036,0 days 00:00:04.549295,476.0,0.009000000000000001,2m,1.5,3.5,1.5,768.0,550.0,0.009000000000000001,3m,3.5,1.5,1.2000000000000002,370.0,,,,,,,,606.0,0.006,2m,2.0,2.0,1.0,266.0,238,0.006,1m,3.5,2.0,1.7000000000000002,592,,,,,,,,,,,,,,,514.0,0.01,2m,3.5,2.0,0.9,664.0,626.0,0.01,2m,4.0,2.5,1.0,632.0,,,,,,,,0.5,6,COMPLETE
23,23,-0.1777868836411599,2025-06-14 19:10:35.619790,2025-06-14 19:10:41.801005,0 days 00:00:06.181215,228.0,0.007,3m,2.0,3.0,1.1,1004.0,452.0,0.01,3m,3.0,2.0,1.3,30.0,804.0,0.003,2m,3.0,2.0,1.5,346.0,748.0,0.004,2m,1.5,2.0,0.6,670.0,126,0.004,1m,3.5,2.0,0.7,406,976.0,0.006,3m,1.0,2.5,2.0,1014.0,,,,,,,,306.0,0.002,2m,3.0,1.0,0.7,528.0,284.0,0.006,3m,3.0,1.5,0.6,362.0,,,,,,,,0.15000000000000002,8,COMPLETE
24,24,6.778931140019348,2025-06-14 19:10:41.875633,2025-06-14 19:10:45.144781,0 days 00:00:03.269148,614.0,0.009000000000000001,3m,3.0,3.5,0.6,640.0,806.0,0.009000000000000001,3m,3.0,1.0,1.7000000000000002,608.0,,,,,,,,494.0,0.006,2m,2.0,1.5,0.9,448.0,360,0.005,1m,3.0,2.5,1.1,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
25,25,2.512365839499574,2025-06-14 19:10:45.218543,2025-06-14 19:10:49.221272,0 days 00:00:04.002729,628.0,0.006,3m,3.0,2.5,0.5,590.0,824.0,0.007,3m,2.0,1.0,1.7000000000000002,646.0,,,,,,,,332.0,0.004,2m,3.0,1.5,1.2000000000000002,428.0,354,0.003,2m,2.5,3.0,1.2000000000000002,1018,,,,,,,,,,,,,,,850.0,0.004,2m,2.5,1.5,1.0,854.0,,,,,,,,,,,,,,,0.4,5,COMPLETE
26,26,5.6637118821033985,2025-06-14 19:10:49.295362,2025-06-14 19:10:50.986090,0 days 00:00:01.690728,,,,,,,,,,,,,,,,,,,,,,512.0,0.005,2m,4.0,1.0,1.0,164.0,476,0.005,4m,3.0,3.5,1.1,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
27,27,1.4612137214228906,2025-06-14 19:10:51.074646,2025-06-14 19:10:58.058439,0 days 00:00:06.983793,780.0,0.01,3m,3.5,2.0,0.7,480.0,674.0,0.01,3m,3.5,4.0,1.6,628.0,848.0,0.009000000000000001,3m,3.5,3.5,2.0,842.0,506.0,0.006,2m,1.5,1.5,0.7,310.0,304,0.004,3m,2.0,2.5,1.0,226,1010.0,0.01,3m,4.0,2.5,1.2000000000000002,44.0,,,,,,,,622.0,0.008,1m,4.0,3.0,1.4,592.0,176.0,0.008,1m,2.0,1.5,1.1,128.0,,,,,,,,0.4,8,COMPLETE
28,28,7.476791570220947,2025-06-14 19:10:58.143958,2025-06-14 19:11:15.784752,0 days 00:00:17.640794,594.0,0.008,3m,2.5,4.0,0.7,674.0,884.0,0.008,3m,2.0,2.5,1.8,486.0,414.0,0.003,1m,3.0,3.5,0.8,342.0,388.0,0.008,3m,2.0,1.0,1.2000000000000002,494.0,594,0.002,1m,3.0,3.5,1.4,894,,,,,,,,,,,,,,,882.0,0.005,3m,3.5,2.0,0.7,940.0,480.0,0.009000000000000001,1m,3.5,2.5,0.7,324.0,,,,,,,,0.25,7,COMPLETE
29,29,2.2057927161235673,2025-06-14 19:11:15.948926,2025-06-14 19:11:21.723872,0 days 00:00:05.774946,840.0,0.009000000000000001,3m,2.5,4.0,0.7,376.0,904.0,0.008,4m,2.0,2.5,1.9000000000000001,714.0,,,,,,,,336.0,0.008,3m,1.0,1.0,1.4,528.0,574,0.001,3m,2.5,4.0,1.4,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
