,number,value,datetime_start,datetime_complete,duration,params_AAPL_ATVI_beta_win,params_AAPL_ATVI_stop_loss,params_AAPL_ATVI_trade_freq,params_AAPL_ATVI_z_entry,params_AAPL_ATVI_z_exit,params_AAPL_ATVI_z_stop_scaler,params_AAPL_ATVI_z_win,params_ABNB_ATVI_beta_win,params_ABNB_ATVI_stop_loss,params_ABNB_ATVI_trade_freq,params_ABNB_ATVI_z_entry,params_ABNB_ATVI_z_exit,params_ABNB_ATVI_z_stop_scaler,params_ABNB_ATVI_z_win,params_ADBE_ATVI_beta_win,params_ADBE_ATVI_stop_loss,params_ADBE_ATVI_trade_freq,params_ADBE_ATVI_z_entry,params_ADBE_ATVI_z_exit,params_ADBE_ATVI_z_stop_scaler,params_ADBE_ATVI_z_win,params_ALGN_ATVI_beta_win,params_ALGN_ATVI_stop_loss,params_ALGN_ATVI_trade_freq,params_ALGN_ATVI_z_entry,params_ALGN_ATVI_z_exit,params_ALGN_ATVI_z_stop_scaler,params_ALGN_ATVI_z_win,params_AMAT_ATVI_beta_win,params_AMAT_ATVI_stop_loss,params_AMAT_ATVI_trade_freq,params_AMAT_ATVI_z_entry,params_AMAT_ATVI_z_exit,params_AMAT_ATVI_z_stop_scaler,params_AMAT_ATVI_z_win,params_AMD_ATVI_beta_win,params_AMD_ATVI_stop_loss,params_AMD_ATVI_trade_freq,params_AMD_ATVI_z_entry,params_AMD_ATVI_z_exit,params_AMD_ATVI_z_stop_scaler,params_AMD_ATVI_z_win,params_AMZN_ATVI_beta_win,params_AMZN_ATVI_stop_loss,params_AMZN_ATVI_trade_freq,params_AMZN_ATVI_z_entry,params_AMZN_ATVI_z_exit,params_AMZN_ATVI_z_stop_scaler,params_AMZN_ATVI_z_win,params_ATVI_ANSS_beta_win,params_ATVI_ANSS_stop_loss,params_ATVI_ANSS_trade_freq,params_ATVI_ANSS_z_entry,params_ATVI_ANSS_z_exit,params_ATVI_ANSS_z_stop_scaler,params_ATVI_ANSS_z_win,params_ATVI_MSFT_beta_win,params_ATVI_MSFT_stop_loss,params_ATVI_MSFT_trade_freq,params_ATVI_MSFT_z_entry,params_ATVI_MSFT_z_exit,params_ATVI_MSFT_z_stop_scaler,params_ATVI_MSFT_z_win,params_ATVI_PYPL_beta_win,params_ATVI_PYPL_stop_loss,params_ATVI_PYPL_trade_freq,params_ATVI_PYPL_z_entry,params_ATVI_PYPL_z_exit,params_ATVI_PYPL_z_stop_scaler,params_ATVI_PYPL_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-0.873205435327999,2025-06-14 19:28:05.455727,2025-06-14 19:28:07.432084,0 days 00:00:01.976357,,,,,,,,,,,,,,,220,0.005,1m,3.0,2.5,1.0,622,,,,,,,,,,,,,,,56.0,0.003,1m,3.0,3.5,0.5,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
21,21,-2.9103917326622515,2025-06-14 19:28:07.485531,2025-06-14 19:28:09.215596,0 days 00:00:01.730065,,,,,,,,,,,,,,,200,0.005,1m,3.0,2.5,1.0,616,,,,,,,,,,,,,,,44.0,0.003,1m,3.0,3.5,0.5,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
22,22,-5.884952693831975,2025-06-14 19:28:09.298958,2025-06-14 19:28:13.269559,0 days 00:00:03.970601,,,,,,,,,,,,,,,430,0.003,1m,3.5,2.0,1.1,776,410.0,0.002,1m,3.5,3.0,1.0,384.0,,,,,,,,140.0,0.004,1m,3.0,3.0,0.6,148.0,228.0,0.007,4m,1.0,2.5,0.7,154.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
23,23,-3.9340179593998474,2025-06-14 19:28:13.356738,2025-06-14 19:28:15.321416,0 days 00:00:01.964678,,,,,,,,,,,,,,,134,0.005,1m,3.0,2.0,0.9,422,,,,,,,,,,,,,,,20.0,0.003,1m,3.0,3.5,1.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
24,24,-4.0286578792124175,2025-06-14 19:28:15.401218,2025-06-14 19:28:24.336769,0 days 00:00:08.935551,,,,,,,,,,,,,,,260,0.002,1m,2.5,3.0,1.4,890,588.0,0.004,3m,2.5,2.0,1.4,1020.0,,,,,,,,238.0,0.001,1m,4.0,2.5,0.5,20.0,866.0,0.004,4m,1.5,1.5,0.8,656.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
25,25,-0.9899050390483618,2025-06-14 19:28:24.467912,2025-06-14 19:28:29.198486,0 days 00:00:04.730574,,,,,,,,,,,,,,,22,0.003,4m,4.0,2.5,1.1,600,,,,,,,,,,,,,,,130.0,0.004,2m,3.5,3.0,0.7,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
26,26,-0.9899050390483618,2025-06-14 19:28:29.326878,2025-06-14 19:28:34.166201,0 days 00:00:04.839323,,,,,,,,,,,,,,,16,0.002,4m,3.5,2.5,1.2000000000000002,434,,,,,,,,,,,,,,,130.0,0.002,2m,3.5,3.0,1.3,238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
27,27,-100.0,2025-06-14 19:28:34.300441,2025-06-14 19:28:36.498379,0 days 00:00:02.197938,,,,,,,,,,,,,,,104,0.003,4m,2.0,2.5,1.7000000000000002,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
28,28,-6.998129846844265,2025-06-14 19:28:36.607710,2025-06-14 19:28:44.805752,0 days 00:00:08.198042,772.0,0.008,4m,3.0,2.0,1.8,744.0,832.0,0.008,1m,3.5,2.0,1.1,366.0,340,0.001,4m,1.5,3.5,0.8,196,794.0,0.005,4m,3.5,1.0,0.9,116.0,106.0,0.01,1m,4.0,1.0,0.5,30.0,282.0,0.005,1m,4.0,3.5,0.9,286.0,654.0,0.001,1m,3.5,3.5,1.9000000000000001,1010.0,858.0,0.008,4m,4.0,2.5,1.1,1002.0,314.0,0.006,1m,1.0,4.0,1.2000000000000002,456.0,,,,,,,,0.2,9,COMPLETE
29,29,1.6374105214987216,2025-06-14 19:28:44.878882,2025-06-14 19:28:50.042816,0 days 00:00:05.163934,442.0,0.004,3m,1.0,3.0,1.3,186.0,,,,,,,,366,0.002,3m,3.5,3.0,1.4,486,810.0,0.006,1m,4.0,2.0,0.6,424.0,,,,,,,,116.0,0.002,4m,3.5,3.0,2.0,174.0,848.0,0.003,1m,3.5,4.0,1.8,880.0,534.0,0.009000000000000001,4m,3.0,3.5,1.6,504.0,,,,,,,,,,,,,,,0.1,6,COMPLETE
