,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_ADSK_ILMN_beta_win,params_ADSK_ILMN_stop_loss,params_ADSK_ILMN_trade_freq,params_ADSK_ILMN_z_entry,params_ADSK_ILMN_z_exit,params_ADSK_ILMN_z_stop_scaler,params_ADSK_ILMN_z_win,params_AMGN_ILMN_beta_win,params_AMGN_ILMN_stop_loss,params_AMGN_ILMN_trade_freq,params_AMGN_ILMN_z_entry,params_AMGN_ILMN_z_exit,params_AMGN_ILMN_z_stop_scaler,params_AMGN_ILMN_z_win,params_ATVI_INTU_beta_win,params_ATVI_INTU_stop_loss,params_ATVI_INTU_trade_freq,params_ATVI_INTU_z_entry,params_ATVI_INTU_z_exit,params_ATVI_INTU_z_stop_scaler,params_ATVI_INTU_z_win,params_CHTR_DLTR_beta_win,params_CHTR_DLTR_stop_loss,params_CHTR_DLTR_trade_freq,params_CHTR_DLTR_z_entry,params_CHTR_DLTR_z_exit,params_CHTR_DLTR_z_stop_scaler,params_CHTR_DLTR_z_win,params_DDOG_ILMN_beta_win,params_DDOG_ILMN_stop_loss,params_DDOG_ILMN_trade_freq,params_DDOG_ILMN_z_entry,params_DDOG_ILMN_z_exit,params_DDOG_ILMN_z_stop_scaler,params_DDOG_ILMN_z_win,params_DLTR_ILMN_beta_win,params_DLTR_ILMN_stop_loss,params_DLTR_ILMN_trade_freq,params_DLTR_ILMN_z_entry,params_DLTR_ILMN_z_exit,params_DLTR_ILMN_z_stop_scaler,params_DLTR_ILMN_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_FANG_ILMN_beta_win,params_FANG_ILMN_stop_loss,params_FANG_ILMN_trade_freq,params_FANG_ILMN_z_entry,params_FANG_ILMN_z_exit,params_FANG_ILMN_z_stop_scaler,params_FANG_ILMN_z_win,params_GFS_ILMN_beta_win,params_GFS_ILMN_stop_loss,params_GFS_ILMN_trade_freq,params_GFS_ILMN_z_entry,params_GFS_ILMN_z_exit,params_GFS_ILMN_z_stop_scaler,params_GFS_ILMN_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,1.3963238211375,2025-06-14 19:32:32.666990,2025-06-14 19:32:34.471244,0 days 00:00:01.804254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.005,1m,4.0,1.5,1.0,130.0,874,0.002,3m,3.0,3.5,1.8,470,,,,,,,,0.2,2,COMPLETE
21,21,2.0617058948304066,2025-06-14 19:32:34.536372,2025-06-14 19:32:35.418989,0 days 00:00:00.882617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,0.002,3m,3.0,2.5,1.5,854,,,,,,,,0.4,1,COMPLETE
22,22,6.8701886820522295,2025-06-14 19:32:35.458842,2025-06-14 19:32:37.160607,0 days 00:00:01.701765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.0,0.003,1m,3.0,1.5,1.4,406.0,680,0.003,3m,3.0,2.0,1.7000000000000002,912,,,,,,,,0.3,2,COMPLETE
23,23,5.13782011923455,2025-06-14 19:32:37.210076,2025-06-14 19:32:40.654142,0 days 00:00:03.444066,350.0,0.004,4m,3.5,1.0,0.5,456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706.0,0.002,1m,3.0,1.5,1.4,386.0,662,0.003,3m,2.5,2.0,1.7000000000000002,924,308.0,0.001,2m,3.5,2.0,1.7000000000000002,202.0,0.3,4,COMPLETE
24,24,5.421023996926616,2025-06-14 19:32:40.727283,2025-06-14 19:32:44.258493,0 days 00:00:03.531210,322.0,0.003,4m,3.5,1.0,0.5,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708.0,0.002,1m,3.0,1.5,1.4,384.0,660,0.003,3m,3.5,2.0,1.8,758,288.0,0.001,2m,3.5,2.0,1.6,218.0,0.25,4,COMPLETE
25,25,2.471865974822188,2025-06-14 19:32:44.304419,2025-06-14 19:32:47.638560,0 days 00:00:03.334141,358.0,0.003,4m,3.5,1.0,0.5,442.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730.0,0.003,1m,3.0,1.5,1.4,406.0,652,0.003,3m,3.5,2.0,2.0,736,292.0,0.001,2m,3.5,2.0,1.6,210.0,0.3,4,COMPLETE
26,26,1.6330442289229112,2025-06-14 19:32:47.712339,2025-06-14 19:32:52.217434,0 days 00:00:04.505095,388.0,0.003,4m,3.5,1.0,0.8,482.0,700.0,0.001,3m,4.0,2.0,0.5,26.0,,,,,,,,,,,,,,,614.0,0.009000000000000001,2m,1.0,3.0,2.0,662.0,,,,,,,,,,,,,,,696.0,0.002,1m,3.0,2.0,1.3,484.0,488,0.005,2m,3.5,1.0,1.8,922,212.0,0.001,2m,3.5,2.0,1.5,186.0,0.15000000000000002,6,COMPLETE
27,27,0.21375315547594892,2025-06-14 19:32:52.287272,2025-06-14 19:32:56.388825,0 days 00:00:04.101553,376.0,0.003,4m,3.0,1.0,0.7,372.0,,,,,,,,,,,,,,,,,,,,,,358.0,0.01,1m,2.0,1.0,0.9,36.0,,,,,,,,,,,,,,,558.0,0.002,1m,2.0,2.0,1.5,340.0,552,0.003,1m,2.5,2.0,1.4,594,434.0,0.004,2m,3.0,2.5,1.8,310.0,0.25,5,COMPLETE
28,28,-1.7576705157986685,2025-06-14 19:32:56.453699,2025-06-14 19:32:59.553725,0 days 00:00:03.100026,218.0,0.007,4m,3.5,2.0,1.0,722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758.0,0.004,1m,3.5,1.5,1.2000000000000002,290.0,704,0.003,4m,3.5,1.5,1.7000000000000002,760,80.0,0.003,2m,3.0,1.0,1.8,96.0,0.15000000000000002,4,COMPLETE
29,29,-0.9544934242053177,2025-06-14 19:32:59.597459,2025-06-14 19:33:02.349190,0 days 00:00:02.751731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640.0,0.004,1m,2.5,2.0,1.5,156.0,480,0.005,3m,4.0,2.0,1.4,516,438.0,0.002,2m,3.0,2.5,1.3,154.0,0.3,3,COMPLETE
