,number,value,datetime_start,datetime_complete,duration,params_ADBE_BIIB_beta_win,params_ADBE_BIIB_stop_loss,params_ADBE_BIIB_trade_freq,params_ADBE_BIIB_z_entry,params_ADBE_BIIB_z_exit,params_ADBE_BIIB_z_stop_scaler,params_ADBE_BIIB_z_win,params_AEP_JD_beta_win,params_AEP_JD_stop_loss,params_AEP_JD_trade_freq,params_AEP_JD_z_entry,params_AEP_JD_z_exit,params_AEP_JD_z_stop_scaler,params_AEP_JD_z_win,params_AMZN_SIRI_beta_win,params_AMZN_SIRI_stop_loss,params_AMZN_SIRI_trade_freq,params_AMZN_SIRI_z_entry,params_AMZN_SIRI_z_exit,params_AMZN_SIRI_z_stop_scaler,params_AMZN_SIRI_z_win,params_BIIB_ZM_beta_win,params_BIIB_ZM_stop_loss,params_BIIB_ZM_trade_freq,params_BIIB_ZM_z_entry,params_BIIB_ZM_z_exit,params_BIIB_ZM_z_stop_scaler,params_BIIB_ZM_z_win,params_CMCSA_FISV_beta_win,params_CMCSA_FISV_stop_loss,params_CMCSA_FISV_trade_freq,params_CMCSA_FISV_z_entry,params_CMCSA_FISV_z_exit,params_CMCSA_FISV_z_stop_scaler,params_CMCSA_FISV_z_win,params_COST_ORLY_beta_win,params_COST_ORLY_stop_loss,params_COST_ORLY_trade_freq,params_COST_ORLY_z_entry,params_COST_ORLY_z_exit,params_COST_ORLY_z_stop_scaler,params_COST_ORLY_z_win,params_GOOG_SIRI_beta_win,params_GOOG_SIRI_stop_loss,params_GOOG_SIRI_trade_freq,params_GOOG_SIRI_z_entry,params_GOOG_SIRI_z_exit,params_GOOG_SIRI_z_stop_scaler,params_GOOG_SIRI_z_win,params_IDXX_SIRI_beta_win,params_IDXX_SIRI_stop_loss,params_IDXX_SIRI_trade_freq,params_IDXX_SIRI_z_entry,params_IDXX_SIRI_z_exit,params_IDXX_SIRI_z_stop_scaler,params_IDXX_SIRI_z_win,params_NTES_SIRI_beta_win,params_NTES_SIRI_stop_loss,params_NTES_SIRI_trade_freq,params_NTES_SIRI_z_entry,params_NTES_SIRI_z_exit,params_NTES_SIRI_z_stop_scaler,params_NTES_SIRI_z_win,params_NVDA_SIRI_beta_win,params_NVDA_SIRI_stop_loss,params_NVDA_SIRI_trade_freq,params_NVDA_SIRI_z_entry,params_NVDA_SIRI_z_exit,params_NVDA_SIRI_z_stop_scaler,params_NVDA_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,2.243876826697853,2025-06-14 19:11:33.573748,2025-06-14 19:11:52.200807,0 days 00:00:18.627059,478.0,0.006,4m,3.0,2.0,1.7000000000000002,288.0,234.0,0.008,3m,3.5,4.0,1.6,764.0,1002.0,0.001,1m,4.0,2.0,0.9,672.0,816,0.003,1m,3.5,3.5,1.8,542,858.0,0.002,2m,4.0,2.0,2.0,352.0,798.0,0.003,3m,2.0,4.0,1.8,458.0,,,,,,,,1016.0,0.005,1m,1.0,1.0,1.5,960.0,620.0,0.005,4m,2.0,2.0,1.8,346.0,62.0,0.006,3m,1.0,2.5,2.0,1000.0,0.25,9,COMPLETE
21,21,-0.4631600596349507,2025-06-14 19:11:52.301030,2025-06-14 19:12:00.679508,0 days 00:00:08.378478,494.0,0.006,4m,3.0,2.0,1.7000000000000002,236.0,208.0,0.008,3m,3.5,4.0,1.6,756.0,990.0,0.001,1m,4.0,2.0,0.9,662.0,762,0.003,1m,3.5,3.5,1.8,548,918.0,0.002,2m,4.0,2.0,2.0,316.0,810.0,0.003,3m,2.0,4.0,1.8,454.0,936.0,0.001,3m,1.0,4.0,2.0,984.0,910.0,0.006,1m,1.0,1.0,1.5,962.0,630.0,0.005,4m,2.0,2.0,2.0,328.0,42.0,0.006,3m,1.0,2.5,2.0,1004.0,0.25,10,COMPLETE
22,22,-2.15203245696883,2025-06-14 19:12:00.754521,2025-06-14 19:12:07.759942,0 days 00:00:07.005421,294.0,0.006,4m,3.5,2.0,2.0,232.0,248.0,0.008,3m,3.5,4.0,1.5,778.0,820.0,0.002,1m,4.0,1.5,0.9,500.0,886,0.002,1m,3.5,3.5,2.0,556,774.0,0.003,2m,3.0,3.0,1.5,358.0,630.0,0.002,3m,1.5,3.5,2.0,444.0,,,,,,,,1018.0,0.004,1m,1.0,1.0,1.2000000000000002,1018.0,680.0,0.004,4m,2.0,2.0,1.8,170.0,66.0,0.009000000000000001,3m,1.0,2.5,1.4,756.0,0.2,9,COMPLETE
23,23,-2.8467935834771043,2025-06-14 19:12:07.850088,2025-06-14 19:12:14.642473,0 days 00:00:06.792385,150.0,0.004,4m,3.0,1.5,1.6,118.0,506.0,0.01,3m,3.0,3.5,1.0,636.0,242.0,0.003,1m,3.5,2.0,1.0,688.0,734,0.004,1m,2.5,4.0,1.5,452,462.0,0.004,1m,3.5,2.0,2.0,410.0,842.0,0.003,3m,1.5,4.0,1.5,626.0,,,,,,,,,,,,,,,426.0,0.006,4m,1.0,2.5,1.7000000000000002,686.0,234.0,0.004,3m,3.0,3.0,1.7000000000000002,230.0,0.35000000000000003,8,COMPLETE
24,24,-2.527964991402135,2025-06-14 19:12:14.711678,2025-06-14 19:12:22.538994,0 days 00:00:07.827316,446.0,0.008,2m,2.0,1.5,1.8,344.0,20.0,0.007,3m,4.0,3.5,2.0,874.0,1024.0,0.001,1m,3.5,1.5,0.7,388.0,544,0.002,1m,1.5,2.5,1.8,642,126.0,0.001,2m,2.5,3.0,1.1,44.0,434.0,0.002,3m,2.5,3.0,1.8,738.0,,,,,,,,360.0,0.006,2m,2.0,2.0,1.4,56.0,192.0,0.01,4m,2.0,3.5,1.9000000000000001,470.0,804.0,0.007,4m,1.5,2.0,1.0,1022.0,0.25,9,COMPLETE
25,25,-3.200991763019576,2025-06-14 19:12:22.619882,2025-06-14 19:12:28.019379,0 days 00:00:05.399497,328.0,0.008,4m,2.5,2.0,2.0,508.0,732.0,0.009000000000000001,3m,3.0,3.0,1.8,702.0,284.0,0.004,1m,4.0,2.0,0.5,852.0,704,0.005,1m,2.5,3.5,1.7000000000000002,788,,,,,,,,660.0,0.004,3m,2.0,3.5,1.5,552.0,,,,,,,,,,,,,,,548.0,0.003,4m,1.5,1.5,1.6,358.0,,,,,,,,0.3,6,COMPLETE
26,26,-2.3182159267352964,2025-06-14 19:12:28.094886,2025-06-14 19:12:34.784804,0 days 00:00:06.689918,568.0,0.004,4m,3.5,2.5,1.6,672.0,192.0,0.007,3m,3.5,4.0,1.1,436.0,786.0,0.002,2m,3.5,1.0,0.8,524.0,1012,0.003,1m,3.5,3.0,1.5,1024,824.0,0.003,3m,2.5,2.0,1.5,216.0,854.0,0.002,3m,1.0,2.5,1.8,390.0,,,,,,,,,,,,,,,392.0,0.003,4m,1.0,3.0,1.4,224.0,,,,,,,,0.15000000000000002,7,COMPLETE
27,27,-4.400500530376175,2025-06-14 19:12:34.894312,2025-06-14 19:12:39.883624,0 days 00:00:04.989312,118.0,0.007,2m,3.0,1.0,0.5,300.0,,,,,,,,566.0,0.002,1m,3.0,2.5,1.1,582.0,888,0.001,1m,4.0,4.0,1.9000000000000001,610,,,,,,,,540.0,0.001,3m,2.0,2.0,2.0,802.0,,,,,,,,,,,,,,,848.0,0.005,4m,2.0,2.0,0.9,26.0,,,,,,,,0.4,5,COMPLETE
28,28,-9.040542435146147,2025-06-14 19:12:39.955140,2025-06-14 19:12:47.163612,0 days 00:00:07.208472,266.0,0.006,3m,2.5,3.5,1.9000000000000001,804.0,294.0,0.004,3m,2.5,3.5,0.7,848.0,924.0,0.001,1m,4.0,3.0,1.3,760.0,474,0.002,1m,3.0,3.5,1.7000000000000002,910,556.0,0.004,2m,3.5,4.0,1.8,488.0,378.0,0.004,2m,2.5,3.5,1.5,674.0,,,,,,,,,,,,,,,122.0,0.002,4m,1.5,2.5,1.7000000000000002,416.0,318.0,0.004,2m,4.0,3.0,1.7000000000000002,700.0,0.2,8,COMPLETE
29,29,-0.6854906827868108,2025-06-14 19:12:47.232146,2025-06-14 19:12:50.849988,0 days 00:00:03.617842,406.0,0.005,1m,4.0,2.5,1.4,1020.0,,,,,,,,,,,,,,,604,0.005,2m,3.5,2.5,2.0,464,,,,,,,,756.0,0.005,3m,1.5,2.5,1.7000000000000002,480.0,,,,,,,,,,,,,,,690.0,0.006,4m,3.0,3.5,1.9000000000000001,536.0,,,,,,,,0.25,4,COMPLETE
