,number,value,datetime_start,datetime_complete,duration,params_ADP_PAYX_beta_win,params_ADP_PAYX_stop_loss,params_ADP_PAYX_trade_freq,params_ADP_PAYX_z_entry,params_ADP_PAYX_z_exit,params_ADP_PAYX_z_stop_scaler,params_ADP_PAYX_z_win,params_AMGN_ANSS_beta_win,params_AMGN_ANSS_stop_loss,params_AMGN_ANSS_trade_freq,params_AMGN_ANSS_z_entry,params_AMGN_ANSS_z_exit,params_AMGN_ANSS_z_stop_scaler,params_AMGN_ANSS_z_win,params_AMZN_ON_beta_win,params_AMZN_ON_stop_loss,params_AMZN_ON_trade_freq,params_AMZN_ON_z_entry,params_AMZN_ON_z_exit,params_AMZN_ON_z_stop_scaler,params_AMZN_ON_z_win,params_GFS_EXC_beta_win,params_GFS_EXC_stop_loss,params_GFS_EXC_trade_freq,params_GFS_EXC_z_entry,params_GFS_EXC_z_exit,params_GFS_EXC_z_stop_scaler,params_GFS_EXC_z_win,params_GOOGL_ON_beta_win,params_GOOGL_ON_stop_loss,params_GOOGL_ON_trade_freq,params_GOOGL_ON_z_entry,params_GOOGL_ON_z_exit,params_GOOGL_ON_z_stop_scaler,params_GOOGL_ON_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_GOOG_ON_beta_win,params_GOOG_ON_stop_loss,params_GOOG_ON_trade_freq,params_GOOG_ON_z_entry,params_GOOG_ON_z_exit,params_GOOG_ON_z_stop_scaler,params_GOOG_ON_z_win,params_NXPI_ANSS_beta_win,params_NXPI_ANSS_stop_loss,params_NXPI_ANSS_trade_freq,params_NXPI_ANSS_z_entry,params_NXPI_ANSS_z_exit,params_NXPI_ANSS_z_stop_scaler,params_NXPI_ANSS_z_win,params_WBD_ANSS_beta_win,params_WBD_ANSS_stop_loss,params_WBD_ANSS_trade_freq,params_WBD_ANSS_z_entry,params_WBD_ANSS_z_exit,params_WBD_ANSS_z_stop_scaler,params_WBD_ANSS_z_win,params_WDAY_ANSS_beta_win,params_WDAY_ANSS_stop_loss,params_WDAY_ANSS_trade_freq,params_WDAY_ANSS_z_entry,params_WDAY_ANSS_z_exit,params_WDAY_ANSS_z_stop_scaler,params_WDAY_ANSS_z_win,params_buffer_capital,params_pairs_to_trade,state
29,29,-1.2625912204697711,2025-06-14 20:11:19.820366,2025-06-14 20:11:23.438009,0 days 00:00:03.617643,,,,,,,,924,0.01,3m,3.5,1.5,1.1,522,568.0,0.007,4m,3.5,3.0,1.8,588.0,,,,,,,,,,,,,,,586.0,0.002,3m,3.0,3.0,1.0,414.0,,,,,,,,,,,,,,,878.0,0.001,4m,1.5,2.0,0.8,868.0,,,,,,,,0.15000000000000002,4,COMPLETE
30,30,-1.3115772549272025,2025-06-14 20:11:23.504429,2025-06-14 20:11:26.242174,0 days 00:00:02.737745,,,,,,,,602,0.006,3m,3.0,1.0,1.9000000000000001,546,1024.0,0.003,3m,3.0,4.0,1.7000000000000002,484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,0.005,2m,2.0,1.5,1.8,364.0,,,,,,,,0.2,3,COMPLETE
31,31,3.2808625500231368,2025-06-14 20:11:26.317615,2025-06-14 20:11:28.284471,0 days 00:00:01.966856,,,,,,,,842,0.005,4m,3.5,1.0,1.4,628,742.0,0.005,4m,4.0,3.5,1.5,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
32,32,-2.8166606307498707,2025-06-14 20:11:28.349305,2025-06-14 20:11:31.132207,0 days 00:00:02.782902,,,,,,,,438,0.003,4m,3.5,1.0,1.1,654,800.0,0.005,4m,4.0,3.5,1.5,376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.0,0.006,4m,3.5,1.0,1.3,636.0,,,,,,,,0.1,3,COMPLETE
33,33,-0.7317467863355837,2025-06-14 20:11:31.193050,2025-06-14 20:11:33.097177,0 days 00:00:01.904127,,,,,,,,818,0.007,4m,3.0,1.5,1.8,472,650.0,0.006,4m,3.5,3.0,1.6,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
34,34,-1.6712843925392833,2025-06-14 20:11:33.152763,2025-06-14 20:11:34.294369,0 days 00:00:01.141606,,,,,,,,700,0.008,4m,2.5,1.5,1.4,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
35,35,-2.5828415913926066,2025-06-14 20:11:34.398207,2025-06-14 20:11:37.294584,0 days 00:00:02.896377,,,,,,,,932,0.006,4m,4.0,1.0,1.6,382,752.0,0.003,4m,4.0,3.5,1.3,426.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.0,0.003,3m,2.0,4.0,1.5,148.0,,,,,,,,0.15000000000000002,3,COMPLETE
36,36,-1.2196458278252342,2025-06-14 20:11:37.385629,2025-06-14 20:11:39.468886,0 days 00:00:02.083257,,,,,,,,1022,0.005,2m,3.5,1.5,1.9000000000000001,672,912.0,0.005,1m,3.5,4.0,1.9000000000000001,552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
37,37,-0.8609198256050564,2025-06-14 20:11:39.553363,2025-06-14 20:11:43.300678,0 days 00:00:03.747315,,,,,,,,464,0.008,1m,3.5,2.0,1.3,608,606.0,0.009000000000000001,2m,3.0,2.5,1.4,744.0,,,,,,,,,,,,,,,330.0,0.004,2m,3.5,2.0,0.7,758.0,,,,,,,,,,,,,,,158.0,0.004,4m,3.0,2.5,0.7,16.0,,,,,,,,0.05,4,COMPLETE
38,38,-0.7157447164222035,2025-06-14 20:11:43.390598,2025-06-14 20:11:44.634925,0 days 00:00:01.244327,,,,,,,,780,0.007,4m,3.0,1.0,1.9000000000000001,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
