,number,value,datetime_start,datetime_complete,duration,params_ADSK_ZM_beta_win,params_ADSK_ZM_stop_loss,params_ADSK_ZM_trade_freq,params_ADSK_ZM_z_entry,params_ADSK_ZM_z_exit,params_ADSK_ZM_z_stop_scaler,params_ADSK_ZM_z_win,params_AVGO_ILMN_beta_win,params_AVGO_ILMN_stop_loss,params_AVGO_ILMN_trade_freq,params_AVGO_ILMN_z_entry,params_AVGO_ILMN_z_exit,params_AVGO_ILMN_z_stop_scaler,params_AVGO_ILMN_z_win,params_DDOG_ILMN_beta_win,params_DDOG_ILMN_stop_loss,params_DDOG_ILMN_trade_freq,params_DDOG_ILMN_z_entry,params_DDOG_ILMN_z_exit,params_DDOG_ILMN_z_stop_scaler,params_DDOG_ILMN_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_KDP_ZM_beta_win,params_KDP_ZM_stop_loss,params_KDP_ZM_trade_freq,params_KDP_ZM_z_entry,params_KDP_ZM_z_exit,params_KDP_ZM_z_stop_scaler,params_KDP_ZM_z_win,params_LCID_ZM_beta_win,params_LCID_ZM_stop_loss,params_LCID_ZM_trade_freq,params_LCID_ZM_z_entry,params_LCID_ZM_z_exit,params_LCID_ZM_z_stop_scaler,params_LCID_ZM_z_win,params_LULU_VRTX_beta_win,params_LULU_VRTX_stop_loss,params_LULU_VRTX_trade_freq,params_LULU_VRTX_z_entry,params_LULU_VRTX_z_exit,params_LULU_VRTX_z_stop_scaler,params_LULU_VRTX_z_win,params_PAYX_ZM_beta_win,params_PAYX_ZM_stop_loss,params_PAYX_ZM_trade_freq,params_PAYX_ZM_z_entry,params_PAYX_ZM_z_exit,params_PAYX_ZM_z_stop_scaler,params_PAYX_ZM_z_win,params_PYPL_ZM_beta_win,params_PYPL_ZM_stop_loss,params_PYPL_ZM_trade_freq,params_PYPL_ZM_z_entry,params_PYPL_ZM_z_exit,params_PYPL_ZM_z_stop_scaler,params_PYPL_ZM_z_win,params_QCOM_ZM_beta_win,params_QCOM_ZM_stop_loss,params_QCOM_ZM_trade_freq,params_QCOM_ZM_z_entry,params_QCOM_ZM_z_exit,params_QCOM_ZM_z_stop_scaler,params_QCOM_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
109,109,3.43526303517721,2025-06-14 19:36:36.965747,2025-06-14 19:36:38.114548,0 days 00:00:01.148801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752,0.001,1m,3.0,3.5,1.5,852,,,,,,,,0.2,1,COMPLETE
110,110,3.5600033916044977,2025-06-14 19:36:38.195161,2025-06-14 19:36:40.273523,0 days 00:00:02.078362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,0.002,1m,2.5,3.0,1.4,892,942.0,0.008,3m,2.0,2.0,0.5,364.0,0.15000000000000002,2,COMPLETE
111,111,0.6796538548398782,2025-06-14 19:36:40.320454,2025-06-14 19:36:41.393439,0 days 00:00:01.072985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836,0.002,1m,3.0,3.0,1.4,958,,,,,,,,0.4,1,COMPLETE
112,112,4.899039992452771,2025-06-14 19:36:41.469178,2025-06-14 19:36:42.634311,0 days 00:00:01.165133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788,0.002,1m,3.0,3.5,1.5,984,,,,,,,,0.15000000000000002,1,COMPLETE
113,113,3.9455682993730976,2025-06-14 19:36:42.738094,2025-06-14 19:36:43.888180,0 days 00:00:01.150086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764,0.001,1m,3.0,3.5,1.5,986,,,,,,,,0.25,1,COMPLETE
114,114,1.6511417222557552,2025-06-14 19:36:43.963829,2025-06-14 19:36:45.248534,0 days 00:00:01.284705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814,0.003,1m,3.0,3.0,1.6,932,,,,,,,,0.2,1,COMPLETE
115,115,-0.8234919709209187,2025-06-14 19:36:45.301132,2025-06-14 19:36:46.453520,0 days 00:00:01.152388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894,0.002,1m,3.0,4.0,1.5,868,,,,,,,,0.15000000000000002,1,COMPLETE
116,116,0.5947261573419513,2025-06-14 19:36:46.515644,2025-06-14 19:36:48.699863,0 days 00:00:02.184219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794,0.001,1m,3.0,3.5,1.6,998,810.0,0.005,4m,1.5,4.0,1.2000000000000002,868.0,0.1,2,COMPLETE
117,117,-4.040041538050916,2025-06-14 19:36:48.751152,2025-06-14 19:36:49.857440,0 days 00:00:01.106288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,0.002,4m,3.0,2.5,1.4,1022,,,,,,,,0.15000000000000002,1,COMPLETE
118,118,-1.7260491918725367,2025-06-14 19:36:49.923266,2025-06-14 19:36:51.067047,0 days 00:00:01.143781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618,0.001,3m,3.0,3.5,1.5,942,,,,,,,,0.2,1,COMPLETE
119,119,0.8363435993070365,2025-06-14 19:36:51.138126,2025-06-14 19:36:52.345339,0 days 00:00:01.207213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,0.003,1m,3.0,3.0,1.7000000000000002,918,,,,,,,,0.35000000000000003,1,COMPLETE
120,120,1.1169459731350808,2025-06-14 19:36:52.410874,2025-06-14 19:36:54.646370,0 days 00:00:02.235496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,0.002,1m,2.5,1.5,1.3,806,414.0,0.004,3m,1.0,3.5,1.4,438.0,0.15000000000000002,2,COMPLETE
121,121,5.022948419755808,2025-06-14 19:36:54.732498,2025-06-14 19:36:55.880464,0 days 00:00:01.147966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,0.002,1m,3.5,1.5,1.4,962,,,,,,,,0.1,1,COMPLETE
122,122,5.452907984569468,2025-06-14 19:36:55.963948,2025-06-14 19:36:57.026954,0 days 00:00:01.063006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778,0.002,1m,3.0,2.5,1.4,986,,,,,,,,0.1,1,COMPLETE
123,123,3.9236771811570947,2025-06-14 19:36:57.093962,2025-06-14 19:36:58.290690,0 days 00:00:01.196728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740,0.002,1m,3.5,2.5,1.4,1008,,,,,,,,0.1,1,COMPLETE
124,124,3.97371310958015,2025-06-14 19:36:58.361271,2025-06-14 19:36:59.463498,0 days 00:00:01.102227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764,0.001,1m,3.0,2.5,1.3,960,,,,,,,,0.05,1,COMPLETE
125,125,-1.2781328071628495,2025-06-14 19:36:59.519843,2025-06-14 19:37:00.722105,0 days 00:00:01.202262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,0.002,1m,3.5,1.5,1.4,906,,,,,,,,0.1,1,COMPLETE
126,126,0.35409477628640557,2025-06-14 19:37:00.775218,2025-06-14 19:37:01.945055,0 days 00:00:01.169837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834,0.003,1m,3.0,2.0,1.5,938,,,,,,,,0.1,1,COMPLETE
127,127,5.666745887348735,2025-06-14 19:37:02.015506,2025-06-14 19:37:04.093462,0 days 00:00:02.077956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684,0.001,1m,3.0,1.5,1.4,980,628.0,0.001,4m,3.0,1.0,1.7000000000000002,78.0,0.05,2,COMPLETE
128,128,-1.265123019248679,2025-06-14 19:37:04.167297,2025-06-14 19:37:06.119530,0 days 00:00:01.952233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672,0.001,1m,3.5,1.5,1.3,980,730.0,0.001,4m,3.0,1.0,1.7000000000000002,168.0,0.05,2,COMPLETE
129,129,4.815209971648831,2025-06-14 19:37:06.177235,2025-06-14 19:37:08.350929,0 days 00:00:02.173694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,0.001,1m,3.0,1.5,1.4,1004,630.0,0.003,4m,2.5,1.5,1.9000000000000001,94.0,0.05,2,COMPLETE
130,130,3.0672176993224562,2025-06-14 19:37:08.405634,2025-06-14 19:37:10.398556,0 days 00:00:01.992922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778,0.001,1m,3.0,2.0,1.4,1024,508.0,0.002,4m,3.0,1.0,1.5,402.0,0.05,2,COMPLETE
131,131,3.3537572378754525,2025-06-14 19:37:10.451626,2025-06-14 19:37:11.715087,0 days 00:00:01.263461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754,0.002,1m,3.0,1.5,1.5,964,,,,,,,,0.1,1,COMPLETE
132,132,4.5219204106803526,2025-06-14 19:37:11.767092,2025-06-14 19:37:12.868250,0 days 00:00:01.101158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806,0.01,1m,3.0,1.5,1.4,948,,,,,,,,0.4,1,COMPLETE
133,133,5.132356995311532,2025-06-14 19:37:12.943238,2025-06-14 19:37:14.179160,0 days 00:00:01.235922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778,0.001,1m,3.0,1.5,1.6,986,,,,,,,,0.4,1,COMPLETE
134,134,4.683959265022192,2025-06-14 19:37:14.244411,2025-06-14 19:37:15.387742,0 days 00:00:01.143331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772,0.001,1m,3.0,1.5,1.6,988,,,,,,,,0.1,1,COMPLETE
135,135,1.192293059999654,2025-06-14 19:37:15.449476,2025-06-14 19:37:16.700751,0 days 00:00:01.251275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860,0.001,1m,3.0,2.0,1.3,922,,,,,,,,0.05,1,COMPLETE
136,136,-5.455366305751539,2025-06-14 19:37:16.779368,2025-06-14 19:37:17.969922,0 days 00:00:01.190554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714,0.001,1m,1.0,1.5,1.4,978,,,,,,,,0.4,1,COMPLETE
137,137,0.6214235468017402,2025-06-14 19:37:18.033967,2025-06-14 19:37:19.329449,0 days 00:00:01.295482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744,0.001,1m,2.5,1.5,1.6,884,,,,,,,,0.25,1,COMPLETE
138,138,0.04463316187674323,2025-06-14 19:37:19.414385,2025-06-14 19:37:21.702796,0 days 00:00:02.288411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,0.001,1m,3.0,2.5,1.5,1002,790.0,0.001,4m,3.5,1.5,1.1,22.0,0.3,2,COMPLETE
139,139,-1.5264454591692382,2025-06-14 19:37:21.757140,2025-06-14 19:37:22.935637,0 days 00:00:01.178497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,0.002,4m,3.5,1.5,1.4,830,,,,,,,,0.4,1,COMPLETE
140,140,0.021080070843394756,2025-06-14 19:37:23.015074,2025-06-14 19:37:26.084034,0 days 00:00:03.068960,880.0,0.002,2m,3.5,4.0,0.6,870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696,0.001,3m,3.0,2.0,1.5,902,868.0,0.008,4m,3.5,2.0,1.9000000000000001,86.0,0.4,3,COMPLETE
141,141,4.870241548775288,2025-06-14 19:37:26.149628,2025-06-14 19:37:27.466598,0 days 00:00:01.316970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794,0.002,1m,3.0,1.5,1.5,962,,,,,,,,0.4,1,COMPLETE
142,142,1.8922065920392548,2025-06-14 19:37:27.527779,2025-06-14 19:37:28.663880,0 days 00:00:01.136101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812,0.002,1m,3.0,1.5,1.5,940,,,,,,,,0.4,1,COMPLETE
143,143,3.6159693850453287,2025-06-14 19:37:28.719190,2025-06-14 19:37:29.818535,0 days 00:00:01.099345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762,0.002,1m,3.0,1.5,1.4,1004,,,,,,,,0.4,1,COMPLETE
144,144,1.0562527142561664,2025-06-14 19:37:29.906447,2025-06-14 19:37:31.145395,0 days 00:00:01.238948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842,0.001,1m,3.0,1.5,1.6,982,,,,,,,,0.35000000000000003,1,COMPLETE
145,145,5.11163871357531,2025-06-14 19:37:31.235227,2025-06-14 19:37:32.476482,0 days 00:00:01.241255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778,0.003,1m,3.0,1.5,1.6,962,,,,,,,,0.4,1,COMPLETE
146,146,2.9917753605623685,2025-06-14 19:37:32.587730,2025-06-14 19:37:33.743131,0 days 00:00:01.155401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,0.003,1m,3.0,1.5,1.6,1024,,,,,,,,0.45,1,COMPLETE
147,147,1.9283265565038392,2025-06-14 19:37:33.807491,2025-06-14 19:37:35.034132,0 days 00:00:01.226641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724,0.003,1m,3.0,1.5,1.7000000000000002,924,,,,,,,,0.4,1,COMPLETE
148,148,-3.3845964858840167,2025-06-14 19:37:35.087811,2025-06-14 19:37:36.265050,0 days 00:00:01.177239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782,0.001,1m,3.5,2.5,1.0,18,,,,,,,,0.4,1,COMPLETE
149,149,1.6651143232163879,2025-06-14 19:37:36.323060,2025-06-14 19:37:38.576740,0 days 00:00:02.253680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808,0.001,1m,2.5,2.0,1.4,866,570.0,0.006,4m,3.0,1.5,1.8,250.0,0.45,2,COMPLETE
