,number,value,datetime_start,datetime_complete,duration,params_ADP_XEL_beta_win,params_ADP_XEL_stop_loss,params_ADP_XEL_trade_freq,params_ADP_XEL_z_entry,params_ADP_XEL_z_exit,params_ADP_XEL_z_stop_scaler,params_ADP_XEL_z_win,params_AEP_MELI_beta_win,params_AEP_MELI_stop_loss,params_AEP_MELI_trade_freq,params_AEP_MELI_z_entry,params_AEP_MELI_z_exit,params_AEP_MELI_z_stop_scaler,params_AEP_MELI_z_win,params_AXON_MSTR_beta_win,params_AXON_MSTR_stop_loss,params_AXON_MSTR_trade_freq,params_AXON_MSTR_z_entry,params_AXON_MSTR_z_exit,params_AXON_MSTR_z_stop_scaler,params_AXON_MSTR_z_win,params_BIIB_MCHP_beta_win,params_BIIB_MCHP_stop_loss,params_BIIB_MCHP_trade_freq,params_BIIB_MCHP_z_entry,params_BIIB_MCHP_z_exit,params_BIIB_MCHP_z_stop_scaler,params_BIIB_MCHP_z_win,params_CDW_IDXX_beta_win,params_CDW_IDXX_stop_loss,params_CDW_IDXX_trade_freq,params_CDW_IDXX_z_entry,params_CDW_IDXX_z_exit,params_CDW_IDXX_z_stop_scaler,params_CDW_IDXX_z_win,params_CMCSA_INTU_beta_win,params_CMCSA_INTU_stop_loss,params_CMCSA_INTU_trade_freq,params_CMCSA_INTU_z_entry,params_CMCSA_INTU_z_exit,params_CMCSA_INTU_z_stop_scaler,params_CMCSA_INTU_z_win,params_CSCO_DASH_beta_win,params_CSCO_DASH_stop_loss,params_CSCO_DASH_trade_freq,params_CSCO_DASH_z_entry,params_CSCO_DASH_z_exit,params_CSCO_DASH_z_stop_scaler,params_CSCO_DASH_z_win,params_DASH_FTNT_beta_win,params_DASH_FTNT_stop_loss,params_DASH_FTNT_trade_freq,params_DASH_FTNT_z_entry,params_DASH_FTNT_z_exit,params_DASH_FTNT_z_stop_scaler,params_DASH_FTNT_z_win,params_NFLX_PLTR_beta_win,params_NFLX_PLTR_stop_loss,params_NFLX_PLTR_trade_freq,params_NFLX_PLTR_z_entry,params_NFLX_PLTR_z_exit,params_NFLX_PLTR_z_stop_scaler,params_NFLX_PLTR_z_win,params_PAYX_XEL_beta_win,params_PAYX_XEL_stop_loss,params_PAYX_XEL_trade_freq,params_PAYX_XEL_z_entry,params_PAYX_XEL_z_exit,params_PAYX_XEL_z_stop_scaler,params_PAYX_XEL_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-1.212640422806658,2025-06-14 20:13:14.289771,2025-06-14 20:13:15.758421,0 days 00:00:01.468650,,,,,,,,432,0.002,2m,3.5,2.0,1.5,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.0,0.003,1m,3.0,2.0,1.1,288.0,,,,,,,,0.25,2,COMPLETE
21,21,1.531294633889256,2025-06-14 20:13:15.794607,2025-06-14 20:13:17.237279,0 days 00:00:01.442672,,,,,,,,762,0.002,2m,3.5,3.0,1.8,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.0,0.008,3m,2.0,1.0,1.4,166.0,,,,,,,,0.4,2,COMPLETE
22,22,-0.7496859113714863,2025-06-14 20:13:17.280006,2025-06-14 20:13:18.116271,0 days 00:00:00.836265,,,,,,,,898,0.002,2m,3.5,3.0,1.8,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
23,23,1.5632714788501483,2025-06-14 20:13:18.175934,2025-06-14 20:13:19.726016,0 days 00:00:01.550082,,,,,,,,674,0.003,2m,3.0,3.5,2.0,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.0,0.008,3m,3.0,1.5,1.3,150.0,,,,,,,,0.3,2,COMPLETE
24,24,-1.1378896078096918,2025-06-14 20:13:19.759005,2025-06-14 20:13:22.751854,0 days 00:00:02.992849,190.0,0.002,1m,3.0,1.0,0.5,634.0,684,0.003,2m,2.5,3.5,2.0,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.0,0.002,3m,1.0,1.0,1.5,1008.0,782.0,0.009000000000000001,3m,3.0,1.5,1.6,126.0,,,,,,,,0.4,4,COMPLETE
25,25,-1.8907909656252109,2025-06-14 20:13:22.795360,2025-06-14 20:13:24.215995,0 days 00:00:01.420635,,,,,,,,856,0.003,2m,3.0,4.0,1.8,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.0,0.006,3m,4.0,1.5,1.2000000000000002,422.0,,,,,,,,0.3,2,COMPLETE
26,26,-2.2418319262575883,2025-06-14 20:13:24.262667,2025-06-14 20:13:25.186532,0 days 00:00:00.923865,,,,,,,,734,0.005,2m,3.0,3.5,2.0,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
27,27,-0.8460538450076576,2025-06-14 20:13:25.230018,2025-06-14 20:13:27.910116,0 days 00:00:02.680098,812.0,0.003,3m,3.5,2.0,0.8,954.0,626,0.003,2m,3.0,3.0,1.8,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.0,0.008,4m,2.0,1.0,1.1,722.0,496.0,0.009000000000000001,4m,3.0,1.0,1.4,148.0,,,,,,,,0.5,4,COMPLETE
28,28,-2.5322468314441116,2025-06-14 20:13:27.975744,2025-06-14 20:13:29.926965,0 days 00:00:01.951221,436.0,0.001,2m,2.0,2.0,0.9,132.0,836,0.001,2m,2.5,3.5,1.9000000000000001,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732.0,0.006,2m,2.0,1.5,2.0,290.0,,,,,,,,0.45,3,COMPLETE
29,29,-0.34643705463057023,2025-06-14 20:13:29.962019,2025-06-14 20:13:31.793318,0 days 00:00:01.831299,686.0,0.006,3m,3.5,1.5,1.5,690.0,496,0.007,3m,3.5,4.0,1.6,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.0,0.008,3m,2.5,1.0,1.0,26.0,,,,,,,,0.5,3,COMPLETE
