,number,value,datetime_start,datetime_complete,duration,params_AEP_AMGN_beta_win,params_AEP_AMGN_stop_loss,params_AEP_AMGN_trade_freq,params_AEP_AMGN_z_entry,params_AEP_AMGN_z_exit,params_AEP_AMGN_z_stop_scaler,params_AEP_AMGN_z_win,params_AMD_NTES_beta_win,params_AMD_NTES_stop_loss,params_AMD_NTES_trade_freq,params_AMD_NTES_z_entry,params_AMD_NTES_z_exit,params_AMD_NTES_z_stop_scaler,params_AMD_NTES_z_win,params_AMGN_JD_beta_win,params_AMGN_JD_stop_loss,params_AMGN_JD_trade_freq,params_AMGN_JD_z_entry,params_AMGN_JD_z_exit,params_AMGN_JD_z_stop_scaler,params_AMGN_JD_z_win,params_AMZN_GOOGL_beta_win,params_AMZN_GOOGL_stop_loss,params_AMZN_GOOGL_trade_freq,params_AMZN_GOOGL_z_entry,params_AMZN_GOOGL_z_exit,params_AMZN_GOOGL_z_stop_scaler,params_AMZN_GOOGL_z_win,params_AMZN_GOOG_beta_win,params_AMZN_GOOG_stop_loss,params_AMZN_GOOG_trade_freq,params_AMZN_GOOG_z_entry,params_AMZN_GOOG_z_exit,params_AMZN_GOOG_z_stop_scaler,params_AMZN_GOOG_z_win,params_ATVI_NTES_beta_win,params_ATVI_NTES_stop_loss,params_ATVI_NTES_trade_freq,params_ATVI_NTES_z_entry,params_ATVI_NTES_z_exit,params_ATVI_NTES_z_stop_scaler,params_ATVI_NTES_z_win,params_GOOGL_WDAY_beta_win,params_GOOGL_WDAY_stop_loss,params_GOOGL_WDAY_trade_freq,params_GOOGL_WDAY_z_entry,params_GOOGL_WDAY_z_exit,params_GOOGL_WDAY_z_stop_scaler,params_GOOGL_WDAY_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_ORLY_SIRI_beta_win,params_ORLY_SIRI_stop_loss,params_ORLY_SIRI_trade_freq,params_ORLY_SIRI_z_entry,params_ORLY_SIRI_z_exit,params_ORLY_SIRI_z_stop_scaler,params_ORLY_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-1.8525741923698997,2025-06-14 19:13:51.759903,2025-06-14 19:13:59.454194,0 days 00:00:07.694291,460.0,0.007,1m,3.5,3.5,1.8,464.0,608.0,0.007,3m,1.5,3.5,2.0,296.0,112.0,0.002,1m,1.5,4.0,0.9,804.0,234.0,0.005,4m,2.5,1.5,1.3,304.0,932.0,0.005,2m,1.0,1.0,1.1,982.0,392.0,0.004,2m,2.0,1.5,1.4,404.0,,,,,,,,818,0.001,3m,2.0,3.5,1.0,958,40.0,0.009000000000000001,3m,1.0,2.5,1.7000000000000002,744.0,54.0,0.008,3m,2.5,3.0,1.2000000000000002,726.0,0.15000000000000002,9,COMPLETE
21,21,1.1166995321287976,2025-06-14 19:13:59.538138,2025-06-14 19:14:05.588508,0 days 00:00:06.050370,316.0,0.008,1m,3.5,3.0,1.7000000000000002,818.0,746.0,0.004,2m,2.0,3.0,1.1,432.0,134.0,0.006,1m,2.0,3.5,0.6,894.0,628.0,0.001,1m,2.0,1.5,1.7000000000000002,618.0,,,,,,,,618.0,0.003,2m,2.0,2.0,1.8,354.0,,,,,,,,518,0.002,3m,2.5,2.5,1.8,138,,,,,,,,304.0,0.008,3m,3.0,2.0,0.5,318.0,0.25,7,COMPLETE
22,22,1.397438028545182,2025-06-14 19:14:05.679218,2025-06-14 19:14:11.026832,0 days 00:00:05.347614,156.0,0.008,1m,3.5,3.0,1.4,754.0,774.0,0.003,2m,1.5,3.0,1.5,574.0,296.0,0.006,1m,2.0,3.5,0.6,880.0,582.0,0.001,1m,1.5,1.0,1.7000000000000002,652.0,,,,,,,,648.0,0.003,2m,2.0,2.5,1.8,308.0,,,,,,,,456,0.002,3m,2.5,2.5,1.7000000000000002,172,,,,,,,,,,,,,,,0.15000000000000002,6,COMPLETE
23,23,0.4011047035710191,2025-06-14 19:14:11.106150,2025-06-14 19:14:16.173565,0 days 00:00:05.067415,382.0,0.008,1m,4.0,3.0,1.4,704.0,802.0,0.003,2m,2.5,3.5,1.5,612.0,296.0,0.006,1m,2.0,3.5,0.5,664.0,740.0,0.001,1m,1.5,1.0,1.8,664.0,,,,,,,,670.0,0.003,2m,2.0,2.0,1.8,314.0,,,,,,,,444,0.002,3m,2.5,2.5,1.7000000000000002,594,,,,,,,,,,,,,,,0.25,6,COMPLETE
24,24,-3.4456396890278183,2025-06-14 19:14:16.245230,2025-06-14 19:14:23.547232,0 days 00:00:07.302002,162.0,0.009000000000000001,1m,3.5,4.0,1.1,520.0,788.0,0.003,1m,1.5,3.0,1.1,232.0,114.0,0.006,1m,1.5,3.0,0.6,830.0,502.0,0.001,1m,1.5,1.0,1.7000000000000002,806.0,526.0,0.008,1m,2.0,2.0,1.4,56.0,862.0,0.003,2m,1.0,2.5,1.7000000000000002,158.0,,,,,,,,604,0.002,1m,2.0,2.5,1.8,188,300.0,0.004,3m,3.0,3.0,0.9,1022.0,164.0,0.008,2m,3.5,1.5,0.5,372.0,0.15000000000000002,9,COMPLETE
25,25,-0.6634010878587934,2025-06-14 19:14:23.662628,2025-06-14 19:14:30.455311,0 days 00:00:06.792683,358.0,0.009000000000000001,2m,3.5,2.0,2.0,768.0,532.0,0.001,2m,2.0,2.0,0.8,400.0,458.0,0.004,1m,2.0,2.0,0.6,1010.0,322.0,0.002,1m,1.5,2.5,1.5,594.0,,,,,,,,624.0,0.005,4m,2.0,1.0,1.8,320.0,,,,,,,,744,0.002,3m,1.5,3.5,1.5,808,798.0,0.008,4m,1.5,2.0,1.0,678.0,792.0,0.008,1m,4.0,2.0,0.9,386.0,0.2,8,COMPLETE
26,26,-5.3132789409401235,2025-06-14 19:14:30.538241,2025-06-14 19:14:35.635269,0 days 00:00:05.097028,226.0,0.005,4m,4.0,3.5,1.5,424.0,786.0,0.004,2m,3.0,4.0,1.2000000000000002,792.0,110.0,0.006,1m,2.5,3.5,1.0,634.0,594.0,0.002,1m,2.5,2.0,1.8,800.0,,,,,,,,854.0,0.003,2m,1.5,2.5,1.9000000000000001,188.0,,,,,,,,566,0.003,3m,2.5,3.0,2.0,416,,,,,,,,,,,,,,,0.25,6,COMPLETE
27,27,-3.823850925527496,2025-06-14 19:14:35.738317,2025-06-14 19:14:39.848039,0 days 00:00:04.109722,122.0,0.007,3m,2.5,3.0,1.8,642.0,,,,,,,,274.0,0.005,1m,1.5,2.5,0.7,762.0,,,,,,,,,,,,,,,432.0,0.004,2m,2.0,2.0,1.5,42.0,,,,,,,,436,0.001,3m,2.5,2.5,1.4,556,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
28,28,-3.877517429939785,2025-06-14 19:14:40.006528,2025-06-14 19:14:52.818665,0 days 00:00:12.812137,542.0,0.008,1m,3.0,2.0,1.1,842.0,,,,,,,,288.0,0.008,1m,2.5,3.5,0.5,930.0,802.0,0.003,1m,1.0,2.5,1.4,742.0,,,,,,,,622.0,0.002,2m,3.0,1.5,1.7000000000000002,496.0,,,,,,,,470,0.003,3m,1.0,4.0,1.7000000000000002,128,,,,,,,,,,,,,,,0.35000000000000003,5,COMPLETE
29,29,-0.7099015518970735,2025-06-14 19:14:52.981709,2025-06-14 19:15:07.567127,0 days 00:00:14.585418,794.0,0.006,1m,2.0,1.0,1.4,928.0,858.0,0.002,2m,1.0,2.5,1.8,598.0,584.0,0.004,1m,2.0,2.5,0.7,852.0,374.0,0.001,1m,2.0,1.5,1.7000000000000002,910.0,758.0,0.002,2m,3.5,3.5,2.0,750.0,738.0,0.005,2m,3.0,2.0,1.9000000000000001,324.0,1018.0,0.001,3m,1.0,4.0,2.0,1016.0,340,0.002,3m,2.0,2.0,1.3,514,260.0,0.004,2m,4.0,3.0,1.6,86.0,522.0,0.004,3m,2.5,2.0,0.5,252.0,0.1,10,COMPLETE
30,30,-2.100164544430905,2025-06-14 19:15:07.644561,2025-06-14 19:15:14.525911,0 days 00:00:06.881350,350.0,0.009000000000000001,1m,3.5,2.5,1.8,714.0,540.0,0.004,1m,1.5,3.5,1.4,100.0,88.0,0.007,1m,1.0,3.0,0.9,494.0,220.0,0.004,3m,1.5,1.0,1.8,570.0,,,,,,,,648.0,0.001,1m,1.5,2.5,1.7000000000000002,676.0,,,,,,,,496,0.001,1m,1.5,2.5,1.8,870,206.0,0.001,3m,2.5,1.5,1.1,348.0,186.0,0.007,3m,3.5,3.0,0.7,42.0,0.2,8,COMPLETE
31,31,0.052338479217926455,2025-06-14 19:15:14.610814,2025-06-14 19:15:19.798696,0 days 00:00:05.187882,416.0,0.008,1m,4.0,3.0,1.4,626.0,750.0,0.003,2m,2.5,3.5,1.5,620.0,266.0,0.006,1m,2.0,3.5,0.5,688.0,742.0,0.001,1m,1.5,1.0,1.8,686.0,,,,,,,,674.0,0.003,2m,2.0,2.0,1.8,330.0,,,,,,,,390,0.002,3m,2.5,2.5,1.7000000000000002,598,,,,,,,,,,,,,,,0.25,6,COMPLETE
32,32,-1.939030077271856,2025-06-14 19:15:19.870711,2025-06-14 19:15:23.301991,0 days 00:00:03.431280,338.0,0.008,1m,4.0,3.0,1.5,706.0,,,,,,,,316.0,0.006,3m,2.0,3.0,0.6,648.0,,,,,,,,,,,,,,,460.0,0.002,2m,2.0,1.5,1.9000000000000001,448.0,,,,,,,,596,0.003,3m,2.5,2.5,1.7000000000000002,220,,,,,,,,,,,,,,,0.25,4,COMPLETE
33,33,-1.4895476251141997,2025-06-14 19:15:23.382241,2025-06-14 19:15:28.609304,0 days 00:00:05.227063,202.0,0.007,1m,4.0,3.5,1.2000000000000002,724.0,892.0,0.002,2m,3.0,3.0,1.5,556.0,158.0,0.005,1m,1.5,3.5,0.5,760.0,772.0,0.002,1m,1.5,1.0,1.6,568.0,,,,,,,,790.0,0.003,2m,2.0,2.0,1.8,484.0,,,,,,,,298,0.002,3m,3.0,3.0,1.9000000000000001,348,,,,,,,,,,,,,,,0.4,6,COMPLETE
34,34,-2.126225431404542,2025-06-14 19:15:28.672070,2025-06-14 19:15:30.455501,0 days 00:00:01.783431,,,,,,,,,,,,,,,412.0,0.006,1m,2.0,4.0,0.8,942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,0.005,4m,2.0,1.5,1.5,762,,,,,,,,,,,,,,,0.2,2,COMPLETE
35,35,-2.5635370673206292,2025-06-14 19:15:30.527732,2025-06-14 19:15:35.091577,0 days 00:00:04.563845,484.0,0.009000000000000001,1m,3.5,3.0,1.4,824.0,,,,,,,,242.0,0.007,3m,1.5,3.0,0.6,286.0,550.0,0.001,1m,2.0,1.5,1.9000000000000001,410.0,,,,,,,,576.0,0.004,2m,1.5,2.5,1.5,228.0,,,,,,,,372,0.001,3m,2.5,2.0,1.4,304,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
36,36,1.8484206100480698,2025-06-14 19:15:35.166996,2025-06-14 19:15:41.101474,0 days 00:00:05.934478,66.0,0.01,1m,4.0,2.5,0.9,524.0,1022.0,0.003,2m,2.5,3.5,1.6,356.0,34.0,0.009000000000000001,1m,1.0,4.0,0.7,692.0,650.0,0.002,1m,2.5,1.0,1.7000000000000002,702.0,,,,,,,,896.0,0.003,4m,2.5,2.0,1.9000000000000001,360.0,,,,,,,,560,0.002,4m,2.5,2.5,1.9000000000000001,98,,,,,,,,426.0,0.009000000000000001,2m,3.5,1.5,1.0,498.0,0.3,7,COMPLETE
