date,time,PRICE_MDLZ_MDLZ_ON_SIRI,PRICE_SIRI_MDLZ_ON_SIRI,PRICE_COST_COST_ON_PCAR,PRICE_PCAR_COST_ON_PCAR,PRICE_LULU_LULU_ON_PCAR,PRICE_PCAR_LULU_ON_PCAR,BETA_LULU_ON_PCAR,SPREAD_LULU_ON_PCAR,Z_LULU_ON_PCAR,BETA_COST_ON_PCAR,SPREAD_COST_ON_PCAR,Z_COST_ON_PCAR,BETA_MDLZ_ON_SIRI,SPREAD_MDLZ_ON_SIRI,Z_MDLZ_ON_SIRI,market_close,SIGNAL_LULU_ON_PCAR,SIGNAL_COST_ON_PCAR,SIGNAL_MDLZ_ON_SIRI,POS_LULU_ON_PCAR,POS_COST_ON_PCAR,POS_MDLZ_ON_SIRI,POS_BETA_LULU_ON_PCAR,POS_BETA_COST_ON_PCAR,POS_BETA_MDLZ_ON_SIRI,PAIR_BASE_LULU_ON_PCAR,PAIR_BASE_COST_ON_PCAR,PAIR_BASE_MDLZ_ON_SIRI,PAIR_RET_LULU_ON_PCAR,PAIR_RET_COST_ON_PCAR,PAIR_RET_MDLZ_ON_SIRI,SL_LULU_ON_PCAR,SL_COST_ON_PCAR,SL_MDLZ_ON_SIRI,LOSS_LULU_ON_PCAR,LOSS_COST_ON_PCAR,LOSS_MDLZ_ON_SIRI,COOLDOWN_LULU_ON_PCAR,COOLDOWN_COST_ON_PCAR,COOLDOWN_MDLZ_ON_SIRI,CAPITAL_LULU_ON_PCAR,CAPITAL_COST_ON_PCAR,CAPITAL_MDLZ_ON_SIRI,REMAINING_CAPITAL,CAPITAL,PORT_RET
2021-10-26,13:38:00.000000000,60.555,61.0,485.25,57.0667,432.93,57.0667,,,,,,,0.20233262911075017,48.21270962424424,0.2924386896955799,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0008794584819496,1.0008794584819496,0.0
2021-10-26,13:39:00.000000000,60.555,60.9,485.54,56.92,432.99,56.92,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0008794584819496,1.0008794584819496,0.0
2021-10-26,13:40:00.000000000,60.58,60.9,486.09,56.9867,432.42,56.9867,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0008794584819496,1.0008794584819496,0.0
2021-10-26,13:41:00.000000000,60.605,60.9,485.51,57.0667,431.53,57.0667,0.8836214071040343,381.1046422472162,-0.12978264529498848,11.533067620523946,-172.64410998015387,-2.041551733781422,0.20335510736256746,48.22067396161964,0.29349529519552886,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0008794584819496,1.0008794584819496,0.0
2021-10-26,13:42:00.000000000,60.63,60.75,485.7,57.0467,431.49,57.0467,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0008794584819496,1.0008794584819496,0.0
2021-10-26,13:43:00.000000000,60.61,60.5,485.6744,57.0,431.36,57.0,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0008794584819496,1.0008794584819496,0.0
2021-10-26,13:44:00.000000000,60.59,60.5,484.9396,56.8467,431.35,56.8467,,,,,,,0.2034831189726916,48.27927130215216,0.32099416470004294,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0008794584819496,1.0008794584819496,0.0
2021-10-26,13:45:00.000000000,60.59,60.5,484.65,56.86,431.3086,56.86,0.35595847426312305,411.06880115339885,-0.05856388636941849,11.521725739893604,-170.47532557035038,-2.0191074820135495,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0008794584819496,1.0008794584819496,0.0
2021-10-26,13:46:00.000000000,60.595,60.5,483.64,56.92,431.54,56.92,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0008794584819496,1.0008794584819496,0.0
2021-10-26,13:47:00.000000000,60.535,60.5,482.9,56.9933,431.8308,56.9933,,,,,,,0.20357135256818107,48.218933169625046,0.28622138256280943,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0008794584819496,1.0008794584819496,0.0
