date,time,PRICE_NFLX_NFLX_ON_TXN,PRICE_TXN_NFLX_ON_TXN,PRICE_CMCSA_CMCSA_ON_MAR,PRICE_MAR_CMCSA_ON_MAR,PRICE_KDP_KDP_ON_TXN,PRICE_TXN_KDP_ON_TXN,BETA_KDP_ON_TXN,SPREAD_KDP_ON_TXN,Z_KDP_ON_TXN,BETA_CMCSA_ON_MAR,SPREAD_CMCSA_ON_MAR,Z_CMCSA_ON_MAR,BETA_NFLX_ON_TXN,SPREAD_NFLX_ON_TXN,Z_NFLX_ON_TXN,market_close,SIGNAL_KDP_ON_TXN,SIGNAL_CMCSA_ON_MAR,SIGNAL_NFLX_ON_TXN,POS_KDP_ON_TXN,POS_CMCSA_ON_MAR,POS_NFLX_ON_TXN,POS_BETA_KDP_ON_TXN,POS_BETA_CMCSA_ON_MAR,POS_BETA_NFLX_ON_TXN,PAIR_BASE_KDP_ON_TXN,PAIR_BASE_CMCSA_ON_MAR,PAIR_BASE_NFLX_ON_TXN,PAIR_RET_KDP_ON_TXN,PAIR_RET_CMCSA_ON_MAR,PAIR_RET_NFLX_ON_TXN,SL_KDP_ON_TXN,SL_CMCSA_ON_MAR,SL_NFLX_ON_TXN,LOSS_KDP_ON_TXN,LOSS_CMCSA_ON_MAR,LOSS_NFLX_ON_TXN,COOLDOWN_KDP_ON_TXN,COOLDOWN_CMCSA_ON_MAR,COOLDOWN_NFLX_ON_TXN,CAPITAL_KDP_ON_TXN,CAPITAL_CMCSA_ON_MAR,CAPITAL_NFLX_ON_TXN,REMAINING_CAPITAL,CAPITAL,PORT_RET
2022-04-11,17:30:00.000000000,351.36,172.845,47.82,163.26,37.785,172.845,,,,-0.06856380446023629,59.013726716178176,2.9030747991595267,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.09386678472837091,0.0,0.0,63.14469127475384,0.0,0.0,-0.000014576144830355304,0.0,0.0,0.0,0.0,0.0,-0.0005193498322382251,0.0,0.0,0.0,0.0,0.0,0.7024895637607417,0.0,0.30000000000000004,1.0024895637607418,-0.000010214205372699987
2022-04-11,17:31:00.000000000,351.37,172.8453,47.82,163.425,37.79,172.8453,,,,-0.07046924997200961,59.33643717667567,2.8953922802140437,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.09386678472837091,0.0,0.0,63.16017929423402,0.0,0.0,0.00024527825170273437,0.0,0.0,0.0,0.0,0.0,-0.0005339184069502734,0.0,0.0,0.0,0.0,0.0,0.7026618691727804,0.0,0.30000000000000004,1.0026618691727804,0.0001718775120134141
2022-04-11,17:32:00.000000000,351.06,172.83,47.805,163.425,37.79,172.83,,,,-0.072492518834204,59.652089890479786,2.8873390619770536,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.09386678472837091,0.0,0.0,63.14517929423402,0.0,0.0,0.0002374914094230562,0.0,0.0,0.0,0.0,0.0,-0.0002887711138208626,0.0,0.0,0.0,0.0,0.0,0.702828745330438,0.0,0.30000000000000004,1.002828745330438,0.00016643313442778464
2022-04-11,17:33:00.000000000,351.0725,172.74,47.81,163.38,37.77,172.74,-0.01213563478877946,39.866309553413764,1.2286911572176884,-0.07458186700245042,59.99518543086035,2.8808937041020712,2.127268636259376,-16.39188422744462,-2.5059806496829093,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.09386678472837091,0.0,0.0,63.14595528892124,0.0,0.0,-0.00014607615998365333,0.0,0.0,0.0,0.0,0.0,-0.00005134828505670708,0.0,0.0,0.0,0.0,0.0,0.7027260788061941,0.0,0.30000000000000004,1.002726078806194,-0.00010237692599271957
2022-04-11,17:34:00.000000000,351.44,172.87,47.795,163.39,37.77,172.87,,,,-0.07685845705263877,60.35290329783065,2.8752828403571096,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.09386678472837091,0.0,0.0,63.13189395676852,0.0,0.0,0.00025240995681122144,0.0,0.0,0.0,0.0,0.0,-0.00019741694427999334,0.0,0.0,0.0,0.0,0.0,0.7029034538653958,0.0,0.30000000000000004,1.0029034538653958,0.00017689283539225936
2022-04-11,17:35:00.000000000,351.19,172.75,47.81,163.44,37.765,172.75,,,,-0.07932074927397377,60.77418326133827,2.873225496949588,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.09386678472837091,0.0,0.0,63.15158729600495,0.0,0.0,-0.00016325600449486176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7027887006559721,0.0,0.30000000000000004,1.0027887006559721,-0.00011442099334824866
2022-04-11,17:36:00.000000000,350.84,172.64,47.79,163.25,37.74,172.64,,,,-0.08197710938484555,61.17276310707604,2.8697721128229565,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.09386678472837091,0.0,0.0,63.11375260690655,0.0,0.0,0.00003428751349448607,0.0,0.0,0.0,0.0,0.0,-0.00016325600449484945,0.0,0.0,0.0,0.0,0.0,0.7028127975330296,0.0,0.30000000000000004,1.0028127975330297,0.00002402986495734172
2022-04-11,17:37:00.000000000,350.95,172.795,47.825,163.11,37.76,172.795,-0.012210507192332281,39.869914590299054,1.2260712291854512,-0.08490399950923196,61.67369135995083,2.8718974126418537,2.136443193709763,-18.216701657078545,-2.5122129081013345,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.09386678472837091,0.0,0.0,63.13561125704459,0.0,0.0,-0.0007627711532510505,0.0,0.0,0.0,0.0,0.0,-0.00012897408864276372,0.0,0.0,0.0,0.0,0.0,0.7022767122049357,0.0,0.30000000000000004,1.0022767122049356,-0.0005345816581248395
2022-04-11,17:38:00.000000000,350.833,172.81,47.8471,163.08,37.7799,172.81,,,,-0.08784115375525985,62.172235354407775,2.873629236439232,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.09386678472837091,0.0,0.0,63.15489525350273,0.0,0.0,-0.0003946426279204968,0.0,0.0,0.0,0.0,0.0,-0.0008916468641795294,0.0,0.0,0.0,0.0,0.0,0.7019995638777038,0.0,0.30000000000000004,1.0019995638777037,-0.00027651877356524323
2022-04-11,17:39:00.000000000,350.645,172.74,47.86,163.08,37.79,172.74,,,,-0.09060002675205302,62.63505236272481,2.873167750378583,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.09386678472837091,0.0,0.0,63.16779525350273,0.0,0.0,-0.00020425970066487354,0.0,0.0,0.0,0.0,0.0,-0.0012859376102384301,0.0,0.0,0.0,0.0,0.0,0.7018561736569193,0.0,0.30000000000000004,1.0018561736569194,-0.00014310407504514378
