date,time,PRICE_INTC_INTC_ON_CTAS,PRICE_CTAS_INTC_ON_CTAS,BETA_INTC_ON_CTAS,SPREAD_INTC_ON_CTAS,Z_INTC_ON_CTAS,market_close,SIGNAL_INTC_ON_CTAS,POS_INTC_ON_CTAS,POS_BETA_INTC_ON_CTAS,PAIR_BASE_INTC_ON_CTAS,PAIR_RET_INTC_ON_CTAS,SL_INTC_ON_CTAS,LOSS_INTC_ON_CTAS,COOLDOWN_INTC_ON_CTAS,CAPITAL_INTC_ON_CTAS,REMAINING_CAPITAL,CAPITAL,PORT_RET
2024-02-12,18:04:00.000000000,44.93,153.3988,,,,0,0.0,-1.0,-0.2064403985101334,76.59770940297625,-0.00013774073973353348,0.0,-0.0001230499799035334,0.0,0.5747709257679482,0.38347230284864786,0.958243228616596,-0.00008262384152537694
2024-02-12,18:05:00.000000000,44.914,153.4463,-0.2093948103421372,77.04485888620269,3.106939256081546,0,-1.0,-1.0,-0.2064403985101334,76.59151532190549,0.00008086509530164905,0.0,-0.00026077377064182006,0.0,0.0,0.9579558393970702,0.9579558393970702,-0.0002999126014600374
2024-02-12,18:06:00.000000000,44.9257,153.4463,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017992976283598416,0.0,0.0,0.9579558393970702,0.9579558393970702,0.0
2024-02-12,18:07:00.000000000,44.91,153.4463,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9579558393970702,0.9579558393970702,0.0
2024-02-12,18:08:00.000000000,44.9,153.4463,-0.2123027134522681,77.47706585921077,3.098477158132289,0,-1.0,0.0,0.0,77.47706585921077,0.0,0.0,0.0,0.0,0.574486116886423,0.3831823357588281,0.9576684526452511,-0.000299999999999928
2024-02-12,18:09:00.000000000,44.9021,153.41,,,,0,0.0,-1.0,-0.2123027134522681,77.47145927071244,0.00007236449181635522,0.0,0.0,0.0,0.5745276892823271,0.3831823357588281,0.9577100250411552,0.000043410008744933223
2024-02-12,18:10:00.000000000,44.9357,153.4738,,,,0,0.0,-1.0,-0.2123027134522681,77.5186041838307,-0.0006085455671296789,0.0,0.0,0.0,0.5741780630038211,0.3831823357588281,0.9573603987626492,-0.00036506486239502764
2024-02-12,18:11:00.000000000,44.9434,153.435,-0.21529673962462573,77.97745524430445,3.096241081721216,0,-1.0,-1.0,-0.2123027134522681,77.51806683854875,6.9318234972497615e-6,0.0,-0.0006085455671296369,0.0,0.0,0.9570733097035717,0.9570733097035717,-0.0002998756366448149
2024-02-12,18:12:00.000000000,44.99,153.4275,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000601617961962897,0.0,0.0,0.9570733097035717,0.9570733097035717,0.0
2024-02-12,18:13:00.000000000,45.01,153.3413,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9570733097035717,0.9570733097035717,0.0
2024-02-12,18:14:00.000000000,45.01,153.315,-0.21870020648668223,78.54002215750569,3.099214912950552,0,-1.0,0.0,0.0,78.54002215750569,0.0,0.0,0.0,0.0,0.573956863829232,0.38282932388142876,0.9567861877106607,-0.0002999999999999592
2024-02-12,18:15:00.000000000,45.005,153.39,,,,0,0.0,-1.0,-0.21870020648668223,78.55142467299218,-0.00014518095581419506,0.0,0.0,0.0,0.5738735362231451,0.38282932388142876,0.9567028601045738,-0.00008709114654576115
2024-02-12,18:16:00.000000000,44.974,153.39,,,,0,0.0,-1.0,-0.21870020648668223,78.52042467299218,0.00039464592945396236,0.0,-0.00014518095581428359,0.0,0.5741000130782369,0.38282932388142876,0.9569293369596656,0.00023672643255927004
2024-02-12,18:17:00.000000000,44.98,153.3225,-0.221997717732942,79.017245077109,3.0929592525059735,0,-1.0,-1.0,-0.21870020648668223,78.51166240905434,0.00011159216183981467,0.0,0.0,0.0,0.0,0.9566422798075424,0.9566422798075424,-0.00029997737663193077
