,number,value,datetime_start,datetime_complete,duration,params_AAPL_CSCO_beta_win,params_AAPL_CSCO_stop_loss,params_AAPL_CSCO_trade_freq,params_AAPL_CSCO_z_entry,params_AAPL_CSCO_z_exit,params_AAPL_CSCO_z_stop_scaler,params_AAPL_CSCO_z_win,params_ADI_CERN_beta_win,params_ADI_CERN_stop_loss,params_ADI_CERN_trade_freq,params_ADI_CERN_z_entry,params_ADI_CERN_z_exit,params_ADI_CERN_z_stop_scaler,params_ADI_CERN_z_win,params_ADSK_CSCO_beta_win,params_ADSK_CSCO_stop_loss,params_ADSK_CSCO_trade_freq,params_ADSK_CSCO_z_entry,params_ADSK_CSCO_z_exit,params_ADSK_CSCO_z_stop_scaler,params_ADSK_CSCO_z_win,params_AMAT_CERN_beta_win,params_AMAT_CERN_stop_loss,params_AMAT_CERN_trade_freq,params_AMAT_CERN_z_entry,params_AMAT_CERN_z_exit,params_AMAT_CERN_z_stop_scaler,params_AMAT_CERN_z_win,params_AMAT_CSCO_beta_win,params_AMAT_CSCO_stop_loss,params_AMAT_CSCO_trade_freq,params_AMAT_CSCO_z_entry,params_AMAT_CSCO_z_exit,params_AMAT_CSCO_z_stop_scaler,params_AMAT_CSCO_z_win,params_AMD_FAST_beta_win,params_AMD_FAST_stop_loss,params_AMD_FAST_trade_freq,params_AMD_FAST_z_entry,params_AMD_FAST_z_exit,params_AMD_FAST_z_stop_scaler,params_AMD_FAST_z_win,params_ANSS_CERN_beta_win,params_ANSS_CERN_stop_loss,params_ANSS_CERN_trade_freq,params_ANSS_CERN_z_entry,params_ANSS_CERN_z_exit,params_ANSS_CERN_z_stop_scaler,params_ANSS_CERN_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_CERN_beta_win,params_ASML_CERN_stop_loss,params_ASML_CERN_trade_freq,params_ASML_CERN_z_entry,params_ASML_CERN_z_exit,params_ASML_CERN_z_stop_scaler,params_ASML_CERN_z_win,params_ASML_CSCO_beta_win,params_ASML_CSCO_stop_loss,params_ASML_CSCO_trade_freq,params_ASML_CSCO_z_entry,params_ASML_CSCO_z_exit,params_ASML_CSCO_z_stop_scaler,params_ASML_CSCO_z_win,params_BIDU_CERN_beta_win,params_BIDU_CERN_stop_loss,params_BIDU_CERN_trade_freq,params_BIDU_CERN_z_entry,params_BIDU_CERN_z_exit,params_BIDU_CERN_z_stop_scaler,params_BIDU_CERN_z_win,params_BKNG_CSCO_beta_win,params_BKNG_CSCO_stop_loss,params_BKNG_CSCO_trade_freq,params_BKNG_CSCO_z_entry,params_BKNG_CSCO_z_exit,params_BKNG_CSCO_z_stop_scaler,params_BKNG_CSCO_z_win,params_CDNS_CERN_beta_win,params_CDNS_CERN_stop_loss,params_CDNS_CERN_trade_freq,params_CDNS_CERN_z_entry,params_CDNS_CERN_z_exit,params_CDNS_CERN_z_stop_scaler,params_CDNS_CERN_z_win,params_CERN_CSCO_beta_win,params_CERN_CSCO_stop_loss,params_CERN_CSCO_trade_freq,params_CERN_CSCO_z_entry,params_CERN_CSCO_z_exit,params_CERN_CSCO_z_stop_scaler,params_CERN_CSCO_z_win,params_CERN_DOCU_beta_win,params_CERN_DOCU_stop_loss,params_CERN_DOCU_trade_freq,params_CERN_DOCU_z_entry,params_CERN_DOCU_z_exit,params_CERN_DOCU_z_stop_scaler,params_CERN_DOCU_z_win,params_CERN_MELI_beta_win,params_CERN_MELI_stop_loss,params_CERN_MELI_trade_freq,params_CERN_MELI_z_entry,params_CERN_MELI_z_exit,params_CERN_MELI_z_stop_scaler,params_CERN_MELI_z_win,params_CERN_PYPL_beta_win,params_CERN_PYPL_stop_loss,params_CERN_PYPL_trade_freq,params_CERN_PYPL_z_entry,params_CERN_PYPL_z_exit,params_CERN_PYPL_z_stop_scaler,params_CERN_PYPL_z_win,params_CHTR_FISV_beta_win,params_CHTR_FISV_stop_loss,params_CHTR_FISV_trade_freq,params_CHTR_FISV_z_entry,params_CHTR_FISV_z_exit,params_CHTR_FISV_z_stop_scaler,params_CHTR_FISV_z_win,params_CMCSA_REGN_beta_win,params_CMCSA_REGN_stop_loss,params_CMCSA_REGN_trade_freq,params_CMCSA_REGN_z_entry,params_CMCSA_REGN_z_exit,params_CMCSA_REGN_z_stop_scaler,params_CMCSA_REGN_z_win,params_CSCO_MNST_beta_win,params_CSCO_MNST_stop_loss,params_CSCO_MNST_trade_freq,params_CSCO_MNST_z_entry,params_CSCO_MNST_z_exit,params_CSCO_MNST_z_stop_scaler,params_CSCO_MNST_z_win,params_CTAS_INCY_beta_win,params_CTAS_INCY_stop_loss,params_CTAS_INCY_trade_freq,params_CTAS_INCY_z_entry,params_CTAS_INCY_z_exit,params_CTAS_INCY_z_stop_scaler,params_CTAS_INCY_z_win,params_CTSH_SBUX_beta_win,params_CTSH_SBUX_stop_loss,params_CTSH_SBUX_trade_freq,params_CTSH_SBUX_z_entry,params_CTSH_SBUX_z_exit,params_CTSH_SBUX_z_stop_scaler,params_CTSH_SBUX_z_win,params_CTSH_XLNX_beta_win,params_CTSH_XLNX_stop_loss,params_CTSH_XLNX_trade_freq,params_CTSH_XLNX_z_entry,params_CTSH_XLNX_z_exit,params_CTSH_XLNX_z_stop_scaler,params_CTSH_XLNX_z_win,params_EBAY_INCY_beta_win,params_EBAY_INCY_stop_loss,params_EBAY_INCY_trade_freq,params_EBAY_INCY_z_entry,params_EBAY_INCY_z_exit,params_EBAY_INCY_z_stop_scaler,params_EBAY_INCY_z_win,params_EXC_VRTX_beta_win,params_EXC_VRTX_stop_loss,params_EXC_VRTX_trade_freq,params_EXC_VRTX_z_entry,params_EXC_VRTX_z_exit,params_EXC_VRTX_z_stop_scaler,params_EXC_VRTX_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_NXPI_QCOM_beta_win,params_NXPI_QCOM_stop_loss,params_NXPI_QCOM_trade_freq,params_NXPI_QCOM_z_entry,params_NXPI_QCOM_z_exit,params_NXPI_QCOM_z_stop_scaler,params_NXPI_QCOM_z_win,params_NXPI_TXN_beta_win,params_NXPI_TXN_stop_loss,params_NXPI_TXN_trade_freq,params_NXPI_TXN_z_entry,params_NXPI_TXN_z_exit,params_NXPI_TXN_z_stop_scaler,params_NXPI_TXN_z_win,params_QCOM_TXN_beta_win,params_QCOM_TXN_stop_loss,params_QCOM_TXN_trade_freq,params_QCOM_TXN_z_entry,params_QCOM_TXN_z_exit,params_QCOM_TXN_z_stop_scaler,params_QCOM_TXN_z_win,params_REGN_SBUX_beta_win,params_REGN_SBUX_stop_loss,params_REGN_SBUX_trade_freq,params_REGN_SBUX_z_entry,params_REGN_SBUX_z_exit,params_REGN_SBUX_z_stop_scaler,params_REGN_SBUX_z_win,params_buffer_capital,params_pairs_to_trade,state
24,24,0.9289804765940036,2025-06-22 16:14:23.821207,2025-06-22 16:14:49.275587,0 days 00:00:25.454380,4240.0,0.045000000000000005,3m,1.0,0.4,1.5,432.0,,,,,,,,2136.0,0.03,2m,1.4,0.4,0.5,640.0,6712.0,0.04,4m,2.4000000000000004,0.8,0.5,680.0,6776.0,0.01,3m,2.4000000000000004,1.0,1.0,760.0,7408.0,0.03,1m,2.0,0.8,2.0,944.0,4056.0,0.035,4m,3.0,1.0,1.5,384.0,3712.0,0.02,1m,2.0,0.6000000000000001,0.5,704.0,6104,0.01,4m,1.8,0.8,2.0,200,3560.0,0.015,4m,1.6,0.4,1.5,480.0,2176,0.025,3m,3.0,0.6000000000000001,1.5,400,8136.0,0.02,3m,2.2,0.0,1.5,328.0,6296,0.02,1m,2.2,0.8,1.5,760,6256.0,0.02,5m,1.8,0.2,1.5,160.0,3392.0,0.05,2m,2.8,0.4,1.0,624.0,,,,,,,,4728.0,0.025,5m,1.6,0.6000000000000001,1.5,832.0,4216.0,0.02,5m,2.4000000000000004,0.8,0.5,336.0,7784,0.04,1m,1.2,0.0,0.5,928,1808,0.03,5m,1.0,0.4,0.5,728,7792.0,0.04,5m,3.0,0.2,0.5,600.0,2576.0,0.015,1m,2.6,0.8,0.5,472.0,5936,0.03,3m,2.0,1.0,1.5,304,3432,0.045000000000000005,2m,2.2,0.0,1.0,312,1336.0,0.035,2m,3.0,0.2,1.5,632.0,7024,0.04,5m,2.8,1.0,2.0,216,5144.0,0.01,5m,3.0,0.0,2.0,248.0,6112,0.035,4m,2.4000000000000004,0.0,1.0,808,3768,0.035,5m,2.6,0.8,1.5,848,3416.0,0.015,4m,2.0,0.6000000000000001,2.0,472.0,0.05,28,COMPLETE
25,25,0.997348228181721,2025-06-22 16:14:49.325863,2025-06-22 16:15:09.933989,0 days 00:00:20.608126,6768.0,0.025,3m,2.4000000000000004,1.0,0.5,136.0,,,,,,,,,,,,,,,6224.0,0.03,3m,1.8,0.4,1.0,856.0,1496.0,0.025,4m,1.4,0.6000000000000001,1.5,320.0,6008.0,0.01,2m,2.6,1.0,1.5,624.0,2472.0,0.045000000000000005,5m,2.4000000000000004,0.8,2.0,640.0,6704.0,0.015,5m,2.8,0.4,1.0,960.0,4000,0.015,5m,1.8,0.6000000000000001,1.5,624,6840.0,0.025,1m,2.4000000000000004,0.0,1.5,600.0,4632,0.015,4m,2.0,1.0,1.0,928,3504.0,0.05,5m,1.2,0.4,1.0,184.0,7352,0.015,3m,1.2,1.0,1.0,632,5272.0,0.015,3m,2.6,0.8,1.0,264.0,7520.0,0.03,4m,2.2,0.2,0.5,128.0,,,,,,,,3248.0,0.04,5m,2.2,0.4,1.0,704.0,6352.0,0.01,3m,1.4,0.6000000000000001,1.5,744.0,1064,0.03,5m,1.2,0.6000000000000001,1.0,640,3080,0.02,4m,1.4,0.8,1.0,624,,,,,,,,1848.0,0.025,5m,2.2,0.6000000000000001,1.0,280.0,1024,0.045000000000000005,2m,2.4000000000000004,0.4,1.0,408,2384,0.03,4m,2.6,0.4,1.5,440,,,,,,,,5936,0.045000000000000005,1m,2.0,0.4,1.5,696,6376.0,0.025,3m,2.0,0.4,1.0,1024.0,4256,0.025,5m,2.8,0.6000000000000001,2.0,984,3040,0.025,1m,2.2,0.2,1.0,752,6200.0,0.025,2m,2.4000000000000004,0.2,1.0,584.0,0.15000000000000002,25,COMPLETE
26,26,0.9484092748151356,2025-06-22 16:15:09.975479,2025-06-22 16:15:30.492291,0 days 00:00:20.516812,,,,,,,,,,,,,,,,,,,,,,7400.0,0.025,4m,2.2,0.0,1.5,488.0,,,,,,,,4488.0,0.035,1m,2.2,0.4,2.0,808.0,3384.0,0.015,1m,2.8,0.4,1.5,208.0,2472.0,0.03,3m,2.2,0.6000000000000001,1.5,792.0,7096,0.04,3m,1.2,0.4,1.0,496,5472.0,0.01,2m,1.2,0.2,1.0,440.0,1512,0.035,2m,1.6,0.8,1.5,528,6760.0,0.03,3m,2.0,0.2,2.0,560.0,4496,0.01,4m,1.8,0.4,1.5,400,3136.0,0.025,2m,2.6,0.6000000000000001,1.5,680.0,2080.0,0.045000000000000005,5m,1.8,1.0,2.0,768.0,,,,,,,,2184.0,0.015,1m,1.8,0.0,0.5,600.0,2824.0,0.03,1m,1.2,0.8,1.0,520.0,5824,0.045000000000000005,4m,1.8,0.4,1.5,768,4208,0.03,2m,1.8,0.2,0.5,200,,,,,,,,2680.0,0.01,3m,1.8,1.0,1.5,616.0,7400,0.015,4m,2.8,0.8,0.5,520,1040,0.015,3m,2.0,0.2,1.0,536,,,,,,,,7992,0.05,5m,1.6,0.8,1.0,320,,,,,,,,7016,0.03,4m,2.2,0.2,1.5,688,8112,0.015,5m,2.8,0.4,1.5,624,4632.0,0.035,3m,1.6,0.4,1.5,720.0,0.2,22,COMPLETE
27,27,0.9017649391840264,2025-06-22 16:15:30.529598,2025-06-22 16:15:56.730239,0 days 00:00:26.200641,5296.0,0.01,4m,1.4,0.2,2.0,496.0,,,,,,,,8112.0,0.035,5m,1.8,0.4,1.5,920.0,4936.0,0.015,2m,1.6,0.2,2.0,264.0,4600.0,0.04,2m,3.0,0.2,0.5,464.0,8184.0,0.02,3m,2.8,0.0,1.5,944.0,1776.0,0.025,3m,2.4000000000000004,0.6000000000000001,1.0,528.0,3352.0,0.02,1m,1.6,0.2,0.5,472.0,2776,0.045000000000000005,4m,1.4,0.2,1.5,760,6376.0,0.025,5m,1.2,0.0,0.5,888.0,2568,0.02,2m,2.4000000000000004,0.6000000000000001,1.0,1016,5592.0,0.04,5m,1.4,0.6000000000000001,0.5,336.0,5776,0.02,1m,1.6,0.0,2.0,536,3408.0,0.015,1m,1.6,0.2,0.5,456.0,3992.0,0.04,2m,2.6,0.8,0.5,512.0,,,,,,,,6448.0,0.045000000000000005,3m,2.6,0.2,1.5,984.0,6784.0,0.04,4m,1.8,0.4,1.5,248.0,1696,0.035,4m,2.2,0.2,1.0,496,7064,0.045000000000000005,4m,2.4000000000000004,1.0,1.0,352,1768.0,0.015,1m,1.0,1.0,2.0,168.0,1608.0,0.02,1m,1.2,0.0,1.0,240.0,4040,0.035,3m,1.8,0.6000000000000001,1.0,672,5024,0.025,2m,3.0,1.0,0.5,192,6208.0,0.035,4m,1.4,1.0,2.0,1024.0,4168,0.02,5m,2.2,0.6000000000000001,2.0,464,3728.0,0.045000000000000005,4m,2.2,1.0,1.0,808.0,6496,0.04,4m,1.8,0.4,0.5,552,4080,0.045000000000000005,5m,2.2,0.6000000000000001,1.0,504,3144.0,0.01,5m,1.4,0.0,0.5,296.0,0.1,28,COMPLETE
28,28,0.9516637174998704,2025-06-22 16:15:56.797297,2025-06-22 16:16:19.159048,0 days 00:00:22.361751,,,,,,,,,,,,,,,,,,,,,,3688.0,0.04,5m,2.2,0.4,0.5,648.0,,,,,,,,7288.0,0.045000000000000005,4m,2.2,0.6000000000000001,1.0,456.0,4848.0,0.05,2m,1.4,0.2,2.0,416.0,5080.0,0.025,1m,1.2,0.4,2.0,864.0,8136,0.02,3m,2.0,0.0,2.0,904,4064.0,0.015,3m,1.8,0.4,2.0,264.0,3248,0.03,3m,2.6,0.2,2.0,808,7320.0,0.015,1m,1.2,0.0,1.0,232.0,3216,0.025,3m,2.4000000000000004,0.6000000000000001,1.0,896,,,,,,,,5984.0,0.025,1m,2.0,0.4,1.0,864.0,,,,,,,,1040.0,0.025,5m,1.6,0.4,1.0,256.0,,,,,,,,4624,0.025,5m,1.6,1.0,0.5,896,5744,0.015,2m,1.2,0.0,0.5,808,,,,,,,,3816.0,0.03,2m,3.0,0.8,0.5,344.0,2800,0.02,2m,1.6,0.2,1.5,352,3776,0.045000000000000005,4m,1.8,0.0,1.0,336,,,,,,,,2608,0.04,1m,2.8,1.0,1.5,600,,,,,,,,7560,0.015,1m,2.0,0.0,2.0,704,6168,0.03,1m,3.0,0.4,0.5,968,5296.0,0.02,2m,3.0,0.6000000000000001,1.0,440.0,0.35000000000000003,20,COMPLETE
29,29,0.9892252360780461,2025-06-22 16:16:19.246917,2025-06-22 16:16:44.796863,0 days 00:00:25.549946,3552.0,0.04,2m,1.4,0.2,1.5,312.0,,,,,,,,2128.0,0.02,4m,2.0,0.6000000000000001,1.0,312.0,5624.0,0.035,3m,1.8,0.6000000000000001,1.0,840.0,2224.0,0.02,5m,2.2,0.8,1.0,808.0,6080.0,0.025,5m,1.8,0.2,2.0,664.0,2992.0,0.015,1m,3.0,0.8,0.5,736.0,4272.0,0.01,3m,1.0,0.0,1.0,640.0,4520,0.01,2m,3.0,1.0,2.0,640,7560.0,0.035,4m,1.6,0.2,1.0,592.0,5440,0.025,4m,2.8,0.6000000000000001,1.5,680,2784.0,0.035,4m,1.8,1.0,1.5,672.0,5256,0.015,4m,3.0,0.2,1.5,632,1984.0,0.02,1m,1.0,0.4,2.0,664.0,7320.0,0.035,4m,1.6,0.0,1.5,592.0,,,,,,,,3048.0,0.03,1m,2.8,0.6000000000000001,2.0,416.0,4728.0,0.02,4m,2.4000000000000004,1.0,0.5,400.0,3584,0.02,4m,1.8,0.4,1.5,600,3904,0.035,1m,2.2,0.4,1.5,840,,,,,,,,2352.0,0.015,4m,2.4000000000000004,0.6000000000000001,1.5,744.0,5176,0.045000000000000005,4m,3.0,0.0,0.5,872,6112,0.02,5m,2.8,0.6000000000000001,0.5,464,3232.0,0.04,5m,1.6,0.4,1.0,528.0,1728,0.03,1m,1.8,0.4,2.0,512,6960.0,0.02,2m,1.6,0.4,1.5,456.0,3744,0.045000000000000005,2m,3.0,0.8,0.5,840,3400,0.035,1m,1.8,0.2,1.5,368,2024.0,0.045000000000000005,4m,2.0,1.0,1.5,664.0,0.3,27,COMPLETE
30,30,0.9689620398144988,2025-06-22 16:16:44.882425,2025-06-22 16:17:15.254477,0 days 00:00:30.372052,6208.0,0.035,5m,2.8,0.0,2.0,632.0,1224.0,0.05,5m,3.0,0.0,0.5,984.0,6336.0,0.05,1m,1.4,0.2,0.5,448.0,7424.0,0.045000000000000005,4m,2.6,0.8,1.5,504.0,6184.0,0.01,3m,1.0,0.2,1.5,1024.0,5448.0,0.015,2m,1.4,0.8,1.5,936.0,3840.0,0.03,2m,2.8,0.6000000000000001,1.5,296.0,2056.0,0.03,1m,1.6,0.6000000000000001,0.5,984.0,5472,0.01,5m,2.8,0.4,1.5,336,2424.0,0.02,3m,2.0,1.0,1.5,168.0,4048,0.045000000000000005,4m,1.0,0.0,1.0,608,4176.0,0.045000000000000005,2m,1.4,0.8,2.0,880.0,5336,0.01,4m,2.0,0.8,0.5,800,8088.0,0.03,1m,2.0,0.8,1.5,816.0,6232.0,0.02,5m,2.2,0.6000000000000001,0.5,712.0,1608.0,0.04,3m,2.4000000000000004,0.4,2.0,280.0,4968.0,0.035,2m,1.2,0.0,0.5,816.0,2048.0,0.025,4m,1.2,0.2,1.0,584.0,3056,0.015,2m,2.4000000000000004,0.0,1.0,672,4816,0.05,5m,1.6,0.6000000000000001,1.0,496,7976.0,0.03,2m,3.0,0.4,1.5,880.0,3088.0,0.01,1m,2.0,0.4,1.0,592.0,1968,0.025,4m,1.0,0.4,0.5,224,2808,0.035,3m,2.4000000000000004,0.4,2.0,544,6408.0,0.045000000000000005,1m,2.2,0.0,1.5,824.0,3280,0.03,2m,2.4000000000000004,0.2,1.0,400,1152.0,0.04,1m,2.6,0.2,2.0,816.0,5464,0.05,3m,2.6,0.6000000000000001,1.0,608,1696,0.04,4m,1.6,0.0,1.0,720,6688.0,0.015,1m,1.8,0.2,1.0,168.0,0.25,30,COMPLETE
31,31,0.9439186737589793,2025-06-22 16:17:15.303347,2025-06-22 16:17:37.603410,0 days 00:00:22.300063,7104.0,0.025,3m,2.4000000000000004,0.8,0.5,152.0,,,,,,,,,,,,,,,6144.0,0.03,3m,1.8,0.4,1.0,904.0,1096.0,0.025,4m,1.4,0.6000000000000001,1.5,296.0,6128.0,0.01,2m,2.6,1.0,1.5,608.0,2472.0,0.045000000000000005,5m,2.4000000000000004,0.8,2.0,648.0,8192.0,0.015,5m,2.8,0.4,1.0,952.0,4152,0.015,5m,1.8,0.6000000000000001,1.5,640,6816.0,0.025,1m,2.6,0.0,1.5,376.0,4512,0.015,4m,2.0,1.0,1.0,912,2592.0,0.05,5m,1.2,0.4,1.0,208.0,7400,0.015,3m,1.2,1.0,1.0,656,5064.0,0.015,3m,2.8,0.8,1.0,248.0,7528.0,0.03,4m,2.2,0.2,0.5,184.0,,,,,,,,3912.0,0.04,5m,2.2,0.4,1.0,720.0,6456.0,0.01,3m,1.4,0.6000000000000001,1.5,744.0,1216,0.03,5m,1.2,0.6000000000000001,1.0,752,3152,0.02,4m,1.4,0.8,1.0,624,,,,,,,,1792.0,0.025,5m,2.2,0.6000000000000001,1.0,272.0,1152,0.045000000000000005,2m,2.4000000000000004,0.4,1.0,400,2296,0.03,4m,2.6,0.4,1.5,416,3384.0,0.025,2m,1.0,0.8,0.5,296.0,5760,0.045000000000000005,1m,2.0,0.4,1.5,680,6352.0,0.025,3m,1.8,0.4,1.0,1024.0,4040,0.025,5m,2.8,0.6000000000000001,2.0,968,3040,0.025,1m,2.2,0.2,1.0,792,6200.0,0.025,2m,2.4000000000000004,0.2,1.0,584.0,0.15000000000000002,26,COMPLETE
32,32,1.014524592339314,2025-06-22 16:17:37.648017,2025-06-22 16:17:58.264339,0 days 00:00:20.616322,8080.0,0.025,3m,2.4000000000000004,1.0,0.5,264.0,,,,,,,,,,,,,,,6312.0,0.03,3m,1.4,0.2,0.5,856.0,2088.0,0.035,4m,1.4,0.6000000000000001,1.5,328.0,7040.0,0.01,2m,2.8,1.0,1.5,328.0,2728.0,0.045000000000000005,5m,2.2,1.0,2.0,904.0,6192.0,0.015,5m,2.6,0.4,1.0,936.0,1536,0.015,5m,2.2,0.6000000000000001,1.5,776,7104.0,0.015,1m,2.4000000000000004,0.0,1.5,576.0,5056,0.015,4m,2.0,1.0,1.0,944,3912.0,0.05,5m,1.0,0.4,0.5,136.0,8184,0.015,3m,1.4,1.0,0.5,592,6448.0,0.01,3m,2.6,1.0,1.0,272.0,7768.0,0.03,4m,2.6,0.2,0.5,128.0,,,,,,,,3112.0,0.035,5m,2.4000000000000004,0.2,1.0,656.0,5544.0,0.01,3m,1.6,0.6000000000000001,1.5,832.0,2008,0.035,5m,1.4,0.6000000000000001,1.0,576,3056,0.015,4m,1.4,0.8,0.5,648,,,,,,,,2008.0,0.025,5m,2.2,0.8,1.0,280.0,1784,0.05,2m,2.6,0.2,1.0,560,1496,0.03,4m,2.6,0.2,1.5,376,,,,,,,,6736,0.035,1m,2.0,0.4,1.5,808,6936.0,0.025,3m,2.0,0.8,1.0,904.0,4352,0.01,5m,3.0,0.6000000000000001,2.0,944,2472,0.025,1m,2.4000000000000004,0.2,1.0,912,7864.0,0.025,2m,2.4000000000000004,0.0,1.0,568.0,0.05,25,COMPLETE
33,33,0.9355361953645467,2025-06-22 16:17:58.308075,2025-06-22 16:18:19.173943,0 days 00:00:20.865868,8152.0,0.03,3m,2.0,1.0,1.5,288.0,,,,,,,,,,,,,,,5072.0,0.025,3m,1.4,0.0,0.5,792.0,3696.0,0.04,4m,1.6,0.4,1.0,152.0,7248.0,0.015,2m,2.8,1.0,1.0,368.0,2808.0,0.05,5m,2.2,1.0,2.0,944.0,5952.0,0.02,5m,2.2,0.4,1.5,912.0,1624,0.01,5m,2.2,0.8,1.0,776,8072.0,0.01,1m,2.2,0.0,1.5,688.0,6176,0.01,4m,1.8,0.8,0.5,744,4144.0,0.045000000000000005,5m,1.0,0.2,0.5,128.0,8160,0.015,3m,1.4,1.0,0.5,560,6880.0,0.01,3m,2.4000000000000004,1.0,1.0,488.0,8128.0,0.04,4m,2.6,0.0,0.5,352.0,,,,,,,,1936.0,0.035,5m,2.4000000000000004,0.2,1.0,640.0,5320.0,0.015,3m,1.8,0.8,1.0,1000.0,1616,0.035,5m,1.4,0.8,1.5,528,3704,0.015,4m,1.2,1.0,0.5,688,,,,,,,,7936.0,0.02,5m,2.6,0.8,1.0,152.0,1824,0.04,2m,2.6,0.0,1.0,568,1640,0.025,4m,2.8,0.2,1.5,376,,,,,,,,8160,0.035,1m,1.6,0.2,1.5,792,4584.0,0.025,3m,2.4000000000000004,0.8,1.0,736.0,5056,0.01,5m,3.0,0.6000000000000001,2.0,896,2464,0.02,1m,2.6,0.0,1.5,912,4432.0,0.02,2m,2.0,0.0,0.5,536.0,0.05,25,COMPLETE
34,34,1.002382946408364,2025-06-22 16:18:19.254811,2025-06-22 16:18:41.758468,0 days 00:00:22.503657,4248.0,0.01,4m,2.6,0.6000000000000001,0.5,264.0,,,,,,,,3688.0,0.025,5m,2.4000000000000004,0.8,1.5,816.0,7328.0,0.015,3m,1.0,0.2,0.5,944.0,2144.0,0.04,4m,1.2,1.0,1.5,512.0,7704.0,0.015,1m,3.0,0.8,1.5,264.0,3424.0,0.04,5m,2.0,1.0,2.0,872.0,1024.0,0.025,5m,2.0,0.6000000000000001,1.0,880.0,2064,0.015,5m,2.4000000000000004,0.6000000000000001,1.5,696,5416.0,0.015,1m,2.6,0.2,2.0,440.0,5040,0.01,5m,2.2,1.0,1.0,832,5496.0,0.05,5m,1.4,0.4,0.5,400.0,6624,0.02,2m,1.8,1.0,0.5,272,6096.0,0.01,3m,2.8,1.0,0.5,368.0,7056.0,0.045000000000000005,2m,2.8,0.2,1.0,440.0,,,,,,,,2976.0,0.035,2m,2.8,0.0,0.5,576.0,4048.0,0.015,3m,2.2,0.6000000000000001,2.0,872.0,3048,0.04,3m,3.0,1.0,0.5,984,2800,0.015,3m,1.8,0.8,0.5,584,,,,,,,,1360.0,0.035,5m,1.6,1.0,1.0,448.0,3384,0.05,5m,2.8,0.2,1.5,680,1416,0.05,4m,2.2,0.2,1.5,248,1424.0,0.01,4m,2.4000000000000004,0.2,2.0,704.0,7272,0.05,3m,2.0,0.4,1.5,896,7208.0,0.03,5m,1.2,0.8,1.5,872.0,4456,0.015,5m,3.0,0.8,2.0,952,3816,0.03,1m,2.4000000000000004,0.0,0.5,936,8008.0,0.03,1m,2.4000000000000004,0.0,1.5,792.0,0.05,27,COMPLETE
35,35,1.0193894915353285,2025-06-22 16:18:41.862878,2025-06-22 16:19:06.279104,0 days 00:00:24.416226,3320.0,0.01,3m,2.6,0.8,0.5,248.0,,,,,,,,3824.0,0.025,5m,2.4000000000000004,0.8,1.5,768.0,7536.0,0.015,3m,1.0,0.2,0.5,928.0,2168.0,0.04,4m,1.2,0.8,2.0,504.0,7688.0,0.015,1m,3.0,0.8,2.0,240.0,3440.0,0.04,5m,1.8,1.0,2.0,888.0,6224.0,0.015,5m,2.6,0.8,1.0,880.0,2216,0.025,5m,2.4000000000000004,0.4,1.5,728,5376.0,0.015,1m,2.6,0.2,2.0,432.0,5160,0.01,5m,2.2,1.0,1.0,856,5504.0,0.05,3m,1.0,0.6000000000000001,0.5,400.0,7032,0.02,2m,1.6,1.0,0.5,256,6136.0,0.01,3m,2.8,1.0,0.5,312.0,6232.0,0.02,3m,3.0,0.2,1.0,448.0,,,,,,,,3160.0,0.035,2m,2.8,0.0,0.5,568.0,4072.0,0.015,3m,2.6,0.4,2.0,888.0,3016,0.04,3m,3.0,1.0,0.5,1024,1520,0.015,3m,1.8,0.6000000000000001,0.5,568,4576.0,0.03,2m,2.0,0.6000000000000001,1.0,504.0,2128.0,0.035,5m,1.6,1.0,0.5,456.0,3024,0.05,5m,2.8,0.2,2.0,688,1376,0.05,4m,2.2,0.0,1.5,248,1384.0,0.01,4m,2.4000000000000004,0.2,2.0,656.0,7144,0.05,3m,2.0,0.4,1.5,952,7416.0,0.03,5m,1.0,0.8,1.5,904.0,4640,0.015,5m,3.0,0.8,2.0,936,3816,0.03,1m,2.4000000000000004,0.0,0.5,864,8176.0,0.035,1m,2.4000000000000004,0.0,1.0,776.0,0.1,28,COMPLETE
