,number,value,datetime_start,datetime_complete,duration,params_ALGN_ZS_beta_win,params_ALGN_ZS_stop_loss,params_ALGN_ZS_trade_freq,params_ALGN_ZS_z_entry,params_ALGN_ZS_z_exit,params_ALGN_ZS_z_stop_scaler,params_ALGN_ZS_z_win,params_AMAT_EBAY_beta_win,params_AMAT_EBAY_stop_loss,params_AMAT_EBAY_trade_freq,params_AMAT_EBAY_z_entry,params_AMAT_EBAY_z_exit,params_AMAT_EBAY_z_stop_scaler,params_AMAT_EBAY_z_win,params_ASML_EBAY_beta_win,params_ASML_EBAY_stop_loss,params_ASML_EBAY_trade_freq,params_ASML_EBAY_z_entry,params_ASML_EBAY_z_exit,params_ASML_EBAY_z_stop_scaler,params_ASML_EBAY_z_win,params_CSCO_NVDA_beta_win,params_CSCO_NVDA_stop_loss,params_CSCO_NVDA_trade_freq,params_CSCO_NVDA_z_entry,params_CSCO_NVDA_z_exit,params_CSCO_NVDA_z_stop_scaler,params_CSCO_NVDA_z_win,params_CSCO_WDAY_beta_win,params_CSCO_WDAY_stop_loss,params_CSCO_WDAY_trade_freq,params_CSCO_WDAY_z_entry,params_CSCO_WDAY_z_exit,params_CSCO_WDAY_z_stop_scaler,params_CSCO_WDAY_z_win,params_CSCO_ZS_beta_win,params_CSCO_ZS_stop_loss,params_CSCO_ZS_trade_freq,params_CSCO_ZS_z_entry,params_CSCO_ZS_z_exit,params_CSCO_ZS_z_stop_scaler,params_CSCO_ZS_z_win,params_CTSH_ZS_beta_win,params_CTSH_ZS_stop_loss,params_CTSH_ZS_trade_freq,params_CTSH_ZS_z_entry,params_CTSH_ZS_z_exit,params_CTSH_ZS_z_stop_scaler,params_CTSH_ZS_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_OKTA_ZS_beta_win,params_OKTA_ZS_stop_loss,params_OKTA_ZS_trade_freq,params_OKTA_ZS_z_entry,params_OKTA_ZS_z_exit,params_OKTA_ZS_z_stop_scaler,params_OKTA_ZS_z_win,params_SWKS_ZS_beta_win,params_SWKS_ZS_stop_loss,params_SWKS_ZS_trade_freq,params_SWKS_ZS_z_entry,params_SWKS_ZS_z_exit,params_SWKS_ZS_z_stop_scaler,params_SWKS_ZS_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,1.007880435617499,2025-06-22 17:09:55.265320,2025-06-22 17:10:05.667874,0 days 00:00:10.402554,7104,0.025,9m,1.6,0.0,2.0,904,5384.0,0.02,3m,2.6,1.0,0.5,432.0,2936.0,0.04,3m,1.6,0.8,0.5,440.0,7888.0,0.025,4m,2.0,0.0,2.0,136.0,1048.0,0.04,6m,1.8,0.6000000000000001,1.5,552.0,5408.0,0.02,3m,2.2,0.8,1.5,800.0,2744.0,0.035,5m,1.8,0.0,0.5,520.0,3632.0,0.025,9m,1.8,0.0,1.5,576.0,,,,,,,,5472.0,0.02,4m,1.8,0.8,2.0,832.0,0.3,9,COMPLETE
21,21,0.97539789350744,2025-06-22 17:10:05.698114,2025-06-22 17:10:14.800685,0 days 00:00:09.102571,6712,0.015,5m,1.0,0.0,1.5,736,3592.0,0.025,3m,2.4000000000000004,0.8,1.0,128.0,4616.0,0.035,4m,1.2,1.0,1.0,224.0,,,,,,,,3672.0,0.025,6m,2.4000000000000004,0.8,1.5,864.0,7296.0,0.02,3m,2.6,0.6000000000000001,0.5,280.0,1880.0,0.03,8m,2.0,0.4,1.0,784.0,2480.0,0.02,4m,2.2,0.6000000000000001,2.0,680.0,,,,,,,,2944.0,0.02,7m,2.6,0.4,2.0,720.0,0.2,8,COMPLETE
22,22,1.05748544988588,2025-06-22 17:10:14.857246,2025-06-22 17:10:22.402195,0 days 00:00:07.544949,7240,0.015,5m,1.0,0.2,1.0,760,2448.0,0.04,3m,2.4000000000000004,0.8,1.5,512.0,4488.0,0.03,4m,1.4,0.8,1.5,232.0,,,,,,,,3000.0,0.035,6m,2.0,0.8,1.5,928.0,7432.0,0.01,4m,3.0,0.4,0.5,128.0,,,,,,,,,,,,,,,,,,,,,,4312.0,0.015,3m,2.0,0.6000000000000001,2.0,552.0,0.15000000000000002,6,COMPLETE
23,23,1.0079717930364254,2025-06-22 17:10:22.451670,2025-06-22 17:10:30.096546,0 days 00:00:07.644876,7144,0.02,5m,1.4,0.0,1.0,760,4088.0,0.035,3m,2.0,0.8,1.5,480.0,4536.0,0.045000000000000005,4m,1.6,0.8,1.5,392.0,,,,,,,,2312.0,0.035,6m,1.8,1.0,2.0,744.0,5656.0,0.01,3m,1.2,0.6000000000000001,0.5,144.0,,,,,,,,,,,,,,,,,,,,,,4912.0,0.01,4m,2.0,0.8,1.5,480.0,0.15000000000000002,6,COMPLETE
24,24,1.0218252202734743,2025-06-22 17:10:30.149806,2025-06-22 17:10:41.932820,0 days 00:00:11.783014,6280,0.01,4m,1.0,0.2,1.5,672,2136.0,0.04,3m,3.0,1.0,1.0,328.0,3128.0,0.03,8m,1.4,1.0,1.5,216.0,,,,,,,,2008.0,0.035,2m,2.0,0.6000000000000001,1.5,904.0,6936.0,0.015,9m,2.0,0.4,1.0,216.0,2608.0,0.045000000000000005,4m,2.6,0.2,1.5,136.0,4224.0,0.035,6m,1.4,0.4,1.5,424.0,,,,,,,,2496.0,0.015,3m,2.2,0.6000000000000001,2.0,360.0,0.3,8,COMPLETE
25,25,0.9885430110616469,2025-06-22 17:10:42.008096,2025-06-22 17:10:48.215817,0 days 00:00:06.207721,7536,0.015,5m,1.6,0.0,1.0,896,5464.0,0.025,8m,2.4000000000000004,0.8,1.5,800.0,2432.0,0.045000000000000005,6m,1.8,0.6000000000000001,1.0,216.0,,,,,,,,4080.0,0.045000000000000005,8m,1.6,0.8,1.5,736.0,8056.0,0.01,6m,2.6,0.2,0.5,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,5,COMPLETE
26,26,0.9771955483618209,2025-06-22 17:10:48.243527,2025-06-22 17:10:54.386534,0 days 00:00:06.143007,6272,0.02,5m,1.2,0.2,1.5,824,2336.0,0.04,4m,2.6,1.0,0.5,520.0,3816.0,0.035,9m,1.0,0.8,1.0,384.0,,,,,,,,2792.0,0.04,5m,1.0,0.6000000000000001,2.0,360.0,5952.0,0.025,8m,2.0,0.6000000000000001,1.0,360.0,,,,,,,,,,,,,,,,,,,,,,1040.0,0.015,4m,1.8,0.6000000000000001,1.5,576.0,0.2,6,COMPLETE
27,27,0.9530714401085917,2025-06-22 17:10:54.418097,2025-06-22 17:11:03.397614,0 days 00:00:08.979517,7256,0.025,7m,1.6,0.0,1.0,768,6336.0,0.015,9m,2.0,0.2,1.0,352.0,4576.0,0.02,2m,2.0,1.0,1.5,632.0,,,,,,,,1736.0,0.025,4m,2.0,1.0,1.5,584.0,7336.0,0.015,4m,2.6,0.4,1.5,360.0,3880.0,0.035,6m,3.0,0.0,0.5,640.0,6384.0,0.01,8m,1.4,1.0,1.0,824.0,,,,,,,,4464.0,0.025,7m,2.4000000000000004,0.8,2.0,904.0,0.05,8,COMPLETE
28,28,1.0658722563964076,2025-06-22 17:11:03.447049,2025-06-22 17:11:14.336063,0 days 00:00:10.889014,5208,0.01,5m,1.0,0.2,1.5,944,4200.0,0.03,2m,2.2,0.8,1.5,544.0,2496.0,0.04,4m,1.4,0.8,0.5,528.0,3952.0,0.03,7m,2.0,0.6000000000000001,0.5,1024.0,2896.0,0.035,6m,2.2,0.8,1.5,792.0,6704.0,0.02,3m,1.6,0.8,0.5,512.0,2320.0,0.045000000000000005,8m,1.6,0.6000000000000001,0.5,448.0,2424.0,0.02,3m,2.2,0.2,2.0,392.0,,,,,,,,3024.0,0.015,8m,2.0,1.0,1.5,760.0,0.1,9,COMPLETE
29,29,0.9957718416083919,2025-06-22 17:11:14.385266,2025-06-22 17:11:27.018507,0 days 00:00:12.633241,5200,0.01,5m,1.4,0.6000000000000001,2.0,936,4096.0,0.04,2m,1.8,0.6000000000000001,1.5,792.0,1368.0,0.03,4m,1.6,0.6000000000000001,0.5,512.0,3448.0,0.03,7m,2.0,0.6000000000000001,0.5,984.0,4096.0,0.03,6m,2.6,0.4,2.0,792.0,6648.0,0.01,3m,1.2,0.8,1.0,504.0,8056.0,0.045000000000000005,4m,1.0,0.6000000000000001,1.5,392.0,2120.0,0.015,3m,2.4000000000000004,0.2,2.0,360.0,1200.0,0.05,2m,3.0,0.4,0.5,1016.0,5672.0,0.01,8m,1.8,1.0,1.0,648.0,0.1,10,COMPLETE
