,number,value,datetime_start,datetime_complete,duration,params_ALGN_ZS_beta_win,params_ALGN_ZS_stop_loss,params_ALGN_ZS_trade_freq,params_ALGN_ZS_z_entry,params_ALGN_ZS_z_exit,params_ALGN_ZS_z_stop_scaler,params_ALGN_ZS_z_win,params_AMAT_EBAY_beta_win,params_AMAT_EBAY_stop_loss,params_AMAT_EBAY_trade_freq,params_AMAT_EBAY_z_entry,params_AMAT_EBAY_z_exit,params_AMAT_EBAY_z_stop_scaler,params_AMAT_EBAY_z_win,params_ASML_EBAY_beta_win,params_ASML_EBAY_stop_loss,params_ASML_EBAY_trade_freq,params_ASML_EBAY_z_entry,params_ASML_EBAY_z_exit,params_ASML_EBAY_z_stop_scaler,params_ASML_EBAY_z_win,params_CSCO_NVDA_beta_win,params_CSCO_NVDA_stop_loss,params_CSCO_NVDA_trade_freq,params_CSCO_NVDA_z_entry,params_CSCO_NVDA_z_exit,params_CSCO_NVDA_z_stop_scaler,params_CSCO_NVDA_z_win,params_CSCO_WDAY_beta_win,params_CSCO_WDAY_stop_loss,params_CSCO_WDAY_trade_freq,params_CSCO_WDAY_z_entry,params_CSCO_WDAY_z_exit,params_CSCO_WDAY_z_stop_scaler,params_CSCO_WDAY_z_win,params_CSCO_ZS_beta_win,params_CSCO_ZS_stop_loss,params_CSCO_ZS_trade_freq,params_CSCO_ZS_z_entry,params_CSCO_ZS_z_exit,params_CSCO_ZS_z_stop_scaler,params_CSCO_ZS_z_win,params_CTSH_ZS_beta_win,params_CTSH_ZS_stop_loss,params_CTSH_ZS_trade_freq,params_CTSH_ZS_z_entry,params_CTSH_ZS_z_exit,params_CTSH_ZS_z_stop_scaler,params_CTSH_ZS_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_OKTA_ZS_beta_win,params_OKTA_ZS_stop_loss,params_OKTA_ZS_trade_freq,params_OKTA_ZS_z_entry,params_OKTA_ZS_z_exit,params_OKTA_ZS_z_stop_scaler,params_OKTA_ZS_z_win,params_SWKS_ZS_beta_win,params_SWKS_ZS_stop_loss,params_SWKS_ZS_trade_freq,params_SWKS_ZS_z_entry,params_SWKS_ZS_z_exit,params_SWKS_ZS_z_stop_scaler,params_SWKS_ZS_z_win,params_buffer_capital,params_pairs_to_trade,state
77,77,1.0627938839508742,2025-06-22 17:16:55.347714,2025-06-22 17:17:00.194241,0 days 00:00:04.846527,7912,0.01,5m,1.0,0.2,1.0,1008,,,,,,,,2824.0,0.05,3m,1.8,0.8,0.5,336.0,,,,,,,,2696.0,0.01,4m,2.0,0.8,1.0,600.0,7016.0,0.01,7m,2.0,0.8,1.0,560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
78,78,0.9986551248354695,2025-06-22 17:17:00.220732,2025-06-22 17:17:05.230339,0 days 00:00:05.009607,7928,0.01,5m,2.8,0.2,1.5,1000,,,,,,,,2992.0,0.045000000000000005,3m,1.8,0.2,0.5,352.0,,,,,,,,2680.0,0.01,4m,1.8,0.4,1.0,592.0,6888.0,0.02,7m,2.0,0.8,1.0,552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
79,79,0.9725553511892728,2025-06-22 17:17:05.274479,2025-06-22 17:17:15.446772,0 days 00:00:10.172293,7800,0.01,6m,1.2,0.2,1.5,936,5648.0,0.02,4m,1.4,0.6000000000000001,1.5,840.0,1912.0,0.05,3m,2.0,0.8,0.5,432.0,2728.0,0.02,5m,3.0,0.2,1.5,368.0,2320.0,0.01,4m,2.0,1.0,0.5,656.0,7176.0,0.015,7m,2.2,0.8,1.0,608.0,5048.0,0.015,7m,1.2,0.8,2.0,280.0,5088.0,0.035,3m,1.6,0.8,0.5,512.0,,,,,,,,3544.0,0.045000000000000005,8m,1.8,1.0,1.0,928.0,0.35000000000000003,9,COMPLETE
80,80,0.984245026451176,2025-06-22 17:17:15.468814,2025-06-22 17:17:27.541419,0 days 00:00:12.072605,8128,0.01,3m,1.0,0.2,1.0,1024,4152.0,0.015,4m,1.8,0.8,0.5,944.0,1280.0,0.05,3m,2.0,0.6000000000000001,0.5,464.0,4048.0,0.025,5m,2.6,0.2,1.5,360.0,3896.0,0.015,4m,2.2,0.6000000000000001,1.0,560.0,8136.0,0.01,7m,2.4000000000000004,0.8,1.0,632.0,3144.0,0.015,7m,1.0,1.0,2.0,312.0,4168.0,0.025,3m,2.4000000000000004,0.2,1.5,344.0,8168.0,0.03,3m,1.0,0.6000000000000001,1.0,728.0,8016.0,0.025,8m,1.4,0.8,1.5,848.0,0.3,10,COMPLETE
81,81,1.0553191746033148,2025-06-22 17:17:27.589161,2025-06-22 17:17:33.601066,0 days 00:00:06.011905,8184,0.01,5m,1.0,0.2,1.0,968,2968.0,0.035,4m,2.2,0.8,1.5,896.0,2648.0,0.05,3m,1.8,0.8,0.5,304.0,,,,,,,,3000.0,0.02,4m,2.0,0.8,1.0,696.0,7744.0,0.01,7m,2.0,0.8,1.0,584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,5,COMPLETE
82,82,1.0473783279189717,2025-06-22 17:17:33.642917,2025-06-22 17:17:40.323029,0 days 00:00:06.680112,7504,0.01,5m,1.0,0.2,1.0,1000,4688.0,0.03,7m,2.4000000000000004,0.8,1.5,1016.0,2320.0,0.05,3m,1.6,0.8,0.5,360.0,,,,,,,,3272.0,0.01,4m,2.0,0.8,1.5,376.0,7376.0,0.01,7m,2.0,1.0,0.5,512.0,,,,,,,,,,,,,,,,,,,,,,2992.0,0.015,8m,1.8,0.8,2.0,536.0,0.35000000000000003,6,COMPLETE
83,83,0.976231966296643,2025-06-22 17:17:40.366984,2025-06-22 17:17:46.252428,0 days 00:00:05.885444,7184,0.01,5m,1.2,0.2,1.0,912,2584.0,0.025,6m,2.0,0.8,2.0,760.0,3400.0,0.05,3m,1.8,0.8,0.5,192.0,,,,,,,,2848.0,0.015,4m,2.2,0.8,0.5,592.0,7048.0,0.015,7m,2.2,0.6000000000000001,0.5,544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,5,COMPLETE
84,84,0.9604879430139792,2025-06-22 17:17:46.284016,2025-06-22 17:17:55.169561,0 days 00:00:08.885545,7688,0.015,4m,1.0,0.4,1.0,944,3600.0,0.04,8m,2.4000000000000004,0.6000000000000001,1.5,824.0,2928.0,0.03,8m,1.8,0.8,0.5,504.0,2544.0,0.01,9m,2.2,0.4,1.0,640.0,4200.0,0.015,4m,1.8,0.8,1.0,520.0,6720.0,0.01,6m,1.6,0.8,0.5,440.0,3640.0,0.025,7m,1.4,1.0,2.0,208.0,5872.0,0.03,3m,2.0,0.4,2.0,480.0,,,,,,,,3728.0,0.02,8m,1.6,0.8,2.0,800.0,0.25,9,COMPLETE
85,85,1.0548625431151404,2025-06-22 17:17:55.193072,2025-06-22 17:18:04.315600,0 days 00:00:09.122528,7944,0.01,2m,1.0,0.2,1.5,1000,3240.0,0.025,2m,2.2,0.8,1.5,488.0,1432.0,0.025,3m,1.6,0.8,0.5,872.0,,,,,,,,2480.0,0.035,3m,2.2,0.8,1.5,648.0,7544.0,0.01,7m,1.8,0.8,1.0,712.0,,,,,,,,,,,,,,,,,,,,,,2712.0,0.015,6m,2.0,1.0,2.0,576.0,0.4,6,COMPLETE
86,86,0.9964134072223182,2025-06-22 17:18:04.362874,2025-06-22 17:18:10.125482,0 days 00:00:05.762608,4480,0.04,5m,2.2,0.4,1.5,888,3912.0,0.045000000000000005,5m,2.4000000000000004,0.8,1.5,896.0,3632.0,0.045000000000000005,4m,1.2,0.6000000000000001,0.5,328.0,,,,,,,,5696.0,0.045000000000000005,4m,1.8,0.8,2.0,776.0,7960.0,0.03,8m,3.0,0.6000000000000001,0.5,392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,5,COMPLETE
87,87,0.9901790246937789,2025-06-22 17:18:10.141291,2025-06-22 17:18:14.300559,0 days 00:00:04.159268,7304,0.01,7m,1.2,0.2,1.0,968,,,,,,,,,,,,,,,,,,,,,,3104.0,0.02,2m,1.4,1.0,1.5,816.0,5040.0,0.015,9m,1.6,1.0,0.5,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
88,88,1.0574176585413801,2025-06-22 17:18:14.315132,2025-06-22 17:18:21.571454,0 days 00:00:07.256322,5328,0.015,5m,1.0,0.2,1.5,944,2152.0,0.02,4m,2.2,0.2,1.5,552.0,1752.0,0.01,9m,1.6,0.8,0.5,392.0,,,,,,,,2104.0,0.05,8m,2.0,0.6000000000000001,1.5,464.0,7272.0,0.025,5m,3.0,0.8,1.0,656.0,,,,,,,,,,,,,,,,,,,,,,3304.0,0.04,2m,3.0,0.8,2.0,744.0,0.25,6,COMPLETE
89,89,0.9960931300267396,2025-06-22 17:18:21.609913,2025-06-22 17:18:31.295788,0 days 00:00:09.685875,3536,0.01,5m,1.2,0.4,0.5,984,4520.0,0.03,5m,1.4,0.6000000000000001,1.0,608.0,2544.0,0.03,7m,2.4000000000000004,0.8,0.5,784.0,5824.0,0.035,3m,1.8,0.6000000000000001,2.0,240.0,1784.0,0.035,9m,1.6,0.4,1.0,744.0,6488.0,0.02,4m,1.4,0.8,0.5,472.0,6424.0,0.02,7m,1.2,1.0,1.5,432.0,4240.0,0.04,3m,1.6,0.0,1.0,168.0,,,,,,,,2200.0,0.02,7m,1.8,0.6000000000000001,1.5,288.0,0.3,9,COMPLETE
90,90,0.9220165820896534,2025-06-22 17:18:31.336761,2025-06-22 17:18:34.778544,0 days 00:00:03.441783,7032,0.02,8m,1.0,0.2,1.5,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5848.0,0.015,2m,2.2,0.6000000000000001,0.5,576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
91,91,1.0795370483435944,2025-06-22 17:18:34.816661,2025-06-22 17:18:42.517425,0 days 00:00:07.700764,5280,0.015,5m,1.0,0.2,1.5,944,2176.0,0.02,4m,2.2,0.2,1.5,544.0,1736.0,0.01,9m,1.6,0.8,0.5,408.0,,,,,,,,2184.0,0.05,8m,2.0,0.6000000000000001,1.5,456.0,7272.0,0.025,5m,3.0,0.8,1.0,672.0,,,,,,,,,,,,,,,,,,,,,,3224.0,0.045000000000000005,2m,2.2,0.8,2.0,744.0,0.25,6,COMPLETE
92,92,1.042089868247466,2025-06-22 17:18:42.543933,2025-06-22 17:18:50.832255,0 days 00:00:08.288322,4888,0.015,5m,1.0,0.2,1.5,928,1824.0,0.01,4m,2.2,0.0,1.5,504.0,2176.0,0.01,9m,1.8,0.8,0.5,416.0,,,,,,,,2352.0,0.05,8m,2.0,0.6000000000000001,1.5,1024.0,6880.0,0.025,5m,2.8,0.8,1.0,768.0,2848.0,0.015,5m,1.2,0.8,1.5,952.0,,,,,,,,,,,,,,,2664.0,0.05,2m,2.2,0.8,2.0,1024.0,0.15000000000000002,7,COMPLETE
93,93,1.0494532779684147,2025-06-22 17:18:50.880174,2025-06-22 17:18:56.311365,0 days 00:00:05.431191,5696,0.015,5m,1.0,0.2,1.5,984,2728.0,0.02,4m,2.4000000000000004,0.4,1.5,440.0,1968.0,0.01,9m,1.4,0.8,0.5,464.0,,,,,,,,2720.0,0.05,8m,2.2,0.6000000000000001,1.5,456.0,6256.0,0.02,5m,3.0,0.8,1.0,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,5,COMPLETE
94,94,0.9317663555236293,2025-06-22 17:18:56.350422,2025-06-22 17:19:03.452472,0 days 00:00:07.102050,5048,0.01,5m,1.2,0.2,1.5,720,1488.0,0.025,4m,2.0,0.0,1.5,704.0,2792.0,0.02,9m,1.6,0.8,0.5,368.0,,,,,,,,3424.0,0.045000000000000005,8m,2.2,0.6000000000000001,1.5,528.0,7760.0,0.025,5m,2.4000000000000004,0.8,1.0,616.0,,,,,,,,,,,,,,,,,,,,,,4048.0,0.035,2m,2.0,1.0,2.0,680.0,0.1,6,COMPLETE
95,95,0.9603147195001168,2025-06-22 17:19:03.476258,2025-06-22 17:19:11.945162,0 days 00:00:08.468904,4696,0.025,5m,1.2,0.2,1.5,872,2192.0,0.015,2m,2.2,0.2,1.5,536.0,6000.0,0.035,4m,1.6,0.6000000000000001,0.5,944.0,,,,,,,,1552.0,0.05,5m,2.0,0.8,1.5,608.0,7472.0,0.01,7m,3.0,1.0,0.5,640.0,4408.0,0.03,9m,1.6,1.0,2.0,376.0,,,,,,,,,,,,,,,3176.0,0.045000000000000005,5m,2.2,0.8,2.0,768.0,0.3,7,COMPLETE
96,96,1.0004549625787076,2025-06-22 17:19:11.971425,2025-06-22 17:19:18.097167,0 days 00:00:06.125742,7480,0.015,9m,1.0,0.4,1.5,640,4120.0,0.025,5m,2.0,0.8,1.0,552.0,1648.0,0.015,2m,1.8,1.0,0.5,264.0,,,,,,,,2920.0,0.025,6m,2.4000000000000004,0.4,1.5,288.0,7064.0,0.02,5m,2.8,0.8,1.0,568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,5,COMPLETE
97,97,1.1324508923533148,2025-06-22 17:19:18.132905,2025-06-22 17:19:23.111061,0 days 00:00:04.978156,5552,0.01,5m,1.0,0.6000000000000001,1.5,912,,,,,,,,3320.0,0.025,3m,2.2,0.8,1.5,592.0,,,,,,,,1880.0,0.045000000000000005,7m,1.6,0.6000000000000001,2.0,904.0,2800.0,0.015,3m,1.2,0.0,0.5,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
98,98,1.0650289504985306,2025-06-22 17:19:23.136666,2025-06-22 17:19:28.347018,0 days 00:00:05.210352,5240,0.01,5m,1.0,0.6000000000000001,1.5,952,,,,,,,,3328.0,0.025,3m,2.2,0.8,0.5,648.0,,,,,,,,1184.0,0.05,7m,1.6,0.6000000000000001,2.0,368.0,2680.0,0.015,3m,1.2,0.0,0.5,528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
99,99,1.1248974317182905,2025-06-22 17:19:28.386245,2025-06-22 17:19:33.475240,0 days 00:00:05.088995,5296,0.01,7m,1.2,0.6000000000000001,1.5,920,,,,,,,,3360.0,0.025,3m,2.2,1.0,0.5,592.0,,,,,,,,1128.0,0.05,7m,1.6,0.6000000000000001,2.0,336.0,2256.0,0.015,3m,1.0,0.0,0.5,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
