,number,value,datetime_start,datetime_complete,duration,params_AAPL_PDD_beta_win,params_AAPL_PDD_stop_loss,params_AAPL_PDD_trade_freq,params_AAPL_PDD_z_entry,params_AAPL_PDD_z_exit,params_AAPL_PDD_z_stop_scaler,params_AAPL_PDD_z_win,params_AMGN_ADI_beta_win,params_AMGN_ADI_stop_loss,params_AMGN_ADI_trade_freq,params_AMGN_ADI_z_entry,params_AMGN_ADI_z_exit,params_AMGN_ADI_z_stop_scaler,params_AMGN_ADI_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_GOOGL_FTNT_beta_win,params_GOOGL_FTNT_stop_loss,params_GOOGL_FTNT_trade_freq,params_GOOGL_FTNT_z_entry,params_GOOGL_FTNT_z_exit,params_GOOGL_FTNT_z_stop_scaler,params_GOOGL_FTNT_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_MRNA_PCAR_beta_win,params_MRNA_PCAR_stop_loss,params_MRNA_PCAR_trade_freq,params_MRNA_PCAR_z_entry,params_MRNA_PCAR_z_exit,params_MRNA_PCAR_z_stop_scaler,params_MRNA_PCAR_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_PDD_PEP_beta_win,params_PDD_PEP_stop_loss,params_PDD_PEP_trade_freq,params_PDD_PEP_z_entry,params_PDD_PEP_z_exit,params_PDD_PEP_z_stop_scaler,params_PDD_PEP_z_win,params_SBUX_TXN_beta_win,params_SBUX_TXN_stop_loss,params_SBUX_TXN_trade_freq,params_SBUX_TXN_z_entry,params_SBUX_TXN_z_exit,params_SBUX_TXN_z_stop_scaler,params_SBUX_TXN_z_win,params_ZS_ADI_beta_win,params_ZS_ADI_stop_loss,params_ZS_ADI_trade_freq,params_ZS_ADI_z_entry,params_ZS_ADI_z_exit,params_ZS_ADI_z_stop_scaler,params_ZS_ADI_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,1.016244650813054,2025-06-22 16:58:19.568214,2025-06-22 16:58:27.639333,0 days 00:00:08.071119,,,,,,,,,,,,,,,2496.0,0.025,5m,1.6,1.0,1.5,432.0,,,,,,,,4456,0.045000000000000005,4m,1.8,0.4,1.5,720,6160.0,0.035,3m,1.2,0.8,1.0,432.0,3848.0,0.01,3m,2.2,1.0,1.5,1016.0,,,,,,,,,,,,,,,5656.0,0.01,2m,1.6,0.0,0.5,976.0,0.25,5,COMPLETE
21,21,0.9975556982558378,2025-06-22 16:58:27.688236,2025-06-22 16:58:35.629152,0 days 00:00:07.940916,,,,,,,,,,,,,,,3592.0,0.025,5m,1.8,1.0,1.5,384.0,,,,,,,,6096,0.045000000000000005,4m,2.6,0.6000000000000001,2.0,704,5440.0,0.04,3m,1.0,0.6000000000000001,1.0,432.0,3392.0,0.015,3m,2.8,0.8,1.5,808.0,,,,,,,,,,,,,,,4872.0,0.02,2m,1.8,0.2,1.0,1016.0,0.25,5,COMPLETE
22,22,0.9949642218687842,2025-06-22 16:58:35.696868,2025-06-22 16:58:40.056459,0 days 00:00:04.359591,,,,,,,,,,,,,,,2320.0,0.025,5m,1.8,1.0,1.5,344.0,,,,,,,,4984,0.045000000000000005,4m,2.4000000000000004,0.8,1.5,736,5696.0,0.035,3m,1.0,0.6000000000000001,1.0,488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
23,23,0.9926721403757811,2025-06-22 16:58:40.083562,2025-06-22 16:58:45.653181,0 days 00:00:05.569619,,,,,,,,,,,,,,,3872.0,0.02,5m,1.8,0.8,1.5,528.0,,,,,,,,6648,0.05,4m,2.8,0.4,2.0,584,6656.0,0.045000000000000005,3m,1.4,0.6000000000000001,1.5,304.0,5152.0,0.015,3m,2.0,0.8,1.0,880.0,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
24,24,1.0,2025-06-22 16:58:45.690222,2025-06-22 16:58:48.452254,0 days 00:00:02.762032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4312,0.045000000000000005,9m,2.4000000000000004,0.8,1.5,648,4944.0,0.035,3m,1.2,0.8,0.5,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
25,25,1.0111480292896267,2025-06-22 16:58:48.483194,2025-06-22 16:58:56.617890,0 days 00:00:08.134696,1592.0,0.01,4m,2.2,1.0,0.5,128.0,,,,,,,,2432.0,0.035,5m,2.0,0.6000000000000001,2.0,304.0,,,,,,,,5496,0.04,5m,2.8,0.2,2.0,904,3976.0,0.045000000000000005,3m,1.2,0.4,1.0,504.0,2856.0,0.04,2m,2.2,0.6000000000000001,1.5,872.0,,,,,,,,,,,,,,,4496.0,0.025,8m,1.6,0.2,0.5,344.0,0.25,6,COMPLETE
26,26,0.9911232494901788,2025-06-22 16:58:56.686868,2025-06-22 16:59:04.004296,0 days 00:00:07.317428,,,,,,,,,,,,,,,3928.0,0.02,5m,1.6,1.0,1.5,552.0,,,,,,,,6248,0.05,4m,2.2,0.4,1.0,776,5976.0,0.04,3m,1.8,0.2,1.0,360.0,4632.0,0.015,8m,1.8,1.0,1.0,736.0,,,,,,,,,,,,,,,8176.0,0.04,2m,3.0,0.2,1.5,864.0,0.05,5,COMPLETE
27,27,1.0007663322776612,2025-06-22 16:59:04.040664,2025-06-22 16:59:06.731212,0 days 00:00:02.690548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7280,0.045000000000000005,4m,2.8,0.6000000000000001,1.5,536,7112.0,0.035,6m,1.0,0.6000000000000001,1.5,368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
28,28,1.020245841530727,2025-06-22 16:59:06.804811,2025-06-22 16:59:11.822215,0 days 00:00:05.017404,,,,,,,,,,,,,,,2912.0,0.035,5m,1.4,0.8,1.5,488.0,,,,,,,,5896,0.01,4m,1.8,0.2,2.0,656,3448.0,0.025,5m,1.6,0.8,0.5,520.0,2888.0,0.02,4m,2.6,0.6000000000000001,0.5,424.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
29,29,1.0038454550325242,2025-06-22 16:59:11.844742,2025-06-22 16:59:15.051081,0 days 00:00:03.206339,,,,,,,,,,,,,,,1752.0,0.02,6m,1.0,1.0,1.0,688.0,,,,,,,,4024,0.03,6m,2.6,0.4,2.0,544,5120.0,0.045000000000000005,9m,1.2,0.2,1.0,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
