,number,value,datetime_start,datetime_complete,duration,params_AMD_FAST_beta_win,params_AMD_FAST_stop_loss,params_AMD_FAST_trade_freq,params_AMD_FAST_z_entry,params_AMD_FAST_z_exit,params_AMD_FAST_z_stop_scaler,params_AMD_FAST_z_win,params_AMD_ISRG_beta_win,params_AMD_ISRG_stop_loss,params_AMD_ISRG_trade_freq,params_AMD_ISRG_z_entry,params_AMD_ISRG_z_exit,params_AMD_ISRG_z_stop_scaler,params_AMD_ISRG_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ANSS_OKTA_beta_win,params_ANSS_OKTA_stop_loss,params_ANSS_OKTA_trade_freq,params_ANSS_OKTA_z_entry,params_ANSS_OKTA_z_exit,params_ANSS_OKTA_z_stop_scaler,params_ANSS_OKTA_z_win,params_ASML_AVGO_beta_win,params_ASML_AVGO_stop_loss,params_ASML_AVGO_trade_freq,params_ASML_AVGO_z_entry,params_ASML_AVGO_z_exit,params_ASML_AVGO_z_stop_scaler,params_ASML_AVGO_z_win,params_ASML_INTU_beta_win,params_ASML_INTU_stop_loss,params_ASML_INTU_trade_freq,params_ASML_INTU_z_entry,params_ASML_INTU_z_exit,params_ASML_INTU_z_stop_scaler,params_ASML_INTU_z_win,params_ASML_TXN_beta_win,params_ASML_TXN_stop_loss,params_ASML_TXN_trade_freq,params_ASML_TXN_z_entry,params_ASML_TXN_z_exit,params_ASML_TXN_z_stop_scaler,params_ASML_TXN_z_win,params_ATVI_ILMN_beta_win,params_ATVI_ILMN_stop_loss,params_ATVI_ILMN_trade_freq,params_ATVI_ILMN_z_entry,params_ATVI_ILMN_z_exit,params_ATVI_ILMN_z_stop_scaler,params_ATVI_ILMN_z_win,params_ATVI_PYPL_beta_win,params_ATVI_PYPL_stop_loss,params_ATVI_PYPL_trade_freq,params_ATVI_PYPL_z_entry,params_ATVI_PYPL_z_exit,params_ATVI_PYPL_z_stop_scaler,params_ATVI_PYPL_z_win,params_AVGO_XEL_beta_win,params_AVGO_XEL_stop_loss,params_AVGO_XEL_trade_freq,params_AVGO_XEL_z_entry,params_AVGO_XEL_z_exit,params_AVGO_XEL_z_stop_scaler,params_AVGO_XEL_z_win,params_BIDU_ILMN_beta_win,params_BIDU_ILMN_stop_loss,params_BIDU_ILMN_trade_freq,params_BIDU_ILMN_z_entry,params_BIDU_ILMN_z_exit,params_BIDU_ILMN_z_stop_scaler,params_BIDU_ILMN_z_win,params_CHTR_MDLZ_beta_win,params_CHTR_MDLZ_stop_loss,params_CHTR_MDLZ_trade_freq,params_CHTR_MDLZ_z_entry,params_CHTR_MDLZ_z_exit,params_CHTR_MDLZ_z_stop_scaler,params_CHTR_MDLZ_z_win,params_CTSH_FAST_beta_win,params_CTSH_FAST_stop_loss,params_CTSH_FAST_trade_freq,params_CTSH_FAST_z_entry,params_CTSH_FAST_z_exit,params_CTSH_FAST_z_stop_scaler,params_CTSH_FAST_z_win,params_CTSH_TMUS_beta_win,params_CTSH_TMUS_stop_loss,params_CTSH_TMUS_trade_freq,params_CTSH_TMUS_z_entry,params_CTSH_TMUS_z_exit,params_CTSH_TMUS_z_stop_scaler,params_CTSH_TMUS_z_win,params_EBAY_NFLX_beta_win,params_EBAY_NFLX_stop_loss,params_EBAY_NFLX_trade_freq,params_EBAY_NFLX_z_entry,params_EBAY_NFLX_z_exit,params_EBAY_NFLX_z_stop_scaler,params_EBAY_NFLX_z_win,params_FAST_TMUS_beta_win,params_FAST_TMUS_stop_loss,params_FAST_TMUS_trade_freq,params_FAST_TMUS_z_entry,params_FAST_TMUS_z_exit,params_FAST_TMUS_z_stop_scaler,params_FAST_TMUS_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_ILMN_NFLX_beta_win,params_ILMN_NFLX_stop_loss,params_ILMN_NFLX_trade_freq,params_ILMN_NFLX_z_entry,params_ILMN_NFLX_z_exit,params_ILMN_NFLX_z_stop_scaler,params_ILMN_NFLX_z_win,params_ILMN_PYPL_beta_win,params_ILMN_PYPL_stop_loss,params_ILMN_PYPL_trade_freq,params_ILMN_PYPL_z_entry,params_ILMN_PYPL_z_exit,params_ILMN_PYPL_z_stop_scaler,params_ILMN_PYPL_z_win,params_ILMN_SWKS_beta_win,params_ILMN_SWKS_stop_loss,params_ILMN_SWKS_trade_freq,params_ILMN_SWKS_z_entry,params_ILMN_SWKS_z_exit,params_ILMN_SWKS_z_stop_scaler,params_ILMN_SWKS_z_win,params_KLAC_TXN_beta_win,params_KLAC_TXN_stop_loss,params_KLAC_TXN_trade_freq,params_KLAC_TXN_z_entry,params_KLAC_TXN_z_exit,params_KLAC_TXN_z_stop_scaler,params_KLAC_TXN_z_win,params_LRCX_MCHP_beta_win,params_LRCX_MCHP_stop_loss,params_LRCX_MCHP_trade_freq,params_LRCX_MCHP_z_entry,params_LRCX_MCHP_z_exit,params_LRCX_MCHP_z_stop_scaler,params_LRCX_MCHP_z_win,params_LRCX_TXN_beta_win,params_LRCX_TXN_stop_loss,params_LRCX_TXN_trade_freq,params_LRCX_TXN_z_entry,params_LRCX_TXN_z_exit,params_LRCX_TXN_z_stop_scaler,params_LRCX_TXN_z_win,params_MSFT_PCAR_beta_win,params_MSFT_PCAR_stop_loss,params_MSFT_PCAR_trade_freq,params_MSFT_PCAR_z_entry,params_MSFT_PCAR_z_exit,params_MSFT_PCAR_z_stop_scaler,params_MSFT_PCAR_z_win,params_MTCH_REGN_beta_win,params_MTCH_REGN_stop_loss,params_MTCH_REGN_trade_freq,params_MTCH_REGN_z_entry,params_MTCH_REGN_z_exit,params_MTCH_REGN_z_stop_scaler,params_MTCH_REGN_z_win,params_MU_TXN_beta_win,params_MU_TXN_stop_loss,params_MU_TXN_trade_freq,params_MU_TXN_z_entry,params_MU_TXN_z_exit,params_MU_TXN_z_stop_scaler,params_MU_TXN_z_win,params_MU_XEL_beta_win,params_MU_XEL_stop_loss,params_MU_XEL_trade_freq,params_MU_XEL_z_entry,params_MU_XEL_z_exit,params_MU_XEL_z_stop_scaler,params_MU_XEL_z_win,params_NXPI_TXN_beta_win,params_NXPI_TXN_stop_loss,params_NXPI_TXN_trade_freq,params_NXPI_TXN_z_entry,params_NXPI_TXN_z_exit,params_NXPI_TXN_z_stop_scaler,params_NXPI_TXN_z_win,params_REGN_SBUX_beta_win,params_REGN_SBUX_stop_loss,params_REGN_SBUX_trade_freq,params_REGN_SBUX_z_entry,params_REGN_SBUX_z_exit,params_REGN_SBUX_z_stop_scaler,params_REGN_SBUX_z_win,params_REGN_TEAM_beta_win,params_REGN_TEAM_stop_loss,params_REGN_TEAM_trade_freq,params_REGN_TEAM_z_entry,params_REGN_TEAM_z_exit,params_REGN_TEAM_z_stop_scaler,params_REGN_TEAM_z_win,params_buffer_capital,params_pairs_to_trade,state
27,27,0.9450792136283829,2025-06-22 16:14:05.428460,2025-06-22 16:14:18.157633,0 days 00:00:12.729173,5336.0,0.03,1m,1.8,0.8,1.0,312.0,,,,,,,,4104,0.01,3m,1.4,0.4,2.0,312,,,,,,,,6128,0.01,1m,2.2,0.2,1.5,904,,,,,,,,,,,,,,,2120,0.03,1m,1.6,0.4,0.5,192,2176,0.045000000000000005,2m,2.8,0.8,1.5,752,,,,,,,,,,,,,,,2928,0.02,5m,3.0,0.8,0.5,912,6496.0,0.035,5m,2.8,0.2,1.5,264.0,6312,0.02,2m,2.2,0.0,0.5,424,,,,,,,,,,,,,,,7808,0.02,2m,2.4000000000000004,1.0,1.0,1024,,,,,,,,,,,,,,,4904,0.04,4m,2.8,0.0,1.5,648,4760,0.025,4m,1.4,1.0,1.5,664,6624,0.025,4m,2.4000000000000004,0.4,2.0,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,12,COMPLETE
28,28,0.973208915875518,2025-06-22 16:14:18.217372,2025-06-22 16:14:31.860035,0 days 00:00:13.642663,2400.0,0.045000000000000005,1m,1.8,0.6000000000000001,1.0,256.0,,,,,,,,3128,0.02,3m,1.8,0.0,2.0,192,,,,,,,,7128,0.015,1m,1.8,0.4,1.5,520,,,,,,,,,,,,,,,3088,0.045000000000000005,1m,1.2,0.6000000000000001,0.5,1024,4096,0.045000000000000005,2m,2.6,0.4,1.0,504,,,,,,,,,,,,,,,2168,0.02,5m,3.0,0.6000000000000001,0.5,936,7408.0,0.03,3m,2.4000000000000004,0.6000000000000001,1.5,432.0,1032,0.015,2m,2.2,0.2,0.5,464,,,,,,,,,,,,,,,6568,0.02,5m,2.0,1.0,0.5,832,,,,,,,,,,,,,,,4136,0.05,4m,2.0,0.6000000000000001,1.0,904,5184,0.035,4m,2.0,1.0,1.0,760,5880,0.035,4m,2.0,0.4,2.0,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7032.0,0.04,4m,2.4000000000000004,0.4,1.0,864.0,,,,,,,,0.15000000000000002,13,COMPLETE
29,29,0.9716552039265104,2025-06-22 16:14:31.907520,2025-06-22 16:14:49.307536,0 days 00:00:17.400016,3304.0,0.035,1m,1.4,0.8,1.0,384.0,,,,,,,,3392,0.015,3m,3.0,0.4,2.0,592,,,,,,,,8088,0.015,1m,2.6,0.2,1.5,712,,,,,,,,,,,,,,,1400,0.04,3m,1.0,0.6000000000000001,1.0,872,3704,0.025,5m,2.6,0.6000000000000001,1.5,224,,,,,,,,2680.0,0.05,1m,2.2,0.2,2.0,864.0,1192,0.015,5m,2.6,1.0,0.5,1024,4816.0,0.045000000000000005,2m,3.0,0.4,1.5,312.0,4792,0.025,5m,2.0,0.6000000000000001,0.5,576,,,,,,,,,,,,,,,8176,0.025,4m,1.4,0.6000000000000001,1.0,536,8192.0,0.02,1m,1.0,0.2,1.0,616.0,,,,,,,,2960,0.025,4m,2.4000000000000004,0.0,1.5,504,7376,0.035,4m,1.2,1.0,1.5,608,7368,0.045000000000000005,4m,2.8,0.6000000000000001,1.5,880,1640.0,0.03,2m,2.0,0.8,1.5,144.0,2280.0,0.05,4m,1.6,0.4,1.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5032.0,0.025,3m,1.2,0.8,1.5,240.0,,,,,,,,0.15000000000000002,17,COMPLETE
30,30,0.9100616367218308,2025-06-22 16:14:49.348576,2025-06-22 16:15:03.425862,0 days 00:00:14.077286,5008.0,0.04,5m,2.0,0.4,1.0,304.0,,,,,,,,4224,0.03,3m,1.2,0.2,0.5,496,,,,,,,,7504,0.04,4m,1.2,0.4,1.5,952,,,,,,,,,,,,,,,3296,0.035,1m,1.6,0.6000000000000001,1.5,632,2168,0.035,2m,1.8,0.8,1.5,592,,,,,,,,4480.0,0.015,1m,1.8,0.4,1.5,344.0,2744,0.015,5m,2.2,0.8,2.0,960,5464.0,0.045000000000000005,2m,2.6,0.0,1.5,568.0,5808,0.035,2m,2.4000000000000004,0.0,1.5,360,,,,,,,,,,,,,,,6264,0.01,3m,2.0,1.0,1.5,720,,,,,,,,,,,,,,,3624,0.04,4m,2.8,0.2,2.0,376,4016,0.02,4m,3.0,0.8,1.5,832,7808,0.025,4m,2.4000000000000004,0.4,1.0,544,3536.0,0.05,5m,1.6,0.8,2.0,1000.0,1136.0,0.025,5m,1.4,0.6000000000000001,0.5,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6272.0,0.03,5m,1.6,0.0,1.0,488.0,,,,,,,,0.1,16,COMPLETE
31,31,1.0361015278411887,2025-06-22 16:15:03.462242,2025-06-22 16:15:18.315119,0 days 00:00:14.852877,2096.0,0.04,1m,2.2,0.6000000000000001,1.5,128.0,,,,,,,,2328,0.025,4m,1.2,0.0,1.5,384,,,,,,,,7472,0.02,1m,1.6,0.0,1.0,1024,,,,,,,,,,,,,,,2568,0.05,1m,1.8,0.8,0.5,288,5128,0.035,2m,3.0,0.2,2.0,384,,,,,,,,8080.0,0.035,5m,1.2,0.6000000000000001,1.5,1016.0,4488,0.025,3m,2.8,1.0,0.5,776,6328.0,0.04,2m,2.8,0.2,1.0,480.0,7568,0.015,2m,2.0,0.0,0.5,288,,,,,,,,,,,,,,,2936,0.015,2m,2.8,0.8,1.0,920,,,,,,,,,,,,,,,4392,0.045000000000000005,4m,3.0,0.0,1.0,776,6192,0.04,3m,2.4000000000000004,0.8,1.5,504,7688,0.03,4m,2.4000000000000004,0.6000000000000001,2.0,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784.0,0.02,5m,1.8,1.0,2.0,368.0,,,,,,,,0.2,14,COMPLETE
32,32,0.9536305654512239,2025-06-22 16:15:18.363771,2025-06-22 16:15:31.034601,0 days 00:00:12.670830,,,,,,,,,,,,,,,2296,0.025,1m,1.4,0.0,1.5,384,,,,,,,,6312,0.02,1m,1.6,0.0,1.0,1024,,,,,,,,,,,,,,,1816,0.05,1m,1.6,0.8,0.5,304,4352,0.04,2m,2.8,0.4,1.5,344,,,,,,,,,,,,,,,3960,0.03,3m,2.8,1.0,0.5,888,6104.0,0.035,2m,2.8,0.2,1.0,464.0,6560,0.01,2m,2.0,0.0,0.5,184,,,,,,,,,,,,,,,4464,0.015,2m,2.8,0.8,1.0,936,,,,,,,,,,,,,,,5152,0.045000000000000005,4m,3.0,0.0,1.0,664,6224,0.04,2m,2.4000000000000004,1.0,1.5,704,7752,0.03,4m,2.2,0.8,2.0,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,11,COMPLETE
33,33,0.99084027761954,2025-06-22 16:15:31.089119,2025-06-22 16:15:47.074799,0 days 00:00:15.985680,1864.0,0.045000000000000005,1m,2.2,0.6000000000000001,1.5,200.0,,,,,,,,2856,0.03,4m,1.2,0.0,2.0,536,,,,,,,,7768,0.025,1m,2.0,0.2,1.0,960,,,,,,,,,,,,,,,2488,0.05,1m,2.0,0.6000000000000001,0.5,192,5216,0.03,2m,3.0,0.4,1.5,504,,,,,,,,7920.0,0.035,5m,1.2,0.6000000000000001,2.0,1016.0,6112,0.02,1m,3.0,1.0,0.5,856,6696.0,0.03,2m,2.8,0.2,2.0,672.0,7664,0.015,2m,2.2,0.0,0.5,272,,,,,,,,,,,,,,,3320,0.02,2m,3.0,1.0,1.0,848,,,,,,,,,,,,,,,4424,0.05,4m,2.6,0.0,1.0,552,5344,0.03,2m,2.8,0.6000000000000001,1.5,616,6632,0.035,4m,2.4000000000000004,0.6000000000000001,2.0,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3880.0,0.02,5m,1.8,1.0,2.0,232.0,,,,,,,,0.2,14,COMPLETE
34,34,1.001744861320769,2025-06-22 16:15:47.117125,2025-06-22 16:16:00.737478,0 days 00:00:13.620353,1040.0,0.04,1m,1.6,0.6000000000000001,1.5,216.0,,,,,,,,2176,0.025,3m,1.6,0.2,1.5,312,,,,,,,,6656,0.015,1m,1.8,0.0,1.5,888,,,,,,,,,,,,,,,1160,0.045000000000000005,2m,2.2,0.8,0.5,208,6344,0.04,5m,2.8,0.0,2.0,400,,,,,,,,,,,,,,,4624,0.035,3m,2.8,0.8,0.5,696,7592.0,0.04,1m,3.0,0.0,1.0,784.0,3392,0.02,2m,1.6,0.2,1.0,304,,,,,,,,,,,,,,,1808,0.01,2m,3.0,0.8,1.0,720,,,,,,,,,,,,,,,3800,0.04,4m,2.8,0.2,1.5,752,6992,0.035,4m,1.8,0.8,1.5,224,7544,0.025,4m,2.6,1.0,2.0,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2712.0,0.02,5m,2.2,1.0,1.5,344.0,,,,,,,,0.1,13,COMPLETE
35,35,0.969641701838377,2025-06-22 16:16:00.774223,2025-06-22 16:16:12.789549,0 days 00:00:12.015326,,,,,,,,,,,,,,,1368,0.035,5m,1.0,0.0,1.5,568,,,,,,,,7400,0.01,4m,1.6,0.2,1.0,960,,,,,,,,,,,,,,,3408,0.05,1m,1.4,0.6000000000000001,0.5,400,5896,0.035,2m,2.4000000000000004,0.2,0.5,296,,,,,,,,,,,,,,,3728,0.025,5m,2.6,0.4,0.5,816,7224.0,0.045000000000000005,1m,2.2,0.4,1.0,584.0,8192,0.01,2m,2.4000000000000004,0.0,0.5,200,,,,,,,,,,,,,,,4808,0.015,2m,2.4000000000000004,1.0,0.5,888,,,,,,,,,,,,,,,5864,0.045000000000000005,4m,3.0,0.0,1.0,904,3080,0.04,1m,2.4000000000000004,0.6000000000000001,1.0,392,5592,0.04,4m,2.8,0.2,1.5,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,11,COMPLETE
36,36,0.9455414712426436,2025-06-22 16:16:12.828944,2025-06-22 16:16:31.582628,0 days 00:00:18.753684,4000.0,0.04,1m,2.8,0.8,1.5,264.0,,,,,,,,1992,0.02,1m,2.2,0.4,2.0,280,,,,,,,,7200,0.015,1m,1.2,0.0,1.5,976,,,,,,,,,,,,,,,2784,0.04,1m,3.0,0.8,1.0,824,7016,0.03,2m,2.6,0.4,1.0,312,,,,,,,,8192.0,0.035,5m,1.2,0.4,1.5,1024.0,3176,0.03,3m,3.0,0.8,0.5,752,4184.0,0.01,2m,2.6,0.2,1.5,696.0,6576,0.04,3m,2.0,0.0,1.0,376,,,,,,,,,,,,,,,2160,0.02,5m,2.8,0.2,1.0,624,,,,,,,,,,,,,,,4712,0.03,1m,2.6,0.0,1.5,848,4136,0.035,5m,2.8,1.0,1.5,512,5312,0.05,4m,1.8,0.6000000000000001,2.0,408,6544.0,0.03,1m,2.2,0.4,0.5,304.0,3712.0,0.04,2m,2.4000000000000004,0.2,1.0,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3520.0,0.025,5m,1.2,0.8,2.0,464.0,,,,,,,,0.05,16,COMPLETE
37,37,1.0286866212045342,2025-06-22 16:16:31.632085,2025-06-22 16:16:43.244867,0 days 00:00:11.612782,2856.0,0.045000000000000005,4m,2.0,0.4,0.5,168.0,,,,,,,,2784,0.015,2m,1.8,0.2,1.5,192,,,,,,,,4120,0.02,4m,1.6,0.0,1.0,888,,,,,,,,,,,,,,,5464,0.045000000000000005,5m,1.8,0.6000000000000001,0.5,280,3432,0.04,1m,3.0,0.6000000000000001,1.5,184,,,,,,,,6064.0,0.045000000000000005,5m,1.8,0.2,1.0,712.0,2232,0.02,2m,1.0,0.6000000000000001,1.0,976,5984.0,0.035,3m,2.8,0.6000000000000001,0.5,304.0,1592,0.02,4m,1.2,0.4,0.5,456,,,,,,,,,,,,,,,7136,0.01,3m,3.0,0.8,0.5,792,,,,,,,,,,,,,,,6376,0.04,4m,2.0,0.2,1.0,592,4960,0.025,3m,2.0,0.8,1.0,736,6872,0.03,3m,2.0,0.8,0.5,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4728.0,0.015,5m,1.6,1.0,2.0,280.0,,,,,,,,0.3,14,COMPLETE
38,38,0.9674787569486321,2025-06-22 16:16:43.298391,2025-06-22 16:16:56.831044,0 days 00:00:13.532653,2880.0,0.035,1m,2.0,0.4,0.5,144.0,,,,,,,,2968,0.015,2m,1.8,0.0,1.5,192,,,,,,,,4096,0.025,4m,1.4,0.8,1.5,904,,,,,,,,,,,,,,,4520,0.015,5m,2.2,0.4,0.5,304,3392,0.045000000000000005,1m,3.0,0.6000000000000001,1.0,192,,,,,,,,7320.0,0.045000000000000005,5m,1.8,0.2,1.0,688.0,2376,0.02,2m,1.0,0.6000000000000001,1.5,984,5912.0,0.03,3m,1.2,0.6000000000000001,0.5,304.0,1680,0.025,4m,2.8,0.4,1.0,640,,,,,,,,,,,,,,,7096,0.01,3m,3.0,0.8,0.5,504,,,,,,,,,,,,,,,6792,0.045000000000000005,4m,2.0,0.4,1.5,616,4872,0.025,3m,2.2,0.8,1.0,1024,8104,0.025,3m,1.6,0.4,0.5,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4352.0,0.035,2m,2.2,0.8,0.5,288.0,,,,,,,,0.3,14,COMPLETE
39,39,1.023878315342374,2025-06-22 16:16:56.877745,2025-06-22 16:17:12.521727,0 days 00:00:15.643982,2040.0,0.045000000000000005,2m,1.6,0.4,0.5,184.0,,,,,,,,3624,0.015,2m,2.2,0.2,1.5,184,,,,,,,,4120,0.035,4m,1.6,0.2,1.0,760,,,,,,,,,,,,,,,5512,0.05,5m,1.8,0.2,0.5,536,2400,0.04,1m,2.8,0.6000000000000001,1.5,184,,,,,,,,6168.0,0.05,5m,1.4,0.0,1.5,888.0,1504,0.025,2m,1.6,0.8,0.5,960,5280.0,0.035,3m,2.2,0.8,0.5,216.0,2888,0.02,4m,2.2,0.6000000000000001,0.5,456,,,,,,,,,,,,,,,7080,0.015,3m,3.0,0.8,0.5,720,4888.0,0.02,2m,1.6,0.2,1.0,1016.0,,,,,,,,6544,0.02,4m,1.8,1.0,1.0,552,3488,0.025,3m,1.6,0.8,1.0,752,6912,0.03,3m,1.8,0.2,0.5,456,3568.0,0.04,3m,2.4000000000000004,0.8,1.5,704.0,5400.0,0.025,4m,1.8,0.8,0.5,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5736.0,0.015,1m,2.0,1.0,1.5,520.0,,,,,,,,0.25,17,COMPLETE
40,40,0.9985238327996608,2025-06-22 16:17:12.558877,2025-06-22 16:17:28.577234,0 days 00:00:16.018357,2080.0,0.025,2m,1.6,0.4,0.5,192.0,,,,,,,,3464,0.015,2m,2.2,0.8,1.5,184,,,,,,,,2784,0.035,4m,1.2,0.6000000000000001,1.0,656,,,,,,,,,,,,,,,5488,0.05,5m,2.8,0.2,0.5,496,1032,0.05,1m,2.8,0.6000000000000001,0.5,136,,,,,,,,6304.0,0.05,5m,1.4,0.0,1.5,848.0,1656,0.015,2m,1.6,1.0,1.5,856,4464.0,0.035,3m,2.2,0.8,0.5,136.0,2864,0.03,4m,2.4000000000000004,0.8,0.5,472,,,,,,,,,,,,,,,6984,0.01,3m,1.0,0.6000000000000001,0.5,680,4696.0,0.02,2m,1.6,0.2,1.0,1024.0,,,,,,,,6616,0.02,4m,1.8,1.0,0.5,544,3496,0.02,3m,1.4,0.6000000000000001,1.0,872,6928,0.03,3m,1.0,0.2,0.5,520,3568.0,0.04,3m,2.4000000000000004,0.8,1.5,720.0,5784.0,0.025,4m,1.8,0.8,0.5,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4824.0,0.02,1m,2.0,0.8,2.0,552.0,,,,,,,,0.35000000000000003,17,COMPLETE
41,41,1.0499762311905556,2025-06-22 16:17:28.634846,2025-06-22 16:17:42.382770,0 days 00:00:13.747924,1864.0,0.045000000000000005,2m,1.8,0.4,0.5,176.0,,,,,,,,2600,0.015,2m,2.4000000000000004,0.2,1.5,280,,,,,,,,4048,0.04,4m,1.6,0.2,1.0,744,,,,,,,,,,,,,,,4600,0.05,5m,1.8,0.2,0.5,808,2344,0.04,1m,3.0,0.6000000000000001,1.5,208,,,,,,,,5808.0,0.045000000000000005,5m,1.2,0.0,1.5,896.0,1760,0.025,2m,1.0,0.8,0.5,952,5384.0,0.035,3m,2.4000000000000004,0.8,0.5,240.0,1768,0.02,4m,2.2,0.6000000000000001,0.5,312,,,,,,,,,,,,,,,8016,0.015,3m,3.0,0.8,0.5,808,,,,,,,,,,,,,,,7424,0.02,4m,1.8,0.6000000000000001,1.0,584,3680,0.03,3m,1.6,0.8,1.0,744,7632,0.025,3m,1.8,0.2,0.5,456,,,,,,,,5352.0,0.02,4m,1.8,0.6000000000000001,0.5,328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5664.0,0.015,1m,1.8,1.0,1.5,432.0,,,,,,,,0.25,15,COMPLETE
42,42,1.02657797657127,2025-06-22 16:17:42.421333,2025-06-22 16:17:56.308749,0 days 00:00:13.887416,1648.0,0.045000000000000005,2m,1.2,0.4,0.5,136.0,,,,,,,,4384,0.015,2m,2.4000000000000004,0.4,1.5,264,,,,,,,,4128,0.04,4m,1.6,0.4,1.0,752,,,,,,,,,,,,,,,4552,0.05,5m,1.8,0.2,0.5,696,2184,0.035,1m,2.8,0.8,1.5,168,,,,,,,,5960.0,0.045000000000000005,5m,1.2,0.0,1.5,904.0,1808,0.02,2m,1.0,0.8,0.5,984,5392.0,0.035,3m,2.4000000000000004,0.8,0.5,216.0,1744,0.025,4m,2.2,0.6000000000000001,0.5,304,,,,,,,,,,,,,,,7728,0.01,3m,3.0,0.8,0.5,720,,,,,,,,,,,,,,,7304,0.015,4m,1.6,0.8,1.0,592,3656,0.025,3m,1.6,0.8,1.0,744,7720,0.025,3m,1.8,0.2,0.5,440,,,,,,,,5096.0,0.02,4m,1.8,0.6000000000000001,0.5,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5656.0,0.015,1m,1.8,1.0,1.5,592.0,,,,,,,,0.25,15,COMPLETE
43,43,0.9832699765833671,2025-06-22 16:17:56.350549,2025-06-22 16:18:10.235981,0 days 00:00:13.885432,1432.0,0.04,2m,1.2,0.2,0.5,136.0,,,,,,,,6040,0.01,2m,2.4000000000000004,0.4,1.5,248,,,,,,,,3160,0.045000000000000005,4m,1.6,0.4,1.0,736,,,,,,,,,,,,,,,4472,0.05,5m,2.0,0.2,0.5,824,1832,0.035,1m,3.0,1.0,1.5,224,,,,,,,,5024.0,0.045000000000000005,5m,1.2,0.0,1.5,776.0,1808,0.02,2m,1.0,0.8,0.5,1016,5528.0,0.03,3m,2.4000000000000004,0.8,0.5,232.0,1616,0.025,4m,2.6,0.8,0.5,232,,,,,,,,,,,,,,,8088,0.01,3m,3.0,0.8,0.5,624,,,,,,,,,,,,,,,7232,0.015,4m,1.4,0.8,1.0,608,2608,0.03,3m,1.2,0.6000000000000001,1.0,800,7832,0.02,3m,1.4,0.0,0.5,592,,,,,,,,6400.0,0.015,4m,1.6,0.6000000000000001,0.5,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4656.0,0.05,1m,3.0,0.8,1.5,592.0,,,,,,,,0.3,15,COMPLETE
44,44,1.003043117606618,2025-06-22 16:18:10.279305,2025-06-22 16:18:20.287502,0 days 00:00:10.008197,,,,,,,,,,,,,,,5504,0.015,2m,2.8,0.4,1.5,296,,,,,,,,3856,0.04,4m,1.4,0.4,1.5,688,,,,,,,,,,,,,,,3632,0.05,5m,1.8,0.0,0.5,704,3048,0.03,1m,2.6,0.8,1.5,160,,,,,,,,,,,,,,,1096,0.025,2m,1.2,1.0,0.5,888,5024.0,0.025,3m,2.0,1.0,0.5,336.0,2304,0.015,4m,2.2,0.6000000000000001,0.5,304,,,,,,,,,,,,,,,7608,0.01,3m,2.8,0.6000000000000001,0.5,800,,,,,,,,,,,,,,,7352,0.015,4m,1.6,0.6000000000000001,1.0,672,4480,0.025,3m,1.4,1.0,0.5,712,8184,0.015,3m,1.8,0.2,0.5,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,11,COMPLETE
