,number,value,datetime_start,datetime_complete,duration,params_ADP_ASML_beta_win,params_ADP_ASML_stop_loss,params_ADP_ASML_trade_freq,params_ADP_ASML_z_entry,params_ADP_ASML_z_exit,params_ADP_ASML_z_stop_scaler,params_ADP_ASML_z_win,params_ADP_PAYX_beta_win,params_ADP_PAYX_stop_loss,params_ADP_PAYX_trade_freq,params_ADP_PAYX_z_entry,params_ADP_PAYX_z_exit,params_ADP_PAYX_z_stop_scaler,params_ADP_PAYX_z_win,params_ADP_XEL_beta_win,params_ADP_XEL_stop_loss,params_ADP_XEL_trade_freq,params_ADP_XEL_z_entry,params_ADP_XEL_z_exit,params_ADP_XEL_z_stop_scaler,params_ADP_XEL_z_win,params_AMGN_ANSS_beta_win,params_AMGN_ANSS_stop_loss,params_AMGN_ANSS_trade_freq,params_AMGN_ANSS_z_entry,params_AMGN_ANSS_z_exit,params_AMGN_ANSS_z_stop_scaler,params_AMGN_ANSS_z_win,params_ASML_PAYX_beta_win,params_ASML_PAYX_stop_loss,params_ASML_PAYX_trade_freq,params_ASML_PAYX_z_entry,params_ASML_PAYX_z_exit,params_ASML_PAYX_z_stop_scaler,params_ASML_PAYX_z_win,params_AZN_ANSS_beta_win,params_AZN_ANSS_stop_loss,params_AZN_ANSS_trade_freq,params_AZN_ANSS_z_entry,params_AZN_ANSS_z_exit,params_AZN_ANSS_z_stop_scaler,params_AZN_ANSS_z_win,params_CSCO_META_beta_win,params_CSCO_META_stop_loss,params_CSCO_META_trade_freq,params_CSCO_META_z_entry,params_CSCO_META_z_exit,params_CSCO_META_z_stop_scaler,params_CSCO_META_z_win,params_GFS_SNPS_beta_win,params_GFS_SNPS_stop_loss,params_GFS_SNPS_trade_freq,params_GFS_SNPS_z_entry,params_GFS_SNPS_z_exit,params_GFS_SNPS_z_stop_scaler,params_GFS_SNPS_z_win,params_GILD_META_beta_win,params_GILD_META_stop_loss,params_GILD_META_trade_freq,params_GILD_META_z_entry,params_GILD_META_z_exit,params_GILD_META_z_stop_scaler,params_GILD_META_z_win,params_PYPL_ASML_beta_win,params_PYPL_ASML_stop_loss,params_PYPL_ASML_trade_freq,params_PYPL_ASML_z_entry,params_PYPL_ASML_z_exit,params_PYPL_ASML_z_stop_scaler,params_PYPL_ASML_z_win,params_buffer_capital,params_pairs_to_trade,state
83,83,1.028009491002085,2025-06-22 17:38:27.186382,2025-06-22 17:38:34.507207,0 days 00:00:07.320825,6168,0.045000000000000005,8m,1.2,0.8,2.0,864,7704.0,0.025,8m,1.0,1.0,1.0,272.0,8192.0,0.015,6m,2.4000000000000004,0.6000000000000001,2.0,624.0,3248.0,0.015,9m,3.0,0.0,0.5,688.0,3368.0,0.03,6m,2.2,0.0,1.5,312.0,2544.0,0.04,2m,2.6,0.4,0.5,456.0,5408.0,0.05,7m,2.8,0.8,2.0,352.0,,,,,,,,3520.0,0.04,6m,2.4000000000000004,0.0,1.5,232.0,,,,,,,,0.35000000000000003,8,COMPLETE
84,84,1.0405221584683646,2025-06-22 17:38:34.540992,2025-06-22 17:38:43.407430,0 days 00:00:08.866438,6008,0.045000000000000005,8m,1.0,0.8,2.0,800,6888.0,0.045000000000000005,3m,1.2,0.8,1.0,368.0,6456.0,0.01,9m,2.4000000000000004,0.6000000000000001,2.0,720.0,5376.0,0.02,9m,2.8,0.0,0.5,840.0,1904.0,0.035,6m,1.8,0.0,1.5,584.0,3208.0,0.045000000000000005,2m,2.8,0.6000000000000001,0.5,552.0,3336.0,0.045000000000000005,7m,3.0,1.0,1.5,184.0,,,,,,,,2496.0,0.045000000000000005,9m,2.2,0.2,1.5,352.0,1408.0,0.045000000000000005,4m,1.6,0.6000000000000001,1.0,552.0,0.3,9,COMPLETE
85,85,0.9805513827452759,2025-06-22 17:38:43.432430,2025-06-22 17:38:53.056017,0 days 00:00:09.623587,6168,0.05,8m,1.2,0.8,2.0,760,5976.0,0.035,2m,1.2,0.2,0.5,296.0,5800.0,0.02,6m,2.6,0.6000000000000001,2.0,680.0,1888.0,0.02,9m,2.6,0.2,1.0,736.0,2408.0,0.025,6m,2.0,0.0,2.0,432.0,3960.0,0.05,2m,3.0,0.6000000000000001,0.5,360.0,6336.0,0.04,6m,2.6,1.0,1.5,376.0,,,,,,,,3352.0,0.04,3m,2.4000000000000004,0.0,2.0,160.0,2696.0,0.05,9m,1.2,1.0,1.5,424.0,0.45,9,COMPLETE
86,86,1.028136060354405,2025-06-22 17:38:53.078022,2025-06-22 17:38:59.724373,0 days 00:00:06.646351,6704,0.04,8m,1.2,0.8,2.0,784,7304.0,0.04,6m,1.0,1.0,1.0,480.0,4832.0,0.015,6m,2.8,0.6000000000000001,2.0,760.0,,,,,,,,1328.0,0.04,9m,2.2,0.0,1.5,488.0,3384.0,0.045000000000000005,2m,1.8,0.4,0.5,320.0,3952.0,0.05,7m,2.4000000000000004,0.8,2.0,216.0,,,,,,,,2848.0,0.035,6m,1.8,0.2,1.5,216.0,,,,,,,,0.35000000000000003,7,COMPLETE
87,87,1.0275614662446702,2025-06-22 17:38:59.744066,2025-06-22 17:39:07.582939,0 days 00:00:07.838873,6464,0.04,8m,1.0,0.8,2.0,672,6608.0,0.045000000000000005,7m,1.0,1.0,1.0,320.0,5280.0,0.02,6m,2.6,0.8,2.0,592.0,3112.0,0.03,9m,3.0,0.0,0.5,944.0,2816.0,0.03,4m,1.6,0.2,1.5,376.0,2800.0,0.04,5m,2.6,0.6000000000000001,0.5,504.0,4616.0,0.045000000000000005,7m,2.2,0.2,1.5,464.0,,,,,,,,2336.0,0.04,2m,2.0,0.0,1.5,312.0,,,,,,,,0.25,8,COMPLETE
88,88,0.9865001890400897,2025-06-22 17:39:07.605611,2025-06-22 17:39:17.783309,0 days 00:00:10.177698,5608,0.045000000000000005,8m,1.2,1.0,2.0,864,7672.0,0.03,8m,1.2,1.0,1.0,408.0,6800.0,0.01,3m,2.4000000000000004,0.4,2.0,632.0,4072.0,0.015,7m,2.8,0.0,0.5,608.0,1936.0,0.035,6m,2.0,0.0,2.0,320.0,2296.0,0.05,2m,2.8,0.4,0.5,416.0,3784.0,0.04,5m,2.8,1.0,1.5,320.0,7880.0,0.035,3m,2.6,0.6000000000000001,1.0,552.0,1416.0,0.045000000000000005,7m,2.8,0.2,2.0,296.0,4784.0,0.035,5m,1.2,0.2,1.5,888.0,0.3,10,COMPLETE
89,89,0.9977448737172374,2025-06-22 17:39:17.815646,2025-06-22 17:39:27.171646,0 days 00:00:09.356000,6280,0.05,8m,2.6,0.8,2.0,832,6960.0,0.05,8m,1.4,0.8,1.0,248.0,6128.0,0.02,6m,2.6,0.6000000000000001,2.0,792.0,2872.0,0.01,6m,2.6,0.2,1.0,840.0,1440.0,0.04,2m,2.2,0.2,1.5,712.0,3096.0,0.045000000000000005,2m,2.6,0.6000000000000001,0.5,544.0,4224.0,0.05,2m,2.4000000000000004,1.0,1.5,176.0,,,,,,,,4848.0,0.035,6m,2.2,0.0,1.5,128.0,,,,,,,,0.4,8,COMPLETE
90,90,0.9722715230120191,2025-06-22 17:39:27.210269,2025-06-22 17:39:34.773292,0 days 00:00:07.563023,5840,0.045000000000000005,8m,1.0,0.8,2.0,128,6392.0,0.04,5m,1.0,1.0,0.5,544.0,7056.0,0.025,6m,2.4000000000000004,0.6000000000000001,2.0,864.0,3688.0,0.025,5m,2.8,0.0,0.5,752.0,2072.0,0.02,6m,1.6,0.0,1.5,424.0,2200.0,0.035,6m,1.6,0.4,0.5,416.0,5384.0,0.05,7m,2.2,0.8,2.0,296.0,,,,,,,,4016.0,0.05,6m,2.4000000000000004,0.0,1.5,368.0,1816.0,0.045000000000000005,6m,1.6,0.8,0.5,632.0,0.25,9,COMPLETE
91,91,1.0224280451954266,2025-06-22 17:39:34.794794,2025-06-22 17:39:43.454992,0 days 00:00:08.660198,6912,0.04,8m,1.2,0.8,2.0,888,5408.0,0.035,8m,1.2,1.0,1.0,280.0,4672.0,0.015,6m,2.8,0.4,2.0,664.0,2464.0,0.02,2m,2.4000000000000004,0.4,1.0,792.0,1272.0,0.05,6m,2.4000000000000004,0.2,1.5,360.0,1576.0,0.04,7m,2.8,0.8,0.5,376.0,3048.0,0.045000000000000005,3m,2.6,0.8,1.5,432.0,,,,,,,,2240.0,0.03,8m,2.2,0.2,1.5,264.0,3456.0,0.03,7m,2.2,0.6000000000000001,2.0,944.0,0.3,9,COMPLETE
92,92,1.0351063394968836,2025-06-22 17:39:43.488482,2025-06-22 17:39:52.277024,0 days 00:00:08.788542,6752,0.04,8m,1.4,0.6000000000000001,2.0,936,5824.0,0.035,8m,1.0,1.0,1.0,176.0,4408.0,0.01,6m,2.8,0.6000000000000001,2.0,712.0,2008.0,0.02,4m,2.6,0.2,0.5,872.0,1536.0,0.04,8m,2.6,0.6000000000000001,1.5,472.0,1216.0,0.04,8m,3.0,0.8,0.5,400.0,3552.0,0.05,3m,2.2,1.0,1.5,384.0,,,,,,,,2912.0,0.025,6m,2.2,0.2,1.0,184.0,2352.0,0.035,2m,1.8,0.6000000000000001,2.0,800.0,0.3,9,COMPLETE
93,93,0.9600369331516445,2025-06-22 17:39:52.291050,2025-06-22 17:40:00.050147,0 days 00:00:07.759097,2944,0.035,5m,1.2,0.8,2.0,856,6312.0,0.035,8m,1.2,1.0,1.0,216.0,3816.0,0.025,5m,2.6,0.6000000000000001,2.0,760.0,2672.0,0.02,8m,2.2,0.6000000000000001,0.5,344.0,6776.0,0.045000000000000005,6m,2.4000000000000004,0.0,1.5,296.0,2000.0,0.04,2m,2.8,0.6000000000000001,0.5,456.0,4752.0,0.045000000000000005,4m,2.4000000000000004,0.4,1.5,552.0,,,,,,,,2368.0,0.035,6m,2.0,0.0,1.5,232.0,,,,,,,,0.35000000000000003,8,COMPLETE
94,94,1.0359253832783182,2025-06-22 17:40:00.090910,2025-06-22 17:40:10.344400,0 days 00:00:10.253490,6208,0.04,7m,1.2,0.8,2.0,736,5440.0,0.045000000000000005,8m,1.0,0.2,1.0,352.0,5280.0,0.015,2m,2.8,0.4,2.0,640.0,1768.0,0.015,7m,2.2,0.2,0.5,544.0,2144.0,0.05,5m,2.0,0.2,1.5,376.0,1696.0,0.045000000000000005,9m,1.8,0.8,0.5,496.0,2984.0,0.03,7m,2.8,0.8,1.5,344.0,3504.0,0.02,2m,2.6,0.2,2.0,240.0,1600.0,0.03,3m,2.4000000000000004,0.0,1.5,176.0,3248.0,0.04,8m,1.8,0.8,1.0,1000.0,0.25,10,COMPLETE
95,95,1.0134567238278829,2025-06-22 17:40:10.382230,2025-06-22 17:40:20.338896,0 days 00:00:09.956666,6576,0.05,2m,3.0,0.6000000000000001,2.0,896,4872.0,0.03,8m,1.4,1.0,1.0,384.0,7584.0,0.01,6m,2.4000000000000004,0.6000000000000001,2.0,672.0,3432.0,0.025,3m,2.4000000000000004,0.0,0.5,928.0,1744.0,0.04,9m,1.8,1.0,1.5,512.0,2464.0,0.035,2m,2.0,0.6000000000000001,0.5,1008.0,2328.0,0.035,9m,2.0,1.0,1.5,240.0,,,,,,,,3000.0,0.025,9m,2.6,0.0,1.0,440.0,1040.0,0.03,3m,1.2,0.4,1.5,720.0,0.3,9,COMPLETE
96,96,1.003715174253136,2025-06-22 17:40:20.368953,2025-06-22 17:40:28.204483,0 days 00:00:07.835530,5952,0.045000000000000005,3m,1.4,0.6000000000000001,2.0,824,5984.0,0.04,4m,1.2,0.8,1.0,264.0,4984.0,0.02,6m,2.6,0.8,2.0,576.0,,,,,,,,1080.0,0.035,4m,2.8,0.0,1.0,1024.0,2736.0,0.04,2m,2.4000000000000004,0.8,0.5,424.0,4392.0,0.05,7m,2.6,1.0,1.5,304.0,,,,,,,,2104.0,0.04,5m,2.2,0.4,1.5,280.0,,,,,,,,0.35000000000000003,7,COMPLETE
97,97,0.9653919076280791,2025-06-22 17:40:28.584177,2025-06-22 17:40:36.814709,0 days 00:00:08.230532,7192,0.035,8m,1.0,0.8,2.0,784,7224.0,0.045000000000000005,8m,2.2,1.0,1.0,320.0,4296.0,0.025,9m,2.2,0.6000000000000001,2.0,808.0,2264.0,0.045000000000000005,9m,3.0,0.0,1.0,704.0,1384.0,0.045000000000000005,6m,2.0,0.0,2.0,336.0,3280.0,0.045000000000000005,7m,2.6,0.4,0.5,368.0,3760.0,0.025,3m,2.4000000000000004,0.8,1.0,272.0,6592.0,0.04,7m,1.4,0.2,1.0,496.0,2760.0,0.035,7m,1.6,0.2,1.5,336.0,4136.0,0.025,7m,2.2,0.6000000000000001,2.0,816.0,0.25,10,COMPLETE
98,98,0.9545543071821735,2025-06-22 17:40:36.848270,2025-06-22 17:40:46.448910,0 days 00:00:09.600640,6392,0.04,4m,1.4,1.0,2.0,704,6712.0,0.04,3m,1.0,0.8,1.0,240.0,5584.0,0.015,6m,2.8,0.6000000000000001,2.0,728.0,3072.0,0.015,2m,2.6,0.2,0.5,632.0,2592.0,0.03,6m,2.2,0.2,1.5,648.0,2936.0,0.05,2m,2.8,0.6000000000000001,2.0,328.0,3336.0,0.035,7m,2.2,0.8,1.5,448.0,,,,,,,,3552.0,0.045000000000000005,4m,2.4000000000000004,0.0,2.0,568.0,,,,,,,,0.3,8,COMPLETE
99,99,1.01471819288065,2025-06-22 17:40:46.480337,2025-06-22 17:40:56.117748,0 days 00:00:09.637411,6984,0.04,8m,1.2,0.8,2.0,920,4304.0,0.035,2m,1.4,1.0,2.0,184.0,3552.0,0.01,6m,2.4000000000000004,0.4,2.0,536.0,4320.0,0.025,9m,2.8,1.0,1.5,872.0,2240.0,0.025,5m,1.8,0.4,1.5,400.0,1304.0,0.035,5m,2.2,1.0,0.5,472.0,2816.0,0.04,2m,2.0,1.0,1.5,376.0,,,,,,,,2480.0,0.03,8m,2.0,0.0,1.0,224.0,1688.0,0.045000000000000005,4m,1.4,0.8,1.0,928.0,0.25,9,COMPLETE
