,number,value,datetime_start,datetime_complete,duration,params_ADP_ASML_beta_win,params_ADP_ASML_stop_loss,params_ADP_ASML_trade_freq,params_ADP_ASML_z_entry,params_ADP_ASML_z_exit,params_ADP_ASML_z_stop_scaler,params_ADP_ASML_z_win,params_ADP_PAYX_beta_win,params_ADP_PAYX_stop_loss,params_ADP_PAYX_trade_freq,params_ADP_PAYX_z_entry,params_ADP_PAYX_z_exit,params_ADP_PAYX_z_stop_scaler,params_ADP_PAYX_z_win,params_ADP_XEL_beta_win,params_ADP_XEL_stop_loss,params_ADP_XEL_trade_freq,params_ADP_XEL_z_entry,params_ADP_XEL_z_exit,params_ADP_XEL_z_stop_scaler,params_ADP_XEL_z_win,params_AMGN_ANSS_beta_win,params_AMGN_ANSS_stop_loss,params_AMGN_ANSS_trade_freq,params_AMGN_ANSS_z_entry,params_AMGN_ANSS_z_exit,params_AMGN_ANSS_z_stop_scaler,params_AMGN_ANSS_z_win,params_ASML_PAYX_beta_win,params_ASML_PAYX_stop_loss,params_ASML_PAYX_trade_freq,params_ASML_PAYX_z_entry,params_ASML_PAYX_z_exit,params_ASML_PAYX_z_stop_scaler,params_ASML_PAYX_z_win,params_AZN_ANSS_beta_win,params_AZN_ANSS_stop_loss,params_AZN_ANSS_trade_freq,params_AZN_ANSS_z_entry,params_AZN_ANSS_z_exit,params_AZN_ANSS_z_stop_scaler,params_AZN_ANSS_z_win,params_CSCO_META_beta_win,params_CSCO_META_stop_loss,params_CSCO_META_trade_freq,params_CSCO_META_z_entry,params_CSCO_META_z_exit,params_CSCO_META_z_stop_scaler,params_CSCO_META_z_win,params_GFS_SNPS_beta_win,params_GFS_SNPS_stop_loss,params_GFS_SNPS_trade_freq,params_GFS_SNPS_z_entry,params_GFS_SNPS_z_exit,params_GFS_SNPS_z_stop_scaler,params_GFS_SNPS_z_win,params_GILD_META_beta_win,params_GILD_META_stop_loss,params_GILD_META_trade_freq,params_GILD_META_z_entry,params_GILD_META_z_exit,params_GILD_META_z_stop_scaler,params_GILD_META_z_win,params_PYPL_ASML_beta_win,params_PYPL_ASML_stop_loss,params_PYPL_ASML_trade_freq,params_PYPL_ASML_z_entry,params_PYPL_ASML_z_exit,params_PYPL_ASML_z_stop_scaler,params_PYPL_ASML_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,1.0,2025-06-22 17:31:54.613102,2025-06-22 17:31:55.855830,0 days 00:00:01.242728,7048,0.03,9m,2.2,0.8,1.0,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
21,21,1.0304749622412477,2025-06-22 17:31:55.878674,2025-06-22 17:31:57.999030,0 days 00:00:02.120356,7840,0.04,9m,1.6,0.6000000000000001,1.0,992,,,,,,,,2888.0,0.025,8m,1.8,0.2,1.5,448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
22,22,1.0395989876927358,2025-06-22 17:31:58.032970,2025-06-22 17:32:00.188081,0 days 00:00:02.155111,7312,0.025,9m,1.6,0.6000000000000001,1.0,904,,,,,,,,3200.0,0.035,8m,1.4,0.2,1.0,472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
23,23,1.036615026089942,2025-06-22 17:32:00.216285,2025-06-22 17:32:02.328224,0 days 00:00:02.111939,6656,0.025,9m,1.8,0.6000000000000001,1.0,904,,,,,,,,3336.0,0.035,8m,1.4,0.2,1.0,464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
24,24,0.9911369412564676,2025-06-22 17:32:02.361988,2025-06-22 17:32:06.758425,0 days 00:00:04.396437,6552,0.025,9m,1.8,0.8,1.0,872,8064.0,0.04,3m,2.2,1.0,0.5,784.0,3552.0,0.035,8m,1.4,0.2,1.0,504.0,,,,,,,,,,,,,,,5976.0,0.025,8m,2.6,0.4,0.5,416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,4,COMPLETE
25,25,1.0218275190013497,2025-06-22 17:32:06.790484,2025-06-22 17:32:09.026823,0 days 00:00:02.236339,7288,0.025,9m,1.4,0.6000000000000001,1.0,912,,,,,,,,2120.0,0.04,8m,1.2,0.4,1.0,1008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
26,26,1.0,2025-06-22 17:32:09.066649,2025-06-22 17:32:12.982557,0 days 00:00:03.915908,5248,0.015,9m,2.2,0.8,1.0,648,5176.0,0.015,6m,3.0,0.0,1.0,152.0,3592.0,0.035,8m,1.6,0.6000000000000001,0.5,344.0,,,,,,,,,,,,,,,3752.0,0.025,8m,2.8,0.0,1.5,472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,4,COMPLETE
27,27,0.9527819513626192,2025-06-22 17:32:13.015885,2025-06-22 17:32:15.755135,0 days 00:00:02.739250,6280,0.02,9m,1.8,0.6000000000000001,0.5,824,,,,,,,,5096.0,0.045000000000000005,3m,1.2,0.2,1.0,760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
28,28,0.9179309359936982,2025-06-22 17:32:15.795231,2025-06-22 17:32:26.985200,0 days 00:00:11.189969,4352,0.03,4m,1.0,0.4,1.0,792,8152.0,0.045000000000000005,3m,2.6,0.6000000000000001,0.5,832.0,2424.0,0.035,5m,1.6,0.4,0.5,520.0,7952.0,0.05,8m,1.0,1.0,0.5,168.0,4896.0,0.02,8m,1.6,0.0,0.5,312.0,8176.0,0.035,6m,1.0,1.0,0.5,328.0,1064.0,0.01,4m,2.2,1.0,0.5,160.0,,,,,,,,1216.0,0.05,5m,3.0,0.0,0.5,200.0,1256.0,0.05,2m,3.0,0.0,2.0,144.0,0.15000000000000002,9,COMPLETE
29,29,0.9907146119551588,2025-06-22 17:32:27.019852,2025-06-22 17:32:28.530675,0 days 00:00:01.510823,6824,0.025,6m,2.0,0.4,0.5,928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
