,number,value,datetime_start,datetime_complete,duration,params_ABNB_NXPI_beta_win,params_ABNB_NXPI_stop_loss,params_ABNB_NXPI_trade_freq,params_ABNB_NXPI_z_entry,params_ABNB_NXPI_z_exit,params_ABNB_NXPI_z_stop_scaler,params_ABNB_NXPI_z_win,params_AMAT_ORLY_beta_win,params_AMAT_ORLY_stop_loss,params_AMAT_ORLY_trade_freq,params_AMAT_ORLY_z_entry,params_AMAT_ORLY_z_exit,params_AMAT_ORLY_z_stop_scaler,params_AMAT_ORLY_z_win,params_AMZN_DASH_beta_win,params_AMZN_DASH_stop_loss,params_AMZN_DASH_trade_freq,params_AMZN_DASH_z_entry,params_AMZN_DASH_z_exit,params_AMZN_DASH_z_stop_scaler,params_AMZN_DASH_z_win,params_AMZN_KLAC_beta_win,params_AMZN_KLAC_stop_loss,params_AMZN_KLAC_trade_freq,params_AMZN_KLAC_z_entry,params_AMZN_KLAC_z_exit,params_AMZN_KLAC_z_stop_scaler,params_AMZN_KLAC_z_win,params_DASH_LIN_beta_win,params_DASH_LIN_stop_loss,params_DASH_LIN_trade_freq,params_DASH_LIN_z_entry,params_DASH_LIN_z_exit,params_DASH_LIN_z_stop_scaler,params_DASH_LIN_z_win,params_DASH_PCAR_beta_win,params_DASH_PCAR_stop_loss,params_DASH_PCAR_trade_freq,params_DASH_PCAR_z_entry,params_DASH_PCAR_z_exit,params_DASH_PCAR_z_stop_scaler,params_DASH_PCAR_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_NFLX_ORLY_beta_win,params_NFLX_ORLY_stop_loss,params_NFLX_ORLY_trade_freq,params_NFLX_ORLY_z_entry,params_NFLX_ORLY_z_exit,params_NFLX_ORLY_z_stop_scaler,params_NFLX_ORLY_z_win,params_NVDA_ORLY_beta_win,params_NVDA_ORLY_stop_loss,params_NVDA_ORLY_trade_freq,params_NVDA_ORLY_z_entry,params_NVDA_ORLY_z_exit,params_NVDA_ORLY_z_stop_scaler,params_NVDA_ORLY_z_win,params_PYPL_TXN_beta_win,params_PYPL_TXN_stop_loss,params_PYPL_TXN_trade_freq,params_PYPL_TXN_z_entry,params_PYPL_TXN_z_exit,params_PYPL_TXN_z_stop_scaler,params_PYPL_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,0.970221257369237,2025-06-22 17:23:08.851650,2025-06-22 17:23:20.672379,0 days 00:00:11.820729,4144.0,0.04,6m,2.6,0.2,1.0,288.0,5744.0,0.02,4m,2.0,0.8,1.0,792.0,3520,0.025,6m,2.4000000000000004,0.4,0.5,536,,,,,,,,1120.0,0.05,4m,3.0,0.0,0.5,136.0,8088.0,0.05,5m,1.0,1.0,0.5,136.0,1256.0,0.05,3m,3.0,0.0,2.0,152.0,1176.0,0.01,4m,2.2,1.0,0.5,144.0,5056.0,0.02,2m,1.6,0.2,1.0,1024.0,5784.0,0.025,5m,1.6,0.2,1.5,800.0,0.2,9,COMPLETE
21,21,0.9986216712232355,2025-06-22 17:23:20.719340,2025-06-22 17:23:28.355578,0 days 00:00:07.636238,6128.0,0.01,2m,2.8,0.2,0.5,840.0,3392.0,0.015,3m,2.6,0.6000000000000001,1.5,856.0,4760,0.03,6m,1.8,0.6000000000000001,0.5,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4784.0,0.01,2m,1.6,0.0,0.5,1024.0,2240.0,0.02,8m,2.2,0.2,1.0,704.0,0.25,5,COMPLETE
22,22,1.001217469562288,2025-06-22 17:23:28.373757,2025-06-22 17:23:35.983985,0 days 00:00:07.610228,5656.0,0.01,2m,2.6,0.2,0.5,776.0,3352.0,0.015,3m,2.8,0.8,1.5,872.0,5096,0.03,6m,1.8,0.6000000000000001,0.5,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5696.0,0.02,2m,1.6,0.0,0.5,872.0,3488.0,0.02,8m,2.4000000000000004,0.2,1.0,760.0,0.3,5,COMPLETE
23,23,1.0121503516931283,2025-06-22 17:23:36.051312,2025-06-22 17:23:40.643673,0 days 00:00:04.592361,5328.0,0.02,2m,2.6,0.4,0.5,536.0,,,,,,,,4208,0.025,6m,1.8,0.8,1.0,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2496.0,0.015,8m,2.0,0.0,1.0,632.0,0.2,3,COMPLETE
24,24,1.0,2025-06-22 17:23:40.677319,2025-06-22 17:23:43.404723,0 days 00:00:02.727404,,,,,,,,,,,,,,,4200,0.025,5m,2.2,0.8,1.0,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2720.0,0.01,5m,2.0,0.0,1.5,464.0,0.2,2,COMPLETE
25,25,0.9835460501903323,2025-06-22 17:23:43.440650,2025-06-22 17:23:46.689056,0 days 00:00:03.248406,4120.0,0.02,4m,1.8,0.6000000000000001,1.0,544.0,,,,,,,,2208,0.015,9m,2.8,0.2,1.0,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4016.0,0.015,9m,2.0,0.0,1.0,624.0,0.05,3,COMPLETE
26,26,1.0152261370466336,2025-06-22 17:23:46.705102,2025-06-22 17:23:49.795148,0 days 00:00:03.090046,,,,,,,,,,,,,,,3304,0.02,6m,1.6,0.8,1.5,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1656.0,0.015,3m,1.6,0.4,2.0,488.0,0.2,2,COMPLETE
27,27,0.9884438840834707,2025-06-22 17:23:49.821147,2025-06-22 17:23:52.739226,0 days 00:00:02.918079,,,,,,,,,,,,,,,3128,0.01,6m,1.6,0.4,1.5,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640.0,0.035,3m,1.6,0.4,2.0,528.0,0.3,2,COMPLETE
28,28,0.9028252661004608,2025-06-22 17:23:52.775088,2025-06-22 17:23:59.291131,0 days 00:00:06.516043,1984.0,0.025,8m,2.8,0.0,1.5,128.0,6856.0,0.045000000000000005,6m,2.2,0.8,1.0,664.0,2008,0.02,6m,2.8,0.2,1.5,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5472.0,0.01,7m,2.2,0.8,1.0,128.0,7256.0,0.03,8m,3.0,0.2,1.5,360.0,1568.0,0.025,3m,1.2,0.4,2.0,384.0,0.15000000000000002,6,COMPLETE
29,29,1.015036751638511,2025-06-22 17:23:59.318643,2025-06-22 17:24:08.545568,0 days 00:00:09.226925,2552.0,0.05,5m,2.2,0.6000000000000001,1.0,248.0,4952.0,0.04,9m,1.8,0.0,1.0,456.0,5736,0.025,3m,2.2,0.4,1.5,416,,,,,,,,8160.0,0.01,5m,2.2,0.6000000000000001,0.5,512.0,1656.0,0.015,4m,1.4,0.0,2.0,952.0,,,,,,,,2920.0,0.05,5m,1.8,0.6000000000000001,0.5,312.0,1024.0,0.04,5m,2.6,0.2,1.0,424.0,3800.0,0.03,6m,1.6,0.8,2.0,504.0,0.35000000000000003,8,COMPLETE
