,number,value,datetime_start,datetime_complete,duration,params_ABNB_NXPI_beta_win,params_ABNB_NXPI_stop_loss,params_ABNB_NXPI_trade_freq,params_ABNB_NXPI_z_entry,params_ABNB_NXPI_z_exit,params_ABNB_NXPI_z_stop_scaler,params_ABNB_NXPI_z_win,params_AMAT_ORLY_beta_win,params_AMAT_ORLY_stop_loss,params_AMAT_ORLY_trade_freq,params_AMAT_ORLY_z_entry,params_AMAT_ORLY_z_exit,params_AMAT_ORLY_z_stop_scaler,params_AMAT_ORLY_z_win,params_AMZN_DASH_beta_win,params_AMZN_DASH_stop_loss,params_AMZN_DASH_trade_freq,params_AMZN_DASH_z_entry,params_AMZN_DASH_z_exit,params_AMZN_DASH_z_stop_scaler,params_AMZN_DASH_z_win,params_AMZN_KLAC_beta_win,params_AMZN_KLAC_stop_loss,params_AMZN_KLAC_trade_freq,params_AMZN_KLAC_z_entry,params_AMZN_KLAC_z_exit,params_AMZN_KLAC_z_stop_scaler,params_AMZN_KLAC_z_win,params_DASH_LIN_beta_win,params_DASH_LIN_stop_loss,params_DASH_LIN_trade_freq,params_DASH_LIN_z_entry,params_DASH_LIN_z_exit,params_DASH_LIN_z_stop_scaler,params_DASH_LIN_z_win,params_DASH_PCAR_beta_win,params_DASH_PCAR_stop_loss,params_DASH_PCAR_trade_freq,params_DASH_PCAR_z_entry,params_DASH_PCAR_z_exit,params_DASH_PCAR_z_stop_scaler,params_DASH_PCAR_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_NFLX_ORLY_beta_win,params_NFLX_ORLY_stop_loss,params_NFLX_ORLY_trade_freq,params_NFLX_ORLY_z_entry,params_NFLX_ORLY_z_exit,params_NFLX_ORLY_z_stop_scaler,params_NFLX_ORLY_z_win,params_NVDA_ORLY_beta_win,params_NVDA_ORLY_stop_loss,params_NVDA_ORLY_trade_freq,params_NVDA_ORLY_z_entry,params_NVDA_ORLY_z_exit,params_NVDA_ORLY_z_stop_scaler,params_NVDA_ORLY_z_win,params_PYPL_TXN_beta_win,params_PYPL_TXN_stop_loss,params_PYPL_TXN_trade_freq,params_PYPL_TXN_z_entry,params_PYPL_TXN_z_exit,params_PYPL_TXN_z_stop_scaler,params_PYPL_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
70,70,0.9545401669532418,2025-06-22 17:30:51.984363,2025-06-22 17:31:02.980137,0 days 00:00:10.995774,5496.0,0.015,8m,1.4,1.0,1.0,592.0,3528.0,0.045000000000000005,9m,2.4000000000000004,0.8,0.5,552.0,7944,0.04,6m,2.8,0.0,0.5,448,,,,,,,,4216.0,0.025,3m,1.0,0.4,1.0,776.0,6224.0,0.015,3m,2.0,0.0,1.0,544.0,4456.0,0.035,5m,2.2,0.8,2.0,320.0,4864.0,0.05,7m,2.6,0.2,1.5,808.0,6688.0,0.015,2m,1.4,0.4,1.5,592.0,2504.0,0.02,8m,2.0,0.2,1.0,768.0,0.1,9,COMPLETE
71,71,0.9936998119737754,2025-06-22 17:31:03.015271,2025-06-22 17:31:12.600931,0 days 00:00:09.585660,3112.0,0.015,5m,2.6,0.6000000000000001,1.0,304.0,4720.0,0.04,9m,2.2,0.0,1.5,616.0,4904,0.025,2m,2.4000000000000004,0.4,1.0,424,,,,,,,,6856.0,0.01,9m,1.2,0.4,1.0,328.0,2448.0,0.015,3m,1.4,0.0,1.5,944.0,,,,,,,,6080.0,0.05,5m,2.8,0.6000000000000001,1.0,952.0,3688.0,0.01,9m,2.6,0.2,1.0,456.0,3448.0,0.03,5m,1.8,0.6000000000000001,2.0,128.0,0.25,8,COMPLETE
72,72,0.937156910526501,2025-06-22 17:31:12.674335,2025-06-22 17:31:25.531714,0 days 00:00:12.857379,4280.0,0.02,2m,2.0,0.8,1.0,360.0,5160.0,0.025,9m,1.8,0.2,0.5,432.0,6048,0.03,8m,2.4000000000000004,0.2,1.5,472,,,,,,,,2560.0,0.02,5m,2.2,0.6000000000000001,0.5,968.0,1032.0,0.01,2m,1.6,0.0,2.0,832.0,2112.0,0.05,7m,2.8,1.0,2.0,584.0,4208.0,0.05,4m,2.0,0.6000000000000001,1.5,712.0,4808.0,0.035,8m,2.8,0.2,1.5,408.0,2704.0,0.03,2m,1.6,0.4,2.0,992.0,0.15000000000000002,9,COMPLETE
73,73,0.9806279097090732,2025-06-22 17:31:25.561729,2025-06-22 17:31:36.374413,0 days 00:00:10.812684,3952.0,0.01,4m,2.2,0.6000000000000001,1.0,160.0,5520.0,0.04,2m,2.0,0.0,1.0,544.0,7064,0.025,3m,2.2,0.6000000000000001,0.5,544,,,,,,,,7704.0,0.015,7m,2.6,0.2,1.5,880.0,1608.0,0.015,5m,3.0,0.2,2.0,1024.0,5208.0,0.045000000000000005,6m,2.2,0.8,1.5,144.0,5424.0,0.045000000000000005,8m,1.6,0.8,1.0,376.0,4328.0,0.04,5m,3.0,0.2,1.0,440.0,2960.0,0.025,9m,2.4000000000000004,0.4,2.0,504.0,0.2,9,COMPLETE
74,74,0.9609478227767628,2025-06-22 17:31:36.410466,2025-06-22 17:31:45.907361,0 days 00:00:09.496895,2152.0,0.02,5m,1.8,0.4,1.0,512.0,4536.0,0.035,9m,1.4,0.2,0.5,488.0,5584,0.02,6m,2.8,0.4,0.5,328,,,,,,,,7144.0,0.03,3m,3.0,1.0,1.5,600.0,,,,,,,,,,,,,,,2640.0,0.05,6m,2.6,0.6000000000000001,0.5,488.0,3976.0,0.02,2m,2.6,0.2,1.5,376.0,2096.0,0.01,5m,1.4,0.2,2.0,536.0,0.25,7,COMPLETE
75,75,0.993626404887472,2025-06-22 17:31:45.959130,2025-06-22 17:31:56.788003,0 days 00:00:10.828873,5976.0,0.04,9m,2.0,0.8,0.5,408.0,5816.0,0.045000000000000005,9m,2.6,0.0,1.0,344.0,6312,0.015,2m,2.4000000000000004,1.0,1.5,376,,,,,,,,1584.0,0.04,4m,2.4000000000000004,0.4,2.0,752.0,8136.0,0.025,4m,1.4,0.0,1.5,912.0,,,,,,,,1032.0,0.045000000000000005,2m,1.8,0.4,1.5,440.0,4944.0,0.04,9m,2.8,0.0,1.5,512.0,1840.0,0.035,6m,1.6,0.6000000000000001,2.0,416.0,0.2,8,COMPLETE
76,76,0.9734982537429824,2025-06-22 17:31:56.834238,2025-06-22 17:32:08.439254,0 days 00:00:11.605016,2504.0,0.045000000000000005,7m,1.2,0.6000000000000001,1.5,256.0,3824.0,0.04,7m,1.6,0.4,0.5,728.0,5896,0.025,6m,1.8,0.2,0.5,408,2832.0,0.05,7m,3.0,0.2,1.5,640.0,6016.0,0.02,5m,2.0,0.6000000000000001,1.0,440.0,3784.0,0.02,9m,1.8,0.2,0.5,736.0,2648.0,0.04,4m,2.8,0.6000000000000001,1.0,456.0,6480.0,0.02,5m,2.2,0.6000000000000001,1.0,1008.0,1344.0,0.045000000000000005,4m,2.0,0.6000000000000001,0.5,800.0,1256.0,0.025,3m,1.6,0.4,2.0,608.0,0.3,10,COMPLETE
77,77,0.8758117939196727,2025-06-22 17:32:08.491133,2025-06-22 17:32:19.732655,0 days 00:00:11.241522,3528.0,0.03,3m,1.6,0.0,1.0,592.0,4320.0,0.035,5m,2.2,0.2,0.5,456.0,5208,0.035,9m,1.2,0.8,1.5,512,,,,,,,,3056.0,0.01,8m,1.6,1.0,0.5,168.0,3024.0,0.015,4m,1.2,0.0,2.0,960.0,1664.0,0.025,3m,2.6,1.0,2.0,312.0,6776.0,0.04,7m,3.0,0.8,0.5,816.0,3088.0,0.03,3m,3.0,0.2,1.0,336.0,3624.0,0.03,5m,2.0,0.2,2.0,664.0,0.15000000000000002,9,COMPLETE
78,78,1.0131534778845315,2025-06-22 17:32:19.764888,2025-06-22 17:32:25.239271,0 days 00:00:05.474383,5080.0,0.025,5m,2.8,0.4,1.0,728.0,1248.0,0.04,3m,2.8,1.0,1.0,664.0,5672,0.03,5m,2.2,0.4,1.0,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3208.0,0.02,4m,1.8,0.0,2.0,928.0,0.4,4,COMPLETE
79,79,0.9888803418172362,2025-06-22 17:32:25.293866,2025-06-22 17:32:36.227307,0 days 00:00:10.933441,4624.0,0.05,2m,1.4,1.0,1.0,224.0,7904.0,0.045000000000000005,9m,3.0,0.0,0.5,632.0,6712,0.02,3m,2.0,0.6000000000000001,0.5,560,,,,,,,,8168.0,0.035,6m,2.6,0.8,1.5,232.0,4952.0,0.01,3m,1.4,0.4,1.5,856.0,,,,,,,,5552.0,0.015,3m,2.4000000000000004,0.8,1.5,960.0,2080.0,0.035,7m,2.6,0.4,1.5,976.0,2616.0,0.025,5m,1.2,0.4,1.5,712.0,0.25,8,COMPLETE
80,80,1.0080267290115814,2025-06-22 17:32:36.257931,2025-06-22 17:32:37.733705,0 days 00:00:01.475774,,,,,,,,,,,,,,,3272,0.025,6m,3.0,0.2,2.0,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
81,81,1.015001919995985,2025-06-22 17:32:37.808006,2025-06-22 17:32:44.333175,0 days 00:00:06.525169,5112.0,0.025,5m,3.0,0.4,1.0,808.0,1248.0,0.04,3m,3.0,0.8,1.0,528.0,5632,0.03,5m,2.2,0.4,1.0,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3512.0,0.01,6m,2.8,0.2,2.0,888.0,3320.0,0.015,4m,1.8,0.0,2.0,936.0,0.4,5,COMPLETE
82,82,1.0075543264389788,2025-06-22 17:32:44.364437,2025-06-22 17:32:51.648237,0 days 00:00:07.283800,7824.0,0.025,5m,3.0,0.4,1.0,896.0,1664.0,0.05,3m,3.0,0.8,1.0,536.0,5040,0.03,2m,2.2,0.4,1.0,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3440.0,0.01,6m,2.8,0.2,2.0,1000.0,2864.0,0.015,4m,1.8,0.0,2.0,896.0,0.45,5,COMPLETE
83,83,1.0,2025-06-22 17:32:51.697441,2025-06-22 17:32:58.054990,0 days 00:00:06.357549,5464.0,0.03,5m,3.0,0.2,1.0,816.0,4952.0,0.04,3m,3.0,0.8,1.0,576.0,4392,0.03,5m,2.4000000000000004,0.4,0.5,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3816.0,0.01,6m,3.0,0.2,2.0,896.0,3984.0,0.01,4m,2.0,0.0,2.0,880.0,0.4,5,COMPLETE
84,84,0.9908657330758363,2025-06-22 17:32:58.085048,2025-06-22 17:33:05.395349,0 days 00:00:07.310301,4712.0,0.02,5m,2.4000000000000004,0.4,1.0,728.0,2304.0,0.035,2m,2.8,0.6000000000000001,1.0,416.0,4656,0.035,5m,2.0,0.2,1.5,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472.0,0.05,5m,2.0,1.0,0.5,288.0,8104.0,0.01,6m,2.6,0.2,2.0,856.0,4328.0,0.025,7m,1.6,0.0,0.5,1000.0,0.35000000000000003,6,COMPLETE
85,85,0.9896148547109254,2025-06-22 17:33:05.425879,2025-06-22 17:33:10.748776,0 days 00:00:05.322897,5120.0,0.015,4m,2.6,0.6000000000000001,1.0,200.0,6208.0,0.04,4m,2.4000000000000004,1.0,1.5,248.0,6432,0.05,5m,2.2,0.6000000000000001,1.0,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360.0,0.015,4m,1.8,0.8,2.0,944.0,0.4,4,COMPLETE
86,86,1.0223446959185132,2025-06-22 17:33:10.824164,2025-06-22 17:33:14.268812,0 days 00:00:03.444648,7336.0,0.02,6m,2.0,0.0,1.0,128.0,,,,,,,,5536,0.025,7m,2.8,0.4,0.5,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568.0,0.02,6m,1.4,0.2,2.0,552.0,0.2,3,COMPLETE
87,87,1.0515075275632297,2025-06-22 17:33:14.306867,2025-06-22 17:33:17.800179,0 days 00:00:03.493312,7264.0,0.02,6m,2.2,0.0,1.5,128.0,,,,,,,,6096,0.025,7m,2.6,0.2,0.5,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1744.0,0.02,6m,1.4,0.2,2.0,560.0,0.2,3,COMPLETE
88,88,1.0548313997685654,2025-06-22 17:33:17.833290,2025-06-22 17:33:21.288828,0 days 00:00:03.455538,7792.0,0.02,6m,2.0,0.0,1.5,144.0,,,,,,,,7056,0.025,7m,2.8,0.2,0.5,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680.0,0.02,6m,1.2,0.2,2.0,560.0,0.2,3,COMPLETE
89,89,1.0306162152458276,2025-06-22 17:33:21.320056,2025-06-22 17:33:24.758100,0 days 00:00:03.438044,7368.0,0.02,6m,2.0,0.0,1.5,136.0,,,,,,,,6976,0.025,7m,2.8,0.2,0.5,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960.0,0.02,6m,1.2,0.2,2.0,552.0,0.2,3,COMPLETE
90,90,1.0215819083214064,2025-06-22 17:33:24.806486,2025-06-22 17:33:28.456290,0 days 00:00:03.649804,7328.0,0.02,6m,2.0,0.0,1.5,136.0,,,,,,,,7064,0.025,7m,2.8,0.2,0.5,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480.0,0.02,6m,1.2,0.2,1.0,592.0,0.2,3,COMPLETE
91,91,1.0275782473253878,2025-06-22 17:33:28.591733,2025-06-22 17:33:32.777730,0 days 00:00:04.185997,7344.0,0.02,6m,2.0,0.0,1.5,128.0,,,,,,,,7024,0.025,7m,2.8,0.2,0.5,736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568.0,0.02,6m,1.2,0.2,1.0,560.0,0.2,3,COMPLETE
92,92,1.03053844311848,2025-06-22 17:33:32.848381,2025-06-22 17:33:38.531556,0 days 00:00:05.683175,7272.0,0.02,6m,2.0,0.0,1.5,128.0,,,,,,,,6984,0.025,7m,2.8,0.2,0.5,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512.0,0.02,6m,1.2,0.2,1.0,600.0,0.2,3,COMPLETE
93,93,1.0097826520471391,2025-06-22 17:33:38.601634,2025-06-22 17:33:42.250684,0 days 00:00:03.649050,7232.0,0.02,6m,2.0,0.0,1.5,128.0,,,,,,,,7064,0.025,7m,2.8,0.2,0.5,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600.0,0.02,6m,1.0,0.2,1.0,608.0,0.2,3,COMPLETE
94,94,0.9920216867659438,2025-06-22 17:33:42.292469,2025-06-22 17:33:45.776333,0 days 00:00:03.483864,7512.0,0.02,6m,2.0,0.0,1.5,152.0,,,,,,,,6952,0.025,7m,2.8,0.2,0.5,736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1256.0,0.02,6m,1.2,0.2,1.0,552.0,0.2,3,COMPLETE
95,95,1.03964898947416,2025-06-22 17:33:45.805455,2025-06-22 17:33:48.979180,0 days 00:00:03.173725,7768.0,0.02,6m,2.2,0.0,1.5,128.0,,,,,,,,7104,0.025,7m,2.6,0.2,0.5,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1864.0,0.02,6m,1.2,0.2,1.0,640.0,0.2,3,COMPLETE
96,96,1.0285341264326529,2025-06-22 17:33:49.008158,2025-06-22 17:33:52.577700,0 days 00:00:03.569542,7816.0,0.02,6m,2.2,0.0,1.5,128.0,,,,,,,,7120,0.025,7m,2.8,0.2,0.5,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912.0,0.02,6m,1.2,0.2,1.0,640.0,0.25,3,COMPLETE
97,97,1.0162972720450452,2025-06-22 17:33:52.593624,2025-06-22 17:33:56.023244,0 days 00:00:03.429620,7808.0,0.02,6m,2.2,0.0,1.5,160.0,,,,,,,,7344,0.02,7m,2.6,0.2,0.5,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928.0,0.02,6m,1.0,0.2,1.0,640.0,0.25,3,COMPLETE
98,98,1.0257507959465544,2025-06-22 17:33:56.053901,2025-06-22 17:33:58.412792,0 days 00:00:02.358891,,,,,,,,,,,,,,,6744,0.025,7m,2.8,0.2,0.5,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752.0,0.02,6m,1.2,0.2,1.0,544.0,0.25,2,COMPLETE
99,99,0.990874425915983,2025-06-22 17:33:58.443181,2025-06-22 17:34:00.867023,0 days 00:00:02.423842,,,,,,,,,,,,,,,7592,0.025,7m,2.8,0.0,0.5,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1816.0,0.02,6m,1.2,0.2,1.0,648.0,0.25,2,COMPLETE
