,number,value,datetime_start,datetime_complete,duration,params_ADSK_SIRI_beta_win,params_ADSK_SIRI_stop_loss,params_ADSK_SIRI_trade_freq,params_ADSK_SIRI_z_entry,params_ADSK_SIRI_z_exit,params_ADSK_SIRI_z_stop_scaler,params_ADSK_SIRI_z_win,params_CRWD_EXC_beta_win,params_CRWD_EXC_stop_loss,params_CRWD_EXC_trade_freq,params_CRWD_EXC_z_entry,params_CRWD_EXC_z_exit,params_CRWD_EXC_z_stop_scaler,params_CRWD_EXC_z_win,params_CTSH_MAR_beta_win,params_CTSH_MAR_stop_loss,params_CTSH_MAR_trade_freq,params_CTSH_MAR_z_entry,params_CTSH_MAR_z_exit,params_CTSH_MAR_z_stop_scaler,params_CTSH_MAR_z_win,params_DASH_ROP_beta_win,params_DASH_ROP_stop_loss,params_DASH_ROP_trade_freq,params_DASH_ROP_z_entry,params_DASH_ROP_z_exit,params_DASH_ROP_z_stop_scaler,params_DASH_ROP_z_win,params_DASH_SIRI_beta_win,params_DASH_SIRI_stop_loss,params_DASH_SIRI_trade_freq,params_DASH_SIRI_z_entry,params_DASH_SIRI_z_exit,params_DASH_SIRI_z_stop_scaler,params_DASH_SIRI_z_win,params_DDOG_SIRI_beta_win,params_DDOG_SIRI_stop_loss,params_DDOG_SIRI_trade_freq,params_DDOG_SIRI_z_entry,params_DDOG_SIRI_z_exit,params_DDOG_SIRI_z_stop_scaler,params_DDOG_SIRI_z_win,params_INTC_CTAS_beta_win,params_INTC_CTAS_stop_loss,params_INTC_CTAS_trade_freq,params_INTC_CTAS_z_entry,params_INTC_CTAS_z_exit,params_INTC_CTAS_z_stop_scaler,params_INTC_CTAS_z_win,params_MU_CTAS_beta_win,params_MU_CTAS_stop_loss,params_MU_CTAS_trade_freq,params_MU_CTAS_z_entry,params_MU_CTAS_z_exit,params_MU_CTAS_z_stop_scaler,params_MU_CTAS_z_win,params_MU_EXC_beta_win,params_MU_EXC_stop_loss,params_MU_EXC_trade_freq,params_MU_EXC_z_entry,params_MU_EXC_z_exit,params_MU_EXC_z_stop_scaler,params_MU_EXC_z_win,params_NFLX_SIRI_beta_win,params_NFLX_SIRI_stop_loss,params_NFLX_SIRI_trade_freq,params_NFLX_SIRI_z_entry,params_NFLX_SIRI_z_exit,params_NFLX_SIRI_z_stop_scaler,params_NFLX_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
74,74,1.0032914227743321,2025-06-22 17:28:59.186278,2025-06-22 17:29:09.194328,0 days 00:00:10.008050,,,,,,,,3560.0,0.015,6m,1.4,0.0,1.0,528.0,6024,0.015,8m,1.0,0.8,0.5,536,1640.0,0.05,4m,2.8,0.0,2.0,216.0,6496.0,0.02,8m,2.8,1.0,2.0,872.0,3936.0,0.025,2m,1.6,0.2,2.0,392.0,6568.0,0.04,6m,1.6,1.0,1.5,920.0,2960.0,0.025,8m,3.0,0.2,1.5,744.0,5224.0,0.02,5m,2.0,0.4,1.0,544.0,3312.0,0.03,4m,1.0,0.2,1.5,128.0,0.1,9,COMPLETE
75,75,0.978312238911427,2025-06-22 17:29:09.224272,2025-06-22 17:29:19.840573,0 days 00:00:10.616301,5200.0,0.05,6m,2.8,0.6000000000000001,1.0,1024.0,4912.0,0.02,7m,1.2,0.0,1.0,544.0,1024,0.02,8m,1.0,1.0,0.5,896,3184.0,0.045000000000000005,7m,2.6,0.0,2.0,200.0,5664.0,0.035,6m,2.6,1.0,2.0,1000.0,4736.0,0.04,9m,1.8,0.2,2.0,584.0,7352.0,0.035,4m,1.8,1.0,1.0,960.0,2144.0,0.02,9m,2.6,1.0,1.5,848.0,4184.0,0.025,9m,1.8,0.8,0.5,504.0,4088.0,0.02,2m,1.2,0.6000000000000001,2.0,216.0,0.4,10,COMPLETE
76,76,0.9920025995199244,2025-06-22 17:29:19.871391,2025-06-22 17:29:29.225486,0 days 00:00:09.354095,,,,,,,,4560.0,0.015,3m,1.6,0.2,1.5,696.0,6712,0.025,7m,1.2,0.4,1.0,968,4280.0,0.035,9m,3.0,0.2,1.5,1008.0,5024.0,0.03,9m,2.4000000000000004,0.8,1.5,960.0,4304.0,0.035,7m,1.4,0.4,2.0,184.0,7608.0,0.02,8m,2.0,1.0,1.5,1000.0,1024.0,0.035,8m,2.8,0.8,2.0,384.0,2192.0,0.03,4m,2.2,1.0,1.0,640.0,5368.0,0.035,7m,1.4,0.2,1.5,800.0,0.3,9,COMPLETE
77,77,1.0074279955269583,2025-06-22 17:29:29.316653,2025-06-22 17:29:39.216892,0 days 00:00:09.900239,,,,,,,,5192.0,0.025,2m,1.8,0.6000000000000001,1.0,888.0,6328,0.025,9m,1.0,0.8,0.5,808,,,,,,,,4400.0,0.015,6m,3.0,1.0,2.0,904.0,,,,,,,,6856.0,0.03,2m,1.6,0.2,1.5,920.0,1344.0,0.05,9m,3.0,0.0,1.0,688.0,,,,,,,,,,,,,,,0.05,5,COMPLETE
78,78,0.9774605374013069,2025-06-22 17:29:39.268162,2025-06-22 17:29:52.176670,0 days 00:00:12.908508,2096.0,0.04,3m,2.6,0.4,0.5,920.0,5816.0,0.01,5m,1.2,0.4,2.0,640.0,7536,0.015,5m,1.4,0.6000000000000001,0.5,600,2024.0,0.05,5m,2.8,0.0,2.0,264.0,6120.0,0.025,2m,2.8,1.0,1.5,648.0,7144.0,0.03,3m,1.6,0.2,1.5,512.0,3280.0,0.025,6m,2.2,0.8,1.0,872.0,1848.0,0.045000000000000005,8m,2.2,0.6000000000000001,0.5,904.0,6216.0,0.01,7m,2.4000000000000004,0.6000000000000001,1.0,744.0,1736.0,0.04,3m,1.0,0.0,2.0,728.0,0.25,10,COMPLETE
79,79,0.9096472042360969,2025-06-22 17:29:52.234304,2025-06-22 17:30:01.444483,0 days 00:00:09.210179,,,,,,,,4096.0,0.035,8m,1.0,0.8,2.0,728.0,6992,0.03,3m,1.2,0.4,1.5,296,1528.0,0.045000000000000005,8m,1.6,0.4,2.0,176.0,6968.0,0.04,6m,2.0,0.8,1.0,744.0,5200.0,0.025,7m,2.0,0.0,2.0,272.0,7952.0,0.035,5m,2.0,0.8,2.0,952.0,1968.0,0.04,7m,2.8,0.2,1.5,792.0,5008.0,0.02,9m,2.6,0.6000000000000001,0.5,360.0,2800.0,0.025,4m,2.4000000000000004,0.2,1.0,1008.0,0.1,9,COMPLETE
80,80,0.9803880496789628,2025-06-22 17:30:01.480019,2025-06-22 17:30:09.811032,0 days 00:00:08.331013,,,,,,,,3744.0,0.015,5m,1.6,0.2,1.5,504.0,7320,0.02,2m,2.4000000000000004,0.8,0.5,360,,,,,,,,5760.0,0.02,7m,2.6,1.0,2.0,936.0,3768.0,0.045000000000000005,8m,1.2,0.2,2.0,344.0,5816.0,0.03,6m,1.8,0.4,1.5,1008.0,1296.0,0.045000000000000005,9m,2.6,0.8,1.5,584.0,,,,,,,,3544.0,0.015,9m,1.8,0.4,1.5,320.0,0.3,7,COMPLETE
81,81,1.0026070552315651,2025-06-22 17:30:09.858876,2025-06-22 17:30:18.203062,0 days 00:00:08.344186,,,,,,,,6096.0,0.015,3m,1.4,0.0,1.0,560.0,6816,0.015,8m,1.2,0.8,1.0,984,,,,,,,,3856.0,0.035,7m,2.6,0.6000000000000001,2.0,864.0,4144.0,0.035,5m,2.0,0.2,1.5,176.0,7184.0,0.03,6m,1.4,1.0,1.5,856.0,3080.0,0.04,9m,1.6,1.0,2.0,1008.0,3640.0,0.025,9m,1.8,0.8,1.0,616.0,6360.0,0.035,5m,1.2,0.0,1.5,256.0,0.05,8,COMPLETE
82,82,1.01531874838618,2025-06-22 17:30:18.245215,2025-06-22 17:30:27.298159,0 days 00:00:09.052944,,,,,,,,6160.0,0.01,3m,1.4,0.0,1.0,592.0,6520,0.015,8m,1.0,0.8,0.5,992,8088.0,0.05,6m,2.8,1.0,2.0,344.0,4288.0,0.01,7m,2.8,0.8,2.0,888.0,4080.0,0.035,5m,1.8,0.0,1.5,328.0,7144.0,0.03,6m,1.6,1.0,1.5,760.0,3312.0,0.035,9m,1.6,0.8,2.0,976.0,3904.0,0.025,9m,1.8,0.8,1.0,560.0,2216.0,0.03,5m,1.2,0.0,1.5,176.0,0.05,9,COMPLETE
83,83,0.9784939701682074,2025-06-22 17:30:27.329473,2025-06-22 17:30:38.430446,0 days 00:00:11.100973,3328.0,0.045000000000000005,3m,2.8,0.2,1.0,632.0,6624.0,0.02,3m,1.4,0.0,1.0,560.0,6952,0.01,8m,1.0,0.8,1.0,928,6072.0,0.045000000000000005,4m,2.8,0.8,2.0,184.0,4152.0,0.035,4m,2.6,1.0,2.0,808.0,4680.0,0.04,5m,2.2,0.2,2.0,304.0,6744.0,0.025,6m,1.6,1.0,1.5,800.0,2696.0,0.025,9m,1.4,1.0,2.0,920.0,2472.0,0.025,9m,1.6,0.8,1.0,664.0,4640.0,0.035,5m,1.0,0.0,1.5,936.0,0.05,10,COMPLETE
84,84,0.9863086336958038,2025-06-22 17:30:38.465411,2025-06-22 17:30:49.427229,0 days 00:00:10.961818,,,,,,,,5624.0,0.015,3m,1.2,0.0,1.0,840.0,5672,0.02,8m,1.8,0.8,0.5,240,7856.0,0.05,4m,3.0,0.8,2.0,288.0,4720.0,0.035,7m,2.4000000000000004,0.8,2.0,968.0,5728.0,0.03,5m,1.6,0.4,1.5,400.0,6416.0,0.035,9m,2.4000000000000004,1.0,1.5,904.0,6112.0,0.04,8m,1.8,1.0,1.0,944.0,4384.0,0.03,2m,2.2,1.0,1.5,584.0,4008.0,0.04,5m,2.2,0.0,1.0,304.0,0.05,9,COMPLETE
85,85,0.9656180815549363,2025-06-22 17:30:49.455480,2025-06-22 17:30:54.289233,0 days 00:00:04.833753,,,,,,,,5912.0,0.015,5m,1.4,0.4,2.0,800.0,6720,0.01,7m,1.2,0.6000000000000001,1.5,952,,,,,,,,3504.0,0.04,3m,2.8,1.0,1.0,1008.0,,,,,,,,7576.0,0.025,6m,1.2,1.0,1.5,848.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
86,86,0.9809131804231865,2025-06-22 17:30:54.315237,2025-06-22 17:31:00.292956,0 days 00:00:05.977719,,,,,,,,6232.0,0.03,3m,1.6,0.0,1.0,464.0,6168,0.015,4m,1.6,0.8,1.0,864,,,,,,,,5296.0,0.015,6m,3.0,0.8,1.5,920.0,,,,,,,,6192.0,0.02,7m,1.8,1.0,1.0,960.0,3904.0,0.03,5m,1.4,0.2,1.5,824.0,,,,,,,,,,,,,,,0.1,5,COMPLETE
87,87,0.9810861635605825,2025-06-22 17:31:00.348481,2025-06-22 17:31:12.131095,0 days 00:00:11.782614,2048.0,0.025,3m,3.0,0.6000000000000001,0.5,928.0,2728.0,0.01,3m,1.8,1.0,2.0,432.0,7656,0.02,8m,1.0,0.8,0.5,976,4976.0,0.045000000000000005,9m,2.4000000000000004,0.8,0.5,632.0,5144.0,0.025,7m,2.8,1.0,2.0,976.0,3288.0,0.03,7m,1.8,0.2,2.0,448.0,7264.0,0.03,9m,1.6,0.8,1.5,880.0,2288.0,0.04,2m,2.0,0.8,1.0,184.0,3360.0,0.045000000000000005,5m,1.4,0.0,1.0,496.0,5120.0,0.035,6m,2.8,0.2,0.5,232.0,0.05,10,COMPLETE
88,88,0.9375880602945998,2025-06-22 17:31:12.165360,2025-06-22 17:31:19.008961,0 days 00:00:06.843601,,,,,,,,4832.0,0.02,9m,1.2,0.6000000000000001,2.0,584.0,7976,0.025,6m,1.2,0.4,2.0,160,,,,,,,,6256.0,0.03,5m,2.6,0.6000000000000001,2.0,848.0,5328.0,0.035,6m,2.2,0.4,1.0,264.0,1712.0,0.035,5m,2.2,1.0,1.5,1000.0,3328.0,0.045000000000000005,3m,1.8,0.4,1.5,720.0,,,,,,,,,,,,,,,0.1,6,COMPLETE
89,89,0.8927519416805941,2025-06-22 17:31:19.036150,2025-06-22 17:31:28.773646,0 days 00:00:09.737496,,,,,,,,7488.0,0.025,5m,1.4,0.2,1.0,616.0,5872,0.015,8m,1.0,1.0,0.5,1008,7304.0,0.05,3m,2.8,1.0,2.0,176.0,4480.0,0.01,7m,1.4,1.0,0.5,1024.0,3624.0,0.04,4m,2.0,0.0,2.0,488.0,5224.0,0.01,6m,2.0,1.0,1.0,928.0,4992.0,0.05,4m,1.0,1.0,2.0,312.0,3840.0,0.02,9m,2.0,1.0,2.0,720.0,2672.0,0.03,7m,1.0,0.0,2.0,480.0,0.35000000000000003,9,COMPLETE
90,90,0.935469165249594,2025-06-22 17:31:28.809763,2025-06-22 17:31:38.435972,0 days 00:00:09.626209,,,,,,,,5560.0,0.01,4m,1.0,0.0,0.5,504.0,6600,0.02,7m,2.2,0.6000000000000001,2.0,896,,,,,,,,5616.0,0.02,6m,2.8,0.8,1.0,944.0,4992.0,0.035,2m,1.6,0.2,2.0,312.0,8032.0,0.02,3m,2.6,0.8,0.5,816.0,1672.0,0.025,9m,3.0,1.0,0.5,872.0,8120.0,0.025,6m,3.0,0.2,0.5,440.0,3408.0,0.035,8m,1.2,0.0,1.5,160.0,0.3,8,COMPLETE
91,91,0.9994141289620764,2025-06-22 17:31:38.480711,2025-06-22 17:31:43.228277,0 days 00:00:04.747566,,,,,,,,4336.0,0.045000000000000005,4m,1.8,0.4,0.5,184.0,6312,0.035,7m,2.4000000000000004,0.6000000000000001,0.5,848,,,,,,,,5896.0,0.015,7m,2.8,0.8,1.0,952.0,,,,,,,,7856.0,0.03,5m,1.8,0.2,1.5,288.0,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
92,92,1.0148163308245277,2025-06-22 17:31:43.271747,2025-06-22 17:31:47.939537,0 days 00:00:04.667790,,,,,,,,4256.0,0.04,4m,1.6,0.4,0.5,936.0,6472,0.03,7m,2.2,0.8,0.5,912,,,,,,,,6552.0,0.015,7m,2.6,0.8,1.0,896.0,,,,,,,,6912.0,0.03,5m,1.8,1.0,1.5,360.0,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
93,93,0.9797600876393863,2025-06-22 17:31:47.978158,2025-06-22 17:31:51.643925,0 days 00:00:03.665767,,,,,,,,4160.0,0.045000000000000005,4m,1.8,0.4,0.5,376.0,7096,0.03,7m,2.0,0.4,0.5,824,,,,,,,,,,,,,,,,,,,,,,8080.0,0.025,5m,1.8,0.0,1.5,360.0,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
94,94,0.97402474023511,2025-06-22 17:31:51.679317,2025-06-22 17:31:56.478751,0 days 00:00:04.799434,,,,,,,,3896.0,0.035,3m,1.6,0.4,1.5,376.0,6880,0.025,7m,2.2,0.8,0.5,928,,,,,,,,5800.0,0.015,7m,2.8,0.4,1.0,1000.0,,,,,,,,6656.0,0.03,5m,1.4,0.0,1.5,256.0,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
95,95,0.9707599581667996,2025-06-22 17:31:56.516184,2025-06-22 17:32:01.661539,0 days 00:00:05.145355,,,,,,,,1224.0,0.02,5m,1.4,0.6000000000000001,0.5,296.0,5264,0.03,8m,2.0,0.8,0.5,872,,,,,,,,5440.0,0.02,7m,3.0,0.6000000000000001,1.0,968.0,,,,,,,,7512.0,0.035,9m,2.0,0.6000000000000001,1.5,536.0,1816.0,0.04,6m,1.6,0.8,1.5,536.0,,,,,,,,,,,,,,,0.1,5,COMPLETE
96,96,0.9517658564149318,2025-06-22 17:32:01.712441,2025-06-22 17:32:05.316030,0 days 00:00:03.603589,,,,,,,,5200.0,0.04,4m,1.4,0.2,2.0,560.0,6400,0.025,6m,1.0,0.4,1.5,288,,,,,,,,,,,,,,,,,,,,,,7320.0,0.015,6m,1.6,0.4,1.5,144.0,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
97,97,0.9665122048984307,2025-06-22 17:32:05.341832,2025-06-22 17:32:16.788150,0 days 00:00:11.446318,1640.0,0.01,3m,2.2,0.4,1.5,936.0,4576.0,0.04,3m,1.6,0.4,1.5,344.0,7384,0.03,8m,1.6,0.8,0.5,968,5512.0,0.04,4m,3.0,0.6000000000000001,1.5,456.0,6136.0,0.01,7m,2.8,1.0,2.0,880.0,4208.0,0.03,7m,2.4000000000000004,0.2,0.5,376.0,4320.0,0.025,6m,1.8,0.2,0.5,1024.0,1232.0,0.035,8m,2.4000000000000004,0.0,1.5,784.0,3424.0,0.025,9m,2.0,0.8,1.0,528.0,1304.0,0.045000000000000005,4m,1.0,0.8,2.0,360.0,0.05,10,COMPLETE
98,98,0.9929669224690505,2025-06-22 17:32:17.325577,2025-06-22 17:32:23.108967,0 days 00:00:05.783390,,,,,,,,3384.0,0.03,7m,2.0,0.0,1.0,240.0,5632,0.01,9m,1.2,0.6000000000000001,1.0,880,,,,,,,,6976.0,0.015,6m,3.0,0.0,1.5,936.0,5952.0,0.025,7m,2.0,0.2,1.5,208.0,7680.0,0.03,4m,2.0,1.0,1.5,672.0,2552.0,0.045000000000000005,9m,3.0,0.6000000000000001,1.0,416.0,,,,,,,,,,,,,,,0.1,6,COMPLETE
99,99,0.9676237214902579,2025-06-22 17:32:23.138661,2025-06-22 17:32:33.007518,0 days 00:00:09.868857,6632.0,0.045000000000000005,8m,2.8,0.2,0.5,760.0,5360.0,0.035,6m,1.2,0.0,1.5,896.0,1712,0.025,7m,1.2,1.0,2.0,864,7112.0,0.02,6m,1.2,0.0,2.0,128.0,4912.0,0.02,8m,2.8,0.8,1.0,984.0,4608.0,0.035,3m,3.0,0.4,2.0,248.0,7032.0,0.03,8m,1.8,1.0,1.5,424.0,2120.0,0.045000000000000005,9m,2.8,0.2,1.5,624.0,4072.0,0.03,9m,1.4,1.0,0.5,640.0,6352.0,0.03,5m,1.4,0.0,1.5,560.0,0.4,10,COMPLETE
