,number,value,datetime_start,datetime_complete,duration,params_ADSK_SIRI_beta_win,params_ADSK_SIRI_stop_loss,params_ADSK_SIRI_trade_freq,params_ADSK_SIRI_z_entry,params_ADSK_SIRI_z_exit,params_ADSK_SIRI_z_stop_scaler,params_ADSK_SIRI_z_win,params_CRWD_EXC_beta_win,params_CRWD_EXC_stop_loss,params_CRWD_EXC_trade_freq,params_CRWD_EXC_z_entry,params_CRWD_EXC_z_exit,params_CRWD_EXC_z_stop_scaler,params_CRWD_EXC_z_win,params_CTSH_MAR_beta_win,params_CTSH_MAR_stop_loss,params_CTSH_MAR_trade_freq,params_CTSH_MAR_z_entry,params_CTSH_MAR_z_exit,params_CTSH_MAR_z_stop_scaler,params_CTSH_MAR_z_win,params_DASH_ROP_beta_win,params_DASH_ROP_stop_loss,params_DASH_ROP_trade_freq,params_DASH_ROP_z_entry,params_DASH_ROP_z_exit,params_DASH_ROP_z_stop_scaler,params_DASH_ROP_z_win,params_DASH_SIRI_beta_win,params_DASH_SIRI_stop_loss,params_DASH_SIRI_trade_freq,params_DASH_SIRI_z_entry,params_DASH_SIRI_z_exit,params_DASH_SIRI_z_stop_scaler,params_DASH_SIRI_z_win,params_DDOG_SIRI_beta_win,params_DDOG_SIRI_stop_loss,params_DDOG_SIRI_trade_freq,params_DDOG_SIRI_z_entry,params_DDOG_SIRI_z_exit,params_DDOG_SIRI_z_stop_scaler,params_DDOG_SIRI_z_win,params_INTC_CTAS_beta_win,params_INTC_CTAS_stop_loss,params_INTC_CTAS_trade_freq,params_INTC_CTAS_z_entry,params_INTC_CTAS_z_exit,params_INTC_CTAS_z_stop_scaler,params_INTC_CTAS_z_win,params_MU_CTAS_beta_win,params_MU_CTAS_stop_loss,params_MU_CTAS_trade_freq,params_MU_CTAS_z_entry,params_MU_CTAS_z_exit,params_MU_CTAS_z_stop_scaler,params_MU_CTAS_z_win,params_MU_EXC_beta_win,params_MU_EXC_stop_loss,params_MU_EXC_trade_freq,params_MU_EXC_z_entry,params_MU_EXC_z_exit,params_MU_EXC_z_stop_scaler,params_MU_EXC_z_win,params_NFLX_SIRI_beta_win,params_NFLX_SIRI_stop_loss,params_NFLX_SIRI_trade_freq,params_NFLX_SIRI_z_entry,params_NFLX_SIRI_z_exit,params_NFLX_SIRI_z_stop_scaler,params_NFLX_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
23,23,1.0015716520741464,2025-06-22 17:22:17.088671,2025-06-22 17:22:20.150951,0 days 00:00:03.062280,,,,,,,,3512.0,0.025,5m,1.8,0.6000000000000001,1.5,848.0,6424,0.045000000000000005,7m,2.2,0.2,2.0,272,,,,,,,,,,,,,,,,,,,,,,8168.0,0.025,9m,2.6,1.0,0.5,776.0,,,,,,,,,,,,,,,,,,,,,,0.45,3,COMPLETE
24,24,0.995615342534733,2025-06-22 17:22:20.185916,2025-06-22 17:22:23.449372,0 days 00:00:03.263456,,,,,,,,3424.0,0.025,5m,1.6,0.6000000000000001,1.5,856.0,6192,0.045000000000000005,7m,2.0,0.2,2.0,264,,,,,,,,,,,,,,,,,,,,,,7480.0,0.025,9m,2.6,1.0,0.5,776.0,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
25,25,1.0137241803947934,2025-06-22 17:22:23.507500,2025-06-22 17:22:26.774097,0 days 00:00:03.266597,,,,,,,,2424.0,0.025,5m,1.8,0.4,2.0,768.0,7632,0.03,7m,1.8,0.2,2.0,256,,,,,,,,,,,,,,,,,,,,,,5360.0,0.02,9m,2.0,0.8,0.5,1016.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
26,26,1.019511791362256,2025-06-22 17:22:26.802962,2025-06-22 17:22:31.681903,0 days 00:00:04.878941,,,,,,,,2376.0,0.025,5m,1.8,0.4,2.0,736.0,6224,0.03,7m,1.6,0.4,2.0,272,,,,,,,,5216.0,0.015,6m,3.0,1.0,1.0,824.0,,,,,,,,5984.0,0.02,9m,2.0,0.8,0.5,1016.0,1096.0,0.025,8m,3.0,0.2,1.0,144.0,,,,,,,,,,,,,,,0.35000000000000003,5,COMPLETE
27,27,1.0016913990277194,2025-06-22 17:22:31.714293,2025-06-22 17:22:37.679138,0 days 00:00:05.964845,,,,,,,,2288.0,0.025,5m,1.8,0.4,2.0,776.0,5184,0.03,7m,1.6,0.4,2.0,248,,,,,,,,5048.0,0.015,6m,2.8,1.0,1.0,864.0,1168.0,0.01,4m,2.2,1.0,0.5,160.0,5208.0,0.02,9m,2.0,0.8,0.5,968.0,1144.0,0.025,8m,3.0,0.2,1.0,136.0,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
28,28,0.967404790424214,2025-06-22 17:22:37.716274,2025-06-22 17:22:43.384434,0 days 00:00:05.668160,,,,,,,,2168.0,0.02,5m,1.8,0.4,2.0,720.0,5144,0.03,3m,1.6,0.6000000000000001,1.5,216,,,,,,,,5128.0,0.015,6m,3.0,1.0,1.0,824.0,,,,,,,,5624.0,0.015,9m,2.0,0.8,0.5,1024.0,1160.0,0.025,8m,3.0,0.2,1.0,152.0,,,,,,,,,,,,,,,0.35000000000000003,5,COMPLETE
29,29,0.9499309792008843,2025-06-22 17:22:43.418560,2025-06-22 17:22:49.624081,0 days 00:00:06.205521,,,,,,,,2424.0,0.02,5m,2.0,0.4,2.0,760.0,3808,0.025,6m,1.6,0.4,2.0,136,,,,,,,,3360.0,0.015,6m,2.6,0.8,1.0,864.0,1480.0,0.01,4m,2.2,1.0,0.5,128.0,5136.0,0.02,9m,2.0,0.6000000000000001,0.5,936.0,2112.0,0.02,8m,2.6,0.2,1.0,392.0,,,,,,,,,,,,,,,0.2,6,COMPLETE
30,30,0.9953127323028642,2025-06-22 17:22:49.657330,2025-06-22 17:22:57.632899,0 days 00:00:07.975569,,,,,,,,1056.0,0.035,5m,1.6,0.4,2.0,624.0,4048,0.03,9m,1.8,0.4,1.0,320,,,,,,,,4744.0,0.02,6m,2.4000000000000004,0.8,1.5,720.0,5352.0,0.01,4m,2.2,0.8,1.0,144.0,6072.0,0.015,9m,1.8,0.8,1.0,968.0,4272.0,0.035,8m,3.0,0.2,1.5,344.0,8184.0,0.05,5m,1.0,1.0,0.5,144.0,1208.0,0.05,5m,3.0,0.0,0.5,184.0,0.3,8,COMPLETE
31,31,1.0196839041489965,2025-06-22 17:22:57.668598,2025-06-22 17:23:02.496631,0 days 00:00:04.828033,,,,,,,,3624.0,0.025,5m,1.8,0.6000000000000001,2.0,872.0,6104,0.025,7m,1.6,0.4,2.0,240,,,,,,,,6336.0,0.015,6m,2.8,1.0,1.0,928.0,,,,,,,,4616.0,0.025,9m,2.2,1.0,0.5,824.0,1168.0,0.025,8m,1.8,0.2,1.5,440.0,,,,,,,,,,,,,,,0.35000000000000003,5,COMPLETE
32,32,0.9843203697187018,2025-06-22 17:23:02.528684,2025-06-22 17:23:07.493790,0 days 00:00:04.965106,,,,,,,,2888.0,0.025,5m,1.8,0.6000000000000001,2.0,864.0,5528,0.025,7m,1.6,0.4,2.0,224,,,,,,,,6256.0,0.015,6m,2.8,1.0,1.0,928.0,,,,,,,,4856.0,0.02,9m,2.2,0.8,0.5,840.0,1112.0,0.025,8m,1.8,0.2,1.5,128.0,,,,,,,,,,,,,,,0.35000000000000003,5,COMPLETE
