,number,value,datetime_start,datetime_complete,duration,params_CSCO_TXN_beta_win,params_CSCO_TXN_stop_loss,params_CSCO_TXN_trade_freq,params_CSCO_TXN_z_entry,params_CSCO_TXN_z_exit,params_CSCO_TXN_z_stop_scaler,params_CSCO_TXN_z_win,params_HON_JD_beta_win,params_HON_JD_stop_loss,params_HON_JD_trade_freq,params_HON_JD_z_entry,params_HON_JD_z_exit,params_HON_JD_z_stop_scaler,params_HON_JD_z_win,params_HON_SBUX_beta_win,params_HON_SBUX_stop_loss,params_HON_SBUX_trade_freq,params_HON_SBUX_z_entry,params_HON_SBUX_z_exit,params_HON_SBUX_z_stop_scaler,params_HON_SBUX_z_win,params_JD_SBUX_beta_win,params_JD_SBUX_stop_loss,params_JD_SBUX_trade_freq,params_JD_SBUX_z_entry,params_JD_SBUX_z_exit,params_JD_SBUX_z_stop_scaler,params_JD_SBUX_z_win,params_MSFT_CTAS_beta_win,params_MSFT_CTAS_stop_loss,params_MSFT_CTAS_trade_freq,params_MSFT_CTAS_z_entry,params_MSFT_CTAS_z_exit,params_MSFT_CTAS_z_stop_scaler,params_MSFT_CTAS_z_win,params_NTES_PCAR_beta_win,params_NTES_PCAR_stop_loss,params_NTES_PCAR_trade_freq,params_NTES_PCAR_z_entry,params_NTES_PCAR_z_exit,params_NTES_PCAR_z_stop_scaler,params_NTES_PCAR_z_win,params_PDD_ORLY_beta_win,params_PDD_ORLY_stop_loss,params_PDD_ORLY_trade_freq,params_PDD_ORLY_z_entry,params_PDD_ORLY_z_exit,params_PDD_ORLY_z_stop_scaler,params_PDD_ORLY_z_win,params_PDD_TXN_beta_win,params_PDD_TXN_stop_loss,params_PDD_TXN_trade_freq,params_PDD_TXN_z_entry,params_PDD_TXN_z_exit,params_PDD_TXN_z_stop_scaler,params_PDD_TXN_z_win,params_VRTX_EBAY_beta_win,params_VRTX_EBAY_stop_loss,params_VRTX_EBAY_trade_freq,params_VRTX_EBAY_z_entry,params_VRTX_EBAY_z_exit,params_VRTX_EBAY_z_stop_scaler,params_VRTX_EBAY_z_win,params_VRTX_TXN_beta_win,params_VRTX_TXN_stop_loss,params_VRTX_TXN_trade_freq,params_VRTX_TXN_z_entry,params_VRTX_TXN_z_exit,params_VRTX_TXN_z_stop_scaler,params_VRTX_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,0.990010696556247,2025-06-22 16:59:09.057693,2025-06-22 16:59:17.926003,0 days 00:00:08.868310,2992.0,0.02,4m,1.6,0.0,1.0,488.0,2744,0.04,4m,1.8,0.0,1.5,912,7216.0,0.015,6m,2.6,0.2,0.5,1000.0,,,,,,,,,,,,,,,1672.0,0.02,6m,1.6,1.0,1.5,360.0,2904.0,0.015,7m,1.4,0.8,1.5,912.0,3728.0,0.02,7m,1.2,0.8,0.5,800.0,7752.0,0.05,6m,1.0,0.4,0.5,304.0,3576.0,0.02,4m,2.2,0.6000000000000001,1.5,720.0,0.05,8,COMPLETE
21,21,0.9374638560218312,2025-06-22 16:59:17.975754,2025-06-22 16:59:29.584631,0 days 00:00:11.608877,2368.0,0.035,8m,1.4,0.4,1.5,640.0,3312,0.025,7m,1.0,0.6000000000000001,0.5,848,5080.0,0.025,5m,3.0,0.0,1.0,568.0,6424.0,0.035,3m,1.8,0.6000000000000001,0.5,528.0,,,,,,,,5560.0,0.01,3m,2.4000000000000004,0.4,1.0,328.0,6808.0,0.025,9m,2.6,1.0,0.5,720.0,5616.0,0.04,6m,2.0,0.6000000000000001,2.0,560.0,5520.0,0.02,2m,1.6,0.2,1.5,808.0,8152.0,0.02,3m,2.2,0.4,1.0,592.0,0.15000000000000002,9,COMPLETE
22,22,1.0134442831290973,2025-06-22 16:59:29.617510,2025-06-22 16:59:41.771402,0 days 00:00:12.153892,1040.0,0.035,8m,1.6,0.8,1.5,360.0,2024,0.03,5m,1.4,0.4,1.0,1024,3632.0,0.025,3m,2.4000000000000004,0.2,1.0,536.0,2392.0,0.05,9m,3.0,0.6000000000000001,1.5,256.0,5968.0,0.04,9m,2.8,0.0,1.5,976.0,5168.0,0.035,4m,2.6,0.8,1.5,352.0,6424.0,0.03,6m,1.8,0.4,0.5,576.0,7504.0,0.045000000000000005,6m,1.6,0.4,1.5,336.0,6728.0,0.035,2m,1.8,0.4,1.5,256.0,7040.0,0.03,3m,2.0,0.8,0.5,648.0,0.2,10,COMPLETE
23,23,1.0694340032354024,2025-06-22 16:59:41.803889,2025-06-22 16:59:52.095203,0 days 00:00:10.291314,3880.0,0.035,8m,1.8,0.6000000000000001,1.0,920.0,3120,0.035,6m,1.6,0.2,0.5,896,2248.0,0.035,9m,2.6,0.0,0.5,368.0,,,,,,,,,,,,,,,6824.0,0.02,5m,2.0,0.8,1.0,704.0,4680.0,0.02,2m,2.0,0.8,1.0,520.0,3512.0,0.025,6m,1.0,0.6000000000000001,2.0,560.0,4272.0,0.025,2m,2.4000000000000004,0.2,2.0,488.0,7304.0,0.035,3m,2.4000000000000004,0.0,1.0,520.0,0.15000000000000002,8,COMPLETE
24,24,0.9754535505691034,2025-06-22 16:59:52.125007,2025-06-22 17:00:01.376833,0 days 00:00:09.251826,3680.0,0.045000000000000005,6m,2.2,0.6000000000000001,1.0,960.0,1640,0.04,9m,1.6,0.2,1.0,768,1952.0,0.035,9m,2.6,0.0,0.5,400.0,,,,,,,,,,,,,,,,,,,,,,4616.0,0.015,2m,2.0,0.8,1.0,696.0,3752.0,0.025,9m,1.0,0.8,1.5,544.0,5584.0,0.03,3m,2.4000000000000004,0.6000000000000001,2.0,456.0,5376.0,0.04,2m,2.6,0.6000000000000001,1.0,400.0,0.1,7,COMPLETE
25,25,0.9179876647696923,2025-06-22 17:00:01.413397,2025-06-22 17:00:11.743495,0 days 00:00:10.330098,4320.0,0.03,3m,1.8,0.4,0.5,888.0,2528,0.035,9m,2.2,0.4,1.5,928,2656.0,0.035,9m,3.0,0.0,0.5,256.0,,,,,,,,,,,,,,,3872.0,0.025,5m,1.8,0.8,1.0,760.0,4512.0,0.02,2m,1.2,1.0,1.0,224.0,2144.0,0.025,8m,1.4,0.6000000000000001,2.0,760.0,4504.0,0.025,2m,2.6,0.0,2.0,264.0,6144.0,0.01,6m,2.4000000000000004,0.2,1.0,520.0,0.25,8,COMPLETE
26,26,0.9607473626511878,2025-06-22 17:00:11.776734,2025-06-22 17:00:18.468517,0 days 00:00:06.691783,4712.0,0.04,5m,2.0,0.2,1.0,776.0,5224,0.045000000000000005,6m,1.6,0.0,1.0,688,1064.0,0.01,8m,2.8,0.2,0.5,376.0,,,,,,,,,,,,,,,,,,,,,,1944.0,0.015,8m,2.0,0.6000000000000001,1.0,328.0,3784.0,0.015,4m,1.0,0.8,1.5,344.0,,,,,,,,6872.0,0.035,3m,3.0,1.0,1.5,840.0,0.45,6,COMPLETE
27,27,1.0388401227906234,2025-06-22 17:00:18.491763,2025-06-22 17:00:27.578519,0 days 00:00:09.086756,3440.0,0.045000000000000005,8m,1.8,0.6000000000000001,1.0,1024.0,3120,0.045000000000000005,5m,2.0,0.2,0.5,520,3520.0,0.02,9m,2.6,0.0,0.5,192.0,3536.0,0.015,6m,2.6,0.0,2.0,992.0,,,,,,,,7000.0,0.02,5m,1.2,0.8,1.5,648.0,4776.0,0.01,5m,1.8,0.8,2.0,760.0,5272.0,0.035,5m,1.4,0.6000000000000001,2.0,416.0,7264.0,0.04,9m,2.4000000000000004,0.4,0.5,448.0,5824.0,0.02,3m,1.8,0.4,1.0,688.0,0.35000000000000003,9,COMPLETE
28,28,1.0,2025-06-22 17:00:27.635548,2025-06-22 17:00:33.380746,0 days 00:00:05.745198,1992.0,0.035,8m,2.2,0.4,0.5,616.0,3760,0.035,2m,2.4000000000000004,0.6000000000000001,2.0,720,1560.0,0.015,6m,3.0,0.2,1.0,480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4032.0,0.015,3m,2.8,0.8,1.5,352.0,0.2,4,COMPLETE
29,29,1.0321554538297357,2025-06-22 17:00:33.427870,2025-06-22 17:00:41.813421,0 days 00:00:08.385551,2608.0,0.02,5m,2.6,0.0,1.0,728.0,2432,0.03,6m,2.6,0.4,0.5,616,2904.0,0.025,6m,2.8,0.4,0.5,136.0,,,,,,,,,,,,,,,,,,,,,,5784.0,0.02,3m,2.2,1.0,1.5,920.0,2528.0,0.02,6m,1.2,1.0,1.0,584.0,6104.0,0.025,4m,1.2,0.2,2.0,192.0,7408.0,0.025,3m,2.4000000000000004,0.6000000000000001,1.0,528.0,0.3,7,COMPLETE
