,number,value,datetime_start,datetime_complete,duration,params_CSCO_TXN_beta_win,params_CSCO_TXN_stop_loss,params_CSCO_TXN_trade_freq,params_CSCO_TXN_z_entry,params_CSCO_TXN_z_exit,params_CSCO_TXN_z_stop_scaler,params_CSCO_TXN_z_win,params_HON_JD_beta_win,params_HON_JD_stop_loss,params_HON_JD_trade_freq,params_HON_JD_z_entry,params_HON_JD_z_exit,params_HON_JD_z_stop_scaler,params_HON_JD_z_win,params_HON_SBUX_beta_win,params_HON_SBUX_stop_loss,params_HON_SBUX_trade_freq,params_HON_SBUX_z_entry,params_HON_SBUX_z_exit,params_HON_SBUX_z_stop_scaler,params_HON_SBUX_z_win,params_JD_SBUX_beta_win,params_JD_SBUX_stop_loss,params_JD_SBUX_trade_freq,params_JD_SBUX_z_entry,params_JD_SBUX_z_exit,params_JD_SBUX_z_stop_scaler,params_JD_SBUX_z_win,params_MSFT_CTAS_beta_win,params_MSFT_CTAS_stop_loss,params_MSFT_CTAS_trade_freq,params_MSFT_CTAS_z_entry,params_MSFT_CTAS_z_exit,params_MSFT_CTAS_z_stop_scaler,params_MSFT_CTAS_z_win,params_NTES_PCAR_beta_win,params_NTES_PCAR_stop_loss,params_NTES_PCAR_trade_freq,params_NTES_PCAR_z_entry,params_NTES_PCAR_z_exit,params_NTES_PCAR_z_stop_scaler,params_NTES_PCAR_z_win,params_PDD_ORLY_beta_win,params_PDD_ORLY_stop_loss,params_PDD_ORLY_trade_freq,params_PDD_ORLY_z_entry,params_PDD_ORLY_z_exit,params_PDD_ORLY_z_stop_scaler,params_PDD_ORLY_z_win,params_PDD_TXN_beta_win,params_PDD_TXN_stop_loss,params_PDD_TXN_trade_freq,params_PDD_TXN_z_entry,params_PDD_TXN_z_exit,params_PDD_TXN_z_stop_scaler,params_PDD_TXN_z_win,params_VRTX_EBAY_beta_win,params_VRTX_EBAY_stop_loss,params_VRTX_EBAY_trade_freq,params_VRTX_EBAY_z_entry,params_VRTX_EBAY_z_exit,params_VRTX_EBAY_z_stop_scaler,params_VRTX_EBAY_z_win,params_VRTX_TXN_beta_win,params_VRTX_TXN_stop_loss,params_VRTX_TXN_trade_freq,params_VRTX_TXN_z_entry,params_VRTX_TXN_z_exit,params_VRTX_TXN_z_stop_scaler,params_VRTX_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
70,70,1.0997100876616661,2025-06-22 17:06:28.518548,2025-06-22 17:06:39.115521,0 days 00:00:10.596973,3280.0,0.015,9m,1.4,0.4,1.0,768.0,2416,0.015,7m,2.8,0.2,1.0,888,3088.0,0.025,6m,1.6,0.0,1.5,240.0,2504.0,0.035,3m,1.8,0.6000000000000001,2.0,248.0,3704.0,0.035,8m,2.2,0.4,0.5,984.0,7208.0,0.02,9m,2.8,0.2,0.5,136.0,2712.0,0.025,3m,1.8,0.6000000000000001,0.5,632.0,2968.0,0.035,6m,1.2,0.4,1.5,416.0,4384.0,0.02,8m,2.4000000000000004,0.0,2.0,224.0,6040.0,0.035,4m,2.6,0.4,1.5,752.0,0.2,10,COMPLETE
71,71,1.0614577049137084,2025-06-22 17:06:39.150838,2025-06-22 17:06:49.481923,0 days 00:00:10.331085,3200.0,0.015,9m,1.4,0.4,1.0,792.0,1024,0.015,7m,2.8,0.2,1.0,888,3104.0,0.025,6m,1.6,0.0,1.5,304.0,2176.0,0.035,3m,1.8,0.6000000000000001,2.0,280.0,3488.0,0.035,8m,2.2,0.4,0.5,976.0,7448.0,0.02,9m,3.0,0.0,0.5,128.0,3464.0,0.025,3m,1.8,0.6000000000000001,0.5,640.0,3088.0,0.035,6m,1.2,0.4,1.5,384.0,4344.0,0.02,8m,2.4000000000000004,0.0,2.0,224.0,6024.0,0.035,4m,2.6,0.4,1.5,744.0,0.2,10,COMPLETE
72,72,0.9828450395976498,2025-06-22 17:06:49.528379,2025-06-22 17:07:03.018180,0 days 00:00:13.489801,3472.0,0.015,9m,1.0,0.6000000000000001,1.0,760.0,2504,0.015,7m,3.0,0.2,1.0,904,3104.0,0.025,6m,1.4,0.0,1.5,304.0,2680.0,0.035,3m,1.8,0.6000000000000001,2.0,224.0,3376.0,0.035,8m,1.8,0.4,0.5,944.0,7480.0,0.02,9m,3.0,0.0,0.5,136.0,3448.0,0.025,3m,1.8,0.6000000000000001,0.5,640.0,3208.0,0.035,6m,1.0,0.4,1.5,424.0,4624.0,0.015,8m,2.4000000000000004,0.0,2.0,248.0,5888.0,0.035,4m,2.6,0.4,1.5,736.0,0.2,10,COMPLETE
73,73,1.0998226789347032,2025-06-22 17:07:03.065643,2025-06-22 17:07:12.255207,0 days 00:00:09.189564,2848.0,0.015,9m,1.4,0.4,1.0,824.0,2104,0.015,7m,2.8,0.2,1.0,832,3496.0,0.025,6m,1.6,0.0,1.5,216.0,3912.0,0.035,3m,2.2,0.8,2.0,312.0,,,,,,,,7320.0,0.02,9m,3.0,0.2,0.5,176.0,3200.0,0.025,3m,1.6,0.6000000000000001,0.5,752.0,2984.0,0.04,6m,1.4,0.2,1.5,520.0,4248.0,0.02,8m,2.6,0.0,2.0,216.0,6024.0,0.03,4m,2.6,0.4,1.5,768.0,0.15000000000000002,9,COMPLETE
74,74,1.0364878043826242,2025-06-22 17:07:12.293117,2025-06-22 17:07:21.834049,0 days 00:00:09.540932,2848.0,0.015,9m,1.4,0.4,1.0,800.0,2136,0.015,7m,2.8,0.2,1.0,832,3600.0,0.025,6m,1.6,0.0,1.5,160.0,3776.0,0.035,3m,2.2,0.8,2.0,312.0,,,,,,,,7408.0,0.02,9m,3.0,0.2,0.5,184.0,3192.0,0.025,3m,1.8,0.6000000000000001,0.5,784.0,2912.0,0.04,6m,1.6,0.2,1.5,512.0,4344.0,0.02,8m,2.8,0.0,2.0,216.0,6120.0,0.03,4m,2.6,0.4,1.5,776.0,0.15000000000000002,9,COMPLETE
75,75,1.019369402254622,2025-06-22 17:07:21.865501,2025-06-22 17:07:33.547269,0 days 00:00:11.681768,3176.0,0.015,9m,1.4,0.4,1.0,776.0,3032,0.02,7m,2.8,0.2,1.0,936,4184.0,0.025,6m,1.4,0.0,1.5,224.0,1928.0,0.04,3m,2.0,0.6000000000000001,2.0,200.0,3664.0,0.045000000000000005,6m,2.4000000000000004,0.4,1.0,1016.0,7080.0,0.015,9m,2.8,0.2,0.5,208.0,3912.0,0.02,3m,2.0,0.4,0.5,728.0,3312.0,0.04,6m,1.4,0.2,1.5,608.0,3808.0,0.02,9m,2.6,0.0,2.0,264.0,5264.0,0.035,4m,2.8,0.4,1.5,704.0,0.2,10,COMPLETE
76,76,1.0065612181846484,2025-06-22 17:07:33.643875,2025-06-22 17:07:46.326302,0 days 00:00:12.682427,3904.0,0.01,9m,1.2,0.4,1.0,728.0,2408,0.015,7m,2.8,0.2,2.0,1016,3824.0,0.02,6m,1.6,0.0,1.5,1016.0,2944.0,0.045000000000000005,3m,1.8,0.8,2.0,272.0,,,,,,,,7728.0,0.02,9m,2.8,0.0,0.5,264.0,3592.0,0.025,3m,1.4,0.6000000000000001,0.5,752.0,3008.0,0.045000000000000005,6m,1.4,0.0,0.5,536.0,3832.0,0.02,2m,2.8,0.0,2.0,160.0,4752.0,0.03,4m,2.6,0.4,1.5,640.0,0.1,9,COMPLETE
77,77,1.0290301742121983,2025-06-22 17:07:46.363611,2025-06-22 17:07:58.106345,0 days 00:00:11.742734,4200.0,0.015,9m,1.4,0.4,0.5,832.0,3320,0.01,7m,2.8,0.6000000000000001,1.0,888,3368.0,0.025,6m,1.2,0.0,1.5,248.0,4048.0,0.035,3m,2.2,0.6000000000000001,2.0,472.0,2136.0,0.035,2m,3.0,0.2,0.5,840.0,6984.0,0.015,9m,3.0,0.2,0.5,128.0,4184.0,0.03,3m,1.8,0.6000000000000001,0.5,864.0,3416.0,0.035,6m,1.8,0.2,2.0,480.0,4168.0,0.015,4m,2.4000000000000004,0.0,2.0,232.0,6512.0,0.035,4m,3.0,0.4,0.5,736.0,0.15000000000000002,10,COMPLETE
78,78,1.0602362928889728,2025-06-22 17:07:58.144025,2025-06-22 17:08:08.165817,0 days 00:00:10.021792,4544.0,0.02,9m,1.2,0.6000000000000001,1.0,664.0,5624,0.02,7m,3.0,0.4,1.0,968,2376.0,0.02,6m,1.8,0.0,1.5,128.0,1832.0,0.03,3m,2.4000000000000004,0.4,2.0,200.0,,,,,,,,7280.0,0.025,9m,3.0,0.0,0.5,184.0,3080.0,0.025,3m,1.6,0.6000000000000001,0.5,688.0,2688.0,0.04,6m,1.0,0.4,1.5,568.0,7000.0,0.025,8m,2.6,0.0,2.0,288.0,5712.0,0.03,4m,2.4000000000000004,0.4,2.0,136.0,0.1,9,COMPLETE
79,79,0.9808625937507698,2025-06-22 17:08:08.206500,2025-06-22 17:08:18.414454,0 days 00:00:10.207954,4648.0,0.02,9m,1.4,0.6000000000000001,1.0,584.0,6240,0.02,7m,3.0,0.4,1.5,968,2840.0,0.02,6m,1.8,0.0,1.5,128.0,2240.0,0.03,3m,2.4000000000000004,0.4,2.0,208.0,,,,,,,,6792.0,0.025,9m,3.0,0.0,0.5,184.0,3184.0,0.02,3m,1.6,0.6000000000000001,0.5,688.0,2616.0,0.04,5m,1.2,0.4,1.5,568.0,6880.0,0.025,3m,2.6,0.0,2.0,320.0,6112.0,0.03,4m,2.4000000000000004,0.4,2.0,328.0,0.1,9,COMPLETE
80,80,0.8781369251980778,2025-06-22 17:08:18.594272,2025-06-22 17:08:33.253747,0 days 00:00:14.659475,2096.0,0.015,9m,1.2,0.6000000000000001,1.0,648.0,5816,0.015,2m,2.6,0.4,0.5,872,2400.0,0.02,6m,1.4,0.0,1.5,160.0,1696.0,0.035,3m,2.4000000000000004,0.6000000000000001,2.0,336.0,4496.0,0.03,4m,1.6,0.8,1.0,824.0,7352.0,0.02,9m,2.8,0.0,0.5,256.0,2752.0,0.025,3m,1.6,0.4,0.5,824.0,7000.0,0.045000000000000005,6m,1.0,0.4,1.5,632.0,7520.0,0.02,5m,2.8,0.0,2.0,280.0,5736.0,0.03,4m,2.8,0.4,2.0,144.0,0.15000000000000002,10,COMPLETE
81,81,1.061834635781422,2025-06-22 17:08:33.288583,2025-06-22 17:08:41.181020,0 days 00:00:07.892437,3056.0,0.02,9m,1.2,0.6000000000000001,1.0,680.0,5536,0.015,7m,3.0,0.2,1.0,920,2048.0,0.025,6m,1.6,0.0,1.5,208.0,,,,,,,,,,,,,,,8128.0,0.025,9m,3.0,0.2,0.5,160.0,3544.0,0.025,3m,1.8,0.6000000000000001,0.5,704.0,3128.0,0.035,6m,1.0,0.4,1.5,592.0,4616.0,0.02,8m,2.4000000000000004,0.0,2.0,216.0,5560.0,0.035,4m,2.6,0.4,2.0,200.0,0.15000000000000002,8,COMPLETE
82,82,1.003149466427748,2025-06-22 17:08:41.215213,2025-06-22 17:08:50.791233,0 days 00:00:09.576020,3120.0,0.02,9m,1.0,0.6000000000000001,1.0,696.0,5184,0.015,7m,3.0,0.4,1.0,832,1832.0,0.025,6m,1.6,0.0,1.5,200.0,2920.0,0.04,3m,2.6,0.4,2.0,168.0,,,,,,,,8072.0,0.025,9m,2.8,0.2,0.5,160.0,6656.0,0.025,3m,1.2,0.6000000000000001,0.5,696.0,3104.0,0.04,6m,1.0,0.4,1.5,600.0,6808.0,0.02,8m,2.4000000000000004,0.0,2.0,216.0,5560.0,0.035,4m,2.6,0.4,2.0,200.0,0.15000000000000002,9,COMPLETE
83,83,0.9484413840122381,2025-06-22 17:08:50.904347,2025-06-22 17:09:01.014509,0 days 00:00:10.110162,3656.0,0.01,9m,1.2,0.6000000000000001,1.0,672.0,5504,0.015,7m,3.0,0.2,1.0,944,2048.0,0.03,6m,1.8,0.0,1.5,144.0,2040.0,0.03,3m,2.8,0.8,1.5,256.0,,,,,,,,7872.0,0.02,9m,3.0,0.2,0.5,232.0,3032.0,0.03,3m,1.8,0.6000000000000001,0.5,128.0,3672.0,0.035,6m,1.2,0.4,1.5,672.0,6376.0,0.025,8m,2.6,0.0,2.0,384.0,5576.0,0.025,4m,2.4000000000000004,0.4,2.0,248.0,0.1,9,COMPLETE
84,84,1.045533392070095,2025-06-22 17:09:01.083877,2025-06-22 17:09:09.320457,0 days 00:00:08.236580,3320.0,0.02,9m,1.2,0.6000000000000001,1.0,624.0,5312,0.01,6m,2.6,0.4,1.0,920,1296.0,0.025,6m,1.6,0.0,1.5,216.0,,,,,,,,,,,,,,,7584.0,0.025,9m,3.0,0.0,0.5,152.0,3520.0,0.025,3m,1.4,0.6000000000000001,0.5,752.0,2248.0,0.04,7m,1.0,0.4,1.5,568.0,4656.0,0.015,8m,2.4000000000000004,0.2,2.0,160.0,5992.0,0.035,4m,2.4000000000000004,0.4,2.0,176.0,0.2,8,COMPLETE
85,85,0.9656303499962228,2025-06-22 17:09:09.351736,2025-06-22 17:09:18.529107,0 days 00:00:09.177371,2792.0,0.02,9m,1.2,0.4,1.0,704.0,6024,0.02,7m,3.0,0.2,1.0,880,2664.0,0.015,6m,1.4,0.0,1.5,176.0,,,,,,,,,,,,,,,7200.0,0.025,8m,3.0,0.4,0.5,312.0,4632.0,0.02,3m,2.0,0.4,0.5,880.0,1944.0,0.05,6m,1.0,0.2,2.0,472.0,7056.0,0.02,2m,2.4000000000000004,0.0,2.0,328.0,6512.0,0.03,4m,2.6,0.2,2.0,136.0,0.2,8,COMPLETE
86,86,0.9447346011922827,2025-06-22 17:09:18.571329,2025-06-22 17:09:28.341511,0 days 00:00:09.770182,2592.0,0.015,9m,1.4,0.6000000000000001,1.0,528.0,6832,0.01,9m,2.8,0.6000000000000001,1.0,1000,3488.0,0.02,6m,1.6,0.0,0.5,272.0,4936.0,0.045000000000000005,8m,1.6,1.0,2.0,360.0,4320.0,0.035,8m,2.4000000000000004,0.2,2.0,496.0,8128.0,0.02,9m,2.8,0.2,1.0,216.0,2392.0,0.025,3m,1.6,0.6000000000000001,2.0,648.0,2592.0,0.035,6m,1.2,0.4,1.5,408.0,4296.0,0.025,6m,2.6,0.0,1.5,256.0,4584.0,0.035,4m,2.4000000000000004,0.4,2.0,272.0,0.05,10,COMPLETE
87,87,1.0505428306757225,2025-06-22 17:09:28.376678,2025-06-22 17:09:38.662440,0 days 00:00:10.285762,3040.0,0.01,9m,1.0,0.4,1.0,728.0,4520,0.015,3m,2.8,0.2,1.0,896,3096.0,0.03,6m,1.8,0.0,1.5,232.0,1512.0,0.035,9m,2.2,0.6000000000000001,2.0,144.0,,,,,,,,7728.0,0.03,6m,2.6,0.0,0.5,168.0,7104.0,0.03,2m,1.8,0.6000000000000001,0.5,712.0,2816.0,0.04,6m,1.2,0.4,1.5,752.0,7520.0,0.02,8m,2.4000000000000004,0.2,2.0,232.0,6368.0,0.025,4m,2.6,0.4,2.0,216.0,0.1,9,COMPLETE
88,88,1.012928743985682,2025-06-22 17:09:38.698954,2025-06-22 17:09:48.470118,0 days 00:00:09.771164,3000.0,0.01,9m,1.2,0.4,1.0,736.0,4936,0.015,3m,2.8,0.2,1.5,792,3056.0,0.03,6m,1.8,0.0,1.5,192.0,1560.0,0.035,9m,2.2,0.6000000000000001,2.0,144.0,,,,,,,,7728.0,0.03,6m,2.6,0.0,0.5,176.0,7040.0,0.03,2m,2.0,0.6000000000000001,0.5,712.0,2744.0,0.04,9m,2.8,0.4,2.0,752.0,7464.0,0.02,8m,2.8,0.2,2.0,232.0,6232.0,0.025,4m,2.6,0.4,2.0,184.0,0.15000000000000002,9,COMPLETE
89,89,0.9816463577162845,2025-06-22 17:09:48.496474,2025-06-22 17:09:59.455502,0 days 00:00:10.959028,3584.0,0.01,9m,1.0,0.6000000000000001,1.0,600.0,4664,0.02,3m,2.6,0.4,1.0,904,4008.0,0.03,6m,1.6,0.0,1.5,232.0,2672.0,0.04,9m,1.8,0.4,2.0,200.0,2216.0,0.05,8m,2.0,0.2,0.5,888.0,6648.0,0.01,6m,2.6,0.0,0.5,304.0,7576.0,0.03,2m,1.8,0.4,0.5,800.0,3072.0,0.045000000000000005,4m,1.6,0.2,1.5,704.0,8096.0,0.015,7m,2.6,0.2,2.0,288.0,6944.0,0.03,4m,2.6,0.6000000000000001,2.0,168.0,0.1,10,COMPLETE
90,90,1.0060435005882493,2025-06-22 17:09:59.495670,2025-06-22 17:10:10.627993,0 days 00:00:11.132323,3304.0,0.015,9m,1.0,0.8,1.5,672.0,4008,0.015,3m,3.0,0.2,1.0,840,2832.0,0.025,6m,1.8,0.0,0.5,256.0,1488.0,0.03,9m,2.0,0.6000000000000001,2.0,248.0,,,,,,,,6160.0,0.02,7m,2.8,0.2,0.5,232.0,5952.0,0.025,2m,3.0,0.6000000000000001,0.5,680.0,2968.0,0.04,8m,1.4,0.4,1.0,864.0,7600.0,0.025,2m,2.4000000000000004,0.2,2.0,200.0,5664.0,0.025,4m,2.8,0.4,2.0,224.0,0.1,9,COMPLETE
91,91,0.9997587997239628,2025-06-22 17:10:10.667265,2025-06-22 17:10:19.974266,0 days 00:00:09.307001,3968.0,0.02,2m,1.0,0.4,1.0,752.0,5872,0.015,5m,2.8,0.2,1.0,952,2296.0,0.025,6m,1.8,0.0,1.5,320.0,,,,,,,,,,,,,,,6864.0,0.03,6m,3.0,0.0,1.0,128.0,6328.0,0.02,7m,1.0,0.6000000000000001,0.5,736.0,3448.0,0.035,6m,1.2,0.4,1.5,640.0,4432.0,0.02,8m,2.4000000000000004,0.0,2.0,168.0,6584.0,0.03,3m,2.6,0.4,2.0,216.0,0.15000000000000002,8,COMPLETE
92,92,1.0,2025-06-22 17:10:20.008212,2025-06-22 17:10:21.335792,0 days 00:00:01.327580,,,,,,,,6496,0.01,7m,3.0,0.2,1.0,968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
93,93,0.9746808693604254,2025-06-22 17:10:21.389061,2025-06-22 17:10:32.533123,0 days 00:00:11.144062,3040.0,0.01,9m,1.4,0.4,1.0,792.0,5472,0.02,3m,2.8,0.2,1.0,920,2048.0,0.03,2m,1.6,0.0,1.5,280.0,2024.0,0.035,4m,2.4000000000000004,0.8,1.5,168.0,,,,,,,,7144.0,0.025,4m,3.0,0.0,0.5,168.0,3312.0,0.03,3m,1.8,0.6000000000000001,0.5,616.0,3864.0,0.035,6m,1.0,0.4,1.5,776.0,6568.0,0.02,8m,2.2,0.0,2.0,136.0,5392.0,0.035,4m,2.8,0.2,1.0,312.0,0.15000000000000002,9,COMPLETE
94,94,0.9968166093712012,2025-06-22 17:10:32.579977,2025-06-22 17:10:43.835079,0 days 00:00:11.255102,4416.0,0.015,5m,1.6,0.6000000000000001,1.0,864.0,7608,0.015,7m,2.6,0.2,1.0,856,1792.0,0.02,6m,1.4,0.0,1.5,184.0,,,,,,,,,,,,,,,7688.0,0.025,9m,2.8,0.4,0.5,400.0,3728.0,0.025,2m,1.6,0.6000000000000001,0.5,560.0,3256.0,0.04,6m,1.2,0.4,1.5,584.0,3992.0,0.025,8m,2.6,0.0,2.0,224.0,6400.0,0.04,4m,2.4000000000000004,0.4,2.0,128.0,0.25,8,COMPLETE
95,95,1.1387954428240104,2025-06-22 17:10:43.926239,2025-06-22 17:10:52.979102,0 days 00:00:09.052863,2752.0,0.015,7m,1.4,0.4,1.0,720.0,5672,0.015,8m,3.0,0.4,1.0,896,2536.0,0.025,9m,1.8,0.0,1.5,208.0,5736.0,0.04,5m,2.0,0.6000000000000001,2.0,296.0,,,,,,,,7296.0,0.015,3m,3.0,0.2,1.0,200.0,2584.0,0.025,9m,1.8,0.8,0.5,704.0,2840.0,0.035,6m,1.0,0.4,1.5,536.0,7352.0,0.015,8m,2.2,0.2,2.0,248.0,7336.0,0.03,6m,2.2,0.2,1.0,760.0,0.1,9,COMPLETE
96,96,0.9807929769521547,2025-06-22 17:10:53.010755,2025-06-22 17:11:02.410853,0 days 00:00:09.400098,2840.0,0.015,7m,1.4,0.4,1.0,648.0,5696,0.015,8m,3.0,0.4,1.0,896,2648.0,0.025,9m,1.8,0.0,1.5,776.0,6120.0,0.04,5m,2.0,0.6000000000000001,2.0,296.0,,,,,,,,7336.0,0.01,3m,3.0,0.2,1.0,200.0,2200.0,0.025,9m,2.0,0.8,0.5,776.0,2424.0,0.035,6m,1.2,0.4,1.5,864.0,7296.0,0.015,3m,2.4000000000000004,0.2,2.0,264.0,7352.0,0.03,6m,2.2,0.4,1.0,808.0,0.05,9,COMPLETE
97,97,1.0313712578524636,2025-06-22 17:11:02.454798,2025-06-22 17:11:12.041536,0 days 00:00:09.586738,2496.0,0.015,7m,1.4,0.4,1.0,712.0,2792,0.01,8m,2.8,0.4,1.5,824,3168.0,0.025,9m,1.6,0.0,1.5,672.0,2328.0,0.035,5m,2.2,0.4,2.0,128.0,3664.0,0.02,7m,2.6,0.4,1.5,760.0,7840.0,0.015,3m,3.0,0.2,1.0,240.0,8008.0,0.03,9m,1.8,0.6000000000000001,0.5,704.0,2864.0,0.04,5m,1.4,0.0,1.5,536.0,7008.0,0.01,8m,2.2,0.2,2.0,320.0,6776.0,0.025,6m,2.2,0.2,1.0,760.0,0.1,10,COMPLETE
98,98,1.0327550113004182,2025-06-22 17:11:12.093288,2025-06-22 17:11:20.685546,0 days 00:00:08.592258,3320.0,0.01,7m,1.2,0.4,1.0,440.0,4944,0.02,8m,3.0,0.6000000000000001,0.5,792,3440.0,0.015,9m,1.6,0.0,1.5,152.0,5896.0,0.04,5m,1.8,0.6000000000000001,2.0,232.0,,,,,,,,7480.0,0.02,3m,2.8,0.2,0.5,160.0,2576.0,0.02,9m,1.6,0.4,0.5,672.0,2704.0,0.045000000000000005,6m,1.0,0.2,1.5,688.0,7728.0,0.015,8m,2.4000000000000004,0.2,2.0,192.0,7520.0,0.03,6m,2.4000000000000004,0.4,1.0,152.0,0.1,9,COMPLETE
99,99,1.0769538401865029,2025-06-22 17:11:20.727560,2025-06-22 17:11:33.195290,0 days 00:00:12.467730,2760.0,0.02,6m,1.6,0.6000000000000001,1.0,688.0,5104,0.015,6m,2.8,1.0,1.0,872,4488.0,0.025,8m,1.8,0.0,0.5,208.0,5800.0,0.04,9m,2.0,1.0,2.0,328.0,5448.0,0.04,4m,1.6,0.8,1.0,1024.0,8192.0,0.015,4m,3.0,0.0,1.0,192.0,2768.0,0.02,3m,1.8,0.8,0.5,744.0,3128.0,0.03,6m,1.2,0.4,2.0,496.0,7368.0,0.02,2m,2.6,0.2,2.0,240.0,6008.0,0.035,2m,2.2,1.0,1.0,712.0,0.05,10,COMPLETE
