,number,value,datetime_start,datetime_complete,duration,params_AAPL_CSGP_beta_win,params_AAPL_CSGP_stop_loss,params_AAPL_CSGP_trade_freq,params_AAPL_CSGP_z_entry,params_AAPL_CSGP_z_exit,params_AAPL_CSGP_z_stop_scaler,params_AAPL_CSGP_z_win,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_ADBE_CPRT_beta_win,params_ADBE_CPRT_stop_loss,params_ADBE_CPRT_trade_freq,params_ADBE_CPRT_z_entry,params_ADBE_CPRT_z_exit,params_ADBE_CPRT_z_stop_scaler,params_ADBE_CPRT_z_win,params_AMGN_PANW_beta_win,params_AMGN_PANW_stop_loss,params_AMGN_PANW_trade_freq,params_AMGN_PANW_z_entry,params_AMGN_PANW_z_exit,params_AMGN_PANW_z_stop_scaler,params_AMGN_PANW_z_win,params_AMZN_WBD_beta_win,params_AMZN_WBD_stop_loss,params_AMZN_WBD_trade_freq,params_AMZN_WBD_z_entry,params_AMZN_WBD_z_exit,params_AMZN_WBD_z_stop_scaler,params_AMZN_WBD_z_win,params_AZN_MNST_beta_win,params_AZN_MNST_stop_loss,params_AZN_MNST_trade_freq,params_AZN_MNST_z_entry,params_AZN_MNST_z_exit,params_AZN_MNST_z_stop_scaler,params_AZN_MNST_z_win,params_CSGP_EA_beta_win,params_CSGP_EA_stop_loss,params_CSGP_EA_trade_freq,params_CSGP_EA_z_entry,params_CSGP_EA_z_exit,params_CSGP_EA_z_stop_scaler,params_CSGP_EA_z_win,params_KLAC_WBD_beta_win,params_KLAC_WBD_stop_loss,params_KLAC_WBD_trade_freq,params_KLAC_WBD_z_entry,params_KLAC_WBD_z_exit,params_KLAC_WBD_z_stop_scaler,params_KLAC_WBD_z_win,params_NFLX_WBD_beta_win,params_NFLX_WBD_stop_loss,params_NFLX_WBD_trade_freq,params_NFLX_WBD_z_entry,params_NFLX_WBD_z_exit,params_NFLX_WBD_z_stop_scaler,params_NFLX_WBD_z_win,params_NVDA_WBD_beta_win,params_NVDA_WBD_stop_loss,params_NVDA_WBD_trade_freq,params_NVDA_WBD_z_entry,params_NVDA_WBD_z_exit,params_NVDA_WBD_z_stop_scaler,params_NVDA_WBD_z_win,params_buffer_capital,params_pairs_to_trade,state
44,44,1.0221200139761568,2025-06-22 17:33:26.624875,2025-06-22 17:33:38.697436,0 days 00:00:12.072561,4272.0,0.03,8m,1.4,1.0,0.5,576.0,4856.0,0.01,6m,2.8,0.8,1.0,304.0,5048.0,0.015,7m,2.4000000000000004,0.8,2.0,768.0,,,,,,,,7112.0,0.025,2m,2.2,0.2,1.5,232.0,4904.0,0.035,7m,1.0,0.4,1.5,264.0,,,,,,,,6968,0.035,4m,1.0,0.8,0.5,792,7288.0,0.025,4m,3.0,0.8,1.5,1016.0,,,,,,,,0.05,7,COMPLETE
45,45,1.0417974337509475,2025-06-22 17:33:38.745951,2025-06-22 17:33:48.820664,0 days 00:00:10.074713,4152.0,0.045000000000000005,8m,1.4,1.0,2.0,560.0,7000.0,0.01,6m,3.0,0.8,1.0,312.0,5056.0,0.015,7m,2.2,0.8,2.0,648.0,,,,,,,,5024.0,0.02,2m,2.4000000000000004,0.4,2.0,232.0,4896.0,0.03,6m,1.0,0.4,1.5,568.0,2168.0,0.045000000000000005,6m,2.6,0.6000000000000001,0.5,864.0,7688,0.035,4m,1.2,0.8,0.5,952,6240.0,0.025,4m,2.8,0.6000000000000001,1.5,928.0,,,,,,,,0.05,8,COMPLETE
46,46,1.0207856987328308,2025-06-22 17:33:48.853746,2025-06-22 17:33:59.771049,0 days 00:00:10.917303,4840.0,0.045000000000000005,8m,1.4,1.0,2.0,560.0,7504.0,0.01,6m,3.0,1.0,1.5,304.0,3792.0,0.015,7m,2.2,1.0,2.0,640.0,,,,,,,,7544.0,0.015,2m,2.6,0.6000000000000001,2.0,240.0,4008.0,0.025,6m,1.0,0.4,2.0,1016.0,1976.0,0.045000000000000005,6m,2.6,0.2,0.5,1024.0,1384,0.03,4m,1.0,0.8,0.5,944,7232.0,0.025,4m,2.8,0.6000000000000001,1.5,928.0,8008.0,0.02,6m,1.4,0.6000000000000001,1.0,760.0,0.05,9,COMPLETE
47,47,1.0085155725903492,2025-06-22 17:33:59.821808,2025-06-22 17:34:08.380505,0 days 00:00:08.558697,5584.0,0.04,8m,1.0,1.0,2.0,360.0,6776.0,0.01,7m,2.8,0.8,2.0,424.0,4832.0,0.015,7m,2.2,0.8,2.0,584.0,,,,,,,,6432.0,0.01,2m,2.6,0.2,2.0,200.0,4824.0,0.03,6m,1.0,0.4,1.5,904.0,,,,,,,,7904,0.04,8m,1.0,1.0,0.5,1016,6240.0,0.03,4m,3.0,0.4,1.0,952.0,,,,,,,,0.05,7,COMPLETE
48,48,1.005372319082029,2025-06-22 17:34:08.423673,2025-06-22 17:34:18.388392,0 days 00:00:09.964719,4096.0,0.045000000000000005,6m,1.4,1.0,2.0,504.0,7360.0,0.015,6m,2.4000000000000004,0.8,1.0,344.0,4400.0,0.02,7m,2.4000000000000004,1.0,2.0,712.0,,,,,,,,5512.0,0.02,2m,2.4000000000000004,0.2,2.0,256.0,6616.0,0.025,6m,1.2,0.0,1.5,632.0,4704.0,0.045000000000000005,6m,2.8,0.4,0.5,864.0,6968,0.025,4m,1.0,0.8,0.5,944,6304.0,0.025,4m,2.8,0.6000000000000001,1.5,888.0,,,,,,,,0.05,8,COMPLETE
49,49,1.0205723309017736,2025-06-22 17:34:18.421436,2025-06-22 17:34:20.985124,0 days 00:00:02.563688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6136,0.035,2m,1.2,0.6000000000000001,0.5,800,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
50,50,0.9937060519204249,2025-06-22 17:34:21.008674,2025-06-22 17:34:27.503216,0 days 00:00:06.494542,5408.0,0.035,7m,1.4,1.0,1.5,448.0,6112.0,0.01,5m,3.0,1.0,1.0,176.0,5152.0,0.015,7m,1.0,0.8,2.0,656.0,,,,,,,,4904.0,0.02,2m,2.8,0.4,1.0,128.0,,,,,,,,,,,,,,,7808,0.04,4m,1.0,0.8,0.5,872,,,,,,,,,,,,,,,0.1,5,COMPLETE
51,51,1.0010413703273398,2025-06-22 17:34:27.521952,2025-06-22 17:34:39.503284,0 days 00:00:11.981332,4824.0,0.045000000000000005,8m,1.4,1.0,2.0,560.0,7792.0,0.01,6m,3.0,1.0,1.5,312.0,3584.0,0.015,7m,2.2,1.0,2.0,624.0,1160.0,0.05,2m,2.6,1.0,0.5,920.0,7704.0,0.015,2m,2.6,0.6000000000000001,2.0,256.0,4032.0,0.025,6m,1.0,0.4,2.0,912.0,2192.0,0.045000000000000005,6m,2.4000000000000004,0.2,0.5,1024.0,1568,0.03,4m,1.0,1.0,0.5,936,7360.0,0.025,4m,2.8,0.6000000000000001,1.5,952.0,7840.0,0.02,6m,1.4,0.6000000000000001,1.0,784.0,0.05,10,COMPLETE
52,52,0.9818858421365796,2025-06-22 17:34:39.548439,2025-06-22 17:34:49.580193,0 days 00:00:10.031754,5056.0,0.045000000000000005,8m,1.2,1.0,2.0,584.0,7584.0,0.015,6m,3.0,1.0,1.5,376.0,2216.0,0.015,7m,2.4000000000000004,1.0,2.0,680.0,,,,,,,,7328.0,0.015,2m,2.8,0.8,2.0,200.0,3200.0,0.02,6m,1.0,0.4,2.0,968.0,2240.0,0.045000000000000005,6m,2.6,0.2,0.5,880.0,2208,0.03,4m,1.0,0.8,0.5,960,7200.0,0.015,4m,2.6,0.8,1.5,1024.0,5968.0,0.035,6m,1.4,0.8,1.0,376.0,0.05,9,COMPLETE
53,53,1.0323008515256868,2025-06-22 17:34:49.612935,2025-06-22 17:34:59.702894,0 days 00:00:10.089959,4168.0,0.05,4m,2.8,1.0,2.0,552.0,6616.0,0.01,6m,3.0,0.8,1.5,256.0,3624.0,0.01,7m,2.2,1.0,2.0,568.0,,,,,,,,7176.0,0.02,2m,2.4000000000000004,0.6000000000000001,2.0,336.0,2256.0,0.02,6m,1.2,0.4,2.0,824.0,1448.0,0.05,6m,2.2,0.0,0.5,1008.0,1048,0.035,9m,1.2,0.8,0.5,1024,7096.0,0.025,3m,3.0,0.6000000000000001,1.5,896.0,4880.0,0.01,6m,1.0,0.2,0.5,728.0,0.05,9,COMPLETE
54,54,0.979831517207893,2025-06-22 17:34:59.741800,2025-06-22 17:35:09.038465,0 days 00:00:09.296665,4168.0,0.05,4m,2.6,1.0,2.0,416.0,6600.0,0.01,6m,2.8,0.8,1.5,256.0,2880.0,0.01,7m,1.8,1.0,2.0,488.0,,,,,,,,6072.0,0.02,2m,2.2,0.6000000000000001,2.0,328.0,1976.0,0.015,5m,1.2,0.2,1.5,792.0,1120.0,0.05,8m,2.2,0.6000000000000001,1.0,824.0,1032,0.035,9m,1.2,1.0,0.5,984,6680.0,0.02,3m,3.0,0.8,1.5,872.0,,,,,,,,0.4,8,COMPLETE
55,55,0.9436944707792176,2025-06-22 17:35:09.074040,2025-06-22 17:35:17.294385,0 days 00:00:08.220345,3752.0,0.05,4m,2.8,1.0,1.5,488.0,7040.0,0.015,6m,1.8,0.8,1.0,232.0,4080.0,0.01,9m,2.0,0.4,2.0,576.0,,,,,,,,6680.0,0.025,6m,2.4000000000000004,0.4,2.0,296.0,2152.0,0.02,2m,1.2,0.4,2.0,728.0,,,,,,,,2744,0.035,9m,1.4,0.8,0.5,1008,5160.0,0.03,3m,3.0,0.4,1.5,800.0,,,,,,,,0.1,7,COMPLETE
