,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_AAPL_PANW_beta_win,params_AAPL_PANW_stop_loss,params_AAPL_PANW_trade_freq,params_AAPL_PANW_z_entry,params_AAPL_PANW_z_exit,params_AAPL_PANW_z_stop_scaler,params_AAPL_PANW_z_win,params_CPRT_FAST_beta_win,params_CPRT_FAST_stop_loss,params_CPRT_FAST_trade_freq,params_CPRT_FAST_z_entry,params_CPRT_FAST_z_exit,params_CPRT_FAST_z_stop_scaler,params_CPRT_FAST_z_win,params_CSCO_LCID_beta_win,params_CSCO_LCID_stop_loss,params_CSCO_LCID_trade_freq,params_CSCO_LCID_z_entry,params_CSCO_LCID_z_exit,params_CSCO_LCID_z_stop_scaler,params_CSCO_LCID_z_win,params_DDOG_ILMN_beta_win,params_DDOG_ILMN_stop_loss,params_DDOG_ILMN_trade_freq,params_DDOG_ILMN_z_entry,params_DDOG_ILMN_z_exit,params_DDOG_ILMN_z_stop_scaler,params_DDOG_ILMN_z_win,params_FAST_ON_beta_win,params_FAST_ON_stop_loss,params_FAST_ON_trade_freq,params_FAST_ON_z_entry,params_FAST_ON_z_exit,params_FAST_ON_z_stop_scaler,params_FAST_ON_z_win,params_GILD_TEAM_beta_win,params_GILD_TEAM_stop_loss,params_GILD_TEAM_trade_freq,params_GILD_TEAM_z_entry,params_GILD_TEAM_z_exit,params_GILD_TEAM_z_stop_scaler,params_GILD_TEAM_z_win,params_HON_TEAM_beta_win,params_HON_TEAM_stop_loss,params_HON_TEAM_trade_freq,params_HON_TEAM_z_entry,params_HON_TEAM_z_exit,params_HON_TEAM_z_stop_scaler,params_HON_TEAM_z_win,params_INTU_TTD_beta_win,params_INTU_TTD_stop_loss,params_INTU_TTD_trade_freq,params_INTU_TTD_z_entry,params_INTU_TTD_z_exit,params_INTU_TTD_z_stop_scaler,params_INTU_TTD_z_win,params_MNST_PYPL_beta_win,params_MNST_PYPL_stop_loss,params_MNST_PYPL_trade_freq,params_MNST_PYPL_z_entry,params_MNST_PYPL_z_exit,params_MNST_PYPL_z_stop_scaler,params_MNST_PYPL_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,0.971023588768752,2025-06-22 17:13:50.753490,2025-06-22 17:14:02.148801,0 days 00:00:11.395311,6016,0.03,4m,2.2,0.0,2.0,296,2928.0,0.045000000000000005,6m,2.6,0.6000000000000001,1.0,456.0,2280.0,0.04,5m,1.6,0.2,2.0,832.0,3192.0,0.025,7m,2.4000000000000004,0.0,2.0,760.0,1920.0,0.02,9m,2.4000000000000004,0.6000000000000001,1.0,904.0,3968.0,0.04,2m,2.6,0.2,1.5,384.0,5160.0,0.04,3m,1.6,0.6000000000000001,1.5,960.0,3624.0,0.05,4m,2.4000000000000004,0.4,0.5,144.0,,,,,,,,2504.0,0.02,4m,1.8,0.6000000000000001,1.0,368.0,0.05,9,COMPLETE
21,21,1.0076908106791056,2025-06-22 17:14:02.180608,2025-06-22 17:14:12.114033,0 days 00:00:09.933425,6840,0.025,4m,2.8,0.2,2.0,504,4488.0,0.045000000000000005,6m,2.2,0.8,0.5,288.0,4008.0,0.02,5m,1.8,0.4,1.5,784.0,1072.0,0.035,5m,3.0,0.4,0.5,880.0,1160.0,0.025,9m,1.8,0.2,1.0,1016.0,4280.0,0.025,8m,3.0,0.0,1.5,424.0,7976.0,0.03,5m,1.4,1.0,1.0,744.0,2128.0,0.04,8m,2.8,0.2,0.5,248.0,,,,,,,,4168.0,0.01,4m,2.0,0.8,1.0,168.0,0.05,9,COMPLETE
22,22,0.9908164191874724,2025-06-22 17:14:12.147221,2025-06-22 17:14:20.490961,0 days 00:00:08.343740,7304,0.015,4m,2.6,0.4,1.5,640,3192.0,0.04,6m,2.4000000000000004,0.6000000000000001,0.5,408.0,2256.0,0.02,5m,1.6,0.2,1.5,704.0,,,,,,,,1632.0,0.035,9m,2.4000000000000004,0.0,1.5,800.0,4720.0,0.04,8m,2.8,0.0,1.0,856.0,6872.0,0.05,5m,1.4,1.0,1.0,344.0,1896.0,0.045000000000000005,8m,2.6,0.6000000000000001,0.5,464.0,,,,,,,,4872.0,0.015,4m,2.4000000000000004,1.0,0.5,240.0,0.45,8,COMPLETE
23,23,0.9668943123550887,2025-06-22 17:14:20.520615,2025-06-22 17:14:29.242022,0 days 00:00:08.721407,6456,0.035,4m,2.8,0.2,1.0,760,2696.0,0.05,3m,1.8,1.0,0.5,648.0,2536.0,0.02,8m,1.0,0.6000000000000001,1.5,416.0,,,,,,,,1032.0,0.025,9m,1.2,0.4,1.5,736.0,2184.0,0.03,8m,2.6,0.0,1.5,360.0,8104.0,0.02,4m,1.0,0.8,0.5,752.0,3112.0,0.03,5m,3.0,0.2,1.0,224.0,,,,,,,,3080.0,0.015,6m,1.8,0.6000000000000001,1.0,128.0,0.25,8,COMPLETE
24,24,0.9999100885708834,2025-06-22 17:14:29.273938,2025-06-22 17:14:38.677051,0 days 00:00:09.403113,5056,0.025,5m,2.4000000000000004,0.0,2.0,456,3888.0,0.035,6m,2.2,0.8,0.5,808.0,3824.0,0.01,5m,2.0,0.2,1.5,824.0,2632.0,0.025,5m,2.6,0.0,1.0,304.0,1696.0,0.01,6m,1.8,0.2,1.0,936.0,3888.0,0.04,9m,2.0,0.2,1.0,144.0,6664.0,0.04,9m,1.8,0.0,1.0,384.0,1592.0,0.045000000000000005,6m,2.6,0.0,0.5,480.0,,,,,,,,5824.0,0.01,7m,2.4000000000000004,0.8,0.5,280.0,0.2,9,COMPLETE
25,25,0.9785276348608893,2025-06-22 17:14:38.733227,2025-06-22 17:14:46.622453,0 days 00:00:07.889226,7560,0.02,9m,2.2,0.6000000000000001,1.5,640,4688.0,0.045000000000000005,4m,2.4000000000000004,0.6000000000000001,1.0,216.0,5208.0,0.025,2m,2.6,0.4,1.0,608.0,,,,,,,,2488.0,0.02,3m,2.2,0.4,1.5,864.0,5536.0,0.02,5m,1.6,0.4,0.5,512.0,,,,,,,,,,,,,,,,,,,,,,4384.0,0.02,8m,2.0,1.0,1.0,456.0,0.35000000000000003,6,COMPLETE
26,26,0.9558832183147196,2025-06-22 17:14:46.654527,2025-06-22 17:14:57.347887,0 days 00:00:10.693360,6544,0.04,7m,3.0,0.8,1.0,312,2696.0,0.04,2m,1.8,0.8,0.5,376.0,2776.0,0.035,4m,1.8,0.0,2.0,272.0,,,,,,,,3792.0,0.045000000000000005,5m,1.6,0.0,1.0,976.0,1064.0,0.035,7m,2.6,0.0,1.5,296.0,3488.0,0.015,6m,1.4,0.8,0.5,648.0,4216.0,0.035,8m,2.2,0.4,0.5,232.0,,,,,,,,5144.0,0.015,2m,1.4,0.6000000000000001,1.5,128.0,0.45,8,COMPLETE
27,27,0.9897146154762911,2025-06-22 17:14:57.395339,2025-06-22 17:15:09.104147,0 days 00:00:11.708808,5976,0.03,4m,2.6,0.4,2.0,512,3600.0,0.03,3m,2.6,1.0,1.0,496.0,1200.0,0.02,6m,1.4,0.2,1.5,504.0,2424.0,0.05,5m,2.6,0.6000000000000001,0.5,880.0,2560.0,0.035,9m,2.6,0.2,1.5,640.0,6920.0,0.025,3m,3.0,0.2,1.0,512.0,7104.0,0.035,8m,1.2,0.8,1.5,1016.0,2776.0,0.05,8m,2.8,0.6000000000000001,1.0,504.0,1184.0,0.015,5m,3.0,1.0,0.5,992.0,2600.0,0.025,3m,2.2,0.8,0.5,328.0,0.1,10,COMPLETE
28,28,1.0243129821353776,2025-06-22 17:15:09.145485,2025-06-22 17:15:18.555079,0 days 00:00:09.409594,5184,0.015,4m,2.0,0.2,1.5,608,5488.0,0.05,9m,2.2,0.4,0.5,632.0,1840.0,0.025,8m,2.2,0.4,1.0,128.0,1040.0,0.015,6m,3.0,0.2,1.0,1024.0,5128.0,0.015,9m,2.2,0.2,1.0,864.0,4920.0,0.045000000000000005,4m,2.0,0.0,1.0,496.0,5776.0,0.03,5m,1.8,0.4,0.5,448.0,8136.0,0.03,8m,2.8,0.2,0.5,128.0,,,,,,,,6520.0,0.01,5m,2.6,1.0,1.0,224.0,0.15000000000000002,9,COMPLETE
29,29,1.0035202296430983,2025-06-22 17:15:18.605181,2025-06-22 17:15:27.114101,0 days 00:00:08.508920,5320,0.025,4m,1.8,0.2,1.5,592,5680.0,0.05,9m,1.6,0.4,0.5,640.0,2120.0,0.03,8m,2.2,0.0,1.0,128.0,,,,,,,,5816.0,0.015,9m,2.2,0.4,0.5,832.0,3720.0,0.045000000000000005,4m,2.2,0.2,1.5,504.0,5824.0,0.03,5m,2.2,0.4,1.0,408.0,7656.0,0.03,6m,2.4000000000000004,0.2,1.0,128.0,,,,,,,,6544.0,0.015,5m,2.6,0.8,1.0,232.0,0.05,8,COMPLETE
