,number,value,datetime_start,datetime_complete,duration,params_ADP_PAYX_beta_win,params_ADP_PAYX_stop_loss,params_ADP_PAYX_trade_freq,params_ADP_PAYX_z_entry,params_ADP_PAYX_z_exit,params_ADP_PAYX_z_stop_scaler,params_ADP_PAYX_z_win,params_ADP_QCOM_beta_win,params_ADP_QCOM_stop_loss,params_ADP_QCOM_trade_freq,params_ADP_QCOM_z_entry,params_ADP_QCOM_z_exit,params_ADP_QCOM_z_stop_scaler,params_ADP_QCOM_z_win,params_AMD_CMCSA_beta_win,params_AMD_CMCSA_stop_loss,params_AMD_CMCSA_trade_freq,params_AMD_CMCSA_z_entry,params_AMD_CMCSA_z_exit,params_AMD_CMCSA_z_stop_scaler,params_AMD_CMCSA_z_win,params_ATVI_NFLX_beta_win,params_ATVI_NFLX_stop_loss,params_ATVI_NFLX_trade_freq,params_ATVI_NFLX_z_entry,params_ATVI_NFLX_z_exit,params_ATVI_NFLX_z_stop_scaler,params_ATVI_NFLX_z_win,params_AVGO_CTAS_beta_win,params_AVGO_CTAS_stop_loss,params_AVGO_CTAS_trade_freq,params_AVGO_CTAS_z_entry,params_AVGO_CTAS_z_exit,params_AVGO_CTAS_z_stop_scaler,params_AVGO_CTAS_z_win,params_BIDU_CTAS_beta_win,params_BIDU_CTAS_stop_loss,params_BIDU_CTAS_trade_freq,params_BIDU_CTAS_z_entry,params_BIDU_CTAS_z_exit,params_BIDU_CTAS_z_stop_scaler,params_BIDU_CTAS_z_win,params_CERN_INCY_beta_win,params_CERN_INCY_stop_loss,params_CERN_INCY_trade_freq,params_CERN_INCY_z_entry,params_CERN_INCY_z_exit,params_CERN_INCY_z_stop_scaler,params_CERN_INCY_z_win,params_CHKP_VRTX_beta_win,params_CHKP_VRTX_stop_loss,params_CHKP_VRTX_trade_freq,params_CHKP_VRTX_z_entry,params_CHKP_VRTX_z_exit,params_CHKP_VRTX_z_stop_scaler,params_CHKP_VRTX_z_win,params_CMCSA_FOXA_beta_win,params_CMCSA_FOXA_stop_loss,params_CMCSA_FOXA_trade_freq,params_CMCSA_FOXA_z_entry,params_CMCSA_FOXA_z_exit,params_CMCSA_FOXA_z_stop_scaler,params_CMCSA_FOXA_z_win,params_CMCSA_FOX_beta_win,params_CMCSA_FOX_stop_loss,params_CMCSA_FOX_trade_freq,params_CMCSA_FOX_z_entry,params_CMCSA_FOX_z_exit,params_CMCSA_FOX_z_stop_scaler,params_CMCSA_FOX_z_win,params_CMCSA_QCOM_beta_win,params_CMCSA_QCOM_stop_loss,params_CMCSA_QCOM_trade_freq,params_CMCSA_QCOM_z_entry,params_CMCSA_QCOM_z_exit,params_CMCSA_QCOM_z_stop_scaler,params_CMCSA_QCOM_z_win,params_CSCO_ROST_beta_win,params_CSCO_ROST_stop_loss,params_CSCO_ROST_trade_freq,params_CSCO_ROST_z_entry,params_CSCO_ROST_z_exit,params_CSCO_ROST_z_stop_scaler,params_CSCO_ROST_z_win,params_EBAY_KLAC_beta_win,params_EBAY_KLAC_stop_loss,params_EBAY_KLAC_trade_freq,params_EBAY_KLAC_z_entry,params_EBAY_KLAC_z_exit,params_EBAY_KLAC_z_stop_scaler,params_EBAY_KLAC_z_win,params_EBAY_MCHP_beta_win,params_EBAY_MCHP_stop_loss,params_EBAY_MCHP_trade_freq,params_EBAY_MCHP_z_entry,params_EBAY_MCHP_z_exit,params_EBAY_MCHP_z_stop_scaler,params_EBAY_MCHP_z_win,params_EBAY_MXIM_beta_win,params_EBAY_MXIM_stop_loss,params_EBAY_MXIM_trade_freq,params_EBAY_MXIM_z_entry,params_EBAY_MXIM_z_exit,params_EBAY_MXIM_z_stop_scaler,params_EBAY_MXIM_z_win,params_FISV_QCOM_beta_win,params_FISV_QCOM_stop_loss,params_FISV_QCOM_trade_freq,params_FISV_QCOM_z_entry,params_FISV_QCOM_z_exit,params_FISV_QCOM_z_stop_scaler,params_FISV_QCOM_z_win,params_FOX_MAR_beta_win,params_FOX_MAR_stop_loss,params_FOX_MAR_trade_freq,params_FOX_MAR_z_entry,params_FOX_MAR_z_exit,params_FOX_MAR_z_stop_scaler,params_FOX_MAR_z_win,params_GILD_PCAR_beta_win,params_GILD_PCAR_stop_loss,params_GILD_PCAR_trade_freq,params_GILD_PCAR_z_entry,params_GILD_PCAR_z_exit,params_GILD_PCAR_z_stop_scaler,params_GILD_PCAR_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_JD_MDLZ_beta_win,params_JD_MDLZ_stop_loss,params_JD_MDLZ_trade_freq,params_JD_MDLZ_z_entry,params_JD_MDLZ_z_exit,params_JD_MDLZ_z_stop_scaler,params_JD_MDLZ_z_win,params_JD_PAYX_beta_win,params_JD_PAYX_stop_loss,params_JD_PAYX_trade_freq,params_JD_PAYX_z_entry,params_JD_PAYX_z_exit,params_JD_PAYX_z_stop_scaler,params_JD_PAYX_z_win,params_KHC_MAR_beta_win,params_KHC_MAR_stop_loss,params_KHC_MAR_trade_freq,params_KHC_MAR_z_entry,params_KHC_MAR_z_exit,params_KHC_MAR_z_stop_scaler,params_KHC_MAR_z_win,params_KHC_ROST_beta_win,params_KHC_ROST_stop_loss,params_KHC_ROST_trade_freq,params_KHC_ROST_z_entry,params_KHC_ROST_z_exit,params_KHC_ROST_z_stop_scaler,params_KHC_ROST_z_win,params_KHC_SBUX_beta_win,params_KHC_SBUX_stop_loss,params_KHC_SBUX_trade_freq,params_KHC_SBUX_z_entry,params_KHC_SBUX_z_exit,params_KHC_SBUX_z_stop_scaler,params_KHC_SBUX_z_win,params_KLAC_MCHP_beta_win,params_KLAC_MCHP_stop_loss,params_KLAC_MCHP_trade_freq,params_KLAC_MCHP_z_entry,params_KLAC_MCHP_z_exit,params_KLAC_MCHP_z_stop_scaler,params_KLAC_MCHP_z_win,params_MAR_QCOM_beta_win,params_MAR_QCOM_stop_loss,params_MAR_QCOM_trade_freq,params_MAR_QCOM_z_entry,params_MAR_QCOM_z_exit,params_MAR_QCOM_z_stop_scaler,params_MAR_QCOM_z_win,params_MNST_ROST_beta_win,params_MNST_ROST_stop_loss,params_MNST_ROST_trade_freq,params_MNST_ROST_z_entry,params_MNST_ROST_z_exit,params_MNST_ROST_z_stop_scaler,params_MNST_ROST_z_win,params_NXPI_ROST_beta_win,params_NXPI_ROST_stop_loss,params_NXPI_ROST_trade_freq,params_NXPI_ROST_z_entry,params_NXPI_ROST_z_exit,params_NXPI_ROST_z_stop_scaler,params_NXPI_ROST_z_win,params_ORLY_ROST_beta_win,params_ORLY_ROST_stop_loss,params_ORLY_ROST_trade_freq,params_ORLY_ROST_z_entry,params_ORLY_ROST_z_exit,params_ORLY_ROST_z_stop_scaler,params_ORLY_ROST_z_win,params_PAYX_QCOM_beta_win,params_PAYX_QCOM_stop_loss,params_PAYX_QCOM_trade_freq,params_PAYX_QCOM_z_entry,params_PAYX_QCOM_z_exit,params_PAYX_QCOM_z_stop_scaler,params_PAYX_QCOM_z_win,params_buffer_capital,params_pairs_to_trade,state
26,26,0.9619802610124635,2025-06-22 16:15:00.943879,2025-06-22 16:15:12.157065,0 days 00:00:11.213186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5264,0.045000000000000005,1m,2.2,0.2,1.0,640,,,,,,,,,,,,,,,,,,,,,,3688,0.025,2m,2.2,0.2,1.5,504,,,,,,,,,,,,,,,6872,0.035,5m,2.0,0.4,1.0,744,,,,,,,,2712,0.02,3m,2.2,1.0,1.5,936,,,,,,,,,,,,,,,2808,0.04,2m,1.2,0.6000000000000001,1.0,600,4352,0.035,1m,1.8,0.6000000000000001,1.5,472,,,,,,,,6704,0.045000000000000005,4m,2.2,0.4,0.5,496,3816,0.025,3m,1.0,0.0,1.0,416,,,,,,,,,,,,,,,7872,0.05,2m,2.2,0.6000000000000001,1.5,1000,6392,0.05,2m,1.8,0.4,2.0,816,,,,,,,,,,,,,,,,,,,,,,0.45,10,COMPLETE
27,27,1.0103809270368163,2025-06-22 16:15:12.222595,2025-06-22 16:15:25.138806,0 days 00:00:12.916211,,,,,,,,,,,,,,,3336.0,0.01,4m,1.2,0.4,2.0,696.0,,,,,,,,,,,,,,,,,,,,,,6256,0.025,1m,2.8,0.4,0.5,424,,,,,,,,,,,,,,,,,,,,,,1712,0.035,3m,2.0,0.0,1.0,920,,,,,,,,,,,,,,,5200,0.045000000000000005,5m,1.8,0.0,1.0,848,,,,,,,,5968,0.015,3m,1.6,0.4,2.0,688,,,,,,,,,,,,,,,5368,0.03,4m,1.8,0.8,0.5,472,7160,0.04,1m,2.4000000000000004,0.8,2.0,768,,,,,,,,5728,0.02,4m,2.0,0.0,1.0,272,6272,0.035,3m,1.8,0.2,1.0,224,,,,,,,,2152.0,0.03,5m,2.0,0.2,1.0,184.0,3080,0.01,1m,2.6,1.0,1.5,832,7640,0.045000000000000005,2m,1.6,0.6000000000000001,1.5,560,,,,,,,,,,,,,,,,,,,,,,0.3,12,COMPLETE
28,28,0.9966855210269184,2025-06-22 16:15:25.183044,2025-06-22 16:15:38.412108,0 days 00:00:13.229064,6896.0,0.03,4m,1.4,1.0,2.0,544.0,,,,,,,,1840.0,0.02,5m,3.0,0.0,1.5,352.0,,,,,,,,,,,,,,,,,,,,,,4520,0.04,4m,2.0,0.0,1.5,720,,,,,,,,,,,,,,,,,,,,,,2712,0.02,3m,1.8,0.4,1.5,680,,,,,,,,,,,,,,,3920,0.04,1m,2.2,0.2,2.0,672,,,,,,,,6960,0.02,5m,1.8,0.8,1.5,928,,,,,,,,,,,,,,,7072,0.025,4m,2.2,0.2,0.5,344,3176,0.025,3m,1.4,0.6000000000000001,1.5,896,,,,,,,,7584,0.035,3m,1.2,0.4,1.0,712,2728,0.02,1m,1.2,0.2,1.0,504,7120.0,0.02,4m,2.2,1.0,2.0,128.0,1328.0,0.025,5m,2.4000000000000004,0.6000000000000001,1.5,320.0,5984,0.015,2m,3.0,0.4,2.0,640,6416,0.025,2m,1.0,0.2,2.0,960,,,,,,,,,,,,,,,,,,,,,,0.25,14,COMPLETE
29,29,0.9867988787322358,2025-06-22 16:15:38.462239,2025-06-22 16:15:55.547002,0 days 00:00:17.084763,5504.0,0.01,3m,2.8,0.8,0.5,288.0,,,,,,,,3072.0,0.045000000000000005,1m,1.8,0.2,2.0,136.0,,,,,,,,,,,,,,,,,,,,,,3824,0.02,3m,1.8,0.2,0.5,800,1456.0,0.025,4m,1.4,1.0,1.5,144.0,,,,,,,,,,,,,,,4120,0.035,4m,1.2,0.0,1.5,912,,,,,,,,,,,,,,,5912,0.025,2m,2.0,0.6000000000000001,1.0,816,,,,,,,,7992,0.03,4m,2.2,0.6000000000000001,2.0,768,3520.0,0.05,4m,1.6,0.0,2.0,728.0,,,,,,,,6040,0.035,3m,2.8,1.0,0.5,496,4600,0.045000000000000005,4m,1.8,0.8,1.5,536,,,,,,,,6872,0.02,4m,1.6,0.0,0.5,416,5112,0.01,4m,1.4,0.0,0.5,360,3272.0,0.045000000000000005,5m,2.2,0.0,2.0,240.0,2760.0,0.035,1m,1.6,1.0,0.5,448.0,1576,0.01,1m,2.8,0.6000000000000001,2.0,952,7600,0.05,1m,3.0,1.0,1.5,280,,,,,,,,,,,,,,,,,,,,,,0.1,16,COMPLETE
30,30,0.9942879797471438,2025-06-22 16:15:55.600289,2025-06-22 16:16:06.568030,0 days 00:00:10.967741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4984,0.035,1m,2.4000000000000004,0.4,1.5,624,,,,,,,,,,,,,,,,,,,,,,3136,0.015,2m,2.6,0.2,1.0,800,,,,,,,,,,,,,,,3208,0.035,5m,1.6,0.0,1.0,768,,,,,,,,4168,0.015,3m,2.6,0.0,1.0,824,,,,,,,,,,,,,,,4456,0.045000000000000005,2m,1.2,0.6000000000000001,1.0,584,8088,0.035,2m,3.0,1.0,1.0,984,,,,,,,,4856,0.05,4m,2.0,0.6000000000000001,0.5,192,1672,0.035,3m,3.0,0.4,1.5,664,,,,,,,,2000.0,0.045000000000000005,3m,1.4,0.8,2.0,312.0,7048,0.02,2m,2.4000000000000004,0.8,1.5,808,4224,0.04,3m,1.2,0.8,2.0,704,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,11,COMPLETE
31,31,1.0140958922770114,2025-06-22 16:16:06.618761,2025-06-22 16:16:21.521630,0 days 00:00:14.902869,3792.0,0.045000000000000005,5m,2.0,0.4,1.0,728.0,,,,,,,,7032.0,0.035,2m,2.4000000000000004,0.6000000000000001,0.5,848.0,,,,,,,,,,,,,,,,,,,,,,8136,0.04,5m,2.6,0.2,0.5,544,7264.0,0.04,2m,2.2,0.2,2.0,352.0,,,,,,,,,,,,,,,1488,0.01,3m,1.8,0.2,2.0,864,,,,,,,,,,,,,,,4520,0.05,3m,1.2,0.0,1.5,552,,,,,,,,4648,0.025,2m,2.2,1.0,1.5,656,5792.0,0.025,5m,2.6,0.8,1.0,264.0,,,,,,,,3656,0.035,4m,1.4,1.0,0.5,560,3448,0.05,1m,2.8,0.4,1.5,800,,,,,,,,4200,0.04,2m,1.8,0.2,1.5,424,3184,0.015,2m,1.6,0.4,0.5,880,5296.0,0.035,3m,1.8,0.6000000000000001,0.5,856.0,3904.0,0.03,5m,1.8,0.8,2.0,576.0,6640,0.01,2m,3.0,0.8,1.0,512,6760,0.035,4m,1.6,0.0,1.0,784,,,,,,,,,,,,,,,,,,,,,,0.25,16,COMPLETE
32,32,0.9961559975572843,2025-06-22 16:16:21.560089,2025-06-22 16:16:36.040700,0 days 00:00:14.480611,4120.0,0.045000000000000005,5m,2.0,0.4,1.0,744.0,,,,,,,,7000.0,0.03,2m,2.2,0.6000000000000001,0.5,832.0,,,,,,,,,,,,,,,,,,,,,,7112,0.04,2m,2.6,0.2,0.5,696,7488.0,0.045000000000000005,2m,2.2,0.2,2.0,248.0,,,,,,,,,,,,,,,1584,0.01,3m,1.4,0.0,2.0,952,,,,,,,,,,,,,,,5440,0.05,4m,1.0,0.0,1.5,616,,,,,,,,5136,0.025,1m,2.0,1.0,1.5,648,,,,,,,,,,,,,,,2808,0.03,4m,1.6,1.0,0.5,560,2760,0.045000000000000005,1m,2.4000000000000004,0.4,1.5,688,,,,,,,,5288,0.045000000000000005,4m,1.8,0.2,1.5,520,1984,0.015,4m,1.6,0.2,0.5,872,5456.0,0.035,3m,1.8,0.4,1.0,728.0,3928.0,0.03,5m,1.8,0.8,2.0,600.0,7744,0.01,2m,3.0,0.8,1.0,432,6768,0.03,5m,1.4,0.0,1.0,816,,,,,,,,,,,,,,,,,,,,,,0.2,15,COMPLETE
33,33,0.961300602855875,2025-06-22 16:16:36.085224,2025-06-22 16:17:03.073456,0 days 00:00:26.988232,6128.0,0.045000000000000005,2m,2.0,0.6000000000000001,1.5,920.0,2032.0,0.03,2m,2.0,0.0,2.0,152.0,5144.0,0.04,2m,3.0,0.4,0.5,576.0,,,,,,,,5304.0,0.03,5m,3.0,1.0,1.0,1016.0,6648.0,0.05,3m,1.0,0.4,1.5,1024.0,5632,0.045000000000000005,5m,2.8,0.2,2.0,536,7224.0,0.035,2m,2.0,0.2,1.5,464.0,1376.0,0.025,5m,1.0,1.0,1.5,504.0,6288.0,0.025,5m,1.0,0.2,1.5,688.0,2336,0.015,1m,1.6,0.2,1.5,872,,,,,,,,1032.0,0.025,2m,2.4000000000000004,0.6000000000000001,1.5,472.0,3928,0.045000000000000005,5m,1.6,0.0,1.5,488,6280.0,0.02,1m,1.2,0.2,0.5,696.0,4016,0.02,2m,2.0,1.0,1.5,712,6616.0,0.02,5m,2.6,0.8,1.0,232.0,6168.0,0.02,4m,1.0,0.6000000000000001,0.5,408.0,1896,0.04,1m,1.4,0.8,0.5,528,3384,0.04,4m,2.8,0.4,1.5,960,7992.0,0.05,4m,2.6,0.2,1.5,992.0,5776,0.035,2m,1.4,0.0,1.5,296,3472,0.01,2m,1.0,0.4,0.5,552,4280.0,0.025,3m,2.4000000000000004,0.6000000000000001,1.5,848.0,3112.0,0.025,5m,2.0,1.0,2.0,544.0,6168,0.015,2m,3.0,0.6000000000000001,1.0,288,7352,0.035,4m,2.0,0.0,1.5,912,,,,,,,,6600.0,0.05,1m,1.0,0.4,2.0,280.0,4608.0,0.045000000000000005,5m,2.0,0.2,2.0,1024.0,0.25,27,COMPLETE
34,34,1.0064478057281676,2025-06-22 16:17:03.126245,2025-06-22 16:17:18.189114,0 days 00:00:15.062869,4952.0,0.04,1m,2.0,0.0,0.5,608.0,,,,,,,,6232.0,0.035,3m,2.6,0.6000000000000001,0.5,712.0,,,,,,,,,,,,,,,,,,,,,,7312,0.035,1m,3.0,0.4,0.5,624,,,,,,,,,,,,,,,,,,,,,,3384,0.025,3m,1.8,0.4,2.0,776,,,,,,,,,,,,,,,1656,0.05,3m,1.4,0.2,1.5,936,,,,,,,,4800,0.025,3m,2.2,0.8,1.5,584,,,,,,,,,,,,,,,3952,0.035,4m,1.8,1.0,0.5,616,4336,0.05,1m,3.0,0.6000000000000001,1.5,776,,,,,,,,3840,0.04,1m,1.6,0.4,1.0,392,4096,0.025,3m,1.8,0.2,0.5,832,,,,,,,,3576.0,0.035,5m,1.6,0.6000000000000001,2.0,648.0,5208,0.01,4m,2.8,1.0,0.5,648,5568,0.025,2m,1.8,0.2,1.0,792,,,,,,,,,,,,,,,,,,,,,,0.3,13,COMPLETE
35,35,0.9903229831017388,2025-06-22 16:17:18.270908,2025-06-22 16:17:42.118441,0 days 00:00:23.847533,2928.0,0.05,4m,2.4000000000000004,0.8,1.0,480.0,,,,,,,,4040.0,0.04,3m,2.4000000000000004,0.6000000000000001,0.5,824.0,,,,,,,,,,,,,,,4048.0,0.015,2m,3.0,0.8,1.5,624.0,4584,0.04,4m,1.4,0.0,1.0,424,6472.0,0.045000000000000005,2m,2.2,0.0,2.0,440.0,,,,,,,,6080.0,0.04,2m,1.8,1.0,1.0,376.0,2912,0.03,5m,2.2,0.2,1.5,992,,,,,,,,,,,,,,,2872,0.045000000000000005,4m,2.0,0.0,2.0,696,8080.0,0.01,5m,2.2,0.4,1.0,368.0,3120,0.03,5m,2.0,0.4,2.0,800,5216.0,0.025,1m,1.8,0.6000000000000001,0.5,448.0,6184.0,0.01,2m,2.0,1.0,1.5,712.0,3280,0.025,1m,2.0,0.8,2.0,424,1728,0.035,1m,2.2,0.6000000000000001,2.0,720,5288.0,0.04,1m,2.4000000000000004,0.2,1.5,744.0,4704,0.03,3m,1.6,0.2,1.5,464,2784,0.02,5m,1.4,0.0,1.0,920,7152.0,0.045000000000000005,3m,1.2,0.8,1.0,528.0,1688.0,0.03,1m,2.4000000000000004,1.0,1.5,232.0,7352,0.015,2m,2.6,0.6000000000000001,1.0,520,6448,0.045000000000000005,2m,1.4,0.0,0.5,600,,,,,,,,5536.0,0.03,5m,3.0,0.2,1.5,576.0,,,,,,,,0.25,22,COMPLETE
36,36,1.0041739287006153,2025-06-22 16:17:42.165994,2025-06-22 16:17:57.588428,0 days 00:00:15.422434,1048.0,0.045000000000000005,3m,1.6,0.2,1.5,704.0,,,,,,,,5000.0,0.045000000000000005,2m,1.8,0.2,1.0,888.0,,,,,,,,,,,,,,,,,,,,,,6304,0.04,3m,2.2,0.4,0.5,368,5744.0,0.04,1m,1.8,0.4,1.5,656.0,,,,,,,,,,,,,,,1032,0.01,1m,2.0,0.4,1.5,912,,,,,,,,,,,,,,,2072,0.04,5m,1.8,0.0,1.5,840,,,,,,,,5656,0.02,2m,1.4,0.8,1.0,896,3648.0,0.035,2m,2.6,0.8,1.5,416.0,,,,,,,,5008,0.04,5m,1.2,1.0,1.0,536,5656,0.045000000000000005,5m,2.0,0.8,1.5,864,,,,,,,,7168,0.025,4m,1.8,0.4,1.5,536,4656,0.01,2m,1.6,0.6000000000000001,0.5,688,5608.0,0.04,3m,1.8,0.4,0.5,944.0,2712.0,0.02,4m,1.2,0.8,2.0,456.0,6800,0.01,5m,2.8,0.8,0.5,368,6608,0.05,4m,1.6,0.4,1.5,960,,,,,,,,,,,,,,,,,,,,,,0.2,16,COMPLETE
37,37,0.9871002890650257,2025-06-22 16:17:57.646342,2025-06-22 16:18:08.620787,0 days 00:00:10.974445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1408,0.03,5m,2.6,0.2,2.0,488,,,,,,,,,,,,,,,,,,,,,,1712,0.02,3m,1.6,0.0,2.0,832,,,,,,,,,,,,,,,6312,0.035,3m,2.4000000000000004,0.4,1.0,512,,,,,,,,3824,0.01,4m,1.6,1.0,0.5,744,,,,,,,,,,,,,,,2312,0.03,4m,1.8,0.4,1.5,352,3536,0.03,4m,3.0,1.0,1.5,960,,,,,,,,6536,0.045000000000000005,5m,1.4,1.0,1.0,656,3912,0.015,1m,2.4000000000000004,0.4,1.0,448,,,,,,,,3848.0,0.025,2m,2.2,0.4,0.5,472.0,5664,0.045000000000000005,2m,3.0,1.0,1.5,192,7840,0.04,1m,2.4000000000000004,0.0,1.5,160,,,,,,,,,,,,,,,,,,,,,,0.4,11,COMPLETE
38,38,0.9799235037453838,2025-06-22 16:18:08.675147,2025-06-22 16:18:24.147122,0 days 00:00:15.471975,3368.0,0.03,2m,3.0,0.4,0.5,544.0,,,,,,,,6088.0,0.025,2m,1.2,0.0,0.5,544.0,,,,,,,,,,,,,,,,,,,,,,2840,0.045000000000000005,1m,3.0,0.2,0.5,568,,,,,,,,,,,,,,,,,,,,,,4496,0.015,3m,2.4000000000000004,0.0,1.5,960,,,,,,,,,,,,,,,7144,0.02,2m,2.4000000000000004,0.2,2.0,712,,,,,,,,6648,0.025,3m,1.8,0.8,1.5,1024,,,,,,,,,,,,,,,4656,0.045000000000000005,4m,1.6,0.0,0.5,656,2472,0.035,1m,2.6,0.2,1.0,1016,,,,,,,,3056,0.035,3m,1.2,0.6000000000000001,1.0,592,2984,0.03,3m,1.8,0.0,1.0,592,4624.0,0.05,3m,2.8,0.6000000000000001,1.5,768.0,3208.0,0.035,1m,1.0,0.6000000000000001,1.5,584.0,4848,0.035,4m,2.0,0.8,1.0,696,7232,0.03,3m,2.2,0.2,0.5,536,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,14,COMPLETE
39,39,1.032037401061259,2025-06-22 16:18:24.212980,2025-06-22 16:18:50.540475,0 days 00:00:26.327495,2656.0,0.04,5m,2.4000000000000004,0.6000000000000001,1.5,936.0,,,,,,,,7440.0,0.015,1m,2.0,0.4,1.0,648.0,,,,,,,,1544.0,0.01,4m,1.8,0.2,1.5,592.0,6896.0,0.03,3m,1.6,0.6000000000000001,0.5,888.0,1048,0.035,4m,2.0,0.0,1.0,936,7448.0,0.01,2m,2.4000000000000004,0.2,2.0,264.0,6272.0,0.01,2m,1.4,0.8,1.5,792.0,3000.0,0.01,5m,2.4000000000000004,0.2,0.5,712.0,3712,0.025,5m,2.0,0.6000000000000001,1.0,720,,,,,,,,5680.0,0.02,5m,2.2,0.6000000000000001,1.0,176.0,4792,0.05,1m,1.6,0.8,1.5,784,4552.0,0.025,5m,1.4,0.4,1.5,656.0,4568,0.015,5m,2.6,0.4,1.5,680,6712.0,0.015,5m,2.2,0.6000000000000001,1.0,272.0,8096.0,0.04,3m,2.0,1.0,2.0,408.0,3184,0.035,1m,1.4,0.8,1.5,736,1832,0.04,5m,1.6,0.8,2.0,696,3680.0,0.03,1m,1.4,0.2,1.5,872.0,8184,0.05,1m,2.2,0.2,0.5,1016,5568,0.01,5m,1.2,0.2,0.5,776,6800.0,0.02,1m,1.8,1.0,1.0,680.0,5048.0,0.02,5m,1.8,1.0,2.0,384.0,4336,0.02,2m,2.6,0.2,2.0,936,4952,0.035,2m,1.2,0.2,2.0,856,,,,,,,,3880.0,0.015,5m,1.4,0.0,1.0,568.0,4784.0,0.01,4m,1.0,0.4,1.0,136.0,0.1,26,COMPLETE
40,40,0.9963312834390878,2025-06-22 16:18:50.579384,2025-06-22 16:19:17.206729,0 days 00:00:26.627345,1640.0,0.04,5m,2.4000000000000004,0.6000000000000001,1.5,936.0,,,,,,,,7048.0,0.015,1m,2.0,0.4,1.0,784.0,,,,,,,,1968.0,0.01,4m,1.8,0.2,1.5,592.0,8104.0,0.03,3m,1.6,0.6000000000000001,0.5,840.0,2304,0.04,4m,1.8,0.0,1.0,304,7248.0,0.01,2m,2.4000000000000004,0.2,2.0,240.0,6312.0,0.01,2m,1.4,0.8,1.5,776.0,2768.0,0.01,5m,2.4000000000000004,0.2,0.5,704.0,5192,0.025,5m,1.0,0.6000000000000001,0.5,744,,,,,,,,5680.0,0.02,5m,2.2,0.6000000000000001,1.0,152.0,2656,0.05,1m,1.2,1.0,1.0,656,4664.0,0.025,5m,1.4,0.4,1.5,680.0,3176,0.01,5m,2.6,0.2,1.5,616,6600.0,0.015,5m,2.2,0.6000000000000001,1.0,152.0,8144.0,0.035,3m,2.0,1.0,2.0,424.0,1712,0.035,1m,2.2,0.8,1.5,880,1928,0.03,5m,1.4,0.8,2.0,672,3808.0,0.03,1m,1.4,0.2,1.5,880.0,3952,0.015,1m,2.4000000000000004,0.0,0.5,752,6216,0.01,5m,1.4,0.2,0.5,800,6744.0,0.01,1m,1.8,1.0,1.0,680.0,5504.0,0.02,5m,1.8,1.0,2.0,392.0,4264,0.02,1m,2.4000000000000004,0.2,2.0,920,4824,0.04,5m,1.6,0.4,2.0,640,,,,,,,,4152.0,0.015,5m,1.4,0.0,1.0,600.0,4872.0,0.01,4m,1.0,0.4,1.0,128.0,0.05,26,COMPLETE
41,41,0.9566412306451174,2025-06-22 16:19:17.275265,2025-06-22 16:19:44.035652,0 days 00:00:26.760387,2624.0,0.035,5m,2.8,0.6000000000000001,1.5,832.0,,,,,,,,7288.0,0.015,1m,2.8,0.2,0.5,656.0,,,,,,,,3168.0,0.025,2m,1.8,0.2,2.0,592.0,6688.0,0.035,3m,1.4,0.6000000000000001,0.5,896.0,4224,0.035,4m,2.0,0.0,0.5,1024,8144.0,0.025,2m,2.4000000000000004,0.0,2.0,216.0,6272.0,0.02,2m,1.4,0.6000000000000001,1.5,680.0,3576.0,0.03,5m,2.0,0.2,0.5,552.0,3632,0.025,5m,2.0,0.6000000000000001,1.0,832,,,,,,,,5632.0,0.02,5m,1.8,0.8,1.0,320.0,4856,0.045000000000000005,1m,1.8,0.6000000000000001,1.5,776,6720.0,0.02,5m,1.8,0.2,1.5,640.0,4496,0.015,5m,2.8,0.4,1.5,680,7248.0,0.015,5m,2.8,0.4,1.0,256.0,6136.0,0.04,3m,2.4000000000000004,0.8,2.0,304.0,3032,0.035,1m,1.4,0.8,1.5,736,1600,0.04,5m,1.6,0.4,2.0,736,2272.0,0.035,1m,1.4,0.2,1.5,688.0,8168,0.05,1m,2.2,0.2,0.5,1008,6816,0.01,5m,1.2,0.0,0.5,712,5880.0,0.01,1m,1.4,1.0,0.5,568.0,6112.0,0.025,5m,2.0,1.0,2.0,328.0,4328,0.01,2m,2.6,0.0,2.0,776,1176,0.03,2m,1.2,0.2,2.0,872,,,,,,,,3200.0,0.015,5m,1.6,0.2,1.0,320.0,6056.0,0.02,4m,1.6,0.4,1.0,344.0,0.1,26,COMPLETE
