,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_ANSS_EBAY_beta_win,params_ANSS_EBAY_stop_loss,params_ANSS_EBAY_trade_freq,params_ANSS_EBAY_z_entry,params_ANSS_EBAY_z_exit,params_ANSS_EBAY_z_stop_scaler,params_ANSS_EBAY_z_win,params_CHTR_FTNT_beta_win,params_CHTR_FTNT_stop_loss,params_CHTR_FTNT_trade_freq,params_CHTR_FTNT_z_entry,params_CHTR_FTNT_z_exit,params_CHTR_FTNT_z_stop_scaler,params_CHTR_FTNT_z_win,params_COST_INTU_beta_win,params_COST_INTU_stop_loss,params_COST_INTU_trade_freq,params_COST_INTU_z_entry,params_COST_INTU_z_exit,params_COST_INTU_z_stop_scaler,params_COST_INTU_z_win,params_CTSH_MU_beta_win,params_CTSH_MU_stop_loss,params_CTSH_MU_trade_freq,params_CTSH_MU_z_entry,params_CTSH_MU_z_exit,params_CTSH_MU_z_stop_scaler,params_CTSH_MU_z_win,params_DDOG_GOOGL_beta_win,params_DDOG_GOOGL_stop_loss,params_DDOG_GOOGL_trade_freq,params_DDOG_GOOGL_z_entry,params_DDOG_GOOGL_z_exit,params_DDOG_GOOGL_z_stop_scaler,params_DDOG_GOOGL_z_win,params_DDOG_GOOG_beta_win,params_DDOG_GOOG_stop_loss,params_DDOG_GOOG_trade_freq,params_DDOG_GOOG_z_entry,params_DDOG_GOOG_z_exit,params_DDOG_GOOG_z_stop_scaler,params_DDOG_GOOG_z_win,params_EBAY_FAST_beta_win,params_EBAY_FAST_stop_loss,params_EBAY_FAST_trade_freq,params_EBAY_FAST_z_entry,params_EBAY_FAST_z_exit,params_EBAY_FAST_z_stop_scaler,params_EBAY_FAST_z_win,params_FAST_MU_beta_win,params_FAST_MU_stop_loss,params_FAST_MU_trade_freq,params_FAST_MU_z_entry,params_FAST_MU_z_exit,params_FAST_MU_z_stop_scaler,params_FAST_MU_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_buffer_capital,params_pairs_to_trade,state
76,76,0.999208333384662,2025-06-22 17:17:03.201795,2025-06-22 17:17:14.112815,0 days 00:00:10.911020,2192.0,0.015,8m,2.8,1.0,0.5,176.0,8192.0,0.035,2m,1.0,1.0,0.5,256.0,2552.0,0.01,5m,2.8,0.2,2.0,840.0,1896.0,0.03,3m,2.4000000000000004,1.0,1.0,152.0,7440.0,0.035,9m,2.4000000000000004,0.8,1.0,192.0,3912.0,0.04,6m,2.8,0.0,1.5,328.0,6520.0,0.035,4m,1.6,0.2,1.5,624.0,,,,,,,,5856,0.015,3m,2.8,0.6000000000000001,2.0,592,2440.0,0.05,5m,2.6,0.4,0.5,384.0,0.4,9,COMPLETE
77,77,0.9859988205704957,2025-06-22 17:17:14.142829,2025-06-22 17:17:21.625304,0 days 00:00:07.482475,4184.0,0.025,7m,2.0,0.2,1.0,288.0,6480.0,0.05,8m,3.0,0.8,0.5,176.0,1520.0,0.045000000000000005,9m,2.4000000000000004,0.0,1.5,288.0,2496.0,0.035,5m,1.6,0.8,1.5,600.0,5408.0,0.015,5m,2.2,0.8,2.0,848.0,3440.0,0.025,9m,3.0,0.2,0.5,640.0,3728.0,0.045000000000000005,7m,2.4000000000000004,0.0,1.0,704.0,,,,,,,,6200,0.025,6m,2.2,0.2,1.5,504,6256.0,0.045000000000000005,8m,3.0,0.0,0.5,328.0,0.25,9,COMPLETE
78,78,0.985532775033456,2025-06-22 17:17:21.684126,2025-06-22 17:17:27.984531,0 days 00:00:06.300405,,,,,,,,,,,,,,,,,,,,,,5728.0,0.045000000000000005,2m,1.4,0.4,1.0,920.0,7968.0,0.025,8m,1.6,0.0,1.0,240.0,4216.0,0.045000000000000005,3m,3.0,0.0,1.0,672.0,3032.0,0.02,5m,1.8,0.4,0.5,592.0,,,,,,,,4856,0.04,5m,2.0,0.4,1.0,744,,,,,,,,0.3,5,COMPLETE
79,79,1.0106405334016433,2025-06-22 17:17:28.026647,2025-06-22 17:17:32.150038,0 days 00:00:04.123391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,0.035,6m,2.2,0.2,1.5,704.0,3368.0,0.045000000000000005,3m,1.2,0.0,1.0,792.0,,,,,,,,6504,0.03,3m,1.8,0.2,1.5,1024,,,,,,,,0.2,3,COMPLETE
80,80,1.0077528371462643,2025-06-22 17:17:32.179638,2025-06-22 17:17:40.742036,0 days 00:00:08.562398,7904.0,0.01,6m,2.2,1.0,0.5,216.0,7040.0,0.035,8m,1.4,1.0,1.0,480.0,,,,,,,,3616.0,0.05,8m,1.8,0.6000000000000001,1.5,1000.0,6872.0,0.03,8m,1.8,0.6000000000000001,1.5,528.0,1872.0,0.035,6m,2.2,0.2,1.5,712.0,4032.0,0.05,3m,1.0,0.0,1.0,792.0,,,,,,,,6504,0.035,3m,1.8,0.2,1.5,1000,4872.0,0.04,4m,2.4000000000000004,0.0,0.5,224.0,0.2,8,COMPLETE
81,81,0.9932829191767603,2025-06-22 17:17:40.786796,2025-06-22 17:17:44.761154,0 days 00:00:03.974358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2032.0,0.04,6m,2.4000000000000004,0.0,1.5,808.0,3320.0,0.045000000000000005,3m,1.2,0.0,1.0,744.0,,,,,,,,5472,0.03,3m,1.6,0.2,1.5,440,,,,,,,,0.15000000000000002,3,COMPLETE
82,82,1.024764642094438,2025-06-22 17:17:44.784392,2025-06-22 17:17:49.022794,0 days 00:00:04.238402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2488.0,0.045000000000000005,6m,2.2,0.4,1.5,648.0,3552.0,0.045000000000000005,3m,1.4,0.0,1.0,488.0,,,,,,,,6776,0.03,3m,1.8,0.2,1.5,896,,,,,,,,0.2,3,COMPLETE
83,83,1.0414553463411207,2025-06-22 17:17:49.061686,2025-06-22 17:17:52.164548,0 days 00:00:03.102862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3520.0,0.045000000000000005,3m,1.2,0.0,1.0,400.0,,,,,,,,7144,0.03,3m,1.8,0.2,1.5,936,,,,,,,,0.15000000000000002,2,COMPLETE
84,84,0.9875590630122407,2025-06-22 17:17:52.183413,2025-06-22 17:17:55.397120,0 days 00:00:03.213707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3544.0,0.045000000000000005,3m,1.4,0.0,1.0,328.0,,,,,,,,7152,0.045000000000000005,3m,1.6,0.2,1.5,928,,,,,,,,0.15000000000000002,2,COMPLETE
85,85,0.9958371924567047,2025-06-22 17:17:55.429998,2025-06-22 17:17:57.368100,0 days 00:00:01.938102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7520,0.035,3m,2.0,0.0,1.5,928,,,,,,,,0.15000000000000002,1,COMPLETE
86,86,0.9468172641596759,2025-06-22 17:17:57.393968,2025-06-22 17:18:00.765255,0 days 00:00:03.371287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3872.0,0.045000000000000005,3m,1.4,0.0,1.0,400.0,,,,,,,,6784,0.035,3m,1.8,0.2,1.5,968,,,,,,,,0.1,2,COMPLETE
87,87,0.938482879150425,2025-06-22 17:18:00.793639,2025-06-22 17:18:11.692109,0 days 00:00:10.898470,5040.0,0.03,3m,1.0,0.8,1.0,432.0,5920.0,0.05,3m,1.6,1.0,0.5,416.0,3840.0,0.025,8m,3.0,0.6000000000000001,0.5,432.0,1336.0,0.04,8m,1.6,1.0,2.0,768.0,3600.0,0.01,9m,1.8,1.0,0.5,304.0,2488.0,0.045000000000000005,7m,1.8,0.4,1.5,528.0,4152.0,0.04,3m,1.0,0.0,1.0,480.0,6256.0,0.04,5m,2.4000000000000004,0.2,1.0,448.0,6168,0.03,3m,2.0,0.2,1.5,776,1320.0,0.01,6m,2.0,0.4,2.0,416.0,0.3,10,COMPLETE
88,88,0.9476455728617594,2025-06-22 17:18:11.749008,2025-06-22 17:18:19.904969,0 days 00:00:08.155961,2808.0,0.02,2m,2.6,0.0,0.5,752.0,,,,,,,,,,,,,,,5336.0,0.045000000000000005,6m,2.0,0.8,1.5,720.0,5840.0,0.015,8m,2.8,0.4,1.0,360.0,2744.0,0.05,4m,2.0,0.6000000000000001,1.5,616.0,7368.0,0.05,9m,1.2,0.0,1.0,168.0,,,,,,,,7784,0.01,3m,1.6,0.0,1.5,816,3112.0,0.04,4m,2.8,0.2,0.5,160.0,0.35000000000000003,7,COMPLETE
89,89,0.9400878555333819,2025-06-22 17:18:19.937419,2025-06-22 17:18:24.016352,0 days 00:00:04.078933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1688.0,0.045000000000000005,6m,2.6,0.4,2.0,592.0,4872.0,0.04,6m,1.4,0.0,1.0,488.0,,,,,,,,7024,0.04,2m,1.4,0.2,1.5,904,,,,,,,,0.25,3,COMPLETE
90,90,0.9142868417182772,2025-06-22 17:18:24.035860,2025-06-22 17:18:34.528048,0 days 00:00:10.492188,1208.0,0.015,4m,2.2,0.8,0.5,168.0,1112.0,0.04,5m,1.2,0.6000000000000001,0.5,624.0,1488.0,0.035,6m,2.8,0.2,2.0,200.0,4696.0,0.05,4m,1.2,0.0,0.5,640.0,7600.0,0.02,4m,1.4,0.8,0.5,456.0,1232.0,0.04,6m,1.6,0.6000000000000001,1.5,656.0,3208.0,0.045000000000000005,3m,1.6,0.0,1.0,448.0,,,,,,,,7344,0.05,3m,1.8,0.8,2.0,856,1944.0,0.05,4m,2.6,0.0,1.0,520.0,0.2,9,COMPLETE
91,91,0.9521925794713223,2025-06-22 17:18:34.553928,2025-06-22 17:18:38.876053,0 days 00:00:04.322125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2264.0,0.045000000000000005,6m,2.2,0.4,1.5,704.0,3616.0,0.045000000000000005,3m,1.2,0.0,1.0,232.0,,,,,,,,6536,0.03,3m,1.8,0.2,1.5,1016,,,,,,,,0.2,3,COMPLETE
92,92,0.9796629198714579,2025-06-22 17:18:38.912203,2025-06-22 17:18:44.093238,0 days 00:00:05.181035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7160.0,0.045000000000000005,6m,2.2,0.6000000000000001,1.0,152.0,2984.0,0.035,6m,2.2,0.0,1.5,760.0,3432.0,0.045000000000000005,3m,1.0,0.0,1.0,552.0,,,,,,,,5920,0.03,3m,1.8,0.2,1.5,984,,,,,,,,0.15000000000000002,4,COMPLETE
93,93,1.0218553782863329,2025-06-22 17:18:44.120377,2025-06-22 17:18:47.311334,0 days 00:00:03.190957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1384.0,0.05,3m,1.2,0.0,1.0,768.0,,,,,,,,6808,0.025,3m,2.0,0.2,1.5,944,,,,,,,,0.2,2,COMPLETE
94,94,1.0034903004263875,2025-06-22 17:18:47.368343,2025-06-22 17:18:49.146758,0 days 00:00:01.778415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6712,0.025,3m,2.0,0.2,1.5,848,,,,,,,,0.2,1,COMPLETE
95,95,0.9979719168323278,2025-06-22 17:18:49.166533,2025-06-22 17:18:51.057467,0 days 00:00:01.890934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144.0,0.05,8m,1.2,0.0,1.0,760.0,,,,,,,,6832,0.025,8m,2.2,0.0,1.5,968,,,,,,,,0.25,2,COMPLETE
96,96,1.0100329089055062,2025-06-22 17:18:51.088838,2025-06-22 17:18:53.791099,0 days 00:00:02.702261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536.0,0.05,3m,1.4,0.0,1.0,832.0,,,,,,,,7472,0.035,7m,2.0,0.4,1.5,896,,,,,,,,0.05,2,COMPLETE
97,97,1.0252869511692349,2025-06-22 17:18:53.836671,2025-06-22 17:18:57.249455,0 days 00:00:03.412784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456.0,0.05,2m,1.6,0.0,1.5,360.0,,,,,,,,7248,0.045000000000000005,5m,2.2,0.6000000000000001,1.5,944,,,,,,,,0.3,2,COMPLETE
98,98,0.9979475278817588,2025-06-22 17:18:57.276570,2025-06-22 17:18:58.673545,0 days 00:00:01.396975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7240,0.045000000000000005,5m,2.2,0.6000000000000001,1.5,952,,,,,,,,0.3,1,COMPLETE
99,99,1.0266915489907014,2025-06-22 17:18:58.697386,2025-06-22 17:19:02.044825,0 days 00:00:03.347439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1408.0,0.05,2m,1.6,0.0,1.0,344.0,,,,,,,,7632,0.05,5m,2.0,0.6000000000000001,1.5,944,,,,,,,,0.1,2,COMPLETE
